05-MalPatSaj-market_value,07-silvestri-market_value_apr_2022,05-MalPatSaj-profit,08-slytherin-revenue,07-silvestri-revenue_2022,05-MalPatSaj-assets,05-MalPatSaj-sales
doll_200.73 b,doll_200.73 b,doll_24.14 b,doll_51.6 b,doll_51.63 b,doll_135.88 b,doll_51.63 b
doll_57.89 b,doll_57.89 b,doll_10.02 b,doll_127 b,doll_127 b,doll_244.72 b,doll_127 b
doll_117.87 b,doll_117.87 b,doll_8.57 b,doll_88.4 b,doll_88.37 b,doll_147.12 b,doll_88.37 b
doll_43.02 b,doll_43.02 b,doll_7.87 b,doll_130.5 b,doll_130.5 b,doll_769.88 b,doll_130.5 b
doll_308.14 b,doll_308.14 b,doll_15.24 b,doll_68.7 b,doll_68.69 b,doll_101.32 b,doll_68.69 b
doll_120.19 b,doll_120.19 b,doll_7.43 b,doll_45.2 b,doll_45.16 b,doll_334.88 b,doll_45.16 b
doll_57.39 b,doll_57.39 b,doll_6.55 b,doll_71.1 b,doll_71.08 b,doll_759.71 b,doll_71.08 b
doll_178.07 b,doll_178.07 b,doll_16.92 b,doll_65.5 b,doll_65.55 b,doll_105.72 b,doll_65.55 b
doll_310.13 b,doll_310.13 b,doll_16.43 b,doll_151.2 b,doll_151.16 b,doll_71.88 b,doll_151.16 b
doll_136.72 b,doll_136.72 b,doll_7.86 b,doll_46.3 b,doll_46.29 b,doll_196 b,doll_46.29 b
doll_102.23 b,doll_102.23 b,doll_6.55 b,doll_76.5 b,doll_76.46 b,doll_164.22 b,doll_76.46 b
doll_44.26 b,doll_44.26 b,doll_16.78 b,doll_176.6 b,doll_176.61 b,doll_195.33 b,doll_176.61 b
doll_69.22 b,doll_69.22 b,doll_5.21 b,doll_69.6 b,doll_69.58 b,doll_410.15 b,doll_69.58 b
doll_48.79 b,doll_48.79 b,doll_11.98 b,doll_111.4 b,doll_111.4 b,doll_219.41 b,doll_111.4 b
doll_117.78 b,doll_117.78 b,doll_21.06 b,doll_63.5 b,doll_63.46 b,doll_102.9 b,doll_63.46 b
doll_80.94 b,doll_80.94 b,doll_3.97 b,doll_78.8 b,doll_78.82 b,doll_391 b,doll_78.82 b
doll_81.2 b,doll_81.2 b,doll_5.37 b,doll_174.3 b,doll_174.27 b,doll_151.02 b,doll_174.27 b
doll_43.6 b,doll_43.6 b,doll_7.61 b,doll_70.9 b,doll_70.93 b,doll_937.58 b,doll_70.93 b
doll_238.13 b,doll_238.13 b,doll_7.62 b,doll_79.5 b,doll_79.47 b,doll_92.38 b,doll_79.47 b
doll_213.83 b,doll_213.83 b,doll_13.05 b,doll_50.4 b,doll_50.37 b,doll_105.69 b,doll_50.37 b
doll_121.25 b,doll_121.25 b,doll_6.24 b,doll_144.3 b,doll_144.35 b,doll_100.49 b,doll_144.35 b
doll_80.58 b,doll_80.58 b,doll_7.96 b,doll_30.4 b,doll_30.35 b,doll_979.3 b,doll_30.35 b
doll_48.73 b,doll_48.73 b,doll_9.39 b,doll_52.1 b,doll_52.06 b,doll_521.83 b,doll_52.06 b
doll_79.9 b,doll_79.9 b,doll_5 b,doll_203.4 b,doll_203.41 b,doll_127.51 b,doll_203.41 b
doll_213.36 b,doll_213.36 b,doll_11.82 b,doll_51.5 b,doll_51.55 b,doll_94.26 b,doll_51.55 b
doll_118.52 b,doll_118.52 b,doll_4.66 b,doll_54.3 b,doll_54.33 b,doll_219.37 b,doll_54.33 b
doll_215.33 b,doll_215.33 b,doll_3.08 b,doll_73 b,doll_72.98 b,doll_203.31 b,doll_72.98 b
doll_87.31 b,doll_87.31 b,doll_8.54 b,doll_41 b,doll_40.95 b,doll_181.75 b,doll_40.95 b
doll_31.96 b,doll_31.96 b,doll_9.03 b,doll_91.2 b,doll_91.21 b,"doll_1,370.59 b",doll_91.21 b
doll_41.34 b,doll_41.34 b,doll_7.36 b,doll_58.5 b,doll_58.48 b,"doll_1,200.75 b",doll_58.48 b
doll_124.33 b,doll_124.33 b,doll_5.52 b,doll_67.3 b,doll_67.25 b,doll_133.28 b,doll_67.25 b
doll_136.86 b,doll_136.86 b,doll_7.36 b,doll_44.6 b,doll_44.63 b,doll_136.74 b,doll_44.63 b
