05-MalPatSaj-market_value,07-silvestri-market_value_apr_2022,05-MalPatSaj-profit,08-slytherin-revenue,07-silvestri-revenue_2022,05-MalPatSaj-assets,05-MalPatSaj-sales
doll_360.01 b,doll_360.01 b,doll_18.49 b,doll_95.3 b,doll_95.25 b,doll_152.71 b,doll_95.25 b
doll_65.75 b,doll_65.75 b,doll_8.39 b,doll_145.2 b,doll_145.19 b,doll_839.85 b,doll_145.19 b
doll_63.56 b,doll_63.56 b,doll_25.44 b,doll_117.3 b,doll_117.3 b,doll_360.47 b,doll_117.3 b
doll_98.38 b,doll_98.38 b,doll_7.55 b,doll_158 b,doll_158.01 b,doll_287.27 b,doll_158.01 b
doll_190.29 b,doll_190.29 b,doll_19.87 b,doll_79 b,doll_79.02 b,doll_168.41 b,doll_79.02 b
doll_132.99 b,doll_132.99 b,doll_11.78 b,doll_38.5 b,doll_38.51 b,"doll_1,398.48 b",doll_38.51 b
doll_103.98 b,doll_103.98 b,doll_10.15 b,doll_110.4 b,doll_110.39 b,doll_204.46 b,doll_110.39 b
doll_228.63 b,doll_228.63 b,doll_7.81 b,doll_86.9 b,doll_86.85 b,doll_192.59 b,doll_86.85 b
doll_68.59 b,doll_68.59 b,doll_12.82 b,doll_60.5 b,doll_60.53 b,"doll_1,350.32 b",doll_60.53 b
doll_108.84 b,doll_108.84 b,doll_7.99 b,doll_89.9 b,doll_89.9 b,doll_260.48 b,doll_89.9 b
doll_58.21 b,doll_58.21 b,doll_9.6 b,doll_78.2 b,doll_78.22 b,"doll_1,814.78 b",doll_78.22 b
doll_75.75 b,doll_75.75 b,doll_11.29 b,doll_48.3 b,doll_48.28 b,"doll_3,176.37 b",doll_48.28 b
doll_494.6 b,doll_494.6 b,doll_23.63 b,doll_61.5 b,doll_61.47 b,doll_139.35 b,doll_61.47 b
doll_60.8 b,doll_60.8 b,doll_17.94 b,doll_136.3 b,doll_136.34 b,doll_257.04 b,doll_136.34 b
doll_346.8 b,doll_346.8 b,doll_14.23 b,doll_75.9 b,doll_75.9 b,doll_142.5 b,doll_75.9 b
doll_52.82 b,doll_52.82 b,doll_12.98 b,doll_76 b,doll_76 b,"doll_1,830.4 b",doll_76 b
doll_386.53 b,doll_386.53 b,doll_14.6 b,doll_79.6 b,doll_79.62 b,doll_120.22 b,doll_79.62 b
doll_55.98 b,doll_55.98 b,doll_14.64 b,doll_131.5 b,doll_131.48 b,doll_277.28 b,doll_131.48 b
doll_83.98 b,doll_83.98 b,doll_19.77 b,doll_83.9 b,doll_83.89 b,doll_174.68 b,doll_83.89 b
doll_91.72 b,doll_91.72 b,doll_4.93 b,doll_128.6 b,doll_128.59 b,doll_340.56 b,doll_128.59 b
doll_273.76 b,doll_273.76 b,doll_11.46 b,doll_56.2 b,doll_56.2 b,doll_146.53 b,doll_56.2 b
