,market_value_jan_2020,market_value_jan_2021,annual_revenue_usd,annual_net_income_usd,revenue,market_capitalization_2022,total_assets_in_usd,total_equity_in_usd,total_liabilities_in_usd
86,0,0,doll_0.028141 b,doll_-0.003698 b,0,0,doll_0.037807 b,doll_0.019734 b,doll_0.018073 b
87,0,0,doll_0.012726000000000001 b,doll_0.0020659999999999997 b,0,0,doll_0.027734 b,doll_0.016440999999999997 b,doll_0.011293 b
88,0,0,doll_0.1047 b,doll_0.035097 b,0,0,doll_0.00423 b,doll_0.35236 b,doll_0.003877 b
89,0,0,doll_0.030681999999999997 b,doll_0.005791 b,0,0,doll_0.078428 b,doll_0.042816 b,doll_0.035612000000000005 b
90,0,0,doll_0.29211000000000004 b,doll_0.00791 b,0,0,doll_0.233 b,doll_0.075075 b,doll_0.15791999999999998 b
91,0,0,doll_0.18463 b,doll_0.016032 b,0,0,doll_0.29346 b,doll_0.11173999999999999 b,doll_0.18172 b
92,0,0,doll_0.068616 b,doll_0.006788000000000001 b,0,0,doll_0.15353999999999998 b,doll_0.048664 b,doll_0.10487 b
93,0,0,doll_0.046384999999999996 b,doll_0.006993999999999999 b,0,0,doll_0.10931 b,doll_0.035946 b,doll_0.07336799999999999 b
94,0,0,doll_0.031677 b,doll_0.005038 b,0,0,doll_0.090954 b,doll_0.052706 b,doll_0.038248 b
95,0,0,doll_0.005511 b,doll_0.002214 b,0,0,doll_0.016957999999999997 b,doll_0.015861 b,doll_0.001098 b
96,0,0,doll_0.004611 b,doll_0.0029140000000000004 b,0,0,doll_0.01334 b,doll_0.011132999999999999 b,doll_0.002206 b
97,0,0,doll_0.070765 b,doll_0.00545 b,0,0,doll_0.13484000000000002 b,doll_0.01694 b,doll_0.1179 b
98,0,0,doll_0.38044 b,doll_0.013413 b,0,0,doll_0.36413 b,doll_0.20502 b,doll_0.15911 b
99,0,0,doll_0.032500999999999995 b,doll_0.010803 b,0,0,doll_0.0013289999999999999 b,doll_0.076756 b,doll_0.001252 b
100,0,0,doll_0.057793 b,doll_0.006666 b,0,0,doll_0.082755 b,doll_0.018852 b,doll_0.063903 b
101,0,0,doll_0.06364399999999999 b,doll_0.012607 b,0,0,doll_0.002957 b,doll_0.19825 b,doll_0.0027589999999999997 b
102,0,0,doll_0.023063 b,doll_0.005888 b,0,0,doll_0.025825 b,doll_0.012247 b,doll_0.013578 b
103,0,0,doll_0.25012 b,doll_0.014839 b,0,0,doll_0.5284500000000001 b,doll_0.14611000000000002 b,doll_0.38233999999999996 b
104,0,0,doll_0.042838 b,doll_0.008060000000000001 b,0,0,doll_0.18855000000000002 b,doll_0.022177 b,doll_0.16637000000000002 b
