,name,code,rank,marketcap,country,sharePrice,change_1day,change_1year,categories
"0,Apple,AAPL,1,$2.242 T,USA,$140.94,-1.38%,-17.67%,""['Tech', 'Software', 'Dowjones', 'TechHardware', 'Electronics']"""
"1,McDonald,MCD,46,$198.00 B,USA,$270.34,-0.53%,4.01%,""['Restaurantchains', 'Dowjones', 'Food']"""
2,T-Mobile US,TMUS,51,$185.11 B,USA,$148.79,-0.40%,27.01%,['Telecommunication']
"51,Schlumberger,SLB,191,$70.61 B,USA,$49.80,-2.12%,61.90%,""['OilGas', 'Energy']"""
"52,Mitsubishi UFJ Financial,MUFG,188,$71.08 B,Japan,$5.45,0.93%,-3.37%,""['Banks', 'Financialservices']"""
"53,Petrobras,PBR,187,$72.26 B,Brazil,$11.08,-0.06%,-0.63%,""['OilGas', 'Energy']"""
"54,Sinopec,600028.SS,184,$73.63 B,China,$0.65,-1.31%,-1.52%,""['OilGas', 'Energy']"""
"55,Canadian Pacific Railway,CP,185,$73.45 B,Canada,$78.96,0.05%,8.30%,""['Railways', 'Transportation', 'Infrastructure']"""
"56,Gazprom,GAZP.ME,186,$73.26 B,Russia,$3.10,0.04%,-32.02%,""['OilGas', 'Energy']"""
57,Compagnie Financière Richemont,CFR.SW,182,$74.11 B,Switzerland,$130.62,1.15%,-16.48%,['Luxurygoods']
"58,Southern Company,SO,181,$74.57 B,USA,$68.50,0.03%,6.25%,""['Energy', 'OilGas', 'Electricity', 'Utilitycompanies']"""
"59,GlaxoSmithKline,GSK,180,$75.49 B,UK,$36.88,-2.74%,-12.98%,""['Biotech', 'Pharmaceuticals']"""
"60,Booking Holdings (Booking.com),BKNG,179,$75.85 B,USA,""$1,956"",-4.24%,-12.89%,""['Internet', 'Travel', 'OnlineTravel', 'Tech']"""
"61,EOG Resources,EOG,183,$74.10 B,USA,$126.16,-1.28%,39.31%,""['Energy', 'OilGas']"""
"62,Air Liquide,AI.PA,178,$75.98 B,France,$144.75,-0.28%,-17.43%,""['CAC40', 'Chemicals']"""
"63,Duke Energy,DUK,176,$76.68 B,USA,$99.58,-0.93%,-1.57%,""['Energy', 'Electricity', 'OilGas', 'Utilitycompanies']"""
64,Progressive,PGR,177,$76.33 B,USA,$130.48,-0.37%,34.78%,['Insurance']
"65,Bayer,BAYZF,267,$55.33 B,Germany,$55.95,0.63%,8.92%,""['Pharmaceuticals', 'Chemicals', 'DAX', 'Biotech']"""
66,Marathon Petroleum,MPC,298,$51.08 B,USA,$109.00,-0.27%,69.70%,[]
67,ITC,ITC.NS,300,$50.96 B,India,$4.11,-0.50%,40.27%,['Tobacco']
68,Archer Daniels Midland (ADM),ADM,297,$51.18 B,USA,$93.17,2.55%,45.22%,['Food']
"69,Sempra Energy,SRE,299,$51.05 B,USA,$162.42,-1.77%,27.98%,""['Energy', 'OilGas', 'Electricity', 'Infrastructure']"""
70,General Mills,GIS,296,$51.76 B,USA,$87.22,2.16%,35.08%,['Food']
"71,Rosneft,ROSN.ME,292,$52.21 B,Russia,$5.50,-3.77%,-30.20%,""['OilGas', 'Energy']"""
"72,Enterprise Products,EPD,294,$51.90 B,USA,$23.86,-1.49%,13.46%,""['OilGas', 'Energy']"""
73,Reckitt Benckiser,RKT.L,291,$52.26 B,UK,$71.51,-0.61%,-12.37%,['Consumergoods']
"74,Midea,000333.SZ,293,$51.92 B,China,$7.42,0.98%,-32.67%,""['HomeKitchenAppliances', 'Manufacturing']"""
75,O'Reilly Automotive,ORLY,295,$51.86 B,USA,$828.79,-0.10%,23.19%,[]
"76,Public Storage,PSA,290,$52.27 B,USA,$296.82,2.71%,-12.77%,""['Realestate', 'Investment', 'REITs']"""
"77,Safran,SAF.PA,289,$52.56 B,France,$122.72,0.72%,2.51%,""['CAC40', 'Aerospace', 'Defensecontractors']"""
"78,Uber,UBER,288,$52.65 B,USA,$26.40,-1.93%,-30.67%,""['Ridesharing', 'Internet', 'Tech', 'Transportation']"""
"79,Ford,F,287,$52.66 B,USA,$13.10,-1.36%,-34.37%,""['Automakers', 'Manufacturing']"""
80,KKR & Co.,KKR,284,$53.14 B,USA,$47.35,-3.47%,-39.06%,['Investment']
"81,Industrial Bank,601166.SS,285,$52.86 B,China,$2.54,0.91%,-15.61%,""['Banks', 'Financialservices']"""
82,Monster Beverage,MNST,286,$52.85 B,USA,$101.23,-0.21%,14.55%,['Beverages']
"83,London Stock Exchange,LS4C.F,281,$53.40 B,UK,$96.15,0.55%,9.86%,""['Financialservices', 'Stockexchanges', 'StockCryptoexchanges']"""
84,Moody's,MCO,282,$53.25 B,USA,$290.68,-0.66%,-27.04%,['Financialservices']
85,Foshan Haitian Flavouring and Food,603288.SS,283,$53.17 B,China,$11.48,-2.20%,-35.07%,['Food']
"86,United Heavy Machinery,OMZZP.ME,280,$53.58 B,Russia,$63.30,-1.34%,-11.95%,""['Machinerymanufacturing', 'Manufacturing']"""
87,Anglo American,AAL.L,278,$53.73 B,UK,$39.79,0.00%,0.15%,['Mining']
88,China Telecom,0728.HK,277,$53.92 B,China,$0.41,-0.63%,28.13%,['Telecommunication']
89,Keurig Dr Pepper,KDP,279,$53.73 B,USA,$37.94,0.72%,8.62%,['Beverages']
"90,General Motors,GM,276,$53.92 B,USA,$37.96,-0.16%,-38.31%,""['Automakers', 'Manufacturing']"""
91,Maaden,1211.SR,369,$44.77 B,Saudi Arabia,$18.19,3.17%,-5.46%,['Mining']
"92,Samsung Biologics,207940.KS,370,$44.62 B,South Korea,$626.95,-0.48%,-15.60%,""['Biotech', 'Manufacturing']"""
"93,Hess,HES,400,$41.55 B,USA,$134.77,-0.62%,68.53%,""['OilGas', 'Energy']"""
"94,Autodesk,ADSK,398,$41.71 B,USA,$193.34,-0.65%,-30.13%,""['Software', 'Tech']"""
95,Wanhua Chemical,600309.SS,399,$41.63 B,China,$13.26,-0.21%,-15.05%,['Chemicals']
"96,Cheniere Energy,CQP,627,$27.67 B,USA,$57.18,0.32%,40.01%,""['OilGas', 'Energy']"""
97,Devon Energy,DVN,395,$42.00 B,USA,$64.25,0.19%,42.40%,[]
98,Exelon Corporation,EXC,394,$42.04 B,USA,$42.31,-1.31%,-21.53%,['Electricity']
"99,Chipotle Mexican Grill,CMG,397,$41.84 B,USA,""$1,509"",0.07%,-11.82%,""['Restaurantchains', 'Food']"""
"100,Biogen,BIIB,393,$42.06 B,USA,$292.15,0.23%,28.80%,""['Pharmaceuticals', 'Biotech']"""
"101,Infineon,IFX.DE,390,$42.45 B,Germany,$32.60,0.52%,-32.64%,""['Semiconductors', 'Tech', 'DAX', 'TechHardware']"""
"102,NXP Semiconductors,NXPI,389,$42.48 B,Netherlands,$163.95,0.53%,-31.37%,""['Semiconductors', 'Tech', 'TechHardware']"""
"103,Workday,WDAY,391,$42.33 B,USA,$164.72,2.08%,-41.22%,""['Software', 'Tech']"""
"104,BCE,BCE,387,$42.68 B,Canada,$46.62,-0.15%,-10.88%,""['Telecommunication', 'MediaPress']"""
105,Sysco,SYY,388,$42.66 B,USA,$84.19,-0.08%,15.46%,[]
106,Republic Services,RSG,385,$42.84 B,USA,$135.57,-0.97%,-0.02%,['WasteRecycling']
107,Ecolab,ECL,392,$42.14 B,USA,$147.97,-0.31%,-35.88%,[]
"108,TC Energy,TRP,386,$42.69 B,Canada,$42.52,-0.09%,-9.82%,""['OilGas', 'Transportation', 'Energy', 'Infrastructure']"""
"109,Chugai Pharmaceutical,4519.T,382,$43.33 B,Japan,$26.35,-1.18%,-17.60%,""['Pharmaceuticals', 'Biotech']"""
"110,MercadoLibre,MELI,380,$43.44 B,Argentina,$863.81,0.08%,-26.69%,""['ECommerce', 'Internet', 'Tech']"""
"111,Enphase Energy,ENPH,384,$43.09 B,USA,$317.05,2.36%,42.46%,""['Software', 'Tech', 'Electronics']"""
112,Fortescue,FMG.AX,383,$43.11 B,Australia,$14.00,-1.75%,10.76%,['Mining']
"113,The Travelers Companies,TRV,377,$44.06 B,USA,$188.05,-0.24%,22.84%,""['Dowjones', 'Insurance']"""
"114,ING,ING,379,$43.92 B,Netherlands,$11.79,-0.08%,-16.91%,""['Banks', 'Financialservices']"""
"115,Cadence Design Systems,CDNS,378,$44.05 B,USA,$160.59,-1.88%,-12.14%,""['Software', 'Tech', 'Electronics', 'TechHardware']"""
116,Paychex,PAYX,381,$43.40 B,USA,$120.44,-0.16%,-2.18%,['Professionalservices']
"117,Consolidated Edison,ED,500,$34.27 B,USA,$96.59,-0.99%,18.43%,""['Electricity', 'Energy']"""
"118,Marvell Technology Group,MRVL,496,$34.47 B,USA,$40.41,-1.65%,-55.84%,""['Tech', 'Semiconductors', 'TechHardware', 'Manufacturing']"""
"119,Xiaomi,XIACF,499,$34.29 B,China,$1.40,-3.51%,-43.55%,""['Electronics', 'Tech', 'TechHardware']"""
"120,Cummins,CMI,498,$34.40 B,USA,$243.94,-0.75%,11.00%,""['Machinerymanufacturing', 'Manufacturing']"""
121,DSV,DSV.VI,494,$34.50 B,Denmark,$154.79,0.48%,-28.10%,['Transportation']
122,Allstate,ALL,495,$34.50 B,USA,$130.11,-0.15%,18.02%,['Insurance']
123,AmerisourceBergen,ABC,497,$34.47 B,USA,$170.29,0.57%,42.48%,['Healthcare']
"124,WuXi AppTec,2359.HK,493,$34.62 B,China,$10.15,6.11%,-50.51%,""['Pharmaceuticals', 'Medicaldevices', 'Biotech']"""
125,Dupont De Nemours,DD,492,$34.62 B,USA,$69.70,-0.39%,-10.11%,['Chemicals']
"126,Hapag-Lloyd,HLAG.DE,491,$34.66 B,Germany,$197.25,-0.64%,-22.12%,""['Transportation', 'Containershipping', 'Maritimetransportation']"""
127,IDEXX Laboratories,IDXX,489,$34.79 B,USA,$420.10,1.13%,-31.29%,[]
"128,STMicroelectronics,STM,488,$34.86 B,Switzerland,$37.69,-0.19%,-24.82%,""['CAC40', 'Semiconductors', 'Tech', 'TechHardware', 'Manufacturing']"""
"129,Hoya,7741.T,486,$34.89 B,Japan,$97.90,-0.48%,-38.05%,""['Glassesandcontactlenses', 'Manufacturing']"""
"130,Axis Bank,AXISBANK.BO,487,$34.89 B,India,$11.40,2.71%,25.00%,""['Banks', 'Financialservices']"""
"131,Electronic Arts,EA,490,$34.78 B,USA,$126.01,-1.10%,-0.11%,""['Videogames', 'Esports', 'Entertainment', 'Tech']"""
"132,Banco Bilbao Vizcaya Argentaria,BBVA,485,$35.08 B,Spain,$5.76,0.00%,0.52%,""['Banks', 'Financialservices']"""
"133,Walgreens Boots Alliance,WBA,484,$35.15 B,USA,$40.65,0.15%,-15.72%,""['Dowjones', 'Retail', 'Drugstore', 'Pharmaceuticals']"""
"134,7-Eleven,3382.T,481,$35.48 B,Japan,$40.18,0.15%,-6.25%,""['SupermarketChains', 'Retail']"""
"135,Jardine Matheson,J36.SI,479,$35.50 B,Hong Kong,$49.25,1.71%,-9.83%,""['Conglomerate', 'Investment']"""
"136,Cenovus Energy,CVE,483,$35.21 B,Canada,$18.29,-0.76%,42.56%,""['OilGas', 'Energy']"""
"137,Samsung SDI,006405.KS,482,$35.24 B,South Korea,$240.70,-0.63%,-17.15%,""['Electricity', 'Batteries']"""
"138,China State Construction Engineering,601668.SS,480,$35.48 B,China,$0.85,0.34%,10.39%,""['Construction', 'Engineering']"""
"139,Jiangsu Hengrui Medicine,600276.SS,478,$35.56 B,China,$5.58,-4.21%,-29.10%,""['Pharmaceuticals', 'Biotech']"""
140,Anta Sports,AS7.F,503,$33.97 B,China,$12.30,1.30%,-23.79%,['Sportsgoods']
"141,Capital One,COF,477,$35.58 B,USA,$93.23,-0.85%,-37.25%,""['Banks', 'Financialservices']"""
"142,Ahold Delhaize,AD.AS,598,$29.20 B,Netherlands,$29.53,-0.74%,-13.98%,""['Retail', 'Food', 'SupermarketChains']"""
143,Loblaw Companies,L.TO,600,$28.99 B,Canada,$89.52,0.94%,16.53%,[]
"144,Eversource Energy,ES,599,$29.17 B,USA,$83.76,-0.71%,-4.05%,""['Energy', 'Utilitycompanies', 'Electricity']"""
145,Rockwell Automation,ROK,597,$29.25 B,USA,$254.77,-0.78%,-27.37%,[]
146,SMC corp,6273.T,596,$29.45 B,Japan,$450.86,0.65%,-32.80%,[]
"147,Cement Roadstone Holding,CRH,594,$29.50 B,Ireland,$39.54,-0.23%,-23.21%,""['Cement', 'Buildingmaterials']"""
"148,Henkel,HEN3.DE,595,$29.48 B,Germany,$70.79,-0.06%,-12.74%,""['DAX', 'Chemicals', 'Consumergoods']"""
"149,State Street Corporation,STT,593,$29.52 B,USA,$80.45,8.19%,-15.23%,""['Financialservices', 'Banks']"""
"150,Givaudan,GIVN.SW,592,$29.57 B,Switzerland,""$3,205"",-1.15%,-37.43%,""['FlavorsFragrances', 'CosmeticsandBeauty']"""
151,W. W. Grainger,GWW,591,$29.63 B,USA,$586.41,1.05%,15.50%,[]
"152,Crédit Agricole,ACA.PA,586,$29.81 B,France,$9.79,-0.37%,-30.42%,""['Banks', 'Financialservices', 'CAC40']"""
153,Telus,TU,590,$29.66 B,Canada,$20.88,-0.48%,-11.60%,['Telecommunication']
154,D. R. Horton,DHI,589,$29.70 B,USA,$86.27,2.81%,-18.74%,['Construction']
"155,Restaurant Brands International,QSR,588,$29.72 B,Canada,$65.93,0.66%,9.83%,""['Restaurantchains', 'Food']"""
"156,RWE,RWE.DE,587,$29.74 B,Germany,$43.99,-0.88%,11.03%,""['Electricity', 'DAX', 'Energy']"""
157,WEC Energy Group,WEC,585,$29.83 B,USA,$94.59,-0.87%,2.44%,[]
"158,AIER Eye Hospital,300015.SZ,583,$29.90 B,China,$4.17,-0.24%,-38.13%,""['Healthcare', 'MedicalCareFacilities']"""
"159,Dell,DELL,580,$30.02 B,USA,$41.92,-1.30%,-28.84%,""['Tech', 'TechHardware', 'Electronics']"""
"160,Constellation Energy,CEG,578,$30.07 B,USA,$91.97,1.31%,,""['Energy', 'Electricity', 'Utilitycompanies']"""
161,MTR Corporation,0066.HK,581,$29.99 B,Hong Kong,$4.84,1.48%,-9.02%,[]
"162,PSEG,PEG,582,$29.91 B,USA,$59.95,-1.07%,-7.23%,""['Electricity', 'Energy']"""
"163,Barrick Gold,GOLD,584,$29.85 B,Canada,$16.86,2.49%,-9.16%,""['Mining', 'Goldmining']"""
164,WEG ON,WEGE3.SA,579,$30.05 B,Brazil,$7.16,-1.19%,17.76%,[]
165,Vodafone,VOD,577,$30.16 B,UK,$10.68,-1.66%,-28.32%,['Telecommunication']
166,Albemarle,ALB,576,$30.17 B,USA,$257.61,-0.15%,-0.74%,['Chemicals']
167,Yili Group,600887.SS,605,$28.66 B,China,$4.48,-1.11%,-28.55%,['Dairycompanies']
"168,EnBW Energie,EBK.DE,700,$24.19 B,Germany,$89.32,0.00%,5.52%,""['Electricity', 'Energy']"""
169,Equity Residential,EQR,698,$24.28 B,USA,$61.96,0.42%,-28.08%,['Realestate']
170,Coca-Cola European Partners,CCEP,699,$24.20 B,UK,$52.32,-0.32%,-4.60%,['Beverages']
171,Skandinaviska Enskilda Banken,SEBA.F,697,$24.29 B,Sweden,$11.22,-1.29%,-24.19%,[]
172,United Rentals,URI,696,$24.36 B,USA,$351.52,1.22%,-1.47%,['RentalLeasingServices']
"173,ULTA Beauty,ULTA,695,$24.42 B,USA,$480.05,3.11%,17.75%,""['Retail', 'CosmeticsandBeauty']"""
174,Compagnie de Saint-Gobain,SGO.PA,694,$24.45 B,France,$47.73,-0.95%,-30.38%,['CAC40']
175,Olympus,7733.T,691,$24.55 B,Japan,$19.28,-0.45%,-10.37%,[]
"176,Rivian,RIVN,689,$24.68 B,USA,$27.94,0.18%,-75.95%,""['Automakers', 'Manufacturing', 'ElectricVehicles']"""
177,KBC,KBCSF,687,$24.88 B,Belgium,$59.70,-0.50%,-30.38%,[]
178,Raymond James,RJF,692,$24.49 B,USA,$113.91,-1.86%,15.18%,[]
"179,Entergy,ETR,693,$24.47 B,USA,$116.00,-0.92%,10.63%,""['Utilitycompanies', 'Energy', 'Electricity']"""
180,Riyad Bank,1010.SR,690,$24.57 B,Saudi Arabia,$8.19,1.32%,12.97%,['Banks']
"181,E.ON,EOAN.DE,686,$24.93 B,Germany,$9.56,-1.00%,-23.64%,""['Electricity', 'DAX', 'Energy', 'Utilitycompanies']"""
"182,Diamondback Energy,FANG,688,$24.84 B,USA,$136.56,-1.19%,18.14%,""['Energy', 'OilGas']"""
183,Edison International,EIX,685,$24.96 B,USA,$65.37,-0.98%,-2.81%,[]
184,CDW Corporation,CDW,684,$25.02 B,USA,$184.85,0.06%,-6.74%,['Retail']
185,Bridgestone,5108.T,683,$25.07 B,Japan,$36.57,-0.12%,-15.89%,['Tires']
"186,Formosa Petrochemical,6505.TW,680,$25.27 B,Taiwan,$2.65,-1.33%,-24.93%,""['OilGas', 'Energy']"""
187,Kellogg's,K,681,$25.21 B,USA,$73.89,1.12%,17.14%,['Food']
188,Assa Abloy,ASAZF,679,$25.28 B,Sweden,$21.93,-2.39%,-26.34%,[]
189,UltraTech Cement,ULTRACEMCO.NS,682,$25.12 B,India,$87.13,0.24%,-10.01%,[]
"190,Beiersdorf,BEI.DE,677,$25.37 B,Germany,$111.86,1.00%,9.44%,""['DAX', 'Consumergoods']"""
191,Lennar,LEN,678,$25.35 B,USA,$89.00,3.61%,-22.49%,['Construction']
192,Equifax,EFX,712,$23.73 B,USA,$193.84,-0.11%,-33.58%,['Financialservices']
"193,LabCorp,LH,800,$20.70 B,USA,$233.68,-0.20%,-21.08%,""['Pharmaceuticals', 'Biotech']"""
194,VeriSign,VRSN,799,$20.77 B,USA,$195.99,-0.74%,-19.77%,['Internet']
"195,Anhui Conch Cement,AHCHF,798,$20.78 B,China,$3.55,-3.27%,-26.95%,""['Cement', 'Buildingmaterials']"""
"196,DoorDash,DASH,797,$20.81 B,USA,$53.62,1.73%,-67.20%,""['FoodDelivery', 'Internet', 'Food', 'Tech']"""
197,CRRC,1766.HK,795,$20.88 B,China,$0.41,2.89%,-10.87%,[]
198,China Railway Group,0390.HK,796,$20.87 B,China,$0.58,2.28%,13.73%,['Construction']
"199,Standard Chartered,STAN.L,794,$20.88 B,UK,$7.18,0.99%,23.37%,""['Banks', 'Financialservices']"""
200,Fujifilm,4901.T,793,$20.88 B,Japan,$51.32,-0.45%,-32.59%,['Conglomerate']
"201,Panasonic,6752.T,792,$20.90 B,Japan,$8.96,-1.01%,-20.00%,""['Electronics', 'Tech', 'TechHardware']"""
202,China Minsheng Bank,600016.SS,791,$20.95 B,China,$0.51,0.00%,-16.39%,[]
203,Ares Management,ARES,790,$20.99 B,USA,$71.08,-1.62%,-11.81%,[]
204,Cardinal Health,CAH,789,$21.01 B,USA,$80.15,0.94%,66.63%,['Healthcare']
"205,Trip.com,TCOM,788,$21.04 B,China,$32.27,-2.54%,15.79%,""['Travel', 'Internet', 'OnlineTravel', 'Tech']"""
206,Great-West Lifeco,GWO.TO,787,$21.07 B,Canada,$22.62,-1.12%,-23.86%,[]
"207,Naver,035420.KS,786,$21.08 B,South Korea,$140.63,1.09%,-57.54%,""['Internet', 'Tech']"""
208,CK Asset Holdings,1113.HK,785,$21.12 B,Hong Kong,$5.88,0.55%,-0.68%,['Realestate']
"209,Ansys,ANSS,784,$21.16 B,USA,$242.92,-0.40%,-39.81%,""['Software', 'Tech']"""
"210,Huntington Bancshares,HBAN,783,$21.16 B,USA,$14.67,-0.07%,-5.29%,""['Banks', 'Financialservices']"""
211,Quanta Services,PWR,781,$21.19 B,USA,$148.31,-0.86%,26.76%,['Engineering']
212,Insulet,PODD,782,$21.17 B,USA,$304.89,1.64%,11.89%,['Medicaldevices']
213,Banorte,GFNORTEO.MX,779,$21.30 B,Mexico,$7.39,-1.45%,19.77%,['Financialservices']
"214,NIO,NIO,780,$21.23 B,China,$12.58,-4.98%,-62.02%,""['Automakers', 'ElectricVehicles']"""
"215,Zoom,ZM,806,$20.42 B,USA,$69.87,-2.24%,-63.04%,""['Tech', 'Internet', 'Software']"""
"216,Komatsu,6301.T,778,$21.31 B,Japan,$22.55,0.06%,-8.63%,""['Manufacturing', 'Machinerymanufacturing']"""
"217,Tenaris,TS,848,$19.46 B,Luxembourg,$32.24,-1.10%,54.85%,""['Manufacturing', 'Steelindustry']"""
218,Northern Trust,NTRS,900,$18.28 B,USA,$87.72,-0.96%,-27.00%,['Financialservices']
"219,Trina Solar,688599.SS,899,$18.29 B,China,$8.43,2.17%,-26.25%,""['Manufacturing', 'Renewableenergy', 'Energy']"""
220,Conagra Brands,CAG,898,$18.32 B,USA,$38.23,1.78%,20.22%,['Food']
"221,Kaō,4452.T,897,$18.33 B,Japan,$40.15,0.29%,-25.76%,""['CosmeticsandBeauty', 'Consumergoods']"""
"222,Kakao,035720.KS,894,$18.36 B,South Korea,$42.07,0.00%,-58.78%,""['Internet', 'Tech']"""
223,Clorox,CLX,892,$18.42 B,USA,$149.32,1.61%,-9.65%,['Consumergoods']
224,Wabtec,WAB,895,$18.35 B,USA,$100.91,0.48%,10.31%,[]
"225,Shiseido,4911.T,893,$18.37 B,Japan,$46.00,-1.04%,-23.61%,""['Consumergoods', 'CosmeticsandBeauty']"""
"226,Legal & General,LGEN.L,891,$18.42 B,UK,$3.08,0.04%,-20.62%,""['AssetManagement', 'Investment']"""
"227,Tourmaline Oil,TOU.TO,896,$18.34 B,Canada,$54.26,-0.43%,62.99%,""['OilGas', 'Energy']"""
