,name,codice,pricecap,price,country
114,S&P Global,SPGI,$119.81 B,$366.38,USA
115,Wuliangye Yibin,000858.SZ,$119.63 B,$30.82,China
116,CVS Health,CVS,$118.15 B,$89.92,USA
117,Lockheed Martin,LMT,$117.88 B,$449.83,USA
118,American Express,AXP,$116.38 B,$155.76,USA
119,Elevance Health,ELV,$115.35 B,$483.00,USA
120,AMD,AMD,$114.47 B,$71.00,USA
121,Jingdong Mall,JD,$113.48 B,$63.60,China
122,BlackRock,BLK,$112.91 B,$753.99,USA
123,Prologis,PLD,$112.52 B,$121.90,USA
124,Deutsche Telekom,DTE.DE,$110.82 B,$22.29,Germany
125,Intuit,INTU,$110.46 B,$393.21,USA
126,American Tower,AMT,$108.39 B,$232.81,USA
127,Gilead Sciences,GILD,$108.20 B,$86.27,USA
128,TAQA,TAQA.AE,$107.75 B,$0.96,UAE
129,BP,BP,$107.46 B,$35.56,UK
130,Medtronic,MDT,$107.19 B,$80.59,Ireland
131,BYD,002594.SZ,$106.16 B,$40.86,China
132,Sony,SONY,$105.95 B,$85.75,Japan
133,Diageo,DEO,$103.84 B,$183.21,UK
134,Keyence,6861.T,$103.07 B,$425.01,Japan
135,Automatic Data Processing,ADP,$101.78 B,$245.36,USA
136,Porsche,P911.DE,$101.31 B,$111.21,Germany
137,NTT (Nippon Telegraph & Telephone),NPPXF,$100.55 B,$29.15,Japan
138,Mitsubishi UFJ Financial,MUFG,$99.04 B,$7.70,Japan
139,Airbus,AIR.PA,$98.71 B,$125.35,Netherlands
140,Stryker Corporation,SYK,$98.32 B,$259.82,USA
141,Equinor,EQNR,$98.03 B,$31.42,Norway
142,Citigroup,C,$96.68 B,$49.92,USA
143,CSL,CSL.AX,$96.40 B,$199.92,Australia
144,Cigna,CI,$96.06 B,$314.21,USA
145,Allianz,ALV.DE,$95.92 B,$237.84,Germany
146,Estee Lauder,EL,$95.34 B,$267.22,USA
147,Chubb,CB,$94.29 B,$227.19,Switzerland
148,TJX Companies,TJX,$94.20 B,$81.53,USA
149,Merck KGaA,MRK.DE,$94.03 B,$216.28,Germany
150,Inditex,IDEXY,$93.01 B,$14.94,Spain
151,Applied Materials,AMAT,$92.83 B,$109.97,USA
152,Mondelez,MDLZ,$91.57 B,$67.06,USA
153,Intuitive Surgical,ISRG,$91.49 B,$258.90,USA
154,LG Energy Solution,373220.KS,$90.87 B,$388.37,S. Korea
155,PayPal,PYPL,$90.60 B,$79.48,USA
156,Schneider Electric,SU.PA,$89.68 B,$160.41,France
157,Booking Holdings (Booking.com),BKNG,$89.26 B,"$2,301",USA
158,General Electric,GE,$87.63 B,$80.20,USA
159,Glencore,GLCNF,$87.42 B,$6.84,Switzerland
160,Marsh & McLennan Companies,MMC,$86.38 B,$173.38,USA
161,Analog Devices,ADI,$86.06 B,$168.98,USA
162,British American Tobacco,BTI,$85.85 B,$38.40,UK
163,Vale,VALE,$85.43 B,$18.43,Brazil
164,EssilorLuxottica,EL.PA,$85.34 B,$188.86,France
165,Enbridge,ENB,$84.62 B,$41.76,Canada
166,Compagnie Financière Richemont,CFR.SW,$84.48 B,$148.89,Switzerland
167,Canadian National Railway,CNI,$83.84 B,$123.69,Canada
168,ServiceNow,NOW,$83.80 B,$414.89,USA
169,Al Rajhi Bank,1120.SR,$83.11 B,$20.78,S. Arabia
170,Schlumberger,SLB,$82.64 B,$58.28,USA
171,Air Liquide,AI.PA,$82.56 B,$156.97,France
172,Altria Group,MO,$81.75 B,$45.62,USA
173,China Shenhua Energy,601088.SS,$81.09 B,$4.27,China
174,Duke Energy,DUK,$80.84 B,$104.98,USA
175,BNP Paribas,BNP.PA,$80.18 B,$65.00,France
176,Volkswagen,VOW3.DE,$80.00 B,$136.88,Germany
177,Regeneron Pharmaceuticals,REGN,$78.64 B,$722.13,USA
178,Progressive,PGR,$78.18 B,$133.65,USA
179,Mercedes-Benz,MBG.DE,$77.97 B,$72.88,Germany
180,Infosys,INFY,$77.58 B,$18.52,India
181,Vertex Pharmaceuticals,VRTX,$77.24 B,$300.94,USA
182,Sinopec,600028.SS,$76.56 B,$0.67,China
183,Southern Company,SO,$76.55 B,$70.32,USA
184,EOG Resources,EOG,$76.04 B,$129.46,USA
185,SABIC,2010.SR,$76.00 B,$25.34,S. Arabia
186,Target,TGT,$75.76 B,$164.60,USA
187,ICICI Bank,IBN,$75.59 B,$21.67,India
188,Hindustan Unilever,HINDUNILVR.NS,$75.10 B,$31.96,India
189,Zoetis,ZTS,$75.00 B,$160.92,USA
190,Kering,KER.PA,$74.48 B,$609.37,France
191,Moderna,MRNA,$73.76 B,$192.00,USA
192,Canadian Pacific Railway,CP,$73.66 B,$79.11,Canada
193,HCA Healthcare,HCA,$73.18 B,$258.87,USA
194,Becton Dickinson,BDX,$72.72 B,$255.85,USA
195,GlaxoSmithKline,GSK,$72.42 B,$35.38,UK
196,U.S. Bancorp,USB,$72.42 B,$47.33,USA
197,Iberdrola,IBE.MC,$72.22 B,$11.82,Spain
198,Illinois Tool Works,ITW,$71.64 B,$233.24,USA
199,3M,MMM,$71.58 B,$129.51,USA
200,China Tourism Group Duty Free,601888.SS,$71.45 B,$34.74,China
201,China Yangtze Power,600900.SS,$71.17 B,$3.13,China
202,Northrop Grumman,NOC,$71.01 B,$461.43,USA
203,AXA,CS.PA,$70.81 B,$30.53,France
204,Zurich Insurance Group,ZURN.SW,$70.78 B,$477.35,Switzerland
205,Petrobras,PBR,$70.69 B,$10.84,Brazil
206,Alpha Dhabi,ALPHADHABI.AE,$70.46 B,$7.05,UAE
207,National Australia Bank,NAB.AX,$69.52 B,$22.05,Australia
208,Walmex,WMMVF,$69.25 B,$3.93,Mexico
209,Air Products and Chemicals,APD,$69.12 B,$311.40,USA
210,Bank of Montreal,BMO,$68.95 B,$97.95,Canada
211,CSX Corporation,CSX,$68.16 B,$32.42,USA
212,DBS Group,D05.SI,$67.85 B,$26.37,Singapore
213,CNOOC,0883.HK,$66.99 B,$1.34,China
214,Equinix,EQIX,$66.80 B,$721.89,USA
215,Boston Scientific,BSX,$66.64 B,$46.53,USA
216,Bank Central Asia,BBCA.JK,$66.36 B,$0.54,Indonesia
217,State Bank of India,SBIN.NS,$66.23 B,$7.42,India
218,SoftBank,9984.T,$66.18 B,$45.26,Japan
219,PNC Financial Services,PNC,$66.14 B,$164.00,USA
220,UBS,UBS,$66.12 B,$20.78,Switzerland
221,General Dynamics,GD,$65.97 B,$240.29,USA
222,Postal Savings Bank of China,601658.SS,$65.92 B,$0.72,China
223,BMW,BMW.DE,$65.62 B,$99.86,Germany
224,Aon,AON,$65.60 B,$317.17,UK
225,Eaton,ETN,$65.40 B,$164.45,Ireland
226,Crown Castle,CCI,$65.32 B,$150.86,USA
227,Fiserv,FISV,$65.12 B,$102.56,USA
228,Colgate-Palmolive,CL,$65.02 B,$77.85,USA
229,America Movil,AMX,$64.92 B,$20.51,Mexico
230,Nongfu Spring,9633.HK,$64.80 B,$5.76,China
231,Lam Research,LRCX,$64.59 B,$473.67,USA
232,KDDI,9433.T,$64.56 B,$29.70,Japan
233,Freeport-McMoRan,FCX,$64.39 B,$45.05,USA
234,Sherwin-Williams,SHW,$63.71 B,$245.88,USA
235,Enel,ENEL.MI,$63.64 B,$6.26,Italy
236,Canadian Natural Resources,CNQ,$63.56 B,$57.33,Canada
237,Airbnb,ABNB,$63.55 B,$100.37,USA
238,Waste Management,WM,$63.29 B,$154.19,USA
239,CME Group,CME,$63.17 B,$175.62,USA
240,Truist Financial,TFC,$63.11 B,$47.57,USA
241,ABB,ABB,$62.67 B,$33.58,Switzerland
242,Humana,HUM,$62.20 B,$491.36,USA
243,Micron Technology,MU,$62.12 B,$56.93,USA
244,Vinci,DG.PA,$61.90 B,$109.86,France
245,Mindray,300760.SZ,$61.86 B,$51.02,China
246,Investor AB,IVS.F,$61.79 B,$19.91,Sweden
247,Scotiabank,BNS,$61.61 B,$51.65,Canada
248,Sumitomo Mitsui Financial Group,SMFG,$61.44 B,$9.03,Japan
249,Blackstone Group,BX,$61.39 B,$85.04,USA
