,employees_number_2017,employees_number_2020,sector,revenue_2017_eu,name,country,link,revenue_2020_eu,compound_annual_growth_rate_cagr_pct,founding_year,absolute_growth_rate_pct
1567,32,53.0,agricultural commodities,9838779,agriconomie,france,,doll_0.03725 b,,2014,
1568,187,364.0,technology,4985758,anytech365,spain,,doll_0.01874 b,,2014,
1569,4,12.0,construction,499484,cladspray solutions,uk,,doll_0.00186 b,,2013,
1570,10,50.0,financial services,8392541,im global partner,france,,doll_0.03146 b,,2015,
1571,2,6.0,precious metals,10982110,confinvest,italy,,doll_0.04113 b,,1983,
1572,2,3.0,technology,2229273,ethic technology,france,,doll_0.00834 b,,2012,
1573,6,7.0,telecoms,19088830,bomax,italy,,doll_0.07129 b,,2001,
1574,4,15.0,retail,1174770,kk-trade,germany,,doll_0.00438 b,,2017,
1575,4,26.0,retail,1061642,marsapet,germany,,doll_0.00396 b,,2015,
1576,8,16.0,ecommerce,5428300,gruppo tera,italy,,doll_0.02022 b,,2015,
1577,7,14.0,technology,824450,codiceplastico,italy,,doll_0.00307 b,,2009,
1578,185,426.0,technology,5772716,tremend,romania,,doll_0.02068 b,,2005,
1579,17,61.0,technology,1771758,doofinder,spain,,doll_0.0065899999999999995 b,,2010,
1580,80,780.0,technology,6955394,hostinger,lithuania,,doll_0.02586 b,,2004,
1581,9,39.0,sales & marketing,1627160,catalyx,switzerland,,doll_0.00654 b,,2013,
1582,6,9.0,sales & marketing,599612,harness code,bulgaria,,doll_0.00222 b,,2016,
1583,5,17.0,chemicals & pharmaceuticals,749940,nanoprom chemicals,italy,,doll_0.00278 b,,2014,
1584,27,49.0,construction,2716240,elite,spain,,doll_0.010060000000000001 b,,2012,
1585,26,119.0,technology,1310532,appunite,poland,,doll_0.00442 b,,2012,
1586,2,7.0,retail,410775,eskalia et nakupenda,france,,doll_0.00152 b,,2006,
1587,3,12.0,transport,2191733,lgx logistics,germany,,doll_0.00807 b,,2006,
1588,11,22.0,industrial goods,910392,polipop,portugal,,doll_0.00335 b,,2015,
1589,1,10.0,ecommerce,691110,stampasi,italy,,doll_0.00254 b,,2016,
1590,45,67.0,industrial goods,3336600,cam,italy,,doll_0.01228 b,,1984,
1591,12,37.0,media,3743740,plug in digital,france,,doll_0.01377 b,,2012,
1592,82,241.0,technology,5233937,predica,poland,,doll_0.01759 b,,2009,
1593,2,19.0,transport,1304073,ocean transport,spain,,doll_0.00478 b,,2009,
1594,103,75.0,energy,5474802,serinus,uk,,doll_0.019649999999999997 b,,1997,
1595,20,50.0,financial services,1375943,demv deutscher maklerverbund,germany,,doll_0.00501 b,,2009,
1596,53,221.0,energy,54990779,sti norland,spain,,doll_0.19982 b,,1996,
1597,27,76.0,technology,1158042,hd elektrotechnik,germany,,doll_0.00421 b,,2011,
1598,1,9.0,technology,558480,engenie group,italy,,doll_0.0020299999999999997 b,,2017,
1599,25,64.0,support services,1156596,groupe n.a.t,france,,doll_0.00418 b,,2016,
1600,2,5.0,media,419430,la sarraz pictures,italy,,doll_0.00151 b,,2015,
1601,5,9.0,retail,1276483,smart-planet,germany,,doll_0.0046 b,,2016,
1602,8,49.0,management consulting,674560,sidea group,italy,,doll_0.0024300000000000003 b,,2015,
1603,5,17.0,retail,1272558,couteaujaponais.com,france,,doll_0.00458 b,,2004,
1604,20,58.0,health,4656191,physidia,france,,doll_0.01675 b,,2010,
1605,2,3.0,retail,2257390,horando deutschland,germany,,doll_0.00811 b,,2013,
1606,22,79.0,ecommerce,6549376,"diablochairs, jan nowak",poland,,doll_0.02152 b,,2004,
1607,16,28.0,technology,15711602,parkster,sweden,,doll_0.05514 b,,2011,
1608,5,13.0,ecommerce,5642145,biotyfull,france,,doll_0.02025 b,,2015,
1609,14,51.0,food & beverage,1650756,bioksan,spain,,doll_0.00591 b,,2014,
1610,37,118.0,support services,910070,trippel,norway,,doll_0.0030600000000000002 b,,1999,
1611,15,32.0,technology,3904618,yourparkingspace limited,uk,,doll_0.013859999999999999 b,,2013,
1612,1,35.0,automobiles,622989,carslift,france,,doll_0.0022299999999999998 b,,2012,
1613,5,11.0,construction,580537,zimmerei nordmann,germany,,doll_0.00207 b,,2009,
1614,20,40.0,industrial goods,1018843,si silicone innovation,germany,,doll_0.00364 b,,2015,
1615,8,12.0,retail,5573000,a.u.e. genc warenhandels-ug,germany,,doll_0.01989 b,,2010,
1616,10,18.0,advertising,1127170,mgvision,italy,,doll_0.00401 b,,2010,
1617,13,26.0,support services,433540,new general service,italy,,doll_0.0015400000000000001 b,,2015,
1618,15,41.0,construction,3266703,andre renovation,france,,doll_0.01159 b,,2010,
1619,10,14.0,industrial goods,644440,m.d.g. components unipersonale,italy,,doll_0.00228 b,,2017,
1620,5,22.0,retail,1778274,amco-bulgaria,bulgaria,,doll_0.0063 b,,2011,
1621,16,39.0,personal & household goods,3498275,symprove,uk,,doll_0.0123 b,,2005,
1622,10,22.0,technology,7477852,tecknuovo,uk,,doll_0.026269999999999998 b,,2015,
1623,62,217.0,technology,6242232,platform.sh,france,,doll_0.02208 b,,2010,
1624,5,46.0,transport,1646307,isg express logistik,germany,,doll_0.0058200000000000005 b,,2011,
1625,55,173.0,construction,12259540,manelli impresa,italy,,doll_0.04336 b,,2008,
1626,22,53.0,education,1031733,sa formação,portugal,,doll_0.00365 b,,2009,
1627,3,14.0,industrial goods,681652,sm sektmanufaktur,germany,,doll_0.0024100000000000002 b,,2015,
1628,8,31.0,health,1055100,beauty consult deutschland,germany,,doll_0.00373 b,,2011,
1629,5,8.0,automobiles,3350270,finauto,italy,,doll_0.011789999999999998 b,,1977,
1630,18,21.0,financial services,32428296,aucoffre.com,france,,doll_0.11404 b,,2009,
1631,37,46.0,fintech,1084616,divido,uk,,doll_0.00379 b,,2014,
1632,6,17.0,construction,1482100,r&k ingenieure,germany,,doll_0.00521 b,,2016,
1633,11,25.0,technology,5031697,nephos technologies,uk,,doll_0.01756 b,,2011,
1634,8,15.0,support services,2178629,la vida,uk,,doll_0.00757 b,,2002,
1635,4,12.0,technology,2363526,midstream lighting,uk,,doll_0.008199999999999999 b,,2012,
1636,2,2.0,technology,1809858,propulse it,france,,doll_0.00633 b,,2014,
1637,25,30.0,agricultural commodities,9100083,additius santa maria,spain,,doll_0.031760000000000004 b,,2012,
1638,3,15.0,telecoms,547084,conexio telecom,france,,doll_0.00191 b,,2017,
1639,5,9.0,retail,1568506,tripin,germany,,doll_0.00547 b,,2012,
1640,4,9.0,industrial goods,910973,continental wood kft.,hungary,,doll_0.00272 b,,1996,
1641,71,120.0,energy,2195780,geoteam,italy,,doll_0.00762 b,,2008,
1642,4,7.0,financial services,5325214,leascorp,france,,doll_0.01848 b,,2014,
1643,3,19.0,management consulting,1954609,positive healthcare,uk,,doll_0.006730000000000001 b,,2014,
1644,4,8.0,retail,658317,ralph schmolke,germany,,doll_0.00228 b,,2010,
1645,2,10.0,property,1079340,roomie milano,italy,,doll_0.00373 b,,2016,
1646,40,89.0,technology,6137755,trencadis corp,romania,,doll_0.02041 b,,2007,
1647,4,11.0,technology,541582,worteks,france,,doll_0.0018700000000000001 b,,2016,
1648,27,74.0,construction,2608093,remove,france,,doll_0.00899 b,,2015,
1649,15,27.0,cyber security,452557,citadelo,czech republic,,doll_0.00156 b,,2006,
1650,13,26.0,automobiles,5283415,grill autoservice,germany,,doll_0.01814 b,,2017,
1651,8,15.0,industrial goods,776268,inbrooll,spain,,doll_0.00266 b,,2013,
1652,3,4.0,retail,25858983,cross,germany,,doll_0.08859 b,,2010,
1653,2,6.0,energy,12106480,b1gas s.p.a,italy,,doll_0.04147 b,,2010,
1654,8,10.0,construction,1808710,filva,italy,,doll_0.00619 b,,2009,
1655,2,6.0,construction,1030000,archingest,italy,,doll_0.00352 b,,2005,
1656,51,124.0,financial services,15241075,alpha fx group,uk,,doll_0.05164 b,,2009,
1657,7,50.0,advertising,1451770,lemonads,switzerland,,doll_0.00495 b,,2012,
1658,71,213.0,technology,13309441,signicat,norway,,doll_0.04251 b,,2007,
1659,41,55.0,construction,22730529,alfred döpker,germany,,doll_0.07736 b,,1965,
1660,42,88.0,retail,3842670,bavaria-ei,germany,,doll_0.01307 b,,2001,
1661,57,245.0,technology,7381686,oxylabs.io,lithuania,,doll_0.02504 b,,2015,
1662,2,5.0,automobiles,687958,a.s.h. automobile,germany,,doll_0.00233 b,,2014,
1663,18,57.0,health,9987236,vascular,hungary,,doll_0.0291 b,,2007,
1664,30,57.0,support services,943718,andjaro,france,,doll_0.00319 b,,2015,
1665,22,34.0,waste management & recycling,973460,röhrtaler wertstoff,germany,,doll_0.00329 b,,2013,
1666,6,7.0,technology,2543343,autel karnetic,uk,,doll_0.00852 b,,2016,
1667,8,10.0,advertising,616520,discoup.com,italy,,doll_0.0020800000000000003 b,,2013,
1668,52,85.0,insurance,10247832,hellas direct,cyprus,,doll_0.03449 b,,2011,
1669,30,45.0,automobiles,3044054,herrles,germany,,doll_0.01024 b,,2009,
1670,6,12.0,education,947000,investmentpunk academy,austria,,doll_0.00318 b,,2016,
1671,6,13.0,industrial goods,1351164,born stahlbau,germany,,doll_0.00453 b,,2015,
1672,5,7.0,construction,2410212,rettel projektbau,germany,,doll_0.00807 b,,2016,
1673,2,4.0,energy,700960,suntronic,italy,,doll_0.00235 b,,2005,
1674,6,42.0,industrial goods,3811838,tmt,italy,,doll_0.01276 b,,2014,
1675,2,5.0,advertising,881275,gedankenburg,germany,,doll_0.0029500000000000004 b,,2015,
1676,6,16.0,automobiles,1385662,svop special vehicle operation,sweden,,doll_0.00453 b,,2013,
1677,132,415.0,health,4476517,glenholme healthcare group,uk,,doll_0.01485 b,,2011,
1678,230,720.0,technology,17203160,audensiel,france,,doll_0.05745 b,,2013,
1679,34,106.0,technology,2618069,ivnosys,spain,,doll_0.00874 b,,2011,
1680,30,45.0,construction,2002982,mulconsa,spain,,doll_0.006690000000000001 b,,2012,
1681,14,54.0,retail,10518963,50nrth,germany,,doll_0.03511 b,,2004,
1682,6,10.0,retail,793957,delecto,croatia,,doll_0.00265 b,,2008,
1683,7,47.0,industrial goods,1058063,mardruk opakowania,poland,,doll_0.00323 b,,2015,
1684,15,40.0,construction,1862272,manang,france,,doll_0.00621 b,,2012,
1685,21,27.0,health,4461170,bestbion dx,germany,,doll_0.01486 b,,2011,
1686,7,21.0,financial services,772943,avamore capital,uk,,doll_0.0025499999999999997 b,,2015,
1687,13,30.0,energy,1414501,solaris and more,germany,,doll_0.004690000000000001 b,,2011,
1688,8,11.0,retail,660767,clearcycle,uk,,doll_0.00218 b,,2015,
1689,12,35.0,support services,4180523,opteamis,france,,doll_0.013859999999999999 b,,2005,
1690,10,20.0,construction,1926967,codenor,spain,,doll_0.00639 b,,2010,
1691,8,18.0,ecommerce,1271353,happybulle,france,,doll_0.00421 b,,2015,
1692,46,158.0,energy,4587687,aurora energy research,uk,,doll_0.01508 b,,2013,
1693,19,14.0,fashion,7265350,bacci,spain,,doll_0.024050000000000002 b,,2003,
1694,8,25.0,food & beverage,8110160,emilia foods,italy,,doll_0.02682 b,,2013,
1695,82,211.0,health,1020690,t.e.a.m. - ti educa a migliorare,italy,,doll_0.00337 b,,2001,
1696,30,75.0,technology,1163241,brainhub,poland,,doll_0.0035099999999999997 b,,2016,
1697,10,9.0,construction,810750,assitech,italy,,doll_0.00268 b,,2016,
1698,4,11.0,ecommerce,694501,schott packaging,uk,,doll_0.00227 b,,2016,
1699,12,30.0,energy,1001740,alba,italy,,doll_0.0033 b,,2010,
1700,219,740.0,financial services,9915609,fintru,uk,,doll_0.03239 b,,2013,
1701,4,5.0,construction,1226000,global edilizia,italy,,doll_0.004030000000000001 b,,2011,
1702,2,381.0,management consulting,17515305,tpximpact,uk,,doll_0.05709 b,,2016,
1703,6,9.0,advertising,1222870,lgs sportlab,italy,,doll_0.00401 b,,2010,
1704,4,45.0,construction,1825769,weiser brandschutz & technik,germany,,doll_0.0059900000000000005 b,,2005,
1705,13,47.0,fashion,5602279,fairfax and favor,uk,,doll_0.018179999999999998 b,,2013,
1706,39,85.0,technology,2384156,fao consulting,france,,doll_0.0077800000000000005 b,,2014,
1707,8,37.0,financial services,1794120,gruppo del barba consulting,italy,,doll_0.005860000000000001 b,,2010,
1708,62,109.0,technology,8075796,exclaimer,uk,,doll_0.02614 b,,2003,
1709,25,77.0,management consulting,3128700,join business management consulting,italy,,doll_0.01019 b,,2013,
1710,27,57.0,construction,5244000,vennes,germany,,doll_0.01705 b,,2003,
1711,7,31.0,technology,906341,piggy,the netherlands,,doll_0.0029500000000000004 b,,2013,
1712,40,130.0,fintech,63207258,epassi,finland,,doll_0.20531 b,,2007,
1713,150,315.0,technology,10300000,atheneum partners,germany,,doll_0.0334 b,,2010,
1714,211,454.0,technology,48580102,pharmacy2u,uk,,doll_0.15622999999999998 b,,1999,
1715,6,18.0,support services,556159,phoenix developpement,france,,doll_0.0018 b,,2011,
1716,10,25.0,transport,1300000,wiwie transport,germany,,doll_0.004200000000000001 b,,2016,
1717,23,31.0,automobiles,834708,mevas auto center,romania,,doll_0.0026 b,,2003,
1718,21,35.0,retail,1602458,bk beachhouse mode,germany,,doll_0.00517 b,,2015,
1719,3,9.0,construction,622800,f.lli urso,italy,,doll_0.0020099999999999996 b,,2015,
1720,61,166.0,financial services,6882489,gohenry,uk,,doll_0.022019999999999998 b,,2011,
1721,634,816.0,transport,17727950,adrilog,italy,,doll_0.05706 b,,2014,
1722,2,6.0,advertising,2250946,attachment,uk,,doll_0.00719 b,,2015,
1723,15,25.0,agricultural commodities,4020469,paris herbes,france,,doll_0.01293 b,,2015,
1724,37,28.0,transport,1703819,interlog logistic,france,,doll_0.0054800000000000005 b,,2015,
1725,34,75.0,construction,10393680,conglomerati bituminosi,italy,,doll_0.03337 b,,1975,
1726,5,26.0,ecommerce,1172617,nikkel art,belgium,,doll_0.00376 b,,2010,
1727,9,25.0,technology,1206770,esyen,italy,,doll_0.00387 b,,2011,
1728,104,165.0,industrial goods,5322238,sav-eco packaging ltd,uk,,doll_0.01692 b,,2014,
1729,8,19.0,construction,719638,elmar mair tiefbau,germany,,doll_0.0023 b,,2016,
1730,12,15.0,energy,1094666,atlas innovative engineering,spain,,doll_0.0035 b,,2014,
1731,48,76.0,technology,2171492,secure-ic,france,,doll_0.0069299999999999995 b,,2010,
1732,16,36.0,technology,1111687,datalyo,france,,doll_0.00354 b,,2014,
1733,14,29.0,management consulting,805029,signify technology,uk,,doll_0.0025499999999999997 b,,2016,
1734,20,59.0,ecommerce,12127395,boxt,uk,,doll_0.038369999999999994 b,,2017,
1735,55,158.0,ecommerce,9762332,james and james fulfilment,uk,,doll_0.03089 b,,2010,
1736,5,9.0,food & beverage,879670,armonie,italy,,doll_0.0028 b,,2014,
1737,1,5.0,technology,1674690,maverick group,italy,,doll_0.00531 b,,2017,
1738,10,29.0,advertising,1344240,brainpull,italy,,doll_0.00426 b,,2012,
1739,4,15.0,media,516164,wiseband,france,,doll_0.00164 b,,2014,
1740,4,15.0,agricultural commodities,12867410,groupe ezdo la boulangerie des gourmets,france,,doll_0.040780000000000004 b,,2013,
1741,257,396.0,support services,3363800,pakar service,poland,,doll_0.00973 b,,2010,
1742,62,117.0,industrial goods,10181000,bio-uv,france,,doll_0.032170000000000004 b,,2000,
1743,2,14.0,construction,809450,f.g. service,italy,,doll_0.0025499999999999997 b,,2015,
1744,2,125.0,transport,3033150,allways logistics system,italy,,doll_0.00957 b,,2012,
1745,75,164.0,ecommerce,16075963,matsmart,sweden,,doll_0.04958 b,,2013,
1746,2,5.0,construction,573070,autargo,germany,,doll_0.00181 b,,2016,
1747,7,9.0,food & beverage,1484883,brewshop.no,norway,,doll_0.00439 b,,2015,
1748,3,15.0,technology,676000,visualitics,italy,,doll_0.00213 b,,2016,
1749,14,32.0,retail,15610826,hifi extra,germany,,doll_0.04919 b,,2016,
1750,70,150.0,food & beverage,8271702,ankerkraut,germany,,doll_0.026010000000000002 b,,2013,
1751,98,205.0,fashion,6615000,gda,italy,,doll_0.02075 b,,2008,
1752,9,25.0,technology,859960,nexid,italy,,doll_0.0027 b,,2006,
1753,7,16.0,energy,666210,gs studio & service,italy,,doll_0.00209 b,,2013,
1754,60,160.0,technology,5229000,neosperience,italy,,doll_0.016370000000000003 b,,2006,
1755,11,16.0,technology,2031522,lunos,slovenia,,doll_0.00636 b,,2010,
1756,39,71.0,construction,3342120,meic costruzioni,italy,,doll_0.01046 b,,2013,
1757,12,14.0,construction,5105700,trident lifting solutions ltd,uk,,doll_0.01585 b,,2016,
1758,28,69.0,technology,3264000,smart battery solutions,germany,,doll_0.010199999999999999 b,,2010,
1759,10,20.0,retail,2601485,eu-bay commerce,germany,,doll_0.008119999999999999 b,,2003,
1760,6,20.0,education,1171373,jens rabe academy,germany,,doll_0.00366 b,,2009,
1761,407,1251.0,telecoms,18649681,hyperoptic,uk,,doll_0.05777 b,,2010,
1762,2,21.0,energy,2531055,sepale,france,,doll_0.00788 b,,2009,
1763,19,33.0,telecoms,633990,3a informatica,italy,,doll_0.00197 b,,2005,
1764,10,22.0,ecommerce,1009846,emsproto,france,,doll_0.00314 b,,2014,
1765,9,13.0,chemicals & pharmaceuticals,1815835,laboratoires dermosun,france,,doll_0.00563 b,,2011,
1766,13,23.0,construction,2177950,saico,italy,,doll_0.00674 b,,2013,
1767,9,19.0,food & beverage,2124990,nutis,italy,,doll_0.00657 b,,1956,
1768,12,23.0,ecommerce,4693330,ogrodosfera.pl,poland,,doll_0.01326 b,,2011,
1769,17,30.0,industrial goods,1290312,svti,france,,doll_0.00398 b,,2010,
1770,13,38.0,technology,1087520,enhancers,italy,,doll_0.00335 b,,2011,
1771,6,16.0,waste management & recycling,2498792,agripower france,france,,doll_0.0077 b,,2012,
1772,8,18.0,industrial goods,3080610,next turbo technologies,italy,,doll_0.00948 b,,2014,
1773,46,98.0,advertising,1759490,velvet media italia,italy,,doll_0.00541 b,,2013,
1774,9,35.0,advertising,667837,booster box,italy,,doll_0.0020499999999999997 b,,2016,
1775,3,2.0,food & beverage,1072117,rmf group,slovakia,,doll_0.00329 b,,2014,
1776,89,140.0,construction,23141358,darwin group limited,uk,,doll_0.07039 b,,2005,
1777,90,230.0,technology,3730405,itfs,poland,,doll_0.01045 b,,2012,
1778,9,25.0,education,1031988,skillsday,france,,doll_0.00315 b,,2015,
1779,23,34.0,technology,2850000,gapps,finland,,doll_0.00871 b,,2010,
1780,6,15.0,interiors,720650,maxfel,italy,,doll_0.0022 b,,1984,
1781,33,55.0,insurance,4832212,herrero brigantina,spain,,doll_0.01473 b,,2012,
1782,3,6.0,industrial goods,1263420,manitech,italy,,doll_0.00383 b,,2016,
1783,6,16.0,industrial goods,1944720,tradeco,italy,,doll_0.005889999999999999 b,,2016,
1784,13,28.0,property,1585727,mon chasseur immo,france,,doll_0.00479 b,,2012,
1785,20,75.0,support services,2737704,upslide,france,,doll_0.00827 b,,2013,
1786,5,18.0,construction,868406,cogeclim energies,france,,doll_0.00262 b,,2015,
1787,10,14.0,sales & marketing,989785,cellarius,hungary,,doll_0.00257 b,,2004,
1788,75,141.0,health,1173908,careful-service,germany,,doll_0.00354 b,,2014,
1789,24,30.0,health,590642,softneta,lithuania,,doll_0.0017800000000000001 b,,2007,
1790,64,161.0,financial services,5561585,progeny,uk,,doll_0.0166 b,,2016,
1791,29,57.0,technology,8022358,web geo services,france,,doll_0.02411 b,,2009,
1792,,,transport,1140000,spedition ibov,germany,,doll_0.00342 b,,2013,
1793,21,25.0,retail,2119022,mypostcard.com,germany,,doll_0.00636 b,,2014,
1794,2,3.0,retail,1078808,variosan,germany,,doll_0.00323 b,,2013,
1795,8,36.0,technology,777849,riedle + bertsch,germany,,doll_0.00233 b,,2013,
1796,23,50.0,interiors,3973460,mobili fiver,italy,,doll_0.0119 b,,1999,
1797,11,46.0,construction,2065220,klc desamiantage,france,,doll_0.00618 b,,2015,
1798,3,6.0,retail,1105569,secret arts of spirits,france,,doll_0.00331 b,,2014,
1799,68,184.0,ecommerce,24429686,mpb group limited,uk,,doll_0.0725 b,,2011,
1800,5,12.0,automobiles,8527777,3zehn auto discount,germany,,doll_0.02545 b,,2016,
1801,50,67.0,technology,15292051,adikteev,france,,doll_0.04562 b,,2012,
1802,3,50.0,retail,2370645,fundis reitsport,germany,,doll_0.00707 b,,2009,
1803,9,17.0,retail,753352,antriebstechnik ebner-seibold,germany,,doll_0.00225 b,,2009,
1804,30,102.0,technology,3880663,invibes advertising,belgium,,doll_0.011529999999999999 b,,2011,
1805,18,34.0,support services,808700,jointly il welfare condiviso,italy,,doll_0.0024 b,,2014,
1806,10,23.0,construction,3450305,abtot mark & anläggning ab,sweden,,doll_0.009980000000000001 b,,2012,
1807,10,36.0,property,11484801,dusapro immobilien,germany,,doll_0.0339 b,,2012,
1808,4,8.0,media,787160,soldats films,france,,doll_0.00232 b,,2012,
1809,120,287.0,telecoms,5137900,eagleprojects,italy,,doll_0.01514 b,,2016,
1810,15,43.0,technology,1897650,agile lab,italy,,doll_0.0055899999999999995 b,,2013,
1811,4,8.0,ecommerce,1126971,importpris.no,norway,,doll_0.00311 b,,2012,
1812,18,72.0,industrial goods,4245861,truu,germany,,doll_0.01247 b,,2011,
1813,5,15.0,technology,1461226,l’atelier,france,,doll_0.00429 b,,2016,
1814,7,22.0,construction,1326082,frigoclim kälte-klima,germany,,doll_0.0038900000000000002 b,,2014,
1815,3,5.0,retail,722795,m coffee company,germany,,doll_0.00212 b,,2013,
1816,12,22.0,retail,1818032,protextyl,france,,doll_0.00532 b,,2011,
1817,14,18.0,construction,964998,sp architecte,france,,doll_0.00283 b,,2009,
1818,54,178.0,retail,7709375,embargos a lo bestia,spain,,doll_0.02256 b,,2011,
1819,2,3.0,technology,7000063,snigel,ireland,,doll_0.02048 b,,2011,
1820,5,120.0,health,650000,ims rettungsdienst,germany,,doll_0.0019 b,,2006,
1821,1,16.0,support services,828820,way2global sb,italy,,doll_0.0024100000000000002 b,,2017,
1822,3,33.0,support services,1181642,media access solutions,uk,,doll_0.0034100000000000003 b,,2014,
1823,21,44.0,sales and marketing,14649568,exadi,spain,,doll_0.04253 b,,2008,
1824,10,29.0,telecoms,1395607,fiber-service-gesellschaft,germany,,doll_0.00405 b,,2014,
1825,140,280.0,technology,3868483,tenderhut (group),poland,,doll_0.01026 b,,2010,
1826,12,30.0,food & beverage,48449141,worldwide fishing company,spain,,doll_0.14044 b,,2016,
1827,26,43.0,automobiles,6246592,doctor hail spa,italy,,doll_0.0181 b,,2013,
1828,650,1500.0,support services,14500000,kbs group,germany,,doll_0.04201 b,,2011,
1829,5,12.0,construction,723064,terre ehitus,estonia,,doll_0.00209 b,,2017,
1830,7,19.0,energy,12554325,bauer energiekonzepte,germany,,doll_0.03622 b,,2013,
1831,26,77.0,construction,3226280,new euroart,italy,,doll_0.00931 b,,2001,
1832,8,16.0,beauty,575120,capelli for you,italy,,doll_0.00166 b,,2015,
1833,133,371.0,advertising,37992902,ogury,uk,,doll_0.10876000000000001 b,,2014,
1834,7,17.0,construction,698300,tft ernst,germany,,doll_0.0020099999999999996 b,,2017,
1835,31,55.0,technology,6564162,somerford associates,uk,,doll_0.018760000000000002 b,,2001,
1836,12,38.0,property,2818652,arcadia investment,germany,,doll_0.0081 b,,2012,
1837,112,186.0,management consulting,19351090,filoblu,italy,,doll_0.055560000000000005 b,,2009,
1838,8,21.0,technology,685567,tribus digital,uk,,doll_0.00195 b,,2016,
1839,20,35.0,technology,1060000,doit,italy,,doll_0.00304 b,,2014,
1840,8,23.0,health,2329522,global perspectives,uk,,doll_0.00663 b,,2009,
1841,8,25.0,support services,527910,pirene,italy,,doll_0.00151 b,,1999,
1842,39,183.0,personal & household goods,36995102,ipulse,uk,,doll_0.10515000000000001 b,,2012,
1843,23,47.0,technology,2322241,blue networks,germany,,doll_0.00663 b,,2002,
1844,20,35.0,construction,3686000,n. schwegler,germany,,doll_0.01051 b,,2009,
1845,7,15.0,construction,659402,marcus lutz bau,germany,,doll_0.0018700000000000001 b,,2002,
1846,3,4.0,retail,2462478,hkr-technik,germany,,doll_0.007 b,,2008,
1847,18,30.0,technology,1424633,licht + strom,germany,,doll_0.00404 b,,2007,
1848,15,40.0,automobiles,5915499,die autowelt,germany,,doll_0.01675 b,,2009,
1849,4,9.0,aerospace & defence,3977562,artheau aviation,france,,doll_0.01126 b,,2012,
1850,13,22.0,industrial goods,1592170,cepo,italy,,doll_0.0045 b,,2000,
1851,1,2.0,financial services,1022714,sneakers & jackets,france,,doll_0.00289 b,,2013,
1852,11,26.0,advertising,647020,89up,uk,,doll_0.00181 b,,2009,
1853,na,4.0,automobiles,2281929,luxury & performance selection,france,,doll_0.00644 b,,2016,
1854,117,395.0,management consulting,6381674,grayce group,uk,,doll_0.01789 b,,2012,
1855,1,4.0,technology,581520,nemesi italia,italy,,doll_0.00164 b,,1993,
1856,12,40.0,technology,1799189,halo service solutions,uk,,doll_0.00504 b,,1994,
1857,36,73.0,technology,28668484,raspberry pi,uk,,doll_0.08006999999999999 b,,2012,
1858,8,17.0,interiors,1944000,giopato & coombes,italy,,doll_0.00547 b,,2010,
1859,4,8.0,retail,1207009,ship it,germany,,doll_0.0033900000000000002 b,,2016,
1860,19,47.0,retail,29564866,rheinische scheidestätte,germany,,doll_0.08304 b,,2012,
1861,34,90.0,advertising,1586246,whites agency,poland,,doll_0.00408 b,,2011,
1862,1,38.0,health,867960,casa di riposo medicalizzata sempione*,italy,,doll_0.00244 b,,2017,
1863,135,269.0,technology,4608343,cshark,poland,,doll_0.01183 b,,2014,
1864,30,47.0,interiors,2269510,zinox laser,italy,,doll_0.00636 b,,2015,
1865,14,20.0,industrial goods,1778890,tera automation,italy,,doll_0.0049900000000000005 b,,2013,
1866,12,16.0,health,3137630,innova hts,italy,,doll_0.00879 b,,2014,
1867,8,20.0,technology,554004,kentigen,czech republic,,doll_0.00151 b,,2013,
1868,13,23.0,technology,1386701,teal partners,belgium,,doll_0.00387 b,,2015,
1869,16,47.0,health,4040060,lm medical division,italy,,doll_0.01128 b,,2010,
1870,25,47.0,technology,2809036,bec,germany,,doll_0.00784 b,,2003,
1871,41,81.0,technology,1610149,xylon,croatia,,doll_0.00449 b,,1995,
1872,2,9.0,transport,1083821,spedition kai rindert,germany,,doll_0.00302 b,,2017,
1873,16,22.0,construction,1241760,co.ge.sa. costruzioni generali saba,italy,,doll_0.0034500000000000004 b,,2009,
1874,13,20.0,ecommerce,5547537,skärgårdstunnan/skargards,sweden,,doll_0.01508 b,,2010,
1875,1,14.0,automobiles,1006280,autonova milano,italy,,doll_0.00279 b,,2015,
1876,25,40.0,energy,10925375,polarstern,germany,,doll_0.03027 b,,2011,
1877,5,15.0,property,11207566,halsdorfer + ingenieure projekt,germany,,doll_0.031039999999999998 b,,2013,
1878,9,23.0,support services,838200,opna,france,,doll_0.00232 b,,2015,
1879,25,39.0,ecommerce,3372820,stikets,spain,,doll_0.00932 b,,2010,
1880,18,18.0,education,12479120,campustore,italy,,doll_0.034409999999999996 b,,1994,
1881,14,27.0,technology,574487,ars futura,croatia,,doll_0.00158 b,,2013,
1882,64,116.0,support services,1028730,cemir security,italy,,doll_0.0028399999999999996 b,,2015,
1883,40,60.0,personal & household goods,8362568,borgy cz,czech republic,,doll_0.022420000000000002 b,,2009,
1884,190,600.0,health,5908517,groupe zephyr,france,,doll_0.01626 b,,2007,
1885,25,57.0,technology,1438184,dernier cri,france,,doll_0.00396 b,,2015,
1886,10,37.0,technology,800000,yes!devs,germany,,doll_0.0022 b,,2016,
1887,19,36.0,retail,4788000,hydroflex group,germany,,doll_0.01317 b,,2009,
1888,7,31.0,support services,2003540,proteko service,italy,,doll_0.0055 b,,2016,
