00-avengers-total_liabilities_in_usd,00-avengers-total_equity_in_usd,00-avengers-total_assets_in_usd,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd
doll_88.336 m,doll_73.068 m,doll_161.400 m,doll_64.388 m,"64,388 million usd"
,,,doll_123.070 m,"42,838 million usd"
doll_141.700 m,doll_35.283 m,doll_176.980 m,doll_19.374 m,"250,120 million usd"
doll_3.513.400 m,doll_320.240 m,doll_3.833.700 m,doll_76.991 m,"23,063 million usd"
doll_137.460 m,doll_69.102 m,doll_206.560 m,doll_80.118 m,"63,644 million usd"
doll_36.707 m,doll_-5.314 m,doll_31.392 m,doll_29.060 m,"64,989 million usd"
doll_56.820 m,doll_75.686 m,doll_132.510 m,doll_43.171 m,"9,635 million usd"
doll_153.550 m,doll_-14.999 m,doll_138.550 m,doll_62.286 m,"71,887 million usd"
doll_15.320 m,doll_5.590 m,doll_20.910 m,doll_17.737 m,"133,260 million usd"
,,,,"25,979 million usd"
doll_54.465 m,doll_6.700 m,doll_61.165 m,doll_25.979 m,
doll_99.755 m,doll_189.520 m,doll_289.270 m,doll_133.260 m,"17,737 million usd"
doll_2.089.400 m,doll_201.970 m,doll_2.291.400 m,doll_71.887 m,"62,286 million usd"
doll_4.981 m,doll_14.755 m,doll_19.736 m,doll_9.635 m,"43,171 million usd"
doll_1.353.000 m,doll_110.000 m,doll_1.463.000 m,doll_64.989 m,"29,060 million usd"
doll_208.090 m,doll_27.464 m,doll_235.560 m,doll_12.743 m,"16,562 million usd"
doll_1.653 m,doll_11.901 m,doll_13.555 m,doll_5.710 m,"47,525 million usd"
doll_65.683 m,doll_18.431 m,doll_84.114 m,doll_43.932 m,"18,200 million usd"
doll_51.464 m,doll_51.432 m,doll_102.900 m,doll_63.495 m,"9,356 million usd"
doll_113.100 m,doll_18.901 m,doll_132.000 m,doll_57.350 m,"50,971 million usd"
doll_66.309 m,doll_16.484 m,doll_82.793 m,doll_50.971 m,"57,350 million usd"
doll_64.806 m,doll_5.081 m,doll_69.887 m,doll_9.356 m,"63,495 million usd"
doll_31.804 m,doll_11.206 m,doll_43.010 m,doll_18.200 m,"43,932 million usd"
doll_279.410 m,doll_60.467 m,doll_339.870 m,doll_47.525 m,"5,710 million usd"
doll_790.870 m,doll_50.424 m,doll_841.290 m,doll_16.562 m,"12,743 million usd"
doll_12.994 m,doll_2.032 m,doll_15.026 m,doll_8.297 m,"4,759 million usd"
doll_167.300 m,doll_277.170 m,doll_444.470 m,doll_168.300 m,"5,896 million usd"
doll_128.440 m,doll_14.050 m,doll_142.490 m,doll_51.682 m,"74,196 million usd"
doll_148.960 m,doll_68.669 m,doll_217.630 m,doll_54.304 m,"106,000 million usd"
doll_693.200 m,doll_75.186 m,doll_768.390 m,doll_133.170 m,"44,655 million usd"
doll_83.839 m,doll_19.707 m,doll_103.550 m,doll_44.655 m,"133,170 million usd"
doll_40.984 m,doll_12.827 m,doll_53.811 m,doll_106.000 m,"54,304 million usd"
doll_158.560 m,doll_40.310 m,doll_198.870 m,doll_74.196 m,"51,682 million usd"
doll_7.103 m,doll_3.695 m,doll_10.798 m,doll_5.896 m,"168,300 million usd"
doll_25.059 m,doll_33.426 m,doll_58.486 m,doll_4.759 m,"8,297 million usd"
,,,doll_110.000 m,"31,853 million usd"
doll_107.530 m,doll_10.432 m,doll_117.970 m,doll_57.468 m,"49,100 million usd"
doll_8.932 m,doll_4.775 m,doll_13.708 m,doll_5.991 m,"6,936 million usd"
doll_61.400 m,doll_36.060 m,doll_97.460 m,,"45,828 million usd"
doll_14.916 m,doll_43.933 m,doll_58.849 m,doll_27.705 m,"149,500 million usd"
doll_45.181 m,doll_32.820 m,doll_78.001 m,doll_149.500 m,"27,705 million usd"
doll_45.255 m,doll_45.406 m,doll_90.661 m,doll_45.828 m,
,,,doll_6.936 m,"5,991 million usd"
,,,doll_49.100 m,"57,468 million usd"
doll_33.178 m,doll_26.933 m,doll_60.111 m,doll_31.853 m,"110,000 million usd"
doll_59.842 m,doll_3.225 m,doll_63.068 m,doll_16.046 m,"17,000 million usd"
doll_19.527 m,doll_14.707 m,doll_34.236 m,doll_19.445 m,"9,955 million usd"
doll_18.218 m,doll_48.886 m,doll_67.105 m,doll_34.022 m,"35,355 million usd"
doll_108.320 m,doll_65.805 m,doll_174.120 m,doll_88.706 m,"114,040 million usd"
doll_26.474 m,doll_23.514 m,doll_49.989 m,doll_21.695 m,"16,311 million usd"
doll_9.941 m,doll_9.994 m,doll_15.555 m,doll_16.311 m,"21,695 million usd"
doll_1.167.500 m,doll_88.107 m,doll_1.255.700 m,doll_114.040 m,"88,706 million usd"
