00-avengers-total_liabilities_in_usd,00-avengers-total_equity_in_usd,00-avengers-total_assets_in_usd,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd
,,,,"8,350 million usd"
doll_1.795 m,673 million usd,doll_2.469 m,doll_1.391 m,333 million usd
0 million usd,0 million usd,0 million usd,0 million usd,514 million usd
,,,,"4,021 million usd"
100 million usd,274 million usd,374 million usd,463 million usd,463 million usd
doll_5.581 m,doll_1.098 m,doll_6.679 m,doll_4.021 m,
doll_38.309 m,doll_2.787 m,doll_41.096 m,514 million usd,"3,672 million usd"
254 million usd,159 million usd,414 million usd,333 million usd,877 million usd
doll_34.851 m,doll_10.822 m,doll_45.673 m,doll_8.350 m,512 million usd
859 million usd,doll_1.274 m,doll_2.133 m,405 million usd,314 million usd
,,,,413 million usd
,,,,
,,,,"1,513 million usd"
,,,,636 million usd
doll_2.905 m,doll_1.655 m,doll_4.561 m,342 million usd,342 million usd
doll_5.763 m,doll_2.058 m,doll_7.822 m,636 million usd,"3,476 million usd"
doll_71.149 m,doll_4.850 m,doll_75.999 m,doll_1.513 m,
,,,,
141 million usd,675 million usd,816 million usd,413 million usd,0 million usd
396 million usd,doll_2.589 m,doll_2.986 m,314 million usd,781 million usd
205 million usd,472 million usd,677 million usd,512 million usd,
350 million usd,doll_1.860 m,doll_2.210 m,877 million usd,711 million usd
doll_10.631 m,doll_2.580 m,doll_13.211 m,doll_3.672 m,"15,267 million usd"
doll_1.806 m,0 million usd,doll_3.372 m,doll_3.476 m,"2,175 million usd"
doll_9.372 m,doll_20.964 m,doll_30.336 m,doll_1.392 m,"1,392 million usd"
doll_37.806 m,doll_4.181 m,doll_41.987 m,doll_2.175 m,
doll_4.520 m,doll_4.024 m,doll_8.544 m,doll_15.267 m,"18,867 million usd"
194 million usd,516 million usd,711 million usd,711 million usd,356 million usd
,,,,72 million usd
doll_4.222 m,doll_2.028 m,doll_6.251 m,781 million usd,505 million usd
156 million usd,326 million usd,482 million usd,0 million usd,"6,499 million usd"
,,,,
doll_120.470 m,doll_6.976 m,doll_127.450 m,,"1,046 million usd"
,,,,
869 million usd,doll_1.267 m,doll_2.136 m,doll_1.335 m,"1,335 million usd"
doll_13.737 m,doll_2.308 m,doll_16.046 m,,"2,050 million usd"
281 million usd,653 million usd,935 million usd,doll_1.046 m,"4,617 million usd"
,,,,919 million usd
doll_1.698 m,doll_1.042 m,doll_2.741 m,doll_6.499 m,"2,107 million usd"
127 million usd,403 million usd,530 million usd,505 million usd,"1,652 million usd"
146 million usd,459 million usd,605 million usd,72 million usd,
117 million usd,126 million usd,244 million usd,356 million usd,250 million usd
doll_6.072 m,doll_3.443 m,doll_9.515 m,doll_18.867 m,271 million usd
doll_3.089 m,doll_1.485 m,doll_4.574 m,doll_2.050 m,383 million usd
doll_1.099 m,doll_1.647 m,doll_2.747 m,770 million usd,770 million usd
577 million usd,636 million usd,doll_1.213 m,383 million usd,627 million usd
945 million usd,doll_1.951 m,doll_2.895 m,271 million usd,252 million usd
doll_1.453 m,doll_2.876 m,doll_4.329 m,250 million usd,837 million usd
,,,,479 million usd
doll_2.091 m,doll_1.082 m,doll_3.173 m,doll_1.652 m,252 million usd
doll_5.023 m,doll_2.410 m,doll_7.434 m,doll_2.107 m,460 million usd
864 million usd,doll_1.585 m,doll_2.450 m,919 million usd,"1,487 million usd"
doll_12.556 m,doll_2.583 m,doll_15.139 m,doll_4.617 m,149 million usd
doll_2.150 m,476 million usd,doll_2.626 m,627 million usd,"3,373 million usd"
154 million usd,doll_1.138 m,doll_1.293 m,299 million usd,299 million usd
doll_1.778 m,doll_2.004 m,doll_3.782 m,doll_3.373 m,271 million usd
54 million usd,701 million usd,755 million usd,149 million usd,172 million usd
doll_4.697 m,doll_2.569 m,doll_7.267 m,doll_1.487 m,"1,096 million usd"
doll_1.941 m,doll_2.978 m,doll_4.919 m,460 million usd,260 million usd
67 million usd,198 million usd,265 million usd,252 million usd,287 million usd
214 million usd,252 million usd,466 million usd,479 million usd,"7,374 million usd"
859 million usd,doll_1.290 m,doll_2.149 m,837 million usd,573 million usd
doll_2.451 m,doll_2.741 m,doll_5.192 m,252 million usd,"1,419 million usd"
236 million usd,915 million usd,doll_1.152 m,271 million usd,25 million usd
doll_1.061 m,468 million usd,doll_1.530 m,doll_1.014 m,"1,014 million usd"
16 million usd,17 million usd,33 million usd,25 million usd,274 million usd
doll_3.369 m,doll_1.039 m,doll_4.408 m,doll_1.419 m,"2,319 million usd"
369 million usd,doll_2.542 m,doll_2.911 m,573 million usd,"1,257 million usd"
doll_6.231 m,doll_7.228 m,doll_13.459 m,doll_7.374 m,
doll_2.724 m,doll_3.211 m,doll_5.936 m,287 million usd,"3,903 million usd"
115 million usd,434 million usd,549 million usd,260 million usd,
970 million usd,doll_1.713 m,doll_2.684 m,doll_1.096 m,
doll_1.291 m,doll_1.101 m,doll_2.392 m,172 million usd,
131 million usd,483 million usd,615 million usd,274 million usd,
doll_1.277 m,doll_2.224 m,doll_3.501 m,doll_1.649 m,"1,649 million usd"
,,,,455 million usd
,,,,797 million usd
,,,,997 million usd
doll_18.356 m,doll_2.588 m,doll_20.945 m,,"2,114 million usd"
doll_2.889 m,doll_1.722 m,doll_4.611 m,doll_3.903 m,
,,,,"2,813 million usd"
143 million usd,doll_3.438 m,doll_3.582 m,doll_1.257 m,"1,176 million usd"
doll_1.346 m,722 million usd,doll_2.069 m,doll_2.319 m,"3,982 million usd"
doll_3.739 m,doll_1.124 m,doll_4.863 m,455 million usd,799 million usd
doll_1.277 m,doll_1.539 m,doll_2.817 m,258 million usd,258 million usd
doll_12.655 m,doll_2.418 m,doll_15.073 m,799 million usd,"4,669 million usd"
doll_1.888 m,doll_2.447 m,doll_4.336 m,doll_3.982 m,"1,196 million usd"
doll_1.562 m,230 million usd,doll_1.791 m,doll_1.176 m,909 million usd
doll_3.195 m,doll_2.973 m,doll_6.168 m,doll_2.813 m,546 million usd
,,,,"1,142 million usd"
doll_9.978 m,doll_2.212 m,doll_12.189 m,doll_2.114 m,"1,010 million usd"
372 million usd,doll_1.392 m,doll_1.764 m,997 million usd,"4,548 million usd"
678 million usd,778 million usd,doll_1.456 m,797 million usd,"2,009 million usd"
doll_14.800 m,doll_1.534 m,doll_16.334 m,doll_4.669 m,329 million usd
,,,,
239 million usd,doll_3.227 m,doll_3.467 m,329 million usd,"7,777 million usd"
doll_2.045 m,doll_1.745 m,doll_3.791 m,doll_4.548 m,"1,208 million usd"
487 million usd,470 million usd,958 million usd,doll_1.010 m,480 million usd
doll_14.684 m,doll_5.620 m,doll_20.304 m,doll_2.009 m,374 million usd
doll_1.747 m,doll_1.718 m,doll_3.466 m,doll_1.142 m,"9,947 million usd"
428 million usd,96 million usd,524 million usd,546 million usd,
332 million usd,827 million usd,doll_1.159 m,909 million usd,330 million usd
doll_1.764 m,990 million usd,doll_2.754 m,doll_1.196 m,"1,559 million usd"
doll_40.785 m,doll_9.205 m,doll_49.990 m,doll_7.777 m,"11,817 million usd"
,,,,
doll_4.345 m,doll_4.935 m,doll_9.279 m,doll_11.817 m,"4,298 million usd"
doll_1.436 m,doll_2.430 m,doll_3.866 m,doll_1.559 m,
doll_3.547 m,doll_2.995 m,doll_6.543 m,330 million usd,718 million usd
,,,,"1,714 million usd"
doll_3.603 m,doll_2.623 m,doll_6.226 m,doll_9.947 m,"4,122 million usd"
504 million usd,doll_1.864 m,doll_2.368 m,374 million usd,"1,310 million usd"
994 million usd,622 million usd,doll_1.616 m,480 million usd,298 million usd
doll_5.092 m,doll_6.940 m,doll_12.033 m,doll_1.208 m,798 million usd
doll_1.318 m,doll_2.506 m,doll_3.824 m,doll_4.298 m,"11,617 million usd"
0 million usd,0 million usd,0 million usd,0 million usd,0 million usd
doll_11.591 m,doll_3.621 m,doll_15.213 m,doll_11.617 m,431 million usd
doll_63.431 m,doll_3.359 m,doll_66.790 m,798 million usd,558 million usd
doll_1.331 m,doll_1.507 m,doll_2.838 m,298 million usd,
doll_1.323 m,doll_1.053 m,doll_2.375 m,doll_1.310 m,"1,107 million usd"
doll_5.794 m,doll_4.547 m,doll_10.341 m,doll_4.122 m,443 million usd
doll_2.727 m,doll_1.533 m,doll_4.261 m,doll_1.714 m,"1,233 million usd"
625 million usd,621 million usd,doll_1.246 m,718 million usd,
,,,,"3,900 million usd"
301 million usd,981 million usd,doll_1.281 m,431 million usd,358 million usd
,,,,
426 million usd,556 million usd,982 million usd,358 million usd,"3,009 million usd"
doll_6.395 m,doll_15.628 m,doll_22.023 m,doll_3.900 m,741 million usd
,,,,"2,073 million usd"
doll_4.587 m,doll_2.689 m,doll_7.277 m,doll_1.233 m,"2,523 million usd"
585 million usd,354 million usd,939 million usd,443 million usd,"3,155 million usd"
doll_3.903 m,318 million usd,doll_4.221 m,doll_1.107 m,"5,721 million usd"
,,,,558 million usd
doll_1.833 m,doll_1.722 m,doll_3.556 m,558 million usd,350 million usd
doll_5.001 m,doll_1.327 m,doll_6.328 m,doll_3.009 m,"4,232 million usd"
doll_2.274 m,doll_1.793 m,doll_4.068 m,487 million usd,487 million usd
doll_1.096 m,doll_1.340 m,doll_2.437 m,doll_4.232 m,"1,533 million usd"
365 million usd,515 million usd,880 million usd,350 million usd,100 million usd
212 million usd,833 million usd,doll_1.045 m,558 million usd,
doll_7.801 m,doll_2.765 m,doll_10.565 m,doll_5.721 m,5 million usd
doll_1.499 m,doll_1.427 m,doll_2.926 m,doll_3.155 m,304 million usd
doll_3.722 m,doll_3.318 m,doll_7.040 m,doll_2.523 m,"1,180 million usd"
doll_2.403 m,doll_1.320 m,doll_3.723 m,doll_2.073 m,"1,428 million usd"
163 million usd,234 million usd,398 million usd,741 million usd,"2,020 million usd"
794 million usd,doll_1.663 m,doll_2.457 m,doll_1.533 m,428 million usd
doll_1.567 m,doll_2.107 m,doll_3.675 m,160 million usd,160 million usd
255 million usd,431 million usd,685 million usd,428 million usd,"1,935 million usd"
doll_4.164 m,689 million usd,doll_4.854 m,doll_2.020 m,288 million usd
950 million usd,967 million usd,doll_1.917 m,doll_1.428 m,"1,302 million usd"
868 million usd,611 million usd,doll_1.479 m,doll_1.180 m,
109 million usd,520 million usd,629 million usd,304 million usd,
2 million usd,1 million usd,3 million usd,5 million usd,
,,,,230 million usd
248 million usd,528 million usd,776 million usd,100 million usd,
452 million usd,400 million usd,853 million usd,doll_1.935 m,"5,743 million usd"
591 million usd,doll_1.571 m,doll_2.162 m,doll_1.760 m,"1,760 million usd"
,,,doll_5.743 m,121 million usd
,,,,808 million usd
195 million usd,140 million usd,336 million usd,230 million usd,"26,950 million usd"
,,,,
,,,,
doll_17.685 m,doll_1.986 m,doll_19.671 m,,386 million usd
456 million usd,911 million usd,doll_1.367 m,doll_1.302 m,0 million usd
116 million usd,198 million usd,313 million usd,288 million usd,254 million usd
,,,121 million usd,633 million usd
doll_7.206 m,doll_1.029 m,doll_8.235 m,doll_1.516 m,"1,516 million usd"
681 million usd,doll_2.103 m,doll_2.784 m,633 million usd,279 million usd
257 million usd,997 million usd,doll_1.254 m,254 million usd,797 million usd
30 million usd,422 million usd,452 million usd,0 million usd,"1,595 million usd"
270 million usd,303 million usd,574 million usd,386 million usd,"2,345 million usd"
,,,,"3,053 million usd"
,,,,"3,324 million usd"
doll_6.011 m,doll_1.514 m,doll_7.525 m,doll_26.950 m,
,,,808 million usd,0 million usd
50 million usd,doll_2.739 m,doll_2.791 m,279 million usd,
doll_2.138 m,doll_2.276 m,doll_4.414 m,doll_2.527 m,"2,527 million usd"
,,,,
0 million usd,0 million usd,0 million usd,0 million usd,712 million usd
,,,,222 million usd
doll_1.305 m,989 million usd,doll_2.294 m,doll_3.324 m,752 million usd
doll_4.750 m,doll_3.777 m,doll_8.527 m,doll_3.053 m,
991 million usd,doll_1.074 m,doll_2.065 m,doll_2.345 m,384 million usd
doll_1.482 m,doll_1.045 m,doll_2.526 m,doll_1.595 m,"1,917 million usd"
118 million usd,537 million usd,655 million usd,797 million usd,"5,337 million usd"
,,,,"9,055 million usd"
doll_25.982 m,0 million usd,doll_28.700 m,781 million usd,781 million usd
doll_14.609 m,doll_4.274 m,doll_18.882 m,doll_9.055 m,"2,408 million usd"
doll_3.170 m,doll_2.172 m,doll_5.342 m,doll_5.337 m,
doll_3.409 m,970 million usd,doll_4.380 m,doll_1.917 m,"4,107 million usd"
406 million usd,541 million usd,947 million usd,384 million usd,
,,,,
doll_1.055 m,-518 million usd,537 million usd,752 million usd,"3,760 million usd"
doll_2.098 m,doll_2.034 m,doll_4.132 m,222 million usd,265 million usd
754 million usd,doll_1.132 m,doll_1.886 m,712 million usd,"2,389 million usd"
doll_2.462 m,955 million usd,doll_3.417 m,doll_2.408 m,281 million usd
0 million usd,0 million usd,0 million usd,0 million usd,0 million usd
539 million usd,266 million usd,806 million usd,281 million usd,328 million usd
doll_1.724 m,-353 million usd,doll_1.370 m,doll_2.389 m,133 million usd
253 million usd,452 million usd,706 million usd,265 million usd,"3,515 million usd"
doll_1.991 m,doll_2.793 m,doll_4.784 m,doll_3.760 m,"1,671 million usd"
,,,,4 million usd
,,,,"2,160 million usd"
doll_4.180 m,doll_4.540 m,doll_8.720 m,doll_4.107 m,"1,134 million usd"
,,,,223 million usd
doll_3.047 m,doll_2.707 m,doll_5.754 m,328 million usd,586 million usd
,,,,
322 million usd,368 million usd,643 million usd,586 million usd,"1,063 million usd"
,,,223 million usd,"1,671 million usd"
502 million usd,doll_1.132 m,doll_1.635 m,doll_1.134 m,
doll_1.252 m,doll_1.649 m,doll_2.901 m,doll_2.160 m,
5 million usd,11 million usd,17 million usd,4 million usd,"6,830 million usd"
991 million usd,doll_1.544 m,doll_2.535 m,doll_1.671 m,927 million usd
doll_17.780 m,doll_6.199 m,doll_23.979 m,doll_3.515 m,"2,365 million usd"
912 million usd,981 million usd,doll_1.893 m,133 million usd,
983 million usd,0 million usd,doll_2.987 m,doll_1.063 m,"2,851 million usd"
109 million usd,125 million usd,234 million usd,209 million usd,209 million usd
doll_2.033 m,doll_1.400 m,doll_3.433 m,doll_2.851 m,"1,338 million usd"
doll_22.765 m,doll_2.718 m,doll_25.483 m,,85 million usd
441 million usd,905 million usd,doll_1.346 m,doll_2.365 m,
538 million usd,549 million usd,doll_1.087 m,927 million usd,476 million usd
doll_4.178 m,doll_3.747 m,doll_7.926 m,doll_6.830 m,739 million usd
,,,,"1,935 million usd"
,,,,192 million usd
873 million usd,742 million usd,doll_1.615 m,doll_1.671 m,
doll_3.011 m,-698 million usd,doll_2.313 m,doll_1.338 m,739 million usd
,,,,
218 million usd,239 million usd,457 million usd,739 million usd,"7,926 million usd"
doll_3.434.800 m,doll_264.970 m,doll_3.699.700 m,,"8,243 million usd"
doll_1.795 m,doll_1.989 m,doll_3.786 m,192 million usd,641 million usd
doll_4.783 m,doll_1.874 m,doll_6.658 m,doll_1.935 m,206 million usd
doll_1.048 m,409 million usd,doll_1.457 m,739 million usd,94 million usd
400 million usd,387 million usd,787 million usd,476 million usd,"1,973 million usd"
,,,,"2,769 million usd"
42 million usd,283 million usd,325 million usd,85 million usd,291 million usd
doll_1.220 m,doll_1.352 m,doll_2.572 m,doll_7.926 m,517 million usd
doll_4.651 m,355 million usd,doll_5.007 m,doll_3.021 m,"3,021 million usd"
375 million usd,210 million usd,585 million usd,517 million usd,803 million usd
218 million usd,273 million usd,491 million usd,291 million usd,"3,130 million usd"
doll_1.827 m,doll_2.092 m,doll_3.919 m,doll_2.769 m,
681 million usd,doll_1.484 m,doll_2.166 m,doll_1.973 m,494 million usd
135 million usd,235 million usd,369 million usd,94 million usd,337 million usd
213 million usd,638 million usd,852 million usd,206 million usd,900 million usd
doll_1.074 m,883 million usd,doll_1.957 m,641 million usd,"1,138 million usd"
doll_3.952 m,544 million usd,doll_4.496 m,doll_8.243 m,"1,886 million usd"
204 million usd,doll_2.661 m,doll_2.865 m,803 million usd,606 million usd
doll_3.539 m,doll_3.156 m,doll_6.695 m,994 million usd,994 million usd
236 million usd,545 million usd,782 million usd,606 million usd,"3,590 million usd"
doll_2.427 m,784 million usd,doll_3.211 m,doll_1.886 m,150 million usd
doll_1.358 m,795 million usd,doll_2.154 m,doll_1.138 m,579 million usd
75 million usd,694 million usd,doll_1.449 m,900 million usd,"2,749 million usd"
144 million usd,129 million usd,274 million usd,337 million usd,
143 million usd,701 million usd,844 million usd,494 million usd,
,,,,241 million usd
doll_1.359 m,758 million usd,doll_2.118 m,doll_3.130 m,"8,533 million usd"
744 million usd,787 million usd,doll_1.531 m,doll_3.590 m,"4,799 million usd"
doll_1.110 m,749 million usd,doll_1.859 m,993 million usd,993 million usd
doll_12.472 m,doll_2.913 m,doll_15.386 m,doll_4.799 m,"4,468 million usd"
doll_4.033 m,doll_4.604 m,doll_8.638 m,doll_8.533 m,538 million usd
doll_4.314 m,doll_1.189 m,doll_5.504 m,241 million usd,135 million usd
,,,,566 million usd
,,,,130 million usd
doll_2.265 m,411 million usd,doll_2.677 m,doll_2.749 m,815 million usd
295 million usd,661 million usd,955 million usd,579 million usd,614 million usd
63 million usd,466 million usd,529 million usd,150 million usd,"5,545 million usd"
doll_4.187 m,doll_1.946 m,doll_6.133 m,doll_4.468 m,432 million usd
doll_47.505 m,doll_4.665 m,doll_52.170 m,630 million usd,630 million usd
260 million usd,179 million usd,440 million usd,432 million usd,247 million usd
doll_2.143 m,0 million usd,doll_2.638 m,doll_5.545 m,
doll_1.070 m,doll_1.716 m,doll_2.786 m,614 million usd,999 million usd
187 million usd,628 million usd,815 million usd,815 million usd,"1,008 million usd"
174 million usd,250 million usd,424 million usd,130 million usd,"1,853 million usd"
96 million usd,707 million usd,803 million usd,566 million usd,"1,477 million usd"
227 million usd,827 million usd,doll_1.053 m,135 million usd,531 million usd
doll_1.936 m,1 million usd,doll_1.938 m,538 million usd,"1,786 million usd"
doll_1.300 m,758 million usd,doll_2.058 m,247 million usd,"3,079 million usd"
doll_1.271 m,doll_1.124 m,doll_2.396 m,doll_3.044 m,"3,044 million usd"
doll_1.660 m,doll_1.009 m,doll_2.669 m,doll_3.079 m,795 million usd
doll_13.991 m,doll_6.609 m,doll_20.600 m,doll_1.786 m,
223 million usd,doll_2.044 m,doll_2.267 m,531 million usd,
doll_36.483 m,doll_3.990 m,doll_40.473 m,doll_1.477 m,10 million usd
doll_1.377 m,doll_1.909 m,doll_3.286 m,doll_1.853 m,
doll_1.819 m,doll_1.770 m,doll_3.589 m,doll_1.008 m,250 million usd
217 million usd,551 million usd,768 million usd,999 million usd,"2,861 million usd"
,,,,
217 million usd,632 million usd,849 million usd,795 million usd,411 million usd
0 million usd,0 million usd,0 million usd,0 million usd,0 million usd
99 million usd,409 million usd,508 million usd,411 million usd,449 million usd
doll_1.776 m,202 million usd,doll_1.980 m,doll_2.861 m,"2,951 million usd"
,,,,541 million usd
31 million usd,doll_3.048 m,doll_3.080 m,250 million usd,"2,695 million usd"
,,,,795 million usd
67 million usd,542 million usd,610 million usd,10 million usd,"7,096 million usd"
,,,,884 million usd
,,,,"3,884 million usd"
92 million usd,doll_1.021 m,doll_1.114 m,449 million usd,
677 million usd,985 million usd,doll_1.663 m,490 million usd,490 million usd
,,,,"1,221 million usd"
doll_5.256 m,doll_2.538 m,doll_7.794 m,doll_3.884 m,0 million usd
573 million usd,doll_2.882 m,doll_3.455 m,884 million usd,
doll_7.580 m,doll_1.661 m,doll_9.242 m,doll_7.096 m,574 million usd
305 million usd,139 million usd,443 million usd,795 million usd,0 million usd
993 million usd,912 million usd,doll_1.906 m,doll_2.695 m,522 million usd
doll_1.344 m,730 million usd,doll_2.075 m,541 million usd,547 million usd
doll_1.150 m,doll_1.737 m,doll_2.888 m,doll_2.951 m,978 million usd
doll_1.227 m,doll_1.354 m,doll_2.582 m,doll_1.221 m,
doll_11.101 m,doll_2.111 m,doll_13.212 m,372 million usd,372 million usd
,,,,
doll_2.843 m,840 million usd,doll_3.683 m,978 million usd,
doll_5.160 m,doll_2.369 m,doll_7.529 m,547 million usd,"2,087 million usd"
957 million usd,doll_2.685 m,doll_3.642 m,522 million usd,
0 million usd,0 million usd,0 million usd,0 million usd,
doll_4.641 m,0 million usd,doll_5.687 m,574 million usd,451 million usd
,,,,549 million usd
0 million usd,0 million usd,0 million usd,0 million usd,"6,150 million usd"
,,,,"11,930 million usd"
doll_1.528 m,doll_6.208 m,doll_7.736 m,doll_2.965 m,"2,965 million usd"
doll_7.792 m,577 million usd,doll_8.368 m,doll_11.930 m,181 million usd
doll_4.332 m,291 million usd,doll_4.623 m,doll_6.150 m,"1,038 million usd"
230 million usd,293 million usd,524 million usd,549 million usd,438 million usd
549 million usd,doll_1.084 m,doll_1.633 m,451 million usd,
,,,,"3,780 million usd"
,,,,237 million usd
doll_2.090 m,doll_1.584 m,doll_3.674 m,doll_2.087 m,0 million usd
,,,,
68 million usd,231 million usd,299 million usd,181 million usd,"4,255 million usd"
634 million usd,992 million usd,doll_1.626 m,255 million usd,255 million usd
doll_9.096 m,doll_3.928 m,doll_13.024 m,doll_4.255 m,"1,180 million usd"
,,,,848 million usd
0 million usd,0 million usd,0 million usd,0 million usd,"11,527 million usd"
704 million usd,0 million usd,doll_2.699 m,237 million usd,"1,775 million usd"
doll_8.831 m,doll_2.568 m,doll_11.399 m,doll_3.780 m,509 million usd
,,,,
585 million usd,564 million usd,doll_1.149 m,438 million usd,
doll_1.619 m,896 million usd,doll_2.515 m,doll_1.038 m,
928 million usd,doll_1.533 m,doll_2.461 m,doll_1.180 m,
doll_1.238 m,doll_1.675 m,doll_2.913 m,doll_1.563 m,"1,563 million usd"
,,,,"3,692 million usd"
,,,,"4,895 million usd"
,,,,585 million usd
,,,,307 million usd
842 million usd,doll_2.198 m,doll_3.041 m,509 million usd,
doll_32.950 m,doll_5.453 m,doll_38.404 m,doll_1.775 m,"6,756 million usd"
doll_47.321 m,doll_6.227 m,doll_53.549 m,doll_11.527 m,332 million usd
doll_45.543 m,doll_3.556 m,doll_49.099 m,848 million usd,"6,201 million usd"
doll_3.884 m,doll_1.673 m,doll_5.557 m,doll_3.692 m,382 million usd
doll_1.993 m,doll_1.032 m,doll_3.026 m,doll_1.579 m,"1,579 million usd"
750 million usd,841 million usd,doll_1.591 m,382 million usd,553 million usd
doll_23.376 m,doll_7.580 m,doll_30.956 m,doll_6.201 m,
doll_2.148 m,doll_1.066 m,doll_3.214 m,332 million usd,"1,792 million usd"
doll_2.328 m,doll_1.878 m,doll_4.206 m,doll_6.756 m,
,,,,229 million usd
doll_2.582 m,doll_2.582 m,doll_5.164 m,307 million usd,"2,241 million usd"
doll_3.787 m,doll_1.775 m,doll_5.562 m,585 million usd,743 million usd
doll_3.298 m,doll_3.889 m,doll_7.187 m,doll_4.895 m,"1,358 million usd"
doll_1.352 m,353 million usd,doll_1.705 m,553 million usd,"1,085 million usd"
679 million usd,549 million usd,doll_1.228 m,doll_1.619 m,"1,619 million usd"
doll_1.836 m,doll_3.284 m,doll_5.120 m,doll_1.085 m,"1,548 million usd"
925 million usd,871 million usd,doll_1.796 m,doll_1.358 m,
770 million usd,-77 million usd,693 million usd,743 million usd,
984 million usd,375 million usd,doll_1.359 m,doll_2.241 m,"6,993 million usd"
doll_1.648 m,doll_1.682 m,doll_3.330 m,229 million usd,531 million usd
,,,,"2,228 million usd"
doll_1.340 m,doll_1.619 m,doll_2.959 m,doll_1.792 m,0 million usd
,,,,
doll_1.147 m,904 million usd,doll_2.052 m,doll_1.548 m,"4,805 million usd"
213 million usd,855 million usd,doll_1.068 m,357 million usd,357 million usd
doll_8.774 m,doll_3.281 m,doll_12.055 m,doll_4.805 m,575 million usd
,,,,390 million usd
0 million usd,0 million usd,0 million usd,0 million usd,56 million usd
doll_3.091 m,810 million usd,doll_3.902 m,doll_2.228 m,"1,307 million usd"
doll_3.491 m,0 million usd,doll_4.422 m,531 million usd,370 million usd
doll_4.601 m,doll_2.090 m,doll_6.691 m,doll_6.993 m,"2,592 million usd"
,,,,304 million usd
,,,,458 million usd
321 million usd,574 million usd,895 million usd,575 million usd,114 million usd
doll_1.929 m,doll_1.645 m,doll_3.574 m,175 million usd,175 million usd
107 million usd,309 million usd,416 million usd,114 million usd,"4,467 million usd"
145 million usd,480 million usd,625 million usd,458 million usd,100 million usd
127 million usd,166 million usd,292 million usd,304 million usd,"16,799 million usd"
191 million usd,doll_1.339 m,doll_1.530 m,doll_2.592 m,"3,368 million usd"
304 million usd,540 million usd,844 million usd,370 million usd,"1,627 million usd"
336 million usd,635 million usd,971 million usd,56 million usd,
409 million usd,947 million usd,doll_1.356 m,doll_1.307 m,344 million usd
doll_2.390 m,878 million usd,doll_3.269 m,390 million usd,"1,560 million usd"
doll_6.343 m,doll_1.947 m,doll_8.291 m,doll_4.467 m,68 million usd
doll_1.274 m,doll_1.479 m,593 million usd,267 million usd,267 million usd
12 million usd,182 million usd,194 million usd,68 million usd,"3,144 million usd"
doll_1.377 m,doll_1.102 m,doll_2.479 m,doll_1.560 m,"1,142 million usd"
198 million usd,406 million usd,604 million usd,344 million usd,"2,582 million usd"
,,,,"1,219 million usd"
324 million usd,830 million usd,doll_1.154 m,doll_1.627 m,
doll_1.433 m,doll_1.028 m,doll_2.461 m,doll_3.368 m,"3,535 million usd"
doll_8.348 m,doll_1.096 m,doll_9.444 m,doll_16.799 m,"11,007 million usd"
34 million usd,221 million usd,255 million usd,100 million usd,0 million usd
doll_6.837 m,doll_3.718 m,doll_10.555 m,doll_3.144 m,"1,766 million usd"
,,,,
doll_1.750 m,doll_1.069 m,doll_2.819 m,doll_1.766 m,248 million usd
doll_2.251 m,doll_1.186 m,doll_3.438 m,0 million usd,391 million usd
doll_3.598 m,doll_1.461 m,doll_5.059 m,doll_11.007 m,
doll_2.376 m,doll_1.271 m,doll_3.646 m,doll_3.535 m,218 million usd
,,,,958 million usd
doll_1.525 m,doll_1.102 m,doll_2.628 m,doll_1.219 m,"1,031 million usd"
doll_1.439 m,doll_1.139 m,doll_2.578 m,doll_2.582 m,"1,033 million usd"
doll_1.798 m,402 million usd,doll_2.201 m,doll_1.142 m,585 million usd
doll_1.543 m,723 million usd,doll_2.266 m,248 million usd,"3,303 million usd"
doll_1.005 m,doll_1.056 m,doll_2.062 m,doll_3.629 m,"3,629 million usd"
doll_1.894 m,doll_1.222 m,doll_3.116 m,doll_3.303 m,
doll_1.993 m,639 million usd,doll_2.633 m,585 million usd,909 million usd
439 million usd,362 million usd,802 million usd,doll_1.033 m,457 million usd
299 million usd,751 million usd,doll_1.050 m,doll_1.031 m,
919 million usd,921 million usd,doll_1.840 m,958 million usd,379 million usd
77 million usd,425 million usd,502 million usd,218 million usd,
,,,,
278 million usd,370 million usd,649 million usd,391 million usd,"1,117 million usd"
,,,,"21,588 million usd"
,,,,
doll_5.615 m,doll_2.060 m,doll_7.675 m,doll_21.588 m,"4,029 million usd"
doll_5.875 m,doll_2.344 m,doll_8.220 m,doll_1.117 m,78 million usd
,,,,99 million usd
,,,,"1,030 million usd"
148 million usd,0 million usd,859 million usd,379 million usd,"2,136 million usd"
,,,,697 million usd
93 million usd,236 million usd,329 million usd,457 million usd,"14,852 million usd"
439 million usd,533 million usd,971 million usd,909 million usd,"3,980 million usd"
doll_1.107 m,doll_2.734 m,doll_3.841 m,doll_4.029 m,215 million usd
135 million usd,241 million usd,377 million usd,381 million usd,381 million usd
159 million usd,158 million usd,318 million usd,215 million usd,137 million usd
doll_1.183 m,929 million usd,doll_2.112 m,doll_3.980 m,"3,230 million usd"
,,,doll_14.852 m,"1,213 million usd"
doll_2.045 m,538 million usd,doll_2.584 m,697 million usd,336 million usd
doll_5.324 m,doll_6.340 m,doll_11.664 m,doll_2.136 m,"6,394 million usd"
