,name,country,industry,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020,employees_2020,employees_2017,founded,revenue_2017,website
4377,IMASD Energías,Spain,Construction,,,12.6,,36,2008.0,,https://www.idenergias.com
4378,HR XPERIENCE,Germany,Support Services,,,21.90,,860,2015.0,,https://www.hr-xp.com/
4379,Ogrodosfera,Poland,Ecommerce,,,5.96,,15,2012.0,,https://ogrodosfera.pl/
4380,The Missing Link,Australia,Technology,,,23.40,,60,1997.0,,https://www.themissinglink.com.au/
4381,AEM Holdings,Singapore,Technology,,,376.13,,645,1992.0,,https://aem.com.sg/
4382,hyperXchange,India,Retail,,,3.01,,55,2016.0,,https://hxkart.com/
4383,Mukka,India,Agricultural Commodities,,,82.21,,180,2010.0,,http://www.mukkaseafoods.com/
4384,The Clinuvel Group,Australia,Pharmaceuticals,,,24.21,,52,2001.0,,https://www.clinuvel.com/
4385,Ablaze,Japan,Travel & Leisure,,,2.20,,2,2016.0,,https://www.ablaze-corp.com/
4386,butorpiac.hu,Hungary,Ecommerce,,,"2,184,336",,7,2011.0,,https://www.butorpiac.hu/
4387,Success Solutions,Czech Republic,Technology,,,"2,633,664",,44,2016.0,,https://www.success-solutions.cz/
4388,Herrero Brigantina,Spain,Insurance,,,"12,848,166",,87,2012.0,,https://www.grupoherrerobrigantina.com
4389,peoplegrapher,Germany,Advertising,,,"4,809,580",,11,2016.0,,https://www.peoplegrapher.com
4390,Machines Broker,Italy,Retail,,,1.6,,3,2013.0,,https://www.machinesbroker.it
4391,Velvet Media Italia,Italy,Advertising,,,3.28,,77,2013.0,,https://www.velvetmedia.it/
4392,Sendcloud,Netherlands,Ecommerce,,,33.60,,72,2012.0,,https://www.sendcloud.com/
4393,Beston Global Food Company,Australia,Food & Beverage,,,77.40,,233,2015.0,,https://bestonglobalfoods.com.au/
4394,Vision Consulting,Japan,Management Consulting,,,35.37,,401,2014.0,,https://visioncon.co.jp/
4395,Kanazawa Jitsugyou,Japan,Transport,,,3.06,,38,2006.0,,https://www.kanazawajitsugyou.com/
4396,GKE Corporation,Singapore,Transport,,,78.63,,939,2000.0,,http://www.gke.com.sg/
4397,Aidea,Philippines,Construction,,,10.41,,245,1995.0,,https://www.aidea.com.ph/
4398,Data Connect Technologies,Singapore,Technology,,,4.16,,45,2003.0,,https://d-connect.net/
4399,Bug Bite Thing Europe,Denmark,Health,,,"1,577,878",,1,1989.0,,https://bugbitething.eu/
4400,Zara,Italy,Industrial Goods,,,"1,697,406",,4,1984.0,,https://zaraimballaggi.nwksite.com
4401,Smarkets,United Kingdom,Fintech,,,24.2,,104,2008.0,,https://www.smarkets.com
4402,Ds Glass,Italy,Retail,,,6.85,,5,2013.0,,https://www.dsglass.it/
4403,Liikennevirta,Finland,Technology,,,4.12,,50,2013.0,,https://www.virta.global/
4404,QBurst,India,Technology,,,44.91,,"1,872",2004.0,,https://www.qburst.com/
4405,AD Efficiency,South Korea,Advertising,,,15.48,,120,2012.0,,http://www.adefficiency.com/
4406,Major-Power Technology,Taiwan,Industrial Goods,,,9.73,,42,2011.0,,https://www.major-power.com.tw/
4407,Accton,Taiwan,Technology,,,"1,791.35",,Not found,1988.0,,http://www.accton.com/
4408,Elan,Japan,Retail,,,197.80,,410,1997.0,,https://www.kkelan.com/
4409,Nuffield Dental Holdings,Singapore,Health,,,7.88,,78,2014.0,,https://www.nuffielddental.com.sg/
4410,Dexatel,Estonia,Technology,,,"11,087,980",,24,2015.0,,https://dexatel.com/
4411,Gemco,Italy,Construction,,,"3,941,900",,6,2015.0,,https://gemco2.webnode.com/
4412,truu Wasserweik,Germany,Technology,,,"17,214,090",,62,2011.0,,https://www.truu.com/
4413,Contrader,Italy,Technology,,,"2,549,333",,38,2012.0,,https://contrader.it
4414,ClickLearn,Denmark,Technology,,,2.1,,16,2010.0,,https://www.clicklearn.com
4415,MetaMinds,Romania,Cyber Security,,,10.65,,28,2015.0,,https://www.metaminds.com/
4416,Prestige Car Center,Finland,Automobiles,,,4.70,,2,2014.0,,https://prestigecarcenter.fi/
4417,Mukka,India,Agricultural Commodities,,,81.49,,131,2010.0,,https://mukkaproteins.com/
4418,Apparent,Australia,Advertising,,,14.74,,114,2008.0,,https://apparent.com.au/
4419,ERGOS The GrainBank,India,Technology,,,5.80,,300,2012.0,,https://www.ergos.in/
4420,Kenergie,India,Chemicals,,,14.98,,28,2004.0,,https://www.kentchem.com/
4421,EirGenix,Taiwan,Health,,,15.39,,207,2012.0,,http://www.eirgenix.com/
4422,AMBITION,Japan,Property,,,251.98,,271,2007.0,,https://www.am-bition.jp/
4423,Lyonnaise de Construction et Renovation,France,Construction,,,"6,640,842",,Not found,2015.0,,https://www.amotech.fr/
4424,Skills RH,France,Management Consulting,,,"12,140,000",,50,2012.0,,https://www.skills-rh.fr
4425,Idrowatt Italia,Italy,Industrial Goods,,,"1,500,000",,25,2015.0,,http://n/a
4426,Progetto Olimpo,Italy,Retail,,,9.1,,50,2014.0,,https://www.centroolimpopalermo.it
4427,Eland Oil & Gas**,United Kingdom,Energy,,,143.27,,131,2009.0,,https://www.elandoilandgas.com/
4428,Athena Infonomics,India,Management Consulting,,,2.90,,47,2010.0,,https://www.athenainfonomics.com/
4429,Antec,Taiwan,Games industry,,,58.06,,26,1986.0,,https://www.antec.com/
4430,InfoBeans,India,Technology,,,22.24,,791,2011.0,,https://www.infobeans.com/
4431,izmo,India,Sales & Marketing,,,14.37,,305,1995.0,,https://www.izmoltd.com/
4432,Gousto,UK,Food & Beverage,,,"210,945,370",,702,2012.0,,https://www.gousto.co.uk/
4433,Winter in Venice,UK,Beauty,,,"12,682,062",,6,2010.0,,https://www.winterinvenice.co.uk/
4434,Green Team,Italy,Energy,,,"1,925,566",,3,2016.0,,http://www.greenteamsrl.com
4435,Web Stars Channel,Italy,Advertising,,,3.7,,20,2013.0,,https://www.webstarschannel.it
4436,InTradeLog,Hungary,Agricultural Commodities,,,3.81,,3,2006.0,,http://itls.co.hu/
4437,DFI,Taiwan,Industrial Goods,,,282.24,,725,1981.0,,https://www.dfi.com/
4438,Nividous,India,Technology,,,6.13,,185,2011.0,,https://www.nividous.com/
4439,HIGHRESO,Japan,Technology,,,6.79,,12,2007.0,,https://highreso.jp/
4440,"GOLDEN ABC, Inc.",Philippines,Fashion,,,208.16,,5649,1988.0,,https://www.goldenabc.com/
4441,Aspeed Technology,Taiwan,Technology,,,80.33,,Not found,2004.0,,http://www.aspeedtech.com/
4442,Infratech Bau,Germany,Construction,,,"60,067,088",,72,2007.0,,https://www.infratech-bau.de/
4443,4Streets Building Innovation Tunnels Bridges Roads,Italy,Construction,,,"6,739,630",,46,2016.0,,https://www.4streets.it/
4444,Groupe N.A.T,France,Construction,,,"3,759,793",,55,2016.0,,https://www.groupe-nat.fr
4445,Fancystage Unipessoal,Portugal,Beauty,,,3.3,,31,2012.0,,https://www.fancystage.eu
4446,Gecko Labs,United Kingdom,Technology,,,1.55,,29,2012.0,,http://www.geckoengage.com/
4447,SRI,Singapore,Property,,,36.90,,12,2016.0,,https://sri.sg/
4448,Doctor Qube,Japan,Technology,,,14.50,,142,2001.0,,http://www.doctorqube.com/
4449,DONUTS,Japan,Technology,,,125.86,,543,2007.0,,https://www.donuts.ne.jp/
4450,Momo,Taiwan,Ecommerce,,,"1,672.62",,Not found,2004.0,,http://www.momoshop.com.tw/
4451,Sika,India,Aerospace & Defence,,,9.12,,87,1985.0,,http://www.sikaglobal.com/
4452,UnUsUal,Singapore,Travel & Leisure,,,45.41,,Not found,1997.0,,https://www.unusual.com.sg/
4453,Landbay,UK,Fintech,,,"8,980,496",,95,2013.0,,https://landbay.co.uk/intermediaries
4454,Steros GPA Innovative,Spain,Industrial Goods,,,"5,902,390",,57,2013.0,,https://www.gpainnova.com
4455,Laudaco,Slovakia,Interiors,,,2.5,,6,2012.0,,https://www.laudaco.com
4456,Silxo,United Kingdom,Technology,,,4.83,,10,2014.0,,https://silxo.com/
4457,tripla,Japan,Travel & Leisure,,,2.76,,70,2015.0,,https://tripla.io/
4458,Union Gas,Singapore,Energy,,,62.47,,256,2016.0,,https://www.uniongas.com.sg/
4459,iideas,Singapore,Support Services,,,1.15,,5,2016.0,,https://www.iideas.com.sg/
4460,GameWith,Japan,Media,,,26.56,,134,2013.0,,https://gamewith.co.jp/en
4461,Rolling Arrays Consulting,Singapore,Technology,,,5.39,,45,2009.0,,https://www.rollingarrays.com/
4462,Degoo,Sweden,Technology,,,"1,973,775",,18,2012.0,,https://degoo.com/
4463,Sas Remove,France,Waste management & recycling,,,"6,459,286",,57,2015.0,,http://remove-france.com/
4464,Vetrocar & Bus,Italy,Automobiles,,,18.8,,60,2008.0,,https://www.vetrocar.it
4465,SOLSOL,Czech Republic,Energy,,,7.06,,5,2012.0,,https://www.solsol.cz/
4466,The News Lens,Taiwan,Media,,,2.90,,102,2013.0,,https://www.thenewslens.com/
4467,Furlenco,India,Ecommerce,,,11.38,,329,2012.0,,https://www.furlenco.com/
4468,Square Yards,India,Property,,,47.23,,"5,300",2014.0,,https://www.squareyards.com/
4469,Sevenseas,India,Transport,,,27.80,,311,2007.0,,https://sevenseasexpress.com/
4470,Tofu Restaurant Group,Taiwan,Restaurants,,,45.11,,1293,2008.0,,http://www.tofuglobal.com/
4471,Yellow Octopus,Australia,Ecommerce,,,3.41,,8,2013.0,,https://www.yellowoctopus.com.au/
4472,Franco Fresco,Germany,Food & Beverage,,,"50,723,858",,320,2016.0,,https://www.gustavo-gusto.de/
4473,Frontify,Switzerland,Technology,,,"7,876,910",,107,2013.0,,https://frontify.com
4474,Movetia Digital,Spain,Fintech,,,4.9,,90,2011.0,,https://www.movetia.com
4475,Synapsy*,Italy,Advertising,,,5.8,,6,2014.0,,https://www.synapsy.events
4476,Ministry of Programming,Bosnia and Herzegovina,Technology,,,3.81,,71,2015.0,,https://www.mop.ba/
4477,Peppermint Innovation,Australia,Fintech,,,1.33,,20,2015.0,,https://pepltd.com.au/
4478,Blue Mark Confidence,Japan,Sales & Marketing,,,5.67,,42,2015.0,,https://www.bm-c.co.jp/
4479,Brightflexi,India,Industrial Goods,,,25.37,,436,2015.0,,https://www.akbansalgroup.com/
4480,Actspand,Singapore,Food & Beverage,,,1.53,,18,2005.0,,http://www.actspand.com/
4481,MINKABU THE INFONOID,Japan,Fintech,,,25.65,,144,2006.0,,https://minkabu.co.jp/
4482,Lendable,UK,Fintech,,,"40,305,193",,84,2014.0,,https://www.lendable.co.uk/
4483,Ulrich Müller Wealth Academy,Germany,Education,,,"3,516,744",,6,2014.0,,https://www.ulrichmueller.de/
4484,AnyTech365,Spain,Technology,,,"16,485,038",,290,2014.0,,http://www.anytech365.com
4485,GPS GmbH,Germany,Industrial Goods,,,4.2,,32,2014.0,,https://www.gps-germany.com
4486,Ramge Software Distribution,Germany,Technology,,,7.62,,18,2004.0,,https://www.ramgesoft.de/
4487,Genius Sports Group*,United Kingdom,Technology,,,74.35,,901,2015.0,,https://www.geniussports.com/contact-us
4488,Hasiru Dala Innovations,India,Waste management & recycling,,,1.54,,120,2015.0,,https://www.hasirudalainnovations.com/
4489,Transerve Technologies,India,Technology,,,1.37,,36,2009.0,,https://transerve.com/
4490,Ankur,India,Personal & Household Goods,,,50.31,,200,1998.0,,http://ankurwares.com/
4491,Machvision,Taiwan,Technology,,,82.24,,306,1998.0,,http://www.machvision.com.tw/
4492,inergy Technology,Taiwan,Technology,,,24.27,,70,2007.0,,http://www.inergy.com.tw/
4493,cerascreen,Germany,Health,,,"10,499,782",,84,2012.0,,https://www.cerascreen.de/
4494,FirstPhone,Hungary,Retail,,,"20,839,966",,52,2013.0,,https://www.firstphone.hu/
4495,Canadian School Of Milan,Italy,Education,,,2.4,,17,2004.0,,https://www.canadianschool.it
4496,ITP TECHNOLOGIE,France,Retail,,,8.31,,8,2013.0,,https://www.itp-technologie.com/fr
4497,Docodoor,Japan,Advertising,,,1.61,,35,2011.0,,http://docodoor.co.jp/
4498,Crowd Bank,Japan,Financial Services,,,20.61,,30,2014.0,,https://crowdbank.jp/
4499,Fibergate,Japan,Telecoms,,,79.53,,221,2000.0,,https://www.fibergate.co.jp/
4500,ESCO,Singapore,Technology,,,27.28,,61,1989.0,,https://www.esco.com.sg/
4501,Supple Solutions,Australia,Advertising,,,5.23,,55,2012.0,,https://supple.com.au/
4502,Eqinov,France,Energy,,,"70,183,744",,43,2011.0,,https://www.eqinov.com/
4503,Arte E Passione,Italy,Restaurants,,,"2,285,202",,55,2016.0,,https://www.artepassioneristorazione.it
4504,Treesystem,Italy,Energy,,,3.1,,9,2010.0,,https://www.treesystem.it
4505,Letisan (RocketBaby),Italy,Ecommerce,,,2.32,,7,2014.0,,https://www.rocketbaby.it/
4506,Delight Room,South Korea,Health,,,4.75,,16,2013.0,,https://www.delightroom.com/
4507,Triple A Technologies,Singapore,Fintech,,,1.98,,9,2017.0,,https://triple-a.io/
4508,Saluran Pasifik,Malaysia,Energy,,,20.15,,13,2005.0,,http://www.saluranpasifik.com/
4509,Advantest,Japan,Industrial Goods,,,"2,535.96",,5048,1954.0,,https://www.advantest.com/
4510,Serre Famiglia Pederiva Viticoltori dal 1958,Italy,Food & Beverage,,,"9,022,020",,12,1996.0,,https://proseccoserre.com/
4511,dWD Werbeagentur,Germany,Advertising,,,"1,876,000",,24,2014.0,,http://deutschewebdesign.de
4512,GT Company,France,Technology,,,1.9,,2,2013.0,,https://www.gtcompany.fr
4513,Santigado,Portugal,Agricultural Commodities,,,1.67,,3,2015.0,,Not found
4514,Hotglue,Australia,Advertising,,,5.22,,27,2010.0,,https://www.hotglue.com.au/
4515,Tuaman,India,Construction,,,57.66,,617,2005.0,,http://tuaman.co.in/
4516,Nanofilm Technologies International,Singapore,Technology,,,158.25,,"3,188",1999.0,,https://www.nti-nanofilm.com/
4517,Mega Fishing Corporation,Philippines,Food & Beverage,,,56.34,,3500,1975.0,,https://megaglobal.com.ph/
4518,clickTRUE,Singapore,Management Consulting,,,6.60,,35,2009.0,,https://page.clicktrue.biz/
4519,Bloom & Wild,UK,Ecommerce,,,"155,595,726",,170,2013.0,,https://www.bloomandwild.com/
4520,MessengerPeople,Germany,Technology,,,"10,146,200",,56,2015.0,,https://www.messengerpeople.com
4521,Osiway,France,Technology,,,2.4,,3,2014.0,,https://www.osiway.com
4522,Kombitex,Germany,Retail,,,8.63,,17,2014.0,,https://www.kombitex.com/
4523,Mastek,India,Technology,,,232.37,,"3,792",1982.0,,https://www.mastek.com/
4524,AJ2,Singapore,Interiors,,,4.11,,31,2014.0,,https://www.tcb.com.sg/
4525,Mlion Corporation,Singapore,Industrial Goods,,,66.52,,26,2011.0,,https://www.mlioncorp.com/
4526,Polestar Solutions,India,Technology,,,3.79,,187,2012.0,,https://www.polestarllp.com/
4527,Long Time Technology,Taiwan,Batteries,,,18.38,,Not found,2009.0,,http://www.lttech.com.tw/
4528,JAC Recruitment,Japan,Support Services,,,222.17,,1433,1975.0,,https://corp.jac-recruitment.jp/
4529,Bräutigam,Germany,Automobiles,,,"6,315,124",,29,2016.0,,https://www.braeutigam-gmbh.eu/de
4530,Newil & Bau,Finland,Construction,,,"19,420,672",,7,2006.0,,https://newilbau.fi/en/
4531,Soorce,Germany,Support Services,,,"9,676,000",,18,2004.0,,https://www.Soorce.de
4532,Mint Tower Capital Management,Netherlands,Financial Services,,,6.7,,25,2010.0,,https://www.minttowercapital.com
4533,Tower Hamlets GP Care Group,United Kingdom,Health,,,26.72,,381,2014.0,,https://www.gpcaregroup.org/section/387/Home
4534,Regen Power,Australia,Energy,,,15.43,,20,2003.0,,https://regenpower.com/
4535,Rewind Networks,Singapore,Media,,,6.22,,11,2012.0,,https://www.rewindnetworks.com/
4536,MA tek,Taiwan,Technology,,,82.18,,Not found,2009.0,,http://www.ma-tek.com/
4537,Jindal Worldwide,India,Personal & Household Goods,,,286.36,,2214,1986.0,,http://www.jindaltextiles.com/
4538,M31 Technology,Taiwan,Technology,,,28.10,,Not found,2011.0,,http://www.m31tech.com/
4539,ID Finance,Spain,Fintech,,,"103,634,000",,411,2015.0,,https://idfinance.com/es/
4540,wasserneutral,Germany,Retail,,,"5,621,950",,24,2014.0,,https://www.wasserneutral-gmbh.de
4541,Kiara Bijoux,Italy,Precious metals,,,6.3,,4,2012.0,,https://www.kiarabijoux.com
4542,DEFAMA Deutsche Fachmarkt,Germany,Property,,,9.09,,15,2014.0,,https://www.defama.de/
4543,Flect,Japan,Technology,,,23.97,,149,2005.0,,https://www.flect.co.jp/
4544,V Wonderland Extension,South Korea,Advertising,,,1.70,,20,2006.0,,http://www.v-w.co.kr/
4545,Dynacons,India,Technology,,,58.83,,"1,026",1995.0,,http://dynacons.com/
4546,Swagger,South Korea,Beauty,,,2.01,,12,2011.0,,http://www.swagger.kr/
4547,Kingstate,Taiwan,Technology,,,108.51,,Not found,1977.0,,https://www.kingstate.com.tw/
4548,Valuence,Japan,Retail,,,347.44,,471,2011.0,,http://www.valuence.inc/
4549,Kry,Sweden,Health,,,"77,764,611",,600,2014.0,,https://kry.health/
4550,Sixth Sense,Italy,Technology,,,"3,916,570",,25,2015.0,,https://sixth-sense.ai/
4551,Dall Energy,Denmark,Energy,,,"3,746,666",,15,2007.0,,https://dallenergy.com
4552,Syntelix Avances Tecnológicos,Spain,Telecoms,,,1.6,,8,2014.0,,https://www.syntelix.net
4553,Etno Cafe,Poland,Food & Beverage,,,4.91,,248,2012.0,,https://etnocafe.com/
4554,Lockwood Publishing,United Kingdom,Games industry,,,20.34,,90,2007.0,,https://www.lockwoodpublishing.com/
4555,TPMN,South Korea,Advertising,,,7.43,,12,2013.0,,http://www.tpmn.io/
4556,D&V Philippines,Philippines,Support Services,,,7.13,,352,2012.0,,https://www.dvphilippines.com/
4557,Trukky,India,Transport,,,1.92,,28,2015.0,,https://www.trukky.com/
4558,Yield Microelectronic,Taiwan,Technology,,,4.32,,60,1990.0,,http://www.ymc.com.tw/
4559,Property Data Bank,Japan,Technology,,,16.95,,64,2000.0,,http://www.propertydbk.com/
4560,Icares Medicus,Taiwan,Health,,,13.56,,118,2011.0,,https://www.icaresmedicus.com/
4561,Nethive,Italy,Cyber Security,,,"3,960,770",,19,2014.0,,https://www.nethive.it/
4562,Latitude Investment Management,UK,Financial Services,,,"1,750,466",,8,2016.0,,https://www.latitudeim.com/
4563,Performance54,UK,Media,,,"14,450,420",,31,2015.0,,http://www.performance54.com
4564,ISO Recruiting Consultants,Germany,Support Services,,,7.8,,14,2013.0,,https://www.iso-gruppe.com
4565,Plan Communications Holding,United Kingdom,Telecoms,,,54.10,,94,2015.0,,https://www.plan.com/
4566,Maruti Techlabs,India,Technology,,,2.65,,121,2009.0,,https://marutitech.com/
4567,TransACT,Japan,Support Services,,,3.33,,55,2013.0,,https://transact.co.jp/
4568,Source Central,Australia,Technology,,,10.49,,32,2005.0,,https://www.sourcecentral.com.au/
4569,Lotes,Taiwan,Technology,,,487.89,,9300,1986.0,,https://www.lotes.cc/
4570,Shiny Brands,Taiwan,Beauty,,,33.34,,Not found,2009.0,,https://www.shinybrands.com/
4571,Qred,Sweden,Fintech,,,"30,414,122",,68,2015.0,,https://qred.com/
4572,oculavis,Germany,Technology,,,"3,924,472",,55,2016.0,,https://www.oculavis.de/
4573,IuteCredit Europe,Estonia,Fintech,,,"50,784,000",,347,2008.0,,https://iutecredit.com
4574,Mpfinance,Italy,Construction,,,"4,001,934",,2,2012.0,,https://www.mpfinance.it
4575,Roberto Demeglio,Italy,Retail,,,8.0,,28,2014.0,,https://www.robertodemeglio.it
4576,AM-Lagertechnik,Germany,Industrial Goods,,,27.3,,15,2011.0,,https://www.am-lagertechnik.de
4577,Globalwork,Italy,Telecoms,,,2.29,,37,2011.0,,https://www.global-work.it/
4578,Oasis Fertility,India,Health,,,9.20,,318,2009.0,,https://www.oasisindia.in/
4579,Jayshree Grain,India,Food & Beverage,,,20.02,,200,2014.0,,file:///Users/chris.campbell/Downloads/NA
4580,Logpresso,South Korea,Cyber Security,,,2.98,,40,2013.0,,https://www.logpresso.com/
4581,World Class Services,India,Support Services,,,33.66,,13500,2011.0,,http://www.wcspl.org/
4582,Sacombank,Vietnam,Financial Services,,,"1,553.00",,19237,1991.0,,https://www.sacombank.com.vn/
4583,Del Trade International,India,Pharmaceuticals,,,41.02,,23,2010.0,,http://www.deltrade.in/
4584,The Information Lab,Italy,Technology,,,"4,253,110",,30,2015.0,,https://www.theinformationlab.it/
4585,MD Sonnenschutztechnik,Germany,Construction,,,"4,068,621",,10,2015.0,,https://www.rollladenbau-markisen.de/
4586,Everli,Italy,Ecommerce,,,"29,000,000",,115,2014.0,,https://it.everli.com
4587,"DMS GmbH, Druckerei, Werbung und Marketing",Germany,Advertising,,,"14,000,000",,27,2013.0,,https://www.druck-media-service.com
4588,Elettro TLC,Italy,Telecoms,,,9.2,,45,2014.0,,https://www.elettrotlc.it
4589,Parlem Telecom ,Spain,Telecoms,,,5.71,,21,2012.0,,https://parlem.com/
4590,Anteco Systems (AnyTech365),Spain,Technology,,,10.06,,295,2014.0,,https://anytech365.com/
4591,Indegene,India,Support Services,,,130.40,,"3,238",1998.0,,https://www.indegene.com/
4592,PT&T,Philippines,Telecoms,,,8.23,,232,1962.0,,https://www.ptt.com.ph/
4593,CHSI,Philippines,Health,,,5.68,,554,2005.0,,http://chsiphil.com/
4594,Gseven,Taiwan,Retail,,,76.93,,322,1994.0,,https://www.gseven.com.tw/
4595,LAC Medical Supplies,Malaysia,Health,,,10.67,,37,2003.0,,http://www.lacmedical.com/
4596,Mackay Goodwin,Australia,Financial Services,,,4.77,,45,2004.0,,https://www.mackaygoodwin.com.au/
4597,Syntio,Croatia,Technology,,,"2,127,532",,43,2017.0,,https://www.syntio.net/
4598,Hexonia,Germany,Technology,,,"46,600,000",,125,2005.0,,https://www.hexonia.de
4599,iwoca,United Kingdom,Fintech,,,29.4,,224,2011.0,,https://www.iwoca.co.uk
4600,Xtream Codes,Bulgaria,Technology,,,3.02,,Not found,2015.0,,https://www.xtream-codes.com/
4601,Mobile Wave Solutions,Bulgaria,Technology,,,2.72,,58,2014.0,,https://mobilewaves.com/
4602,TPIsoftware Corporation,Taiwan,Technology,,,14.48,,471,2005.0,,https://www.tpisoftware.com/
4603,Re Blast,Japan,Retail,,,2.56,,18,2011.0,,https://www.re-blast.com/
4604,Sin Chwee Mini Mart,Singapore,Retail,,,1.21,,7,1990.0,,https://www.tankfullyfresh.com/
4605,BDO Unibank,Philippines,Financial Services,,,"3,566.66",,38510,1967.0,,https://www.bdo.com.ph/
4606,Nihon M&A Center,Japan,Management Consulting,,,294.23,,582,1991.0,,https://www.nihon-ma.co.jp/
4607,Lendi,Australia,Fintech,,,26.09,,429,2013.0,,https://www.lendi.com.au/
4608,Bomae,Denmark,Financial Services,,,"1,662,487",,13,2016.0,,https://www.bomae.dk/
4609,CREST Investment,Germany,Property,,,"1,956,510",,12,2016.0,,https://crest-investment.com
4610,AGRIVI d.o.o.,Croatia,Technology,,,"1,570,115",,24,2013.0,,https://www.agrivi.com
4611,Motius,Germany,Support Services,,,2.1,,42,2013.0,,https://www.motius.de
4612,Watt And Volt,Greece,Energy,,,164.03,,234,2011.0,,https://www.watt-volt.gr/
4613,84codes,Sweden,Technology,,,4.87,,8,2012.0,,https://www.84codes.com/
4614,Arabian Petroleum Limited,India,Industrial Goods,,,14.85,,104,2009.0,,https://www.arabianpetroleum.co.in/
4615,Business Edge Personnel Services,Singapore,Support Services,,,26.82,,15,1996.0,,https://www.businessedge.com.sg/
4616,SPC Lifesciences,India,Pharmaceuticals,,,17.94,,150,2005.0,,https://www.spcls.co.in/
4617,Sheetal,India,Food & Beverage,,,36.77,,605,2013.0,,https://sheetalicecream.com/
4618,The Executive Centre,Hong Kong,Property,,,235.75,,1042,1994.0,,https://www.executivecentre.com/
4619,Boustead Singapore,Singapore,Industrial Goods,,,532.61,,1135,1828.0,,https://boustead.sg/
4620,Gophr,UK,Technology,,,"5,738,336",,18,2014.0,,https://uk.gophr.com/
4621,Memory PC,Germany,Retail,,,"57,375,000",,110,2012.0,,https://www.memorypc.de/
4622,Ab Costruzioni,Italy,Construction,,,"1,545,095",,5,2012.0,,https://www.abcostruzioni.it
4623,Geodem-Ambiente,Italy,Construction,,,9.1,,38,2012.0,,https://www.geodem-ambiente.it
4624,VH24,Germany,Support Services,,,8.78,,54,2011.0,,https://www.verbraucherhilfe24.de/
4625,JBR Capital,United Kingdom,Financial Services,,,18.66,,45,2015.0,,https://jbrcapital.com/
4626,Onco-Life Hospitals,India,Health,,,3.82,,164,2015.0,,https://www.oncolifehospitals.com/
4627,Money3,Australia,Fintech,,,99.86,,300,2005.0,,https://www.money3.com.au/
4628,Bansal Credits,India,Financial Services,,,4.94,,108,1988.0,,Not found
4629,Sobha,India,Construction,,,533.07,,3309,1995.0,,https://www.sobha.com/
4630,Architectus,Australia,Architecture,,,64.53,,341,2008.0,,https://architectus.com.au/
4631,Sollis Solargroßhandel,Germany,Retail,,,"11,860,100",,6,2017.0,,https://www.sollis.de/
4632,Phrasee,UK,Technology,,,"4,774,273",,44,2015.0,,https://phrasee.co
4633,JAM,Netherlands,Support Services,,,2.8,,9,2012.0,,https://www.jamwerkt.nl
4634,PlasmaPro,Estonia,Industrial Goods,,,2.27,,8,2015.0,,https://www.plasmapro.ee/en/home/
4635,DataValue Consulting,France,Management Consulting,,,10.17,,155,2014.0,,https://www.datavalue-consulting.com/fr/
4636,Nuffield Dental,Singapore,Health,,,10.68,,90,2014.0,,https://www.nuffielddental.com.sg/
4637,Clixlogic,Philippines,Technology,,,2.00,,46,2005.0,,https://clixph.com/
4638,Loadstar Capital,Japan,Property,,,159.02,,58,2012.0,,https://loadstarcapital.com/
4639,DTC World Corporation,Singapore,Sales & Marketing,,,12.70,,31,2006.0,,https://www.dtcworld.com.sg/
4640,Papyless,Japan,Ecommerce,,,214.60,,116,1995.0,,https://www.papy.co.jp/info/
4641,Bossdom Digiinnovation,Taiwan,Media,,,6.74,,Not found,2014.0,,https://www.bossdom.com/
4642,Spotawheel,Greece,Automobiles,,,"15,646,588",,123,2015.0,,https://www.spotawheel.com/
4643,Ooni Pizza Ovens,UK,Personal & Household Goods,,,"63,879,414",,83,2012.0,,https://ooni.com/
4644,Fibtel,France,Telecoms,,,"1,579,135",,44,2007.0,,http://n/a
4645,TES Group,Italy,Construction,,,"5,932,475",,27,2015.0,,http://www.tesgroupsrl.it
4646,Over The Lux,Italy,Travel & Leisure,,,3.3,,5,2010.0,,https://www.overthelux.com
4647,Seargin,Poland,Technology,,,11.54,,51,2014.0,,https://seargin.com/
4648,A.N.NE,Germany,Retail,,,2.37,,4,2012.0,,https://anne-gmbh.de/
4649,"EXTREME Co.,Ltd.",Japan,Technology,,,58.35,,400,2005.0,,https://www.e-xtreme.co.jp/
4650,Access Healthcare Services,India,Support Services,,,140.16,,"14,230",2011.0,,https://www.accesshealthcare.com/
4651,Firefly Networks Limited,India,Telecoms,,,2.00,,33,2014.0,,https://www.fireflynetworks.co.in/
4652,St. Martin COOP,Philippines,Support Services,,,1.32,,136,1969.0,,https://stmartincoop.ph/
4653,FutureWorks,India,Media,,,7.00,,341,2007.0,,https://www.futureworks.in/
4654,Connect Group,Singapore,Travel & Leisure,,,7.89,,159,2012.0,,https://www.connectcue.com/
4655,Robovox Distributions,Germany,Retail,,,"19,427,000",,35,2015.0,,https://www.robovox.eu/
4656,RTB House,Poland,Technology,,,"169,467,709",,575,2013.0,,https://www.rtbhouse.com
4657,Storytel,Sweden,Media,,,122.2,,309,2005.0,,https://www.storytel.se
4658,Fram Skandinavien,Sweden,Technology,,,1.84,,100,2014.0,,https://corporate.wearefram.com/
