,name,country,industry,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,revenue_2020,employees_2020,employees_2017,founded,revenue_2017,website
1678,AUDENSIEL,France,Technology,,,57451279.0,720.0,230,2013.0,17203160.0,
1679,Ivnosys,Spain,Technology,,,8743069.0,106.0,34,2011.0,2618069.0,
1680,Mulconsa,Spain,Construction,,,6687402.0,45.0,30,2012.0,2002982.0,
1681,50NRTH,Germany,Retail,,,35107348.0,54.0,14,2004.0,10518963.0,
1682,Delecto,Croatia,Retail,,,2649288.0,10.0,6,2008.0,793957.0,
1683,Mardruk Opakowania,Poland,Industrial Goods,,,3226645.0,47.0,7,2015.0,1058063.0,
1684,MANANG,France,Construction,,,6205559.0,40.0,15,2012.0,1862272.0,
1685,bestbion dx,Germany,Health,,,14863628.0,27.0,21,2011.0,4461170.0,
1686,Avamore Capital,UK,Financial Services,,,2552248.0,21.0,7,2015.0,772943.0,
1687,Solaris and more,Germany,Energy,,,4692660.0,30.0,13,2011.0,1414501.0,
1688,Clearcycle,UK,Retail,,,2176368.0,11.0,8,2015.0,660767.0,
1689,Opteamis,France,Support Services,,,13856500.0,35.0,12,2005.0,4180523.0,
1690,Codenor,Spain,Construction,,,6385196.0,20.0,10,2010.0,1926967.0,
1691,HAPPYBULLE,France,Ecommerce,,,4209975.0,18.0,8,2015.0,1271353.0,
1692,Aurora Energy Research,UK,Energy,,,15079425.0,158.0,46,2013.0,4587687.0,
1693,Bacci,Spain,Fashion,,,24048302.0,14.0,19,2003.0,7265350.0,
1694,Emilia Foods,Italy,Food & Beverage,,,26824140.0,25.0,8,2013.0,8110160.0,
1695,T.E.A.M. - Ti educa a migliorare,Italy,Health,,,3370490.0,211.0,82,2001.0,1020690.0,
1696,Brainhub,Poland,Technology,,,3513741.0,75.0,30,2016.0,1163241.0,
1697,Assitech,Italy,Construction,,,2675750.0,9.0,10,2016.0,810750.0,
1698,Schott Packaging,UK,Ecommerce,,,2272847.0,11.0,4,2016.0,694501.0,
1699,Alba,Italy,Energy,,,3299330.0,30.0,12,2010.0,1001740.0,
1700,FinTrU,UK,Financial Services,,,32392546.0,740.0,219,2013.0,9915609.0,
1701,Global Edilizia,Italy,Construction,,,4028000.0,5.0,4,2011.0,1226000.0,
1702,TPXimpact,UK,Management Consulting,,,57093437.0,381.0,2,2016.0,17515305.0,
1703,LGS SportLab,Italy,Advertising,,,4014220.0,9.0,6,2010.0,1222870.0,
1704,Weiser Brandschutz & Technik,Germany,Construction,,,5986199.0,45.0,4,2005.0,1825769.0,
1705,Fairfax and Favor,UK,Fashion,,,18178322.0,47.0,13,2013.0,5602279.0,
1706,FAO Consulting,France,Technology,,,7781600.0,85.0,39,2014.0,2384156.0,
1707,Gruppo Del Barba Consulting,Italy,Financial Services,,,5855040.0,37.0,8,2010.0,1794120.0,
1708,Exclaimer,UK,Technology,,,26143857.0,109.0,62,2003.0,8075796.0,
1709,Join Business Management Consulting,Italy,Management Consulting,,,10189790.0,77.0,25,2013.0,3128700.0,
1710,Vennes,Germany,Construction,,,17048000.0,57.0,27,2003.0,5244000.0,
1711,Piggy,The Netherlands,Technology,,,2946126.0,31.0,7,2013.0,906341.0,
1712,Epassi,Finland,Fintech,,,205312456.0,130.0,40,2007.0,63207258.0,
1713,Atheneum Partners,Germany,Technology,,,33400000.0,315.0,150,2010.0,10300000.0,
1714,Pharmacy2U,UK,Technology,,,156232906.0,454.0,211,1999.0,48580102.0,
1715,PHOENIX DEVELOPPEMENT,France,Support Services,,,1797294.0,18.0,6,2011.0,556159.0,
1716,Wiwie Transport,Germany,Transport,,,4200000.0,25.0,10,2016.0,1300000.0,
1717,Mevas Auto Center,Romania,Automobiles,,,2595034.0,31.0,23,2003.0,834708.0,
1718,BK Beachhouse Mode,Germany,Retail,,,5172479.0,35.0,21,2015.0,1602458.0,
1719,F.lli Urso,Italy,Construction,,,2009090.0,9.0,3,2015.0,622800.0,
1720,GoHenry,UK,Financial Services,,,22020382.0,166.0,61,2011.0,6882489.0,
1721,Adrilog,Italy,Transport,,,57057180.0,816.0,634,2014.0,17727950.0,
1722,Attachment,UK,Advertising,,,7191249.0,6.0,2,2015.0,2250946.0,
1723,PARIS HERBES,France,Agricultural Commodities,,,12934943.0,25.0,15,2015.0,4020469.0,
1724,Interlog Logistic,France,Transport,,,5480946.0,28.0,37,2015.0,1703819.0,
1725,Conglomerati Bituminosi,Italy,Construction,,,33371870.0,75.0,34,1975.0,10393680.0,
1726,Nikkel Art,Belgium,Ecommerce,,,3762160.0,26.0,5,2010.0,1172617.0,
1727,Esyen,Italy,Technology,,,3868940.0,25.0,9,2011.0,1206770.0,
1728,Sav-eco Packaging Ltd,UK,Industrial Goods,,,16923940.0,165.0,104,2014.0,5322238.0,
1729,Elmar Mair Tiefbau,Germany,Construction,,,2302685.0,19.0,8,2016.0,719638.0,
1730,ATLAS Innovative Engineering,Spain,Energy,,,3495981.0,15.0,12,2014.0,1094666.0,
1731,SECURE-IC,France,Technology,,,6934182.0,76.0,48,2010.0,2171492.0,
1732,DATALYO,France,Technology,,,3544255.0,36.0,16,2014.0,1111687.0,
1733,Signify Technology,UK,Management Consulting,,,2547992.0,29.0,14,2016.0,805029.0,
1734,BOXT,UK,Ecommerce,,,38373430.0,59.0,20,2017.0,12127395.0,
1735,James and James Fulfilment,UK,Ecommerce,,,30887883.0,158.0,55,2010.0,9762332.0,
1736,Armonie,Italy,Food & Beverage,,,2803150.0,9.0,5,2014.0,879670.0,
1737,Maverick Group,Italy,Technology,,,5313290.0,5.0,1,2017.0,1674690.0,
1738,Brainpull,Italy,Advertising,,,4264120.0,29.0,10,2012.0,1344240.0,
1739,Wiseband,France,Media,,,1636674.0,15.0,4,2014.0,516164.0,
1740,Groupe Ezdo La Boulangerie Des Gourmets,France,Agricultural Commodities,,,40777823.0,15.0,4,2013.0,12867410.0,
1741,Pakar Service,Poland,Support Services,,,9729642.0,396.0,257,2010.0,3363800.0,
1742,BIO-UV,France,Industrial Goods,,,32175000.0,117.0,62,2000.0,10181000.0,
1743,F.G. Service,Italy,Construction,,,2554140.0,14.0,2,2015.0,809450.0,
1744,Allways Logistics System,Italy,Transport,,,9569120.0,125.0,2,2012.0,3033150.0,
1745,Matsmart,Sweden,Ecommerce,,,49576899.0,164.0,75,2013.0,16075963.0,
1746,autargo,Germany,Construction,,,1807173.0,5.0,2,2016.0,573070.0,
1747,Brewshop.no,Norway,Food & Beverage,,,4392988.0,9.0,7,2015.0,1484883.0,
