04-iGMM-world_rank__jan_07_2022,00-avengers-number_of_employees,04-iGMM-number_of_employees,07-silvestri-employees_2022
84,"15,500","85,301","76,800"
85,"85,301","15,500","105,615"
86,"58,390","109,700","24,158"
87,"13,500","69,900","56,000"
88,"459,000","362,000","23,683"
89,"107,415","99,000","89,000"
90,"295,000","89,464","31,495"
91,"105,476","476,223","1,941"
92,"303,000","128,339","61,576"
93,"32,200","7,000","16,000"
94,"90,000","8,380","28,051"
95,"8,380","90,000","18,687"
96,"7,000","32,200","1,160"
97,"128,339","303,000",
98,"476,223","105,476","83,000"
99,"89,464","295,000",282
100,"149,000","149,000","75,901"
101,"223,448","75,000","6,429"
102,"27,000","306,322","73,037"
103,"662,575","16,500","16,842"
103,"64,000","500,000","151,000"
104,"174,000","174,000","48,254"
105,"500,000","64,000","37,000"
106,"16,500","662,575","39,642"
107,"306,322","27,000","105,000"
108,"75,000","223,448","6,617"
109,"383,000","43,900","17,800"
110,"95,442","26,348","10,622"
111,"141,014","223,400","110,432"
112,"62,000","454,332","478,070"
113,,"24,200","79,200"
113,"24,200",,"101,911"
114,"454,332","62,000","20,532"
115,"223,400","141,014","1,519"
116,"26,348","95,442","23,655"
117,"43,900","383,000","4,825"
118,"161,027","49,245","289,501"
119,"9,793","23,000","9,016"
120,"75,600","28,025","167,552"
121,"49,000","5,618","34,352"
122,"375,300","107,700","78,249"
123,"107,700","375,300","33,916"
124,"5,618","49,000","59,900"
125,"28,025","75,600","101,322"
126,"23,000","9,793","23,127"
127,"49,245","161,027","20,477"
128,"22,850","2,053","61,380"
129,"473,800","16,881","19,386"
130,"93,700","168,000","9,200"
131,"164,000","409,000","171,000"
132,"104,160","99,000","52,600"
133,"99,000","104,160","90,836"
134,"409,000","164,000","87,927"
135,"168,000","93,700","37,125"
136,"16,881","473,800","232,000"
137,"2,053","22,850","78,126"
138,"122,000","166,025","12,568"
139,"125,888","26,037","2,877"
139,"6,132","18,800","48,000"
140,"63,900","10,100","81,592"
141,"43,000","314,906","72,644"
142,"314,906","43,000","19,200"
143,"10,100","63,900",
144,"18,800","6,132","67,409"
145,"26,037","125,888","153,000"
145,"166,025","122,000","19,000"
145,"56,000","60,000","167,743"
146,"38,553","33,800","7,340"
147,"27,558","95,000",916
148,"303,350","150,269","152,050"
149,"58,408","345,218","10,540"
150,"346,845","58,408","117,500"
151,"150,269","303,350","36,726"
152,"95,000","27,558","13,500"
153,"33,800","38,553","15,500"
154,"60,000","56,000","7,238"
155,"19,400","19,400","367,321"
156,"400,000","12,100","18,700"
157,"13,716","43,000","13,189"
158,"25,000","114,000","84,512"
159,"60,000","144,116","13,840"
160,"183,000","183,000","19,062"
161,"144,116","60,000","46,600"
162,"114,000","25,000","11,908"
163,"43,000","13,716","19,169"
163,"12,100","400,000","142,150"
164,"300,000","59,426","29,378"
165,"90,640","32,721","66,674"
166,"6,000","14,100","5,054"
167,"2,495","79,000","9,813"
168,"226,291","224,300","26,000"
169,"224,300","226,291","311,269"
170,"79,000","2,495","14,802"
171,"14,100","6,000","84,000"
171,"32,721","90,640","19,498"
171,"59,426","300,000","33,200"
172,"14,400","190,000","15,016"
173,"288,481","68,796","19,933"
174,"55,000","157,000","383,233"
174,"21,245","155,000","2,653"
175,"152,000","49,370","171,450"
176,"49,370","152,000","114,042"
177,"155,000","21,245","15,500"
178,"157,000","55,000","13,876"
179,"68,796","288,481","8,771"
180,"190,000","14,400","40,010"
181,"1,800","151,017","48,770"
182,"52,641","320,000","22,000"
183,"22,604","24,700","94,000"
184,"14,479","89,488","15,900"
185,"89,488","14,479",
186,"24,700","22,604","36,597"
187,"320,000","52,641","90,500"
188,"151,017","1,800","99,700"
189,"32,424","31,000",781
190,"31,000","32,424","3,073"
191,"17,400","149,239","12,489"
192,"3,795","61,626",
193,"20,919","295,371","13,000"
194,"285,555","34,760","9,591"
195,"5,000","67,000","23,293"
196,"67,000","5,000","20,465"
197,"34,760","285,555","14,508"
198,"295,371","20,919","17,373"
199,"61,626","3,795","46,000"
200,"149,239","17,400","37,960"
200,"114,000","81,000","1,395"
200,"13,334","232,000","31,700"
201,"27,605","11,200","22,000"
202,"29,300","58,786","128,000"
203,"4,370","52,000","236,386"
204,"52,000","4,370","20,000"
205,"58,786","29,300","18,000"
206,"11,200","27,605",355
207,"232,000","13,334","18,515"
207,"81,000","114,000","6,527"
208,"20,054","66,438","64,016"
209,"384,065","194,527","55,000"
210,"40,000","4,077","1,566"
211,"235,000","132,700","30,300"
212,,"571,974","17,512"
212,"571,974",,"1,996"
213,"132,700","235,000","32,200"
214,"4,077","40,000","8,006"
215,"194,527","384,065","528,748"
216,"66,438","20,054","12,236"
217,"7,000","73,800","84,740"
218,"21,000","45,000","268,979"
219,"15,700","6,433","25,391"
220,"6,433","15,700","27,200"
221,"45,000","21,000","44,596"
221,"73,800","7,000","9,823"
222,"8,858","105,000","10,531"
223,"1,750","315,000","2,583"
224,"315,000","1,750","11,864"
225,"105,000","8,858","3,388"
226,"6,058","96,595","14,194"
227,"18,100","43,863","125,364"
228,"75,000","130,170","4,561"
229,"27,300","2,372","80,702"
230,"29,008","42,685","19,000"
231,"42,685","29,008","4,000"
232,"2,372","27,300","91,000"
233,"130,170","75,000","116,000"
234,"43,863","18,100","100,000"
235,"96,595","6,058",327
236,"11,834","45,000","23,739"
237,"120,726","44,000","23,248"
238,"134,878","74,316","52,200"
239,"33,800","65,000","14,374"
240,"19,789","24,069","3,000"
241,"24,069","19,789","79,051"
242,"65,000","33,800","15,417"
243,"74,316","134,878","118,523"
244,"44,000","120,726","5,353"
245,"45,000","11,834","52,800"
245,"110,302","312,250","11,644"
246,"34,944","5,633","4,700"
247,"2,000","7,986","59,000"
248,"13,023","289,000",376
249,"16,821","10,944","4,700"
250,"10,944","16,821","4,861"
251,"289,000","13,023","17,883"
252,"7,986","2,000","34,240"
253,"5,633","34,944","4,000"
254,"312,250","110,302","20,000"
255,"28,239","80,000",336
256,"85,947","49,050","29,000"
256,,"25,000","322,164"
257,"48,500","47,320","79,207"
258,"52,930","32,873",
259,"32,873","52,930","17,121"
260,"47,320","48,500","20,700"
261,"25,000",,"17,500"
262,"49,050","85,947","8,300"
263,"80,000","28,239","4,735"
264,"117,356","168,391","30,745"
265,"50,800","71,551","7,120"
266,"47,000","5,661","24,500"
267,"20,875","60,500","4,000"
268,"26,123","186,851","33,004"
269,"186,851","26,123","21,754"
270,"60,500","20,875","115,900"
271,"5,661","47,000","12,000"
272,"71,551","50,800","1,339"
273,"168,391","117,356",85
274,"10,780","80,369","13,331"
275,"49,000","8,521","22,094"
276,"189,512","29,000","17,813"
276,"10,368",55,"11,200"
277,"17,100","76,182","61,053"
278,"76,182","17,100",
279,55,"10,368","38,626"
280,"29,000","189,512","6,606"
281,"8,521","49,000","60,000"
282,"80,369","10,780","123,458"
283,"50,000","17,377","46,000"
284,"3,226","11,550","23,693"
285,"5,800","88,000","50,000"
286,"9,819","4,556","78,395"
287,"12,500","239,000","86,195"
288,"239,000","12,500","51,397"
289,"4,556","9,819","42,800"
290,"88,000","5,800","39,602"
291,"11,550","3,226","25,491"
292,"17,377","50,000","51,209"
293,"17,000","43,000","17,237"
294,"41,000","26,969","129,000"
295,"18,500","24,700","75,000"
296,"217,731","191,189","9,000"
297,"95,850","3,730",
298,"3,730","95,850","44,500"
299,"191,189","217,731",15
300,"24,700","18,500","22,448"
301,"26,969","41,000","3,287"
302,"43,000","17,000","412,088"
303,"90,000","90,000","19,399"
304,"33,427","50,288",
305,"33,500","101,000","6,265"
306,"245,642","47,313","2,243"
307,"31,000","103,100","16,818"
308,"2,700","2,700","12,783"
309,"103,100","31,000","10,102"
310,"47,313","245,642","26,000"
311,"101,000","33,500","82,600"
312,"50,288","33,427","4,253"
313,"17,209","17,209","34,680"
314,"43,000","7,800","6,735"
315,"86,700","11,500",784
316,"40,143","16,218","4,362"
317,"281,192","37,506","19,853"
318,"2,800","2,800","17,883"
319,"37,506","281,192","5,500"
320,"16,218","40,143","17,650"
321,"11,500","86,700","350,000"
322,"7,800","43,000","6,250"
323,"2,980","3,900","11,445"
324,"9,709","9,276","26,000"
325,,"57,000",
326,"101,000","380,714",
327,"45,282","14,100","23,527"
328,"14,100","45,282","43,800"
329,"380,714","101,000","3,300"
330,"57,000",,"2,014"
331,"9,276","9,709","11,684"
332,"3,900","2,980","69,619"
333,"15,500","24,848","5,000"
334,"4,553","31,518","10,000"
335,"62,285",,"3,700"
336,"45,000","158,000","15,000"
337,"5,300","5,451","24,043"
338,"5,451","5,300","22,236"
339,"158,000","45,000","4,477"
340,,"62,285","1,742"
341,"31,518","4,553","42,602"
342,"24,848","15,500","10,313"
343,"6,574","6,574","2,384"
344,"24,158","99,538","5,610"
345,"57,727","76,800","11,785"
346,"63,174","3,228",
347,"105,615","120,000","32,475"
348,"231,671","231,671","11,000"
349,"120,000","105,615","3,049"
350,"3,228","63,174",
351,"76,800","57,727","179,565"
352,"99,538","24,158","1,832"
353,"601,276","601,276","46,724"
354,"23,683","41,000","22,322"
355,"38,600","7,664","11,265"
356,"56,000","3,300","11,000"
357,"211,000","27,500","2,216"
358,"121,925","121,925","23,668"
358,"27,500","211,000",
359,"3,300","56,000","2,051"
360,"7,664","38,600","7,000"
361,"41,000","23,683",
362,"28,000","10,473","19,794"
363,"37,245","89,000","5,441"
364,"1,941","31,495","64,734"
365,"9,700","137,284","10,818"
366,"49,100","17,917","52,347"
367,"17,917","49,100","5,500"
368,"137,284","9,700","1,225"
369,"31,495","1,941","5,423"
370,"89,000","37,245","4,081"
371,"10,473","28,000","31,517"
372,"34,000","6,269","10,045"
373,"15,392","7,130",
374,"16,361","87,828","17,887"
375,"75,184","24,431","3,700"
376,"211,374","61,576",77
377,"61,576","211,374","3,495"
378,"24,431","75,184","1,400"
379,"87,828","16,361","6,655"
380,"7,130","15,392","38,967"
381,"6,269","34,000",883
382,"8,034","8,034",504
383,"28,051","71,000",
384,"13,777","36,600",
385,,"16,000","1,400"
386,"4,092","33,305","9,000"
387,"9,800","9,800",
388,"33,305","4,092","55,621"
388,"16,000",,"4,530"
389,"36,600","13,777","19,200"
390,"71,000","28,051","5,354"
391,"1,932","18,687","6,800"
392,"18,400","86,800","28,000"
393,"11,380","18,703","72,500"
394,"1,600","92,000",
395,"79,000","90,000","78,000"
396,"90,000","79,000","14,500"
397,"92,000","1,600",
398,"18,703","11,380",
399,"86,800","18,400","12,757"
400,"18,687","1,932",
401,"45,000","45,000","9,892"
402,"14,400",710,"18,110"
403,"52,100","4,891",
404,"83,000","82,997","7,500"
405,"122,000","7,283","2,024"
405,"402,000","402,000","138,353"
406,"7,283","122,000","20,173"
407,"82,997","83,000","18,232"
408,"4,891","52,100",40
409,"1,160","14,400","61,000"
410,"210,966",282,
411,"75,901","75,901",909
412,282,"210,966","260,000"
413,"15,000","6,429","5,752"
414,"277,000","95,500",
415,"2,730","10,350","24,608"
416,"7,763","7,763",
417,"10,350","2,730",
418,"95,500","277,000","1,610"
419,"6,429","15,000",
420,"7,802","50,319",
421,"9,500","73,037","6,114"
422,"25,000","9,300",650
423,"7,600","16,842",
424,"83,636","9,300","1,892"
425,"9,300","83,636","111,900"
426,"16,842","7,600",
427,"9,300","25,000","35,455"
427,"73,037","9,500","34,000"
427,"50,319","7,802","16,291"
428,"48,254","330,600","16,264"
429,"19,500","128,146","18,307"
430,"50,000","151,000","1,803"
431,"4,303","36,000","6,029"
432,"7,000","3,030","13,351"
433,"3,030","7,000","11,487"
434,"36,000","4,303",
435,"151,000","50,000","3,600"
436,"128,146","19,500","30,264"
437,"330,600","48,254",
438,"16,688","8,600",
439,"8,600","16,688","8,500"
440,"72,500","10,164","1,620"
441,"3,200","97,660","32,000"
442,"58,000","8,619",
442,"18,000","37,000",
443,"37,000","18,000","5,510"
443,"8,619","58,000","12,773"
444,"97,660","3,200",
445,"10,164","72,500",
446,"17,700","403,000","33,681"
447,"35,700","158,000","130,716"
448,"60,000","12,561","11,700"
449,"17,000","4,537","5,182"
450,"7,529","61,531","9,211"
451,"61,531","7,529",
452,"4,537","17,000",
453,"12,561","60,000","1,702"
454,"158,000","35,700","6,624"
455,"403,000","17,700","10,000"
456,,"5,544",
457,"39,642","25,000",628
458,"21,456","26,852",530
459,"99,299","40,916","39,000"
460,"3,394","464,000",
460,"464,000","3,394","14,542"
461,"40,916","99,299","5,700"
462,"26,852","21,456",
463,"25,000","39,642","6,525"
464,"5,544",,
465,"35,000","22,540","7,044"
466,"18,700","47,000","110,300"
467,"17,800","28,000","22,209"
468,"6,617","47,000","5,961"
469,"105,000","6,567","29,300"
470,"6,567","105,000",
471,"47,000","6,617","7,418"
472,"28,000","17,800",
473,"47,000","18,700","8,500"
474,"22,540","35,000","300,000"
475,"100,000","142,000","3,030"
476,"110,432","131,000","2,321"
477,"54,640","4,076","3,202"
478,"191,752","12,874","7,000"
479,"51,000","10,622","10,000"
480,"10,622","51,000","16,094"
481,"12,874","191,752","1,100"
481,"4,076","54,640","31,575"
482,"131,000","110,432","31,600"
483,"142,000","100,000","9,638"
484,"7,867","10,800","2,000"
485,"1,567","2,153",
486,"478,070","35,000",
487,"12,447","58,000","6,029"
488,"8,256","40,000","2,709"
489,"40,000","8,256","103,598"
490,"58,000","12,447","65,000"
491,"35,000","478,070","18,444"
492,"2,153","1,567","5,500"
493,"10,800","7,867","339,716"
494,"20,532","79,200","9,520"
495,"3,238","71,504","3,300"
496,"17,337","41,101",783
497,"50,479","30,800",500
498,"16,033","101,911",
499,"101,911","16,033","177,047"
500,"30,800","50,479","28,000"
501,"41,101","17,337",
502,"71,504","3,238",
503,"79,200","20,532","58,415"
504,"36,000","1,519","1,023"
505,"23,655",371,"49,000"
506,"2,993","18,990",
507,"27,500","59,052","48,000"
508,"58,200","3,676","9,059"
509,"3,676","58,200","22,000"
510,"59,052","27,500","104,739"
511,"18,990","2,993","8,578"
512,371,"23,655",
513,"1,519","36,000","10,500"
514,"3,837","23,100","1,896"
515,"41,000","140,565","4,353"
516,"44,509","30,538",482
517,"138,808","37,000",270
518,"4,825","10,529",
519,"10,529","4,825","1,753"
520,"37,000","138,808","2,050"
521,"30,538","44,509",
522,"140,565","41,000","11,687"
523,"23,100","3,837","24,000"
524,"23,663","96,500","22,514"
525,"34,352","15,026",
526,"78,249","289,501","3,934"
527,"167,552","12,591",
528,"111,247","9,016","37,926"
529,"9,016","111,247","14,000"
530,"12,591","167,552",
531,"289,501","78,249",
532,"15,026","34,352",
533,"96,500","23,663",
534,"204,815",464,"8,800"
535,"1,596","76,000","11,423"
536,"26,969","33,300","6,273"
537,37,"24,500",
538,"1,967","33,916","1,618"
539,"33,916","1,967","13,500"
540,"24,500",37,"32,000"
541,"33,300","26,969","62,000"
542,"76,000","1,596","3,500"
543,464,"204,815","10,776"
544,"88,846","14,915",
545,"11,321","59,900",
546,"11,000",,
547,,"101,322","9,000"
548,"41,000","41,000",767
549,"101,322",,
550,,"11,000",361
551,"59,900","11,321",
552,"14,915","88,846",
553,"23,127","23,127","26,932"
554,"19,386","39,000","1,400"
554,"61,380","24,315",296
555,"803,126","10,000",
556,"196,159","93,700","1,530"
556,"20,477","34,523","18,153"
557,"34,523","20,477",
558,"93,700","196,159","87,700"
559,"10,000","803,126","2,945"
560,"24,315","61,380",
561,"39,000","19,386","12,978"
562,"13,300","36,860","3,000"
563,"3,400","9,200","48,330"
564,"2,837","3,153","14,866"
565,"28,546","6,295",500
566,"171,000","245,472","18,045"
567,"245,472","171,000","3,147"
568,"6,295","28,546",
569,"3,153","2,837",
570,"9,200","3,400",
571,"36,860","13,300",
572,"12,000","70,000","10,234"
573,"90,836","54,700","3,337"
574,"58,300","36,500",
575,"45,268","20,500",751
576,"52,600","14,000","2,631"
577,"14,000","52,600",
578,"20,500","45,268",
579,"36,500","58,300",
580,"54,700","90,836","16,400"
581,"70,000","12,000","5,600"
582,"11,107","87,927","46,644"
583,"27,015","4,506","4,353"
584,"5,245","2,540",
585,"37,125","17,800","8,450"
586,"21,000","465,000","3,978"
587,"465,000","21,000","1,595"
588,"17,800","37,125","11,500"
589,"2,540","5,245",
590,"4,506","27,015",
591,"87,927","11,107","2,889"
592,"12,568","105,000","15,352"
593,"7,970","232,000","22,245"
594,"89,575","24,346","2,155"
595,"3,090","39,500","10,692"
596,"20,507","78,126",
597,"78,126","20,507","19,962"
598,"39,500","3,090",
599,"24,346","89,575",
600,"232,000","7,970","7,428"
601,"105,000","12,568","8,607"
602,"4,783","30,263",
603,"69,801","51,426","1,800"
604,"9,610","2,440",450
605,"2,877","14,300","10,762"
606,"39,000","47,486",
607,"47,486","39,000","9,400"
608,"14,300","2,877","1,503"
609,"2,440","9,610",
610,"51,426","69,801",
611,"30,263","4,783","28,400"
612,"19,112","18,933",410
613,559,"11,788","43,310"
614,"59,900","12,684",
615,"13,977","34,209",
616,"2,400",596,"4,800"
617,596,"2,400","1,111"
618,"34,209","13,977",
619,"12,684","59,900",
620,"11,788",559,"18,019"
621,"18,933","19,112",218
622,"9,367","9,367",
623,"24,586","48,000",
624,"137,000","81,592",
625,"38,087","72,644",
626,"1,600","2,733",
627,"9,964","9,964",200
628,"2,733","1,600","2,094"
629,"72,644","38,087","2,300"
630,"81,592","137,000","355,000"
631,"48,000","24,586","8,668"
632,"32,218","18,500","2,200"
633,"12,700","10,875","7,385"
634,"28,445","24,589","5,806"
635,"28,800","36,000","72,644"
636,"1,000","10,400",
637,"10,400","1,000","3,862"
638,"36,000","28,800","110,000"
639,"24,589","28,445","2,300"
640,"10,875","12,700","22,000"
641,"18,500","32,218",
642,"19,200","215,000","30,000"
643,"215,000","19,200",
644,"67,409","28,500","3,163"
645,"2,571","61,200",
646,"21,869","8,600",
647,"45,174","5,814",
648,"5,814","45,174",
649,"8,600","21,869","1,492"
650,"61,200","2,571",
651,"28,500","67,409",
651,"59,258",450,
652,"4,700","153,000","17,300"
653,"15,000","129,071",
654,"90,800","15,945",
655,"8,211","19,000",792
656,"19,000","8,211","1,449"
657,"15,945","90,800","2,127"
658,"129,071","15,000",
659,"153,000","4,700",
660,450,"59,258","3,500"
661,916,"5,836",
662,"7,340","167,743",
663,"6,400","7,500","30,000"
664,"58,824","199,327",
665,"5,100",,491
666,,"5,100","3,800"
667,"199,327","58,824","1,300"
668,"7,500","6,400","2,159"
669,"167,743","7,340",396
670,"5,836",916,"77,000"
671,"117,500","69,000","18,600"
672,"10,540",,
673,"6,200","152,050","7,400"
674,"26,316","24,374",
675,"10,753","245,472",
676,"245,472","10,753","13,000"
677,"24,374","26,316","8,500"
678,"152,050","6,200",
679,,"10,540",
680,"69,000","117,500","1,500"
681,"6,938","36,726",
682,"65,017","13,500",
683,"4,181","11,678",
684,"9,227","138,036","2,436"
685,"71,300","135,304",
686,"135,304","71,300",
687,"138,036","9,227","9,500"
688,"11,678","4,181","4,000"
689,"13,500","65,017","5,688"
690,"36,726","6,938",
691,"1,594","7,235",
692,"367,321","5,030",
693,"73,275","15,500","4,193"
694,"9,372","7,238",
695,"56,811","14,071",
696,"14,071","56,811",
697,"7,238","9,372","45,500"
698,"15,500","73,275","8,500"
699,"5,030","367,321","5,239"
700,"7,235","1,594",
701,"13,189",,
702,,"78,300",
703,"23,635","7,127","25,767"
704,"15,883",,
705,"18,700","1,340","19,000"
706,"1,340","18,700",
707,,"15,883","9,938"
708,"7,127","23,635",
709,"78,300",,
710,,"13,189",
711,"13,840","57,848",
712,"52,488","84,512","1,901"
713,"22,000","13,962","3,400"
714,"26,438","12,558",
715,"24,300","198,951",
716,"198,951","24,300","23,458"
717,"12,558","26,438",255
718,"13,962","22,000",
719,"84,512","52,488","1,456"
720,"57,848","13,840","49,882"
721,"2,972","2,096","1,030"
722,"2,539","44,700",
723,"24,272","9,000",
723,"11,908","10,065",973
724,"46,600","19,062",
725,"19,062","46,600",
726,"10,065","11,908",
727,"9,000","24,272",361
728,"44,700","2,539","7,587"
729,"2,096","2,972",
730,"29,378","19,169","12,000"
731,"31,653","320,618",
732,"26,000","40,000",
733,"142,150","4,742","28,000"
734,"24,500","9,800",
735,"9,800","24,500",
736,"4,742","142,150",
737,"40,000","26,000","10,021"
738,"320,618","31,653",
739,"19,169","29,378","45,000"
740,"146,518","66,674","97,639"
741,"33,300","5,054",700
742,"2,847","22,892",
742,"139,677","93,300","13,832"
743,"9,813","4,013",969
744,"4,013","9,813","11,836"
745,"93,300","139,677",
746,"22,892","2,847",167
747,"5,054","33,300","1,162"
748,"66,674","146,518",820
749,"11,216","42,000","4,407"
750,"26,000","2,545",626
751,"15,000","2,413","1,354"
752,"1,550","87,346",
753,"11,912","6,000","31,000"
754,"6,000","11,912",
755,"87,346","1,550","3,500"
756,"2,413","15,000","4,081"
757,"2,545","26,000",
758,"42,000","11,216",
759,"43,293","5,500","2,245"
760,"7,082","75,000",
761,,"26,000",
762,"85,700","209,000",75
762,"14,800","19,285",
763,"19,285","14,800","1,049"
764,"209,000","85,700","7,484"
765,"26,000",,"8,000"
766,"75,000","7,082",800
767,"5,500","43,293","25,000"
768,"25,000","200,000",630
769,"9,900","46,316","1,900"
770,"37,769","20,000",
770,"14,802",,"4,900"
771,"26,400","311,269",
772,"311,269","26,400","1,983"
773,,"14,802",
774,"20,000","37,769","40,141"
775,"46,316","9,900","12,160"
776,"200,000","25,000",
777,"5,800",,"3,593"
778,"8,700","5,630","6,519"
779,"20,000","84,000",
780,"1,900","9,372","4,993"
781,"1,545","55,100","1,699"
782,"55,100","1,545",900
783,"9,372","1,900",
784,"84,000","20,000","8,331"
785,"5,630","8,700","15,000"
786,,"5,800","2,389"
787,"19,498","5,700","7,048"
788,"83,000","26,920","8,613"
789,"259,385","36,000",
790,"26,506","80,000",
790,"52,323","30,000",
791,"30,000","52,323","23,632"
792,"80,000","26,506","7,000"
793,"36,000","259,385",
794,"26,920","83,000","2,853"
795,"5,700","19,498",
796,"8,000","30,105",
796,"15,016","2,100","23,632"
797,,"33,200","1,227"
798,,902,"16,300"
799,"23,000","18,000","46,000"
800,"18,000","23,000",
801,902,,
801,"33,200",,"471,056"
802,"2,100","15,016",
803,"30,105","8,000",
804,"7,230","2,675",
805,"10,500","19,933",
806,"172,907","66,478",
807,"383,233",,"1,783"
808,"22,700","11,980",
809,"11,980","22,700",
810,,"383,233",
811,"66,478","172,907","4,586"
812,"19,933","10,500","3,500"
813,"2,675","7,230","4,325"
814,"46,000","46,000","2,049"
815,"164,177","2,653","4,004"
816,"154,000","1,800","4,460"
817,"7,600","5,100",
818,"5,900","171,450",200
819,"18,000","18,000","1,319"
820,"171,450","5,900",
821,"5,100","7,600","11,552"
822,"1,800","154,000",
823,"2,653","164,177","1,828"
824,"14,000","14,000",553
825,"114,042","59,262","11,377"
826,"33,153","1,240",
827,"25,377","30,000","5,110"
828,"3,625","11,300",299
829,"27,318","27,318","13,676"
830,"11,300","3,625",236
831,"30,000","25,377","2,368"
832,"1,240","33,153",
833,"59,262","114,042","15,054"
834,"7,959","7,959",
835,"2,429","18,700",350
836,"13,876","29,603",
837,"38,000","16,665",
838,"2,042",529,"5,317"
839,"15,500","15,500",
840,"16,665","2,042","3,015"
841,529,"38,000",
842,"18,700","13,876",
843,"29,603","2,429","20,129"
844,"25,693","25,693",
845,"16,600","27,000",
846,"102,000","11,697",
847,"23,500","5,590",
848,"13,003","7,000",325
849,"40,000","40,000",
850,"7,000","13,003","9,107"
851,"5,590","23,500","23,100"
852,"11,697","102,000",
853,"27,000","16,600","82,132"
854,"8,771","8,771",
855,"1,414",,
856,"48,770","18,500",
857,"12,244","18,180","37,966"
858,"119,658","33,603",
859,"40,010","40,010",190
860,"33,603","119,658",
861,"18,180","12,244","4,500"
862,"18,500","48,770",
863,,"1,414","13,550"
864,38,38,
865,,"12,307",67
866,"7,500","2,900","9,000"
867,"15,900","22,000",333
868,,"3,000",
869,"94,000","94,000","10,528"
870,"3,000",,
871,"22,000","15,900",
871,"2,900","7,500","1,137"
872,"12,307",,
873,"22,467","22,467",
874,"99,700","45,000","8,213"
875,736,"5,895","9,915"
876,"20,962","36,597","17,000"
877,,"90,500","46,492"
878,"19,406","19,406",
879,"90,500",,"4,500"
880,"36,597","20,962",
881,"5,895",736,"3,824"
882,"45,000","99,700",
883,781,781,
884,"1,400","3,073",
885,"13,000","12,489",
886,,"61,564",
887,"6,970","12,395","3,000"
888,"20,400","20,400","4,609"
889,"12,395","6,970",
890,"61,564",,
891,"12,489","13,000",
892,"3,073","1,400",
893,,,
894,"17,463","9,591",
895,"15,000","23,293","3,500"
896,"10,300","43,397",
897,"10,000","40,000","8,999"
898,"5,300","5,300",
899,"40,000","10,000",
900,"43,397","10,300",
901,"23,293","15,000",
902,"9,591","17,463",
903,"20,465","20,465","4,507"
904,"16,000","22,965","1,725"
905,"72,584","14,000",
906,"38,247","14,508",900
907,"8,200","45,361",
908,"58,000","58,000",
909,"45,361","8,200",
910,"14,508","38,247",
911,"14,000","72,584","22,000"
