id,name,address,nation,hhid,industry,sic_code,type,est_of_ownership
649feceea1bc4616abc04615aa7d294e,Deutsche Bank Spa,"PIAZZA DEL CALENDARIO 3, MILANO, 20126, MILANO, ITALY",IT01340740156,H-IT0009886419,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,1917
350d69ba7e92416990ece7f2808867c7,Bunge Italia Spa,"VIA BAIONA 203, RAVENNA, 48123, RAVENNA, ITALY",IT01532980388,H-IT0057316376,Manufacturing,Mfg edible fats/oils (2079),Corporation,2000
850c682db18a4b3080343522fd71a4aa,Enel Global Services Srl,"VIALE REGINA MARGHERITA 125, ROMA, 00198, ROMA, ITALY",IT15416261004,H-IT0216488695,Services,Computer related services (7379),Corporation,2019
66148d99d4e045419932ba9b91c89fa7,Farvima Holding Srl,"VIA NAPOLI 220, CASANDRINO, 80025, NAPOLI, ITALY",IT01465051215,H-IT0069463166,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1989
b0d13d20198f428897760c8245c59ad8,Sogegross Spa,"LUNGOTORRENTE SECCA 3/A, GENOVA, 16163, GENOVA, ITALY",IT01226470993,H-IT0061847526,Wholesale Trade,Whol groceries (5149),Corporation,1986
e2e9d2ff8f4f48139d8e3aba96407ec0,Gruppo Arena Spa,"VIA GIUSEPPE MAZZINI 36, VALGUARNERA CAROPEPE, 94019, ENNA, ITALY",IT01213020868,H-IT0043684491,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2014
688d4a2fd94d4b2db5fe85e818b6c604,Eni Angola Spa,"VIA EMILIA 1, SAN DONATO MILANESE, 20097, MILANO, ITALY",IT05782480965,H-IT0002561107,Mining,Crude petroleum/natural gas production (1311),Corporation,2007
a74929e64e364f4cb79d949eb960167d,Ferrovial Construcción S.a.,"FORO BUONAPARTE 67, MILANO, 20121, MILANO, ITALY",IT12400940156,H-IT0073073571,Construction,Highway/street construction (1611),Foreign Company,1999
ffac3f5d4c62434abfc51b827be415f2,Alfa Acciai Spa,"VIA SAN POLO 152, BRESCIA, 25134, BRESCIA, ITALY",IT00988040176,H-IT0012802263,Manufacturing,Blast furnace-steel works (3312),Corporation,1978
ae22898e2fd3415ab2bb931f61876377,Cambielli Edilfriuli Spa,"VIA ASSANO 1791, CESENA, 47521, FORLI'-CESENA, ITALY",IT00721560159,H-IT0012313475,Wholesale Trade,Whol plumbing equipment/supplies (5074),Corporation,1919
1b6f397d4ff74f5f98618210cb064062,Comdata Spa,"VIA SEBASTIANO CABOTO 1, CORSICO, 20094, MILANO, ITALY",IT07790430966,H-IT0018891764,Services,Business services (7389),Corporation,2012
fa2d6f33cb3946f88942291853678106,Shell Energy Italia Srl,"VIALE THOMAS ALVA EDISON 110, SESTO SAN GIOVANNI, 20099, MILANO, ITALY",IT04522681008,H-IT0039270270,"Transportation, Communications, Electric, Gas, and Sanitary Services",Natural gas distribution (4924),Corporation,1993
6412dfe04eec46f48d6c921376b1daa3,Fattoria San Michele A Torri Srl,"VIA SAN MICHELE 36, SCANDICCI, 50018, FIRENZE, ITALY",IT03899450484,H-IT0046709703,"Finance, Insurance, and Real Estate",Real property lessor (6519),Corporation,1987
51a5cefde4db4c65b1d9c05e7cded6d4,Bottega Veneta Srl,"LOCALITA' CONTI MALTRAVERSO 1, MONTEBELLO VICENTINO, 36054, VICENZA, ITALY",IT01824610248,H-IT0009268642,Manufacturing,Mfg luggage (3161),Corporation,1968
df743f2b23374042987cec857af8599b,Bolton Food Spa,"VIA EINAUDI 18/22, CERMENATE, 22072, COMO, ITALY",IT00197980139,H-IT0008233624,Manufacturing,Mfg prepared meats (2013),Corporation,1951
17d54b2ae6694d42b824384c8aeded4b,Silmar Group Spa,"LOCALITA' MERLARO 2, VESTONE, 25078, BRESCIA, ITALY",IT00681790986,H-IT0074963252,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1985
1af139c669eb4f268a73f07320ddd1d0,Ferretti Spa,"VIA GIOVANNI ANSALDO 7, FORLI', 47122, FORLI'-CESENA, ITALY",IT04485970968,H-IT0007919220,Manufacturing,Boat building/repairing (3732),Corporation,2004
26ec8a0fab8549fd98d289b9392b0d35,Ferretti International Holding Spa,"VIA ALESSANDRO MANZONI 41, MILANO, 20121, MILANO, ITALY",IT07739200967,H-IT0018463061,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2012
eb5a1d3f4ed442b9ba2e946a7034ba3c,Dalmine Spa,"PIAZZA CADUTI 6 LUGLIO 1944 1, DALMINE, 24044, BERGAMO, ITALY",IT02149710168,H-IT0008507155,Manufacturing,Mfg steel pipe/tubes (3317),Corporation,1920
