,name,country,sector,revenue_2020_EU,revenue_2017_EU,employees_number_2020,employees_number_2017,founding_year
94,Dayshape,UK,Technology,3320479,247465,45,6,2013
95,Marketers Company,Italy,Advertising,1880460,139300,8,3,2016
96,Easo Magno,Spain,Beauty,3061854,228076,5,2,2017
97,Greyfood,Germany,Retail,9187050,684874,10,1,2016
98,Misfits Health,UK,Food & Beverage,2266155,171057,9,3,2016
99,MeilleursBiens.com,France,Property,3864176,291481,5,1,2010
100,Fasanara Capital,UK,Financial Services,11527860,882099,36,5,2011
101,NtechLab,Cyprus,Technology,8730000,664000,122,44,2015
102,Babylino Sensitive,Italy,Personal & Household Goods,2851840,217460,5,2,2016
103,Fastned,The Netherlands,Technology,6890000,530667,54,24,2012
104,Oxray,Portugal,Health,5465756,427339,6,2,2009
105,ZEGA Invest,Germany,Property,3785340,299598,4,3,2017
106,Abylon Consulting,Hungary,Technology,1721315,159128,7,2,2016
107,Milrab,Norway,Ecommerce,79302201,6753191,77,20,2005
108,Urbantz,Belgium,Technology,3031099,242368,55,7,2015
109,Tricas Construction,UK,Construction,15880745,1281462,32,6,2017
110,Florence One,Italy,Technology,1629099,131691,10,6,2017
111,Ergotopia,Germany,Retail,7664825,620283,35,8,2014
112,Mcule.com Kft.,Hungary,Chemicals & Pharmaceuticals,2683264,252713,17,5,2011
113,Filo,Italy,Technology,10049610,815690,18,9,2014
114,Homepal,Italy,Property,1603990,130290,11,4,2014
115,Staffbase,Germany,Technology,26894501,2201178,310,55,2014
116,ILON MATERIEL,France,Construction,2512300,207327,4,2,2016
117,Bio-marine,Ireland,Personal & Household Goods,1612837,133200,25,7,2014
118,ISODECO,France,Construction,2906133,241411,18,2,2016
119,Treedom,Italy,Support Services,6709720,560150,42,18,2010
120,Fenstermaxx24,Germany,Retail,8466121,712855,20,3,2016
121,Pohl & Söhne Gerüstbau,Germany,Construction,2124763,180824,31,7,2017
122,YSO CORP,France,Media,6689503,570012,13,3,2013
123,Gyada Cosmetics,Italy,Beauty,1830610,156130,10,2,2017
124,Privitar,UK,Technology,9923965,855321,190,47,2014
125,Delineate,UK,Technology,3332661,288095,25,1,2015
126,Spyrosoft,Poland,Technology,24721755,2326082,563,75,2016
127,Bio Energy Solutions,Slovakia,Waste management & recycling,16006537,1383205,37,6,2014
128,Increso,Italy,Management Consulting,3230000,281000,51,2,2015
129,LSG - Logistic & Service Group,Italy,Transport,8873180,777410,46,1,2016
130,Energihem,Sweden,Construction,28004684,2527006,125,19,2015
131,Amity,UK,Technology,5743440,522712,164,48,2012
132,Goyago,Germany,Retail,3729920,337525,43,4,2014
133,LA REGIE DE PORTAGE SALARIAL,France,Support Services,7638731,692440,140,23,2016
134,Dall Energy,Denmark,Energy,6013000,551000,15,5,2007
135,Appinio,Germany,Technology,3597000,330500,44,5,2014
136,Pinsami,Italy,Food & Beverage,4892000,455000,33,14,2015
137,AER TRADING,France,Retail,17575388,1643572,1,1,2013
138,VALUMEN,France,Support Services,2196424,205554,4,1,2014
139,Follow,France,Advertising,6844818,643299,14,4,2016
140,Darpdecade,Germany,Retail,6624660,628384,173,4,2016
141,Bolt,Estonia,Technology,221393889,21098843,1798,399,2013
142,Kiteworldshop.com,Italy,Ecommerce,1671984,160539,5,2,2014
143,Peter Kenkel,Germany,Retail,22137000,2131000,19,10,2006
144,Templafy,Denmark,Technology,15486451,1521010,292,32,2014
145,Comservice,Italy,Support Services,2016300,194780,99,17,2014
146,Falcor Presse,Italy,Industrial Goods,2996770,291720,5,1,2017
147,RoomRaccoon,The Netherlands,Technology,1715334,167000,40,8,2017
148,Signaturit,Spain,Technology,5639953,552355,95,37,2013
149,Modulr,UK,Fintech,12789098,1269382,191,31,2015
150,PROFISHOP,Germany,Ecommerce,43812068,4340517,63,17,2012
151,Floer,The Netherlands,Interiors,2520013,249975,15,2,2015
152,Audiosalus,Italy,Retail,1569480,156300,12,4,2011
153,StatsBomb,UK,Technology,2027170,204620,26,2,2016
154,Theras Biocare,Italy,Pharmaceuticals,26633230,2693390,8,2,2013
155,Stenn,UK,Fintech,29615571,3058141,61,32,2016
156,Nanushka,Hungary,Fashion,20825934,2456563,180,30,2012
157,DPM - Deutsches Personal Management,Germany,Support Services,2267760,230800,60,10,2016
158,Monese,UK,Fintech,18196451,1870109,243,84,2013
159,Arquimea,Spain,Technology,72044361,7450099,288,40,2005
160,Groupe PERSPECTIVE,France,Education,2709000,280390,18,4,2013
161,Funnel,Sweden,Technology,11499031,1217338,155,37,2014
162,Living Quarter,Germany,Health,5016731,529371,49,5,2015
163,Svea Solar,Sweden,Energy,66146911,7177912,287,38,2013
164,Bevcraft Group,Ireland,Food & Beverage,4046859,429505,16,6,2016
165,Learning Technologies Group,UK,Technology,19446429,2096570,932,767,2013
166,Cura Farma,Italy,Health,4436220,479290,9,2,2014
167,Kamado Bono,Lithuania,Personal & Household Goods,6801734,735758,7,2,2013
168,SIPADAN,Spain,Management Consulting,3457203,374200,47,3,2007
169,Dateio,Czech Republic,Fintech,4710733,530785,45,18,2013
170,CREST Investment,Germany,Property,4857817,533144,16,4,2016
171,Componenti Digitali,Italy,Retail,2805850,308810,19,2,2017
172,IMMO-KONZEPTE,Germany,Property,2269276,252871,6,3,2006
173,SwipBox,Denmark,Technology,9391760,1052796,41,3,2014
174,Nextory,Sweden,Media,26534087,3046667,85,9,2015
175,ITDS Polska,Poland,Technology,8609941,1057443,176,32,2016
176,Savait,Italy,Ecommerce,2108040,237410,5,4,2015
177,Adpone,Spain,Advertising,11124512,1255372,18,3,2015
178,Nord Security,Lithuania,Cyber Security,156623915,18035029,1000,350,2012
179,Mews,The Netherlands,Technology,22386000,2531000,226,25,2012
180,Titulae,Spain,Education,4870863,551128,35,9,2015
181,systeme.io,Ireland,Ecommerce,2407982,273552,40,5,2016
182,EODH SA,Greece,Aerospace & Defence,2597612,299988,30,20,2003
183,Multix solutions,Italy,Health,11586460,1340430,5,2,2015
184,B2DIGIT,France,Technology,1978128,228982,12,2,2016
185,A Million Ads,UK,Advertising,4882837,570564,47,5,2015
186,WoodWatch,The Netherlands,Retail,5590390,651170,25,5,2013
187,Fenêtres du Doubs,France,Construction,2238347,262280,12,3,2010
188,Koesea,Germany,Construction,3400000,400000,65,3,2016
189,Podium Advanced Technologies,Italy,Automobiles,18025740,2133310,38,14,2011
190,SPEGRA,Croatia,Construction,17059791,2025879,166,109,2010
191,GPAINNOVA,Spain,Industrial Goods,15245617,1815680,117,18,2013
192,Soluzione Tasse,Italy,Management Consulting,18939430,2264940,23,4,2016
193,Velocultour,Germany,Retail,2458500,295731,15,2,2016
194,butorpiac.hu,Hungary,Ecommerce,2184336,305268,7,2,2011
195,Success Solutions,Czech Republic,Technology,2633664,327218,44,8,2016
196,Bug Bite Thing Europe,Denmark,Health,1577878,191679,1,1,1989
197,Dexatel,Estonia,Technology,11087980,1349733,24,4,2015
198,Gemco,Italy,Construction,3941900,481510,6,1,2015
199,Lyonnaise de Construction et Renovation,France,Construction,6640842,812371,n/a,n/a,2015
200,Gousto,UK,Food & Beverage,210945370,26112757,702,204,2012
201,Winter in Venice,UK,Beauty,12682062,1575522,6,4,2010
202,Infratech Bau,Germany,Construction,60067088,7415334,72,18,2007
203,4Streets Building Innovation Tunnels Bridges Roads,Italy,Construction,6739630,833230,46,3,2016
204,Landbay,UK,Fintech,8980496,1119178,95,31,2013
205,Degoo,Sweden,Technology,1973775,249818,18,3,2012
206,Franco Fresco,Germany,Food & Beverage,50723858,6280267,320,52,2016
207,Lendable,UK,Fintech,40305193,5026349,84,25,2014
208,Ulrich Müller Wealth Academy,Germany,Education,3516744,440369,6,2,2014
209,cerascreen,Germany,Health,10499782,1315000,84,19,2012
210,Eqinov,France,Energy,70183744,8811708,43,24,2011
211,Serre Famiglia Pederiva Viticoltori dal 1958,Italy,Food & Beverage,9022020,1134730,12,7,1996
212,Bloom & Wild,UK,Ecommerce,155595726,19757296,170,68,2013
213,Bräutigam,Germany,Automobiles,6315124,796207,29,9,2016
214,Newil & Bau,Finland,Construction,19420672,2448858,7,1,2006
215,ID Finance,Spain,Fintech,103634000,13157000,411,271,2015
216,Kry,Sweden,Health,77764611,10152222,600,74,2014
217,Sixth Sense,Italy,Technology,3916570,500440,25,4,2015
218,Nethive,Italy,Cyber Security,3960770,506730,19,7,2014
219,Latitude Investment Management,UK,Financial Services,1750466,225964,8,3,2016
220,Qred,Sweden,Fintech,30414122,3989355,68,10,2015
221,oculavis,Germany,Technology,3924472,504357,55,15,2016
222,The Information Lab,Italy,Technology,4253110,548180,30,5,2015
223,MD Sonnenschutztechnik,Germany,Construction,4068621,524750,10,6,2015
224,Syntio,Croatia,Technology,2127532,274966,43,7,2017
225,Bomae,Denmark,Financial Services,1662487,214713,13,3,2016
226,Gophr,UK,Technology,5738336,755191,18,6,2014
227,Memory PC,Germany,Retail,57375000,7522000,110,20,2012
228,Sollis Solargroßhandel,Germany,Retail,11860100,1556607,6,2,2017
229,Spotawheel,Greece,Automobiles,15646588,2058315,123,37,2015
230,Ooni Pizza Ovens,UK,Personal & Household Goods,63879414,8508398,83,18,2012
231,Robovox Distributions,Germany,Retail,19427000,2570000,35,10,2015
232,CentralNic Group,UK,Technology,197260279,26626422,650,92,2000
233,Bernd Andert Transporte,Germany,Transport,4105262,546226,83,16,2003
234,Bluewater Bio,UK,Technology,20201424,2708983,18,16,2007
235,Tecma Solutions,Italy,Technology,7319870,975140,107,25,2012
236,Delante,Poland,Sales & Marketing,2160094,316525,48,21,2015
237,intumind,Germany,Health,6560962,884885,15,8,2015
238,Saljol,Germany,Health,4146403,559778,15,10,2016
239,TKD Solutions,Germany,Telecoms,15874245,2146950,20,9,2014
240,Kuori,Finland,Technology,2501902,340000,15,5,2016
241,Ferroamp,Sweden,Energy,7645003,1062649,42,21,2010
242,Valor Real Estate Partners,UK,Financial Services,4534588,621636,23,6,2016
243,Anexiti,France,Technology,2565735,350019,14,2,2013
244,GENIUS,France,Support Services,2417902,330522,23,6,2017
245,Instilla,Italy,Advertising,2993310,410520,31,3,2015
246,FOOTDISTRICT,Spain,Ecommerce,14942262,2051133,60,12,2012
247,Spiideo,Sweden,Technology,4799358,674805,36,12,2012
248,ContractPodAi,UK,Technology,4875622,670685,118,14,2012
249,Tarhan Bauausführungen,Germany,Construction,1851000,255000,15,5,2017
250,Matillion,UK,Technology,24580709,3417815,218,44,2010
251,Extra Mile Live Service,Germany,Retail,2637501,364485,5,2,2017
252,LITTLEBIG CONNECTION,France,Support Services,111538883,15653388,173,17,2013
253,SPC General Service,Italy,Construction,6788660,954700,50,15,2011
254,jobandtalent,Spain,Technology,352879165,49833511,801,156,2008
255,Financial House,UK,Fintech,18766625,2669247,20,14,2016
256,MyLead,Poland,Sales & Marketing,2004501,309471,42,8,2013
257,Mia-Platform,Italy,Technology,6515510,923730,74,15,2016
258,Tecnimed,Italy,Health,9551790,1354980,32,20,1976
259,Longevity Partners,UK,Retail,2336243,335460,22,5,2015
260,NexumStp,Italy,Management Consulting,25667400,3659630,345,56,2015
261,G-ON,France,Support Services,1810459,259342,16,3,2016
262,Picnic,UK,Advertising,1508869,219999,10,3,2016
263,Egomnia,Italy,Technology,1901140,276750,36,2,2012
264,LoyaltyLion,UK,Technology,4483296,657382,40,10,2012
265,reMarkable,Norway,Technology,115793390,18106514,142,22,2016
266,Kubrick,UK,Management Consulting,32614354,4829922,673,119,2016
267,Contrader,Italy,Technology,4682960,688860,35,7,2012
268,SAMONT,Germany,Industrial Goods,19577339,2880891,89,39,2008
269,Sirive,Italy,Construction,4527690,667170,5,1,2017
270,Multienergia Verde,Spain,Energy,146453604,21640253,15,10,2014
271,Wielandts UPMT,Belgium,Technology,1529270,226295,6,1,2013
272,ASKET,Sweden,Fashion,6525278,991534,13,4,2015
273,Central Warehouse Solution,Czech Republic,Transport,1788545,274790,45,10,2015
274,Chef in Camicia,Italy,Advertising,2071960,310810,21,2,2015
275,Piper Homes,UK,Construction,30436232,4601266,28,9,2015
276,Alturas Cubiertas Y Fachadas,Spain,Construction,9375243,1411811,33,12,2014
277,Autosalon Uhingen,Germany,Automobiles,10540000,1587500,11,2,2015
278,Yumi Beauty,France,Chemicals & Pharmaceuticals,2678257,404819,5,1,2013
279,FOR ME LAB,France,Ecommerce,1652073,251795,7,2,2016
280,Stockholms Elbolag,Sweden,Energy,32265912,5033032,25,7,2015
281,Flohr,Germany,Waste management & recycling,21249638,3241629,84,21,1999
282,Agricodem,Italy,Agricultural Commodities,2856530,436610,4,1,2008
283,DACH Schutzbekleidung,Germany,Industrial Goods,45227730,6936038,80,14,2005
284,EM-Tec Energiemontagen,Germany,Construction,3002729,461000,16,7,2017
285,Wave Studio,Romania,Technology,4105688,656172,9,8,2014
286,bazzar,Croatia,Retail,6686617,1034093,17,3,2013
287,Cybersprint,The Netherlands,Cyber Security,2914738,449771,43,10,2015
288,Brandon Group,Italy,Ecommerce,32039000,4954590,34,19,2012
289,Feiniko Handelsgesellschaft,Germany,Retail,32168909,4979484,13,1,2014
290,PharmaGrin,Italy,Health,2701410,422610,21,2,2015
291,Life M,Czech Republic,Technology,2001844,322050,3,1,2016
292,Plásticos Dão / Sacos & Saquetas,Portugal,Industrial Goods,1946703,304833,16,5,2012
293,Logipal24,Germany,Transport,4967568,789058,70,19,2010
294,PastBook,The Netherlands,Technology,33651532,5361088,22,23,2012
295,Bluefin,UK,Ecommerce,28993287,4653721,21,6,2013
296,Milk & Honey PR,UK,Sales & Marketing,1528900,245974,18,4,2016
297,Prodeval,France,Energy,73514217,11756712,220,70,1990
298,Virta,Finland,Technology,11029402,1765457,110,23,2013
299,BizAway,Italy,Travel & Leisure,1989950,318940,28,4,2015
300,Karl & Léon,France,Retail,2391019,385266,6,2,2015
301,Identity,UK,Management Consulting,22885804,3733539,80,39,2001
302,BlackBelt Holding,Hungary,Technology,5695000,923000,55,4,2016
303,DYNVEO,France,Retail,3687780,598678,13,1,2010
304,Favi,Czech Republic,Ecommerce,24995030,4174549,29,7,2016
305,Hopkins,Finland,Sales & Marketing,4534346,737936,27,4,2016
306,AP Italian Luxury,Italy,Fashion,4283930,698300,7,3,2016
307,Novicap,UK,Fintech,3383802,551848,45,20,2015
308,IGLM Store,Italy,Ecommerce,7790420,1277410,5,1,2013
309,LUIS Technology,Germany,Technology,10000511,1644899,41,8,1999
310,Quantexa,UK,Fintech,33902755,5643295,275,55,2016
311,Enerbrain,Italy,Energy,4131370,685370,37,9,2014
312,Brinckmann,Germany,Construction,6037461,1002579,28,7,2013
313,LMG Building,Italy,Construction,6255970,1043440,12,6,1982
314,Nordic Unmanned,Norway,Aerospace & Defence,6305237,1122907,33,12,2013
315,Hemisphere,France,Property,6484822,1091925,6,2,2017
316,therapiezentrum.com NW,Germany,Health,2916337,492860,87,23,2017
317,Beauhurst,UK,Technology,5355215,916511,82,39,2010
318,C.U.N. Cargo Carriers,Romania,Transport,7103702,1207613,49,43,2017
319,MG Project,Italy,Telecoms,8208450,1396400,34,23,2016
320,BONMEA,Germany,Retail,14597418,2484783,6,3,2015
321,Oceanis Yachts,Italy,Travel & Leisure,3059130,521250,6,2,2007
322,OPUS DB,France,Construction,12171118,2076139,8,2,2016
323,Devensys Cybersecurity,France,Technology,3403055,580644,27,9,2013
324,Project Agora,Cyprus,Advertising,19798875,3380420,104,25,2016
325,BETTERTRUST,Germany,Advertising,4981938,853561,19,5,2012
326,Banale,Italy,Ecommerce,2051370,352000,10,3,2014
327,Maatwerk Online,The Netherlands,Sales & Marketing,1673382,287985,17,5,2013
328,Les constructeurs du bois,France,Property,5087783,877275,6,1,2011
329,Esserre Pharma,Italy,Pharmaceuticals,2556640,441260,10,6,2013
330,OnBuy.com,UK,Ecommerce,2720319,473344,18,8,2014
331,Gojob,France,Support Services,40546000,7007000,108,27,2015
332,Newroom,Germany,Retail,3669217,638739,10,6,2016
333,Christmas the Original,Italy,Retail,1994200,347190,9,3,2016
334,Dimaxbau,Germany,Construction,2003989,349641,16,5,2016
335,Comnovis IT,Germany,Technology,1900000,332372,9,2,2013
336,Die Direktkontakter,Germany,Support Services,2818000,493000,8,4,2016
337,Mega Trasporti,Italy,Transport,18168170,3185180,400,30,2010
338,LeHibou,France,Technology,13816792,2423113,40,9,2014
339,Stufe A Pellet Italia,Italy,Interiors,3598050,631500,13,3,2014
340,Aquis Exchange,UK,Financial Services,12824155,2267165,46,31,2012
341,Chattermill,UK,Technology,2306045,408336,50,8,2015
342,SchönerTel,Germany,Construction,16388546,2884392,45,10,2016
343,Global Work,Italy,Telecoms,3174000,558820,57,8,2011
344,allygatr,Germany,Support Services,1914500,338300,9,1,2012
345,Cru Wine,UK,Food & Beverage,9235946,1644134,14,3,2013
346,Abc Rent,Italy,Automobiles,21818000,3878370,8,5,2004
347,Superior Wellness,UK,Personal & Household Goods,54150622,9719653,57,20,2011
348,Schrott24,Austria,Waste management & recycling,14641523,2610679,12,3,2016
349,Mazzoni Etech,Italy,Industrial Goods,2344440,419240,14,3,2017
350,Berdugo Immobilier,France,Property,15049845,2696485,6,4,1996
351,Nova rent,Lithuania,Industrial Goods,8900000,1600000,37,9,2016
352,Rouvy,Czech Republic,Games industry,4058269,751071,38,13,2013
353,Business Analysis & Legal Expertise - B.A.L.E.,Italy,Management Consulting,2943020,532690,4,3,2015
354,JMB,Poland,Energy,70179000,12709000,381,172,2000
355,NOCNOC,France,Travel & Leisure,1596167,289766,13,2,2016
356,CrowdProperty,UK,Fintech,2941537,539486,33,5,2013
357,Tutos’Me,France,Education,4989872,910963,42,4,2015
358,Studio Eko’,Italy,Management Consulting,1740660,318370,10,4,2011
359,Beings,UK,Technology,1881768,348129,7,2,2010
360,dmrgroupltd.com,Poland,Chemicals & Pharmaceuticals,7050124,1418769,6,3,2013
361,Ice Telecommunications Ltd,UK,Telecoms,16067551,2982238,119,35,2014
362,Gallas Group,Italy,Support Services,4640710,856790,95,18,2012
363,Etracom,Italy,Ecommerce,22952660,4253600,10,4,2010
364,Xalient,UK,Technology,26199717,4893654,88,38,2015
365,Labevolution,Italy,Health,7264130,1349250,n/a,5,2009
366,Kuadra,Italy,Interiors,3400580,635400,20,9,2015
367,Kyo Electric,Spain,Telecoms,5402302,1013181,8,3,2014
368,SoPost,UK,Technology,7825138,1481398,32,13,2012
369,S.F.R.E.,Italy,Construction,3004290,564910,44,7,2016
370,Sportstech,Germany,Retail,108500233,20436426,262,60,2012
371,Opéra Energie,France,Energy,11218211,2127151,98,40,2014
372,RouteNote,UK,Technology,38428858,7339330,76,28,2010
373,Doctify,UK,Health,2409255,461671,40,26,2016
374,Fruugo,UK,Ecommerce,21793194,4176347,67,30,2008
375,Insidemarketing,Germany,Technology,2971846,569646,15,7,2012
376,Falzi,Italy,Waste management & recycling,2037320,391540,11,2,2013
377,Atrys Health,Spain,Health,31396438,6035116,504,62,2015
378,Il Cantiere Costruzioni,Italy,Construction,4297790,826430,4,1,2016
379,Soorce,Germany,Support Services,15639618,3013629,22,13,2004
380,Sortlist,Belgium,Technology,3396000,655000,85,26,2013
381,VirtusLab,Poland,Technology,12468548,2635420,234,90,2010
382,SkalHuset.se,Sweden,Ecommerce,7342811,1454711,16,5,2012
383,VIPINO,Germany,Retail,11067681,2148122,26,6,2013
384,GEA Service,Italy,Waste management & recycling,6673050,1304060,133,30,2015
385,Gellify,Italy,Technology,5581540,1090920,62,12,2016
386,Billion Dollar Boy,UK,Advertising,13085484,2577297,92,42,2014
387,Westrafo,Italy,Energy,22072700,4356500,58,19,2014
388,Goboony,The Netherlands,Travel & Leisure,1718442,340309,21,10,2015
389,Multiservice Ambrosiana,Italy,Support Services,4266770,846360,180,60,2016
390,b&c systems,Germany,Construction,5339538,1061327,65,16,2016
391,S&G Solar,Bulgaria,Energy,3980920,792093,10,31,2014
392,BITTNET,Romania,Management Consulting,22436395,4641712,120,40,2007
393,Ibanfirst,Belgium,Fintech,12062697,2408187,204,47,2013
394,UPLINK Network,Germany,Telecoms,28140196,5629906,46,20,2013
395,BASE ORGANIC FOOD,France,Agricultural Commodities,10802997,2163006,25,6,2015
396,CurrentBody,UK,Ecommerce,38002441,7671961,74,20,2009
397,Apex Aero,UK,Aerospace & Defence,3812785,770031,6,1,2016
398,Startup Development House,Poland,Technology,1514111,303615,59,25,2016
399,Gruppo Gheron,Italy,Health,58422800,11728040,806,8,2010
400,DyFlowing,Italy,Technology,1696320,341370,30,5,2016
401,Digital Masters,Germany,Advertising,3019110,608053,40,22,2016
402,Prusseit Auto-Outlet,Germany,Automobiles,2576602,520998,17,3,2017
403,Techouse,Norway,Energy,31852584,6863940,72,30,2002
404,SVS,Italy,Construction,9694310,1965560,8,3,2016
405,TelcoSwitch Group,UK,Telecoms,7519236,1543824,86,18,2017
406,BOTHE-REIMANN Tortechnik,Germany,Construction,2277791,464354,8,3,2017
407,e-Pol / Personalizzalo,Italy,Ecommerce,16089160,3284400,12,8,2012
408,Riluxa,Spain,Interiors,3428464,700007,18,3,2016
409,Modalis,France,Transport,19169652,3915724,8,6,2002
410,OLYMPP,France,Technology,5512134,1127652,27,8,2016
411,Zeck Fishing,Germany,Retail,6806664,1401463,25,4,2013
412,StorPool Storage,Bulgaria,Technology,3306191,681460,25,16,2011
413,Vimcar,Germany,Technology,14674011,3035269,164,72,2013
414,JOANNES DISTRIBUTION SAS,France,Retail,7064900,1468200,8,5,2011
415,Sourcing Force,France,Technology,12806965,2663699,30,8,2011
416,Schalttechnik Nord,Germany,Technology,12489032,2601157,60,16,2000
417,DGC,Germany,Cyber Security,1577296,329298,27,5,2015
418,Superprof,France,Education,10168214,2136626,202,28,2013
419,Improveasy,UK,Management Consulting,26446798,5602132,48,12,2011
