,Name,Industry,headQuarters,Founded,Area Served
210,FPT Group,"Information technology, communications, education",Cau Giay,"September 13, 1988",
211,Fujifilm,Document solutions Digital imaging Medical imaging Cosmetics Regenerative Medicine Stem Cells Biologics,Tokyo Midtown,"January 20, 1934; 88 years ago (1934-01-20)",Worldwide
212,Fujitsu,Computer hardware Consulting Cloud computing Telecommunications Data storage Consumer electronics,Tokyo Midtown,"June 20, 1935; 87 years ago (1935-06-20) (as Fuji Telecommunications Equipment Manufacturing) Kawasaki, Kanagawa, Japan[2]",Worldwide
213,Fujiya,Computer hardware Consulting Cloud computing Telecommunications Data storage Consumer electronics,Tokyo Midtown,"June 30, 1938; 84 years ago (1938-06-30)",Japan
214,Future Group,Conglomerate,"Mumbai, Maharashtra",2013; 9 years ago (2013),
215,GameStop,Retail,"Mumbai, Maharashtra",1984; 38 years ago (1984),Several countries Australia Austria Canada France Germany Italy Ireland New Zealand Switzerland United States
216,Gap Inc.,Retail,"Mumbai, Maharashtra","August 21, 1969; 53 years ago (1969-08-21) San Francisco, California, U.S.",Worldwide
217,Garmin,Technology,"Olathe, Kansas","October 1989; 33 years ago (1989-10) (as ProNav) in Lenexa, Kansas, U.S.",
218,Gartner,Research & advisory services,"Olathe, Kansas","1979; 43 years ago (1979) by Gideon Gartner in Stamford, Connecticut",
219,Gazprom,Oil and gas,"Olathe, Kansas",8 August 1989; 33 years ago (1989-08-08),
220,Geeknet,Online media Retail,"Olathe, Kansas",November 1993 (1993-11)[1],
221,General Electric,Conglomerate,Boston,"April 15, 1892; 130 years ago (1892-04-15) in Schenectady, New York, US",Worldwide
222,Gree Electric,"Electronics, Household appliances",Boston,1991; 31 years ago (1991),Worldwide
223,General Mills,Food processing,Boston,"June 20, 1856; 166 years ago (1856-06-20) Minneapolis, Minnesota, U.S.",Worldwide
224,General Motors,Automotive,Renaissance Center,"September 16, 1908; 114 years ago (1908-09-16)[1] (original company) July 10, 2009; 13 years ago (2009-07-10) (present company)",Worldwide
225,Assicurazioni Generali,Financial services,Renaissance Center,1831; 191 years ago (1831),Worldwide
226,Gerdau,Iron and steel,Porto Alegre,16 January 1901; 121 years ago (16 January 1901),
227,Giant Bicycles,Bicycle manufacturing,Porto Alegre,"Dajia, Taichung, Taiwan, 1972",
228,Globe Telecom,Telecommunications Remittance Mass media,Porto Alegre,"Manila, Philippine Islands (1935; 87 years ago (1935))",Philippines
229,GungHo Online Entertainment,Video games,Chiyoda,"July 1, 1998; 24 years ago (1998-07-01)[1]",
230,Guinness,Video games,Chiyoda,"July 1, 1998; 24 years ago (1998-07-01)[1]",
231,Guess (clothing),Fashion,Chiyoda,1981; 41 years ago (1981),
232,GSK plc,Pharmaceutical Biotechnology,London,27 December 2000; 21 years ago (2000-12-27),Worldwide
233,Geely,Automotive,Binjiang District,"6 November 1986; 36 years ago (1986-11-06)[1] in Taizhou, Zhejiang",Worldwide
234,Goodyear Tire and Rubber Company,Manufacturing,Binjiang District,"August 29, 1898; 124 years ago (1898-08-29) Akron, Ohio, U.S.",Worldwide
