,pricecap,revenue,earnings,share_price,url
228,doll_61.99 b,,,doll_68.21,
229,doll_62.70 b,,,doll_90.04,
230,doll_62.88 b,,,doll_32.81,
231,doll_62.41 b,,,doll_457.67,
232,doll_63.45 b,,,doll_306.78,
233,doll_63.67 b,,,doll_5.66,
234,doll_63.67 b,,,doll_1.28,
235,doll_63.53 b,,,doll_176.63,
236,doll_63.98 b,,,doll_691.47,
237,doll_63.95 b,,,doll_101.00,
238,doll_64.94 b,,,doll_163.31,
239,doll_65.19 b,,,doll_29.82,
240,doll_65.61 b,,,doll_25.49,
241,doll_65.28 b,,,doll_78.17,
242,doll_66.23 b,,,doll_164.23,
243,doll_66.07 b,,,doll_3.78,
244,doll_66.60 b,,,doll_7.46,
245,doll_66.74 b,,,doll_46.60,
246,doll_66.79 b,,,doll_257.75,
247,doll_66.79 b,,,doll_59.96,
248,doll_66.97 b,,,doll_105.46,
249,doll_67.07 b,,,doll_22.36,
250,doll_67.23 b,,,doll_21.33,
251,doll_67.38 b,,,doll_32.05,
252,doll_67.28 b,,,doll_45.10,
253,doll_67.39 b,,,doll_28.84,
254,doll_67.57 b,,,doll_239.03,
255,doll_67.69 b,,,doll_5.50,
256,doll_67.77 b,,,doll_99.84,
257,doll_68.52 b,,,doll_55.55,
258,doll_67.81 b,,,doll_45.64,
259,doll_69.22 b,,,doll_546.78,
260,doll_69.23 b,,,doll_3.04,
261,doll_52.15 b,,,doll_165.93,
262,doll_52.21 b,,,doll_5.50,
263,doll_52.21 b,,,doll_172.69,
264,doll_52.42 b,,,doll_165.63,
265,doll_52.53 b,,,doll_200.82,
266,doll_52.82 b,,,doll_29.06,
267,doll_52.61 b,,,doll_123.38,
268,doll_53.23 b,,,doll_348.17,
269,doll_53.13 b,,,doll_74.24,
270,doll_53.58 b,,,doll_63.30,
271,doll_53.71 b,,,doll_858.41,
272,doll_54.06 b,,,doll_24.85,
273,doll_54.20 b,,,doll_40.53,
274,doll_54.28 b,,,doll_104.04,
275,doll_54.21 b,,,doll_348.10,
276,doll_54.77 b,,,doll_43.06,
277,doll_54.85 b,,,doll_386.85,
278,doll_54.86 b,,,doll_38.74,
279,doll_54.93 b,,,doll_48.18,
280,doll_55.03 b,,,doll_243.96,
281,doll_55.20 b,,,doll_389.56,
282,doll_55.27 b,,,doll_301.73,
283,doll_55.40 b,,,doll_118.23,
284,doll_55.60 b,,,doll_28.70,
285,doll_55.77 b,,,doll_96.36,
286,doll_55.72 b,,,doll_13.86,
287,doll_56.35 b,,,doll_5.55,
288,doll_56.45 b,,,doll_16.15,
289,doll_56.68 b,,,doll_39.90,
290,doll_56.65 b,,,doll_46.73,
291,doll_56.88 b,,,doll_239.41,
292,doll_56.89 b,,,doll_117.84,
293,doll_57.10 b,,,doll_0.62,
294,doll_56.98 b,,,doll_58.00,
295,doll_57.28 b,,,doll_96.87,
296,doll_51.91 b,,,doll_38.67,
297,doll_52.09 b,,,doll_295.80,
298,doll_52.11 b,,,doll_130.45,
299,doll_51.82 b,,,doll_6.84,
300,doll_46.65 b,,,doll_15.54,
301,doll_46.62 b,,,doll_62.75,
302,doll_46.77 b,,,doll_68.12,
303,doll_46.82 b,,,doll_6.83,
304,doll_46.99 b,,,doll_2.09,
305,doll_46.96 b,,,doll_462.53,
306,doll_47.09 b,,,doll_23.72,
307,doll_47.07 b,,,doll_443.87,
308,doll_47.30 b,,,doll_172.43,
309,doll_47.20 b,,,doll_181.41,
310,doll_47.13 b,,,doll_51.32,
311,doll_47.32 b,,,doll_144.48,
312,doll_47.44 b,,,doll_0.29,
313,doll_47.35 b,,,doll_122.50,
314,doll_47.32 b,,,doll_76.55,
315,doll_47.53 b,,,doll_945.07,
