,Unnamed: 0,market_cap,revenue
244,244,doll_1.0 b,doll_1.1 b
245,245,doll_7.3 b,doll_1.1 b
246,246,doll_0.5265 b,doll_1.1 b
247,247,doll_0.2414 b,doll_1.1 b
248,248,doll_0.2933 b,doll_1.1 b
249,249,doll_0.2743 b,doll_1.1 b
250,250,0,doll_1.1 b
251,251,doll_3.0 b,doll_1.1 b
252,252,0,doll_1.1 b
253,253,doll_0.6156 b,doll_1.1 b
254,254,doll_0.9482999999999999 b,doll_1.1 b
255,255,doll_0.371 b,doll_1.1 b
256,256,doll_0.7069 b,doll_1.1 b
257,257,doll_5.5 b,doll_1.1 b
258,258,doll_1.6 b,doll_1.1 b
259,259,doll_5.3 b,doll_1.1 b
260,260,doll_2.8 b,doll_1.1 b
261,261,doll_1.2 b,doll_1.1 b
262,262,doll_1.1 b,doll_1.1 b
263,263,doll_3.6 b,doll_1.1 b
264,264,doll_1.4 b,doll_1.1 b
265,265,doll_3.0 b,doll_1.1 b
266,266,doll_1.8 b,doll_1.1 b
267,267,doll_0.3461 b,doll_1.1 b
268,268,doll_0.512 b,doll_1.1 b
269,269,0,doll_1.1 b
270,270,doll_3.3 b,doll_1.1 b
271,271,doll_2.1 b,doll_1.1 b
272,272,doll_2.4 b,doll_1.1 b
273,273,doll_3.6 b,doll_1.1 b
274,274,doll_10.4 b,doll_1.1 b
275,275,doll_2.3 b,doll_1.1 b
276,276,0,doll_1.1 b
277,277,doll_5.9 b,doll_1.1 b
278,278,doll_0.2819 b,doll_1.1 b
279,279,doll_3.0 b,doll_1.1 b
280,280,doll_3.2 b,doll_1.1 b
281,281,doll_0.49710000000000004 b,doll_1.1 b
282,282,doll_1.4 b,doll_1.1 b
283,283,doll_1.4 b,doll_1.1 b
284,284,doll_4.0 b,doll_1.1 b
285,285,doll_2.3 b,doll_1.1 b
286,286,doll_0.2983 b,doll_1.1 b
287,287,doll_0.819 b,doll_1.1 b
288,288,doll_2.4 b,doll_1.1 b
289,289,doll_1.7 b,doll_1.1 b
290,290,doll_3.0 b,doll_1.1 b
291,291,doll_0.3777 b,doll_1.1 b
292,292,doll_12.3 b,doll_1.1 b
293,293,doll_4.0 b,doll_1.1 b
294,294,doll_2.8 b,doll_1.1 b
295,295,doll_1.5 b,doll_1.1 b
296,296,doll_3.0 b,doll_1.1 b
297,297,doll_0.052700000000000004 b,doll_1.1 b
298,298,doll_1.1 b,doll_1.1 b
299,299,doll_0.7076 b,doll_1.1 b
300,300,doll_1.3 b,doll_1.1 b
301,301,doll_1.4 b,doll_1.1 b
302,302,doll_0.32530000000000003 b,doll_1.1 b
303,303,doll_0.2761 b,doll_1.2 b
304,304,0,doll_1.2 b
305,305,doll_5.1 b,doll_1.2 b
306,306,doll_1.3 b,doll_1.2 b
307,307,doll_0.2194 b,doll_1.2 b
308,308,doll_6.7 b,doll_1.2 b
309,309,doll_0.1732 b,doll_1.2 b
310,310,doll_6.7 b,doll_1.2 b
311,311,doll_1.6 b,doll_1.2 b
312,312,doll_4.7 b,doll_1.2 b
313,313,doll_0.5058 b,doll_1.2 b
314,314,doll_13.1 b,doll_1.2 b
315,315,0,doll_1.2 b
316,316,doll_0.2075 b,doll_1.2 b
317,317,doll_0.8545 b,doll_1.2 b
318,318,doll_1.2 b,doll_1.2 b
319,319,doll_0.1303 b,doll_1.2 b
320,320,doll_2.0 b,doll_1.2 b
321,321,doll_0.4034 b,doll_1.2 b
322,322,doll_1.7 b,doll_1.2 b
323,323,doll_0.037200000000000004 b,doll_1.2 b
324,324,doll_2.7 b,doll_1.2 b
325,325,doll_0.8902 b,doll_1.2 b
326,326,doll_1.8 b,doll_1.2 b
327,327,doll_11.0 b,doll_1.2 b
328,328,doll_0.3376 b,doll_1.2 b
329,329,doll_5.4 b,doll_1.2 b
330,330,doll_2.9 b,doll_1.2 b
331,331,doll_0.5774 b,doll_1.2 b
332,332,doll_1.3 b,doll_1.2 b
333,333,doll_0.2495 b,doll_1.2 b
334,334,doll_2.3 b,doll_1.2 b
335,335,0,doll_1.2 b
336,336,doll_3.1 b,doll_1.2 b
337,337,doll_5.8 b,doll_1.2 b
338,338,doll_1.9 b,doll_1.2 b
339,339,doll_0.2515 b,doll_1.2 b
340,340,doll_0.84 b,doll_1.2 b
341,341,doll_4.5 b,doll_1.2 b
342,342,doll_1.5 b,doll_1.2 b
343,343,doll_0.026699999999999998 b,doll_1.2 b
344,344,doll_1.4 b,doll_1.2 b
345,345,doll_1.1 b,doll_1.2 b
346,346,doll_1.5 b,doll_1.2 b
347,347,doll_6.2 b,doll_1.2 b
348,348,doll_0.8412999999999999 b,doll_1.2 b
349,349,doll_11.1 b,doll_1.2 b
350,350,doll_0.3314 b,doll_1.2 b
351,351,doll_6.2 b,doll_1.2 b
352,352,doll_2.3 b,doll_1.2 b
353,353,doll_1.8 b,doll_1.2 b
354,354,doll_0.4025 b,doll_1.2 b
355,355,0,doll_1.2 b
356,356,doll_1.5 b,doll_1.2 b
357,357,doll_0.4594 b,doll_1.2 b
358,358,doll_2.4 b,doll_1.2 b
359,359,doll_1.6 b,doll_1.2 b
360,360,doll_0.7948 b,doll_1.2 b
361,361,doll_3.1 b,doll_1.2 b
362,362,doll_4.0 b,doll_1.2 b
