,Unnamed: 0,revenue_2020_eu
535,535,doll_0.00228 b
536,536,doll_0.118 b
537,537,doll_0.00225 b
538,538,doll_0.00337 b
539,539,doll_0.0029 b
540,540,doll_0.00263 b
541,541,doll_0.00525 b
542,542,doll_0.00975 b
543,543,doll_0.00329 b
544,544,doll_0.00856 b
545,545,doll_0.00242 b
546,546,doll_0.08178 b
547,547,doll_0.0019 b
548,548,doll_0.032100000000000004 b
549,549,doll_0.00279 b
550,550,doll_0.0149 b
551,551,doll_0.01331 b
552,552,doll_0.0020499999999999997 b
553,553,doll_0.01303 b
554,554,doll_0.11782 b
555,555,doll_0.008230000000000001 b
556,556,doll_0.00457 b
557,557,doll_0.022699999999999998 b
558,558,doll_0.02078 b
559,559,doll_0.00993 b
560,560,doll_0.00453 b
561,561,doll_0.0024 b
562,562,doll_0.01469 b
563,563,doll_0.00875 b
564,564,doll_0.00838 b
565,565,doll_0.02237 b
566,566,doll_0.00158 b
567,567,doll_0.03725 b
568,568,doll_0.01874 b
569,569,doll_0.00186 b
570,570,doll_0.03146 b
571,571,doll_0.04113 b
572,572,doll_0.00834 b
573,573,doll_0.07129 b
574,574,doll_0.00438 b
575,575,doll_0.00396 b
576,576,doll_0.02022 b
577,577,doll_0.00307 b
578,578,doll_0.02068 b
579,579,doll_0.0065899999999999995 b
580,580,doll_0.02586 b
581,581,doll_0.00654 b
582,582,doll_0.00222 b
583,583,doll_0.00278 b
584,584,doll_0.010060000000000001 b
585,585,doll_0.00442 b
586,586,doll_0.00152 b
587,587,doll_0.00807 b
588,588,doll_0.00335 b
589,589,doll_0.00254 b
590,590,doll_0.01228 b
591,591,doll_0.01377 b
592,592,doll_0.01759 b
593,593,doll_0.00478 b
594,594,doll_0.019649999999999997 b
595,595,doll_0.00501 b
596,596,doll_0.19982 b
597,597,doll_0.00421 b
598,598,doll_0.0020299999999999997 b
599,599,doll_0.00418 b
600,600,doll_0.00151 b
601,601,doll_0.0046 b
602,602,doll_0.0024300000000000003 b
603,603,doll_0.00458 b
604,604,doll_0.01675 b
605,605,doll_0.00811 b
606,606,doll_0.02152 b
607,607,doll_0.05514 b
608,608,doll_0.02025 b
609,609,doll_0.00591 b
610,610,doll_0.0030600000000000002 b
611,611,doll_0.013859999999999999 b
612,612,doll_0.0022299999999999998 b
613,613,doll_0.00207 b
614,614,doll_0.00364 b
615,615,doll_0.01989 b
616,616,doll_0.00401 b
617,617,doll_0.0015400000000000001 b
618,618,doll_0.01159 b
619,619,doll_0.00228 b
620,620,doll_0.0063 b
621,621,doll_0.0123 b
622,622,doll_0.026269999999999998 b
623,623,doll_0.02208 b
624,624,doll_0.0058200000000000005 b
625,625,doll_0.04336 b
626,626,doll_0.00365 b
627,627,doll_0.0024100000000000002 b
628,628,doll_0.00373 b
629,629,doll_0.011789999999999998 b
630,630,doll_0.11404 b
631,631,doll_0.00379 b
632,632,doll_0.00521 b
633,633,doll_0.01756 b
634,634,doll_0.00757 b
635,635,doll_0.008199999999999999 b
636,636,doll_0.00633 b
637,637,doll_0.031760000000000004 b
638,638,doll_0.00191 b
639,639,doll_0.00547 b
640,640,doll_0.00272 b
641,641,doll_0.00762 b
642,642,doll_0.01848 b
643,643,doll_0.006730000000000001 b
644,644,doll_0.00228 b
645,645,doll_0.00373 b
646,646,doll_0.02041 b
647,647,doll_0.0018700000000000001 b
648,648,doll_0.00899 b
649,649,doll_0.00156 b
650,650,doll_0.01814 b
651,651,doll_0.00266 b
652,652,doll_0.08859 b
653,653,doll_0.04147 b
654,654,doll_0.00619 b
655,655,doll_0.00352 b
656,656,doll_0.05164 b
657,657,doll_0.00495 b
658,658,doll_0.04251 b
659,659,doll_0.07736 b
660,660,doll_0.01307 b
661,661,doll_0.02504 b
662,662,doll_0.00233 b
663,663,doll_0.0291 b
664,664,doll_0.00319 b
665,665,doll_0.00329 b
666,666,doll_0.00852 b
667,667,doll_0.0020800000000000003 b
668,668,doll_0.03449 b
669,669,doll_0.01024 b
670,670,doll_0.00318 b
671,671,doll_0.00453 b
672,672,doll_0.00807 b
673,673,doll_0.00235 b
674,674,doll_0.01276 b
675,675,doll_0.0029500000000000004 b
676,676,doll_0.00453 b
677,677,doll_0.01485 b
678,678,doll_0.05745 b
679,679,doll_0.00874 b
680,680,doll_0.006690000000000001 b
681,681,doll_0.03511 b
682,682,doll_0.00265 b
683,683,doll_0.00323 b
684,684,doll_0.00621 b
685,685,doll_0.01486 b
686,686,doll_0.0025499999999999997 b
687,687,doll_0.004690000000000001 b
688,688,doll_0.00218 b
689,689,doll_0.013859999999999999 b
690,690,doll_0.00639 b
691,691,doll_0.00421 b
692,692,doll_0.01508 b
693,693,doll_0.024050000000000002 b
694,694,doll_0.02682 b
695,695,doll_0.00337 b
696,696,doll_0.0035099999999999997 b
697,697,doll_0.00268 b
698,698,doll_0.00227 b
699,699,doll_0.0033 b
700,700,doll_0.03239 b
701,701,doll_0.004030000000000001 b
702,702,doll_0.05709 b
703,703,doll_0.00401 b
704,704,doll_0.0059900000000000005 b
705,705,doll_0.018179999999999998 b
706,706,doll_0.0077800000000000005 b
707,707,doll_0.005860000000000001 b
708,708,doll_0.02614 b
709,709,doll_0.01019 b
710,710,doll_0.01705 b
