,revenue_2020_eu
1248,doll_4.88 m
1249,doll_1.85 m
1250,doll_24.58 m
1251,doll_2.64 m
1252,doll_111.54 m
1253,doll_6.79 m
1254,doll_352.88 m
1255,doll_18.77 m
1256,doll_2.0 m
1257,doll_6.52 m
1258,doll_9.55 m
1259,doll_2.34 m
1260,doll_25.67 m
1261,doll_1.81 m
1262,doll_1.51 m
1263,doll_1.9 m
1264,doll_4.48 m
1265,doll_115.79 m
1266,doll_32.61 m
1267,doll_4.68 m
1268,doll_19.58 m
1269,doll_4.53 m
1270,doll_146.45 m
1271,doll_1.53 m
1272,doll_6.53 m
1273,doll_1.79 m
1274,doll_2.07 m
1275,doll_30.44 m
1276,doll_9.38 m
1277,doll_10.54 m
1278,doll_2.68 m
1279,doll_1.65 m
1280,doll_32.27 m
1281,doll_21.25 m
1282,doll_2.86 m
1283,doll_45.23 m
1284,doll_3.0 m
1285,doll_4.11 m
1286,doll_6.69 m
1287,doll_2.91 m
1288,doll_32.04 m
1289,doll_32.17 m
1290,doll_2.7 m
1291,doll_2.0 m
1292,doll_1.95 m
1293,doll_4.97 m
1294,doll_33.65 m
1295,doll_28.99 m
1296,doll_1.53 m
1297,doll_73.51 m
1298,doll_11.03 m
1299,doll_1.99 m
1300,doll_2.39 m
1301,doll_22.89 m
1302,doll_5.7 m
1303,doll_3.69 m
1304,doll_25.0 m
1305,doll_4.53 m
1306,doll_4.28 m
1307,doll_3.38 m
1308,doll_7.79 m
1309,doll_10.0 m
1310,doll_33.9 m
1311,doll_4.13 m
1312,doll_6.04 m
1313,doll_6.26 m
1314,doll_6.31 m
1315,doll_6.48 m
1316,doll_2.92 m
1317,doll_5.36 m
1318,doll_7.1 m
1319,doll_8.21 m
1320,doll_14.6 m
1321,doll_3.06 m
1322,doll_12.17 m
1323,doll_3.4 m
1324,doll_19.8 m
1325,doll_4.98 m
1326,doll_2.05 m
1327,doll_1.67 m
1328,doll_5.09 m
1329,doll_2.56 m
1330,doll_2.72 m
1331,doll_40.55 m
1332,doll_3.67 m
1333,doll_1.99 m
1334,doll_2.0 m
1335,doll_1.9 m
1336,doll_2.82 m
1337,doll_18.17 m
1338,doll_13.82 m
1339,doll_3.6 m
1340,doll_12.82 m
1341,doll_2.31 m
1342,doll_16.39 m
1343,doll_3.17 m
1344,doll_1.91 m
1345,doll_9.24 m
1346,doll_21.82 m
1347,doll_54.15 m
1348,doll_14.64 m
1349,doll_2.34 m
1350,doll_15.05 m
1351,doll_8.9 m
1352,doll_4.06 m
1353,doll_2.94 m
1354,doll_70.18 m
1355,doll_1.6 m
1356,doll_2.94 m
1357,doll_4.99 m
1358,doll_1.74 m
1359,doll_1.88 m
1360,doll_7.05 m
1361,doll_16.07 m
1362,doll_4.64 m
1363,doll_22.95 m
1364,doll_26.2 m
1365,doll_7.26 m
1366,doll_3.4 m
1367,doll_5.4 m
1368,doll_7.83 m
1369,doll_3.0 m
1370,doll_108.5 m
1371,doll_11.22 m
1372,doll_38.43 m
1373,doll_2.41 m
1374,doll_21.79 m
1375,doll_2.97 m
1376,doll_2.04 m
1377,doll_31.4 m
1378,doll_4.3 m
1379,doll_15.64 m
1380,doll_3.4 m
1381,doll_12.47 m
1382,doll_7.34 m
1383,doll_11.07 m
1384,doll_6.67 m
1385,doll_5.58 m
1386,doll_13.09 m
1387,doll_22.07 m
1388,doll_1.72 m
1389,doll_4.27 m
1390,doll_5.34 m
1391,doll_3.98 m
1392,doll_22.44 m
1393,doll_12.06 m
1394,doll_28.14 m
1395,doll_10.8 m
1396,doll_38.0 m
1397,doll_3.81 m
1398,doll_1.51 m
1399,doll_58.42 m
1400,doll_1.7 m
1401,doll_3.02 m
1402,doll_2.58 m
1403,doll_31.85 m
1404,doll_9.69 m
1405,doll_7.52 m
1406,doll_2.28 m
1407,doll_16.09 m
1408,doll_3.43 m
1409,doll_19.17 m
1410,doll_5.51 m
1411,doll_6.81 m
1412,doll_3.31 m
1413,doll_14.67 m
1414,doll_7.06 m
1415,doll_12.81 m
1416,doll_12.49 m
1417,doll_1.58 m
1418,doll_10.17 m
1419,doll_26.45 m
1420,doll_6.94 m
1421,doll_1.95 m
1422,doll_5.21 m
1423,doll_18.36 m
1424,doll_9.02 m
1425,doll_2.06 m
1426,doll_2.8 m
1427,doll_7.16 m
1428,doll_19.46 m
1429,doll_3.58 m
1430,doll_17.08 m
1431,doll_11.6 m
1432,doll_9.22 m
1433,doll_25.34 m
1434,doll_2.06 m
1435,doll_5.0 m
1436,doll_2.3 m
1437,doll_468.26 m
1438,doll_2.64 m
1439,doll_3.65 m
1440,doll_101.73 m
1441,doll_56.12 m
1442,doll_3.21 m
1443,doll_5.92 m
1444,doll_4.83 m
1445,doll_83.63 m
1446,doll_4.29 m
1447,doll_3.37 m
1448,doll_4.84 m
1449,doll_5.08 m
1450,doll_148.51 m
1451,doll_1.82 m
1452,doll_191.6 m
1453,doll_15.38 m
1454,doll_15.9 m
1455,doll_7.01 m
1456,doll_2.91 m
1457,doll_5.08 m
1458,doll_2.26 m
1459,doll_2.31 m
1460,doll_3.45 m
1461,doll_3.39 m
1462,doll_6.61 m
1463,doll_1.6 m
1464,doll_39.36 m
1465,doll_6.11 m
1466,doll_3.77 m
1467,doll_2.39 m
1468,doll_6.98 m
1469,doll_9.09 m
1470,doll_40.39 m
1471,doll_3.25 m
1472,doll_4.85 m
1473,doll_4.6 m
1474,doll_9.5 m
1475,doll_1.95 m
1476,doll_10.83 m
1477,doll_2.72 m
1478,doll_4.17 m
1479,doll_2.13 m
1480,doll_2.84 m
1481,doll_2.96 m
1482,doll_1.89 m
1483,doll_3.93 m
1484,doll_4.85 m
1485,doll_7.26 m
1486,doll_13.48 m
1487,doll_4.01 m
1488,doll_93.44 m
1489,doll_17.45 m
1490,doll_9.72 m
1491,doll_82.24 m
1492,doll_34.68 m
1493,doll_3.38 m
1494,doll_38.6 m
1495,doll_22.7 m
1496,doll_119.16 m
1497,doll_4.55 m
1498,doll_2.79 m
1499,doll_89.33 m
1500,doll_11.32 m
1501,doll_1.57 m
1502,doll_1.98 m
1503,doll_10.81 m
1504,doll_23.5 m
1505,doll_8.36 m
1506,doll_4.72 m
1507,doll_5.3 m
1508,doll_1.86 m
1509,doll_3.27 m
1510,doll_26.39 m
1511,doll_4.32 m
1512,doll_3.33 m
1513,doll_21.97 m
1514,doll_4.9 m
1515,doll_4.13 m
1516,doll_4.79 m
1517,doll_2.44 m
1518,doll_14.0 m
1519,doll_411.39 m
1520,doll_6.77 m
1521,doll_12.61 m
1522,doll_7.53 m
1523,doll_1.82 m
1524,doll_4.36 m
1525,doll_2.24 m
1526,doll_9.49 m
1527,doll_2.73 m
1528,doll_3.5 m
1529,doll_3.06 m
1530,doll_2.81 m
1531,doll_5.99 m
1532,doll_4.71 m
1533,doll_12.12 m
1534,doll_5.03 m
1535,doll_2.28 m
1536,doll_118.0 m
1537,doll_2.25 m
1538,doll_3.37 m
1539,doll_2.9 m
1540,doll_2.63 m
1541,doll_5.25 m
1542,doll_9.75 m
1543,doll_3.29 m
1544,doll_8.56 m
1545,doll_2.42 m
1546,doll_81.78 m
1547,doll_1.9 m
1548,doll_32.1 m
1549,doll_2.79 m
1550,doll_14.9 m
1551,doll_13.31 m
1552,doll_2.05 m
1553,doll_13.03 m
1554,doll_117.82 m
1555,doll_8.23 m
1556,doll_4.57 m
1557,doll_22.7 m
1558,doll_20.78 m
1559,doll_9.93 m
1560,doll_4.53 m
1561,doll_2.4 m
1562,doll_14.69 m
1563,doll_8.75 m
1564,doll_8.38 m
1565,doll_22.37 m
1566,doll_1.58 m
1567,doll_37.25 m
1568,doll_18.74 m
1569,doll_1.86 m
1570,doll_31.46 m
1571,doll_41.13 m
1572,doll_8.34 m
1573,doll_71.29 m
1574,doll_4.38 m
1575,doll_3.96 m
1576,doll_20.22 m
1577,doll_3.07 m
1578,doll_20.68 m
1579,doll_6.59 m
1580,doll_25.86 m
1581,doll_6.54 m
1582,doll_2.22 m
1583,doll_2.78 m
1584,doll_10.06 m
1585,doll_4.42 m
1586,doll_1.52 m
1587,doll_8.07 m
1588,doll_3.35 m
1589,doll_2.54 m
1590,doll_12.28 m
1591,doll_13.77 m
1592,doll_17.59 m
1593,doll_4.78 m
1594,doll_19.65 m
1595,doll_5.01 m
1596,doll_199.82 m
1597,doll_4.21 m
1598,doll_2.03 m
1599,doll_4.18 m
1600,doll_1.51 m
1601,doll_4.6 m
1602,doll_2.43 m
1603,doll_4.58 m
1604,doll_16.75 m
1605,doll_8.11 m
1606,doll_21.52 m
1607,doll_55.14 m
1608,doll_20.25 m
1609,doll_5.91 m
1610,doll_3.06 m
1611,doll_13.86 m
1612,doll_2.23 m
1613,doll_2.07 m
1614,doll_3.64 m
1615,doll_19.89 m
1616,doll_4.01 m
1617,doll_1.54 m
1618,doll_11.59 m
1619,doll_2.28 m
1620,doll_6.3 m
1621,doll_12.3 m
1622,doll_26.27 m
1623,doll_22.08 m
1624,doll_5.82 m
1625,doll_43.36 m
1626,doll_3.65 m
1627,doll_2.41 m
1628,doll_3.73 m
1629,doll_11.79 m
1630,doll_114.04 m
1631,doll_3.79 m
1632,doll_5.21 m
1633,doll_17.56 m
1634,doll_7.57 m
1635,doll_8.2 m
1636,doll_6.33 m
1637,doll_31.76 m
1638,doll_1.91 m
1639,doll_5.47 m
1640,doll_2.72 m
1641,doll_7.62 m
1642,doll_18.48 m
1643,doll_6.73 m
1644,doll_2.28 m
1645,doll_3.73 m
1646,doll_20.41 m
1647,doll_1.87 m
1648,doll_8.99 m
1649,doll_1.56 m
1650,doll_18.14 m
1651,doll_2.66 m
1652,doll_88.59 m
1653,doll_41.47 m
1654,doll_6.19 m
1655,doll_3.52 m
1656,doll_51.64 m
1657,doll_4.95 m
1658,doll_42.51 m
1659,doll_77.36 m
1660,doll_13.07 m
1661,doll_25.04 m
1662,doll_2.33 m
1663,doll_29.1 m
1664,doll_3.19 m
1665,doll_3.29 m
1666,doll_8.52 m
1667,doll_2.08 m
1668,doll_34.49 m
1669,doll_10.24 m
1670,doll_3.18 m
1671,doll_4.53 m
1672,doll_8.07 m
1673,doll_2.35 m
1674,doll_12.76 m
1675,doll_2.95 m
1676,doll_4.53 m
1677,doll_14.85 m
1678,doll_57.45 m
1679,doll_8.74 m
1680,doll_6.69 m
1681,doll_35.11 m
1682,doll_2.65 m
1683,doll_3.23 m
1684,doll_6.21 m
1685,doll_14.86 m
1686,doll_2.55 m
1687,doll_4.69 m
1688,doll_2.18 m
1689,doll_13.86 m
1690,doll_6.39 m
1691,doll_4.21 m
1692,doll_15.08 m
1693,doll_24.05 m
1694,doll_26.82 m
1695,doll_3.37 m
1696,doll_3.51 m
1697,doll_2.68 m
1698,doll_2.27 m
1699,doll_3.3 m
1700,doll_32.39 m
1701,doll_4.03 m
1702,doll_57.09 m
1703,doll_4.01 m
1704,doll_5.99 m
1705,doll_18.18 m
1706,doll_7.78 m
1707,doll_5.86 m
1708,doll_26.14 m
1709,doll_10.19 m
1710,doll_17.05 m
1711,doll_2.95 m
1712,doll_205.31 m
1713,doll_33.4 m
1714,doll_156.23 m
1715,doll_1.8 m
1716,doll_4.2 m
1717,doll_2.6 m
1718,doll_5.17 m
1719,doll_2.01 m
1720,doll_22.02 m
1721,doll_57.06 m
1722,doll_7.19 m
1723,doll_12.93 m
1724,doll_5.48 m
1725,doll_33.37 m
1726,doll_3.76 m
1727,doll_3.87 m
1728,doll_16.92 m
1729,doll_2.3 m
1730,doll_3.5 m
1731,doll_6.93 m
1732,doll_3.54 m
1733,doll_2.55 m
1734,doll_38.37 m
1735,doll_30.89 m
1736,doll_2.8 m
1737,doll_5.31 m
1738,doll_4.26 m
1739,doll_1.64 m
1740,doll_40.78 m
1741,doll_9.73 m
1742,doll_32.17 m
1743,doll_2.55 m
1744,doll_9.57 m
1745,doll_49.58 m
1746,doll_1.81 m
1747,doll_4.39 m
1748,doll_2.13 m
1749,doll_49.19 m
1750,doll_26.01 m
1751,doll_20.75 m
1752,doll_2.7 m
1753,doll_2.09 m
1754,doll_16.37 m
1755,doll_6.36 m
1756,doll_10.46 m
1757,doll_15.85 m
1758,doll_10.2 m
1759,doll_8.12 m
1760,doll_3.66 m
1761,doll_57.77 m
1762,doll_7.88 m
1763,doll_1.97 m
1764,doll_3.14 m
1765,doll_5.63 m
1766,doll_6.74 m
1767,doll_6.57 m
1768,doll_13.26 m
1769,doll_3.98 m
1770,doll_3.35 m
1771,doll_7.7 m
1772,doll_9.48 m
1773,doll_5.41 m
1774,doll_2.05 m
1775,doll_3.29 m
1776,doll_70.39 m
1777,doll_10.45 m
1778,doll_3.15 m
1779,doll_8.71 m
1780,doll_2.2 m
1781,doll_14.73 m
1782,doll_3.83 m
1783,doll_5.89 m
1784,doll_4.79 m
1785,doll_8.27 m
1786,doll_2.62 m
1787,doll_2.57 m
1788,doll_3.54 m
1789,doll_1.78 m
1790,doll_16.6 m
1791,doll_24.11 m
1792,doll_3.42 m
1793,doll_6.36 m
1794,doll_3.23 m
1795,doll_2.33 m
1796,doll_11.9 m
1797,doll_6.18 m
1798,doll_3.31 m
1799,doll_72.5 m
1800,doll_25.45 m
1801,doll_45.62 m
1802,doll_7.07 m
1803,doll_2.25 m
1804,doll_11.53 m
1805,doll_2.4 m
1806,doll_9.98 m
1807,doll_33.9 m
1808,doll_2.32 m
1809,doll_15.14 m
1810,doll_5.59 m
1811,doll_3.11 m
1812,doll_12.47 m
1813,doll_4.29 m
1814,doll_3.89 m
1815,doll_2.12 m
1816,doll_5.32 m
1817,doll_2.83 m
1818,doll_22.56 m
1819,doll_20.48 m
1820,doll_1.9 m
1821,doll_2.41 m
1822,doll_3.41 m
1823,doll_42.53 m
1824,doll_4.05 m
1825,doll_10.26 m
1826,doll_140.44 m
1827,doll_18.1 m
1828,doll_42.01 m
1829,doll_2.09 m
1830,doll_36.22 m
1831,doll_9.31 m
1832,doll_1.66 m
1833,doll_108.76 m
1834,doll_2.01 m
1835,doll_18.76 m
1836,doll_8.1 m
1837,doll_55.56 m
1838,doll_1.95 m
1839,doll_3.04 m
1840,doll_6.63 m
1841,doll_1.51 m
1842,doll_105.15 m
1843,doll_6.63 m
1844,doll_10.51 m
1845,doll_1.87 m
1846,doll_7.0 m
1847,doll_4.04 m
1848,doll_16.75 m
1849,doll_11.26 m
1850,doll_4.5 m
1851,doll_2.89 m
1852,doll_1.81 m
1853,doll_6.44 m
1854,doll_17.89 m
1855,doll_1.64 m
1856,doll_5.04 m
1857,doll_80.07 m
1858,doll_5.47 m
1859,doll_3.39 m
1860,doll_83.04 m
1861,doll_4.08 m
1862,doll_2.44 m
1863,doll_11.83 m
1864,doll_6.36 m
1865,doll_4.99 m
1866,doll_8.79 m
1867,doll_1.51 m
1868,doll_3.87 m
1869,doll_11.28 m
1870,doll_7.84 m
1871,doll_4.49 m
1872,doll_3.02 m
1873,doll_3.45 m
1874,doll_15.08 m
1875,doll_2.79 m
1876,doll_30.27 m
1877,doll_31.04 m
1878,doll_2.32 m
1879,doll_9.32 m
1880,doll_34.41 m
1881,doll_1.58 m
1882,doll_2.84 m
1883,doll_22.42 m
1884,doll_16.26 m
1885,doll_3.96 m
1886,doll_2.2 m
1887,doll_13.17 m
1888,doll_5.5 m
1889,doll_2.23 m
1890,doll_2.15 m
1891,doll_83.98 m
1892,doll_9.64 m
1893,doll_33.08 m
1894,doll_16.5 m
1895,doll_4.07 m
1896,doll_6.97 m
1897,doll_25.36 m
1898,doll_4.54 m
1899,doll_1.58 m
1900,doll_2.73 m
1901,doll_10.37 m
1902,doll_4.06 m
1903,doll_68.01 m
1904,doll_6.01 m
1905,doll_2.24 m
1906,doll_6.2 m
1907,doll_3.56 m
1908,doll_2.36 m
1909,doll_3.19 m
1910,doll_14.55 m
1911,doll_92.8 m
1912,doll_4.97 m
1913,doll_16.69 m
1914,doll_3.35 m
1915,doll_4.02 m
1916,doll_78.77 m
1917,doll_5.39 m
1918,doll_5.19 m
1919,doll_18.62 m
1920,doll_37.61 m
1921,doll_9.51 m
1922,doll_4.65 m
1923,doll_20.39 m
1924,doll_1.76 m
1925,doll_14.11 m
1926,doll_2.38 m
1927,doll_2.13 m
1928,doll_1.88 m
1929,doll_13.44 m
1930,doll_1.88 m
1931,doll_22.84 m
1932,doll_6.67 m
1933,doll_15.6 m
1934,doll_2.63 m
1935,doll_4.64 m
1936,doll_1.8 m
1937,doll_3.91 m
1938,doll_9.25 m
1939,doll_29.08 m
1940,doll_12.73 m
1941,doll_38.96 m
1942,doll_18.04 m
1943,doll_36.96 m
1944,doll_4.41 m
1945,doll_6.3 m
1946,doll_3.25 m
1947,doll_2.41 m
1948,doll_2.69 m
1949,doll_5.76 m
1950,doll_7.45 m
1951,doll_4.61 m
1952,doll_16.85 m
1953,doll_3.07 m
1954,doll_6.38 m
1955,doll_42.0 m
1956,doll_11.65 m
1957,doll_2.8 m
1958,doll_1.77 m
1959,doll_23.58 m
1960,doll_6.3 m
1961,doll_4.97 m
1962,doll_4.85 m
1963,doll_1.67 m
1964,doll_24.87 m
1965,doll_33.14 m
1966,doll_10.75 m
1967,doll_37.39 m
1968,doll_74.72 m
1969,doll_5.68 m
1970,doll_1.55 m
1971,doll_16.2 m
1972,doll_7.7 m
1973,doll_2.59 m
1974,doll_8.86 m
1975,doll_62.95 m
1976,doll_1.71 m
1977,doll_2.6 m
1978,doll_23.67 m
1979,doll_9.41 m
1980,doll_11.67 m
1981,doll_2.7 m
1982,doll_3.36 m
1983,doll_17.29 m
1984,doll_5.3 m
1985,doll_13.22 m
1986,doll_50.74 m
1987,doll_2.35 m
1988,doll_56.05 m
1989,doll_3.41 m
1990,doll_19.3 m
1991,doll_21.9 m
1992,doll_3.53 m
1993,doll_2.74 m
1994,doll_58.14 m
1995,doll_2.09 m
1996,doll_1.73 m
1997,doll_30.97 m
1998,doll_18.85 m
1999,doll_24.74 m
2000,doll_97.61 m
2001,doll_57.32 m
2002,doll_568.32 m
2003,doll_316.73 m
2004,doll_56.11 m
2005,doll_13.17 m
2006,doll_18.73 m
2007,doll_47.6 m
2008,doll_7.34 m
2009,doll_24.48 m
2010,doll_41.21 m
2011,doll_9.02 m
2012,doll_9.03 m
2013,doll_12.16 m
2014,doll_11.39 m
2015,doll_21.46 m
2016,doll_7.23 m
2017,doll_14.34 m
2018,doll_6.85 m
2019,doll_11.58 m
2020,doll_30.89 m
2021,doll_9.01 m
2022,doll_8.38 m
2023,doll_16.14 m
2024,doll_13.89 m
2025,doll_6.24 m
2026,doll_6.46 m
2027,doll_5.19 m
2028,doll_8.04 m
2029,doll_121.31 m
2030,doll_11.3 m
2031,doll_4.54 m
2032,doll_3.58 m
2033,doll_210.56 m
2034,doll_5.82 m
2035,doll_56.02 m
2036,doll_4.18 m
2037,doll_4.45 m
2038,doll_5.93 m
2039,doll_5.72 m
2040,doll_4.86 m
2041,doll_2.55 m
2042,doll_2.43 m
2043,doll_8.95 m
2044,doll_17.16 m
2045,doll_2.5 m
2046,doll_16.48 m
2047,doll_8.59 m
2048,doll_3.84 m
2049,doll_7.78 m
2050,doll_25.9 m
2051,doll_13.31 m
2052,doll_2.13 m
2053,doll_64.22 m
2054,doll_4.75 m
2055,doll_11.66 m
2056,doll_7.44 m
2057,doll_4.01 m
2058,doll_5.14 m
2059,doll_6.95 m
2060,doll_9.79 m
2061,doll_15.37 m
2062,doll_35.94 m
2063,doll_6.63 m
2064,doll_6.39 m
2065,doll_14.18 m
2066,doll_57.67 m
2067,doll_109.25 m
2068,doll_2.21 m
2069,doll_4.0 m
2070,doll_5.16 m
2071,doll_1.83 m
2072,doll_2.21 m
2073,doll_20.15 m
2074,doll_40.81 m
2075,doll_4.46 m
2076,doll_11.76 m
2077,doll_4.9 m
2078,doll_3.87 m
2079,doll_4.84 m
2080,doll_10.02 m
2081,doll_2120.07 m
2082,doll_5.64 m
2083,doll_3.5 m
2084,doll_7.29 m
2085,doll_3.69 m
2086,doll_23.8 m
2087,doll_2.61 m
2088,doll_107.86 m
2089,doll_12.57 m
2090,doll_5.76 m
2091,doll_2.18 m
2092,doll_74.07 m
2093,doll_1.53 m
2094,doll_3.32 m
2095,doll_1.88 m
2096,doll_3.06 m
2097,doll_9.19 m
2098,doll_2.27 m
2099,doll_3.86 m
2100,doll_11.53 m
2101,doll_8.73 m
2102,doll_2.85 m
2103,doll_6.89 m
2104,doll_5.47 m
2105,doll_3.79 m
2106,doll_1.72 m
2107,doll_79.3 m
2108,doll_3.03 m
2109,doll_15.88 m
2110,doll_1.63 m
2111,doll_7.66 m
2112,doll_2.68 m
2113,doll_10.05 m
2114,doll_1.6 m
2115,doll_26.89 m
2116,doll_2.51 m
2117,doll_1.61 m
2118,doll_2.91 m
2119,doll_6.71 m
2120,doll_8.47 m
2121,doll_2.12 m
2122,doll_6.69 m
2123,doll_1.83 m
2124,doll_9.92 m
2125,doll_3.33 m
2126,doll_24.72 m
2127,doll_16.01 m
2128,doll_3.23 m
2129,doll_8.87 m
2130,doll_28.0 m
2131,doll_5.74 m
2132,doll_3.73 m
2133,doll_7.64 m
2134,doll_6.01 m
2135,doll_3.6 m
2136,doll_4.89 m
2137,doll_17.58 m
2138,doll_2.2 m
2139,doll_6.84 m
2140,doll_6.62 m
2141,doll_221.39 m
2142,doll_1.67 m
2143,doll_22.14 m
2144,doll_15.49 m
2145,doll_2.02 m
2146,doll_3.0 m
2147,doll_1.72 m
2148,doll_5.64 m
2149,doll_12.79 m
2150,doll_43.81 m
2151,doll_2.52 m
2152,doll_1.57 m
2153,doll_2.03 m
2154,doll_26.63 m
2155,doll_29.62 m
2156,doll_20.83 m
2157,doll_2.27 m
2158,doll_18.2 m
2159,doll_72.04 m
2160,doll_2.71 m
2161,doll_11.5 m
2162,doll_5.02 m
2163,doll_66.15 m
2164,doll_4.05 m
2165,doll_19.45 m
2166,doll_4.44 m
2167,doll_6.8 m
2168,doll_3.46 m
2169,doll_4.71 m
2170,doll_4.86 m
2171,doll_2.81 m
2172,doll_2.27 m
2173,doll_9.39 m
2174,doll_26.53 m
2175,doll_8.61 m
2176,doll_2.11 m
2177,doll_11.12 m
2178,doll_156.62 m
2179,doll_22.39 m
2180,doll_4.87 m
2181,doll_2.41 m
2182,doll_2.6 m
2183,doll_11.59 m
2184,doll_1.98 m
2185,doll_4.88 m
2186,doll_5.59 m
2187,doll_2.24 m
2188,doll_3.4 m
2189,doll_18.03 m
2190,doll_17.06 m
2191,doll_15.25 m
2192,doll_18.94 m
2193,doll_2.46 m
2194,doll_2.18 m
2195,doll_2.63 m
2196,doll_1.58 m
2197,doll_11.09 m
2198,doll_3.94 m
2199,doll_6.64 m
2200,doll_210.95 m
2201,doll_12.68 m
2202,doll_60.07 m
2203,doll_6.74 m
2204,doll_8.98 m
2205,doll_1.97 m
2206,doll_50.72 m
2207,doll_40.31 m
2208,doll_3.52 m
2209,doll_10.5 m
2210,doll_70.18 m
2211,doll_9.02 m
2212,doll_155.6 m
2213,doll_6.32 m
2214,doll_19.42 m
2215,doll_103.63 m
2216,doll_77.76 m
2217,doll_3.92 m
2218,doll_3.96 m
2219,doll_1.75 m
2220,doll_30.41 m
2221,doll_3.92 m
2222,doll_4.25 m
2223,doll_4.07 m
2224,doll_2.13 m
2225,doll_1.66 m
2226,doll_5.74 m
2227,doll_57.38 m
2228,doll_11.86 m
2229,doll_15.65 m
2230,doll_63.88 m
2231,doll_19.43 m
2232,doll_197.26 m
2233,doll_4.11 m
2234,doll_20.2 m
2235,doll_7.32 m
2236,doll_2.16 m
2237,doll_6.56 m
2238,doll_4.15 m
2239,doll_15.87 m
2240,doll_2.5 m
2241,doll_7.65 m
2242,doll_4.53 m
2243,doll_2.57 m
2244,doll_2.42 m
2245,doll_2.99 m
2246,doll_14.94 m
2247,doll_4.8 m
2248,doll_4.88 m
2249,doll_1.85 m
2250,doll_24.58 m
2251,doll_2.64 m
2252,doll_111.54 m
2253,doll_6.79 m
2254,doll_352.88 m
2255,doll_18.77 m
2256,doll_2.0 m
2257,doll_6.52 m
2258,doll_9.55 m
2259,doll_2.34 m
2260,doll_25.67 m
2261,doll_1.81 m
2262,doll_1.51 m
2263,doll_1.9 m
2264,doll_4.48 m
2265,doll_115.79 m
2266,doll_32.61 m
2267,doll_4.68 m
2268,doll_19.58 m
2269,doll_4.53 m
2270,doll_146.45 m
2271,doll_1.53 m
2272,doll_6.53 m
2273,doll_1.79 m
2274,doll_2.07 m
2275,doll_30.44 m
2276,doll_9.38 m
2277,doll_10.54 m
2278,doll_2.68 m
2279,doll_1.65 m
2280,doll_32.27 m
2281,doll_21.25 m
2282,doll_2.86 m
2283,doll_45.23 m
2284,doll_3.0 m
2285,doll_4.11 m
2286,doll_6.69 m
2287,doll_2.91 m
2288,doll_32.04 m
2289,doll_32.17 m
2290,doll_2.7 m
2291,doll_2.0 m
2292,doll_1.95 m
2293,doll_4.97 m
2294,doll_33.65 m
2295,doll_28.99 m
2296,doll_1.53 m
2297,doll_73.51 m
2298,doll_11.03 m
2299,doll_1.99 m
2300,doll_2.39 m
2301,doll_22.89 m
2302,doll_5.7 m
2303,doll_3.69 m
2304,doll_25.0 m
2305,doll_4.53 m
2306,doll_4.28 m
2307,doll_3.38 m
2308,doll_7.79 m
2309,doll_10.0 m
2310,doll_33.9 m
2311,doll_4.13 m
2312,doll_6.04 m
2313,doll_6.26 m
2314,doll_6.31 m
2315,doll_6.48 m
2316,doll_2.92 m
2317,doll_5.36 m
2318,doll_7.1 m
2319,doll_8.21 m
2320,doll_14.6 m
2321,doll_3.06 m
2322,doll_12.17 m
2323,doll_3.4 m
2324,doll_19.8 m
2325,doll_4.98 m
2326,doll_2.05 m
2327,doll_1.67 m
2328,doll_5.09 m
2329,doll_2.56 m
2330,doll_2.72 m
2331,doll_40.55 m
2332,doll_3.67 m
2333,doll_1.99 m
2334,doll_2.0 m
2335,doll_1.9 m
2336,doll_2.82 m
2337,doll_18.17 m
2338,doll_13.82 m
2339,doll_3.6 m
2340,doll_12.82 m
2341,doll_2.31 m
2342,doll_16.39 m
2343,doll_3.17 m
2344,doll_1.91 m
2345,doll_9.24 m
2346,doll_21.82 m
2347,doll_54.15 m
2348,doll_14.64 m
2349,doll_2.34 m
2350,doll_15.05 m
2351,doll_8.9 m
2352,doll_4.06 m
2353,doll_2.94 m
2354,doll_70.18 m
2355,doll_1.6 m
2356,doll_2.94 m
2357,doll_4.99 m
2358,doll_1.74 m
2359,doll_1.88 m
2360,doll_7.05 m
2361,doll_16.07 m
2362,doll_4.64 m
2363,doll_22.95 m
2364,doll_26.2 m
2365,doll_7.26 m
2366,doll_3.4 m
2367,doll_5.4 m
2368,doll_7.83 m
2369,doll_3.0 m
2370,doll_108.5 m
2371,doll_11.22 m
2372,doll_38.43 m
2373,doll_2.41 m
2374,doll_21.79 m
2375,doll_2.97 m
2376,doll_2.04 m
2377,doll_31.4 m
2378,doll_4.3 m
2379,doll_15.64 m
2380,doll_3.4 m
2381,doll_12.47 m
2382,doll_7.34 m
2383,doll_11.07 m
2384,doll_6.67 m
2385,doll_5.58 m
2386,doll_13.09 m
2387,doll_22.07 m
2388,doll_1.72 m
2389,doll_4.27 m
2390,doll_5.34 m
2391,doll_3.98 m
2392,doll_22.44 m
2393,doll_12.06 m
2394,doll_28.14 m
2395,doll_10.8 m
2396,doll_38.0 m
2397,doll_3.81 m
2398,doll_1.51 m
2399,doll_58.42 m
2400,doll_1.7 m
2401,doll_3.02 m
2402,doll_2.58 m
2403,doll_31.85 m
2404,doll_9.69 m
2405,doll_7.52 m
2406,doll_2.28 m
2407,doll_16.09 m
2408,doll_3.43 m
2409,doll_19.17 m
2410,doll_5.51 m
2411,doll_6.81 m
2412,doll_3.31 m
