,name,industry,sector,headquarters,founded,type,founders,key_people,services,revenue,operating_income,total_assets,number_of_employees,website
2189,Student Agency,Consumer services,Travel & tourism,Brno,1996,,,,,,,,,
2190,Supraphon,Consumer services,Broadcasting & entertainment,Prague,1932,,,,,,,,,
2191,Tatra,Industrials,Commercial vehicles & trucks,Kopřivnice,1850,,,,,,,,,
2192,Telekom Austria Czech Republic,Telecommunications,Fixed line telecommunications,Prague,1995,,,,,,,,,
2193,Toyota Peugeot Citroën Automobile Czech,Consumer goods,Automobiles,Kolín,2002,,,,,,,,,
2194,Trinec Iron and Steel Works,Basic materials,Iron & steel,Třinec,1836,,,,,,,,,
2195,UniCredit Bank Czech Republic and Slovakia,Financials,Banks,Prague,2006,,,,,,,,,
2196,Via Chem Group,Basic materials,Specialty chemicals,České Budějovice,2002,,,,,,,,,
2197,Vodafone Czech Republic,Telecommunications,Mobile telecommunications,Prague,1982,,,,,,,,,
2198,Walter Aircraft Engines,Industrials,Industrial machinery,Prague,1911,,,,,,,,,
2199,Zetor,Industrials,Commercial vehicles & trucks,Brno,1946,,,,,,,,,
2200,Živnostenská banka,Financials,Banks,Prague,1868,,,,,,,,,
2201,AC Omonia,Consumer services,Sports,Nicosia,1948,,,,,,,,,
2202,AEK Larnaca FC,Consumer services,Sports,Larnaca,1994,,,,,,,,,
2203,AEL F.C.,Consumer services,Sports,Limassol,1930,,,,,,,,,
2204,Allbiz,Industrials,Business support services,Nicosia,1999,,,,,,,,,
2205,Anorthosis F.C.,Consumer services,Sports,Larnaca,1911,,,,,,,,,
2206,APOEL B.C.,Consumer services,Sports,Nicosia,1947,,,,,,,,,
2207,APOEL FC,Consumer services,Sports,Nicosia,1926,,,,,,,,,
2208,APOEL V.C.,Consumer services,Sports,Nicosia,1928,,,,,,,,,
2209,Apollon Limassol,Consumer services,Sports,Limassol,1954,,,,,,,,,
2210,Armida Publications,Consumer services,Publishing,Nicosia,1997,,,,,,,,,
2211,ASBIS,Technology,Computer hardware,Limassol,1990,,,,,,,,,
2212,Austrian Lloyd Ship Management,Industrials,Marine transportation,Limassol,1991,,,,,,,,,
2213,Bank of Cyprus,Financials,Banks,Nicosia,1899,,,,,,,,,
2214,Celestyal Cruises,Consumer services,Travel & tourism,Limassol,1986,,,,,,,,,
2215,Central Bank of Cyprus,Financials,Banks,Nicosia,1963,,,,,,,,,
2216,Charlie Airlines,Consumer services,Travel & Leisure,Larnaca,2016,,,,,,,,,
2217,Cyprus Broadcasting Corporation,Consumer services,Broadcasting,Nicosia,1953,,,,,,,,,
2218,Cyprus Civil Aviation Authority,Consumer services,Air traffic management,Nicosia,1955,,,,,,,,,
2219,Cyprus College,Consumer services,Education,Nicosia,1961,,,,,,,,,
2220,Cyprus College of Art,Consumer services,Education,Paphos,1969,,,,,,,,,
2221,Cyprus Development Bank,Financials,Banks,Nicosia,1963,,,,,,,,,
2222,Cyprus Institute of Marketing,Consumer services,Education,Nicosia,1978,,,,,,,,,
2223,Cyprus Int. Instit. for Environ. & Public Health,Technology,Research,Limassol,2004,,,,,,,,,
2224,Cyprus Internet Exchange,Telecommunications,Fixed line telecom,Nicosia,1999,,,,,,,,,
2225,Cyprus Mail,Consumer services,Publishing,Nicosia,1945,,,,,,,,,
2226,Cyprus Mines Corporation,Basic materials,General mining,Nicosia,1916,,,,,,,,,
2227,Cyprus Neuroscience and Technology Institute,Technology,Research,Nicosia,1991,,,,,,,,,
2228,Cyprus News Agency,Consumer services,Media,Nicosia,1976,,,,,,,,,
2229,Cyprus Ports Authority,Consumer services,Ship traffic management,Nicosia,1973,,,,,,,,,
2230,Cyprus Postal Services,Industrials,Delivery services,Nicosia,-,,,,,,,,,
2231,Cyprus State Fairs Authority,Consumer services,General retailers,Nicosia,1968,,,,,,,,,
2232,Cyprus Stock Exchange,Financials,Investment services,Nicosia,1996,,,,,,,,,
2233,Cyprus University of Technology,Consumer services,Education,Limassol,2004,,,,,,,,,
2234,Cyprus Weekly,Consumer services,Publishing,Nicosia,1979,,,,,,,,,
2235,CYTA,Telecommunications,Fixed line telecom,Nicosia,1961,,,,,,,,,
2236,Doxa Katokopias FC,Consumer services,Sports,Peristerona,1954,,,,,,,,,
2237,Electricity Authority of Cyprus,Utilities,Conventional electricity,Nicosia,1952,,,,,,,,,
2238,Elias Neocleous & Co LLC,Consumer services,Legal,Limassol,2017,,,,,,,,,
2239,EuroAfrica Interconnector,Utilities,Electricity,Nicosia,2017,,,,,,,,,
2240,EuroAsia Interconnector,Utilities,Electricity,Nicosia,2010,,,,,,,,,
2241,European University Cyprus,Consumer services,Education,Nicosia,1961,,,,,,,,,
2242,Financial Mirror,Consumer services,Publishing,Nicosia,1993,,,,,,,,,
2243,Frederick University,Consumer services,Education,Limassol,1965,,,,,,,,,
2244,Joannou & Paraskevaides,Industrials,Heavy construction,Guernsey,1961,,,,,,,,,
2245,Health Insurance Organisation,Financials,Full line insurance,Nicosia,-,,,,,,,,,
2246,Hellenic Bank,Financials,Banks,Nicosia,1976,,,,,,,,,
2247,Imperio Properties,Financials,Real estate development,Limassol,2003,,,,,,,,,
2248,IronFX,Financials,Investment services,Limassol,2010,,,,,,,,,
2249,KEO,Consumer goods,Soft drinks,Limassol,1927,,,,,,,,,
2250,Larnaca International Airport,Consumer services,Travel & leisure,Larnaca,1975,,,,,,,,,
2251,Leon Beer,Consumer goods,Brewers,Nicosia,1937,,,,,,,,,
2252,Leptos Estates,Financials,Real estate development,Paphos,1960,,,,,,,,,
2253,Lois Builders,Industrials,Heavy construction,Nicosia,1977,,,,,,,,,
2254,Medochemie,Health care,Pharmaceuticals,Limassol,1976,,,,,,,,,
2255,METRO Foods Trading,Consumer services,Food retailers & wholesalers,Nicosia,1982,,,,,,,,,
2256,Moufflon Publications,Consumer services,Publishing,Nicosia,1967,,,,,,,,,
2257,Neapolis University Paphos,Consumer services,Education,Paphos,2007,,,,,,,,,
2258,NOVA Cyprus,Consumer services,Media,Nicosia,2004,,,,,,,,,
2259,Omega TV Cyprus,Consumer services,Media,Nicosia,1992,,,,,,,,,
2260,Open University of Cyprus,Consumer services,Education,Nicosia,2002,,,,,,,,,
2261,Pafos FC,Consumer services,Sports,Pafos,2014,,,,,,,,,
2262,Paphos General Hospital,Consumer services,Health,Paphos,1992,,,,,,,,,
2263,Paphos International Airport,Consumer services,Travel & leisure,Paphos,2008,,,,,,,,,
