ambitiobox-headquarter,ariregister-headquarter,disfold-official_name,disfold-ceo,forbes-ceo,valuetoday-ceo
"seoul, south korea",,,mr. douglas l. peterson m.b.a.,,gao yingxin
"bengaluru, india",,,mr. kevin a. lobo,,mike sievert
"gerlingen, baden-wuerttemberg, germany",,,mr. jack marie henry david bowles,,laxman narasimhan
"hyderabad/secunderabad, telangana, india",,,mr. william f. gifford jr.,,paul hudson
"florida, unitedstates",,,,,dave calhoun
"chennai, india",,,mr. yousef  bin abdullah al-benyan,,fabrizio freda
"troy, michigan, united states (usa)",,byd co ltd,mr. chuan-fu  wang,,susan wojcicki
"mumbai, maharashtra, india",,"charter communications, inc.",mr. thomas m. rutledge,,robert a. bradway
"thrissur/trichur, kerala, india",,,mr. brian  chesky,,li yue
"gurgaon/gurugram, haryana, india",,,,,jane fraser
"seoul, south korea",,,mr. salil satish parekh,,chen lin
"new york city, new york, united states (usa)",,,mr. brian c. cornell,,david m. solomon
"columbus, indiana, united states (usa)",,,mr. william r. mcdermott,,sashidhar jagdishan
"mumbai, india",,,,,gary s guthart
"durham, united states",,starbucks corporation,mr. kevin r. johnson,,john c. may
"munich, bavaria, germany",,volkswagen ag,dr. herbert  diess,,jakob stausholm
"canonsburg, pennsylvania, united states (usa)",,,ms. jane nind fraser,,arvind krishna
"mumbai, india",,,ms. emma n. walmsley,,jim umpleby
"bangalore,karnataka, india",,,mr. david l. calhoun,,tom bartlett
"chesterfield,missouri, united states",,,mr. oscar garcia maceiras,,ivan menezes
"los angeles, california, united states (usa)",,,"mr. scott  charlton m.b.a., bsci, beng (elec), mba, member of fei, fta",,lee yuan siong
"gerlingen, germany",,,mr. david  solomon,,matt comyn
"noida,uttar pradesh, india",,keyence corp,,,douglas l. peterson
"mumbai, maharashtra, india",,,mr. xing  wang,,alexey miller
"paris, france",,siemens ag,dr. roland  busch dipl.phys.,,thomas m. rutledge
"gurgaon/gurugram, haryana, india",,american tower corporation (reit),mr. thomas a. bartlett cpa,,michel doukeris
"aliso viejo, california, united states (usa)",,,mr. ivan m. menezes,,dairen lin
