ft-revenue_2020_eu,companiesmarketcap-share_price,forbes-profit,companiesmarketcap-pricecap,disfold-market_cap,globaldata-market_cap,valuetoday-annual_net_income_usd,ft-revenue_2017_eu,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,forbes-sales,companiesmarketcap-earnings,forbes-market_value,valuetoday-annual_revenue_usd
,"doll_13,725",,doll_1.51 b,,,0.0,,,,,,,,,0.0
,doll_10.35,,doll_1.51 b,,,doll_65.0 m,,,,,,,,,doll_704.0 m
,doll_8.14,,doll_1.51 b,,,0.0,,,,,,,,,0.0
,doll_6.96,,doll_1.51 b,,,0.0,,,,,,,,,0.0
,doll_48.34,,doll_1.52 b,,,0.0,,,,,,,,,0.0
,doll_5.74,,doll_1.52 b,,,doll_-61.0 m,,,,,,,,,doll_123.0 m
,doll_6.86,,doll_1.52 b,,,0.0,,,,,,,,,0.0
,doll_15.67,,doll_1.52 b,,,0.0,,,,,,,,,0.0
,doll_37.28,,doll_1.52 b,,,doll_-189.0 m,,,,,,,,,doll_1.06 b
,doll_9.74,,doll_1.53 b,,,doll_38.0 m,,,,,,,,,doll_600.0 m
,doll_7.88,,doll_1.53 b,,,doll_14.0 m,,,,,,,,,doll_45.0 m
,doll_91.87,,doll_1.52 b,,,doll_46.0 m,,,,,,,,,doll_205.0 m
,doll_17.36,,doll_1.53 b,,,doll_70.0 m,,,,,,,,,doll_1.68 b
,doll_27.93,,doll_1.53 b,,,doll_22.0 m,,,,,,,,,doll_202.0 m
,doll_19.90,,doll_1.53 b,,,0.0,,,,,,,,,0.0
,doll_2.06,,doll_1.53 b,,,doll_24.0 m,,,,,,,,,doll_1.88 b
,doll_2.53,,doll_1.53 b,,,doll_66.0 m,,,,,,,,,doll_232.0 m
,doll_27.64,,doll_1.53 b,,,doll_29.0 m,,,,,,,,,doll_704.0 m
,doll_36.91,,doll_1.54 b,,,doll_52.0 m,,,,,,,,,doll_1.41 b
,doll_6.66,,doll_1.54 b,,,doll_-5.0 m,,,,,,,,,doll_15.0 m
,doll_27.41,,doll_1.54 b,,,doll_15.0 m,,,,,,,,,doll_21.0 m
,doll_31.66,,doll_1.54 b,,,doll_19.0 m,,,,,,,,,doll_26.0 m
,doll_36.94,,doll_1.54 b,,,doll_73.0 m,,,,,,,,,doll_75.0 m
,doll_0.23,,doll_1.54 b,,,doll_5.0 m,,,,,,,,,doll_811.0 m
,doll_6.10,,doll_1.54 b,,,doll_-25.0 m,,,,,,,,,doll_66.0 m
,doll_1.06,,doll_1.54 b,,,doll_64.0 m,,,,,,,,,doll_521.0 m
,doll_4.77,,doll_1.54 b,,,doll_35.0 m,,,,,,,,,doll_36.0 m
,doll_81.73,,doll_1.54 b,,,doll_45.0 m,,,,,,,,,doll_231.0 m
,doll_15.66,,doll_1.55 b,,,0.0,,,,,,,,,0.0
,doll_3.18,,doll_1.55 b,,,0.0,,,,,,,,,0.0
,doll_13.45,,doll_1.54 b,,,0.0,,,,,,,,,0.0
,doll_1.12,,doll_1.55 b,,,doll_37.0 m,,,,,,,,,doll_579.0 m
,doll_1.73,,doll_1.55 b,,,doll_20.0 m,,,,,,,,,doll_48.0 m
,doll_35.57,,doll_1.55 b,,,doll_87.0 m,,,,,,,,,doll_2.62 b
,doll_61.04,,doll_1.55 b,,,0.0,,,,,,,,,0.0
,doll_14.92,,doll_1.55 b,,,0.0,,,,,,,,,0.0
,doll_30.79,,doll_1.55 b,,,0.0,,,,,,,,,0.0
,doll_15.79,,doll_1.56 b,,,doll_12.0 m,,,,,,,,,doll_179.0 m
,doll_27.59,,doll_1.56 b,,,doll_27.0 m,,,,,,,,,doll_34.0 m
,doll_25.92,,doll_1.56 b,,,doll_62.0 m,,,,,,,,,doll_226.0 m
,doll_4.04,,doll_1.57 b,,,0.0,,,,,,,,,0.0
,doll_15.53,,doll_1.56 b,,,0.0,,,,,,,,,0.0
,doll_26.05,,doll_1.56 b,,,0.0,,,,,,,,,0.0
,doll_78.39,,doll_1.56 b,,,0.0,,,,,,,,,0.0
,doll_27.32,,doll_1.56 b,,,doll_27.0 m,,,,,,,,,doll_3.09 b
,doll_7.42,,doll_1.56 b,,,doll_10.0 m,,,,,,,,,doll_284.0 m
,doll_2.07,,doll_1.56 b,,,0.0,,,,,,,,,0.0
,doll_40.26,,doll_1.56 b,,,0.0,,,,,,,,,0.0
,doll_33.51,,doll_1.56 b,,,doll_112.0 m,,,,,,,,,doll_813.0 m
,doll_62.48,,doll_1.56 b,,,doll_6.0 m,,,,,,,,,doll_251.0 m
,doll_10.96,,doll_1.56 b,,,doll_49.0 m,,,,,,,,,doll_828.0 m
,doll_15.76,,doll_1.56 b,,,0.0,,,,,,,,,0.0
,doll_43.40,,doll_1.57 b,,,0.0,,,,,,,,,0.0
,doll_11.24,,doll_1.57 b,,,doll_-3.0 m,,,,,,,,,doll_178.0 m
,doll_33.03,,doll_1.57 b,,,doll_-114.0 m,,,,,,,,,doll_651.0 m
,doll_3.04,,doll_1.56 b,,,0.0,,,,,,,,,0.0
,doll_3.24,,doll_1.57 b,,,doll_46.0 m,,,,,,,,,doll_1.2 b
,doll_34.65,,doll_1.57 b,,,0.0,,,,,,,,,0.0
,doll_15.78,,doll_1.57 b,,,0.0,,,,,,,,,0.0
,doll_10.22,,doll_1.57 b,,,0.0,,,,,,,,,0.0
,doll_3.79,,doll_1.57 b,,,0.0,,,,,,,,,0.0
,doll_57.98,,doll_1.59 b,,,doll_-79.0 m,,,,,,,,,doll_37.0 m
,doll_29.56,,doll_1.59 b,,,0.0,,,,,,,,,0.0
,doll_8.55,,doll_1.59 b,,,0.0,,,,,,,,,0.0
,doll_59.35,,doll_1.59 b,,,0.0,,,,,,,,,0.0
,doll_11.86,,doll_1.59 b,,,doll_47.0 m,,,,,,,,,doll_771.0 m
,doll_15.65,,doll_1.59 b,,,0.0,,,,,,,,,0.0
,doll_69.47,,doll_1.59 b,,,doll_93.0 m,,,,,,,,,0.0
,doll_5.16,,doll_1.59 b,,,0.0,,,,,,,,,doll_61.0 m
,doll_13.52,,doll_1.60 b,,,doll_103.0 m,,,,,,,,,doll_914.0 m
,doll_5.20,,doll_1.60 b,,,doll_51.0 m,,,,,,,,,doll_1.67 b
,doll_7.40,,doll_1.60 b,,,doll_122.0 m,,,,,,,,,doll_3.55 b
,doll_28.56,,doll_1.59 b,,,0.0,,,,,,,,,0.0
,doll_21.07,,doll_1.60 b,,,doll_39.0 m,,,,,,,,,doll_1.0 m
,doll_38.82,,doll_1.61 b,,,doll_114.0 m,,,,,,,,,doll_3.22 b
,doll_23.96,,doll_1.61 b,,,doll_-6.0 m,,,,,,,,,doll_191.0 m
,doll_4.95,,doll_1.60 b,,,0.0,,,,,,,,,0.0
,doll_1.80,,doll_1.61 b,,,doll_74.0 m,,,,,,,,,doll_938.0 m
,doll_11.50,,doll_1.61 b,,,0.0,,,,,,,,,0.0
,doll_8.07,,doll_1.60 b,,,0.0,,,,,,,,,0.0
,doll_29.82,,doll_1.61 b,,,0.0,,,,,,,,,0.0
,doll_19.64,,doll_1.61 b,,,0.0,,,,,,,,,0.0
,doll_22.00,,doll_1.61 b,,,0.0,,,,,,,,,0.0
,doll_33.51,,doll_1.61 b,,,0.0,,,,,,,,,0.0
,doll_72.63,,doll_1.61 b,,,doll_34.0 m,,,,,,,,,doll_77.0 m
,doll_31.51,,doll_1.62 b,,,doll_55.0 m,,,,,,,,,doll_1.62 b
,doll_21.10,,doll_1.62 b,,,doll_194.0 m,,,,,,,,,doll_745.0 m
,doll_51.00,,doll_1.62 b,,,0.0,,,,,,,,,0.0
,doll_2.86,,doll_1.61 b,,,0.0,,,,,,,,,0.0
,doll_44.73,,doll_1.62 b,,,0.0,,,,,,,,,0.0
,doll_16.28,,doll_1.62 b,,,0.0,,,,,,,,,0.0
,doll_6.13,,doll_1.62 b,,,doll_45.0 m,,,,,,,,,doll_232.0 m
,doll_4.51,,doll_1.62 b,,,doll_35.0 m,,,,,,,,,doll_2.25 b
,doll_1.02,,doll_1.63 b,,,0.0,,,,,,,,,0.0
,doll_14.81,,doll_1.63 b,,,0.0,,,,,,,,,0.0
,doll_5.40,,doll_1.63 b,,,doll_180.0 m,,,,,,,,,doll_180.0 m
,doll_5.46,,doll_1.63 b,,,0.0,,,,,,,,,0.0
,"doll_1,710",,doll_1.63 b,,,doll_118.0 m,,,,,,,,,doll_150.0 m
,doll_16.86,,doll_1.63 b,,,0.0,,,,,,,,,0.0
,doll_95.25,,doll_1.63 b,,,0.0,,,,,,,,,0.0
,doll_7.84,,doll_1.63 b,,,0.0,,,,,,,,,0.0
,doll_19.62,,doll_1.63 b,,,doll_-15.0 m,,,,,,,,,doll_1.19 b
,doll_4.43,,doll_1.64 b,,,0.0,,,,,,,,,0.0
,doll_0.72,,doll_1.64 b,,,0.0,,,,,,,,,0.0
,doll_53.63,,doll_1.64 b,,,doll_47.0 m,,,,,,,,,doll_551.0 m
,doll_46.41,,doll_1.64 b,,,0.0,,,,,,,,,0.0
,doll_13.15,,doll_1.64 b,,,0.0,,,,,,,,,0.0
,doll_21.84,,doll_1.64 b,,,0.0,,,,,,,,,0.0
,doll_24.38,,doll_1.64 b,,,0.0,,,,,,,,,0.0
,doll_0.09000,,doll_1.64 b,,,doll_37.0 m,,,,,,,,,doll_300.0 m
,doll_3.63,,doll_1.64 b,,,0.0,,,,,,,,,0.0
,doll_119.38,,doll_1.64 b,,,doll_87.0 m,,,,,,,,,doll_228.0 m
,doll_11.47,,doll_1.64 b,,,0.0,,,,,,,,,0.0
,doll_4.28,,doll_1.64 b,,,doll_2.0 m,,,,,,,,,doll_123.0 m
,doll_34.76,,doll_1.65 b,,,0.0,,,,,,,,,0.0
,doll_44.09,,doll_1.65 b,,,0.0,,,,,,,,,0.0
,doll_10.35,,doll_1.65 b,,,doll_-17.0 m,,,,,,,,,doll_798.0 m
,doll_26.76,,doll_1.65 b,,,doll_14.0 m,,,,,,,,,doll_150.0 m
,doll_11.49,,doll_1.65 b,,,0.0,,,,,,,,,0.0
,doll_46.46,,doll_1.65 b,,,doll_-133.0 m,,,,,,,,,doll_451.0 m
,doll_27.02,,doll_1.65 b,,,0.0,,,,,,,,,0.0
,doll_5.12,,doll_1.65 b,,,0.0,,,,,,,,,0.0
,doll_1.78,,doll_1.66 b,,,0.0,,,,,,,,,0.0
,doll_17.63,,doll_1.66 b,,,doll_47.0 m,,,,,,,,,doll_230.0 m
,doll_169.06,,doll_1.66 b,,,0.0,,,,,,,,,0.0
,doll_8.11,,doll_1.66 b,,,0.0,,,,,,,,,0.0
,doll_14.22,,doll_1.66 b,,,doll_8.0 m,,,,,,,,,doll_40.0 m
,doll_20.61,,doll_1.67 b,,,0.0,,,,,,,,,0.0
,doll_19.99,,doll_1.66 b,,,0.0,,,,,,,,,0.0
,doll_68.75,,doll_1.67 b,,,0.0,,,,,,,,,0.0
,doll_6.79,,doll_1.67 b,,,doll_59.0 m,,,,,,,,,doll_20.0 m
,doll_21.47,,doll_1.67 b,,,doll_27.0 m,,,,,,,,,doll_370.0 m
,doll_0.48,,doll_1.67 b,,,doll_5.0 m,,,,,,,,,doll_50.0 m
,doll_8.11,,doll_1.67 b,,,doll_-137.0 m,,,,,,,,,doll_39.0 m
,doll_19.21,,doll_1.68 b,,,doll_-20.0 m,,,,,,,,,doll_94.0 m
,doll_0.50,,doll_1.68 b,,,doll_26.0 m,,,,,,,,,doll_855.0 m
,doll_1.14,,doll_1.68 b,,,0.0,,,,,,,,,0.0
,doll_33.88,,doll_1.68 b,,,doll_76.0 m,,,,,,,,,doll_1.46 b
,doll_13.95,,doll_1.69 b,,,0.0,,,,,,,,,0.0
,doll_15.31,,doll_1.68 b,,,doll_93.0 m,,,,,,,,,doll_2.68 b
,doll_48.21,,doll_1.69 b,,,doll_-4.0 m,,,,,,,,,doll_5.0 m
,doll_16.68,,doll_1.69 b,,,doll_44.0 m,,,,,,,,,doll_293.0 m
,doll_46.91,,doll_1.69 b,,,0.0,,,,,,,,,0.0
,doll_73.03,,doll_1.71 b,,,doll_-206.0 m,,,,,,,,,0.0
,doll_5.71,,doll_1.71 b,,,doll_44.0 m,,,,,,,,,doll_2.38 b
,doll_10.00,,doll_1.71 b,,,doll_49.0 m,,,,,,,,,doll_407.0 m
,doll_108.19,,doll_1.72 b,,,doll_32.0 m,,,,,,,,,doll_1.01 b
,doll_10.11,,doll_1.72 b,,,doll_30.0 m,,,,,,,,,doll_83.0 m
,doll_32.49,,doll_1.72 b,,,0.0,,,,,,,,,0.0
,doll_0.02000,,doll_1.72 b,,,doll_-41.0 m,,,,,,,,,doll_1.11 b
,doll_8.96,,doll_1.72 b,,,doll_-58.0 m,,,,,,,,,doll_209.0 m
,doll_14.99,,doll_1.72 b,,,doll_43.0 m,,,,,,,,,doll_1.28 b
,doll_15.70,,doll_1.72 b,,,doll_241.0 m,,,,,,,,,0.0
,doll_8.90,,doll_1.73 b,,,doll_47.0 m,,,,,,,,,doll_198.0 m
,doll_14.76,,doll_1.73 b,,,0.0,,,,,,,,,0.0
,doll_29.26,,doll_1.73 b,,,0.0,,,,,,,,,0.0
,doll_20.35,,doll_1.73 b,,,doll_62.0 m,,,,,,,,,doll_83.0 m
,doll_14.21,,doll_1.73 b,,,doll_15.0 m,,,,,,,,,doll_130.0 m
,doll_12.53,,doll_1.73 b,,,0.0,,,,,,,,,0.0
,doll_11.30,,doll_1.73 b,,,doll_59.0 m,,,,,,,,,doll_207.0 m
,doll_20.93,,doll_1.74 b,,,0.0,,,,,,,,,0.0
,doll_53.51,,doll_1.74 b,,,doll_72.0 m,,,,,,,,,doll_2.1 b
,doll_1.65,,doll_1.74 b,,,doll_-42.0 m,,,,,,,,,doll_35.0 m
,doll_11.57,,doll_1.74 b,,,doll_82.0 m,,,,,,,,,doll_1.21 b
,doll_7.24,,doll_1.74 b,,,doll_26.0 m,,,,,,,,,doll_375.0 m
,doll_37.10,,doll_1.74 b,,,doll_44.0 m,,,,,,,,,doll_304.0 m
,doll_24.71,,doll_1.74 b,,,0.0,,,,,,,,,0.0
,doll_113.09,,doll_1.75 b,,,doll_114.0 m,,,,,,,,,doll_62.0 m
,doll_30.97,,doll_1.74 b,,,0.0,,,,,,,,,0.0
,doll_3.85,,doll_1.75 b,,,0.0,,,,,,,,,0.0
,doll_0.95,,doll_1.75 b,,,doll_68.0 m,,,,,,,,,doll_994.0 m
,doll_146.39,,doll_1.75 b,,,0.0,,,,,,,,,0.0
,doll_1.63,,doll_1.75 b,,,doll_62.0 m,,,,,,,,,doll_419.0 m
,doll_21.37,,doll_1.75 b,,,doll_196.0 m,,,,,,,,,doll_112.0 m
,doll_13.17,,doll_1.76 b,,,0.0,,,,,,,,,0.0
,doll_2.38,,doll_1.76 b,,,0.0,,,,,,,,,0.0
,doll_2.76,,doll_1.76 b,,,doll_129.0 m,,,,,,,,,doll_666.0 m
,doll_13.56,,doll_1.76 b,,,0.0,,,,,,,,,0.0
,doll_1.49,,doll_1.76 b,,,0.0,,,,,,,,,0.0
,doll_38.95,,doll_1.76 b,,,doll_122.0 m,,,,,,,,,doll_119.0 m
,doll_9.33,,doll_1.76 b,,,doll_20.0 m,,,,,,,,,doll_127.0 m
,doll_55.70,,doll_1.77 b,,,0.0,,,,,,,,,0.0
,doll_18.08,,doll_1.77 b,,,0.0,,,,,,,,,0.0
,doll_49.42,,doll_1.76 b,,,doll_12.0 m,,,,,,,,,doll_146.0 m
,doll_0.18,,doll_1.77 b,,,0.0,,,,,,,,,0.0
,doll_7.30,,doll_1.77 b,,,doll_214.0 m,,,,,,,,,doll_1.08 b
,doll_180.12,,doll_1.77 b,,,doll_23.0 m,,,,,,,,,doll_60.0 m
,doll_29.69,,doll_1.77 b,,,0.0,,,,,,,,,0.0
,doll_8.21,,doll_1.77 b,,,0.0,,,,,,,,,0.0
,doll_16.82,,doll_1.78 b,,,0.0,,,,,,,,,0.0
,doll_6.98,,doll_1.78 b,,,0.0,,,,,,,,,0.0
,doll_24.11,,doll_1.78 b,,,0.0,,,,,,,,,0.0
,doll_12.95,,doll_1.79 b,,,0.0,,,,,,,,,0.0
,doll_11.45,,doll_1.78 b,,,doll_474.0 m,,,,,,,,,doll_6.35 b
,doll_25.43,,doll_1.79 b,,,0.0,,,,,,,,,0.0
,doll_7.66,,doll_1.79 b,,,0.0,,,,,,,,,0.0
,doll_1.15,,doll_1.79 b,,,doll_69.0 m,,,,,,,,,doll_762.0 m
,doll_32.56,,doll_1.79 b,,,0.0,,,,,,,,,0.0
,doll_24.13,,doll_1.79 b,,,0.0,,,,,,,,,0.0
,doll_3.53,,doll_1.79 b,,,doll_97.0 m,,,,,,,,,doll_334.0 m
,doll_1.35,,doll_1.80 b,,,doll_20.0 m,,,,,,,,,doll_828.0 m
,doll_4.39,,doll_1.80 b,,,doll_54.0 m,,,,,,,,,doll_272.0 m
,doll_28.95,,doll_1.80 b,,,doll_83.0 m,,,,,,,,,doll_751.0 m
,doll_19.71,,doll_1.80 b,,,0.0,,,,,,,,,0.0
,doll_57.33,,doll_1.80 b,,,0.0,,,,,,,,,0.0
,doll_48.58,,doll_1.80 b,,,doll_21.0 m,,,,,,,,,doll_66.0 m
,doll_30.55,,doll_1.80 b,,,doll_38.0 m,,,,,,,,,doll_1.62 b
,doll_12.85,,doll_1.81 b,,,0.0,,,,,,,,,0.0
,doll_68.31,,doll_1.81 b,,,doll_117.0 m,,,,,,,,,doll_5.6 b
,doll_14.29,,doll_1.81 b,,,doll_461.0 m,,,,,,,,,doll_1.23 b
,doll_20.70,,doll_1.81 b,,,doll_74.0 m,,,,,,,,,doll_2.62 b
,doll_2.32,,doll_1.81 b,,,doll_33.0 m,,,,,,,,,doll_214.0 m
,doll_10.00,,doll_1.81 b,,,0.0,,,,,,,,,0.0
,doll_44.40,,doll_1.82 b,,,doll_-5.0 m,,,,,,,,,doll_582.0 m
,doll_33.79,,doll_1.82 b,,,doll_63.0 m,,,,,,,,,doll_1.98 b
,doll_19.61,,doll_1.82 b,,,0.0,,,,,,,,,0.0
,doll_14.91,,doll_1.82 b,,,doll_20.0 m,,,,,,,,,doll_188.0 m
,doll_31.97,,doll_1.82 b,,,doll_19.0 m,,,,,,,,,doll_41.0 m
,doll_11.91,,doll_1.82 b,,,0.0,,,,,,,,,0.0
,doll_21.43,,doll_1.82 b,,,doll_-117.0 m,,,,,,,,,doll_706.0 m
,doll_12.53,,doll_1.82 b,,,doll_-132.0 m,,,,,,,,,doll_-63.0 m
,doll_23.76,,doll_1.83 b,,,0.0,,,,,,,,,0.0
,doll_12.30,,doll_1.83 b,,,0.0,,,,,,,,,0.0
,doll_50.74,,doll_1.85 b,,,0.0,,,,,,,,,0.0
,doll_1.30,,doll_1.83 b,,,0.0,,,,,,,,,0.0
,doll_97.94,,doll_1.85 b,,,doll_50.0 m,,,,,,,,,doll_693.0 m
,doll_5.30,,doll_1.85 b,,,0.0,,,,,,,,,0.0
,doll_23.51,,doll_1.85 b,,,doll_91.0 m,,,,,,,,,doll_732.0 m
,doll_13.05,,doll_1.86 b,,,0.0,,,,,,,,,0.0
,doll_7.48,,doll_1.85 b,,,doll_173.0 m,,,,,,,,,doll_122.0 m
,doll_18.46,,doll_1.86 b,,,0.0,,,,,,,,,0.0
,doll_3.94,,doll_1.86 b,,,0.0,,,,,,,,,0.0
,doll_22.88,,doll_1.86 b,,,0.0,,,,,,,,,0.0
,doll_0.47,,doll_1.86 b,,,0.0,,,,,,,,,0.0
,doll_12.22,,doll_1.86 b,,,0.0,,,,,,,,,0.0
,doll_10.28,,doll_1.87 b,,,doll_28.0 m,,,,,,,,,doll_68.0 m
,doll_8.88,,doll_1.86 b,,,doll_366.0 m,,,,,,,,,doll_126.0 m
,doll_11.90,,doll_1.86 b,,,doll_130.0 m,,,,,,,,,doll_492.0 m
,doll_7.14,,doll_1.86 b,,,0.0,,,,,,,,,0.0
,doll_16.19,,doll_1.87 b,,,0.0,,,,,,,,,0.0
,doll_19.21,,doll_1.87 b,,,doll_15.0 m,,,,,,,,,doll_2.71 b
,doll_74.06,,doll_1.87 b,,,doll_78.0 m,,,,,,,,,doll_532.0 m
,doll_8.71,,doll_1.87 b,,,0.0,,,,,,,,,0.0
,doll_0.01000,,doll_1.87 b,,,0.0,,,,,,,,,0.0
,doll_8.58,,doll_1.87 b,,,0.0,,,,,,,,,0.0
,doll_11.57,,doll_1.88 b,,,doll_-29.0 m,,,,,,,,,doll_488.0 m
,doll_32.49,,doll_1.87 b,,,doll_-43.0 m,,,,,,,,,doll_242.0 m
,doll_6.57,,doll_1.88 b,,,doll_158.0 m,,,,,,,,,doll_10.09 b
,doll_17.89,,doll_1.88 b,,,doll_-21.0 m,,,,,,,,,doll_826.0 m
,doll_3.39,,doll_1.88 b,,,doll_163.0 m,,,,,,,,,doll_2.34 b
,doll_27.56,,doll_1.88 b,,,0.0,,,,,,,,,doll_127.0 m
,doll_15.78,,doll_1.88 b,,,doll_8.0 m,,,,,,,,,doll_508.0 m
,doll_99.43,,doll_1.88 b,,,0.0,,,,,,,,,0.0
,doll_25.76,,doll_1.88 b,,,doll_96.0 m,,,,,,,,,doll_5.21 b
,doll_14.62,,doll_1.88 b,,,doll_24.0 m,,,,,,,,,doll_478.0 m
,doll_11.58,,doll_1.88 b,,,doll_13.0 m,,,,,,,,,doll_102.0 m
,doll_7.10,,doll_1.88 b,,,doll_69.0 m,,,,,,,,,doll_2.1 b
,doll_18.44,,doll_1.89 b,,,doll_-156.0 m,,,,,,,,,0.0
,doll_140.36,,doll_1.89 b,,,doll_7.0 m,,,,,,,,,doll_739.0 m
,doll_15.20,,doll_1.89 b,,,doll_145.0 m,,,,,,,,,doll_81.0 m
,doll_77.65,,doll_1.89 b,,,0.0,,,,,,,,,0.0
,doll_38.01,,doll_1.89 b,,,0.0,,,,,,,,,0.0
,doll_10.75,,doll_1.89 b,,,0.0,,,,,,,,,0.0
,"doll_2,311",,doll_1.89 b,,,doll_120.0 m,,,,,,,,,doll_1.55 b
,doll_6.77,,doll_1.89 b,,,doll_-1.0 m,,,,,,,,,doll_-1.0 m
,doll_172.58,,doll_1.89 b,,,0.0,,,,,,,,,0.0
,doll_5.62,,doll_1.90 b,,,doll_139.0 m,,,,,,,,,doll_2.56 b
,doll_63.89,,doll_1.90 b,,,doll_1.0 m,,,,,,,,,doll_209.0 m
,doll_40.08,,doll_1.90 b,,,doll_98.0 m,,,,,,,,,doll_240.0 m
,doll_10.38,,doll_1.90 b,,,doll_19.0 m,,,,,,,,,0.0
,doll_34.38,,doll_1.91 b,,,doll_46.0 m,,,,,,,,,doll_225.0 m
,doll_74.40,,doll_1.91 b,,,doll_-27.0 m,,,,,,,,,doll_-25.0 m
,doll_8.41,,doll_1.91 b,,,doll_89.0 m,,,,,,,,,doll_432.0 m
,doll_40.85,,doll_1.91 b,,,0.0,,,,,,,,,0.0
,doll_3.48,,doll_1.90 b,,,0.0,,,,,,,,,0.0
,doll_9.08,,doll_1.91 b,,,doll_78.0 m,,,,,,,,,doll_767.0 m
,doll_5.85,,doll_1.92 b,,,doll_68.0 m,,,,,,,,,doll_365.0 m
,doll_37.20,,doll_1.92 b,,,0.0,,,,,,,,,0.0
,doll_25.98,,doll_1.92 b,,,doll_-4.0 m,,,,,,,,,doll_137.0 m
,doll_35.61,,doll_1.92 b,,,doll_25.0 m,,,,,,,,,doll_190.0 m
,doll_1.61,,doll_1.92 b,,,0.0,,,,,,,,,0.0
,doll_60.30,,doll_1.92 b,,,doll_78.0 m,,,,,,,,,doll_621.0 m
,doll_26.84,,doll_1.92 b,,,doll_-209.0 m,,,,,,,,,doll_14.0 m
,doll_8.41,,doll_1.92 b,,,doll_254.0 m,,,,,,,,,doll_255.0 m
,doll_10.17,,doll_1.93 b,,,0.0,,,,,,,,,0.0
,doll_21.66,,doll_1.92 b,,,doll_10.0 m,,,,,,,,,doll_284.0 m
,doll_4.02,,doll_1.93 b,,,doll_98.0 m,,,,,,,,,doll_274.0 m
,doll_37.68,,doll_1.93 b,,,doll_91.0 m,,,,,,,,,doll_271.0 m
,doll_19.96,,doll_1.93 b,,,doll_72.0 m,,,,,,,,,doll_8.93 b
,doll_18.16,,doll_1.93 b,,,0.0,,,,,,,,,0.0
,doll_0.65,,doll_1.93 b,,,0.0,,,,,,,,,0.0
,doll_79.40,,doll_1.94 b,,,0.0,,,,,,,,,0.0
,doll_5.01,,doll_1.94 b,,,doll_-2.0 m,,,,,,,,,doll_29.0 m
,doll_10.78,,doll_1.93 b,,,doll_13.0 m,,,,,,,,,doll_353.0 m
,doll_12.61,,doll_1.95 b,,,doll_-124.0 m,,,,,,,,,doll_147.0 m
,doll_3.65,,doll_1.95 b,,,0.0,,,,,,,,,0.0
,doll_5.56,,doll_1.95 b,,,0.0,,,,,,,,,0.0
,doll_26.92,,doll_1.95 b,,,0.0,,,,,,,,,0.0
,doll_6.00,,doll_1.96 b,,,0.0,,,,,,,,,0.0
,doll_2.63,,doll_1.95 b,,,doll_31.0 m,,,,,,,,,doll_109.0 m
,doll_96.44,,doll_1.96 b,,,0.0,,,,,,,,,0.0
,doll_37.01,,doll_1.96 b,,,0.0,,,,,,,,,0.0
,doll_4.79,,doll_1.97 b,,,0.0,,,,,,,,,0.0
,doll_44.09,,doll_1.97 b,,,0.0,,,,,,,,,0.0
,doll_15.50,,doll_1.97 b,,,0.0,,,,,,,,,0.0
,doll_42.16,,doll_1.97 b,,,doll_-19.0 m,,,,,,,,,doll_33.0 m
,doll_4.98,,doll_1.97 b,,,doll_25.0 m,,,,,,,,,doll_106.0 m
,doll_60.88,,doll_1.97 b,,,doll_-202.0 m,,,,,,,,,doll_75.0 m
,doll_10.72,,doll_1.99 b,,,doll_158.0 m,,,,,,,,,doll_1.4 b
,doll_36.10,,doll_1.99 b,,,doll_117.0 m,,,,,,,,,doll_231.0 m
,doll_133.32,,doll_1.99 b,,,doll_68.0 m,,,,,,,,,doll_1.4 b
,doll_19.04,,doll_2.00 b,,,doll_-26.0 m,,,,,,,,,doll_316.0 m
,doll_43.05,,doll_2.00 b,,,doll_20.0 m,,,,,,,,,doll_241.0 m
,doll_46.02,,doll_2.00 b,,,doll_172.0 m,,,,,,,,,doll_315.0 m
,doll_37.54,,doll_2.00 b,,,doll_64.0 m,,,,,,,,,doll_644.0 m
,doll_30.80,,doll_2.00 b,,,doll_58.0 m,,,,,,,,,doll_163.0 m
,doll_41.36,,doll_2.00 b,,,0.0,,,,,,,,,0.0
,doll_15.23,,doll_2.00 b,,,doll_23.0 m,,,,,,,,,doll_942.0 m
,doll_18.33,,doll_2.00 b,,,doll_45.0 m,,,,,,,,,doll_341.0 m
,doll_3.05,,doll_2.00 b,,,doll_4.0 m,,,,,,,,,doll_3.87 b
,doll_22.42,,doll_2.01 b,,,0.0,,,,,,,,,0.0
,doll_52.88,,doll_2.01 b,,,doll_-11.0 m,,,,,,,,,doll_680.0 m
,doll_30.69,,doll_2.02 b,,,doll_2.0 m,,,,,,,,,0.0
,doll_40.98,,doll_2.02 b,,,0.0,,,,,,,,,0.0
,doll_38.88,,doll_2.02 b,,,doll_-177.0 m,,,,,,,,,doll_844.0 m
,doll_7.61,,doll_2.02 b,,,doll_11.0 m,,,,,,,,,doll_221.0 m
,doll_6.40,,doll_2.02 b,,,doll_50.0 m,,,,,,,,,doll_4.84 b
,doll_21.23,,doll_2.02 b,,,0.0,,,,,,,,,0.0
,doll_12.73,,doll_2.03 b,,,0.0,,,,,,,,,0.0
,doll_33.58,,doll_2.02 b,,,0.0,,,,,,,,,0.0
,doll_3.54,,doll_2.03 b,,,doll_40.0 m,,,,,,,,,doll_41.0 m
,doll_48.31,,doll_2.03 b,,,doll_67.0 m,,,,,,,,,doll_1.21 b
