ft-revenue_2020_eu,companiesmarketcap-share_price,forbes-profit,companiesmarketcap-pricecap,disfold-market_cap,globaldata-market_cap,valuetoday-annual_net_income_usd,ft-revenue_2017_eu,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,forbes-sales,companiesmarketcap-earnings,forbes-market_value,valuetoday-annual_revenue_usd
doll_2.55 m,doll_753.26,doll_7.91 b,doll_376.99 b,twdoll_15.140 t,doll_1.7 b,doll_5.906 m,"101,311",,,doll_1.0 b,,doll_291.98 b,,doll_133.53 b,doll_50.533 m
doll_2.43 m,doll_153.22,doll_21.98 b,doll_415.87 b,doll_617.50 b,doll_1.3 b,doll_5.007 m,"100,711",,,doll_1.0 b,,doll_81.49 b,,doll_271.83 b,doll_195.920 m
doll_8.95 m,doll_135.16,doll_20.87 b,doll_396.45 b,doll_660.38 b,doll_3.6 b,doll_11.542 m,"379,771",,,doll_1.0 b,,doll_96.86 b,,doll_71.69 b,doll_56.197 m
doll_17.16 m,doll_168.76,doll_11.04 b,doll_420.54 b,doll_798.47 b,doll_735.5 m,doll_7.725 m,"757,323",,,doll_1.0 b,,doll_384.82 b,,doll_80.81 b,doll_39.211 m
doll_2.5 m,doll_81.50,doll_13 b,doll_422.66 b,doll_1.016 t,doll_1.3 b,,"110,200",,,doll_1.0 b,,doll_45.24 b,,doll_147.92 b,doll_103.000 m
doll_16.48 m,doll_109.86,doll_18.49 b,doll_452.43 b,doll_1.642 t,doll_912.9 m,doll_5.116 m,"744,092",,,doll_1.0 b,,doll_95.25 b,,doll_360.01 b,doll_29.697 m
doll_8.59 m,doll_217.66,doll_8.39 b,doll_460.99 b,doll_1.825 t,doll_784.7 m,doll_7.071 m,"387,995",,,doll_1.0 b,,doll_145.19 b,,doll_65.75 b,doll_43.075 m
doll_3.84 m,doll_178.88,doll_25.44 b,doll_467.67 b,doll_sr8.615 t,doll_2.9 b,doll_7.610 m,"179,204",,,doll_1.0 b,,doll_117.3 b,,doll_63.56 b,doll_79.470 m
doll_7.78 m,doll_194.86,doll_7.55 b,doll_606.20 b,doll_2.328 t,doll_548.8 m,doll_15.620 m,"388,565",,,doll_1.0 b,,doll_158.01 b,,doll_98.38 b,doll_155.600 m
doll_25.9 m,doll_536.16,doll_19.87 b,doll_500.96 b,doll_151.06 b,doll_74.1 m,doll_7.068 m,"1,186,853",,,doll_1.0 b,,doll_79.02 b,,doll_190.29 b,doll_20.838 m
doll_13.31 m,doll_316.15,doll_11.78 b,doll_696.53 b,doll_154.71 b,0,doll_13.040 m,"640,056",,,doll_1.0 b,,doll_38.51 b,,doll_132.99 b,doll_48.700 m
doll_2.13 m,doll_94.13,doll_10.15 b,doll_960.28 b,doll_158.06 b,doll_1.5 b,doll_7.465 m,"103,240",,,doll_1.0 b,,doll_110.39 b,,doll_103.98 b,doll_29.453 m
doll_64.22 m,doll_255.02,doll_7.81 b,doll_1.901 t,cdoll_199.96 b,doll_13.4 b,doll_19.860 m,"3,188,715",,,doll_1.0 b,,doll_86.85 b,,doll_228.63 b,doll_79.020 m
doll_4.75 m,doll_100.83,doll_12.82 b,doll_1.303 t,doll_163.19 b,doll_3.0 b,doll_21.548 m,"238,216",,,doll_1.0 b,,doll_60.53 b,,doll_68.59 b,doll_78.492 m
doll_11.66 m,doll_8.81,doll_7.99 b,doll_1.938 t,doll_164.05 b,doll_2.1 b,doll_4.169 m,"585,280",,,doll_1.0 b,,doll_89.9 b,,doll_108.84 b,doll_25.371 m
doll_7.44 m,doll_68.59,doll_9.6 b,doll_125.25 b,doll_164.31 b,doll_1.4 b,doll_7.598 m,"376,519",,,doll_1.0 b,,doll_78.22 b,,doll_58.21 b,doll_87.614 m
doll_4.01 m,doll_68.20,doll_11.29 b,doll_126.75 b,doll_cn¥1.050 t,doll_76.6 m,doll_1.444 m,"203,950",,,doll_1.0 b,,doll_48.28 b,,doll_75.75 b,doll_26.492 m
doll_5.14 m,doll_523.60,doll_23.63 b,doll_125.66 b,doll_165.53 b,0,doll_22.060 m,"270,090",,,doll_1.0 b,,doll_61.47 b,,doll_494.6 b,doll_133.610 m
doll_6.95 m,doll_380.58,doll_17.94 b,doll_128.87 b,doll_166.07 b,doll_3.5 b,doll_14.160 m,"369,000",,,doll_1.0 b,,doll_136.34 b,,doll_60.8 b,doll_116.380 m
doll_9.79 m,doll_0.74,doll_14.23 b,doll_129.63 b,doll_€153.86 b,doll_5.8 b,doll_44.469 m,"535,070",,,doll_1.0 b,,doll_75.9 b,,doll_346.8 b,doll_120.930 m
doll_15.37 m,doll_496.23,doll_12.98 b,doll_130.04 b,doll_170.56 b,doll_623.9 m,doll_14.566 m,"858,482",,,doll_1.0 b,,doll_76 b,,doll_52.82 b,doll_56.414 m
doll_35.94 m,doll_214.84,doll_14.6 b,doll_129.91 b,doll_171.28 b,doll_107.3 m,doll_19.870 m,"2,007,000",,,doll_1.0 b,,doll_79.62 b,,doll_386.53 b,doll_168.860 m
doll_6.63 m,doll_65.60,doll_14.64 b,doll_131.50 b,doll_172.25 b,doll_5.1 b,doll_12.890 m,"375,323",,,doll_1.0 b,,doll_131.48 b,,doll_55.98 b,doll_97.287 m
