03-gren-revenue_2017_eu,07-silvestri-revenue_2017,01-DDD-revenue_2017_euro,03-gren-revenue_2020_eu
10152222,"10,152,222","10,152,222",doll_77.76 m
500440,"500,440","500,440",doll_3.92 m
506730,"506,730","506,730",doll_3.96 m
225964,"225,964","225,964",doll_1.75 m
3989355,"3,989,355","3,989,355",doll_30.41 m
504357,"504,357","504,357",doll_3.92 m
548180,"548,180","548,180",doll_4.25 m
524750,"524,750","524,750",doll_4.07 m
274966,"274,966","274,966",doll_2.13 m
214713,"214,713","214,713",doll_1.66 m
755191,"755,191","755,191",doll_5.74 m
7522000,"7,522,000","7,522,000",doll_57.38 m
1556607,"1,556,607","1,556,607",doll_11.86 m
2058315,"2,058,315","2,058,315",doll_15.65 m
8508398,"8,508,398","8,508,398",doll_63.88 m
2570000,"2,570,000","2,570,000",doll_19.43 m
26626422,"26,626,422","26,626,422",doll_197.26 m
546226,"546,226","546,226",doll_4.11 m
2708983,"2,708,983","2,708,983",doll_20.2 m
975140,"975,140","975,140",doll_7.32 m
316525,"316,525","316,525",doll_2.16 m
884885,"884,885","884,885",doll_6.56 m
559778,"559,778","559,778",doll_4.15 m
2146950,"2,146,950","2,146,950",doll_15.87 m
340000,"340,000","340,000",doll_2.5 m
1062649,"1,062,649","1,062,649",doll_7.65 m
621636,"621,636","621,636",doll_4.53 m
350019,"350,019","350,019",doll_2.57 m
330522,"330,522","330,522",doll_2.42 m
410520,"410,520","410,520",doll_2.99 m
2051133,"2,051,133","2,051,133",doll_14.94 m
674805,"674,805","674,805",doll_4.8 m
670685,"670,685","670,685",doll_4.88 m
255000,"255,000","255,000",doll_1.85 m
3417815,"3,417,815","3,417,815",doll_24.58 m
364485,"364,485","364,485",doll_2.64 m
15653388,"15,653,388","15,653,388",doll_111.54 m
954700,"954,700","954,700",doll_6.79 m
49833511,"49,833,511","49,833,511",doll_352.88 m
2669247,"2,669,247","2,669,247",doll_18.77 m
309471,"309,471","309,471",doll_2.0 m
923730,"923,730","923,730",doll_6.52 m
1354980,"1,354,980","1,354,980",doll_9.55 m
335460,"335,460","335,460",doll_2.34 m
3659630,"3,659,630","3,659,630",doll_25.67 m
259342,"259,342","259,342",doll_1.81 m
219999,"219,999","219,999",doll_1.51 m
276750,"276,750","276,750",doll_1.9 m
657382,"657,382","657,382",doll_4.48 m
18106514,"18,106,514","18,106,514",doll_115.79 m
4829922,"4,829,922","4,829,922",doll_32.61 m
688860,"688,860","688,860",doll_4.68 m
2880891,"2,880,891","2,880,891",doll_19.58 m
667170,"667,170","667,170",doll_4.53 m
21640253,"21,640,253","21,640,253",doll_146.45 m
226295,"226,295","226,295",doll_1.53 m
991534,"991,534","991,534",doll_6.53 m
274790,"274,790","274,790",doll_1.79 m
310810,"310,810","310,810",doll_2.07 m
4601266,"4,601,266","4,601,266",doll_30.44 m
1411811,"1,411,811","1,411,811",doll_9.38 m
1587500,"1,587,500","1,587,500",doll_10.54 m
404819,"404,819","404,819",doll_2.68 m
251795,"251,795","251,795",doll_1.65 m
5033032,"5,033,032","5,033,032",doll_32.27 m
3241629,"3,241,629","3,241,629",doll_21.25 m
436610,"436,610","436,610",doll_2.86 m
6936038,"6,936,038","6,936,038",doll_45.23 m
461000,"461,000","461,000",doll_3.0 m
656172,"656,172","656,172",doll_4.11 m
1034093,"1,034,093","1,034,093",doll_6.69 m
449771,"449,771","449,771",doll_2.91 m
4954590,"4,954,590","4,954,590",doll_32.04 m
4979484,"4,979,484","4,979,484",doll_32.17 m
422610,"422,610","422,610",doll_2.7 m
322050,"322,050","322,050",doll_2.0 m
304833,"304,833","304,833",doll_1.95 m
789058,"789,058","789,058",doll_4.97 m
5361088,"5,361,088","5,361,088",doll_33.65 m
4653721,"4,653,721","4,653,721",doll_28.99 m
245974,"245,974","245,974",doll_1.53 m
11756712,"11,756,712","11,756,712",doll_73.51 m
1765457,"1,765,457","1,765,457",doll_11.03 m
318940,"318,940","318,940",doll_1.99 m
385266,"385,266","385,266",doll_2.39 m
3733539,"3,733,539","3,733,539",doll_22.89 m
923000,"923,000","923,000",doll_5.7 m
598678,"598,678","598,678",doll_3.69 m
4174549,"4,174,549","4,174,549",doll_25.0 m
737936,"737,936","737,936",doll_4.53 m
698300,"698,300","698,300",doll_4.28 m
551848,"551,848","551,848",doll_3.38 m
1277410,"1,277,410","1,277,410",doll_7.79 m
1644899,"1,644,899","1,644,899",doll_10.0 m
5643295,"5,643,295","5,643,295",doll_33.9 m
685370,"685,370","685,370",doll_4.13 m
1002579,"1,002,579","1,002,579",doll_6.04 m
1043440,"1,043,440","1,043,440",doll_6.26 m
1122907,"1,122,907","1,122,907",doll_6.31 m
1091925,"1,091,925","1,091,925",doll_6.48 m
492860,"492,860","492,860",doll_2.92 m
916511,"916,511","916,511",doll_5.36 m
1207613,"1,207,613","1,207,613",doll_7.1 m
1396400,"1,396,400","1,396,400",doll_8.21 m
2484783,"2,484,783","2,484,783",doll_14.6 m
521250,"521,250","521,250",doll_3.06 m
2076139,"2,076,139","2,076,139",doll_12.17 m
580644,"580,644","580,644",doll_3.4 m
3380420,"3,380,420","3,380,420",doll_19.8 m
853561,"853,561","853,561",doll_4.98 m
352000,"352,000","352,000",doll_2.05 m
287985,"287,985","287,985",doll_1.67 m
