,name,address,country,hhid,industry,sic_code,type,est_of_ownership
39,Enel Global Trading Spa,"VIALE REGINA MARGHERITA 125, ROMA, 00198, ROMA, ITALY",IT05918271007,H-IT0067042627,Wholesale Trade,Whol petroleum products (5172),Corporation,1999
40,Hera Trading Srl,"VIA MOLINO ROSSO 8, IMOLA, 40026, BOLOGNA, ITALY",IT02060500390,H-IT0074565141,"Transportation, Communications, Electric, Gas, and Sanitary Services",Natural gas distribution (4924),Corporation,2001
41,Alleanza Assicurazioni Spa,"PIAZZA FIDIA 1, MILANO, 20159, MILANO, ITALY",IT10908160012,H-IT0037371592,"Finance, Insurance, and Real Estate",Insurance carrier (6399),Corporation,2009
42,Marco Polo International Italy Srl,"VIA SAN PRIMO 4, MILANO, 20121, MILANO, ITALY",IT10449990968,H-IT0062549707,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2018
43,Fincantieri Spa,"VIA GENOVA 1, TRIESTE, 34121, TRIESTE, ITALY",IT00629440322,H-IT0009238654,Manufacturing,Shipbuilding/repairing (3731),Corporation,1959
44,Eurospin Italia Spa,"VIA CAMPALTO 3/D, SAN MARTINO BUON ALBERGO, 37036, VERONA, ITALY",IT02536510239,H-IT0075267381,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1994
45,E-distribuzione Spa,"VIA CARLO FELICE 35, SASSARI, 07100, SASSARI, ITALY",IT05779711000,H-IT0072864532,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1999
46,Saipem Spa,"VIA MARTIRI DI CEFALONIA 67, SAN DONATO MILANESE, 20097, MILANO, ITALY",IT00825790157,H-IT0012466115,Construction,Building equipment installation (1796),Corporation,1969
47,Enel Produzione Spa,"VIALE REGINA MARGHERITA 125, ROMA, 00198, ROMA, ITALY",IT05617841001,H-IT0012768553,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1962
48,Guccio Gucci Spa,"VIA DON LORENZO PEROSI 6, SCANDICCI, 50018, FIRENZE, ITALY",IT04294710480,H-IT0049515195,Manufacturing,Mfg luggage (3161),Corporation,1939
49,Pirelli & C. Spa,"VIALE PIERO E ALBERTO PIRELLI 25, MILANO, 20126, MILANO, ITALY",IT00860340157,H-IT0049412493,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1883
