,name,address,country,hhid,industry,sic_code,type,est_of_ownership
266,Metro Italia Cash And Carry Spa,"VIA XXV APRILE 23, SAN DONATO MILANESE, 20097, MILANO, ITALY",IT02827030962,H-IT0001757369,Wholesale Trade,Whol non durable goods (5199),Corporation,1972
267,Grimaldi Euromed Spa,"VIA MARCHESE CAMPODISOLA 13, NAPOLI, 80133, NAPOLI, ITALY",IT00278730825,H-IT0013250906,"Transportation, Communications, Electric, Gas, and Sanitary Services",Water freight transportation (4449),Corporation,1973
268,Procter & Gamble Holding Srl,"VIALE GIORGIO RIBOTTA 11, ROMA, 00144, ROMA, ITALY",IT05269321005,H-IT0075114402,Services,Business services (7389),Corporation,1956
269,Cassa Di Compensazione E Garanzia Spa,"VIA TOMACELLI 146, ROMA, 00186, ROMA, ITALY",IT04289511000,H-IT0070718237,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1992
270,Tech Data Italia Srl,"VIALE LEONE TOLSTOJ 65, SAN GIULIANO MILANESE, 20098, MILANO, ITALY",IT07092780159,H-IT0014480646,Manufacturing,Misc publishing (2741),Corporation,1983
271,Waterfall Italia Spa,"VIALE GIOSUE' CARDUCCI 48, BOLOGNA, 40125, BOLOGNA, ITALY",IT03504331202,H-IT0048609145,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2015
272,I.d. 4 Italia Srl,"VIALE GIOSUE' CARDUCCI 48, BOLOGNA, 40125, BOLOGNA, ITALY",IT03422531206,H-IT0044257554,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2014
273,Alperia Trading Srl,"VIA DODICIVILLE 8, BOLZANO, 39100, BOLZANO, ITALY",IT03008510210,H-IT0062988077,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1999
274,Sogefi Spa,"VIA CIOVASSINO 1/A, MILANO, 20121, MILANO, ITALY",IT00607460201,H-IT0014786710,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1980
275,Conad Centro Nord Soc Coop,"VIA JOHN FITZGERALD KENNEDY 5, CAMPEGINE, 42040, REGGIO EMILIA, ITALY",IT01751820356,H-IT0011010495,Wholesale Trade,Whol non durable goods (5199),Corporation,1997
276,Societa' Agricola La Pellegrina Spa,"VIA VALPANTENA 18/G, VERONA, 37142, VERONA, ITALY",IT00642520233,H-IT0010582002,"Agriculture, Forestry, and Fishing",Poultry/poultry egg farm (0259),Corporation,1976
277,Siderurgica Investimenti Srl,"VIA GIUSEPPE VERDI 8, BEDIZZOLE, 25081, BRESCIA, ITALY",IT10341650157,H-IT0068457146,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1989
278,Zucchetti Group Spa,"VIA SOLFERINO 1, LODI, 26900, LODI, ITALY",IT04171890157,H-IT0029868157,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1978
279,Finde Spa,"CORSO GIOVANNI LANZA 101, TORINO, 10133, TORINO, ITALY",IT06633950016,H-IT0071559523,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1994
280,Shell Italia Holding Spa,"VIALE THOMAS ALVA EDISON 110, SESTO SAN GIOVANNI, 20099, MILANO, ITALY",IT03525340968,H-IT0073889660,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2002
281,Marseglia Group Spa,"VIA BAIONE 200, MONOPOLI, 70043, BARI, ITALY",IT01469610743,H-IT0028047338,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1990
282,Bricoman Italia Srl,"VIA GUGLIELMO MARCONI 24, ROZZANO, 20089, MILANO, ITALY",IT05602670969,H-IT0075874768,Retail Trade,Ret hardware (5251),Corporation,2007
283,Centurion Newco Spa,"VIALE BIANCA MARIA 25, MILANO, 20122, MILANO, ITALY",IT11220360967,H-IT0366646049,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2020
284,Egea Commerciale,"CORSO NINO BIXIO 8, ALBA, 12051, CUNEO, ITALY",IT02439760162,H-IT0072771879,"Transportation, Communications, Electric, Gas, and Sanitary Services",Natural gas distribution (4924),Corporation,1996
285,Basell Poliolefine Italia Srl,"PIAZZALE GUIDO DONEGANI 12, FERRARA, 44122, FERRARA, ITALY",IT11531310156,H-IT0072235470,Manufacturing,Mfg plastic materials/resins (2821),Corporation,1995
286,Luxottica Srl,"FRAZIONE VALCOZZENA 10, AGORDO, 32021, BELLUNO, ITALY",IT00064820251,H-IT0011912154,Manufacturing,Mfg ophthalmic goods (3851),Corporation,1961
287,Fater Spa,"VIA MARE ADRIATICO 122, SPOLTORE, 65010, PESCARA, ITALY",IT01282360682,H-IT0029562732,Manufacturing,Mfg sanitary paper products (2676),Corporation,1990
288,U.t. Communications Spa,"VIA MONTE NAPOLEONE 8, MILANO, 20121, MILANO, ITALY",IT11196950155,H-IT0016973011,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1994
289,Ali' Spa,"VIA OLANDA 2, PADOVA, 35127, PADOVA, ITALY",IT00348980285,H-IT0012582263,Retail Trade,Ret groceries (5411),Corporation,1973
290,Lukoil Italia Srl,"VIA LEONIDA BISSOLATI 20, ROMA, 00187, ROMA, ITALY",IT10246551005,H-IT0014221233,Wholesale Trade,Whol petroleum products (5172),Corporation,2008
291,Bitron Industrie Spa,"STRADA DEL PORTONE 95, GRUGLIASCO, 10095, TORINO, ITALY",IT06531680012,H-IT0074677802,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1993
292,Ali' Group Srl,"VIA OLANDA 2, PADOVA, 35127, PADOVA, ITALY",IT04117820284,H-IT0015617815,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2006
293,Epta Spa,"VIA MECENATE 86, MILANO, 20138, MILANO, ITALY",IT04160730968,H-IT0074413902,Manufacturing,Mfg refrigeration/heating equipment (3585),Corporation,2003
294,Epta Hdp Spa,"VIA MECENATE 86, MILANO, 20138, MILANO, ITALY",IT10119950961,H-IT0058458778,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2017
295,Postepay Spa,"VIALE EUROPA 190, ROMA, 00144, ROMA, ITALY",IT06874351007,H-IT0072352515,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,2001
296,Pini Holding Srl,"VIA RUGGERO BOSCOVICH 27, MILANO, 20124, MILANO, ITALY",IT10246890965,H-IT0059847948,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2018
297,Itinera Spa,"STRADA STATALE PER ALESSANDRIA 6/A, TORTONA, 15057, ALESSANDRIA, ITALY",IT01668980061,H-IT0030078768,Construction,Highway/street construction (1611),Corporation,1995
298,Acciaierie Valbruna Spa,"VIALE DELLA SCIENZA 25, VICENZA, 36100, VICENZA, ITALY",IT02866820240,H-IT0070992320,Manufacturing,Blast furnace-steel works (3312),Corporation,1925
299,Penny Market Srl,"STRADA PROVINCIALE 11 PADANA SUPERIORE 2/B, CERNUSCO SUL NAVIGLIO, 20063, MILANO, ITALY",IT12619750156,H-IT0001705946,Retail Trade,Ret groceries (5411),Corporation,1997
300,Valentino Spa,"VIALE DEI LANIFICI 1, VALDAGNO, 36078, VICENZA, ITALY",IT05412951005,H-IT0073453986,Services,Business services (7389),Corporation,1997
301,Dana Graziano Srl,"VIA CUMIANA 14, RIVOLI, 10098, TORINO, ITALY",IT06699750011,H-IT0075060949,Manufacturing,Mfg power transmission equipment (3568),Corporation,1989
302,Iris Mobili Srl,"VIA CARLO POMA 11, POMEZIA, 00071, ROMA, ITALY",IT06888411003,H-IT0074100025,Retail Trade,Ret furniture (5712),Corporation,2002
303,Padana Tubi E Profilati Acciaio Spa,"VIA PORTAMURATA 8/A, GUASTALLA, 42016, REGGIO EMILIA, ITALY",IT00323370353,H-IT0010857044,Manufacturing,Mfg steel pipe/tubes (3317),Corporation,1975
304,Adler Plastic Spa,"VIA MOZZONI LOCALITA' S.DOMENICO, OTTAVIANO, 80044, NAPOLI, ITALY",IT01280381219,H-IT0012438634,Manufacturing,Mfg plastic products (3089),Corporation,1980
305,Cofco International Italy Srl,"PIAZZA JOHN FITZGERALD KENNEDY 3, RAVENNA, 48121, RAVENNA, ITALY",IT08076171001,H-IT0074142240,Wholesale Trade,Whol grain/field beans (5153),Corporation,2004
306,Diasorin Spa,"VIA CRESCENTINO, SALUGGIA, 13040, VERCELLI, ITALY",IT13144290155,H-IT0074334530,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1996
307,T.c.a. Trattamenti Ceneri Auroargentifere Spa,"LOCALITA' CASTELLUCCIO 11, CAPOLONA, 52010, AREZZO, ITALY",IT00279290514,H-IT0028132408,Manufacturing,Primary nonferrous metal producer (3339),Corporation,1977
308,Groupama Assicurazioni Spa,"VIALE CESARE PAVESE 385, ROMA, 00144, ROMA, ITALY",IT00885741009,H-IT0070694672,"Finance, Insurance, and Real Estate",Insurance carrier (6399),Corporation,1929
309,Electrolux Italia Spa,"CORSO LINO ZANUSSI 24, PORCIA, 33080, PORDENONE, ITALY",IT00065130932,H-IT0008016585,Manufacturing,Mfg electric housewares/fans (3634),Corporation,1916
310,Msc Societa' Di Partecipazione Tra Lavoratori Spa,"VIA UBALDO POLI 4, ZOLA PREDOSA, 40069, BOLOGNA, ITALY",IT00592240378,H-IT0036360678,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1938
311,Dimar Spa,"VIA CUNEO 34, CHERASCO, 12062, CUNEO, ITALY",IT00294760046,H-IT0014501481,Wholesale Trade,Whol non durable goods (5199),Corporation,1973
312,Tnt Global Express Srl,"CORSO GIULIO CESARE 268, TORINO, 10154, TORINO, ITALY",IT09399880153,H-IT0061951439,"Transportation, Communications, Electric, Gas, and Sanitary Services",Courier service (4215),Corporation,1981
313,Unico La Farmacia Dei Farmacisti Spa,"VIA GARBAGNATE 63, LAINATE, 20045, MILANO, ITALY",IT02217430343,H-IT0003745546,Wholesale Trade,Whol drugs/sundries (5122),Corporation,1945
314,Engycalor Energia Calore Srl,"VIA AURELIA 915, ROMA, 00165, ROMA, ITALY",IT00991041005,H-IT0016265335,Wholesale Trade,Whol petroleum products (5172),Corporation,1966
315,Comet Spa,"VIA MICHELINO 105, BOLOGNA, 40127, BOLOGNA, ITALY",IT02108091204,H-IT0066647894,Wholesale Trade,Whol appliances/tv/radio (5064),Corporation,1968
316,Comet Holding Spa,"VIA MICHELINO 105, BOLOGNA, 40127, BOLOGNA, ITALY",IT02406221206,H-IT0002419203,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2003
317,Unione Farmaceutica Novarese,"CORSO VERCELLI 120/C, NOVARA, 28100, NOVARA, ITALY",IT00110250032,H-IT0000430994,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1945
318,Ferragamo Finanziaria Spa,"VIA DEI TORNABUONI 2, FIRENZE, 50123, FIRENZE, ITALY",IT04161460482,H-IT0008928983,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1989
319,Ge Avio Srl,"VIA I MAGGIO 99, RIVALTA DI TORINO, 10040, TORINO, ITALY",IT10898340012,H-IT0037227971,Manufacturing,Mfg aircraft (3721),Corporation,2013
320,Alrescha Investimenti Srl,"CORSO EUROPA 2, MILANO, 20122, MILANO, ITALY",IT06684430967,H-IT0021827443,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2009
321,Same Deutz Fahr Italia Spa,"VIALE FRANCESCO CASSANI 15, TREVIGLIO, 24047, BERGAMO, ITALY",IT00778780163,H-IT0010071229,Manufacturing,Mfg farm machinery/equipment (3523),Corporation,1978
322,Agora' Network Soc Cons.rl,"VIA GIOVANNI BATTISTA PERGOLESI 25, MILANO, 20124, MILANO, ITALY",IT13211090157,H-IT0067273181,Wholesale Trade,Whol non durable goods (5199),Corporation,2000
323,Erg Spa,"VIA DE MARINI 1, GENOVA, 16149, GENOVA, ITALY",IT10122410151,H-IT0075600137,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1938
324,Erg Power Generation Spa,"VIA DE MARINI 1, GENOVA, 16149, GENOVA, ITALY",IT01440590899,H-IT0072354003,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,2003
325,San Quirico Spa,"VIA MARTIN PIAGGIO 17/4, GENOVA, 16122, GENOVA, ITALY",IT04469810966,H-IT0007816189,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2004
326,Unes Maxi Spa,"VIALE DELLE INDUSTRIE SNC, VIMODRONE, 20055, MILANO, ITALY",IT07515280159,H-IT0070625298,Retail Trade,Ret groceries (5411),Corporation,1984
327,Iperal Supermercati Spa,"VIA BOLLADORE 64, SONDALO, 23035, SONDRIO, ITALY",IT11023300962,H-IT0217081009,Retail Trade,Ret groceries (5411),Corporation,2019
328,Rosenbauer International Ag,"VIA DEI CAMPI DELLA RIENZA 30, BRUNICO, 39031, BOLZANO, ITALY",IT02746610217,H-IT0018652387,Wholesale Trade,Whol auto parts/supplies (5013),Foreign Company,1956
329,Turytes Spa,"GALLERIA CAMILLO BENSO CONTE DI CAVOUR 4, BOLOGNA, 40124, BOLOGNA, ITALY",IT03704150378,H-IT0071579257,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1987
330,Alliancebernstein (luxembourg) S.a' Rl,"PIAZZA IV NOVEMBRE 7, MILANO, 20124, MILANO, ITALY",IT11162050964,H-IT0291923964,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Foreign Company,2020
331,Denso Thermal Systems Spa,"FRAZIONE MASIO 24, POIRINO, 10046, TORINO, ITALY",IT13391870154,H-IT0068400934,Manufacturing,Mfg refrigeration/heating equipment (3585),Corporation,2001
332,Nova Coop Soc Coop,"VIA NELSON MANDELA 4, VERCELLI, 13100, VERCELLI, ITALY",IT01314250034,H-IT0055387381,Retail Trade,Ret groceries (5411),Corporation,1989
333,Green Network Spa,"VIA GIULIO VINCENZO BONA 101, ROMA, 00156, ROMA, ITALY",IT07451521004,H-IT0074280767,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,2003
334,Amazon Italia Transport Srl,"VIALE MONTE GRAPPA 3/5, MILANO, 20124, MILANO, ITALY",IT09598330968,H-IT0051956802,"Transportation, Communications, Electric, Gas, and Sanitary Services",Transportation services (4789),Corporation,2016
335,Findomestic Banca Spa,"VIA JACOPO DA DIACCETO 48, FIRENZE, 50123, FIRENZE, ITALY",IT03562770481,H-IT0014969920,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1984
336,Prenatal Retail Group Spa Ovvero In Abbreviato Pnt Retail Gr Oup Spa O Prg Spa,"VIA DELLE PRIMULE 5, COGLIATE, 20815, MONZA E BRIANZA, ITALY",IT11943650157,H-IT0000836494,Retail Trade,Ret hobbies/toys/games (5945),Corporation,1987
337,Azimut - Benetti Spa,"VIA MICHELE COPPINO 104, VIAREGGIO, 55049, LUCCA, ITALY",IT01390230462,H-IT0010257845,Manufacturing,Boat building/repairing (3732),Corporation,1974
338,Agsm Aim Energia Spa,"LUNGADIGE GALTAROSSA 8, VERONA, 37133, VERONA, ITALY",IT02968430237,H-IT0061888974,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1999
339,Fif Holding Spa,"VIA VEZZA D'OGLIO 7, MILANO, 20139, MILANO, ITALY",IT09607210961,H-IT0052284743,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2016
340,Coopservice Societa' Cooperativa Per Azioni,"VIA ROCHDALE 5, REGGIO EMILIA, 42122, REGGIO EMILIA, ITALY",IT00310180351,H-IT0059947489,Services,Building maintenance services (7349),Corporation,1975
341,Servizi Energia Italia Spa,"VIA MARTIRI DI CEFALONIA 67, SAN DONATO MILANESE, 20097, MILANO, ITALY",IT03843480272,H-IT0002212226,Services,Engineering services (8711),Corporation,2008
342,Bonfi Srl,"GALLERIA GUGLIELMO MARCONI 1, BOLOGNA, 40122, BOLOGNA, ITALY",IT03612091201,H-IT0054930944,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2017
343,Bonfiglioli Spa,"VIA CLEMENTINO BONFIGLIOLI 1, CALDERARA DI RENO, 40012, BOLOGNA, ITALY",IT00500551205,H-IT0035479205,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1967
344,Elecnor Sa,"VIA GIUSEPPE VERDI 6, SAN PIETRO MOSEZZO, 28060, NOVARA, ITALY",IT07111850967,H-IT0007067275,Services,Repair services (7699),Foreign Company,2010
345,Rialto Spa,"VIA GIAN CARLO CLERICI 342, BRESSO, 20091, MILANO, ITALY",IT05849840151,H-IT0068420188,Retail Trade,Ret groceries (5411),Corporation,1980
346,Industries Spa,"VIA VENEZIA 1, TREBASELEGHE, 35010, PADOVA, ITALY",IT04804070961,H-IT0074590448,Retail Trade,Ret family clothing (5651),Corporation,1975
347,Riva Azzurra Spa,"VIA PANTANO 28, MILANO, 20122, MILANO, ITALY",IT09677100969,H-IT0041217519,Retail Trade,Ret groceries (5411),Corporation,1979
348,Casillo Commodities Italia Spa,"VIA ANTONIO SANT'ELIA ZONA INDUSTRIALE SNC, CORATO, 70033, BARI, ITALY",IT04454620727,H-IT0002240947,Wholesale Trade,Whol grain/field beans (5153),Corporation,1993
349,Ludoil Energy Spa,"VIA TARANTO 40, NOLA, 80035, NAPOLI, ITALY",IT07104471219,H-IT0018316182,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2012
350,Supermercati Tosano Cerea Srl,"VIA PALESELLA 1, CEREA, 37053, VERONA, ITALY",IT01286680234,H-IT0029146542,Retail Trade,Ret groceries (5411),Corporation,1980
351,Skf Industrie Spa,"VIA PINEROLO 44, AIRASCA, 10060, TORINO, ITALY",IT02663880017,H-IT0011941758,Manufacturing,Mfg power transmission equipment (3568),Corporation,1980
352,Hp Italy Srl,"VIA CARLO DONAT CATTIN 5, CERNUSCO SUL NAVIGLIO, 20063, MILANO, ITALY",IT08954150960,H-IT0044646682,Wholesale Trade,Whol computers/peripherals (5045),Corporation,1964
353,Gottardo Spa,"GALLERIA SPAGNA 9, PADOVA, 35127, PADOVA, ITALY",IT02466210289,H-IT0068290586,Retail Trade,Ret misc merchandise (5999),Corporation,1991
354,Maior Srl,"GALLERIA SPAGNA 9, PADOVA, 35127, PADOVA, ITALY",IT01350310288,H-IT0040460681,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1987
355,Policlinico San Donato Spa,"VIA RODOLFO MORANDI 30, SAN DONATO MILANESE, 20097, MILANO, ITALY",IT05853360153,H-IT0008911185,Services,General hospital (8062),Corporation,1980
356,Vender Spa,"VIA ALFRED BERNHARD NOBEL 4/A, PARMA, 43122, PARMA, ITALY",IT02084770342,H-IT0001756354,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1999
357,Ludoil Energia Srl,"VIA TARANTO 40, NOLA, 80035, NAPOLI, ITALY",IT07047491217,H-IT0017380286,Wholesale Trade,Whol petroleum products (5172),Corporation,2011
358,In's Mercato Spa,"VIA ISTITUTO SANTA MARIA DELLA PIETA' 6, VENEZIA, 30173, VENEZIA, ITALY",IT02896940273,H-IT0071274197,Retail Trade,Ret groceries (5411),Corporation,1994
359,Sorgenia Power Spa,"VIA ADRIANO OLIVETTI SNC, TERMOLI, 86039, CAMPOBASSO, ITALY",IT03925650966,H-IT0074055054,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,2003
360,Ald Automotive Italia Srl,"VIALE LUCA GAURICO 187, ROMA, 00143, ROMA, ITALY",IT01924961004,H-IT0038498553,Services,Passenger car rental (7514),Corporation,1987
361,Alliance Healthcare Italia Spa,"VIA MOGGIA 75/A, LAVAGNA, 16033, GENOVA, ITALY",IT05249181008,H-IT0069484236,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1986
362,Estra Energie Srl,"VIA UGO PANZIERA 16, PRATO, 59100, PRATO, ITALY",IT01219980529,H-IT0002558351,"Transportation, Communications, Electric, Gas, and Sanitary Services",Natural gas distribution (4924),Corporation,2007
363,Fibercop Spa,"VIA GAETANO NEGRI 1, MILANO, 20123, MILANO, ITALY",IT11459900962,H-IT0588755479,"Transportation, Communications, Electric, Gas, and Sanitary Services",Telephone communications (4813),Corporation,2020
364,D & G Srl,"VIA CARLO GOLDONI 10, MILANO, 20129, MILANO, ITALY",IT09297840150,H-IT0042004292,Services,Business services (7389),Corporation,1988
365,Dolce & Gabbana Holding Srl,"VIA CARLO GOLDONI 10, MILANO, 20129, MILANO, ITALY",IT05948660963,H-IT0014652935,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2007
366,Ccs Jv Scarl,"VIA MILANO 10, SAN DONATO MILANESE, 20097, MILANO, ITALY",IT10828520964,H-IT0066891477,Services,Engineering services (8711),Corporation,2019
367,Vandemoortele Europe N.v.,"VIA FIORENZO SEMINI 12, GENOVA, 16163, GENOVA, ITALY",IT02644480994,H-IT0289923537,Wholesale Trade,Whol groceries (5149),Foreign Company,2019
368,Pastificio Rana Spa,"VIA ANTONIO PACINOTTI 25, SAN GIOVANNI LUPATOTO, 37057, VERONA, ITALY",IT01397480235,H-IT0015232751,Manufacturing,Mfg macaroni/spaghetti (2098),Corporation,1962
369,C.o.i.m. Spa - Chimica Organica Industriale Milanese,"VIA DELLE AZALEE 19, BUCCINASCO, 20090, MILANO, ITALY",IT00798810156,H-IT0010010882,Manufacturing,Mfg plastic materials/resins (2821),Corporation,1966
370,Astaris Spa,"VIA GIULIO VINCENZO BONA 65, ROMA, 00156, ROMA, ITALY",IT00880281001,H-IT0009236252,Construction,Heavy construction (1629),Corporation,1950
371,Tirreno Power Spa,"STRADONE VIGLIENA 39, NAPOLI, 80146, NAPOLI, ITALY",IT07242841000,H-IT0074299816,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,1999
372,Eurospin Tirrenica Spa,"VIA DELLA CHIOCANA 3, MAGIONE, 06063, PERUGIA, ITALY",IT02049850544,H-IT0072309458,Retail Trade,Ret groceries (5411),Corporation,1994
373,Angelini Pharma Italia Aziende Chimiche Riunite Angelini Francesco A.c.r.a.f. Spa,"VIALE AMELIA 70, ROMA, 00181, ROMA, ITALY",IT01258691003,H-IT0011938420,Manufacturing,Mfg pharmaceutical preparations (2834),Corporation,1980
374,Electrade Spa,"VIA ARISTIDE NONIS 68/A, MAROSTICA, 36063, VICENZA, ITALY",IT03294530245,H-IT0007956770,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,2006
375,Cereal Docks Spa,"VIA DELL'INNOVAZIONE 1, CAMISANO VICENTINO, 36043, VICENZA, ITALY",IT02218040240,H-IT0075736667,Manufacturing,Mfg edible fats/oils (2079),Corporation,1991
376,Telecom Italia Sparkle Spa,"VIA DI MACCHIA PALOCCO 223, ROMA, 00125, ROMA, ITALY",IT05305181009,H-IT0073451940,"Transportation, Communications, Electric, Gas, and Sanitary Services",Telephone communications (4813),Corporation,1933
377,Agos-ducato Spa,"VIALE FULVIO TESTI 280, MILANO, 20126, MILANO, ITALY",IT08570720154,H-IT0037639927,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1986
378,Fercam Holding Srl,"VIA MARIE CURIE 2, BOLZANO, 39100, BOLZANO, ITALY",IT02937940217,H-IT0053646924,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2016
379,Prexta Spa In Forma Abbreviata Prexta Spa,"PALAZZO MEUCCI VIA FRANCESCO SFORZA, BASIGLIO, 20079, MILANO, ITALY",IT07551781003,H-IT0074379046,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,2003
380,Marelli Europe Spa,"VIALE ALDO BORLETTI 61/63, CORBETTA, 20011, MILANO, ITALY",IT08082990014,H-IT0050813986,Manufacturing,Mfg engine electrical equipment (3694),Corporation,1919
381,Coca-cola Hbc Italia Srl,"PIAZZA INDRO MONTANELLI 30, SESTO SAN GIOVANNI, 20099, MILANO, ITALY",IT12363410155,H-IT0009387420,Manufacturing,Mfg bottled/canned soft drinks (2086),Corporation,1998
382,Sonepar Italia Spa,"RIVIERA MAESTRI DEL LAVORO 24, PADOVA, 35127, PADOVA, ITALY",IT00825330285,H-IT0010621318,Wholesale Trade,Whol furniture (5021),Corporation,1978
383,Merck Serono Spa,"VIA CASILINA 125, ROMA, 00176, ROMA, ITALY",IT00880701008,H-IT0011101210,Manufacturing,Mfg pharmaceutical preparations (2834),Corporation,1906
384,Lottomatica Spa,"VIA DEGLI ALDOBRANDESCHI 300, ROMA, 00163, ROMA, ITALY",IT13917321005,H-IT0051529211,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2016
385,Fratelli Arena Srl,"CONTRADA MILOCCA SNC, ASSORO, 94010, ENNA, ITALY",IT00097560866,H-IT0033650578,Retail Trade,Ret groceries (5411),Corporation,1976
386,Yoox Net-a-porter Group Spa,"VIA NERIO NANNETTI 1, ZOLA PREDOSA, 40069, BOLOGNA, ITALY",IT02050461207,H-IT0075554402,Retail Trade,Ret mail-order house (5961),Corporation,2000
387,Almaviva - The Italian Innovation Company Spa,"VIA DI CASAL BOCCONE 188/190, ROMA, 00137, ROMA, ITALY",IT08450891000,H-IT0007704623,Services,Custom computer programming (7371),Corporation,2005
388,Almaviva Technologies Srl,"PIAZZA DEI SANTI APOSTOLI 66, ROMA, 00187, ROMA, ITALY",IT04819331002,H-IT0012248274,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,1994
389,Petronas Lubricants Italy Spa,"VIA SANTENA 1, VILLASTELLONE, 10029, TORINO, ITALY",IT05082750968,H-IT0072557230,Manufacturing,Petroleum refiner (2911),Corporation,1912
390,Adi Energia Srl,"VIALE CERTOSA 239, MILANO, 20151, MILANO, ITALY",IT10354910969,H-IT0061243132,"Transportation, Communications, Electric, Gas, and Sanitary Services",Electric services (4911),Corporation,2018
391,Amazon Italia Logistica Srl,"VIALE MONTE GRAPPA 3/5, MILANO, 20124, MILANO, ITALY",IT07231660965,H-IT0019964625,"Transportation, Communications, Electric, Gas, and Sanitary Services",Transportation services (4789),Corporation,2010
392,Credito Emiliano Spa,"VIA EMILIA SAN PIETRO 4, REGGIO EMILIA, 42121, REGGIO EMILIA, ITALY",IT00766790356,H-IT0068365128,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,1973
393,Deutsche Bank Spa,"PIAZZA DEL CALENDARIO 3, MILANO, 20126, MILANO, ITALY",IT01340740156,H-IT0009886419,"Finance, Insurance, and Real Estate",National commercial bank (6021),Corporation,1917
394,Bunge Italia Spa,"VIA BAIONA 203, RAVENNA, 48123, RAVENNA, ITALY",IT01532980388,H-IT0057316376,Manufacturing,Mfg edible fats/oils (2079),Corporation,2000
395,Enel Global Services Srl,"VIALE REGINA MARGHERITA 125, ROMA, 00198, ROMA, ITALY",IT15416261004,H-IT0216488695,Services,Computer related services (7379),Corporation,2019
396,Farvima Holding Srl,"VIA NAPOLI 220, CASANDRINO, 80025, NAPOLI, ITALY",IT01465051215,H-IT0069463166,"Finance, Insurance, and Real Estate",Misc business credit institutions (6159),Corporation,1989
397,Sogegross Spa,"LUNGOTORRENTE SECCA 3/A, GENOVA, 16163, GENOVA, ITALY",IT01226470993,H-IT0061847526,Wholesale Trade,Whol groceries (5149),Corporation,1986
398,Gruppo Arena Spa,"VIA GIUSEPPE MAZZINI 36, VALGUARNERA CAROPEPE, 94019, ENNA, ITALY",IT01213020868,H-IT0043684491,"Finance, Insurance, and Real Estate",Holding company (6719),Corporation,2014
399,Eni Angola Spa,"VIA EMILIA 1, SAN DONATO MILANESE, 20097, MILANO, ITALY",IT05782480965,H-IT0002561107,Mining,Crude petroleum/natural gas production (1311),Corporation,2007
400,Ferrovial Construcción S.a.,"FORO BUONAPARTE 67, MILANO, 20121, MILANO, ITALY",IT12400940156,H-IT0073073571,Construction,Highway/street construction (1611),Foreign Company,1999
