07-silvestri-employees_2022,00-avengers-number_of_employees,04-iGMM-number_of_employees,04-iGMM-world_rank__jan_07_2022,04-iGMM-world_rank__jan_2020
,,,"1,877",1766.0
,"8,600","8,906","1,878",2171.0
,"28,400","55,621","1,879",1015.0
,"24,934","20,681","1,880",1265.0
,"9,000","2,978","1,881",2573.0
,"238,000","238,000","1,882",2230.0
,"7,867","4,530","1,883",2798.0
,"2,992","3,770","1,884",1391.0
,"27,500",,"1,885",3548.0
,"14,484","19,200","1,886",1735.0
,,,"1,887",1795.0
,"19,200","14,484","1,888",1620.0
,,"27,500","1,889",2985.0
,"3,770","2,992","1,890",2904.0
,"4,530","7,867","1,891",2655.0
,"6,635","6,635","1,892",1522.0
,"28,000","47,000","1,893",2259.0
,"72,500","3,211","1,894",1484.0
,"6,800","5,556","1,895",2186.0
,"5,354",,"1,896",2312.0
,"40,216","40,216","1,897",1408.0
,,"5,354","1,898",1702.0
,"5,556","6,800","1,899",1847.0
,"3,211","72,500","1,900",1356.0
,"47,000","28,000","1,901",2232.0
,"1,463","1,463","1,902",4821.0
,,"23,000","1,903",2578.0
,"78,000","8,328","1,904",1488.0
,"5,273","12,501","1,905",1221.0
,"1,897",,"1,906",
,,"1,897","1,907",1780.0
,"1,916","1,916","1,908",
,"12,501","5,273","1,909",1351.0
,"8,328","78,000","1,910",2261.0
,"23,000",,"1,911",2671.0
,"4,000","4,000","1,912",1660.0
,,"12,100","1,913",2146.0
,,"14,500","1,914",2003.0
,,"32,000","1,915",1835.0
,"109,600","8,613","1,916",4844.0
,"8,613","109,600","1,917",1779.0
,"32,000",,"1,918",3490.0
,"14,500",,"1,919",1710.0
,"12,100",,"1,920",3097.0
,"21,000","26,950","1,921",1010.0
,"26,950","1,200","1,922",1871.0
,"9,892","48,031","1,923",1341.0
,"12,217",,"1,924",4885.0
,,"26,236","1,925",3110.0
,"12,757",94,"1,926",2328.0
,94,"12,757","1,927",1379.0
,"26,236",,"1,928",
,,"12,217","1,929",1593.0
,"48,031","9,892","1,930",1295.0
,"1,200","18,110","1,931",1456.0
,"18,110","4,500","1,931",1931.0
,"64,533","16,500","1,932",2337.0
,,"27,900","1,933",2286.0
,"4,049","21,600","1,934",1422.0
,,,"1,935",1886.0
,,,"1,936",1936.0
,"21,600","4,049","1,936",2966.0
,"27,900",,"1,937",
,"16,500","64,533","1,938",1563.0
,"4,500",,"1,939",2526.0
,"2,024",,"1,940",
,"7,500","45,849","1,941",1363.0
,,"11,111","1,942",775.0
,"6,500","41,663","1,943",2463.0
,"45,000","45,000","1,944",1058.0
,"41,663","6,500","1,945",1486.0
,"11,111",,"1,946",1883.0
,"45,849","7,500","1,947",1338.0
,,"2,024","1,948",2035.0
,,"13,117","1,949",2505.0
,"16,768",,"1,950",1321.0
,"20,173","18,000","1,951",2944.0
,375,"138,353","1,952",1672.0
,,"1,497","1,953",
,"16,800","16,800","1,954",1234.0
,"1,497",,"1,954",
,"138,353",375,"1,955",18420.0
,"18,000","20,173","1,956",2784.0
,,"16,768","1,957",4182.0
,"13,117","94,000","1,958",
,"94,000","2,260","1,959",1314.0
,"3,800",,"1,960",1820.0
,"19,719",,"1,961",1483.0
,,"3,441","1,962",1980.0
,"28,000",,"1,963",1438.0
,,"28,000","1,964",2324.0
,"3,441",,"1,965",2056.0
,,"19,719","1,966",1573.0
,,"3,800","1,967",2456.0
,"2,260","8,941","1,968",3659.0
,"8,941","18,232","1,969",2323.0
,"2,885","1,127","1,970",1670.0
,"12,821",,"1,971",6656.0
,"50,800","4,465","1,972",2425.0
,"17,336","9,114","1,973",1648.0
,"9,114","17,336","1,974",3168.0
,"4,465","50,800","1,975",3017.0
,,"12,821","1,976",2833.0
,"1,127","2,885","1,977",
,"18,232","24,831","1,978",2036.0
,"6,400","36,856","1,979",1714.0
,"5,800","4,907","1,980",2196.0
,"27,176",856,"1,981",4317.0
,"2,630","1,931","1,982",3463.0
,"7,110","7,110","1,983",3181.0
,"1,931","2,630","1,984",1219.0
,856,"27,176","1,985",1497.0
,"4,907","5,800","1,986",1616.0
,"36,856","6,400","1,987",2342.0
,"24,831","16,600","1,988",1965.0
,"16,600","6,150","1,989",3342.0
,"3,222","30,674","1,990",1051.0
,"2,368","4,500","1,991",1508.0
,40,117,"1,992",1718.0
,"62,939","62,939","1,993",4031.0
,"248,300","248,300","1,994",1397.0
,"4,500",40,"1,995",1993.0
,117,"2,368","1,996",2078.0
,"30,674","3,222","1,997",1617.0
,"6,150","14,600","1,998",2418.0
,"14,600","10,730","1,999",7567.0
,,"3,677","2,000",2228.0
,,"4,000","2,001",2780.0
,"61,000","34,700","2,002",1240.0
,"13,313","20,700","2,003",2073.0
,"20,700","13,313","2,004",1320.0
,"34,700","61,000","2,005",1935.0
,"4,000",,"2,006",
,"3,677",,"2,007",1788.0
,"10,730","66,275","2,008",2090.0
,"66,275",909,"2,009",2058.0
,648,"27,202","2,010",1459.0
,"17,000",,"2,011",7411.0
,"7,700","2,073","2,012",1791.0
,,"9,778","2,013",1624.0
,"9,778",,"2,014",
,"2,073","7,700","2,015",1875.0
,,"17,000","2,016",2321.0
,"27,202",648,"2,017",
,909,,"2,018",
,,,"2,019",
,"2,689","2,138","2,020",3124.0
,"5,752","13,134","2,021",1364.0
,,,"2,022",
,"1,070","260,000","2,023",1227.0
,"260,000","1,070","2,024",2666.0
,,,"2,025",2201.0
,"13,134","5,752","2,026",2050.0
,"2,138","2,689","2,027",4103.0
,,"23,700","2,028",2400.0
,"23,700","21,150","2,029",3579.0
,"15,600","52,576","2,030",1288.0
,"2,667",,"2,031",2282.0
,"13,303",,"2,032",
,400,,"2,033",7643.0
,,400,"2,034",
,,"13,303","2,035",2125.0
,,"2,667","2,036",1940.0
,"52,576","15,600","2,037",1840.0
,"21,150",,"2,037",2037.0
,,,"2,038",
,"5,000","17,611","2,039",2457.0
,"24,608","20,000","2,040",2059.0
,"4,800","4,059","2,041",
,,,"2,042",4889.0
,,,"2,043",1866.0
,"4,059","4,800","2,044",2368.0
,"20,000","24,608","2,045",2385.0
,"17,611","5,000","2,046",4298.0
,,"22,161","2,047",1785.0
,"22,161",965,"2,048",3297.0
,"4,000",,"2,049",2136.0
,,,"2,050",1214.0
,"1,373","4,567","2,051",1939.0
,713,"6,400","2,052",
,"6,400",713,"2,053",
,"4,567","1,373","2,054",2008.0
,,,"2,055",2157.0
,,"34,000","2,056",3844.0
,965,"55,255","2,057",2051.0
,"34,000","3,300","2,058",2099.0
,,,"2,059",
,"1,712",,"2,060",
,"24,769","4,000","2,061",1801.0
,"12,600","12,600","2,062",2237.0
,"4,000","24,769","2,063",1950.0
,,"1,712","2,064",2292.0
,,,"2,065",
,"3,300",200,"2,066",4453.0
,"55,255",,"2,067",2660.0
,200,"2,942","2,068",1659.0
,,"17,608","2,069",1534.0
,,"45,000","2,069",1869.0
,,"6,574","2,069",2069.0
,,,"2,069",2069.0
,"6,574",,"2,069",2069.0
,"45,000",,"2,069",2069.0
,"17,608",,"2,069",2069.0
,"2,942","4,700","2,069",2069.0
,,,"2,069",2069.0
,"4,700","5,932","2,070",2392.0
,,,"2,071",2906.0
,"3,600","1,610","2,072",1283.0
,,"4,406","2,073",1546.0
,"5,000","5,000","2,074",2541.0
,"4,406",,"2,075",2739.0
,"1,610","3,600","2,076",2662.0
,,,"2,077",1755.0
,"5,932",,"2,078",
,,,"2,079",6053.0
,,"6,114","2,080",1128.0
,"20,972",650,"2,081",1984.0
,,,"2,081",2081.0
,"10,197","58,263","2,082",1246.0
,"2,245","2,245","2,083",2159.0
,"58,263","10,197","2,084",1740.0
,,"20,972","2,085",
,650,,"2,086",1610.0
,"6,114","20,000","2,087",1678.0
,,"4,700","2,088",4921.0
,"20,000",,"2,089",2054.0
,"111,900","3,224","2,090",1072.0
,,"1,158","2,091",2388.0
,"1,892","12,868","2,092",1632.0
,29,29,"2,093",1693.0
,"12,868","1,892","2,094",5571.0
,"1,158",,"2,095",5335.0
,"3,224","111,900","2,096",2141.0
,,"5,500","2,097",1998.0
,"4,700","1,631","2,098",2358.0
,"5,500","13,836","2,099",1906.0
,"15,500",,"2,100",3457.0
,"6,580",,"2,101",2520.0
,"22,200",,"2,102",1596.0
,"35,455","35,455","2,103",1742.0
,,"22,200","2,104",1703.0
,,"6,580","2,105",1904.0
,,"15,500","2,106",2826.0
,"13,836",,"2,107",1381.0
,"1,631","34,000","2,108",1954.0
,,"4,200","2,109",2915.0
,,"4,553","2,110",2319.0
,"16,291","32,992","2,111",1929.0
,,"225,000","2,112",2131.0
,"9,000","9,000","2,113",2820.0
,"225,000",,"2,114",4358.0
,"32,992","16,291","2,115",1857.0
,"4,553",,"2,116",
,"4,200","23,000","2,117",1636.0
,"34,000",693,"2,118",4113.0
,"23,000","16,264","2,119",1942.0
,"81,631","290,000","2,120",
,,"18,307","2,121",2147.0
,552,"9,900","2,122",2191.0
,"1,803","1,803","2,123",2293.0
,"9,900",552,"2,124",1657.0
,"18,307",,"2,125",3509.0
,"290,000","81,631","2,126",1193.0
,"16,264","7,750","2,127",4193.0
,693,,"2,128",5583.0
,"7,750","6,400","2,129",
,"10,470","6,029","2,130",1759.0
,"13,351","1,460","2,131",2415.0
,,,"2,132",4327.0
,82,82,"2,133",2614.0
,,,"2,134",3957.0
,"1,460","13,351","2,135",2291.0
,"6,029","10,470","2,136",1353.0
,"6,400","19,597","2,137",2205.0
,,"31,850","2,138",1466.0
,"19,597","11,487","2,139",2348.0
,"7,600","6,296","2,140",
,"7,483","12,160","2,141",1212.0
,"5,227",,"2,142",554.0
,,,"2,143",2634.0
,,"5,227","2,144",3035.0
,"12,160","7,483","2,145",4258.0
,"6,296","7,600","2,146",1361.0
,"11,487",797,"2,147",4132.0
,"31,850","3,600","2,148",2029.0
,"3,382",,"2,149",2816.0
,"130,000","30,264","2,150",1471.0
,696,"4,705","2,151",1893.0
,,72,"2,152",1643.0
,72,,"2,153",2092.0
,"4,705",696,"2,154",
,"30,264","130,000","2,155",1579.0
,,"3,382","2,156",2359.0
,"3,600","7,861","2,157",1123.0
,797,,"2,158",2999.0
,"19,063",,"2,159",2646.0
,,800,"2,160",
,"1,500",,"2,161",1885.0
,,800,"2,162",
,800,,"2,163",2001.0
,,"1,500","2,164",3529.0
,800,,"2,165",4074.0
,,"19,063","2,166",4714.0
,,"4,998","2,167",1972.0
,"7,861","25,000","2,168",3141.0
,"4,998",,"2,169",3525.0
,"8,500","30,000","2,170",1797.0
,,"10,465","2,171",1945.0
,"20,203",,"2,172",4433.0
,"101,000","101,000","2,173",997.0
,,"20,203","2,174",1527.0
,"30,000",,"2,175",1549.0
,"10,465","8,500","2,176",1723.0
,,244,"2,177",1696.0
,"25,000","16,300","2,178",2106.0
,244,"1,620","2,179",1793.0
,"32,000","3,375","2,180",1727.0
,"21,000","3,934","2,181",2135.0
,,"11,000","2,182",2375.0
,"13,715","13,715","2,183",2042.0
,"11,000",,"2,184",2248.0
,"3,934","21,000","2,185",2848.0
,"3,375","32,000","2,186",2617.0
,"1,620","8,000","2,187",2371.0
,"16,300",,"2,188",2552.0
,"8,000",,"2,189",
,,"6,447","2,190",1674.0
,"12,773",,"2,191",3419.0
,"5,510","160,000","2,192",2223.0
,"11,430","11,430","2,193",1778.0
,"160,000","5,510","2,194",2272.0
,,"12,773","2,195",1764.0
,"6,447",,"2,196",3047.0
,,,"2,197",5547.0
,,"9,300","2,198",
,,"25,554","2,199",3019.0
,"2,231","42,000","2,200",1988.0
,"2,876",,"2,201",4996.0
,,,"2,202",2089.0
,867,867,"2,203",1748.0
,,,"2,204",2015.0
,,"2,876","2,205",1701.0
,"42,000","2,231","2,205",2205.0
,"25,554",,"2,206",3237.0
,"9,300",625,"2,207",2677.0
,,"33,681","2,208",1896.0
,"5,000",,"2,209",2209.0
,"130,716",,"2,209",2276.0
,"12,229",,"2,210",3089.0
,"13,000","13,000","2,211",2011.0
,,"12,229","2,212",1915.0
,,"130,716","2,213",1188.0
,,"5,000","2,214",2207.0
,"33,681","2,841","2,215",2728.0
,625,"19,000","2,216",4831.0
,"2,841","11,700","2,217",2719.0
,,"26,398","2,218",4655.0
,"35,653","13,546","2,219",1430.0
,"5,776",,"2,219",2219.0
,"5,182","5,182","2,220",2077.0
,,"5,776","2,221",2226.0
,"13,546","35,653","2,222",1427.0
,"26,398",,"2,222",2222.0
,"11,700",,"2,223",2460.0
,"19,000",365,"2,224",
,,"11,524","2,225",2238.0
,"127,000",,"2,226",2325.0
,,"10,500","2,227",2047.0
,"44,000","32,913","2,228",2206.0
,"9,211","9,211","2,229",2305.0
,"32,913","44,000","2,230",2335.0
,"10,500",,"2,231",1845.0
,,"127,000","2,232",2260.0
,"11,524","27,000","2,233",
,365,"6,000","2,234",1798.0
,"27,000","20,920","2,235",1264.0
,"1,479","7,300","2,235",2235.0
,,,"2,236",1822.0
,"21,973",50,"2,237",1589.0
,"9,476","9,476","2,238",1784.0
,50,"21,973","2,239",3914.0
,,,"2,240",5602.0
,"7,300","1,479","2,241",1698.0
,"20,920",,"2,242",11177.0
,"6,000","28,000","2,243",898.0
,,"102,000","2,244",3223.0
,"16,591",,"2,245",7773.0
,"5,000",,"2,246",2622.0
,"64,009","3,100","2,247",4891.0
,162,162,"2,248",2592.0
,"3,100","64,009","2,249",1971.0
,,"5,000","2,250",2957.0
,,"16,591","2,251",1417.0
,"102,000","15,000","2,252",2227.0
,"28,000","1,702","2,253",2410.0
,"15,000","28,000","2,254",1629.0
,"33,586","37,575","2,255",1874.0
,"2,070","50,000","2,256",
,"1,300","5,872","2,257",1499.0
,"5,872","1,300","2,258",5287.0
,"50,000","2,070","2,259",2570.0
,"37,575","33,586","2,260",1951.0
,,"23,637","2,261",1358.0
,"28,000","2,583","2,262",2301.0
,"1,702",,"2,263",4775.0
,"23,637","6,624","2,264",4164.0
,,"13,161","2,265",3640.0
,,"36,952","2,266",1604.0
,"17,160","13,006","2,267",3545.0
,"13,006","17,160","2,268",1769.0
,"36,952",,"2,269",2067.0
,"13,161",,"2,270",4498.0
,"6,624","10,000","2,271",2199.0
,,"1,602","2,272",2952.0
,"2,583","29,805","2,273",2245.0
,"10,000",,"2,273",2273.0
,,"11,208","2,274",1415.0
,"5,100",,"2,275",
,"13,500",,"2,276",1713.0
,,"13,500","2,277",1247.0
,,"5,100","2,278",2504.0
,"11,208",,"2,279",1418.0
,,"8,600","2,280",3091.0
,"29,805","88,857","2,281",2607.0
,"1,602",,"2,282",4807.0
,"8,600",,"2,283",1524.0
,"5,073","7,556","2,283",2024.0
,628,312,"2,284",9215.0
,"4,023","53,928","2,285",3103.0
,"53,928","4,023","2,286",1512.0
,312,628,"2,286",
,"7,556","5,073","2,287",1223.0
,,"3,500","2,288",1500.0
,,86,"2,289",3042.0
,"88,857","16,676","2,290",2079.0
,"3,500","12,292","2,291",1704.0
,"1,020","9,600","2,292",2133.0
,"18,848","39,000","2,293",2267.0
,530,"7,511","2,294",2478.0
,"7,511",530,"2,295",1559.0
,"39,000","18,848","2,296",3049.0
,"9,600","1,020","2,297",2510.0
,"12,292",,"2,298",1787.0
,"16,676",,"2,299",3462.0
,86,"14,542","2,300",3272.0
,,"1,026","2,301",2103.0
,"6,579","36,300","2,302",2811.0
,"5,836",,"2,303",5840.0
,"9,000","1,864","2,304",1922.0
,"1,864","9,000","2,305",2533.0
,,"5,836","2,306",1331.0
,"36,300","6,579","2,307",2991.0
,"1,026",,"2,308",
,"14,542","22,000","2,309",1564.0
,,,"2,310",1728.0
,,,"2,311",3722.0
,"44,000","9,050","2,312",3198.0
,,,"2,313",3316.0
,,"24,000","2,314",3279.0
,"24,000",,"2,315",1650.0
,,,"2,316",
,"9,050","44,000","2,317",1464.0
,,"16,272","2,318",2630.0
,,"18,582","2,319",2751.0
,"22,000","3,400","2,320",2236.0
,"16,272",,"2,321",
,,"3,006","2,322",2195.0
,"12,065",17,"2,323",2549.0
,"5,700",,"2,324",2548.0
,,"5,700","2,325",1955.0
,17,"12,065","2,326",1983.0
,"3,006",,"2,327",1916.0
,,"5,469","2,328",2506.0
,"3,400",509,"2,329",2031.0
,"18,582",604,"2,330",1731.0
,"5,469","27,960","2,331",2965.0
,501,"4,988","2,332",2424.0
,"25,800","4,711","2,333",2306.0
,"14,137","10,500","2,334",1374.0
,"10,500","14,137","2,335",2060.0
,"4,711","25,800","2,336",1686.0
,"4,988",501,"2,337",1776.0
,"27,960","6,525","2,338",2326.0
,604,,"2,339",2239.0
,509,"22,961","2,340",3832.0
,"6,525","41,000","2,341",977.0
,,"33,554","2,342",2018.0
,"27,003","14,000","2,343",2513.0
,"3,851",,"2,344",1934.0
,,"3,851","2,345",2663.0
,"14,000","27,003","2,346",1855.0
,"33,554",,"2,347",
,"41,000","1,774","2,348",2116.0
,"22,961","5,618","2,349",2274.0
,,"4,593","2,350",1773.0
,"1,774","7,044","2,351",3256.0
,"147,000","14,235","2,352",3475.0
,,"11,441","2,353",1789.0
,839,839,"2,354",3716.0
,846,846,"2,355",2041.0
,"14,235",,"2,356",2145.0
,"11,441","147,000","2,357",2706.0
,"7,044",,"2,358",2594.0
,"4,593","1,552","2,358",2358.0
,"5,618","4,101","2,358",2358.0
,,,"2,358",2358.0
,"20,636","1,596","2,358",2358.0
,,"5,245","2,358",2358.0
,"136,549",,"2,358",2358.0
,,"136,549","2,359",1775.0
,"5,245",,"2,360",2215.0
,"1,596","20,636","2,361",7032.0
,,277,"2,362",2061.0
,"4,101","1,667","2,363",2687.0
,"1,552","22,000","2,363",2363.0
,277,"110,300","2,364",1752.0
,"103,926",,"2,365",3241.0
,"15,000","38,000","2,366",3715.0
,,"224,280","2,367",2825.0
,"224,280","15,000","2,368",1996.0
,"38,000","103,926","2,369",1394.0
,,"1,196","2,370",1140.0
,"110,300","22,209","2,371",2462.0
,"22,000",,"2,372",2947.0
,"1,667","12,983","2,373",1824.0
,"1,196","1,500","2,374",2816.0
,,581,"2,375",
,"3,217","13,000","2,376",2508.0
,"71,044","71,044","2,377",2693.0
,"13,000","3,217","2,378",2423.0
,581,,"2,379",2322.0
,"1,500","5,961","2,380",1786.0
,"12,983","2,185","2,381",1680.0
,,,"2,382",4105.0
,"22,209","29,300","2,383",2076.0
,"5,961",70,"2,384",1630.0
,"21,077",,"2,385",1901.0
,"5,818",,"2,386",2857.0
,409,409,"2,387",1552.0
,,"5,818","2,388",1753.0
,,"21,077","2,389",4654.0
,70,,"2,390",2604.0
,"29,300","20,000","2,391",1919.0
,,,"2,392",2559.0
,"2,185",,"2,393",2128.0
,,"7,418","2,394",3598.0
,"11,600","17,000","2,395",2827.0
,"300,000",,"2,396",
,500,500,"2,397",1910.0
,,"300,000","2,398",2581.0
,"17,000","11,600","2,399",4546.0
,"7,418",840,"2,400",1576.0
,,"8,500","2,401",2961.0
,,,"2,402",2243.0
,"20,000",,"2,403",2801.0
,840,"37,975","2,404",1513.0
,"2,321",,"2,405",11260.0
,"4,000","3,030","2,406",3193.0
,"13,000","13,000","2,407",2016.0
,"3,030","4,000","2,408",4020.0
,,"2,321","2,409",1995.0
,"37,975","3,202","2,410",2271.0
,,"22,200","2,411",2984.0
,,,"2,412",2805.0
,"8,500","31,900","2,413",1192.0
,"3,202","13,100","2,414",2009.0
,"10,000","1,600","2,415",1903.0
,"2,147",,"2,416",
,,,"2,417",
,,"2,147","2,418",3387.0
,"1,600","10,000","2,419",2606.0
,"13,100","7,000","2,420",3711.0
,"31,900",,"2,421",
,,418,"2,422",2799.0
,"22,200","15,803","2,423",
,"7,000","16,094","2,424",2722.0
,,"20,300","2,425",2539.0
,"8,560","9,000","2,426",894.0
,"6,500","6,500","2,427",2917.0
,"9,000","8,560","2,428",2459.0
,"20,300",,"2,429",2277.0
,"16,094","1,100","2,430",1370.0
,"15,803",357,"2,431",2257.0
,418,"31,575","2,432",
,,"9,638","2,433",2168.0
,"1,100","1,402","2,434",2115.0
,,"31,600","2,435",2360.0
,,"37,205","2,436",2393.0
,"2,000","2,000","2,437",2905.0
,"37,205",,"2,438",2511.0
,"31,600",,"2,439",1724.0
,"1,402","21,723","2,440",3257.0
,"9,638","41,518","2,441",799.0
,"31,575",,"2,442",5044.0
,357,767,"2,443",2472.0
,"21,723","6,029","2,444",1476.0
,,"2,194","2,445",3799.0
,"2,000","63,360","2,446",2650.0
,,,"2,447",6439.0
,"63,360","2,000","2,448",2398.0
,"2,194",,"2,449",2615.0
,"6,029","2,709","2,450",1858.0
,767,,"2,451",1615.0
,,"309,084","2,452",2879.0
,"41,518",,"2,453",3239.0
,"2,709","103,598","2,454",1663.0
,"129,000","10,735","2,455",1917.0
,"23,000","1,357","2,456",4427.0
,"65,000","65,000","2,457",1270.0
,"1,357","23,000","2,458",2334.0
,"10,735","129,000","2,460",1963.0
,"103,598","6,919","2,461",1987.0
,,"17,475","2,462",3276.0
,"309,084",,"2,463",2989.0
,,"14,400","2,464",3712.0
,"6,919","18,444","2,465",2691.0
,"10,163","5,500","2,466",4225.0
,"11,200","11,700","2,467",2160.0
,,,"2,468",3519.0
,"11,700","11,200","2,469",2795.0
,"5,500","10,163","2,470",4536.0
,"18,444",,"2,471",4051.0
,"14,400",765,"2,472",
,,,"2,473",4115.0
,"17,475","4,100","2,474",1165.0
,,900,"2,475",1528.0
,"15,114",,"2,476",1834.0
,"13,067","339,716","2,477",18057.0
,"5,000","5,000","2,478",2569.0
,"339,716","13,067","2,479",1679.0
,,"15,114","2,480",3643.0
,900,"51,121","2,481",1803.0
,"4,100","9,520","2,482",1631.0
,,"12,881","2,483",2954.0
,765,"3,800","2,484",3587.0
,"9,085","58,000","2,485",4307.0
,"2,670","3,982","2,486",2316.0
,"7,848","23,365","2,487",1887.0
,"23,365","7,848","2,488",2366.0
,"3,982","2,670","2,489",4386.0
,"58,000","9,085","2,490",2197.0
,"3,800","3,704","2,491",2118.0
,"12,881","2,816","2,492",
,"9,520","4,227","2,493",1923.0
,"51,121",,"2,494",4948.0
,"3,704",783,"2,495",1882.0
,"108,316","3,300","2,496",
,,500,"2,497",1393.0
,,,"2,498",1388.0
,500,,"2,499",1851.0
,"3,300","108,316","2,500",5585.0
,783,"7,200","2,501",1985.0
,,"1,700","2,502",2971.0
,"4,227",,"2,503",1831.0
,"2,816",,"2,504",1473.0
,"7,200",,"2,505",5940.0
,"5,271","177,047","2,506",3921.0
,,,"2,507",2514.0
,"28,000","28,000","2,508",2785.0
,,,"2,509",3352.0
,"177,047","5,271","2,510",1859.0
,,,"2,511",848.0
,,,"2,512",4601.0
,,930,"2,513",7693.0
,"1,700",,"2,514",4256.0
,,,"2,515",1649.0
,,"22,833","2,516",1792.0
,,"17,736","2,517",2532.0
,"25,000","25,000","2,518",2729.0
,"17,736",,"2,518",2518.0
,"22,833",,"2,519",
,,"16,000","2,520",2263.0
,,"3,500","2,520",2520.0
,930,,"2,521",1999.0
,,"5,600","2,522",1639.0
,"16,000","3,128","2,523",4562.0
,"15,000","59,400","2,524",1839.0
,"245,472",,"2,525",5220.0
,,,"2,526",11074.0
,,"245,472","2,527",1556.0
,"59,400","15,000","2,528",2963.0
,"3,128","6,305","2,529",1325.0
,"5,600","58,415","2,530",1609.0
,,,"2,531",2556.0
,"3,500",,"2,532",2442.0
,"6,305",,"2,533",20722.0
,"5,100",,"2,534",4820.0
,,"3,800","2,535",
,"3,800",,"2,536",
,,"5,100","2,537",3484.0
,,,"2,537",
,,,"2,538",3070.0
,,,"2,539",2902.0
,,"5,360","2,540",1461.0
,"58,415",,"2,541",4324.0
,,"1,023","2,542",1865.0
,"18,297","8,800","2,543",2427.0
,"24,540","50,834","2,544",550.0
,"49,000","49,000","2,545",2665.0
,"50,834","24,540","2,546",5211.0
,"8,800","18,297","2,547",1661.0
,"1,023","6,253","2,548",1819.0
,,"117,830","2,549",
,"5,360","33,340","2,550",2450.0
,,"8,951","2,551",2336.0
,"6,253","19,744","2,552",2710.0
,,"1,071","2,553",
,,,"2,554",2417.0
,"48,000","48,000","2,555",2049.0
,,,"2,556",9074.0
,"1,071",,"2,557",3803.0
,"19,744",784,"2,558",4805.0
,"8,951","30,000","2,559",1258.0
,"33,340","9,059","2,560",3998.0
,"117,830","30,179","2,561",1907.0
,784,"1,895","2,562",3088.0
,,"1,616","2,562",2562.0
,"13,500","9,693","2,563",2659.0
,"9,612","9,612","2,564",3506.0
,"9,693","13,500","2,565",3128.0
,"1,616",,"2,566",2647.0
,"1,895",,"2,567",3750.0
,"30,179","4,742","2,568",5861.0
,"9,059","22,000","2,569",4745.0
,"30,000","147,000","2,570",2213.0
,,,"2,571",1947.0
,924,"129,000","2,572",2134.0
,"4,500",,"2,573",1729.0
,"22,654","22,654","2,574",1451.0
,,"4,500","2,575",3976.0
,"129,000",924,"2,576",7559.0
,,"31,530","2,577",2244.0
,"147,000","104,739","2,578",1992.0
,"22,000",,"2,579",2762.0
,"4,742",,"2,580",1962.0
,"31,530",,"2,581",3418.0
,"122,000","3,730","2,582",4200.0
,,"5,600","2,583",
,"2,245","2,245","2,584",2414.0
,"5,600",,"2,585",3212.0
,"3,730","122,000","2,586",1881.0
,,"8,578","2,587",2233.0
,,,"2,588",3638.0
,,497,"2,589",
,"104,739","3,782","2,590",
,"8,578","34,000","2,591",2778.0
,"4,353","10,500","2,592",3253.0
,"10,714","1,896","2,593",2074.0
,"8,599","8,599","2,594",2119.0
,"1,896","10,714","2,595",3661.0
,"10,500","4,353","2,596",2064.0
,"34,000",,"2,597",2200.0
,"3,782","7,644","2,598",2383.0
,497,53,"2,599",2246.0
,,"4,400","2,600",3099.0
,,"38,181","2,601",1860.0
,"31,514","1,284","2,602",3210.0
,270,,"2,603",5969.0
,482,482,"2,604",1964.0
,,270,"2,605",2599.0
,"1,284","31,514","2,606",3819.0
,"38,181","15,622","2,607",4112.0
,"4,400",,"2,608",9868.0
,53,"14,193","2,609",1745.0
,"7,644",,"2,610",
,"15,622","4,541","2,611",2218.0
,"2,600","14,900","2,612",3755.0
,"12,000","75,000","2,613",2096.0
,"6,080","6,080","2,614",2288.0
,"75,000","12,000","2,615",2290.0
,"14,900","2,600","2,616",2863.0
,"4,541",,"2,617",3810.0
,,,"2,618",1647.0
,"14,193","1,179","2,619",6262.0
,,,"2,620",9364.0
,,,"2,621",2503.0
,"3,559","18,637","2,622",3399.0
,70,"1,753","2,623",3260.0
,"2,050","2,050","2,624",3665.0
,"1,753",70,"2,624",4245.0
,"18,637","3,559","2,625",3054.0
,,"11,383","2,626",5772.0
,,,"2,627",3553.0
,"1,179","15,000","2,628",5109.0
,,,"2,629",2140.0
,"11,383","5,860","2,630",3775.0
,"5,085",,"2,631",1852.0
,,,"2,632",2249.0
,"25,000","25,000","2,633",2404.0
,,,"2,634",2791.0
,,"5,085","2,635",3132.0
,"5,860","11,687","2,636",2080.0
,,"7,600","2,637",2390.0
,"15,000",,"2,638",
,,,"2,639",
,"11,687",,"2,640",
,,"2,300","2,641",3328.0
,"33,730","28,000","2,642",2979.0
,,,"2,643",2718.0
,"28,000","33,730","2,644",1800.0
,"2,300",,"2,645",2645.0
,,,"2,645",
,,"24,000","2,646",3147.0
,,"22,514","2,647",1888.0
,"7,600","4,265","2,647",2065.0
,,"4,990","2,648",2723.0
,"10,352","2,315","2,649",3216.0
,"5,391","1,900","2,650",2033.0
,,,"2,651",1900.0
,"1,900","5,391","2,652",2741.0
,"2,315","10,352","2,653",2430.0
,"4,990","1,452","2,654",5315.0
,"4,265",28,"2,655",1849.0
,"22,514","8,800","2,656",1747.0
,"24,000","21,100","2,657",1485.0
,"1,452",701,"2,658",3924.0
,,"3,934","2,659",2542.0
,"5,500","333,000","2,660",3937.0
,,,"2,661",2661.0
,"333,000","5,500","2,661",3863.0
,"3,934",,"2,662",3079.0
,701,,"2,663",2648.0
