07-silvestri-employees_2022,00-avengers-number_of_employees,04-iGMM-number_of_employees,04-iGMM-world_rank__jan_07_2022,04-iGMM-world_rank__jan_2020
"19,169","43,000","13,716",163,326.0
"142,150","12,100","400,000",163,163.0
"29,378","300,000","59,426",164,174.0
"66,674","90,640","32,721",165,157.0
"5,054","6,000","14,100",166,329.0
"9,813","2,495","79,000",167,143.0
"26,000","226,291","224,300",168,905.0
"311,269","224,300","226,291",169,150.0
"14,802","79,000","2,495",170,650.0
"84,000","14,100","6,000",171,127.0
"19,498","32,721","90,640",171,395.0
"33,200","59,426","300,000",171,171.0
"15,016","14,400","190,000",172,160.0
"19,933","288,481","68,796",173,122.0
"383,233","55,000","157,000",174,252.0
"2,653","21,245","155,000",174,174.0
"171,450","152,000","49,370",175,202.0
"114,042","49,370","152,000",176,222.0
"15,500","155,000","21,245",177,184.0
"13,876","157,000","55,000",178,116.0
"8,771","68,796","288,481",179,209.0
"40,010","190,000","14,400",180,140.0
"48,770","1,800","151,017",181,187.0
"22,000","52,641","320,000",182,162.0
"94,000","22,604","24,700",183,319.0
"15,900","14,479","89,488",184,178.0
,"89,488","14,479",185,441.0
"36,597","24,700","22,604",186,191.0
"90,500","320,000","52,641",187,155.0
"99,700","151,017","1,800",188,2187.0
781,"32,424","31,000",189,175.0
"3,073","31,000","32,424",190,1071.0
"12,489","17,400","149,239",191,221.0
,"3,795","61,626",192,245.0
"13,000","20,919","295,371",193,193.0
"9,591","285,555","34,760",194,316.0
"23,293","5,000","67,000",195,171.0
"20,465","67,000","5,000",196,217.0
"14,508","34,760","285,555",197,129.0
"17,373","295,371","20,919",198,234.0
"46,000","61,626","3,795",199,186.0
"37,960","149,239","17,400",200,200.0
"1,395","114,000","81,000",200,233.0
"31,700","13,334","232,000",200,200.0
"22,000","27,605","11,200",201,142.0
"128,000","29,300","58,786",202,125.0
"236,386","4,370","52,000",203,299.0
"20,000","52,000","4,370",204,166.0
"18,000","58,786","29,300",205,263.0
355,"11,200","27,605",206,180.0
"18,515","232,000","13,334",207,386.0
"6,527","81,000","114,000",207,
"64,016","20,054","66,438",208,141.0
"55,000","384,065","194,527",209,211.0
"1,566","40,000","4,077",210,231.0
"30,300","235,000","132,700",211,169.0
"17,512",,"571,974",212,298.0
"1,996","571,974",,212,
"32,200","132,700","235,000",213,278.0
"8,006","4,077","40,000",214,282.0
"528,748","194,527","384,065",215,130.0
"12,236","66,438","20,054",216,333.0
