00-avengers-ceo,02-GioPonSpiz-ceo,03-gren-ceo,04-iGMM-ceo,07-silvestri-ceo,08-slytherin-ceo
jim umpleby,,arvind krishna,arvind krishna,johan thijs,jim umpleby
tom bartlett,,jakob stausholm,jakob stausholm,alison rose,john c. may
ivan menezes,john c. may,john c. may,john c. may,borje ekholm,arvind krishna
lee yuan siong,craig h. barratt ,gary s guthart,gary s guthart,dimitri de vreeze,dominic barton bmm
matt comyn,,sashidhar jagdishan,sashidhar jagdishan,jean-bernard levy,james d. taiclet jr.
douglas l. peterson,hamid moghadam,hamid moghadam,hamid moghadam,henrik ehrnrooth,martin barrington
alexey miller,fred luddy,bill mcdermott,bill mcdermott,brendan horgan,hamid moghadam
thomas m. rutledge,,h. lawrence culp jr,h. lawrence culp jr,kjerstin braathen,yang mingsheng
michel doukeris,navneet kapoor,brian cornell,brian cornell,catherine macgregor,navneet kapoor
dairen lin,,dame emma walmsley,dame emma walmsley,carsten knobel,viktor zubkov
dame emma walmsley,yang mingsheng,dairen lin,dairen lin,andrea orcel,thomas m. rutledge
brian cornell,,michel doukeris,michel doukeris,pekka lundmark,jonathan symonds
h. lawrence culp jr,thomas m. rutledge,thomas m. rutledge,thomas m. rutledge,stefan widing,richard e. thornburgh
bill mcdermott,viktor zubkov,alexey miller,alexey miller,frans muller,fred luddy
hamid moghadam,richard e. thornburgh,douglas l. peterson,douglas l. peterson,leonhard birnbaum,h. lawrence culp jr
,,jean-pascal tricoire,jean-pascal tricoire,kristian villumsen,tim buckley
guillaume faury,,,,tobias martinez gimeno,not found
brian chesky,tim buckley,,,nico delvaux,jean-pascal tricoire
gail koziara boudreaux,ryan lance,ryan lance,ryan lance,frans van houten,elizabeth e. tallett
sanjay mehrotra,richard qiangdong liu,liu qiangdong,liu qiangdong,philippe donnet,rene obermann
liu qiangdong,robert e. switz,sanjay mehrotra,sanjay mehrotra,bhavesh v. patel,charles g. koch
ryan lance,elizabeth e. tallett,gail koziara boudreaux,gail koziara boudreaux,,ryan lance
,brian chesky,brian chesky,brian chesky,jan jenisch,brian chesky
,,guillaume faury,guillaume faury,helena helmersson,robert e. switz
jean-pascal tricoire,charles g. koch,,,luis maroto,richard qiangdong liu
carlos a. rodriguez,zhang yiming,,,lakshmi mittal,oliver bate
francois-henri pinault,forrest li,forrest li,forrest li,guillaume daniellot,forrest li
motoyuki ii,mike roman,mike roman,mike roman,hans dieter potsch,zhang yiming
jun sawada,,oliver bate,oliver bate,,satoshi miura
belen garijo,,salil parekh,salil parekh,francisco miguel reynes massanet,motoyuki ii
salil parekh,,belen garijo,belen garijo,florent menegaux,belen garijo
oliver bate,satoshi miura,jun sawada,jun sawada,benoit coquart,arthur f. weinbach
mike roman,motoyuki ii,motoyuki ii,motoyuki ii,dieter weisskopf,francois-henri pinault 
forrest li,,francois-henri pinault,francois-henri pinault,johan torgeby,mike roman
,arthur f. weinbach,carlos a. rodriguez,carlos a. rodriguez,theodor weimer,n.r. narayana murthy
glenn d. fogel,robert j. mylod jr,glenn d. fogel,glenn d. fogel,ken murphy,marta ortega
,juan ramón alaix,juan ramón alaix,juan ramón alaix,gerteric lindquist,paul perreault
waleed a. al-mogbel,kevin a. lobo,kevin a. lobo,kevin a. lobo,christian mumenthaler,stefan hartung
paul perreault,marillyn hewson,james d. taiclet,james d. taiclet,christian sewing,marillyn hewson
bernard looney,marta ortega,pablo isla,pablo isla,helena hedblom,abdullah bin sulaiman
jim farley,william clay ford jr.,jim farley,jim farley,urs schaeppi,kevin a. lobo
pablo isla,,bernard looney,bernard looney,carl hess,robert j. mylod jr
james d. taiclet,,paul perreault,paul perreault,christian buhl,juan ramón alaix
