07-silvestri-market_value_jan_2020,03-gren-annual_net_income_usd,04-iGMM-market_value__jan_1st_2020,03-gren-annual_revenue_usd
doll_26.3 m,doll_12.2 b,doll_6.58 m,doll_18.47 b
doll_14.47 m,doll_8.54 b,doll_70.06 m,doll_40.96 b
doll_23.66 m,doll_813.0 m,doll_14.54 m,doll_7.77 b
doll_19.8 m,doll_4.16 b,doll_58.28 m,doll_49.97 b
doll_10.63 m,doll_1.86 b,doll_54.38 m,doll_19.94 b
doll_12.9 m,0.0,0,doll_43.0 b
doll_28.36 m,doll_2.15 b,doll_45.1 m,doll_19.91 b
doll_15.77 m,doll_2.83 b,doll_70.86 m,doll_25.71 b
doll_27.1 m,doll_1.1 b,doll_58.92 m,doll_6.34 b
doll_14.55 m,doll_11.26 b,doll_90.33 m,0.0
doll_17.39 m,doll_3.78 b,doll_56.45 m,doll_12.52 b
doll_23.83 m,doll_5.86 b,doll_66.91 m,doll_22.58 b
doll_9.09 m,0.0,doll_62.84 m,doll_16.08 b
doll_6.72 m,doll_3.14 b,doll_56.53 m,doll_19.82 b
doll_21.92 m,0.0,0,doll_38.1 b
doll_22.58 m,doll_4.94 b,doll_80.85 m,doll_37.6 b
doll_26.62 m,doll_-12463.0 m,doll_93.51 m,doll_45.4 b
doll_26.75 m,doll_1.9 b,doll_47.67 m,doll_19.83 b
doll_22.77 m,doll_2.64 b,doll_72.37 m,doll_4.69 b
doll_25.46 m,doll_-496.0 m,doll_51.58 m,doll_17.45 b
doll_12.97 m,doll_3.91 b,doll_68.53 m,doll_25.1 b
doll_22.22 m,doll_3.38 b,doll_39.41 m,0.0
doll_13.8 m,doll_572.0 m,0,doll_85.8 b
doll_15.32 m,doll_3.12 b,doll_82.06 m,doll_94.86 b
doll_10.13 m,doll_10.86 b,doll_60.81 m,doll_31.82 b
doll_10.16 m,doll_3.82 b,doll_56.89 m,doll_8.1 b
doll_23.87 m,doll_8.47 b,doll_71.9 m,doll_38.53 b
doll_18.59 m,doll_5.57 b,doll_47.72 m,doll_90.08 b
doll_9.2 m,doll_1.69 b,0,doll_12.18 b
doll_22.07 m,doll_6.96 b,doll_49.82 m,doll_58.75 b
doll_15.04 m,doll_1.9 b,doll_49.33 m,doll_11.65 b
doll_4.85 m,doll_10.47 b,doll_88.38 m,doll_398.86 b
doll_15.77 m,doll_23.95 b,doll_43.99 m,doll_5.46 b
doll_30.74 m,doll_5.37 b,doll_77.76 m,doll_174.27 b
doll_18.07 m,doll_2.69 b,doll_57.75 m,doll_14.46 b
doll_18.42 m,doll_-425.0 m,doll_29.85 m,doll_1.94 b
doll_12.05 m,doll_1.5 b,doll_48.84 m,doll_5.23 b
doll_15.61 m,doll_1.11 b,doll_58.44 m,doll_6.53 b
doll_15.92 m,doll_-4688.0 m,0,doll_55.0 m
doll_13.64 m,doll_4.55 b,doll_53.28 m,doll_28.95 b
doll_5.6 m,doll_7.95 b,doll_78.0 m,doll_78.85 b
doll_14.49 m,doll_517.0 m,doll_24.98 m,doll_6.61 b
doll_17.35 m,doll_4.06 b,doll_51.6 m,doll_9.17 b
