07-silvestri-market_value_jan_2020,03-gren-annual_net_income_usd,04-iGMM-market_value__jan_1st_2020,03-gren-annual_revenue_usd
,doll_145.0 m,doll_4.24 m,doll_1.19 b
,doll_1.38 b,doll_1.31 m,doll_1.32 b
,doll_391.0 m,doll_2.29 m,doll_5.97 b
,doll_430.0 m,0,doll_5.4 b
,doll_200.0 m,doll_1.7 m,doll_2.26 b
,doll_96.0 m,doll_9.48 m,doll_1.51 b
,doll_65.0 m,doll_3.96 m,doll_2.11 b
,doll_45.0 m,doll_3.06 m,doll_1.03 b
,doll_66.0 m,doll_5.51 m,doll_594.0 m
,doll_482.0 m,doll_4.96 m,doll_561.0 m
,doll_143.0 m,doll_2.75 m,doll_812.0 m
,doll_1.93 b,doll_4.51 m,doll_10.66 b
,doll_444.0 m,doll_2.29 m,doll_2.33 b
,doll_703.0 m,doll_0.84 m,doll_9.56 b
,doll_-364.0 m,doll_4.98 m,doll_1.92 b
,0.0,doll_2.37 m,0.0
,0.0,doll_1.95 m,0.0
,doll_122.0 m,doll_3.61 m,doll_1.63 b
,0.0,doll_3.31 m,doll_2.18 b
,doll_22.0 m,doll_2.47 m,doll_652.0 m
,doll_142.0 m,doll_3.21 m,doll_3.89 b
,doll_114.0 m,doll_5.59 m,doll_1.12 b
,doll_163.0 m,doll_2.39 m,doll_1.83 b
,doll_98.0 m,doll_7.92 m,doll_1.25 b
,doll_172.0 m,0,doll_1.13 b
,doll_76.0 m,doll_2.69 m,doll_5.83 b
,doll_113.0 m,doll_5.39 m,doll_1.36 b
,doll_348.0 m,0,doll_2.74 b
,doll_194.0 m,doll_0.94 m,doll_2.63 b
,doll_211.0 m,doll_3.4 m,doll_3.94 b
,doll_182.0 m,0,doll_8.13 b
,doll_131.0 m,doll_3.98 m,doll_337.0 m
,doll_15.0 m,doll_1.11 m,doll_2.16 b
,doll_184.0 m,doll_3.08 m,doll_331.0 m
,doll_69.0 m,doll_8.5 m,doll_226.0 m
,0.0,doll_4.75 m,0.0
,doll_667.0 m,doll_3.04 m,doll_709.0 m
,doll_420.0 m,doll_4.5 m,doll_1.27 b
,doll_42.0 m,doll_3.89 m,doll_125.0 m
,doll_451.0 m,doll_2.61 m,doll_436.0 m
,doll_327.0 m,doll_6.04 m,doll_2.83 b
,doll_313.0 m,doll_5.36 m,doll_3.19 b
,doll_1.01 b,doll_4.35 m,doll_10.06 b
,doll_-946.0 m,0,doll_4.16 b
,doll_255.0 m,doll_0.58 m,doll_500.0 m
,doll_151.0 m,doll_9.48 m,doll_488.0 m
,doll_211.0 m,doll_1.24 m,doll_2.19 b
,doll_225.0 m,doll_3.72 m,doll_1.91 b
,doll_164.0 m,0,doll_2.64 b
,doll_58.0 m,doll_1.33 m,doll_1.4 b
,doll_53.0 m,doll_3.05 m,doll_231.0 m
,doll_682.0 m,doll_2.67 m,doll_13.11 b
,doll_476.0 m,doll_4.38 m,doll_297.0 m
,doll_136.0 m,doll_3.57 m,doll_1.39 b
,doll_182.0 m,doll_3.28 m,doll_799.0 m
,doll_528.0 m,doll_1.11 m,doll_1.09 b
,doll_183.0 m,doll_1.33 m,doll_2.28 b
,doll_968.0 m,0,doll_5.1 b
,doll_108.0 m,doll_0.64 m,doll_247.0 m
,doll_-135.0 m,doll_4.13 m,doll_1.03 b
,doll_9.0 m,doll_7.0 m,doll_510.0 m
,doll_38.0 m,0,doll_806.0 m
,doll_-35.0 m,doll_3.0 m,doll_698.0 m
,doll_-50.0 m,doll_2.33 m,doll_318.0 m
,doll_122.0 m,doll_1.59 m,doll_616.0 m
,doll_188.0 m,doll_6.7 m,doll_965.0 m
,doll_236.0 m,doll_3.6 m,doll_1.35 b
,doll_327.0 m,doll_4.43 m,doll_132.0 m
,doll_211.0 m,doll_5.39 m,doll_583.0 m
,0.0,doll_4.16 m,0.0
,doll_120.0 m,doll_6.6 m,doll_1.15 b
,doll_672.0 m,doll_2.58 m,doll_2.03 b
,doll_561.0 m,0,doll_2.87 b
,doll_1.75 b,doll_2.91 m,doll_3.79 b
,doll_189.0 m,0,doll_3.29 b
,doll_397.0 m,0,doll_1.24 b
,doll_-32.0 m,doll_3.95 m,doll_1.56 b
,doll_449.0 m,doll_0.64 m,doll_3.29 b
,doll_101.0 m,doll_4.75 m,doll_1.3 b
,doll_430.0 m,0,doll_1.35 b
,doll_29.0 m,doll_3.77 m,doll_332.0 m
,0.0,doll_3.58 m,0.0
,doll_305.0 m,doll_4.77 m,doll_13.51 b
,doll_76.0 m,doll_5.9 m,doll_379.0 m
,doll_-182.0 m,0,doll_464.0 m
,doll_64.0 m,0,doll_129.0 m
,doll_649.0 m,doll_2.63 m,doll_5.36 b
,doll_585.0 m,doll_2.89 m,doll_15.29 b
,doll_278.0 m,doll_10.36 m,doll_1.62 b
,doll_283.0 m,doll_2.14 m,doll_1.36 b
,doll_476.0 m,doll_2.65 m,doll_485.0 m
,doll_-310.0 m,doll_1.98 m,doll_965.0 m
,doll_-88.0 m,doll_7.39 m,doll_369.0 m
,doll_94.0 m,doll_4.04 m,doll_1.11 b
,doll_453.0 m,doll_0.57 m,doll_3.83 b
,doll_182.0 m,doll_0.76 m,doll_8.13 b
,doll_412.0 m,doll_6.02 m,doll_6.73 b
,doll_-74.0 m,doll_12.27 m,doll_1.76 b
,doll_1.25 b,doll_2.94 m,doll_24.44 b
,doll_173.0 m,doll_4.38 m,doll_2.67 b
,doll_8.0 m,doll_3.96 m,doll_585.0 m
,doll_204.0 m,doll_3.39 m,doll_872.0 m
,doll_24.0 m,doll_1.72 m,doll_119.0 m
,doll_-690.0 m,doll_3.21 m,0.0
,doll_24.0 m,doll_3.23 m,doll_75.58 b
,doll_345.0 m,doll_2.7 m,doll_4.38 b
,doll_45.0 m,doll_6.3 m,doll_786.0 m
,doll_48.0 m,0,doll_527.0 m
,doll_150.0 m,doll_3.98 m,doll_6.58 b
,doll_49.0 m,doll_3.98 m,doll_117.0 m
,doll_186.0 m,doll_1.94 m,doll_7.71 b
,doll_146.0 m,doll_5.66 m,doll_282.0 m
,doll_540.0 m,doll_3.45 m,doll_14.88 b
,doll_-174.0 m,doll_2.26 m,doll_2.62 b
,0.0,doll_2.59 m,0.0
,doll_-112.0 m,doll_2.03 m,doll_498.0 m
,doll_44.0 m,doll_8.57 m,doll_385.0 m
,doll_18.0 m,doll_1.92 m,doll_933.0 m
,doll_214.0 m,doll_3.62 m,doll_3.18 b
,doll_55.0 m,doll_1.58 m,doll_128.0 m
,doll_150.0 m,doll_1.06 m,doll_1.51 b
,doll_-746.0 m,doll_4.72 m,doll_66.0 m
,doll_-28.0 m,doll_0.86 m,doll_810.0 m
,doll_105.0 m,doll_2.68 m,doll_417.0 m
,doll_112.0 m,doll_4.03 m,doll_1.46 b
,doll_365.0 m,doll_3.71 m,doll_1.54 b
,doll_43.0 m,doll_2.48 m,doll_341.0 m
,doll_-1.0 m,doll_1.75 m,doll_776.0 m
,doll_76.0 m,doll_2.6 m,doll_847.0 m
,doll_245.0 m,doll_1.23 m,doll_8.92 b
,doll_248.0 m,0,doll_1.28 b
,doll_2.0 m,doll_4.02 m,doll_14.0 m
,doll_1.14 b,doll_2.66 m,doll_1.11 b
,doll_68.0 m,doll_3.71 m,doll_390.0 m
,doll_102.0 m,doll_4.99 m,doll_3.79 b
,doll_148.0 m,doll_4.05 m,doll_875.0 m
,doll_191.0 m,doll_3.84 m,doll_965.0 m
,doll_512.0 m,doll_2.81 m,doll_5.67 b
,doll_176.0 m,0,doll_959.0 m
,doll_13.0 m,doll_3.45 m,doll_1.19 b
,doll_321.0 m,doll_2.36 m,doll_6.24 b
,doll_636.0 m,doll_2.67 m,doll_600.0 m
,doll_62.0 m,doll_2.89 m,doll_663.0 m
,doll_89.0 m,doll_4.46 m,doll_1.29 b
,doll_717.0 m,doll_5.44 m,doll_763.0 m
,doll_124.0 m,doll_4.83 m,doll_4.97 b
,doll_94.0 m,doll_2.95 m,doll_603.0 m
,doll_153.0 m,doll_0.51 m,doll_1.66 b
,doll_474.0 m,0,doll_14.59 b
,doll_-71.0 m,doll_4.32 m,doll_1.69 b
,doll_75.0 m,doll_5.22 m,doll_16.51 b
,doll_155.0 m,doll_2.63 m,doll_1.63 b
,doll_313.0 m,0,doll_835.0 m
,doll_41.0 m,doll_2.71 m,doll_170.0 m
,doll_179.0 m,0,doll_790.0 m
,doll_189.0 m,doll_8.04 m,doll_1.59 b
,doll_304.0 m,doll_4.94 m,doll_1.42 b
,doll_435.0 m,0,doll_2.86 b
,doll_79.0 m,doll_4.0 m,doll_2.09 b
,0.0,doll_6.05 m,0.0
,doll_189.0 m,doll_3.95 m,doll_3.07 b
,doll_9.0 m,0,doll_276.0 m
,doll_-455.0 m,doll_1.56 m,doll_7.04 b
,doll_206.0 m,doll_1.17 m,doll_1.81 b
,doll_-25.0 m,doll_4.6 m,doll_1.58 b
,doll_893.0 m,doll_4.88 m,doll_8.96 b
,doll_538.0 m,doll_3.89 m,doll_6.32 b
,doll_84.0 m,doll_1.85 m,doll_2.38 b
,doll_2.93 b,doll_3.5 m,doll_123.63 b
,doll_169.0 m,0,doll_715.0 m
,doll_874.0 m,doll_4.0 m,doll_2.1 b
,doll_120.0 m,doll_3.38 m,doll_547.0 m
,doll_541.0 m,doll_3.15 m,doll_3.44 b
,doll_106.0 m,doll_3.23 m,doll_755.0 m
,doll_81.0 m,doll_0.72 m,doll_412.0 m
,doll_85.0 m,doll_1.57 m,doll_1.39 b
,doll_-282.0 m,doll_5.21 m,doll_7.69 b
,doll_455.0 m,doll_1.79 m,doll_4.8 b
,doll_441.0 m,doll_7.72 m,doll_1.14 b
,doll_271.0 m,doll_9.42 m,doll_503.0 m
,doll_123.0 m,doll_2.91 m,doll_1.57 b
,doll_81.0 m,doll_3.6 m,doll_3.77 b
,doll_5.0 m,doll_4.26 m,doll_151.0 m
,doll_128.0 m,doll_13.83 m,doll_4.96 b
,doll_43.0 m,doll_3.4 m,doll_261.0 m
,doll_535.0 m,doll_2.3 m,doll_8.01 b
,doll_926.0 m,doll_3.06 m,doll_23.95 b
,doll_519.0 m,doll_4.68 m,doll_9.66 b
,doll_887.0 m,doll_3.16 m,doll_103.01 b
,doll_-1081.0 m,doll_2.94 m,doll_4.95 b
,doll_-660.0 m,doll_4.87 m,doll_1.49 b
,doll_343.0 m,0,doll_4.38 b
,doll_158.0 m,doll_6.8 m,doll_1.14 b
,doll_-546.0 m,doll_3.68 m,doll_6.65 b
,doll_325.0 m,doll_1.94 m,doll_2.46 b
,doll_62.0 m,doll_2.92 m,doll_1.01 b
,doll_45.0 m,doll_3.12 m,doll_367.0 m
,doll_339.0 m,doll_2.01 m,doll_3.49 b
,doll_-75.0 m,doll_9.96 m,doll_366.0 m
,doll_436.0 m,doll_3.31 m,doll_5.49 b
,doll_189.0 m,0,doll_620.0 m
,doll_336.0 m,doll_3.72 m,doll_750.0 m
,doll_159.0 m,doll_2.13 m,doll_1.03 b
,doll_189.0 m,0,doll_3.0 b
,doll_-100.0 m,doll_3.49 m,doll_243.0 m
,doll_313.0 m,doll_3.95 m,doll_1.05 b
,doll_167.0 m,0,doll_2.9 b
,doll_-734.0 m,doll_0.55 m,doll_-730.0 m
,doll_88.0 m,doll_1.3 m,doll_1.7 b
,doll_-61.0 m,doll_5.08 m,doll_438.0 m
,doll_487.0 m,doll_6.77 m,doll_1.48 b
,doll_83.0 m,doll_4.48 m,doll_457.0 m
,doll_111.0 m,doll_2.43 m,doll_922.0 m
,doll_293.0 m,0,doll_1.79 b
,doll_20.0 m,doll_1.22 m,doll_94.0 m
,doll_123.0 m,doll_2.12 m,doll_309.0 m
,doll_-8.0 m,doll_4.6 m,doll_590.0 m
,doll_644.0 m,doll_2.94 m,doll_15.59 b
,doll_174.0 m,doll_1.8 m,doll_3.35 b
,doll_152.0 m,doll_3.78 m,doll_415.0 m
,doll_-66.0 m,doll_3.3 m,doll_808.0 m
,doll_164.0 m,doll_5.91 m,doll_357.0 m
,doll_126.0 m,doll_5.83 m,doll_217.0 m
,doll_218.0 m,doll_3.51 m,doll_3.67 b
,doll_111.0 m,doll_2.23 m,doll_1.48 b
,doll_474.0 m,doll_3.06 m,doll_2.79 b
,doll_315.0 m,doll_3.37 m,doll_2.1 b
,doll_766.0 m,doll_3.8 m,doll_6.22 b
,doll_10.0 m,doll_6.55 m,doll_896.0 m
,doll_524.0 m,0,doll_16.34 b
,doll_408.0 m,doll_3.68 m,doll_929.0 m
,doll_41.0 m,doll_3.19 m,doll_889.0 m
,doll_194.0 m,doll_1.93 m,doll_878.0 m
,doll_253.0 m,doll_4.2 m,doll_739.0 m
,doll_121.0 m,doll_3.81 m,doll_1.02 b
,doll_125.0 m,doll_5.68 m,doll_3.54 b
,doll_47.0 m,doll_2.85 m,doll_282.0 m
,doll_341.0 m,0,doll_1.16 b
,doll_280.0 m,doll_1.88 m,doll_5.61 b
,0.0,doll_2.71 m,0.0
,doll_200.0 m,0,doll_3.68 b
,doll_1.0 m,doll_5.93 m,doll_359.0 m
,doll_119.0 m,doll_4.54 m,doll_6.71 b
,doll_484.0 m,doll_3.03 m,doll_1.78 b
,doll_279.0 m,doll_2.54 m,doll_231.0 m
,doll_52.0 m,doll_2.53 m,doll_1.64 b
,doll_55.0 m,doll_2.58 m,doll_676.0 m
,doll_397.0 m,doll_1.58 m,doll_14.66 b
,doll_1.23 b,doll_1.44 m,doll_16.21 b
,doll_404.0 m,doll_4.2 m,doll_4.71 b
,doll_577.0 m,doll_4.75 m,doll_294.0 m
,doll_821.0 m,doll_4.29 m,doll_201.0 m
,doll_125.0 m,0,doll_528.0 m
,doll_283.0 m,doll_2.15 m,doll_4.06 b
,doll_445.0 m,0,doll_492.0 m
,0.0,doll_2.85 m,0.0
,doll_636.0 m,doll_0.33 m,doll_4.6 b
,doll_311.0 m,doll_3.41 m,doll_3.94 b
,doll_692.0 m,doll_4.58 m,doll_24.31 b
,doll_17.0 m,doll_3.55 m,doll_1.66 b
,doll_431.0 m,doll_5.97 m,doll_3.11 b
,doll_338.0 m,doll_7.09 m,doll_5.63 b
,doll_222.0 m,doll_5.42 m,doll_587.0 m
,doll_3.0 m,doll_6.95 m,doll_314.0 m
,doll_447.0 m,doll_4.74 m,doll_5.34 b
,doll_553.0 m,doll_2.75 m,doll_3.46 b
,doll_476.0 m,doll_0.87 m,doll_2.99 b
,doll_142.0 m,doll_3.0 m,doll_345.0 m
,doll_51.0 m,doll_1.31 m,doll_821.0 m
,doll_235.0 m,0,doll_536.0 m
,doll_41.0 m,0,doll_38.75 b
,doll_217.0 m,doll_2.94 m,doll_595.0 m
,doll_183.0 m,doll_5.25 m,doll_330.0 m
,doll_191.0 m,doll_3.15 m,doll_1.84 b
,doll_95.0 m,0,doll_2.67 b
,doll_73.0 m,doll_4.99 m,doll_508.0 m
,doll_166.0 m,0,doll_5.0 b
,doll_-13.0 m,doll_3.23 m,doll_286.0 m
,doll_120.0 m,doll_4.42 m,doll_1.76 b
,doll_738.0 m,doll_3.1 m,doll_6.62 b
,0.0,doll_2.45 m,0.0
,doll_126.0 m,doll_4.47 m,doll_1.34 b
,doll_256.0 m,doll_5.47 m,doll_7.22 b
,doll_22.0 m,doll_3.59 m,doll_519.0 m
,doll_327.0 m,doll_1.32 m,doll_5.17 b
,doll_122.0 m,doll_1.69 m,doll_1.12 b
,0.0,doll_4.97 m,0.0
,doll_261.0 m,doll_5.07 m,doll_686.0 m
,doll_115.0 m,doll_5.1 m,doll_2.22 b
,doll_427.0 m,doll_2.83 m,doll_310.0 m
,doll_439.0 m,doll_3.48 m,doll_1.21 b
,doll_22.0 m,doll_2.48 m,doll_1.05 b
,doll_30.0 m,doll_3.17 m,doll_64.0 m
,doll_302.0 m,doll_3.89 m,doll_5.95 b
,doll_715.0 m,0,doll_2.25 b
,doll_-271.0 m,doll_0.78 m,doll_2.96 b
,doll_375.0 m,doll_2.5 m,doll_1.99 b
,doll_15.0 m,doll_1.9 m,doll_1.29 b
,doll_323.0 m,doll_5.04 m,doll_5.03 b
,doll_58.0 m,doll_2.65 m,doll_413.0 m
,doll_-88.0 m,0,doll_10.36 b
,doll_-7.0 m,doll_0.81 m,doll_1.43 b
,doll_337.0 m,doll_0.83 m,doll_79.0 m
,doll_-28.0 m,doll_2.15 m,doll_187.0 m
,doll_58.0 m,doll_2.46 m,doll_1.86 b
,doll_140.0 m,doll_9.57 m,doll_2.27 b
,doll_600.0 m,doll_2.04 m,doll_1.33 b
,doll_336.0 m,0,doll_3.27 b
,doll_537.0 m,0,doll_344.0 m
,doll_-81.0 m,doll_0.85 m,doll_2.23 b
,doll_93.0 m,doll_1.67 m,doll_1.03 b
,doll_532.0 m,doll_2.5 m,doll_9.84 b
,doll_419.0 m,doll_4.39 m,doll_5.01 b
,doll_137.0 m,doll_1.82 m,doll_2.41 b
,doll_184.0 m,doll_3.4 m,doll_2.83 b
,doll_154.0 m,doll_3.5 m,doll_616.0 m
,doll_15.0 m,doll_2.63 m,doll_532.0 m
,doll_53.0 m,doll_11.41 m,doll_6.28 b
,doll_8.0 m,doll_1.01 m,doll_151.0 m
,doll_27.0 m,0,doll_1.37 b
,doll_125.0 m,0,doll_638.0 m
,doll_-385.0 m,doll_3.31 m,doll_1.66 b
,doll_151.0 m,doll_3.25 m,doll_3.07 b
,0.0,doll_0.86 m,0.0
,doll_161.0 m,doll_2.8 m,doll_3.28 b
,doll_125.0 m,doll_2.84 m,doll_2.08 b
,doll_41.0 m,doll_3.67 m,doll_271.0 m
,doll_86.0 m,0,doll_3.19 b
,doll_762.0 m,doll_2.78 m,doll_2.54 b
,doll_444.0 m,doll_5.15 m,doll_2.36 b
,doll_279.0 m,doll_2.9 m,doll_5.6 b
,doll_217.0 m,doll_5.17 m,doll_564.0 m
,doll_118.0 m,doll_2.18 m,doll_1.38 b
,doll_193.0 m,doll_2.04 m,doll_2.31 b
,doll_308.0 m,doll_1.92 m,doll_3.29 b
,doll_99.0 m,0,doll_495.0 m
,doll_250.0 m,doll_2.92 m,doll_1.11 b
,doll_-120.0 m,doll_2.63 m,doll_5.69 b
,doll_266.0 m,doll_3.03 m,doll_5.24 b
,doll_529.0 m,doll_4.74 m,doll_3.55 b
,0.0,doll_3.97 m,0.0
,doll_245.0 m,doll_4.41 m,doll_3.23 b
,doll_73.0 m,doll_4.07 m,doll_187.0 m
,doll_74.0 m,doll_0.88 m,doll_197.0 m
,doll_217.0 m,doll_8.02 m,doll_830.0 m
,doll_1.0 b,doll_4.62 m,doll_3.56 b
,doll_47.0 m,doll_5.29 m,doll_283.0 m
,doll_156.0 m,doll_4.03 m,doll_2.79 b
,doll_246.0 m,doll_2.06 m,doll_493.0 m
,doll_127.0 m,doll_1.77 m,doll_1.37 b
,doll_570.0 m,doll_5.94 m,doll_2.29 b
,doll_60.0 m,doll_4.68 m,doll_1.14 b
,doll_-224.0 m,doll_1.56 m,doll_1.07 b
,doll_126.0 m,doll_1.33 m,doll_3.36 b
,doll_-82.0 m,doll_3.92 m,doll_634.0 m
,doll_237.0 m,doll_2.35 m,doll_735.0 m
,doll_571.0 m,0,doll_13.51 b
,doll_1.37 b,doll_2.24 m,doll_2.07 b
,doll_-62.0 m,doll_1.84 m,doll_27.32 b
,doll_132.0 m,doll_2.61 m,doll_4.93 b
,doll_140.0 m,0,doll_1.83 b
,doll_36.0 m,doll_5.39 m,doll_2.62 b
,doll_178.0 m,doll_3.89 m,doll_1.1 b
,doll_737.0 m,doll_2.19 m,doll_5.14 b
,doll_488.0 m,doll_7.72 m,doll_1.8 b
,doll_721.0 m,doll_5.47 m,doll_529.0 m
,doll_248.0 m,doll_1.27 m,doll_2.21 b
,doll_123.0 m,doll_2.92 m,doll_709.0 m
,doll_507.0 m,doll_5.83 m,doll_247.0 m
,doll_145.0 m,doll_4.01 m,doll_309.0 m
,doll_43.0 m,doll_3.85 m,doll_771.0 m
,doll_65.0 m,doll_4.17 m,doll_500.0 m
,doll_276.0 m,doll_4.06 m,doll_10.27 b
,doll_303.0 m,0,doll_2.0 b
,doll_99.0 m,doll_5.07 m,doll_891.0 m
,doll_139.0 m,doll_2.89 m,doll_2.3 b
,doll_442.0 m,doll_4.2 m,doll_2.4 b
,doll_529.0 m,doll_2.66 m,doll_532.0 m
,doll_212.0 m,doll_3.3 m,doll_410.0 m
,doll_690.0 m,doll_2.94 m,doll_16.28 b
,doll_196.0 m,doll_2.3 m,doll_1.78 b
,doll_152.0 m,doll_2.02 m,doll_154.0 m
,doll_516.0 m,0,doll_6.71 b
,doll_-1.0 m,doll_1.54 m,doll_139.0 m
,doll_127.0 m,0,doll_1.86 b
,doll_77.0 m,doll_3.36 m,doll_1.89 b
,doll_231.0 m,doll_6.22 m,doll_245.0 m
,doll_360.0 m,doll_2.57 m,0.0
,doll_86.0 m,0,doll_564.0 m
,doll_79.0 m,doll_2.19 m,doll_686.0 m
,doll_-18.0 m,doll_3.62 m,doll_5.7 b
,doll_24.0 m,doll_3.25 m,doll_230.0 m
,doll_40.0 m,doll_1.71 m,doll_207.0 m
,doll_667.0 m,doll_5.86 m,doll_1.64 b
,doll_247.0 m,doll_4.09 m,doll_3.3 b
,doll_157.0 m,doll_3.82 m,doll_2.78 b
,0.0,doll_1.61 m,0.0
,doll_388.0 m,doll_6.67 m,doll_2.21 b
,doll_74.0 m,doll_3.67 m,doll_264.0 m
,0.0,doll_4.1 m,0.0
,doll_30.0 m,0,doll_184.0 m
,doll_-128.0 m,0,doll_3.85 b
,doll_-50.0 m,0,doll_4.08 b
,doll_265.0 m,0,doll_690.0 m
,doll_105.0 m,0,doll_1.75 b
,doll_-179.0 m,0,doll_536.0 m
,doll_629.0 m,0,doll_481.0 m
,doll_139.0 m,0,doll_7.98 b
,0.0,0,0.0
,0.0,0,0.0
,0.0,0,0.0
,0.0,0,0.0
,0.0,0,0.0
,0.0,0,0.0
,0.0,0,0.0
,0.0,0,0.0
,0.0,0,0.0
,doll_-32.0 m,0,doll_9.67 b
,0.0,0,0.0
,0.0,0,0.0
,0.0,0,0.0
,0.0,0,0.0
,0.0,0,0.0
,doll_-572.0 m,0,doll_1.92 b
,0.0,0,0.0
,doll_-81.0 m,0,doll_854.0 m
,doll_-189.0 m,0,doll_742.0 m
,0.0,doll_4.44 m,0.0
,0.0,doll_3.69 m,0.0
,0.0,doll_3.12 m,0.0
,0.0,doll_3.32 m,0.0
,0.0,doll_2.65 m,0.0
,0.0,doll_2.26 m,0.0
,doll_-216.0 m,0,doll_435.0 m
,0.0,doll_4.65 m,0.0
,doll_77.0 m,doll_2.37 m,doll_3.26 b
,doll_207.0 m,0,doll_511.0 m
,doll_295.0 m,doll_1.94 m,doll_3.61 b
,doll_-58.0 m,doll_2.92 m,doll_527.0 m
,doll_223.0 m,doll_0.76 m,doll_12.18 b
,doll_172.0 m,doll_1.27 m,doll_343.0 m
,doll_102.0 m,doll_1.44 m,doll_382.0 m
,doll_187.0 m,doll_4.27 m,0.0
,doll_319.0 m,0,doll_2.64 b
,doll_-954.0 m,doll_3.56 m,0.0
,doll_137.0 m,doll_2.01 m,doll_736.0 m
,doll_423.0 m,doll_2.16 m,doll_1.34 b
,doll_166.0 m,doll_2.54 m,doll_441.0 m
,doll_106.0 m,doll_5.29 m,doll_199.0 m
,doll_47.0 m,doll_2.74 m,doll_336.0 m
,doll_-148.0 m,doll_2.57 m,doll_902.0 m
,doll_453.0 m,doll_0.3 m,doll_2.8 b
,doll_229.0 m,doll_5.39 m,doll_2.28 b
,doll_102.0 m,doll_2.1 m,doll_1.18 b
,doll_170.0 m,0,doll_13.67 b
,doll_83.0 m,0,doll_663.0 m
,doll_130.0 m,doll_0.69 m,doll_1.53 b
,doll_417.0 m,doll_1.8 m,doll_40.83 b
,doll_257.0 m,doll_2.76 m,doll_3.81 b
,doll_75.0 m,doll_1.98 m,doll_170.0 m
,doll_155.0 m,doll_3.11 m,doll_1.68 b
,doll_52.0 m,doll_2.83 m,doll_748.0 m
,doll_330.0 m,doll_3.64 m,doll_664.0 m
,doll_56.0 m,doll_2.57 m,doll_1.26 b
,doll_18.0 m,doll_3.02 m,doll_1.8 b
,doll_-6.0 m,doll_3.16 m,doll_2.74 b
,doll_286.0 m,doll_2.9 m,doll_258.0 m
,doll_-222.0 m,doll_2.64 m,doll_354.0 m
,doll_-48.0 m,doll_1.45 m,doll_1.17 b
,doll_24.0 m,doll_2.15 m,doll_95.0 m
,0.0,doll_5.68 m,doll_10.0 m
,doll_58.0 m,doll_3.14 m,doll_534.0 m
,doll_286.0 m,doll_1.72 m,doll_10.37 b
,doll_99.0 m,doll_3.84 m,doll_5.43 b
,doll_93.0 m,0,doll_19.18 b
,doll_658.0 m,doll_6.05 m,doll_5.17 b
,doll_101.0 m,doll_3.16 m,doll_1.03 b
,doll_-27.0 m,doll_2.92 m,doll_425.0 m
,doll_173.0 m,doll_2.06 m,doll_2.67 b
,doll_69.0 m,doll_4.74 m,doll_2.95 b
,doll_88.0 m,doll_3.42 m,doll_385.0 m
,doll_13.0 m,doll_3.87 m,doll_847.0 m
,doll_-127.0 m,doll_4.19 m,doll_20.0 m
,doll_149.0 m,doll_3.37 m,doll_3.42 b
,doll_55.0 m,doll_4.08 m,doll_218.0 m
,0.0,doll_1.11 m,0.0
,doll_393.0 m,doll_2.83 m,doll_9.09 b
,doll_1.32 b,doll_2.52 m,doll_1.95 b
,0.0,doll_3.82 m,0.0
,doll_322.0 m,doll_4.94 m,doll_192.0 m
,doll_392.0 m,doll_3.48 m,doll_1.11 b
,doll_34.0 m,doll_4.15 m,doll_417.0 m
,doll_693.0 m,doll_4.02 m,doll_2.37 b
,doll_85.0 m,doll_1.24 m,doll_550.0 m
,doll_-101.0 m,doll_3.2 m,doll_5.17 b
,doll_153.0 m,doll_3.66 m,doll_2.42 b
,doll_334.0 m,doll_3.97 m,doll_1.93 b
,doll_-13.0 m,doll_2.69 m,doll_381.0 m
,doll_150.0 m,doll_1.7 m,doll_2.96 b
,doll_323.0 m,doll_4.08 m,doll_1.35 b
,doll_303.0 m,doll_2.73 m,doll_4.91 b
,0.0,doll_4.66 m,doll_420.0 m
,doll_69.0 m,doll_3.68 m,doll_496.0 m
,doll_225.0 m,doll_4.33 m,doll_607.0 m
,doll_51.0 m,doll_4.33 m,doll_1.29 b
,doll_287.0 m,doll_3.6 m,doll_4.47 b
,doll_263.0 m,0,doll_5.27 b
,doll_604.0 m,doll_5.51 m,doll_578.0 m
,doll_97.0 m,doll_1.58 m,doll_213.0 m
,doll_215.0 m,doll_5.18 m,doll_24.01 b
,doll_375.0 m,doll_3.17 m,doll_10.97 b
,doll_880.0 m,doll_2.69 m,doll_2.18 b
,doll_117.0 m,doll_3.08 m,doll_2.16 b
,doll_18.0 m,doll_4.6 m,doll_933.0 m
,doll_-60.0 m,doll_2.16 m,doll_250.0 m
,doll_211.0 m,doll_4.09 m,doll_3.57 b
,doll_6.0 m,doll_1.5 m,doll_201.0 m
,doll_495.0 m,doll_5.45 m,doll_965.0 m
,doll_108.0 m,doll_1.09 m,doll_361.0 m
,doll_636.0 m,doll_2.6 m,doll_10.11 b
,doll_377.0 m,doll_0.64 m,doll_6.39 b
,doll_67.0 m,doll_4.67 m,doll_1.6 b
,doll_68.0 m,doll_3.29 m,doll_1.75 b
,0.0,doll_5.08 m,doll_951.0 m
,doll_33.0 m,doll_3.81 m,doll_424.0 m
,doll_-246.0 m,doll_1.9 m,doll_2.25 b
,doll_44.0 m,doll_1.36 m,doll_121.0 m
,doll_34.0 m,doll_2.71 m,doll_1.34 b
,doll_61.0 m,doll_2.56 m,doll_261.0 m
,doll_-238.0 m,doll_2.65 m,doll_-235.0 m
,doll_18.0 m,doll_3.79 m,doll_993.0 m
