,link,rank,name,ceo,founded,revenue,country,industry
2598,https://www.value.today/company/bid-corporation,2487,bid corporation,not found,1988,doll_8.758 m,south africa,"['consumer defensive', 'food chains / distributor', 'food service']"
2599,https://www.value.today/company/itochu-techno-solutions-corporation,2490,itochu techno-solutions corporation,not found,1979,doll_3.811 m,japan,"['technology', 'software and it', 'computers and components', 'computers hardware', 'network hardware and software', 'networking products / solutions']"
2600,https://www.value.today/company/aroundtown-sa,2497,aroundtown sa,not found,2004,doll_1.085 m,luxembourg,"['real estate', 'financial services', 'property investments']"
2601,https://www.value.today/company/pt-charoen-pokphand-indonesia-tbk,2503,pt charoen pokphand indonesia tbk,not found,not found,doll_3.598 m,indonesia,"['consumer defensive', 'meat / poultry / fish / chicken', 'food products', 'farming / seeds / milling']"
2602,https://www.value.today/company/shopping-centres-australasia-property-group,2500,shopping centres australasia property group,not found,not found,240 million usd,australia,"['real estate', 'retail', 'property investments', 'commercial properties']"
2603,https://www.value.today/company/sinopharm-group,2498,sinopharm group,not found,2003,doll_81.784 m,china,"['healthcare', 'biotechnology', 'technology', 'healthcare products']"
2604,https://www.value.today/company/airtel-africa,2496,airtel africa,not found,2010,doll_4.714 m,uk,"['telecom', 'communication services']"
2605,https://www.value.today/company/bangkok-bank-public-company,2504,bangkok bank public company,not found,1944,doll_3.921 m,thailand,"['financial services', 'banking services']"
2606,https://www.value.today/company/woodward,2501,woodward,not found,1870,doll_2.245 m,usa,"['industries', 'aerospace and defense', 'aircraft parts', 'weapons']"
2607,https://www.value.today/company/ausnet-services-ltd,2502,ausnet services ltd,not found,2014,doll_1.410 m,australia,"['utilities', 'energy', 'gas utilities', 'electric utilities']"
2608,https://www.value.today/company/global-power-synergy-public-company,2499,global power synergy public company,not found,2013,doll_2.224 m,thailand,"['utilities', 'electric utilities', 'power generation', 'electricity generation']"
2609,https://www.value.today/company/british-land-company,2495,british land company,not found,1856,483 million usd,uk,"['real estate', 'property investments', 'commercial properties']"
2610,https://www.value.today/company/vitrolife-ab-publ,2512,vitrolife ab (publ),not found,not found,178 million usd,sweden,"['healthcare', 'biotechnology', 'technology', 'healthcare products', 'medical equipment']"
2611,https://www.value.today/company/xiamen-faratronic,2505,xiamen faratronic,not found,1955,441 million usd,china,"['technology', 'electronics', 'capital goods']"
2612,https://www.value.today/company/public-stock-company-vsmpo-avisma-corporation,2509,vsmpo-avisma corporation,not found,1933,doll_1.463 m,russia,"['basic materials', 'metals', 'titanium', 'aluminum', 'magnesium', 'mining']"
2613,https://www.value.today/company/aker-asa,2508,aker asa,not found,1841,668 million usd,norway,"['energy', 'oil and gas']"
2614,https://www.value.today/company/bb-seguridade-participacoes,2511,bb seguridade participacoes,not found,2012,doll_1.165 m,brazil,"['financial services', 'insurance']"
2615,https://www.value.today/company/ironsource,2513,ironsource,not found,2010,553 million usd,israel,"['software and it', 'technology']"
2616,https://www.value.today/company/royal-mail,2506,royal mail,not found,1516,doll_14.973 m,uk,"['industries', 'logistics', 'courier']"
2617,https://www.value.today/company/autek-china,2514,autek china,not found,not found,188 million usd,china,"['healthcare', 'medical equipment']"
2618,https://www.value.today/company/gmexico-transportes,2507,gmexico transportes,not found,2014,doll_2.564 m,mexico,"['rail transport', 'railway operating company', 'transportation', 'mining']"
2619,https://www.value.today/company/osaka-gas,2510,osaka gas,not found,1897,doll_11.579 m,japan,"['utilities', 'oil and gas', 'gas utilities']"
2620,https://www.value.today/company/hdfc-asset-management-company-limited,2519,hdfc asset management company limited,not found,1999,265 million usd,india,"['financial services', 'asset management', 'investments']"
