00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_net_income_usd
769 million usd,-25 million usd,308000000.0
71 million usd,97 million usd,332000000.0
399 million usd,"1,335 million usd",543000000.0
114 million usd,186 million usd,114000000.0
321 million usd,"1,189 million usd",116000000.0
182 million usd,,-25000000.0
,182 million usd,97000000.0
"1,189 million usd",321 million usd,1335000000.0
186 million usd,122 million usd,186000000.0
"1,335 million usd",448 million usd,1189000000.0
97 million usd,357 million usd,
-25 million usd,184 million usd,182000000.0
116 million usd,-49 million usd,321000000.0
86 million usd,86 million usd,122000000.0
-49 million usd,37 million usd,448000000.0
184 million usd,268 million usd,357000000.0
357 million usd,61 million usd,184000000.0
448 million usd,332 million usd,-49000000.0
122 million usd,195 million usd,86000000.0
332 million usd,111 million usd,37000000.0
61 million usd,483 million usd,268000000.0
268 million usd,277 million usd,61000000.0
37 million usd,559 million usd,332000000.0
195 million usd,56 million usd,195000000.0
265 million usd,"1,244 million usd",111000000.0
356 million usd,356 million usd,483000000.0
148 million usd,265 million usd,277000000.0
"1,244 million usd",148 million usd,559000000.0
56 million usd,-432 million usd,56000000.0
559 million usd,164 million usd,1244000000.0
277 million usd,556 million usd,356000000.0
483 million usd,313 million usd,265000000.0
111 million usd,-289 million usd,148000000.0
-432 million usd,587 million usd,-432000000.0
"-2,961 million usd",81 million usd,164000000.0
199 million usd,720 million usd,556000000.0
720 million usd,199 million usd,313000000.0
81 million usd,"-2,961 million usd",-289000000.0
587 million usd,139 million usd,587000000.0
-289 million usd,42 million usd,81000000.0
313 million usd,331 million usd,720000000.0
556 million usd,70 million usd,199000000.0
164 million usd,867 million usd,-2961000000.0
139 million usd,256 million usd,139000000.0
9 million usd,12 million usd,42000000.0
580 million usd,172 million usd,331000000.0
172 million usd,580 million usd,70000000.0
12 million usd,9 million usd,867000000.0
256 million usd,56 million usd,256000000.0
867 million usd,209 million usd,12000000.0
70 million usd,788 million usd,172000000.0
331 million usd,533 million usd,580000000.0
42 million usd,393 million usd,9000000.0
56 million usd,103 million usd,56000000.0
,400 million usd,209000000.0
447 million usd,190 million usd,788000000.0
190 million usd,447 million usd,533000000.0
400 million usd,,393000000.0
103 million usd,592 million usd,103000000.0
393 million usd,579 million usd,400000000.0
533 million usd,418 million usd,190000000.0
788 million usd,199 million usd,447000000.0
209 million usd,165 million usd,
592 million usd,250 million usd,592000000.0
584 million usd,143 million usd,579000000.0
302 million usd,69 million usd,418000000.0
69 million usd,302 million usd,199000000.0
143 million usd,584 million usd,165000000.0
250 million usd,369 million usd,250000000.0
165 million usd,472 million usd,143000000.0
199 million usd,252 million usd,69000000.0
418 million usd,409 million usd,302000000.0
579 million usd,-151 million usd,584000000.0
369 million usd,355 million usd,369000000.0
665 million usd,-412 million usd,472000000.0
43 million usd,-471 million usd,252000000.0
-471 million usd,43 million usd,409000000.0
-412 million usd,665 million usd,-151000000.0
355 million usd,-182 million usd,355000000.0
-151 million usd,796 million usd,-412000000.0
409 million usd,112 million usd,-471000000.0
252 million usd,-80 million usd,43000000.0
472 million usd,849 million usd,665000000.0
-182 million usd,761 million usd,-182000000.0
209 million usd,408 million usd,796000000.0
385 million usd,291 million usd,112000000.0
291 million usd,385 million usd,-80000000.0
408 million usd,209 million usd,849000000.0
761 million usd,437 million usd,761000000.0
849 million usd,348 million usd,408000000.0
-80 million usd,227 million usd,291000000.0
112 million usd,-370 million usd,385000000.0
796 million usd,226 million usd,209000000.0
657 million usd,70 million usd,437000000.0
108 million usd,460 million usd,348000000.0
537 million usd,537 million usd,227000000.0
460 million usd,108 million usd,-370000000.0
70 million usd,657 million usd,226000000.0
226 million usd,403 million usd,70000000.0
-370 million usd,297 million usd,460000000.0
227 million usd,215 million usd,537000000.0
348 million usd,307 million usd,108000000.0
437 million usd,300 million usd,657000000.0
403 million usd,78 million usd,403000000.0
118 million usd,200 million usd,297000000.0
,101 million usd,215000000.0
101 million usd,,307000000.0
200 million usd,118 million usd,300000000.0
78 million usd,108 million usd,78000000.0
300 million usd,207 million usd,200000000.0
307 million usd,148 million usd,101000000.0
215 million usd,238 million usd,
297 million usd,98 million usd,118000000.0
108 million usd,639 million usd,108000000.0
-73 million usd,244 million usd,207000000.0
140 million usd,140 million usd,148000000.0
231 million usd,231 million usd,238000000.0
639 million usd,-73 million usd,98000000.0
244 million usd,132 million usd,639000000.0
98 million usd,-54 million usd,244000000.0
238 million usd,23 million usd,140000000.0
148 million usd,353 million usd,231000000.0
207 million usd,187 million usd,-73000000.0
132 million usd,75 million usd,132000000.0
"1,725 million usd",85 million usd,-54000000.0
18 million usd,300 million usd,23000000.0
300 million usd,18 million usd,353000000.0
85 million usd,"1,725 million usd",187000000.0
75 million usd,97 million usd,75000000.0
187 million usd,288 million usd,85000000.0
353 million usd,155 million usd,300000000.0
23 million usd,519 million usd,18000000.0
-54 million usd,-304 million usd,1725000000.0
97 million usd,214 million usd,97000000.0
,-458 million usd,288000000.0
154 million usd,-212 million usd,155000000.0
-212 million usd,154 million usd,519000000.0
-458 million usd,,-304000000.0
214 million usd,250 million usd,214000000.0
-304 million usd,155 million usd,-458000000.0
519 million usd,,-212000000.0
155 million usd,-382 million usd,154000000.0
288 million usd,-368 million usd,
250 million usd,-116 million usd,250000000.0
32 million usd,144 million usd,155000000.0
454 million usd,167 million usd,
167 million usd,454 million usd,-382000000.0
144 million usd,32 million usd,-368000000.0
-116 million usd,89 million usd,-116000000.0
-368 million usd,83 million usd,144000000.0
-382 million usd,588 million usd,167000000.0
,62 million usd,454000000.0
155 million usd,58 million usd,32000000.0
89 million usd,-48 million usd,89000000.0
142 million usd,109 million usd,83000000.0
-459 million usd,359 million usd,588000000.0
359 million usd,-459 million usd,62000000.0
109 million usd,142 million usd,58000000.0
-48 million usd,119 million usd,-48000000.0
58 million usd,-74 million usd,109000000.0
62 million usd,349 million usd,359000000.0
588 million usd,0 million usd,-459000000.0
83 million usd,120 million usd,142000000.0
119 million usd,133 million usd,119000000.0
216 million usd,247 million usd,-74000000.0
248 million usd,135 million usd,349000000.0
135 million usd,248 million usd,0.0
247 million usd,216 million usd,120000000.0
133 million usd,111 million usd,133000000.0
120 million usd,136 million usd,247000000.0
0 million usd,222 million usd,135000000.0
349 million usd,224 million usd,248000000.0
-74 million usd,172 million usd,216000000.0
111 million usd,,111000000.0
"1,264 million usd",29 million usd,136000000.0
318 million usd,73 million usd,222000000.0
73 million usd,318 million usd,224000000.0
29 million usd,"1,264 million usd",172000000.0
,405 million usd,
172 million usd,8 million usd,29000000.0
224 million usd,86 million usd,73000000.0
222 million usd,310 million usd,318000000.0
136 million usd,-34 million usd,1264000000.0
405 million usd,131 million usd,405000000.0
10 million usd,120 million usd,8000000.0
152 million usd,66 million usd,86000000.0
66 million usd,152 million usd,310000000.0
120 million usd,10 million usd,-34000000.0
131 million usd,-811 million usd,131000000.0
-34 million usd,-306 million usd,120000000.0
310 million usd,113 million usd,66000000.0
86 million usd,433 million usd,152000000.0
8 million usd,134 million usd,10000000.0
-811 million usd,120 million usd,-811000000.0
236 million usd,-59 million usd,-306000000.0
156 million usd,412 million usd,113000000.0
412 million usd,156 million usd,433000000.0
-59 million usd,236 million usd,134000000.0
120 million usd,279 million usd,120000000.0
134 million usd,862 million usd,-59000000.0
433 million usd,-212 million usd,412000000.0
113 million usd,335 million usd,156000000.0
-306 million usd,163 million usd,236000000.0
279 million usd,398 million usd,279000000.0
147 million usd,,862000000.0
105 million usd,105 million usd,-212000000.0
672 million usd,147 million usd,335000000.0
,672 million usd,163000000.0
398 million usd,78 million usd,398000000.0
163 million usd,54 million usd,
335 million usd,110 million usd,105000000.0
-212 million usd,1 million usd,147000000.0
862 million usd,314 million usd,672000000.0
78 million usd,570 million usd,78000000.0
"-1,122 million usd",16 million usd,54000000.0
64 million usd,268 million usd,110000000.0
268 million usd,64 million usd,1000000.0
16 million usd,"-1,122 million usd",314000000.0
570 million usd,71 million usd,570000000.0
314 million usd,200 million usd,16000000.0
1 million usd,196 million usd,268000000.0
110 million usd,,64000000.0
54 million usd,132 million usd,-1122000000.0
71 million usd,-40 million usd,71000000.0
500 million usd,159 million usd,200000000.0
174 million usd,524 million usd,196000000.0
524 million usd,174 million usd,
159 million usd,500 million usd,132000000.0
-40 million usd,97 million usd,-40000000.0
132 million usd,444 million usd,159000000.0
,59 million usd,524000000.0
196 million usd,,174000000.0
200 million usd,,500000000.0
97 million usd,,97000000.0
78 million usd,,444000000.0
-225 million usd,-521 million usd,59000000.0
-521 million usd,-225 million usd,
,78 million usd,
,526 million usd,
,"1,108 million usd",
,629 million usd,-521000000.0
59 million usd,218 million usd,-225000000.0
444 million usd,12 million usd,78000000.0
526 million usd,105 million usd,526000000.0
"1,617 million usd",356 million usd,1108000000.0
182 million usd,886 million usd,629000000.0
886 million usd,182 million usd,218000000.0
356 million usd,"1,617 million usd",12000000.0
105 million usd,214 million usd,105000000.0
12 million usd,114 million usd,356000000.0
218 million usd,862 million usd,886000000.0
629 million usd,"3,210 million usd",182000000.0
"1,108 million usd",272 million usd,1617000000.0
214 million usd,675 million usd,214000000.0
47 million usd,305 million usd,114000000.0
155 million usd,-103 million usd,862000000.0
-103 million usd,155 million usd,3210000000.0
305 million usd,47 million usd,272000000.0
675 million usd,-119 million usd,675000000.0
272 million usd,254 million usd,305000000.0
"3,210 million usd",419 million usd,-103000000.0
862 million usd,160 million usd,155000000.0
114 million usd,135 million usd,47000000.0
-119 million usd,139 million usd,-119000000.0
776 million usd,341 million usd,254000000.0
-122 million usd,228 million usd,419000000.0
228 million usd,-122 million usd,160000000.0
341 million usd,776 million usd,135000000.0
139 million usd,-58 million usd,139000000.0
135 million usd,112 million usd,341000000.0
160 million usd,249 million usd,228000000.0
419 million usd,512 million usd,-122000000.0
254 million usd,236 million usd,776000000.0
-58 million usd,-157 million usd,-58000000.0
"1,380 million usd",29 million usd,112000000.0
145 million usd,-108 million usd,249000000.0
-108 million usd,"1,380 million usd",512000000.0
29 million usd,391 million usd,236000000.0
-157 million usd,430 million usd,-157000000.0
236 million usd,200 million usd,29000000.0
512 million usd,96 million usd,-108000000.0
249 million usd,65 million usd,145000000.0
112 million usd,45 million usd,1380000000.0
391 million usd,66 million usd,391000000.0
"1,927 million usd",482 million usd,430000000.0
143 million usd,143 million usd,200000000.0
482 million usd,"1,927 million usd",96000000.0
66 million usd,444 million usd,65000000.0
45 million usd,703 million usd,45000000.0
65 million usd,-364 million usd,66000000.0
96 million usd,,482000000.0
200 million usd,,143000000.0
430 million usd,122 million usd,1927000000.0
444 million usd,,444000000.0
114 million usd,22 million usd,703000000.0
142 million usd,142 million usd,-364000000.0
22 million usd,114 million usd,
,163 million usd,
122 million usd,98 million usd,122000000.0
,172 million usd,
-364 million usd,76 million usd,22000000.0
,113 million usd,142000000.0
703 million usd,348 million usd,114000000.0
163 million usd,194 million usd,163000000.0
131 million usd,211 million usd,98000000.0
182 million usd,182 million usd,172000000.0
211 million usd,131 million usd,76000000.0
194 million usd,15 million usd,113000000.0
348 million usd,184 million usd,348000000.0
113 million usd,69 million usd,194000000.0
76 million usd,,211000000.0
172 million usd,667 million usd,182000000.0
98 million usd,420 million usd,131000000.0
15 million usd,42 million usd,15000000.0
313 million usd,451 million usd,184000000.0
327 million usd,327 million usd,69000000.0
451 million usd,313 million usd,
42 million usd,"1,012 million usd",667000000.0
420 million usd,-946 million usd,420000000.0
667 million usd,255 million usd,42000000.0
,151 million usd,451000000.0
69 million usd,211 million usd,327000000.0
184 million usd,225 million usd,313000000.0
"1,012 million usd",164 million usd,1012000000.0
682 million usd,58 million usd,-946000000.0
53 million usd,53 million usd,255000000.0
58 million usd,682 million usd,151000000.0
164 million usd,476 million usd,211000000.0
225 million usd,136 million usd,225000000.0
211 million usd,182 million usd,164000000.0
151 million usd,528 million usd,58000000.0
255 million usd,183 million usd,53000000.0
-946 million usd,968 million usd,682000000.0
476 million usd,108 million usd,476000000.0
38 million usd,-135 million usd,136000000.0
9 million usd,9 million usd,182000000.0
-135 million usd,38 million usd,528000000.0
108 million usd,-35 million usd,183000000.0
968 million usd,-50 million usd,968000000.0
183 million usd,122 million usd,108000000.0
528 million usd,188 million usd,-135000000.0
182 million usd,236 million usd,9000000.0
136 million usd,327 million usd,38000000.0
-35 million usd,211 million usd,-35000000.0
672 million usd,,-50000000.0
120 million usd,120 million usd,122000000.0
,672 million usd,188000000.0
211 million usd,561 million usd,236000000.0
327 million usd,"1,754 million usd",327000000.0
236 million usd,189 million usd,211000000.0
188 million usd,397 million usd,
122 million usd,-32 million usd,120000000.0
-50 million usd,449 million usd,672000000.0
561 million usd,101 million usd,561000000.0
,430 million usd,1754000000.0
29 million usd,29 million usd,189000000.0
430 million usd,,397000000.0
101 million usd,305 million usd,-32000000.0
449 million usd,76 million usd,449000000.0
-32 million usd,-182 million usd,101000000.0
397 million usd,64 million usd,430000000.0
189 million usd,649 million usd,29000000.0
"1,754 million usd",585 million usd,
305 million usd,278 million usd,305000000.0
-310 million usd,283 million usd,76000000.0
476 million usd,476 million usd,-182000000.0
283 million usd,-310 million usd,64000000.0
278 million usd,-88 million usd,649000000.0
585 million usd,94 million usd,585000000.0
649 million usd,453 million usd,278000000.0
64 million usd,182 million usd,283000000.0
-182 million usd,412 million usd,476000000.0
76 million usd,-74 million usd,-310000000.0
-88 million usd,"1,250 million usd",-88000000.0
204 million usd,173 million usd,94000000.0
8 million usd,8 million usd,453000000.0
173 million usd,204 million usd,182000000.0
"1,250 million usd",24 million usd,412000000.0
-74 million usd,-690 million usd,-74000000.0
412 million usd,24 million usd,1250000000.0
182 million usd,345 million usd,173000000.0
453 million usd,45 million usd,8000000.0
94 million usd,48 million usd,204000000.0
24 million usd,150 million usd,24000000.0
146 million usd,49 million usd,-690000000.0
186 million usd,186 million usd,24000000.0
49 million usd,146 million usd,345000000.0
150 million usd,540 million usd,45000000.0
48 million usd,-174 million usd,48000000.0
45 million usd,,150000000.0
345 million usd,-112 million usd,49000000.0
24 million usd,44 million usd,186000000.0
-690 million usd,18 million usd,146000000.0
540 million usd,214 million usd,540000000.0
-746 million usd,55 million usd,-174000000.0
150 million usd,150 million usd,
214 million usd,-746 million usd,-112000000.0
55 million usd,-28 million usd,44000000.0
18 million usd,105 million usd,18000000.0
44 million usd,112 million usd,214000000.0
-112 million usd,365 million usd,55000000.0
,43 million usd,150000000.0
-174 million usd,-1 million usd,-746000000.0
-28 million usd,76 million usd,-28000000.0
2 million usd,245 million usd,105000000.0
248 million usd,248 million usd,112000000.0
245 million usd,2 million usd,365000000.0
76 million usd,"1,142 million usd",43000000.0
-1 million usd,68 million usd,-1000000.0
43 million usd,102 million usd,76000000.0
365 million usd,148 million usd,245000000.0
112 million usd,191 million usd,248000000.0
105 million usd,512 million usd,2000000.0
"1,142 million usd",176 million usd,1142000000.0
636 million usd,13 million usd,68000000.0
321 million usd,321 million usd,102000000.0
13 million usd,636 million usd,148000000.0
176 million usd,62 million usd,191000000.0
512 million usd,89 million usd,512000000.0
191 million usd,717 million usd,176000000.0
148 million usd,124 million usd,13000000.0
102 million usd,94 million usd,321000000.0
68 million usd,153 million usd,636000000.0
62 million usd,474 million usd,62000000.0
155 million usd,-71 million usd,89000000.0
75 million usd,75 million usd,717000000.0
-71 million usd,155 million usd,124000000.0
474 million usd,313 million usd,94000000.0
153 million usd,41 million usd,153000000.0
94 million usd,179 million usd,474000000.0
124 million usd,304 million usd,-71000000.0
717 million usd,435 million usd,75000000.0
89 million usd,79 million usd,155000000.0
313 million usd,,313000000.0
9 million usd,189 million usd,41000000.0
189 million usd,9 million usd,179000000.0
,-455 million usd,189000000.0
79 million usd,206 million usd,304000000.0
435 million usd,-25 million usd,435000000.0
304 million usd,893 million usd,79000000.0
189 million usd,538 million usd,
179 million usd,84 million usd,189000000.0
41 million usd,"2,933 million usd",9000000.0
-455 million usd,169 million usd,-455000000.0
120 million usd,874 million usd,206000000.0
874 million usd,120 million usd,-25000000.0
169 million usd,541 million usd,893000000.0
"2,933 million usd",106 million usd,538000000.0
84 million usd,81 million usd,84000000.0
538 million usd,85 million usd,2933000000.0
893 million usd,-282 million usd,169000000.0
-25 million usd,455 million usd,874000000.0
206 million usd,441 million usd,120000000.0
541 million usd,271 million usd,541000000.0
81 million usd,123 million usd,106000000.0
123 million usd,81 million usd,81000000.0
271 million usd,5 million usd,85000000.0
441 million usd,128 million usd,-282000000.0
455 million usd,43 million usd,455000000.0
-282 million usd,535 million usd,441000000.0
85 million usd,926 million usd,271000000.0
81 million usd,519 million usd,123000000.0
106 million usd,887 million usd,81000000.0
5 million usd,"-1,081 million usd",5000000.0
343 million usd,-660 million usd,128000000.0
-660 million usd,343 million usd,43000000.0
"-1,081 million usd",158 million usd,535000000.0
887 million usd,-546 million usd,926000000.0
519 million usd,325 million usd,519000000.0
926 million usd,62 million usd,887000000.0
535 million usd,45 million usd,-1081000000.0
43 million usd,339 million usd,-660000000.0
128 million usd,-75 million usd,343000000.0
158 million usd,436 million usd,158000000.0
336 million usd,189 million usd,-546000000.0
189 million usd,336 million usd,325000000.0
436 million usd,159 million usd,62000000.0
-75 million usd,189 million usd,45000000.0
339 million usd,-100 million usd,339000000.0
45 million usd,313 million usd,-75000000.0
62 million usd,167 million usd,436000000.0
325 million usd,-734 million usd,189000000.0
-546 million usd,88 million usd,336000000.0
159 million usd,-61 million usd,159000000.0
83 million usd,487 million usd,189000000.0
487 million usd,83 million usd,-100000000.0
-61 million usd,111 million usd,313000000.0
88 million usd,293 million usd,167000000.0
-734 million usd,20 million usd,-734000000.0
167 million usd,123 million usd,88000000.0
313 million usd,-8 million usd,-61000000.0
-100 million usd,644 million usd,487000000.0
189 million usd,174 million usd,83000000.0
111 million usd,152 million usd,111000000.0
164 million usd,-66 million usd,293000000.0
-66 million usd,164 million usd,20000000.0
152 million usd,126 million usd,123000000.0
174 million usd,218 million usd,-8000000.0
644 million usd,111 million usd,644000000.0
-8 million usd,474 million usd,174000000.0
123 million usd,315 million usd,152000000.0
20 million usd,766 million usd,-66000000.0
293 million usd,10 million usd,164000000.0
126 million usd,524 million usd,126000000.0
41 million usd,408 million usd,218000000.0
408 million usd,41 million usd,111000000.0
524 million usd,194 million usd,474000000.0
10 million usd,253 million usd,315000000.0
766 million usd,121 million usd,766000000.0
315 million usd,125 million usd,10000000.0
474 million usd,47 million usd,524000000.0
111 million usd,341 million usd,408000000.0
218 million usd,280 million usd,41000000.0
194 million usd,,194000000.0
1 million usd,200 million usd,253000000.0
200 million usd,1 million usd,121000000.0
,119 million usd,125000000.0
280 million usd,484 million usd,47000000.0
341 million usd,279 million usd,341000000.0
47 million usd,52 million usd,280000000.0
125 million usd,55 million usd,
121 million usd,397 million usd,200000000.0
253 million usd,"1,232 million usd",1000000.0
119 million usd,404 million usd,119000000.0
821 million usd,577 million usd,484000000.0
577 million usd,821 million usd,279000000.0
404 million usd,125 million usd,52000000.0
"1,232 million usd",283 million usd,55000000.0
397 million usd,445 million usd,397000000.0
55 million usd,,1232000000.0
52 million usd,636 million usd,404000000.0
279 million usd,311 million usd,577000000.0
484 million usd,692 million usd,821000000.0
125 million usd,17 million usd,125000000.0
338 million usd,431 million usd,283000000.0
431 million usd,338 million usd,445000000.0
17 million usd,222 million usd,
692 million usd,3 million usd,636000000.0
311 million usd,447 million usd,311000000.0
636 million usd,553 million usd,692000000.0
,476 million usd,17000000.0
445 million usd,142 million usd,431000000.0
283 million usd,51 million usd,338000000.0
222 million usd,235 million usd,222000000.0
217 million usd,41 million usd,3000000.0
41 million usd,217 million usd,447000000.0
235 million usd,183 million usd,553000000.0
51 million usd,191 million usd,476000000.0
142 million usd,95 million usd,142000000.0
476 million usd,73 million usd,51000000.0
553 million usd,166 million usd,235000000.0
447 million usd,-13 million usd,41000000.0
3 million usd,120 million usd,217000000.0
183 million usd,738 million usd,183000000.0
126 million usd,,191000000.0
,126 million usd,95000000.0
738 million usd,256 million usd,73000000.0
120 million usd,22 million usd,166000000.0
-13 million usd,327 million usd,-13000000.0
166 million usd,122 million usd,120000000.0
73 million usd,,738000000.0
95 million usd,261 million usd,
191 million usd,115 million usd,126000000.0
256 million usd,427 million usd,256000000.0
22 million usd,439 million usd,22000000.0
439 million usd,22 million usd,327000000.0
427 million usd,30 million usd,122000000.0
115 million usd,302 million usd,
261 million usd,715 million usd,261000000.0
,-271 million usd,115000000.0
122 million usd,375 million usd,427000000.0
327 million usd,15 million usd,439000000.0
22 million usd,323 million usd,22000000.0
30 million usd,58 million usd,30000000.0
-7 million usd,-88 million usd,302000000.0
-88 million usd,-7 million usd,715000000.0
58 million usd,-28 million usd,-271000000.0
323 million usd,58 million usd,375000000.0
375 million usd,140 million usd,15000000.0
-271 million usd,600 million usd,323000000.0
15 million usd,336 million usd,58000000.0
715 million usd,537 million usd,-88000000.0
302 million usd,-81 million usd,-7000000.0
337 million usd,93 million usd,337000000.0
532 million usd,532 million usd,-28000000.0
93 million usd,419 million usd,58000000.0
-81 million usd,137 million usd,140000000.0
537 million usd,184 million usd,600000000.0
336 million usd,154 million usd,336000000.0
600 million usd,15 million usd,537000000.0
140 million usd,53 million usd,-81000000.0
58 million usd,8 million usd,93000000.0
-28 million usd,27 million usd,532000000.0
419 million usd,125 million usd,419000000.0
-385 million usd,-385 million usd,137000000.0
125 million usd,151 million usd,184000000.0
27 million usd,,154000000.0
8 million usd,161 million usd,15000000.0
53 million usd,125 million usd,53000000.0
15 million usd,41 million usd,8000000.0
154 million usd,86 million usd,27000000.0
184 million usd,762 million usd,125000000.0
137 million usd,444 million usd,-385000000.0
151 million usd,279 million usd,151000000.0
217 million usd,217 million usd,
279 million usd,118 million usd,161000000.0
444 million usd,193 million usd,125000000.0
762 million usd,308 million usd,41000000.0
86 million usd,99 million usd,86000000.0
41 million usd,250 million usd,762000000.0
125 million usd,-120 million usd,444000000.0
161 million usd,266 million usd,279000000.0
,529 million usd,217000000.0
118 million usd,,118000000.0
245 million usd,245 million usd,193000000.0
,73 million usd,308000000.0
529 million usd,74 million usd,99000000.0
266 million usd,217 million usd,250000000.0
-120 million usd,"1,003 million usd",-120000000.0
250 million usd,47 million usd,266000000.0
99 million usd,156 million usd,529000000.0
308 million usd,246 million usd,
193 million usd,127 million usd,245000000.0
60 million usd,570 million usd,73000000.0
570 million usd,60 million usd,74000000.0
127 million usd,-224 million usd,217000000.0
246 million usd,126 million usd,1003000000.0
156 million usd,-82 million usd,47000000.0
47 million usd,237 million usd,156000000.0
"1,003 million usd",571 million usd,246000000.0
217 million usd,"1,366 million usd",127000000.0
74 million usd,-62 million usd,570000000.0
73 million usd,132 million usd,60000000.0
-224 million usd,140 million usd,-224000000.0
36 million usd,36 million usd,126000000.0
140 million usd,178 million usd,-82000000.0
132 million usd,737 million usd,237000000.0
-62 million usd,488 million usd,571000000.0
"1,366 million usd",721 million usd,1366000000.0
571 million usd,248 million usd,-62000000.0
237 million usd,123 million usd,132000000.0
-82 million usd,507 million usd,140000000.0
126 million usd,145 million usd,36000000.0
178 million usd,43 million usd,178000000.0
65 million usd,65 million usd,737000000.0
43 million usd,276 million usd,488000000.0
145 million usd,303 million usd,721000000.0
507 million usd,99 million usd,248000000.0
123 million usd,139 million usd,123000000.0
248 million usd,442 million usd,507000000.0
721 million usd,529 million usd,145000000.0
488 million usd,212 million usd,43000000.0
737 million usd,690 million usd,65000000.0
276 million usd,196 million usd,276000000.0
152 million usd,152 million usd,303000000.0
196 million usd,516 million usd,99000000.0
690 million usd,-1 million usd,139000000.0
212 million usd,127 million usd,442000000.0
529 million usd,77 million usd,529000000.0
442 million usd,231 million usd,212000000.0
139 million usd,360 million usd,690000000.0
99 million usd,86 million usd,196000000.0
303 million usd,79 million usd,152000000.0
516 million usd,-18 million usd,516000000.0
24 million usd,24 million usd,-1000000.0
-18 million usd,40 million usd,127000000.0
79 million usd,667 million usd,77000000.0
86 million usd,247 million usd,231000000.0
360 million usd,157 million usd,360000000.0
231 million usd,,86000000.0
77 million usd,388 million usd,79000000.0
127 million usd,74 million usd,-18000000.0
-1 million usd,,24000000.0
40 million usd,30 million usd,40000000.0
-128 million usd,-128 million usd,667000000.0
30 million usd,-50 million usd,247000000.0
,265 million usd,157000000.0
74 million usd,105 million usd,
388 million usd,-179 million usd,388000000.0
,629 million usd,74000000.0
157 million usd,139 million usd,
247 million usd,,30000000.0
667 million usd,,-128000000.0
-50 million usd,,-50000000.0
,,265000000.0
,,105000000.0
,,-179000000.0
,,629000000.0
139 million usd,,139000000.0
629 million usd,,
-179 million usd,-32 million usd,
105 million usd,,
265 million usd,,
,,
,,
,,
,-572 million usd,
,,
-32 million usd,-81 million usd,-32000000.0
,-189 million usd,
,,
,,
,,
,,
,,-572000000.0
,,
,-216 million usd,-81000000.0
,,-189000000.0
,77 million usd,
-189 million usd,207 million usd,
-81 million usd,295 million usd,
,-58 million usd,
-572 million usd,223 million usd,
,172 million usd,
102 million usd,102 million usd,-216000000.0
172 million usd,187 million usd,
223 million usd,319 million usd,77000000.0
-58 million usd,-954 million usd,207000000.0
295 million usd,137 million usd,295000000.0
207 million usd,423 million usd,-58000000.0
77 million usd,166 million usd,223000000.0
,106 million usd,172000000.0
-216 million usd,47 million usd,102000000.0
187 million usd,-148 million usd,187000000.0
453 million usd,453 million usd,319000000.0
-148 million usd,229 million usd,-954000000.0
47 million usd,102 million usd,137000000.0
106 million usd,170 million usd,423000000.0
166 million usd,83 million usd,166000000.0
423 million usd,130 million usd,106000000.0
137 million usd,417 million usd,47000000.0
-954 million usd,257 million usd,-148000000.0
319 million usd,75 million usd,453000000.0
229 million usd,155 million usd,229000000.0
52 million usd,52 million usd,102000000.0
155 million usd,330 million usd,170000000.0
75 million usd,56 million usd,83000000.0
257 million usd,18 million usd,130000000.0
417 million usd,-6 million usd,417000000.0
130 million usd,286 million usd,257000000.0
83 million usd,-222 million usd,75000000.0
170 million usd,-48 million usd,155000000.0
102 million usd,24 million usd,52000000.0
330 million usd,0 million usd,330000000.0
58 million usd,58 million usd,56000000.0
0 million usd,286 million usd,18000000.0
24 million usd,99 million usd,-6000000.0
-48 million usd,93 million usd,286000000.0
-222 million usd,658 million usd,-222000000.0
286 million usd,101 million usd,-48000000.0
-6 million usd,-27 million usd,24000000.0
18 million usd,173 million usd,0.0
56 million usd,69 million usd,58000000.0
286 million usd,88 million usd,286000000.0
13 million usd,13 million usd,99000000.0
88 million usd,-127 million usd,93000000.0
69 million usd,149 million usd,658000000.0
173 million usd,55 million usd,101000000.0
-27 million usd,,-27000000.0
101 million usd,393 million usd,173000000.0
658 million usd,"1,320 million usd",69000000.0
93 million usd,,88000000.0
99 million usd,322 million usd,13000000.0
-127 million usd,392 million usd,-127000000.0
34 million usd,34 million usd,149000000.0
392 million usd,693 million usd,55000000.0
,85 million usd,
322 million usd,-101 million usd,393000000.0
"1,320 million usd",153 million usd,1320000000.0
393 million usd,334 million usd,
,-13 million usd,322000000.0
55 million usd,150 million usd,392000000.0
149 million usd,323 million usd,34000000.0
693 million usd,303 million usd,693000000.0
0 million usd,0 million usd,85000000.0
303 million usd,69 million usd,-101000000.0
323 million usd,225 million usd,153000000.0
150 million usd,51 million usd,334000000.0
-13 million usd,287 million usd,-13000000.0
334 million usd,263 million usd,150000000.0
153 million usd,604 million usd,323000000.0
-101 million usd,97 million usd,303000000.0
85 million usd,215 million usd,0.0
69 million usd,375 million usd,69000000.0
880 million usd,880 million usd,225000000.0
375 million usd,117 million usd,51000000.0
215 million usd,18 million usd,287000000.0
97 million usd,-60 million usd,263000000.0
604 million usd,211 million usd,604000000.0
263 million usd,6 million usd,97000000.0
287 million usd,495 million usd,215000000.0
51 million usd,108 million usd,375000000.0
225 million usd,636 million usd,880000000.0
