00-avengers-annual_net_income_in_usd,04-iGMM-annual_net_income_in_usd,03-gren-annual_net_income_usd
"10,019 million usd","8,903 million usd",8903000000.0
"7,605 million usd","2,773 million usd",2773000000.0
"10,456 million usd","6,225 million usd",6225000000.0
"12,202 million usd","1,612 million usd",1612000000.0
"6,033 million usd","3,282 million usd",3282000000.0
"3,908 million usd","1,390 million usd",1390000000.0
"3,189 million usd","7,221 million usd",7221000000.0
"7,221 million usd","3,189 million usd",3189000000.0
"1,390 million usd","3,908 million usd",3908000000.0
"3,282 million usd","6,033 million usd",6033000000.0
"1,612 million usd","12,202 million usd",12202000000.0
813 million usd,"8,539 million usd",8539000000.0
"8,539 million usd",813 million usd,813000000.0
,"4,158 million usd",4158000000.0
"5,857 million usd","1,864 million usd",1864000000.0
"3,781 million usd",,
"11,256 million usd","2,153 million usd",2153000000.0
"1,096 million usd","2,834 million usd",2834000000.0
"2,834 million usd","1,096 million usd",1096000000.0
"2,153 million usd","11,256 million usd",11256000000.0
,"3,781 million usd",3781000000.0
"1,864 million usd","5,857 million usd",5857000000.0
"4,158 million usd",,
572 million usd,"3,143 million usd",3143000000.0
"3,378 million usd",,
"3,908 million usd","4,944 million usd",4944000000.0
-496 million usd,"-12,463 million usd",-12463000000.0
"2,636 million usd","1,904 million usd",1904000000.0
"1,904 million usd","2,636 million usd",2636000000.0
"-12,463 million usd",-496 million usd,-496000000.0
"4,944 million usd","3,908 million usd",3908000000.0
,"3,378 million usd",3378000000.0
"3,143 million usd",572 million usd,572000000.0
"23,947 million usd","3,117 million usd",3117000000.0
"10,474 million usd","10,855 million usd",10855000000.0
"1,904 million usd","3,823 million usd",3823000000.0
"6,956 million usd","8,470 million usd",8470000000.0
"1,691 million usd","5,568 million usd",5568000000.0
"5,568 million usd","1,691 million usd",1691000000.0
"8,470 million usd","6,956 million usd",6956000000.0
"3,823 million usd","1,904 million usd",1904000000.0
"10,855 million usd","10,474 million usd",10474000000.0
"3,117 million usd","23,947 million usd",23947000000.0
"-4,688 million usd","5,365 million usd",5365000000.0
"1,111 million usd","2,694 million usd",2694000000.0
"1,503 million usd",-425 million usd,-425000000.0
-425 million usd,"1,503 million usd",1503000000.0
"2,694 million usd","1,111 million usd",1111000000.0
"5,365 million usd","-4,688 million usd",-4688000000.0
"4,058 million usd","4,546 million usd",4546000000.0
517 million usd,"7,947 million usd",7947000000.0
"7,947 million usd",517 million usd,517000000.0
"4,546 million usd","4,058 million usd",4058000000.0
"1,048 million usd","7,098 million usd",7098000000.0
"3,005 million usd","5,775 million usd",5775000000.0
"2,092 million usd","3,139 million usd",3139000000.0
"2,408 million usd","1,599 million usd",1599000000.0
"7,874 million usd","2,445 million usd",2445000000.0
"2,445 million usd","7,874 million usd",7874000000.0
"1,599 million usd","2,408 million usd",2408000000.0
"3,139 million usd","2,092 million usd",2092000000.0
"5,775 million usd","3,005 million usd",3005000000.0
"7,098 million usd","1,048 million usd",1048000000.0
"2,278 million usd","4,281 million usd",4281000000.0
"12,378 million usd","1,334 million usd",1334000000.0
"4,974 million usd","26,016 million usd",26016000000.0
"2,166 million usd",417 million usd,417000000.0
852 million usd,"3,649 million usd",3649000000.0
"3,649 million usd",852 million usd,852000000.0
417 million usd,"2,166 million usd",2166000000.0
"26,016 million usd","4,974 million usd",4974000000.0
"1,334 million usd","12,378 million usd",12378000000.0
"4,281 million usd","2,278 million usd",2278000000.0
"6,086 million usd",,
"4,397 million usd",-421 million usd,-421000000.0
"-4,747 million usd","1,220 million usd",1220000000.0
"2,214 million usd","3,819 million usd",3819000000.0
"3,896 million usd",500 million usd,500000000.0
500 million usd,"3,896 million usd",3896000000.0
"3,819 million usd","2,214 million usd",2214000000.0
"1,220 million usd","-4,747 million usd",-4747000000.0
-421 million usd,"4,397 million usd",4397000000.0
,"6,086 million usd",6086000000.0
"2,648 million usd","17,942 million usd",17942000000.0
"2,144 million usd","22,891 million usd",22891000000.0
"1,042 million usd",,
"1,816 million usd","4,907 million usd",4907000000.0
"5,203 million usd","1,322 million usd",1322000000.0
"1,322 million usd","5,203 million usd",5203000000.0
"4,907 million usd","1,816 million usd",1816000000.0
,"1,042 million usd",1042000000.0
"22,891 million usd","2,144 million usd",2144000000.0
"17,942 million usd","2,648 million usd",2648000000.0
999 million usd,"1,926 million usd",1926000000.0
"12,390 million usd","7,457 million usd",7457000000.0
"1,129 million usd",-487 million usd,-487000000.0
"2,099 million usd","12,154 million usd",12154000000.0
"2,127 million usd","9,870 million usd",9870000000.0
"9,870 million usd","2,127 million usd",2127000000.0
"12,154 million usd","2,099 million usd",2099000000.0
-487 million usd,"1,129 million usd",1129000000.0
"7,457 million usd","12,390 million usd",12390000000.0
"1,926 million usd",999 million usd,999000000.0
"1,400 million usd","1,589 million usd",1589000000.0
"3,350 million usd",166 million usd,166000000.0
"15,648 million usd","4,937 million usd",4937000000.0
"8,075 million usd",,
"3,288 million usd","8,107 million usd",8107000000.0
"8,107 million usd","3,288 million usd",3288000000.0
,"8,075 million usd",8075000000.0
"4,937 million usd","15,648 million usd",15648000000.0
166 million usd,"3,350 million usd",3350000000.0
"1,589 million usd","1,400 million usd",1400000000.0
"1,255 million usd","3,882 million usd",3882000000.0
"4,825 million usd","3,321 million usd",3321000000.0
"1,953 million usd","7,005 million usd",7005000000.0
"1,164 million usd",915 million usd,915000000.0
29 million usd,"2,222 million usd",2222000000.0
"2,222 million usd",29 million usd,29000000.0
915 million usd,"1,164 million usd",1164000000.0
"7,005 million usd","1,953 million usd",1953000000.0
"3,321 million usd","4,825 million usd",4825000000.0
"3,882 million usd","1,255 million usd",1255000000.0
"3,016 million usd",-42 million usd,-42000000.0
"1,040 million usd",880 million usd,880000000.0
"1,305 million usd","4,306 million usd",4306000000.0
"2,862 million usd","8,953 million usd",8953000000.0
"3,443 million usd","3,096 million usd",3096000000.0
"3,096 million usd","3,443 million usd",3443000000.0
"8,953 million usd","2,862 million usd",2862000000.0
"4,306 million usd","1,305 million usd",1305000000.0
880 million usd,"1,040 million usd",1040000000.0
-42 million usd,"3,016 million usd",3016000000.0
"8,562 million usd","8,562 million usd",8562000000.0
