07-silvestri-employees_2022,00-avengers-number_of_employees,04-iGMM-number_of_employees,03-gren-employees_number
,"9,372","1,900",1900.0
"8,331","84,000","20,000",20000.0
"15,000","5,630","8,700",8700.0
"2,389",,"5,800",5800.0
"7,048","19,498","5,700",5700.0
"8,613","83,000","26,920",26920.0
,"259,385","36,000",36000.0
,"26,506","80,000",80000.0
,"52,323","30,000",30000.0
"23,632","30,000","52,323",52323.0
"7,000","80,000","26,506",26506.0
,"36,000","259,385",259385.0
"2,853","26,920","83,000",83000.0
,"5,700","19,498",19498.0
,"8,000","30,105",30105.0
"23,632","15,016","2,100",2100.0
"1,227",,"33,200",33200.0
"16,300",,902,902.0
"46,000","23,000","18,000",18000.0
,"18,000","23,000",23000.0
,902,,
"471,056","33,200",,
,"2,100","15,016",15016.0
,"30,105","8,000",8000.0
,"7,230","2,675",2675.0
,"10,500","19,933",19933.0
,"172,907","66,478",66478.0
"1,783","383,233",,
,"22,700","11,980",11980.0
,"11,980","22,700",22700.0
,,"383,233",383233.0
"4,586","66,478","172,907",172907.0
"3,500","19,933","10,500",10500.0
"4,325","2,675","7,230",7230.0
"2,049","46,000","46,000",46000.0
"4,004","164,177","2,653",2653.0
"4,460","154,000","1,800",1800.0
,"7,600","5,100",5100.0
200,"5,900","171,450",171450.0
"1,319","18,000","18,000",18000.0
,"171,450","5,900",5900.0
"11,552","5,100","7,600",7600.0
,"1,800","154,000",154000.0
"1,828","2,653","164,177",164177.0
553,"14,000","14,000",14000.0
"11,377","114,042","59,262",59262.0
,"33,153","1,240",1240.0
"5,110","25,377","30,000",30000.0
299,"3,625","11,300",11300.0
"13,676","27,318","27,318",27318.0
236,"11,300","3,625",3625.0
"2,368","30,000","25,377",25377.0
,"1,240","33,153",33153.0
"15,054","59,262","114,042",114042.0
,"7,959","7,959",7959.0
350,"2,429","18,700",18700.0
,"13,876","29,603",29603.0
,"38,000","16,665",16665.0
"5,317","2,042",529,529.0
,"15,500","15,500",15500.0
"3,015","16,665","2,042",2042.0
,529,"38,000",38000.0
,"18,700","13,876",13876.0
"20,129","29,603","2,429",2429.0
,"25,693","25,693",25693.0
,"16,600","27,000",27000.0
,"102,000","11,697",11697.0
,"23,500","5,590",5590.0
325,"13,003","7,000",7000.0
,"40,000","40,000",40000.0
"9,107","7,000","13,003",13003.0
"23,100","5,590","23,500",23500.0
,"11,697","102,000",102000.0
"82,132","27,000","16,600",16600.0
,"8,771","8,771",8771.0
,"1,414",,
,"48,770","18,500",18500.0
"37,966","12,244","18,180",18180.0
,"119,658","33,603",33603.0
190,"40,010","40,010",40010.0
,"33,603","119,658",119658.0
"4,500","18,180","12,244",12244.0
,"18,500","48,770",48770.0
"13,550",,"1,414",1414.0
,38,38,38.0
67,,"12,307",12307.0
"9,000","7,500","2,900",2900.0
333,"15,900","22,000",22000.0
,,"3,000",3000.0
"10,528","94,000","94,000",94000.0
,"3,000",,
,"22,000","15,900",15900.0
"1,137","2,900","7,500",7500.0
,"12,307",,
,"22,467","22,467",22467.0
"8,213","99,700","45,000",45000.0
"9,915",736,"5,895",5895.0
"17,000","20,962","36,597",36597.0
"46,492",,"90,500",90500.0
,"19,406","19,406",19406.0
"4,500","90,500",,
,"36,597","20,962",20962.0
"3,824","5,895",736,736.0
,"45,000","99,700",99700.0
,781,781,781.0
,"1,400","3,073",3073.0
,"13,000","12,489",12489.0
,,"61,564",61564.0
"3,000","6,970","12,395",12395.0
"4,609","20,400","20,400",20400.0
,"12,395","6,970",6970.0
,"61,564",,
,"12,489","13,000",13000.0
,"3,073","1,400",1400.0
,,,
,"17,463","9,591",9591.0
"3,500","15,000","23,293",23293.0
,"10,300","43,397",43397.0
"8,999","10,000","40,000",40000.0
,"5,300","5,300",5300.0
,"40,000","10,000",10000.0
,"43,397","10,300",10300.0
,"23,293","15,000",15000.0
,"9,591","17,463",17463.0
"4,507","20,465","20,465",20465.0
"1,725","16,000","22,965",22965.0
,"72,584","14,000",14000.0
900,"38,247","14,508",14508.0
,"8,200","45,361",45361.0
,"58,000","58,000",58000.0
,"45,361","8,200",8200.0
,"14,508","38,247",38247.0
"22,000","14,000","72,584",72584.0
"9,872","22,965","16,000",16000.0
,,,
,"9,116",340,340.0
,"5,961","15,000",15000.0
,"17,569","15,198",15198.0
"14,321","10,516","157,288",157288.0
,"17,373","17,373",17373.0
,"157,288","10,516",10516.0
,"15,198","17,569",17569.0
,"15,000","5,961",5961.0
"5,709",340,"9,116",9116.0
"4,000","31,000","31,000",31000.0
,"1,757","54,000",54000.0
"39,549","15,000","5,607",5607.0
,"12,369","29,900",29900.0
,"46,000","49,233",49233.0
"2,267","22,000","22,000",22000.0
,"49,233","46,000",46000.0
,"5,607","12,369",12369.0
,"29,900","15,000",15000.0
"14,500","54,000","1,757",1757.0
,"14,068","14,068",14068.0
,"1,395","6,825",6825.0
,"71,812","1,641",1641.0
,"14,000","37,960",37960.0
,"78,490","13,500",13500.0
,"290,000","290,000",290000.0
"6,988","13,500","78,490",78490.0
,"37,960","14,000",14000.0
"1,564","1,641","71,812",71812.0
,"6,825","1,395",1395.0
,"6,147","6,147",6147.0
,870,"1,854",1854.0
,"125,236","60,400",60400.0
,"128,000","13,430",13430.0
,"22,000","31,700",31700.0
,"9,000","9,000",9000.0
,"31,700","22,000",22000.0
,"13,430","128,000",128000.0
,"60,400","125,236",125236.0
,"1,854",870,870.0
,"8,961","8,961",8961.0
,"33,342","9,230",9230.0
,"6,527","236,386",236386.0
,"18,515","20,000",20000.0
,355,"39,035",39035.0
,"18,000","18,000",18000.0
"1,200","39,035",355,355.0
,"20,000","18,515",18515.0
,"236,386","6,527",6527.0
,"9,230","33,342",33342.0
,"64,016","64,016",64016.0
,"1,550",952,952.0
,"10,837",,
,"13,128","18,264",18264.0
,"19,000","78,906",78906.0
,"15,914","15,914",15914.0
,"78,906","19,000",19000.0
,"18,264","13,128",13128.0
,,"10,837",10837.0
,952,"1,550",1550.0
,"55,000","55,000",55000.0
,"1,566","37,000",37000.0
,"4,500","9,000",9000.0
,"131,461",434,434.0
,,"5,385",5385.0
,"10,200","10,200",10200.0
,"5,385",,
,434,"131,461",131461.0
,"9,000","4,500",4500.0
,"37,000","1,566",1566.0
,"1,046","1,046",1046.0
,"3,225",,
,"30,300","400,000",400000.0
,"2,742","6,000",6000.0
,"7,800","25,183",25183.0
,"2,111","2,111",2111.0
,"25,183","7,800",7800.0
,"6,000","2,742",2742.0
,"400,000","30,300",30300.0
,,"3,225",3225.0
,"24,900","24,900",24900.0
,"132,583","101,784",101784.0
,"42,000","33,045",33045.0
,"1,996",366,366.0
,"21,878","17,512",17512.0
,,,
,"17,512","21,878",21878.0
,366,"1,996",1996.0
,"33,045","42,000",42000.0
,"101,784","132,583",132583.0
,"17,300","17,300",17300.0
,"8,131","7,100",7100.0
,"2,863","23,300",23300.0
,"528,748","32,200",32200.0
,"8,006","1,384",1384.0
,"85,000","85,000",85000.0
,"1,384","8,006",8006.0
,"32,200","528,748",528748.0
,"23,300","2,863",2863.0
,"7,100","8,131",8131.0
,"5,900","5,900",5900.0
,"10,189","3,991",3991.0
,"80,000","65,600",65600.0
,"12,236","2,773",2773.0
,"10,243","11,000",11000.0
,,,
,"11,000","10,243",10243.0
,"2,773","12,236",12236.0
,"65,600","80,000",80000.0
,"3,991","10,189",10189.0
,"94,856","94,856",94856.0
,"5,500","13,152",13152.0
,"12,000","84,740",84740.0
,"7,100","268,979",268979.0
,"25,391","18,500",18500.0
,"44,599","44,599",44599.0
,"18,500","25,391",25391.0
,"268,979","7,100",7100.0
,"84,740","12,000",12000.0
,"13,152","5,500",5500.0
,"100,000","100,000",100000.0
,"33,151","27,200",27200.0
,"3,540","29,850",29850.0
,"5,222","2,192",2192.0
,"13,704","50,024",50024.0
,"2,733","2,733",2733.0
,"50,024","13,704",13704.0
,"2,192","5,222",5222.0
,"29,850","3,540",3540.0
,"27,200","33,151",33151.0
,"1,320","1,320",1320.0
,"10,531",,
,"6,778","28,041",28041.0
,"11,931",,
,"9,823","44,596",44596.0
,950,950,950.0
,"44,596","9,823",9823.0
,,"11,931",11931.0
,"28,041","6,778",6778.0
,,"10,531",10531.0
,"2,583","2,583",2583.0
,"39,745","52,000",52000.0
,743,"17,300",17300.0
,"580,000","9,700",9700.0
,,"10,670",10670.0
,447,447,447.0
,"10,670",,
,"9,700","580,000",580000.0
,"17,300",743,743.0
,"52,000","39,745",39745.0
,"26,889","26,889",26889.0
,196,"11,864",11864.0
,"7,348","2,260",2260.0
,,"13,397",13397.0
,"68,739","12,701",12701.0
,"28,648","28,648",28648.0
,"12,701","68,739",68739.0
,"13,397",,
,"2,260","7,348",7348.0
,"11,864",196,196.0
,"20,864","256,385",256385.0
,"23,000","12,023",12023.0
,"17,932","19,295",19295.0
,,"18,721",18721.0
,"3,388","124,457",124457.0
,"124,457","3,388",3388.0
,"18,721",,
,"19,295","17,932",17932.0
,"12,023","23,000",23000.0
,"256,385","20,864",20864.0
,"5,166","5,166",5166.0
,,"40,000",40000.0
,,"49,000",49000.0
,"11,005",,
,,,
,"14,194","14,194",14194.0
,,,
,,"11,005",11005.0
,"49,000",,
,"40,000",,
,"48,807","48,807",48807.0
,"9,778","6,495",6495.0
,"5,288","6,600",6600.0
,"11,696","38,200",38200.0
,"19,152","5,600",5600.0
,"29,293","29,293",29293.0
,"5,600","19,152",19152.0
,"38,200","11,696",11696.0
,"6,600","5,288",5288.0
,"6,495","9,778",9778.0
,"16,681","16,681",16681.0
,,"125,364",125364.0
,"11,707","28,006",28006.0
,"36,764","80,702",80702.0
,"8,529","4,561",4561.0
,"32,364","32,364",32364.0
,"4,561","8,529",8529.0
,"80,702","36,764",36764.0
,"28,006","11,707",11707.0
,"160,000",,
,"125,364","160,000",160000.0
,"75,383","19,000",19000.0
,"14,400","4,000",4000.0
,"91,000","5,742",5742.0
,"1,223","20,668",20668.0
,"9,619","9,619",9619.0
,"20,668","1,223",1223.0
,"5,742","91,000",91000.0
,"4,000","14,400",14400.0
,"19,000","75,383",75383.0
,"20,774","20,774",20774.0
,"34,000","46,000",46000.0
,,"29,255",29255.0
,"100,000","116,000",116000.0
,"1,064",164,164.0
,"5,200","5,200",5200.0
,164,"1,064",1064.0
,"116,000","100,000",100000.0
,"29,255",,
,"46,000","34,000",34000.0
,"23,739","203,000",203000.0
,327,"6,500",6500.0
,423,"17,271",17271.0
,"14,500",,
,"1,800",86,86.0
,86,"1,800",1800.0
,,"14,500",14500.0
,"17,271",423,423.0
,"6,500",327,327.0
,"203,000","23,739",23739.0
,"23,248","23,248",23248.0
,"8,800","117,300",117300.0
,"41,000",484,484.0
,"89,373","10,000",10000.0
,"45,000","1,254",1254.0
,"1,219","1,219",1219.0
,"1,254","45,000",45000.0
,"10,000","89,373",89373.0
,484,"41,000",41000.0
,"117,300","8,800",8800.0
,152,152,152.0
,"9,669","27,067",27067.0
,"37,000","5,756",5756.0
,"14,587",,
,"6,850","26,186",26186.0
,,,
,"26,186","6,850",6850.0
,,"14,587",14587.0
,"5,756","37,000",37000.0
,"27,067","9,669",9669.0
,"25,000","25,000",25000.0
,"10,300","55,000",55000.0
,"36,000","1,473",1473.0
,,"1,665",1665.0
,"6,705","6,800",6800.0
,,,
,"6,800","6,705",6705.0
,"1,665",,
,"1,473","36,000",36000.0
,"55,000","10,300",10300.0
,"6,500","6,500",6500.0
,"4,500","52,200",52200.0
,"101,784","48,465",48465.0
,"19,918",,
,"2,267","14,374",14374.0
,"3,403","3,403",3403.0
,"14,374","2,267",2267.0
,,"19,918",19918.0
,"48,465","101,784",101784.0
,"52,200","4,500",4500.0
,"24,000","24,000",24000.0
,"37,000","9,418",9418.0
,"2,300",40,40.0
,"10,500","7,670",7670.0
,35,"3,000",3000.0
,"7,536","7,536",7536.0
,"3,000",35,35.0
,"7,670","10,500",10500.0
,40,"2,300",2300.0
,"9,418","37,000",37000.0
,"79,051","79,051",79051.0
,"16,775","2,424",2424.0
,"118,523","2,623",2623.0
,"15,417",,
,"60,000","10,423",10423.0
,"20,300","20,300",20300.0
,"10,423","60,000",60000.0
,,"15,417",15417.0
,"2,623","118,523",118523.0
,"2,424","16,775",16775.0
,"9,000","9,000",9000.0
,"47,000","51,000",51000.0
,"14,000","1,700",1700.0
,"52,800","10,366",10366.0
,"46,000","8,400",8400.0
,"5,353","5,353",5353.0
,"8,400","46,000",46000.0
,"10,366","52,800",52800.0
,"1,700","47,000",47000.0
,"51,000","14,000",14000.0
,"198,990","198,990",198990.0
,"4,404","11,644",11644.0
,,"25,140",25140.0
,"76,000","6,288",6288.0
,"35,991","226,299",226299.0
,217,217,217.0
,"226,299","35,991",35991.0
,"6,288","76,000",76000.0
,"25,140",,
,"11,644","4,404",4404.0
,"71,278","71,278",71278.0
,"100,431","17,000",17000.0
,"71,700","38,169",38169.0
,"18,600","4,808",4808.0
,"4,700","10,892",10892.0
,"59,000","59,000",59000.0
,"10,892","4,700",4700.0
,"4,808","18,600",18600.0
,"38,169","71,700",71700.0
,"17,000","100,431",100431.0
,"118,000","118,000",118000.0
,"47,000","32,509",32509.0
,"6,247","20,000",20000.0
,,"20,000",20000.0
,"4,700","16,482",16482.0
,376,376,376.0
,"16,482","4,700",4700.0
,"20,000",,
,"20,000","6,247",6247.0
,"32,509","47,000",47000.0
,,,
,"4,000","10,956",10956.0
,"34,240","4,861",4861.0
,"14,000","2,178",2178.0
,172,"17,883",17883.0
,"95,727","95,727",95727.0
,"17,883",172,172.0
,"2,178","14,000",14000.0
,"4,861","34,240",34240.0
,"10,956","4,000",4000.0
,,,
,,"9,052",9052.0
,,"20,000",20000.0
,,"20,000",20000.0
,"10,062","2,600",2600.0
,"17,466","17,466",17466.0
,"2,600","10,062",10062.0
,"20,000",,
,"20,000",,
,"9,052",,
,"66,067","66,067",66067.0
,"106,599","10,000",10000.0
,"10,998","12,699",12699.0
,336,"2,094",2094.0
,"29,000","226,105",226105.0
,"10,593","10,593",10593.0
,"226,105","29,000",29000.0
,"2,094",336,336.0
,"12,699","10,998",10998.0
,"10,000","106,599",106599.0
,832,832,832.0
,"79,207","3,919",3919.0
,"9,374","2,525",2525.0
,"27,900","322,164",322164.0
,"33,400",,
,"13,884","13,884",13884.0
,,"33,400",33400.0
,"322,164","27,900",27900.0
,"2,525","9,374",9374.0
,"3,919","79,207",79207.0
,"1,350","1,350",1350.0
,"4,020",,
,106,,
,"24,123","17,121",17121.0
,"5,198","36,309",36309.0
,"8,816","8,816",8816.0
,"36,309","5,198",5198.0
,"17,121","24,123",24123.0
,,106,106.0
,,"4,020",4020.0
,"20,700","20,700",20700.0
,738,650,650.0
,,"13,333",13333.0
,,"254,702",254702.0
,"14,100","2,137",2137.0
,"3,670","14,100",14100.0
,"2,137","3,670",3670.0
,"254,702",,
,"13,333",,
,650,738,738.0
,"17,500","17,500",17500.0
,"62,556","8,300",8300.0
,"7,376","13,720",13720.0
,,,
,"7,120","4,735",4735.0
,"30,745","30,745",30745.0
,"4,735","7,120",7120.0
,,,
,"13,720","7,376",7376.0
,"8,300","62,556",62556.0
,,,
,"37,000","7,100",7100.0
,"92,300","3,651",3651.0
,"3,045","24,500",24500.0
,"2,800","4,000",4000.0
,"4,930","4,930",4930.0
,"4,000","2,800",2800.0
,"24,500","3,045",3045.0
,"3,651","92,300",92300.0
,"7,100","37,000",37000.0
,"4,638","4,638",4638.0
,323,"33,004",33004.0
,"115,900","10,340",10340.0
,"84,100","2,779",2779.0
,"8,450","21,754",21754.0
,169,169,169.0
,"21,754","8,450",8450.0
,"2,779","84,100",84100.0
,"10,340","115,900",115900.0
,"33,004",323,323.0
,"47,300","47,300",47300.0
,"43,700","12,000",12000.0
,898,"3,313",3313.0
,"3,440",484,484.0
,"35,050","1,339",1339.0
,85,85,85.0
,"1,339","35,050",35050.0
,484,"3,440",3440.0
,"3,313",898,898.0
,"12,000","43,700",43700.0
,"130,716","130,716",130716.0
,"19,536","33,009",33009.0
,"8,389","96,995",96995.0
,"3,388","27,058",27058.0
,"1,496","13,331",13331.0
,"8,085","8,085",8085.0
,"13,331","1,496",1496.0
,"27,058","3,388",3388.0
,"96,995","8,389",8389.0
,"33,009","19,536",19536.0
,"22,094","22,094",22094.0
,"61,053","17,813",17813.0
,"14,975","28,000",28000.0
,"9,800",,
,"11,200","23,841",23841.0
,183,183,183.0
,"23,841","11,200",11200.0
,,"9,800",9800.0
,"28,000","14,975",14975.0
,"17,813","61,053",61053.0
,,"64,119",64119.0
,"9,500","50,115",50115.0
,"50,115","9,500",9500.0
,"64,119",,
,427,"63,007",63007.0
,500,"31,648",31648.0
,"2,900","7,681",7681.0
,"7,681","2,900",2900.0
,"31,648",500,500.0
,"63,007",427,427.0
,"12,525","12,525",12525.0
,"2,881","68,000",68000.0
,"38,626","250,000",250000.0
,"50,200","11,012",11012.0
,"129,284","3,000",3000.0
,"14,000","14,000",14000.0
,"3,000","129,284",129284.0
,"11,012","50,200",50200.0
,"250,000","38,626",38626.0
,"68,000","2,881",2881.0
,"23,555","23,555",23555.0
,"36,070","6,606",6606.0
,"9,451","8,646",8646.0
,"6,998","4,369",4369.0
,"123,458","60,000",60000.0
,"60,000","123,458",123458.0
,"4,369","6,998",6998.0
,,"9,451",9451.0
,"8,646","36,070",36070.0
,"6,606",,
,"63,869","63,869",63869.0
,"51,363","4,496",4496.0
,"16,616","46,000",46000.0
,"20,700","6,000",6000.0
,"300,000","1,509",1509.0
,828,828,828.0
,"1,509","300,000",300000.0
,"6,000","20,700",20700.0
,"46,000","16,616",16616.0
,"4,496","51,363",51363.0
,"5,403","5,403",5403.0
,"78,395","11,489",11489.0
,"50,000","1,725",1725.0
,"8,708","19,900",19900.0
,"23,693","91,673",91673.0
,"126,000","126,000",126000.0
,"91,673","23,693",23693.0
,"19,900","8,708",8708.0
,"1,725","50,000",50000.0
,"11,489","78,395",78395.0
,"86,195","86,195",86195.0
,"8,005",527,527.0
,"6,846",,
,"96,595","2,449",2449.0
,,700,700.0
,"8,766","8,766",8766.0
,700,,
,"2,449","96,595",96595.0
,,"6,846",6846.0
,527,"8,005",8005.0
,"5,861","5,861",5861.0
,,"15,298",15298.0
,"12,778","2,010",2010.0
,"51,397","1,148",1148.0
,,"5,507",5507.0
,"5,752","5,752",5752.0
,"5,507",,
,"1,148","51,397",51397.0
,"2,010","12,778",12778.0
,"15,298",,
,"6,639","6,639",6639.0
,"42,800","5,900",5900.0
,"134,458",,
,"23,475","6,461",6461.0
,"5,600","1,531",1531.0
,"1,223","1,223",1223.0
,"1,531","5,600",5600.0
,"6,461","23,475",23475.0
,,"134,458",134458.0
,"5,900","42,800",42800.0
,"1,650","1,650",1650.0
,"14,478","39,602",39602.0
,"6,200","36,000",36000.0
,"51,209",,
,"25,491","16,877",16877.0
,"3,642","3,642",3642.0
,"16,877","25,491",25491.0
,,"51,209",51209.0
,"36,000","6,200",6200.0
,"39,602","14,478",14478.0
,"26,000","26,000",26000.0
,"17,237",,
,"13,676","55,000",55000.0
,"48,471","8,000",8000.0
,"4,684",,
,"6,000","6,000",6000.0
,,"4,684",4684.0
,"8,000","48,471",48471.0
,"55,000","13,676",13676.0
,,"17,237",17237.0
,"33,985","33,985",33985.0
,"1,538","129,000",129000.0
,"6,813","7,740",7740.0
,112,"6,347",6347.0
,"71,500","15,330",15330.0
,"75,000","75,000",75000.0
,"15,330","71,500",71500.0
,"6,347",112,112.0
,"7,740","6,813",6813.0
,"129,000","1,538",1538.0
,"14,100","14,100",14100.0
,"39,748","250,000",250000.0
,"44,500","78,000",78000.0
,"28,000",,
,,"9,000",9000.0
,"29,800","29,800",29800.0
,"9,000",,
,,"28,000",28000.0
,"78,000","44,500",44500.0
,"250,000","39,748",39748.0
,"7,072","12,000",12000.0
,"12,000","7,072",7072.0
,"77,005","6,400",6400.0
,,15,15.0
,"22,000","6,339",6339.0
,"35,057","3,755",3755.0
,"3,755","35,057",35057.0
,"6,339","22,000",22000.0
,15,"77,005",77005.0
,"6,400",,
,"9,178","9,178",9178.0
,"36,000","6,709",6709.0
,"44,497","22,448",22448.0
,"31,151","7,462",7462.0
,"53,728","26,750",26750.0
,"2,592","2,592",2592.0
,"26,750","53,728",53728.0
,"7,462","31,151",31151.0
,"22,448","44,497",44497.0
,"6,709","36,000",36000.0
,"1,924","1,924",1924.0
,"5,230","3,287",3287.0
,"21,658","21,527",21527.0
,"24,000","11,744",11744.0
,255,,
,"34,212","34,212",34212.0
,,255,255.0
,"11,744","24,000",24000.0
,"21,527","21,658",21658.0
,"3,287","5,230",5230.0
,13,13,13.0
,"19,399","412,088",412088.0
,,"1,608",1608.0
,"1,196","3,400",3400.0
,"6,182","6,550",6550.0
,"41,044","41,044",41044.0
,"6,550","6,182",6182.0
,"3,400","1,196",1196.0
,"1,608",,
,"412,088","19,399",19399.0
,"13,700","13,700",13700.0
,,"56,000",56000.0
,"2,243","10,848",10848.0
,"1,611","14,550",14550.0
,"10,718","6,265",6265.0
,"5,100","5,100",5100.0
,"6,265","10,718",10718.0
,"14,550","1,611",1611.0
,"10,848","2,243",2243.0
,"56,000",,
,"1,900","16,818",16818.0
,"2,768","2,768",2768.0
,"16,818","1,900",1900.0
,"5,500","3,174",3174.0
,"3,211","3,800",3800.0
,"6,259","15,500",15500.0
,"13,576","13,576",13576.0
,"15,500","6,259",6259.0
,"3,800","3,211",3211.0
,"3,174","5,500",5500.0
,163,"6,500",6500.0
,"98,200","11,545",11545.0
,"26,000",,
,"10,102","3,000",3000.0
,"1,226","12,783",12783.0
,"12,783","1,226",1226.0
,"3,000","10,102",10102.0
,,"26,000",26000.0
,"11,545","98,200",98200.0
,"6,500",163,163.0
,432,"54,279",54279.0
,"272,445","272,445",272445.0
,"54,279",432,432.0
,"1,650",,
,"43,000","11,697",11697.0
,"90,000","82,600",82600.0
,"48,570","48,570",48570.0
,"82,600","90,000",90000.0
,"11,697","43,000",43000.0
,,"1,650",1650.0
,"2,100","2,100",2100.0
,"36,869","5,576",5576.0
,"34,680","10,200",10200.0
,"6,611",,
,"9,527","2,430",2430.0
,"4,253","4,253",4253.0
,"2,430","9,527",9527.0
,,"6,611",6611.0
,"10,200","34,680",34680.0
,"5,576","36,869",36869.0
,,,
,"7,611","6,735",6735.0
,"6,735",784,784.0
,,"7,611",7611.0
,784,,
,"5,600","4,362",4362.0
,"19,853",,
,,,
,,"19,853",19853.0
,"4,362","5,600",5600.0
,"350,000","8,000",8000.0
,"17,650","9,060",9060.0
,"6,250","2,257",2257.0
,720,"5,081",5081.0
,"5,500","17,883",17883.0
,"17,883","5,500",5500.0
,"5,081",720,720.0
,"2,257","6,250",6250.0
,"9,060","17,650",17650.0
,"8,000","350,000",350000.0
,"24,000","6,714",6714.0
,"6,714","24,000",24000.0
,"26,000","11,445",11445.0
,"119,800","14,300",14300.0
,"11,000","35,576",35576.0
,"29,827",,
,,"29,827",29827.0
,"35,576","11,000",11000.0
,"14,300","119,800",119800.0
,"11,445","26,000",26000.0
,,"6,100",6100.0
,,"7,418",7418.0
,,,
,"7,418",,
,"6,100",,
,,"40,983",40983.0
,"23,527","3,163",3163.0
,"15,179","15,179",15179.0
,"3,163","23,527",23527.0
,"40,983",,
,"1,915","1,915",1915.0
,"7,914","10,640",10640.0
,"3,100","114,714",114714.0
,"43,800","49,900",49900.0
,"1,179","11,421",11421.0
,"15,000","15,000",15000.0
,"11,421","1,179",1179.0
,"49,900","43,800",43800.0
,"114,714","3,100",3100.0
,"10,640","7,914",7914.0
,"23,500","3,300",3300.0
,"69,619","6,400",6400.0
,"16,731","11,684",11684.0
,,"2,014",2014.0
,,"14,600",14600.0
,"14,600",,
,"2,014",,
,"11,684","16,731",16731.0
,"6,400","69,619",69619.0
,"3,300","23,500",23500.0
,"5,000","5,000",5000.0
,"7,659","2,135",2135.0
,"3,650","10,000",10000.0
,"4,480","10,566",10566.0
,"4,500","3,700",3700.0
,"15,000","15,000",15000.0
,"3,700","4,500",4500.0
,"10,566","4,480",4480.0
,"10,000","3,650",3650.0
,"2,135","7,659",7659.0
,"13,955","13,955",13955.0
,"24,043",,
,"5,860","102,793",102793.0
,"70,600",,
,"15,490","42,000",42000.0
,"9,700","9,700",9700.0
,"42,000","15,490",15490.0
,,"70,600",70600.0
,"102,793","5,860",5860.0
,,"24,043",24043.0
,"23,028","23,028",23028.0
,"3,350","1,056",1056.0
,"31,198",,
,,,
,850,"3,560",3560.0
,"22,236","22,236",22236.0
,"3,560",850,850.0
,,,
,,"31,198",31198.0
,"1,056","3,350",3350.0
,"155,606","155,606",155606.0
,"9,884","79,175",79175.0
,"12,800","15,000",15000.0
,"58,182",,
,"13,200",,
,"6,743","6,743",6743.0
,,"13,200",13200.0
,,"58,182",58182.0
,"15,000","12,800",12800.0
,"79,175","9,884",9884.0
,"9,374","9,374",9374.0
,"26,000","4,477",4477.0
,"7,385",,
,"6,600","27,700",27700.0
,,"39,132",39132.0
,"44,356","44,356",44356.0
,"39,132",,
,"27,700","6,600",6600.0
,,"7,385",7385.0
,"4,477","26,000",26000.0
,"12,200","12,200",12200.0
,"42,602",,
,"4,506","6,900",6900.0
,"1,490","50,000",50000.0
,,171,171.0
,"1,742","1,742",1742.0
,171,,
,"50,000","1,490",1490.0
,"6,900","4,506",4506.0
,,"42,602",42602.0
,"10,313","10,313",10313.0
,"3,271","48,519",48519.0
,,456,456.0
,"12,157","28,289",28289.0
,17,"2,384",2384.0
,"24,102","24,102",24102.0
,"2,384",17,17.0
,"28,289","12,157",12157.0
,456,,
,"48,519","3,271",3271.0
,"4,086","4,086",4086.0
,,"11,250",11250.0
,,"5,727",5727.0
,"11,785",,
,"82,334","5,610",5610.0
,"2,000","2,000",2000.0
,"5,610","82,334",82334.0
,,"11,785",11785.0
,"5,727",,
,"11,250",,
,"1,852","1,852",1852.0
,"69,000","3,610",3610.0
,"6,630",,
,,"39,375",39375.0
,186,"1,080",1080.0
,"2,241","2,241",2241.0
,"1,080",186,186.0
,"39,375",,
,,"6,630",6630.0
,"3,610","69,000",69000.0
,"42,681","42,681",42681.0
,,"4,150",4150.0
,"8,513","32,475",32475.0
,"34,183","11,000",11000.0
,"3,049","1,208",1208.0
,"18,624","18,624",18624.0
,"1,208","3,049",3049.0
,"11,000","34,183",34183.0
,"32,475","8,513",8513.0
,"4,150",,
,"14,276","14,276",14276.0
,"14,099","7,241",7241.0
,"1,832","16,272",16272.0
,"7,765","179,565",179565.0
,"23,000","5,400",5400.0
,225,225,225.0
,"5,400","23,000",23000.0
,"179,565","7,765",7765.0
,"16,272","1,832",1832.0
,"7,241","14,099",14099.0
,,"77,000",77000.0
,"160,100",,
,"11,000","2,892",2892.0
,"2,874","16,400",16400.0
,"30,908","46,724",46724.0
,"46,724","30,908",30908.0
,"16,400","2,874",2874.0
,"2,892","11,000",11000.0
,,"160,100",160100.0
,"77,000",,
,"5,625","5,625",5625.0
,"11,000","22,322",22322.0
,,,
,"21,000","11,265",11265.0
,,"62,222",62222.0
,"2,004","2,004",2004.0
,"62,222",,
,,"21,000",21000.0
,"22,322",,
,"11,265","11,000",11000.0
,"3,400","3,400",3400.0
,"21,000","2,216",2216.0
,"118,359","13,308",13308.0
,"12,000","87,401",87401.0
,"23,668","5,586",5586.0
,"2,394","2,394",2394.0
,"5,586","23,668",23668.0
,"87,401","12,000",12000.0
,"13,308","118,359",118359.0
,"2,216","21,000",21000.0
,"17,000","17,000",17000.0
,"9,289",,
,"283,910",,
,"7,000","52,000",52000.0
,"1,746","1,902",1902.0
,"2,051","2,051",2051.0
,"1,902","1,746",1746.0
,"52,000","7,000",7000.0
,,"283,910",283910.0
,,"9,289",9289.0
,"2,084","2,084",2084.0
,"5,441","9,685",9685.0
,"19,794","59,462",59462.0
,"7,342",,
