08-slytherin-revenue,07-silvestri-revenue_2022,00-avengers-annual_revenue_in_usd,04-iGMM-annual_revenue_in_usd,03-gren-annual_revenue_usd
864 million usd,,981 million usd,"3,114 million usd",2000000.0
846 million usd,,"2,137 million usd","1,517 million usd",
"1,517 million usd",,246 million usd,,246000000.0
"3,114 million usd",,,773 million usd,2137000000.0
"1,957 million usd",,2 million usd,846 million usd,981000000.0
157 million usd,,"7,833 million usd",864 million usd,498000000.0
not found,,"1,257 million usd","3,588 million usd",157000000.0
"3,741 million usd",,"1,957 million usd",484 million usd,1957000000.0
385 million usd,,185 million usd,185 million usd,3114000000.0
484 million usd,,484 million usd,,1517000000.0
"2,566 million usd",,"3,588 million usd",802 million usd,
802 million usd,,864 million usd,"2,566 million usd",773000000.0
"5,149 million usd",,846 million usd,385 million usd,846000000.0
713 million usd,,773 million usd,"5,149 million usd",864000000.0
185 million usd,,,"6,515 million usd",3588000000.0
"6,515 million usd",,"1,517 million usd","3,741 million usd",484000000.0
not found,,"3,114 million usd",713 million usd,185000000.0
99 million usd,,,"1,078 million usd",
213 million usd,,"5,254 million usd","5,254 million usd",802000000.0
"5,254 million usd",,"1,078 million usd",213 million usd,2566000000.0
"6,685 million usd",,713 million usd,99 million usd,385000000.0
60 million usd,,"3,741 million usd","1,721 million usd",5149000000.0
"1,078 million usd",,"6,515 million usd","1,481 million usd",6515000000.0
99 million usd,,"5,149 million usd",99 million usd,3741000000.0
"1,125 million usd",,385 million usd,"1,125 million usd",713000000.0
"1,481 million usd",,"2,566 million usd",60 million usd,1078000000.0
"1,721 million usd",,802 million usd,"6,685 million usd",5254000000.0
"7,461 million usd",,213 million usd,619 million usd,213000000.0
"1,117 million usd",,15 million usd,15 million usd,99000000.0
"3,114 million usd",,619 million usd,"1,117 million usd",1721000000.0
"2,052 million usd",,"6,685 million usd","1,047 million usd",1481000000.0
15 million usd,,60 million usd,334 million usd,99000000.0
619 million usd,,"1,125 million usd","2,052 million usd",1125000000.0
334 million usd,,99 million usd,"3,114 million usd",60000000.0
"1,047 million usd",,"1,481 million usd","6,247 million usd",6685000000.0
"6,247 million usd",,"1,721 million usd","7,461 million usd",619000000.0
"1,450 million usd",,99 million usd,"1,450 million usd",15000000.0
927 million usd,,"1,117 million usd",927 million usd,1117000000.0
"5,042 million usd",,970 million usd,970 million usd,1047000000.0
"1,331 million usd",,927 million usd,"1,488 million usd",334000000.0
"1,488 million usd",,"1,450 million usd",91 million usd,2052000000.0
"6,773 million usd",,"7,461 million usd",719 million usd,3114000000.0
"1,529 million usd",,"6,247 million usd","71,287 million usd",6247000000.0
"71,287 million usd",,"3,114 million usd","6,773 million usd",7461000000.0
719 million usd,,"2,052 million usd","5,042 million usd",1450000000.0
970 million usd,,334 million usd,"1,331 million usd",927000000.0
91 million usd,,"1,047 million usd","1,529 million usd",970000000.0
"1,871 million usd",,"1,488 million usd",,1488000000.0
"1,937 million usd",,705 million usd,705 million usd,91000000.0
"1,320 million usd",,,"1,937 million usd",719000000.0
705 million usd,,"1,529 million usd","2,755 million usd",71287000000.0
"3,130 million usd",,"1,331 million usd",592 million usd,6773000000.0
"5,846 million usd",,"5,042 million usd","5,846 million usd",5042000000.0
"4,833 million usd",,"6,773 million usd","4,833 million usd",1331000000.0
not found,,"71,287 million usd","1,871 million usd",1529000000.0
"2,755 million usd",,719 million usd,"1,320 million usd",
592 million usd,,91 million usd,"3,130 million usd",705000000.0
"4,351 million usd",,"1,937 million usd","1,968 million usd",1937000000.0
"2,188 million usd",,"1,567 million usd","1,567 million usd",2755000000.0
"2,123 million usd",,"1,968 million usd",642 million usd,592000000.0
979 million usd,,"3,130 million usd","2,123 million usd",5846000000.0
"1,968 million usd",,"1,320 million usd","2,356 million usd",4833000000.0
"1,567 million usd",,"1,871 million usd",979 million usd,1871000000.0
"1,698 million usd",,"4,833 million usd","4,351 million usd",1320000000.0
"46,587 million usd",,"5,846 million usd","1,698 million usd",3130000000.0
"2,356 million usd",,592 million usd,"46,587 million usd",1968000000.0
642 million usd,,"2,755 million usd","2,188 million usd",1567000000.0
652 million usd,,642 million usd,"1,866 million usd",642000000.0
"1,866 million usd",,493 million usd,493 million usd,2123000000.0
"1,552 million usd",,"1,866 million usd",652 million usd,2356000000.0
982 million usd,,"2,188 million usd","1,552 million usd",979000000.0
"5,164 million usd",,"46,587 million usd","1,304 million usd",4351000000.0
"2,281 million usd",,"1,698 million usd","5,164 million usd",1698000000.0
"18,490 million usd",,"4,351 million usd","18,490 million usd",46587000000.0
"1,304 million usd",,979 million usd,"2,281 million usd",2188000000.0
493 million usd,,"2,356 million usd",982 million usd,1866000000.0
843 million usd,,"2,123 million usd",843 million usd,493000000.0
"1,780 million usd",,652 million usd,790 million usd,652000000.0
790 million usd,,113 million usd,113 million usd,1552000000.0
"2,906 million usd",,790 million usd,"2,906 million usd",1304000000.0
113 million usd,,843 million usd,252 million usd,5164000000.0
"5,261 million usd",,982 million usd,"3,389 million usd",18490000000.0
"3,389 million usd",,"18,490 million usd","5,261 million usd",2281000000.0
252 million usd,,"2,281 million usd","1,780 million usd",982000000.0
425 million usd,,"5,164 million usd",664 million usd,843000000.0
664 million usd,,"1,304 million usd",425 million usd,790000000.0
"1,419 million usd",,"1,552 million usd","1,419 million usd",113000000.0
not found,,"2,906 million usd",461 million usd,2906000000.0
871 million usd,,"2,175 million usd","2,175 million usd",252000000.0
"1,509 million usd",,461 million usd,"2,079 million usd",3389000000.0
"1,223 million usd",,"1,419 million usd","10,562 million usd",5261000000.0
"10,562 million usd",,425 million usd,"4,805 million usd",1780000000.0
"2,254 million usd",,664 million usd,"1,223 million usd",664000000.0
"4,805 million usd",,"1,780 million usd",871 million usd,425000000.0
"2,079 million usd",,"5,261 million usd","2,254 million usd",1419000000.0
"2,175 million usd",,"3,389 million usd","1,509 million usd",461000000.0
461 million usd,,252 million usd,,2175000000.0
771 million usd,,"2,079 million usd",771 million usd,2079000000.0
"10,625 million usd",,219 million usd,219 million usd,10562000000.0
475 million usd,,771 million usd,175 million usd,4805000000.0
971 million usd,,,"11,736 million usd",1223000000.0
241 million usd,,"1,509 million usd","2,607 million usd",871000000.0
"2,607 million usd",,"2,254 million usd","10,625 million usd",2254000000.0
"15,329 million usd",,871 million usd,"15,329 million usd",1509000000.0
"11,736 million usd",,"1,223 million usd",241 million usd,
175 million usd,,"4,805 million usd",971 million usd,771000000.0
219 million usd,,"10,562 million usd",475 million usd,219000000.0
586 million usd,,175 million usd,"6,955 million usd",175000000.0
"1,784 million usd",,37 million usd,37 million usd,11736000000.0
"1,698 million usd",,"6,955 million usd",945 million usd,2607000000.0
210 million usd,,475 million usd,"1,351 million usd",10625000000.0
37 million usd,,971 million usd,210 million usd,15329000000.0
945 million usd,,241 million usd,"1,784 million usd",241000000.0
"1,172 million usd",,"15,329 million usd","1,698 million usd",971000000.0
"1,351 million usd",,"10,625 million usd","1,172 million usd",475000000.0
"6,955 million usd",,"2,607 million usd",586 million usd,6955000000.0
"65,344 million usd",,"11,736 million usd","65,344 million usd",37000000.0
81 million usd,,945 million usd,"3,544 million usd",945000000.0
517 million usd,,"24,786 million usd","24,786 million usd",1351000000.0
"1,215 million usd",,"3,544 million usd",352 million usd,210000000.0
352 million usd,,"65,344 million usd","17,596 million usd",1784000000.0
743 million usd,,586 million usd,517 million usd,1698000000.0
"17,596 million usd",,"1,172 million usd","1,215 million usd",1172000000.0
"24,786 million usd",,"1,698 million usd",743 million usd,586000000.0
"3,544 million usd",,"1,784 million usd",81 million usd,65344000000.0
"1,922 million usd",,210 million usd,"4,446 million usd",3544000000.0
"4,446 million usd",,"1,351 million usd","1,922 million usd",24786000000.0
259 million usd,,352 million usd,"3,655 million usd",352000000.0
"15,465 million usd",,"4,150 million usd","4,150 million usd",17596000000.0
"23,056 million usd",,"3,655 million usd",758 million usd,517000000.0
"3,280 million usd",,"1,922 million usd",540 million usd,1215000000.0
540 million usd,,"4,446 million usd","15,356 million usd",743000000.0
758 million usd,,81 million usd,"3,280 million usd",81000000.0
"4,150 million usd",,743 million usd,"23,056 million usd",4446000000.0
"15,356 million usd",,"1,215 million usd","7,927 million usd",1922000000.0
"7,927 million usd",,517 million usd,"15,465 million usd",3655000000.0
"3,655 million usd",,"17,596 million usd",259 million usd,4150000000.0
926 million usd,,758 million usd,926 million usd,758000000.0
"12,721 million usd",,554 million usd,554 million usd,540000000.0
"6,485 million usd",,926 million usd,"12,388 million usd",15356000000.0
"12,388 million usd",,259 million usd,"1,762 million usd",3280000000.0
"1,762 million usd",,"15,465 million usd",896 million usd,23056000000.0
896 million usd,,"7,927 million usd",754 million usd,7927000000.0
554 million usd,,"23,056 million usd","6,485 million usd",15465000000.0
667 million usd,,"3,280 million usd","12,721 million usd",259000000.0
754 million usd,,"15,356 million usd","3,357 million usd",926000000.0
"3,357 million usd",,540 million usd,667 million usd,554000000.0
201 million usd,,"12,388 million usd","5,724 million usd",12388000000.0
"1,179 million usd",,598 million usd,598 million usd,1762000000.0
"1,455 million usd",,"5,724 million usd","2,037 million usd",896000000.0
684 million usd,,667 million usd,80 million usd,754000000.0
"5,123 million usd",,"3,357 million usd",201 million usd,6485000000.0
598 million usd,,"12,721 million usd",684 million usd,12721000000.0
"2,037 million usd",,"6,485 million usd","1,455 million usd",3357000000.0
80 million usd,,754 million usd,"5,123 million usd",667000000.0
"5,724 million usd",,896 million usd,"1,179 million usd",5724000000.0
554 million usd,,"1,762 million usd",554 million usd,598000000.0
"1,160 million usd",,"2,037 million usd","1,889 million usd",2037000000.0
"13,481 million usd",,"2,772 million usd","2,772 million usd",80000000.0
"1,133 million usd",,"1,889 million usd",133 million usd,201000000.0
"1,889 million usd",,554 million usd,"1,160 million usd",684000000.0
707 million usd,,"1,179 million usd","1,133 million usd",1455000000.0
589 million usd,,"5,123 million usd",589 million usd,5123000000.0
"3,073 million usd",,"1,455 million usd",707 million usd,1179000000.0
"2,772 million usd",,684 million usd,"13,481 million usd",554000000.0
133 million usd,,201 million usd,220 million usd,1889000000.0
220 million usd,,80 million usd,"3,073 million usd",2772000000.0
499 million usd,,133 million usd,499 million usd,133000000.0
252 million usd,,484 million usd,484 million usd,1160000000.0
"1,694 million usd",,499 million usd,"4,766 million usd",1133000000.0
"2,677 million usd",,"3,073 million usd","2,787 million usd",589000000.0
484 million usd,,220 million usd,"1,861 million usd",707000000.0
"3,358 million usd",,"13,481 million usd","8,945 million usd",13481000000.0
"2,787 million usd",,707 million usd,252 million usd,220000000.0
"1,861 million usd",,589 million usd,"3,358 million usd",3073000000.0
"8,945 million usd",,"1,133 million usd","1,694 million usd",499000000.0
"4,766 million usd",,"1,160 million usd","2,677 million usd",484000000.0
60 million usd,,"4,766 million usd",250 million usd,4766000000.0
"1,717 million usd",,"18,650 million usd","18,650 million usd",2787000000.0
250 million usd,,250 million usd,,1861000000.0
not found,,"2,677 million usd","1,717 million usd",8945000000.0
"6,638 million usd",,"1,694 million usd","6,638 million usd",252000000.0
230 million usd,,"3,358 million usd",230 million usd,3358000000.0
"18,650 million usd",,252 million usd,60 million usd,1694000000.0
"1,010 million usd",,"8,945 million usd",43 million usd,2677000000.0
874 million usd,,"1,861 million usd","1,010 million usd",250000000.0
43 million usd,,"2,787 million usd",874 million usd,18650000000.0
874 million usd,,,874 million usd,
481 million usd,,"2,761 million usd","2,761 million usd",1717000000.0
171 million usd,,874 million usd,761 million usd,6638000000.0
949 million usd,,874 million usd,"2,040 million usd",230000000.0
446 million usd,,"1,010 million usd","5,013 million usd",60000000.0
"6,218 million usd",,43 million usd,446 million usd,43000000.0
761 million usd,,60 million usd,171 million usd,1010000000.0
"2,761 million usd",,230 million usd,"6,218 million usd",874000000.0
"5,013 million usd",,"6,638 million usd",949 million usd,874000000.0
"2,040 million usd",,"1,717 million usd",481 million usd,2761000000.0
"1,652 million usd",,761 million usd,"7,499 million usd",761000000.0
"7,499 million usd",,"1,499 million usd","1,499 million usd",2040000000.0
"5,816 million usd",,"7,499 million usd","1,241 million usd",5013000000.0
340 million usd,,481 million usd,"1,652 million usd",446000000.0
"6,421 million usd",,949 million usd,"1,345 million usd",171000000.0
"1,345 million usd",,"6,218 million usd",216 million usd,6218000000.0
126 million usd,,171 million usd,126 million usd,949000000.0
"1,241 million usd",,446 million usd,"6,421 million usd",481000000.0
"1,499 million usd",,"5,013 million usd",340 million usd,7499000000.0
216 million usd,,"2,040 million usd","5,816 million usd",1499000000.0
336 million usd,,"1,241 million usd","1,983 million usd",1241000000.0
"2,555 million usd",,"2,244 million usd","2,244 million usd",1652000000.0
575 million usd,,"1,983 million usd","1,864 million usd",1345000000.0
"1,675 million usd",,"5,816 million usd","6,670 million usd",216000000.0
"2,244 million usd",,340 million usd,"1,675 million usd",126000000.0
"6,670 million usd",,"6,421 million usd","2,555 million usd",6421000000.0
"1,983 million usd",,126 million usd,575 million usd,340000000.0
"1,864 million usd",,216 million usd,"1,607 million usd",5816000000.0
"3,769 million usd",,"1,345 million usd",336 million usd,1983000000.0
"1,607 million usd",,"1,652 million usd","3,769 million usd",2244000000.0
641 million usd,,"1,864 million usd",641 million usd,1864000000.0
"30,181 million usd",,1 million usd,1 million usd,6670000000.0
258 million usd,,641 million usd,"2,135 million usd",1675000000.0
not found,,"3,769 million usd",759 million usd,2555000000.0
759 million usd,,336 million usd,593 million usd,575000000.0
"1,884 million usd",,"1,607 million usd","2,834 million usd",1607000000.0
"2,135 million usd",,575 million usd,"1,884 million usd",336000000.0
593 million usd,,"2,555 million usd","30,181 million usd",3769000000.0
"2,834 million usd",,"1,675 million usd",258 million usd,641000000.0
1 million usd,,"6,670 million usd",,1000000.0
314 million usd,,"2,135 million usd","5,791 million usd",2135000000.0
"1,514 million usd",,"1,719 million usd","1,719 million usd",759000000.0
"3,660 million usd",,"5,791 million usd",425 million usd,593000000.0
132 million usd,,,"9,785 million usd",2834000000.0
"5,791 million usd",,258 million usd,792 million usd,1884000000.0
"9,785 million usd",,"30,181 million usd","1,514 million usd",30181000000.0
792 million usd,,"1,884 million usd",132 million usd,258000000.0
425 million usd,,"2,834 million usd","3,660 million usd",
"1,719 million usd",,593 million usd,"1,243 million usd",5791000000.0
"1,243 million usd",,759 million usd,314 million usd,1719000000.0
190 million usd,,425 million usd,532 million usd,425000000.0
532 million usd,,"1,546 million usd","1,546 million usd",9785000000.0
972 million usd,,532 million usd,"2,901 million usd",792000000.0
"1,427 million usd",,314 million usd,395 million usd,1514000000.0
887 million usd,,"1,243 million usd","6,099 million usd",132000000.0
"1,546 million usd",,"3,660 million usd",887 million usd,3660000000.0
"5,344 million usd",,132 million usd,190 million usd,1243000000.0
395 million usd,,"1,514 million usd","1,427 million usd",314000000.0
"6,099 million usd",,792 million usd,"5,344 million usd",532000000.0
"2,901 million usd",,"9,785 million usd",972 million usd,1546000000.0
"3,656 million usd",,"2,901 million usd",360 million usd,2901000000.0
"1,000 million usd",,"8,310 million usd","8,310 million usd",395000000.0
"1,508 million usd",,360 million usd,622 million usd,6099000000.0
360 million usd,,972 million usd,8 million usd,887000000.0
"4,028 million usd",,"5,344 million usd","1,203 million usd",190000000.0
"1,203 million usd",,"1,427 million usd","1,508 million usd",1427000000.0
"1,013 million usd",,190 million usd,"1,000 million usd",5344000000.0
622 million usd,,887 million usd,"1,013 million usd",972000000.0
"8,310 million usd",,"6,099 million usd","4,028 million usd",360000000.0
8 million usd,,395 million usd,"3,656 million usd",8310000000.0
"2,304 million usd",,622 million usd,"1,049 million usd",622000000.0
515 million usd,,453 million usd,453 million usd,8000000.0
not found,,"1,049 million usd",515 million usd,1203000000.0
"2,782 million usd",,"3,656 million usd",118 million usd,1508000000.0
453 million usd,,"4,028 million usd","2,782 million usd",1000000000.0
"12,434 million usd",,"1,013 million usd",,1013000000.0
not found,,"1,000 million usd","12,434 million usd",4028000000.0
118 million usd,,"1,508 million usd",,3656000000.0
"1,049 million usd",,"1,203 million usd","2,304 million usd",1049000000.0
"5,731 million usd",,8 million usd,"5,731 million usd",453000000.0
"3,633 million usd",,515 million usd,"3,633 million usd",515000000.0
not found,,315 million usd,315 million usd,118000000.0
not found,,"3,633 million usd",400 million usd,2782000000.0
not found,,"5,731 million usd","2,811 million usd",
not found,,"2,304 million usd",,12434000000.0
not found,,,,
315 million usd,,"12,434 million usd",,2304000000.0
400 million usd,,,,5731000000.0
not found,,"2,782 million usd",,3633000000.0
"2,811 million usd",,118 million usd,,315000000.0
not found,,400 million usd,,400000000.0
not found,,804 million usd,804 million usd,2811000000.0
not found,,,"4,200 million usd",
not found,,,"1,323 million usd",
347 million usd,,,294 million usd,
"4,200 million usd",,,,
"1,323 million usd",,,,
804 million usd,,,347 million usd,
294 million usd,,,,
not found,,"2,811 million usd",,804000000.0
"1,074 million usd",,"4,200 million usd","1,074 million usd",4200000000.0
"1,192 million usd",,"2,124 million usd","2,124 million usd",1323000000.0
not found,,"1,074 million usd","7,760 million usd",294000000.0
"2,881 million usd",,,"6,085 million usd",
"3,829 million usd",,,,
"6,085 million usd",,347 million usd,767 million usd,347000000.0
767 million usd,,,,
"2,124 million usd",,,"3,829 million usd",
"7,760 million usd",,294 million usd,"2,881 million usd",1074000000.0
1242 million usd annual revenue for year ending dec-2020,,"1,323 million usd","1,192 million usd",2124000000.0
288 million usd,,"7,760 million usd",288 million usd,7760000000.0
403 million usd,,,,6085000000.0
42 million usd,,288 million usd,403 million usd,
434 million usd,,"1,192 million usd","1,872 million usd",767000000.0
not found,,"2,881 million usd","3,808 million usd",
not found,,"3,829 million usd","3,409 million usd",3829000000.0
"4,754 million usd",,,434 million usd,2881000000.0
"1,872 million usd",,767 million usd,42 million usd,1192000000.0
"3,409 million usd",,,,288000000.0
"3,808 million usd",,"6,085 million usd","4,754 million usd",
not found,,403 million usd,"1,872 million usd",403000000.0
401 million usd,,828 million usd,828 million usd,1872000000.0
"2,071 million usd",,"1,872 million usd","2,071 million usd",3808000000.0
828 million usd,,"4,754 million usd",375 million usd,3409000000.0
769 million usd,,,769 million usd,434000000.0
"3,394 million usd",,42 million usd,"3,394 million usd",42000000.0
"1,872 million usd",,434 million usd,,
324 million usd,,"3,409 million usd",401 million usd,4754000000.0
375 million usd,,"3,808 million usd",,1872000000.0
not found,,"1,872 million usd",324 million usd,828000000.0
385 million usd,,"2,071 million usd","1,899 million usd",2071000000.0
"3,357 million usd",,"3,357 million usd","3,357 million usd",375000000.0
488 million usd,,"1,899 million usd",589 million usd,769000000.0
not found,,324 million usd,488 million usd,3394000000.0
696 million usd annual revenue for year ending dec-2020,,,"3,285 million usd",
"1,749 million usd",,401 million usd,,401000000.0
589 million usd,,,"1,749 million usd",
"1,899 million usd",,"3,394 million usd",385 million usd,324000000.0
"3,285 million usd",,769 million usd,,1899000000.0
not found,,375 million usd,,3357000000.0
138 million usd,,589 million usd,138 million usd,589000000.0
"1,272 million usd",,"2,376 million usd","2,376 million usd",488000000.0
"6,274 million usd",,138 million usd,"6,274 million usd",3285000000.0
"3,439 million usd",,,"3,439 million usd",
"2,762 million usd",,,"2,762 million usd",1749000000.0
"2,284 million usd",,385 million usd,"1,272 million usd",385000000.0
"1,457 million usd",,"1,749 million usd","3,236 million usd",
404 million usd,,,404 million usd,
"3,236 million usd",,"3,285 million usd","1,457 million usd",138000000.0
"2,376 million usd",,488 million usd,"2,284 million usd",2376000000.0
154 million usd,,"6,274 million usd","1,104 million usd",6274000000.0
335 million usd,,"3,288 million usd","3,288 million usd",3439000000.0
"1,821 million usd",,"1,104 million usd","1,765 million usd",2762000000.0
664 million usd,,"2,284 million usd",664 million usd,1272000000.0
"2,596 million usd",,"1,457 million usd",,3236000000.0
not found,,404 million usd,"2,596 million usd",404000000.0
"2,041 million usd",,"3,236 million usd",335 million usd,1457000000.0
"3,288 million usd",,"1,272 million usd","1,821 million usd",2284000000.0
"1,104 million usd",,"2,762 million usd","2,041 million usd",1104000000.0
"1,765 million usd",,"3,439 million usd",154 million usd,3288000000.0
"2,327 million usd",,"1,765 million usd",35 million usd,1765000000.0
"4,263 million usd",,"21,063 million usd","21,063 million usd",664000000.0
569 million usd,,35 million usd,296 million usd,
"3,513 million usd",,154 million usd,"19,499 million usd",2596000000.0
"19,499 million usd",,"2,041 million usd","1,643 million usd",335000000.0
-418 million usd,,"1,821 million usd","3,513 million usd",1821000000.0
35 million usd,,335 million usd,569 million usd,2041000000.0
"1,643 million usd",,"2,596 million usd",-418 million usd,154000000.0
296 million usd,,,"4,263 million usd",35000000.0
"21,063 million usd",,664 million usd,"2,327 million usd",21063000000.0
not found,,296 million usd,,296000000.0
"12,677 million usd",,"25,600 million usd","25,600 million usd",19499000000.0
not found,,,290 million usd,1643000000.0
"1,318 million usd",,"2,327 million usd",505 million usd,3513000000.0
"3,376 million usd",,"4,263 million usd",0 million usd,569000000.0
"25,600 million usd",,-418 million usd,"1,318 million usd",-418000000.0
415 million usd,,569 million usd,415 million usd,4263000000.0
0 million usd,,"3,513 million usd","3,376 million usd",2327000000.0
505 million usd,,"1,643 million usd",,
290 million usd,,290 million usd,"12,677 million usd",25600000000.0
not found,,"19,499 million usd",,290000000.0
"3,050 million usd",,623 million usd,623 million usd,505000000.0
"4,588 million usd",,,,0.0
"1,017 million usd",,"12,677 million usd",,1318000000.0
"1,177 million usd",,,"1,177 million usd",415000000.0
623 million usd,,"3,376 million usd",,3376000000.0
not found,,415 million usd,,
not found,,"1,318 million usd","1,017 million usd",12677000000.0
not found,,0 million usd,"4,588 million usd",
not found,,505 million usd,"3,050 million usd",623000000.0
not found,,,,
not found,,"4,078 million usd","4,078 million usd",
"30,432 million usd",,,749 million usd,1177000000.0
795 million usd,,"3,050 million usd","2,067 million usd",
not found,,"4,588 million usd","30,432 million usd",
749 million usd,,"1,017 million usd",,1017000000.0
"2,067 million usd",,,,4588000000.0
"4,078 million usd",,,"1,031 million usd",3050000000.0
not found,,"1,177 million usd",,
"1,031 million usd",,,795 million usd,4078000000.0
"1,904 million usd",,749 million usd,"1,342 million usd",749000000.0
"17,174 million usd",,,,2067000000.0
"1,342 million usd",,"1,342 million usd",,30432000000.0
343 million usd,,795 million usd,,
not found,,,57 million usd,
not found,,"1,031 million usd","17,174 million usd",1031000000.0
439 million usd,,,343 million usd,
"6,865 million usd",,,"1,904 million usd",795000000.0
not found,,"30,432 million usd","6,865 million usd",1342000000.0
57 million usd,,"2,067 million usd",439 million usd,
"1,468 million usd",,,149 million usd,
429 million usd,,58 million usd,58 million usd,
58 million usd,,149 million usd,"1,614 million usd",57000000.0
"2,202 million usd",,439 million usd,"2,202 million usd",17174000000.0
460 million usd,,"6,865 million usd",429 million usd,343000000.0
"1,614 million usd",,"1,904 million usd","1,468 million usd",1904000000.0
149 million usd,,343 million usd,460 million usd,6865000000.0
845 million usd,,"17,174 million usd","1,707 million usd",439000000.0
999 million usd,,57 million usd,845 million usd,149000000.0
"1,707 million usd",,,999 million usd,58000000.0
259 million usd,,"1,614 million usd",,1614000000.0
660 million usd,,299 million usd,299 million usd,2202000000.0
3 million usd,,,660 million usd,429000000.0
not found,,999 million usd,,1468000000.0
"1,774 million usd",,845 million usd,"2,773 million usd",460000000.0
299 million usd,,"1,707 million usd","1,774 million usd",1707000000.0
"2,773 million usd",,460 million usd,,845000000.0
not found,,"1,468 million usd",3 million usd,999000000.0
"10,952 million usd",,429 million usd,"10,952 million usd",
not found,,"2,202 million usd",259 million usd,299000000.0
"2,312 million usd",,660 million usd,"2,312 million usd",660000000.0
"1,679 million usd",,"2,821 million usd","2,821 million usd",
"1,541 million usd",,"2,312 million usd",,2773000000.0
518 million usd,,259 million usd,518 million usd,1774000000.0
"1,548 million usd",,"10,952 million usd","1,063 million usd",
"1,063 million usd",,3 million usd,581 million usd,3000000.0
929 million usd,,,"1,548 million usd",10952000000.0
581 million usd,,"1,774 million usd","1,541 million usd",259000000.0
not found,,"2,773 million usd","1,679 million usd",2312000000.0
"2,821 million usd",,,929 million usd,2821000000.0
not found,,,988 million usd,
988 million usd,,,,518000000.0
not found,,988 million usd,"14,044 million usd",1063000000.0
"7,596 million usd",,929 million usd,,581000000.0
not found,,"1,679 million usd",,1548000000.0
not found,,"1,541 million usd",,1541000000.0
not found,,"1,548 million usd",,1679000000.0
not found,,581 million usd,647 million usd,929000000.0
647 million usd,,"1,063 million usd",,988000000.0
"14,044 million usd",,518 million usd,"7,596 million usd",
921 million usd,,"14,044 million usd","1,372 million usd",14044000000.0
"1,372 million usd",,921 million usd,921 million usd,
"8,660 million usd",,"1,372 million usd",941 million usd,
not found,,"7,596 million usd",,
941 million usd,,,"3,837 million usd",
"3,837 million usd",,647 million usd,"4,141 million usd",647000000.0
"1,549 million usd",,,"1,549 million usd",
not found,,,"8,660 million usd",7596000000.0
295 million usd,,,,1372000000.0
"4,141 million usd",,,295 million usd,921000000.0
"2,045 million usd",,941 million usd,"2,045 million usd",941000000.0
"2,322 million usd",,"1,318 million usd","1,318 million usd",
305 million usd,,"2,045 million usd",13 million usd,3837000000.0
"6,888 million usd",,295 million usd,"2,405 million usd",4141000000.0
"1,318 million usd",,,"5,177 million usd",1549000000.0
"2,405 million usd",,"8,660 million usd","6,888 million usd",8660000000.0
"5,177 million usd",,"1,549 million usd",305 million usd,
"5,126 million usd",,"4,141 million usd","2,322 million usd",295000000.0
118 million usd,,,118 million usd,2045000000.0
13 million usd,,"3,837 million usd","5,126 million usd",1318000000.0
"1,977 million usd",,13 million usd,"1,977 million usd",13000000.0
263 million usd,,"3,886 million usd","3,886 million usd",2405000000.0
429 million usd,,"1,977 million usd","8,991 million usd",5177000000.0
"2,084 million usd",,"5,126 million usd",429 million usd,6888000000.0
"9,294 million usd",,118 million usd,"1,152 million usd",305000000.0
"3,886 million usd",,"2,322 million usd","10,423 million usd",2322000000.0
"1,306 million usd",,305 million usd,"9,294 million usd",118000000.0
"10,423 million usd",,"6,888 million usd",263 million usd,5126000000.0
"8,991 million usd",,"5,177 million usd","1,306 million usd",1977000000.0
"1,152 million usd",,"2,405 million usd","2,084 million usd",3886000000.0
not found,,"8,991 million usd",,8991000000.0
not found,,,,429000000.0
452 million usd,,,"1,258 million usd",1152000000.0
"4,250 million usd",,"2,084 million usd",160 million usd,10423000000.0
879 million usd,,"1,306 million usd","4,250 million usd",9294000000.0
"2,306 million usd",,263 million usd,879 million usd,263000000.0
160 million usd,,"9,294 million usd","2,306 million usd",1306000000.0
"1,258 million usd",,"10,423 million usd",452 million usd,2084000000.0
not found,,"1,152 million usd",,
"8,492 million usd",,429 million usd,"8,492 million usd",
"1,886 million usd",,"1,258 million usd","1,886 million usd",1258000000.0
"1,056 million usd",,"1,364 million usd","1,364 million usd",160000000.0
252 million usd,,"1,886 million usd",,4250000000.0
"1,567 million usd",,"8,492 million usd",,879000000.0
583 million usd,,,"1,567 million usd",2306000000.0
not found,,452 million usd,583 million usd,452000000.0
not found,,"2,306 million usd",,
"1,364 million usd",,879 million usd,869 million usd,8492000000.0
869 million usd,,"4,250 million usd","1,056 million usd",1886000000.0
not found,,160 million usd,252 million usd,1364000000.0
236 million usd,,,"3,882 million usd",
"3,882 million usd",,,,
"1,752 million usd",,"3,882 million usd",47 million usd,1567000000.0
178 million usd,,252 million usd,"3,318 million usd",583000000.0
47 million usd,,"1,056 million usd",,
not found,,869 million usd,178 million usd,869000000.0
"1,602 million usd",,,"1,752 million usd",1056000000.0
953 million usd,,583 million usd,"1,602 million usd",252000000.0
not found,,"1,567 million usd",236 million usd,3882000000.0
"3,318 million usd",,,953 million usd,
975 million usd,,47 million usd,"6,759 million usd",47000000.0
"6,759 million usd",,"2,082 million usd","2,082 million usd",3318000000.0
"1,669 million usd",,"6,759 million usd","6,875 million usd",
624 million usd,,953 million usd,"4,100 million usd",178000000.0
