07-silvestri-market_value_jan_2020,04-iGMM-market_value__jan_1st_2020
4.277 billion usd,36.743 billion usd
5.597 billion usd,13.628 billion usd
9.076 billion usd,29.846 billion usd
4.370 billion usd,30.807 billion usd
3.574 billion usd,27.390 billion usd
2.507 billion usd,18.362 billion usd
6.677 billion usd,21.755 billion usd
3.872 billion usd,24.601 billion usd
,28.633 billion usd
3.832 billion usd,44.275 billion usd
,32.607 billion usd
4.160 billion usd,
6.505 billion usd,38.947 billion usd
4.007 billion usd,10.070 billion usd
,36.525 billion usd
6.840 billion usd,33.563 billion usd
6.721 billion usd,21.166 billion usd
3.697 billion usd,22.830 billion usd
3.422 billion usd,42.900 billion usd
7.588 billion usd,26.905 billion usd
3.805 billion usd,17.131 billion usd
4.451 billion usd,14.693 billion usd
,17.202 billion usd
9.172 billion usd,17.129 billion usd
,75.051 billion usd
3.470 billion usd,17.051 billion usd
3.428 billion usd,29.005 billion usd
5.391 billion usd,32.045 billion usd
4.771 billion usd,31.312 billion usd
4.604 billion usd,27.359 billion usd
2.401 billion usd,23.089 billion usd
4.068 billion usd,21.550 billion usd
,17.588 billion usd
,15.687 billion usd
3.687 billion usd,33.557 billion usd
2.314 billion usd,19.694 billion usd
3.967 billion usd,21.645 billion usd
5.205 billion usd,
3.668 billion usd,35.101 billion usd
,19.260 billion usd
3.531 billion usd,30.912 billion usd
,35.212 billion usd
3.120 billion usd,14.171 billion usd
2.463 billion usd,23.565 billion usd
5.245 billion usd,
1.282 billion usd,31.546 billion usd
3.653 billion usd,39.946 billion usd
3.202 billion usd,27.101 billion usd
3.404 billion usd,18.120 billion usd
3.328 billion usd,25.285 billion usd
3.124 billion usd,22.939 billion usd
,5.916 billion usd
3.102 billion usd,22.289 billion usd
,11.808 billion usd
8.091 billion usd,22.281 billion usd
1.958 billion usd,15.499 billion usd
2.069 billion usd,23.572 billion usd
4.878 billion usd,25.254 billion usd
3.886 billion usd,6.845 billion usd
2.791 billion usd,29.859 billion usd
3.211 billion usd,19.890 billion usd
,38.162 billion usd
4.514 billion usd,17.389 billion usd
4.981 billion usd,28.912 billion usd
3.611 billion usd,43.726 billion usd
,24.667 billion usd
3.208 billion usd,21.983 billion usd
,21.989 billion usd
,21.060 billion usd
3.886 billion usd,38.089 billion usd
2.612 billion usd,26.397 billion usd
1.237 billion usd,39.406 billion usd
3.050 billion usd,25.411 billion usd
2.666 billion usd,27.556 billion usd
3.573 billion usd,2.200 billion usd
7.002 billion usd,24.598 billion usd
,29.266 billion usd
3.585 billion usd,14.294 billion usd
3.771 billion usd,14.187 billion usd
4.766 billion usd,21.828 billion usd
,29.108 billion usd
2.141 billion usd,30.312 billion usd
4.385 billion usd,27.164 billion usd
3.232 billion usd,22.641 billion usd
,19.966 billion usd
5.663 billion usd,32.996 billion usd
0.858 billion usd,
2.682 billion usd,8.348 billion usd
2.482 billion usd,29.890 billion usd
4.992 billion usd,20.626 billion usd
,2.279 billion usd
4.835 billion usd,
5.216 billion usd,10.359 billion usd
2.710 billion usd,32.401 billion usd
,7.767 billion usd
1.165 billion usd,
1.556 billion usd,32.403 billion usd
4.883 billion usd,18.608 billion usd
4.600 billion usd,16.857 billion usd
3.893 billion usd,10.877 billion usd
,34.752 billion usd
3.398 billion usd,43.847 billion usd
