07-silvestri-market_value_jan_2020,04-iGMM-market_value__jan_1st_2020
,6.772 billion usd
,4.701 billion usd
,2.589 billion usd
,8.006 billion usd
,
,9.254 billion usd
,2.828 billion usd
,7.606 billion usd
,
,6.713 billion usd
,6.560 billion usd
,6.199 billion usd
,9.153 billion usd
,3.511 billion usd
,13.119 billion usd
,2.739 billion usd
,1.744 billion usd
,
,8.510 billion usd
,5.815 billion usd
,2.614 billion usd
,5.237 billion usd
,2.986 billion usd
,6.203 billion usd
,11.284 billion usd
,6.495 billion usd
,10.387 billion usd
,6.030 billion usd
,
,12.890 billion usd
,27.990 billion usd
,5.177 billion usd
,4.262 billion usd
,2.684 billion usd
,11.237 billion usd
,2.809 billion usd
,7.185 billion usd
,4.730 billion usd
,10.370 billion usd
,7.795 billion usd
,9.214 billion usd
,6.922 billion usd
,
,9.648 billion usd
,5.992 billion usd
,13.922 billion usd
,4.338 billion usd
,5.148 billion usd
,
,7.858 billion usd
,
,7.336 billion usd
,3.484 billion usd
,2.871 billion usd
,2.290 billion usd
,7.473 billion usd
,4.064 billion usd
,3.487 billion usd
,8.321 billion usd
,7.578 billion usd
,2.517 billion usd
,15.659 billion usd
,9.945 billion usd
,9.813 billion usd
,8.757 billion usd
,8.900 billion usd
,6.868 billion usd
,8.353 billion usd
,8.720 billion usd
,6.759 billion usd
,5.951 billion usd
,7.105 billion usd
,6.343 billion usd
,4.642 billion usd
,5.236 billion usd
,5.960 billion usd
,5.416 billion usd
,
,9.019 billion usd
,3.623 billion usd
,6.422 billion usd
,8.411 billion usd
,6.269 billion usd
,8.495 billion usd
,4.235 billion usd
,1.764 billion usd
,
,4.309 billion usd
,7.402 billion usd
,2.090 billion usd
,6.939 billion usd
,8.586 billion usd
,7.247 billion usd
,8.889 billion usd
,
,3.901 billion usd
,5.070 billion usd
,7.778 billion usd
,6.469 billion usd
,6.243 billion usd
,4.161 billion usd
,7.267 billion usd
,7.709 billion usd
,13.154 billion usd
,6.485 billion usd
,4.941 billion usd
,2.209 billion usd
,4.970 billion usd
,2.333 billion usd
,10.681 billion usd
,6.438 billion usd
,6.975 billion usd
,6.406 billion usd
,10.694 billion usd
,6.427 billion usd
,5.682 billion usd
,
,6.376 billion usd
,6.095 billion usd
,7.091 billion usd
,6.493 billion usd
,6.173 billion usd
,6.068 billion usd
,8.050 billion usd
,6.309 billion usd
,
,8.320 billion usd
,12.198 billion usd
,6.382 billion usd
,8.173 billion usd
,9.550 billion usd
,8.383 billion usd
,3.030 billion usd
,1.732 billion usd
,8.894 billion usd
,0.486 billion usd
,17.755 billion usd
,3.924 billion usd
,0.967 billion usd
,5.219 billion usd
,2.166 billion usd
,5.311 billion usd
,7.475 billion usd
,4.413 billion usd
,10.755 billion usd
,6.405 billion usd
,5.825 billion usd
,9.298 billion usd
,7.925 billion usd
,
,10.176 billion usd
,1.904 billion usd
,5.378 billion usd
,7.552 billion usd
,11.252 billion usd
,6.178 billion usd
,2.248 billion usd
,2.773 billion usd
,3.349 billion usd
,9.442 billion usd
,3.473 billion usd
,8.449 billion usd
,7.014 billion usd
,2.467 billion usd
,6.528 billion usd
,4.422 billion usd
,6.345 billion usd
,6.260 billion usd
,10.762 billion usd
,
,8.816 billion usd
,12.393 billion usd
,5.559 billion usd
,10.752 billion usd
,4.160 billion usd
,5.253 billion usd
,2.221 billion usd
,9.994 billion usd
,7.204 billion usd
,0.709 billion usd
,4.129 billion usd
,10.080 billion usd
,
,12.713 billion usd
,10.176 billion usd
,4.239 billion usd
,6.968 billion usd
,8.863 billion usd
,6.767 billion usd
,6.294 billion usd
,5.632 billion usd
,9.771 billion usd
,4.231 billion usd
,5.528 billion usd
,8.371 billion usd
,3.577 billion usd
,3.852 billion usd
,6.878 billion usd
,4.740 billion usd
,1.609 billion usd
,7.671 billion usd
,5.445 billion usd
,11.519 billion usd
,4.354 billion usd
,
,9.743 billion usd
,8.650 billion usd
,3.252 billion usd
,3.974 billion usd
,3.803 billion usd
,3.842 billion usd
,9.176 billion usd
,
,10.409 billion usd
,5.203 billion usd
,4.894 billion usd
,6.382 billion usd
,
,6.544 billion usd
,5.417 billion usd
,5.418 billion usd
,7.535 billion usd
,7.424 billion usd
,7.707 billion usd
,5.543 billion usd
,7.180 billion usd
,8.693 billion usd
,4.396 billion usd
,5.781 billion usd
,6.173 billion usd
,11.129 billion usd
,7.039 billion usd
,8.952 billion usd
,8.419 billion usd
,6.094 billion usd
,6.373 billion usd
,3.116 billion usd
,16.000 billion usd
,7.228 billion usd
,5.516 billion usd
,7.631 billion usd
,5.090 billion usd
,8.012 billion usd
,
,6.831 billion usd
,6.247 billion usd
,8.429 billion usd
,3.875 billion usd
,3.565 billion usd
,8.368 billion usd
,3.256 billion usd
,7.111 billion usd
,6.716 billion usd
,4.988 billion usd
,5.300 billion usd
,
,
,
,
,
,
,8.423 billion usd
,6.445 billion usd
,1.152 billion usd
,7.035 billion usd
,5.051 billion usd
,
,8.565 billion usd
,3.892 billion usd
,3.257 billion usd
,4.687 billion usd
,7.367 billion usd
,10.927 billion usd
,13.813 billion usd
,5.676 billion usd
,4.429 billion usd
,8.158 billion usd
,4.729 billion usd
,
,5.532 billion usd
,5.041 billion usd
,5.784 billion usd
,6.105 billion usd
,8.372 billion usd
,8.966 billion usd
,2.835 billion usd
,6.978 billion usd
,9.296 billion usd
,7.764 billion usd
,4.617 billion usd
,9.803 billion usd
,8.544 billion usd
,2.333 billion usd
,5.265 billion usd
,7.686 billion usd
,5.407 billion usd
,6.781 billion usd
,3.399 billion usd
,4.685 billion usd
,
,7.732 billion usd
,5.346 billion usd
,2.425 billion usd
,9.666 billion usd
,4.408 billion usd
,6.348 billion usd
,4.758 billion usd
,10.076 billion usd
,0.477 billion usd
,3.979 billion usd
,7.243 billion usd
,2.918 billion usd
,7.371 billion usd
,6.281 billion usd
,4.364 billion usd
,4.752 billion usd
,13.128 billion usd
,7.284 billion usd
,7.761 billion usd
,
,
,3.678 billion usd
,5.256 billion usd
,3.264 billion usd
,
,4.762 billion usd
,
,4.967 billion usd
,5.433 billion usd
,17.895 billion usd
,4.496 billion usd
,5.682 billion usd
,6.243 billion usd
,11.156 billion usd
,6.315 billion usd
,
,6.653 billion usd
,6.831 billion usd
,5.988 billion usd
,5.876 billion usd
,4.516 billion usd
,5.523 billion usd
,8.753 billion usd
,3.874 billion usd
,19.999 billion usd
,2.058 billion usd
,5.647 billion usd
,10.352 billion usd
,3.149 billion usd
,5.140 billion usd
,1.350 billion usd
,5.851 billion usd
,5.237 billion usd
,8.000 billion usd
,9.362 billion usd
,4.577 billion usd
,3.894 billion usd
,9.112 billion usd
,7.700 billion usd
,2.525 billion usd
,12.155 billion usd
,6.070 billion usd
,7.512 billion usd
,7.404 billion usd
,3.846 billion usd
,4.357 billion usd
,3.263 billion usd
,5.048 billion usd
,2.714 billion usd
,6.678 billion usd
,3.495 billion usd
,4.767 billion usd
,2.428 billion usd
,2.897 billion usd
,
,2.826 billion usd
,13.512 billion usd
,9.931 billion usd
,8.105 billion usd
,0.120 billion usd
,5.385 billion usd
,8.980 billion usd
,3.341 billion usd
,8.280 billion usd
,9.285 billion usd
,4.422 billion usd
,3.414 billion usd
,2.635 billion usd
,6.131 billion usd
,7.829 billion usd
,5.972 billion usd
,2.560 billion usd
,6.536 billion usd
,6.828 billion usd
,
,7.667 billion usd
,2.125 billion usd
,7.887 billion usd
,
,10.928 billion usd
,10.952 billion usd
,8.026 billion usd
,1.743 billion usd
,7.416 billion usd
,4.385 billion usd
,8.117 billion usd
,10.360 billion usd
,1.568 billion usd
,3.027 billion usd
,5.514 billion usd
,4.801 billion usd
,3.743 billion usd
,7.999 billion usd
,19.073 billion usd
,2.375 billion usd
,
,2.685 billion usd
,9.182 billion usd
,8.362 billion usd
,5.450 billion usd
,4.939 billion usd
,
,
,6.303 billion usd
,
,7.350 billion usd
,9.225 billion usd
,2.408 billion usd
,8.086 billion usd
,1.948 billion usd
,0.496 billion usd
,9.780 billion usd
,4.397 billion usd
,11.583 billion usd
,9.394 billion usd
,5.414 billion usd
,5.721 billion usd
,0.066 billion usd
,2.214 billion usd
,
,
,3.543 billion usd
,
,4.187 billion usd
,4.520 billion usd
,10.430 billion usd
,2.618 billion usd
,7.969 billion usd
,5.764 billion usd
,28.221 billion usd
,5.087 billion usd
,1.953 billion usd
,9.126 billion usd
,8.203 billion usd
,
,5.691 billion usd
,6.066 billion usd
,4.977 billion usd
,
,5.806 billion usd
,7.085 billion usd
,0.733 billion usd
,3.148 billion usd
,2.223 billion usd
,12.245 billion usd
,2.939 billion usd
,7.748 billion usd
,4.162 billion usd
,
,5.098 billion usd
,3.517 billion usd
,4.081 billion usd
,5.148 billion usd
,3.215 billion usd
,1.600 billion usd
,2.268 billion usd
,6.450 billion usd
,7.576 billion usd
,6.764 billion usd
,8.699 billion usd
,10.497 billion usd
,2.964 billion usd
,1.015 billion usd
,6.347 billion usd
,7.380 billion usd
,4.854 billion usd
,7.513 billion usd
,3.630 billion usd
,2.733 billion usd
,
,5.817 billion usd
,3.946 billion usd
,7.896 billion usd
,6.391 billion usd
,3.351 billion usd
,
,
,4.824 billion usd
,3.878 billion usd
,6.979 billion usd
,6.823 billion usd
,3.326 billion usd
,7.025 billion usd
,6.526 billion usd
,5.911 billion usd
,6.345 billion usd
,4.142 billion usd
,7.993 billion usd
,3.953 billion usd
,1.555 billion usd
,7.511 billion usd
,5.283 billion usd
,3.132 billion usd
,2.829 billion usd
,0.624 billion usd
,8.603 billion usd
,
,6.441 billion usd
,3.212 billion usd
,6.902 billion usd
,6.213 billion usd
,6.206 billion usd
,4.608 billion usd
,3.142 billion usd
,9.193 billion usd
,1.420 billion usd
,0.688 billion usd
,5.566 billion usd
,3.663 billion usd
,3.868 billion usd
,3.320 billion usd
,2.694 billion usd
,4.221 billion usd
,1.639 billion usd
,3.462 billion usd
,2.023 billion usd
,6.732 billion usd
,3.183 billion usd
,8.025 billion usd
,6.335 billion usd
,5.837 billion usd
,4.782 billion usd
,4.075 billion usd
,6.967 billion usd
,5.892 billion usd
,
,
,
,3.778 billion usd
,4.371 billion usd
,4.970 billion usd
,8.306 billion usd
,5.149 billion usd
,
,4.049 billion usd
,7.823 billion usd
,7.025 billion usd
,4.966 billion usd
,3.937 billion usd
,7.142 billion usd
,7.765 billion usd
,4.911 billion usd
,5.754 billion usd
,1.886 billion usd
,8.037 billion usd
,8.588 billion usd
,10.325 billion usd
,3.025 billion usd
,5.430 billion usd
,3.011 billion usd
,5.094 billion usd
,3.081 billion usd
,4.173 billion usd
,5.144 billion usd
,2.549 billion usd
,2.602 billion usd
,1.091 billion usd
,1.427 billion usd
,4.023 billion usd
,4.480 billion usd
,3.775 billion usd
,8.279 billion usd
,3.475 billion usd
,
,2.993 billion usd
,1.382 billion usd
,7.215 billion usd
,2.332 billion usd
,5.733 billion usd
,8.258 billion usd
,3.542 billion usd
,6.735 billion usd
,4.025 billion usd
,7.493 billion usd
,1.715 billion usd
,2.868 billion usd
,7.563 billion usd
,5.530 billion usd
,6.014 billion usd
,7.743 billion usd
,3.525 billion usd
,4.018 billion usd
,5.646 billion usd
,8.397 billion usd
,6.442 billion usd
,3.530 billion usd
,
,3.411 billion usd
,6.700 billion usd
,
,4.452 billion usd
,3.637 billion usd
,3.633 billion usd
,3.623 billion usd
,1.320 billion usd
,
,6.296 billion usd
,5.715 billion usd
,4.502 billion usd
,
,
,
,
,
,
,
,10.783 billion usd
,4.575 billion usd
,5.342 billion usd
,4.095 billion usd
,1.599 billion usd
,3.833 billion usd
,1.278 billion usd
,4.507 billion usd
,5.245 billion usd
,3.383 billion usd
,3.841 billion usd
,4.531 billion usd
,2.459 billion usd
,3.662 billion usd
,1.551 billion usd
,2.961 billion usd
,
,6.668 billion usd
,4.767 billion usd
,3.793 billion usd
,4.112 billion usd
,4.514 billion usd
,4.342 billion usd
,3.469 billion usd
,2.927 billion usd
,5.957 billion usd
,9.773 billion usd
,3.904 billion usd
,6.236 billion usd
,
,4.889 billion usd
,2.540 billion usd
,6.078 billion usd
,9.323 billion usd
,3.132 billion usd
,1.783 billion usd
,6.071 billion usd
,3.318 billion usd
,5.372 billion usd
,7.970 billion usd
,4.642 billion usd
,2.906 billion usd
,8.430 billion usd
,4.898 billion usd
,5.211 billion usd
,3.761 billion usd
,3.418 billion usd
,2.970 billion usd
,13.321 billion usd
,
,3.155 billion usd
,4.077 billion usd
,2.576 billion usd
,1.603 billion usd
,2.732 billion usd
,
,6.769 billion usd
,6.695 billion usd
,1.912 billion usd
,1.194 billion usd
,4.439 billion usd
,3.671 billion usd
,
,5.955 billion usd
,5.288 billion usd
,3.074 billion usd
,2.923 billion usd
,
,5.622 billion usd
,2.640 billion usd
,4.141 billion usd
,6.723 billion usd
,6.305 billion usd
,6.864 billion usd
,1.094 billion usd
,5.225 billion usd
,3.609 billion usd
,6.815 billion usd
,8.839 billion usd
,
,2.508 billion usd
,4.175 billion usd
,4.366 billion usd
,1.705 billion usd
,1.848 billion usd
,0.429 billion usd
,3.158 billion usd
,7.336 billion usd
,
,5.723 billion usd
,5.634 billion usd
,5.684 billion usd
,
,2.062 billion usd
,5.419 billion usd
,5.648 billion usd
,2.464 billion usd
,1.887 billion usd
,6.875 billion usd
,3.914 billion usd
,6.645 billion usd
,4.383 billion usd
,0.967 billion usd
,4.651 billion usd
,5.008 billion usd
,4.799 billion usd
,3.959 billion usd
,5.131 billion usd
,3.574 billion usd
,3.221 billion usd
,9.712 billion usd
,9.901 billion usd
,2.290 billion usd
,10.384 billion usd
,1.718 billion usd
,
,3.596 billion usd
,6.658 billion usd
,4.922 billion usd
,
,9.156 billion usd
,2.781 billion usd
,6.666 billion usd
,
,3.463 billion usd
,
,
,8.786 billion usd
,
,7.104 billion usd
,4.570 billion usd
,1.240 billion usd
,8.664 billion usd
,1.111 billion usd
,3.691 billion usd
,4.591 billion usd
,3.751 billion usd
,2.541 billion usd
,9.884 billion usd
,5.416 billion usd
,6.446 billion usd
,4.843 billion usd
,3.083 billion usd
,5.631 billion usd
,3.962 billion usd
,6.710 billion usd
,3.943 billion usd
,2.178 billion usd
,3.458 billion usd
,3.353 billion usd
,2.155 billion usd
,2.869 billion usd
,7.633 billion usd
,5.261 billion usd
,4.509 billion usd
,1.605 billion usd
,3.906 billion usd
,
,3.490 billion usd
,
,4.087 billion usd
,4.616 billion usd
,5.619 billion usd
,
,2.917 billion usd
,4.616 billion usd
,6.017 billion usd
,2.904 billion usd
,4.012 billion usd
,4.935 billion usd
,3.837 billion usd
,
,5.340 billion usd
,4.927 billion usd
,4.336 billion usd
,9.787 billion usd
,7.056 billion usd
,
,6.160 billion usd
,4.218 billion usd
,4.624 billion usd
,4.595 billion usd
,3.000 billion usd
,1.922 billion usd
,7.231 billion usd
,6.888 billion usd
,
,6.410 billion usd
,5.699 billion usd
,3.634 billion usd
,0.623 billion usd
,2.034 billion usd
,2.427 billion usd
,
,2.608 billion usd
,10.675 billion usd
,
,3.577 billion usd
,1.841 billion usd
,5.416 billion usd
,1.012 billion usd
,9.314 billion usd
,2.007 billion usd
,4.903 billion usd
,5.282 billion usd
,8.817 billion usd
,2.039 billion usd
,0.596 billion usd
,7.027 billion usd
,4.314 billion usd
,3.734 billion usd
,
,7.073 billion usd
,3.354 billion usd
,5.069 billion usd
,3.188 billion usd
,
,7.442 billion usd
,7.186 billion usd
,
,5.774 billion usd
,0.847 billion usd
,1.787 billion usd
,
,
,8.269 billion usd
,
,7.911 billion usd
,1.310 billion usd
,1.196 billion usd
,2.042 billion usd
,2.814 billion usd
,5.823 billion usd
,4.467 billion usd
,4.976 billion usd
,2.171 billion usd
,7.909 billion usd
,3.925 billion usd
,1.483 billion usd
,4.690 billion usd
,1.152 billion usd
,10.056 billion usd
,
,3.810 billion usd
,
,8.426 billion usd
,6.177 billion usd
,4.972 billion usd
,5.968 billion usd
,5.392 billion usd
,2.267 billion usd
,4.422 billion usd
,2.856 billion usd
,5.050 billion usd
,6.556 billion usd
,4.010 billion usd
,4.868 billion usd
,6.521 billion usd
,
,
,5.588 billion usd
,3.591 billion usd
,5.750 billion usd
,5.691 billion usd
,6.078 billion usd
,4.075 billion usd
,6.079 billion usd
,2.980 billion usd
,9.835 billion usd
,5.624 billion usd
,
,6.583 billion usd
,6.908 billion usd
,6.580 billion usd
,3.110 billion usd
,7.213 billion usd
,4.589 billion usd
,
,4.114 billion usd
,5.419 billion usd
,4.392 billion usd
,2.203 billion usd
,5.281 billion usd
,4.573 billion usd
,2.914 billion usd
,3.270 billion usd
,3.054 billion usd
,2.409 billion usd
,4.109 billion usd
,4.745 billion usd
,7.112 billion usd
,4.258 billion usd
,2.083 billion usd
,3.381 billion usd
,4.273 billion usd
,2.017 billion usd
,6.906 billion usd
,
,2.106 billion usd
,6.625 billion usd
,4.460 billion usd
,4.627 billion usd
,7.987 billion usd
,2.220 billion usd
,
,1.621 billion usd
,4.809 billion usd
,1.602 billion usd
,5.574 billion usd
,1.621 billion usd
,1.931 billion usd
,4.931 billion usd
,8.035 billion usd
,3.787 billion usd
,4.282 billion usd
,8.073 billion usd
,
,4.852 billion usd
,6.322 billion usd
,4.324 billion usd
,4.914 billion usd
,
,2.476 billion usd
,4.548 billion usd
,
,6.333 billion usd
,6.670 billion usd
,
,6.195 billion usd
,
,9.060 billion usd
,5.424 billion usd
,6.239 billion usd
,4.162 billion usd
,4.333 billion usd
,6.555 billion usd
,2.976 billion usd
,
,9.379 billion usd
,3.315 billion usd
,6.987 billion usd
,1.588 billion usd
,0.846 billion usd
,1.321 billion usd
,1.753 billion usd
,4.424 billion usd
,5.321 billion usd
,
,4.811 billion usd
,4.958 billion usd
,2.359 billion usd
,4.533 billion usd
,2.852 billion usd
,4.042 billion usd
,5.279 billion usd
,8.229 billion usd
,1.803 billion usd
,1.521 billion usd
,8.806 billion usd
,6.922 billion usd
,4.268 billion usd
,6.057 billion usd
,2.921 billion usd
,5.750 billion usd
,4.207 billion usd
,1.587 billion usd
,3.042 billion usd
,4.020 billion usd
,7.603 billion usd
,6.497 billion usd
,1.479 billion usd
,4.190 billion usd
,3.041 billion usd
,6.775 billion usd
,6.198 billion usd
,6.753 billion usd
,7.664 billion usd
,1.073 billion usd
,5.828 billion usd
,10.632 billion usd
,5.593 billion usd
,2.367 billion usd
,3.574 billion usd
,3.256 billion usd
,1.529 billion usd
,2.389 billion usd
,
,
,
,3.596 billion usd
,1.489 billion usd
,3.474 billion usd
,2.691 billion usd
,
,6.152 billion usd
,4.013 billion usd
,6.322 billion usd
,4.313 billion usd
,5.589 billion usd
,5.587 billion usd
,
,8.386 billion usd
,3.101 billion usd
,5.083 billion usd
,4.086 billion usd
,
,5.155 billion usd
,
,2.939 billion usd
,4.176 billion usd
,2.890 billion usd
,4.586 billion usd
,5.444 billion usd
,3.851 billion usd
,5.436 billion usd
,2.684 billion usd
,7.431 billion usd
,
,
,3.980 billion usd
,4.441 billion usd
,7.425 billion usd
,2.587 billion usd
,5.678 billion usd
,5.657 billion usd
,2.393 billion usd
,2.831 billion usd
,10.350 billion usd
,4.369 billion usd
,5.078 billion usd
,5.053 billion usd
,4.045 billion usd
,5.341 billion usd
,5.606 billion usd
,4.925 billion usd
,3.329 billion usd
,3.881 billion usd
,3.354 billion usd
,5.610 billion usd
,6.190 billion usd
,3.482 billion usd
,3.478 billion usd
,1.342 billion usd
,3.198 billion usd
,5.246 billion usd
,3.531 billion usd
,
,2.591 billion usd
,2.759 billion usd
,6.735 billion usd
,5.085 billion usd
,3.773 billion usd
,1.344 billion usd
,2.720 billion usd
,5.311 billion usd
,1.678 billion usd
,2.699 billion usd
,5.755 billion usd
,1.654 billion usd
,5.850 billion usd
,4.201 billion usd
,4.790 billion usd
,
,5.906 billion usd
,5.839 billion usd
,2.602 billion usd
,6.980 billion usd
,1.800 billion usd
,1.269 billion usd
,3.914 billion usd
,5.028 billion usd
,4.002 billion usd
,5.201 billion usd
,3.210 billion usd
,2.730 billion usd
,0.891 billion usd
,4.479 billion usd
,2.141 billion usd
,4.157 billion usd
,4.363 billion usd
,4.605 billion usd
,3.232 billion usd
,10.243 billion usd
,2.211 billion usd
,
,4.636 billion usd
,9.438 billion usd
,3.473 billion usd
,
,4.879 billion usd
,4.283 billion usd
,0.480 billion usd
,4.824 billion usd
,
,
,3.541 billion usd
,3.353 billion usd
,2.817 billion usd
,10.344 billion usd
,5.714 billion usd
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,4.497 billion usd
,3.483 billion usd
,5.332 billion usd
,5.970 billion usd
,
,6.228 billion usd
,5.921 billion usd
,3.116 billion usd
,2.678 billion usd
,2.634 billion usd
,4.591 billion usd
,5.597 billion usd
,3.917 billion usd
,4.277 billion usd
,3.547 billion usd
,5.574 billion usd
,3.300 billion usd
,3.924 billion usd
,
,2.948 billion usd
,3.482 billion usd
,
,9.076 billion usd
,1.624 billion usd
,3.020 billion usd
,2.462 billion usd
,3.574 billion usd
,
,4.794 billion usd
,2.881 billion usd
,3.620 billion usd
,4.370 billion usd
,2.341 billion usd
,1.170 billion usd
,3.872 billion usd
,6.677 billion usd
,6.159 billion usd
,2.507 billion usd
,2.699 billion usd
,1.325 billion usd
,3.351 billion usd
,2.178 billion usd
,
,4.463 billion usd
,3.204 billion usd
,3.750 billion usd
,4.235 billion usd
,2.253 billion usd
,3.328 billion usd
,4.024 billion usd
,2.250 billion usd
,2.428 billion usd
,5.014 billion usd
,1.564 billion usd
,3.621 billion usd
,1.922 billion usd
,4.814 billion usd
,3.247 billion usd
,2.910 billion usd
,4.359 billion usd
,6.789 billion usd
,4.302 billion usd
,
,0.625 billion usd
,4.490 billion usd
,6.136 billion usd
,3.832 billion usd
,3.706 billion usd
,4.738 billion usd
,3.826 billion usd
,10.953 billion usd
,
,2.285 billion usd
,
,5.649 billion usd
,1.760 billion usd
,0.776 billion usd
,4.926 billion usd
,3.442 billion usd
,2.437 billion usd
,6.343 billion usd
,
,4.160 billion usd
,5.590 billion usd
,2.968 billion usd
,1.266 billion usd
,3.821 billion usd
,2.822 billion usd
,6.690 billion usd
,3.385 billion usd
,5.012 billion usd
,2.202 billion usd
,11.870 billion usd
,2.414 billion usd
,1.615 billion usd
,1.555 billion usd
,5.427 billion usd
,3.537 billion usd
,1.523 billion usd
,1.272 billion usd
,5.349 billion usd
,6.505 billion usd
,4.460 billion usd
,2.718 billion usd
,1.993 billion usd
,0.344 billion usd
,1.530 billion usd
,11.672 billion usd
,4.007 billion usd
,
,1.076 billion usd
,7.625 billion usd
,
,0.230 billion usd
,
,6.840 billion usd
,5.227 billion usd
,
,2.891 billion usd
,1.384 billion usd
,2.531 billion usd
,6.721 billion usd
,1.042 billion usd
,3.523 billion usd
,3.807 billion usd
,1.824 billion usd
,2.010 billion usd
,2.935 billion usd
,6.396 billion usd
,3.697 billion usd
,3.422 billion usd
,
,7.258 billion usd
,3.569 billion usd
,6.174 billion usd
,2.448 billion usd
,3.215 billion usd
,7.588 billion usd
,2.929 billion usd
,6.292 billion usd
,5.012 billion usd
,2.479 billion usd
,2.913 billion usd
,2.326 billion usd
,3.805 billion usd
,2.474 billion usd
,3.353 billion usd
,4.451 billion usd
,
,4.696 billion usd
,5.137 billion usd
,
,1.892 billion usd
,1.501 billion usd
,
,8.118 billion usd
,9.172 billion usd
,1.464 billion usd
,2.537 billion usd
,3.585 billion usd
,3.250 billion usd
,5.007 billion usd
,1.992 billion usd
,
,2.594 billion usd
,3.763 billion usd
,8.199 billion usd
,0.924 billion usd
,5.400 billion usd
,5.064 billion usd
,5.200 billion usd
,5.015 billion usd
,3.861 billion usd
,1.233 billion usd
,1.626 billion usd
,6.952 billion usd
,4.174 billion usd
,3.428 billion usd
,3.470 billion usd
,5.416 billion usd
,0.775 billion usd
,1.541 billion usd
,4.484 billion usd
,
,0.722 billion usd
,3.777 billion usd
,2.102 billion usd
,5.391 billion usd
,4.381 billion usd
,3.998 billion usd
,3.194 billion usd
,3.187 billion usd
,7.383 billion usd
,4.771 billion usd
,
,1.066 billion usd
,3.610 billion usd
,5.317 billion usd
,
,1.420 billion usd
,1.670 billion usd
,
,
,4.604 billion usd
,4.832 billion usd
,2.932 billion usd
,2.401 billion usd
,4.430 billion usd
,1.802 billion usd
,3.038 billion usd
,
,6.228 billion usd
,
,4.087 billion usd
,1.490 billion usd
,4.347 billion usd
,4.475 billion usd
,3.905 billion usd
,4.012 billion usd
,4.068 billion usd
,
,4.347 billion usd
,1.941 billion usd
,
,
,3.643 billion usd
,3.602 billion usd
,4.070 billion usd
,2.004 billion usd
,
,3.037 billion usd
,7.663 billion usd
,5.417 billion usd
,5.058 billion usd
,4.339 billion usd
,0.583 billion usd
,4.096 billion usd
,3.602 billion usd
,
,3.687 billion usd
,
,4.227 billion usd
,2.093 billion usd
,2.314 billion usd
,3.967 billion usd
,1.289 billion usd
,2.913 billion usd
,4.975 billion usd
,5.205 billion usd
,3.668 billion usd
,4.237 billion usd
,
,3.083 billion usd
,3.139 billion usd
,
,2.363 billion usd
,4.040 billion usd
,3.531 billion usd
,4.737 billion usd
,
,6.244 billion usd
,
,2.370 billion usd
,3.120 billion usd
,0.815 billion usd
,3.860 billion usd
,1.079 billion usd
,4.305 billion usd
,
,5.169 billion usd
,
,2.463 billion usd
,
,5.245 billion usd
,3.437 billion usd
,6.127 billion usd
,1.872 billion usd
,1.282 billion usd
,
,7.961 billion usd
,3.653 billion usd
,3.809 billion usd
,1.689 billion usd
,2.218 billion usd
,3.189 billion usd
,5.133 billion usd
,4.326 billion usd
,6.363 billion usd
,1.042 billion usd
,3.202 billion usd
,1.448 billion usd
,1.541 billion usd
,2.540 billion usd
,2.508 billion usd
,2.322 billion usd
,3.404 billion usd
,5.923 billion usd
,3.890 billion usd
,2.770 billion usd
,0.766 billion usd
,3.124 billion usd
,3.328 billion usd
,5.698 billion usd
,2.006 billion usd
,4.557 billion usd
,2.681 billion usd
,0.919 billion usd
,11.558 billion usd
,5.755 billion usd
,2.576 billion usd
,
,0.735 billion usd
,3.255 billion usd
,5.076 billion usd
,7.785 billion usd
,6.239 billion usd
,3.270 billion usd
,3.102 billion usd
,5.431 billion usd
,1.466 billion usd
,
,3.375 billion usd
,4.326 billion usd
,
,1.602 billion usd
,3.050 billion usd
,2.225 billion usd
,2.957 billion usd
,2.984 billion usd
,3.560 billion usd
,7.021 billion usd
,3.587 billion usd
,4.932 billion usd
,6.335 billion usd
,3.334 billion usd
,3.255 billion usd
,
,7.503 billion usd
,4.413 billion usd
,2.562 billion usd
,
,3.077 billion usd
,5.065 billion usd
,
,3.856 billion usd
,1.818 billion usd
,8.091 billion usd
,1.624 billion usd
,
,5.046 billion usd
,
,
,
,
,
,
,1.958 billion usd
,1.275 billion usd
,2.069 billion usd
,5.987 billion usd
,4.878 billion usd
,3.886 billion usd
,4.665 billion usd
,3.675 billion usd
,1.632 billion usd
,5.868 billion usd
,4.646 billion usd
,1.968 billion usd
,2.698 billion usd
,1.770 billion usd
,1.313 billion usd
,0.991 billion usd
,2.791 billion usd
,5.979 billion usd
,
,5.742 billion usd
,1.705 billion usd
,
,3.775 billion usd
,3.211 billion usd
,4.874 billion usd
,2.378 billion usd
,2.682 billion usd
,4.931 billion usd
,2.914 billion usd
,1.271 billion usd
,
,
,
,5.873 billion usd
,1.865 billion usd
,4.845 billion usd
,
,2.174 billion usd
,4.620 billion usd
,3.478 billion usd
,4.280 billion usd
,5.647 billion usd
,2.517 billion usd
,1.312 billion usd
,4.241 billion usd
,1.314 billion usd
,2.285 billion usd
,
,1.698 billion usd
,9.479 billion usd
,3.963 billion usd
,3.063 billion usd
,5.510 billion usd
,4.957 billion usd
,2.754 billion usd
,4.514 billion usd
