00-avengers-total_liabilities_in_usd
"208,740 million usd"
""
"287,260 million usd"
"22,231 million usd"
"18,436 million usd"
"10,492 million usd"
"5,612 million usd"
"207,550 million usd"
"1,742,500 million usd"
"165,190 million usd"
"1,728 million usd"
"299,670 million usd"
"21,611 million usd"
"170,290 million usd"
"854,330 million usd"
"24,313 million usd"
"28,123 million usd"
"14,275 million usd"
"36,428 million usd"
"4,705 million usd"
"1,807 million usd"
"74,261 million usd"
"15,904 million usd"
"9,126 million usd"
"17,162 million usd"
"2,446 million usd"
"8,223 million usd"
"16,960 million usd"
"39,657 million usd"
"3,155 million usd"
"5,267 million usd"
904 million usd
"25,003 million usd"
"1,136 million usd"
"1,735 million usd"
"323,300 million usd"
"8,965 million usd"
"1,256 million usd"
"101,840 million usd"
"25,081 million usd"
"307,100 million usd"
"35,254 million usd"
"13,545 million usd"
"36,189 million usd"
"1,773,900 million usd"
"12,981 million usd"
"25,947 million usd"
"24,836 million usd"
"7,374 million usd"
"3,997 million usd"
"1,556 million usd"
"8,285 million usd"
"16,498 million usd"
"188,910 million usd"
"14,029 million usd"
"15,236 million usd"
"3,531 million usd"
"10,214 million usd"
""
"14,338 million usd"
"34,561 million usd"
"9,129 million usd"
"7,710 million usd"
"4,991 million usd"
"10,690 million usd"
"18,586 million usd"
"95,714 million usd"
"11,763 million usd"
"38,071 million usd"
956 million usd
"554,180 million usd"
"16,482 million usd"
"6,341 million usd"
"4,659 million usd"
"7,456 million usd"
"21,189 million usd"
"11,219 million usd"
"3,466 million usd"
"6,709 million usd"
"1,401 million usd"
"253,500 million usd"
"61,870 million usd"
"5,026 million usd"
"24,884 million usd"
"27,976 million usd"
"34,229 million usd"
"106,550 million usd"
"23,033 million usd"
"314,440 million usd"
"13,720 million usd"
"1,032 million usd"
"17,821 million usd"
"17,864 million usd"
"1,165,100 million usd"
"3,636 million usd"
"6,995 million usd"
"26,263 million usd"
"4,684 million usd"
"8,194 million usd"
"2,419 million usd"
"11,792 million usd"
"12,575 million usd"
""
336 million usd
"1,565 million usd"
"18,777 million usd"
"1,036 million usd"
"1,840 million usd"
"1,686 million usd"
"14,003 million usd"
"6,752 million usd"
"41,406 million usd"
"23,642 million usd"
"21,739 million usd"
"35,661 million usd"
"74,624 million usd"
"117,940 million usd"
"12,391 million usd"
"2,110,000 million usd"
"2,857 million usd"
"1,542,100 million usd"
"3,514 million usd"
"5,323 million usd"
"28,044 million usd"
"33,885 million usd"
"3,265 million usd"
"33,736 million usd"
"16,589 million usd"
"1,156,900 million usd"
"15,949 million usd"
"54,709 million usd"
"3,967 million usd"
"9,158 million usd"
"4,025 million usd"
"39,701 million usd"
"10,437 million usd"
"6,885 million usd"
"159,640 million usd"
"43,079 million usd"
"161,550 million usd"
"326,660 million usd"
"3,283 million usd"
"1,485 million usd"
"158,000 million usd"
"5,073 million usd"
"6,780 million usd"
"6,364 million usd"
"2,282 million usd"
"7,079 million usd"
"3,803 million usd"
599 million usd
"117,470 million usd"
"10,672 million usd"
"2,400 million usd"
"26,190 million usd"
"4,180 million usd"
"3,367 million usd"
"16,087 million usd"
"181,860 million usd"
"74,660 million usd"
"35,207 million usd"
"1,255,600 million usd"
"352,920 million usd"
"1,803 million usd"
"1,782 million usd"
370 million usd
"1,896 million usd"
"21,710 million usd"
"14,871 million usd"
978 million usd
"16,433 million usd"
"18,063 million usd"
"12,537 million usd"
"16,490 million usd"
"6,178 million usd"
"23,015 million usd"
"83,454 million usd"
"479,390 million usd"
"3,231 million usd"
"1,545 million usd"
"9,811 million usd"
"23,926 million usd"
"7,285 million usd"
"14,671 million usd"
"5,040 million usd"
"17,606 million usd"
"12,815 million usd"
"53,197 million usd"
"6,688 million usd"
""
"15,099 million usd"
785 million usd
"8,154 million usd"
"1,597 million usd"
"82,356 million usd"
