00-avengers-total_liabilities_in_usd
"49,782 million usd"
"16,811 million usd"
770 million usd
"1,367 million usd"
"5,183 million usd"
"15,716 million usd"
"1,422 million usd"
558 million usd
160 million usd
21 million usd
842 million usd
"3,223 million usd"
"3,149 million usd"
469 million usd
""
75 million usd
""
"1,583 million usd"
385 million usd
"3,086 million usd"
"1,562 million usd"
"31,477 million usd"
"1,230 million usd"
"3,231 million usd"
"10,517 million usd"
"3,118 million usd"
"7,965 million usd"
111 million usd
"4,542 million usd"
"7,458 million usd"
"5,761 million usd"
"59,754 million usd"
"3,809 million usd"
"5,081 million usd"
"1,742 million usd"
"1,823 million usd"
300 million usd
"2,731 million usd"
172 million usd
178 million usd
"2,486 million usd"
"6,444 million usd"
"3,150 million usd"
706 million usd
404 million usd
"7,360 million usd"
"7,850 million usd"
"6,143 million usd"
"1,233 million usd"
"85,973 million usd"
""
527 million usd
"4,891 million usd"
"1,492 million usd"
829 million usd
"145,020 million usd"
383 million usd
"4,047 million usd"
"1,673 million usd"
"45,643 million usd"
"4,563 million usd"
"10,655 million usd"
"2,733 million usd"
"1,517,600 million usd"
"1,797 million usd"
482 million usd
"2,875 million usd"
"61,031 million usd"
252 million usd
"1,259 million usd"
""
"8,427 million usd"
179 million usd
308 million usd
25 million usd
"94,942 million usd"
"1,496 million usd"
"1,122 million usd"
"3,658 million usd"
"7,567 million usd"
"2,342 million usd"
"5,039 million usd"
"12,008 million usd"
498 million usd
"1,170 million usd"
"10,458 million usd"
"2,097 million usd"
483 million usd
106 million usd
"5,848 million usd"
"47,170 million usd"
555 million usd
"1,641 million usd"
""
302 million usd
"4,950 million usd"
"3,829 million usd"
"1,202 million usd"
"1,864 million usd"
"4,454 million usd"
685 million usd
"1,969 million usd"
"7,538 million usd"
"151,640 million usd"
"57,303 million usd"
"4,026 million usd"
"5,491 million usd"
"17,024 million usd"
946 million usd
"65,194 million usd"
204 million usd
"12,746 million usd"
671 million usd
"2,469 million usd"
220 million usd
664 million usd
169 million usd
"1,060 million usd"
242 million usd
"7,493 million usd"
"3,495 million usd"
171 million usd
"7,228 million usd"
"11,213 million usd"
"6,887 million usd"
519 million usd
"10,111 million usd"
699 million usd
"1,631 million usd"
"8,230 million usd"
129 million usd
593 million usd
919 million usd
""
"7,307 million usd"
"1,266 million usd"
"2,277 million usd"
"1,370 million usd"
"5,274 million usd"
"22,687 million usd"
833 million usd
164 million usd
"146,640 million usd"
"1,636 million usd"
863 million usd
"8,939 million usd"
""
"2,578 million usd"
955 million usd
"4,976 million usd"
"6,738 million usd"
"6,791 million usd"
169 million usd
816 million usd
"1,892 million usd"
266 million usd
521 million usd
891 million usd
"6,426 million usd"
"3,074 million usd"
75 million usd
"102,570 million usd"
281 million usd
"3,539 million usd"
63 million usd
"8,145 million usd"
"3,450 million usd"
870 million usd
435 million usd
296 million usd
"1,271 million usd"
"1,207 million usd"
""
196 million usd
132 million usd
"3,032 million usd"
""
"1,790 million usd"
146 million usd
"5,497 million usd"
"1,603 million usd"
"6,105 million usd"
348 million usd
"12,051 million usd"
"1,650 million usd"
"6,467 million usd"
"3,112 million usd"
"16,792 million usd"
"4,913 million usd"
"2,139 million usd"
"231,700 million usd"
230 million usd
"1,033 million usd"
"2,923 million usd"
"2,257 million usd"
549 million usd
"4,115 million usd"
545 million usd
"9,285 million usd"
"1,697 million usd"
"10,756 million usd"
"24,610 million usd"
""
"2,463 million usd"
"2,869 million usd"
722 million usd
"1,470 million usd"
"4,664 million usd"
"8,149 million usd"
""
"39,548 million usd"
"4,206 million usd"
"3,786 million usd"
"2,036 million usd"
"2,359 million usd"
"63,737 million usd"
338 million usd
"5,358 million usd"
"3,575 million usd"
266 million usd
"2,672 million usd"
"4,596 million usd"
"29,084 million usd"
"19,960 million usd"
573 million usd
"4,886 million usd"
"3,813 million usd"
"1,486 million usd"
"5,295 million usd"
991 million usd
"8,968 million usd"
"6,394 million usd"
907 million usd
"12,774 million usd"
""
129 million usd
"1,200 million usd"
"1,069 million usd"
"15,856 million usd"
"1,053 million usd"
770 million usd
24 million usd
""
668 million usd
"2,575 million usd"
"1,979 million usd"
"9,228 million usd"
"18,115 million usd"
176 million usd
"1,026 million usd"
571 million usd
"164,520 million usd"
"4,139 million usd"
276 million usd
"2,849 million usd"
"7,106 million usd"
"1,265 million usd"
"1,190 million usd"
"12,921 million usd"
"1,870 million usd"
""
"2,299 million usd"
268 million usd
332 million usd
"4,382 million usd"
352 million usd
"5,201 million usd"
""
""
"9,798 million usd"
""
""
""
""
""
""
""
"4,538 million usd"
"10,851 million usd"
620 million usd
""
""
""
""
""
""
""
""
""
""
""
501 million usd
"1,924 million usd"
""
"3,779 million usd"
"4,271 million usd"
"8,977 million usd"
"7,920 million usd"
"6,726 million usd"
""
665 million usd
"1,134 million usd"
322 million usd
"12,325 million usd"
393 million usd
"16,719 million usd"
"1,375 million usd"
717 million usd
"1,802 million usd"
"3,157 million usd"
304 million usd
""
"1,344 million usd"
"3,997 million usd"
817 million usd
"2,426 million usd"
""
"1,608 million usd"
"1,402 million usd"
102 million usd
"1,835 million usd"
"3,965 million usd"
""
"7,991 million usd"
"1,091 million usd"
314 million usd
479 million usd
"42,655 million usd"
"6,468 million usd"
"3,228 million usd"
"3,225 million usd"
750 million usd
"2,060 million usd"
"20,120 million usd"
"2,060 million usd"
"49,098 million usd"
"2,418 million usd"
"1,288 million usd"
147 million usd
435 million usd
"16,882 million usd"
"7,151 million usd"
53 million usd
"1,011 million usd"
441 million usd
"6,661 million usd"
221 million usd
"1,326 million usd"
""
"3,278 million usd"
"23,009 million usd"
"3,246 million usd"
"5,417 million usd"
846 million usd
942 million usd
"7,297 million usd"
"2,138 million usd"
"33,138 million usd"
"103,580 million usd"
"2,250 million usd"
268 million usd
130 million usd
662 million usd
"4,339 million usd"
""
"4,609 million usd"
624 million usd
"3,172 million usd"
"5,343 million usd"
"3,602 million usd"
523 million usd
"3,768 million usd"
"1,056 million usd"
"17,303 million usd"
"6,275 million usd"
668 million usd
"4,087 million usd"
"79,336 million usd"
599 million usd
""
""
"1,824 million usd"
561 million usd
622 million usd
"1,427 million usd"
"8,908 million usd"
"8,218 million usd"
"6,702 million usd"
"5,931 million usd"
"2,231 million usd"
"3,241 million usd"
"2,772 million usd"
45 million usd
"4,757 million usd"
724 million usd
"2,337 million usd"
"5,541 million usd"
163 million usd
"10,269 million usd"
788 million usd
"28,462 million usd"
"17,348 million usd"
"4,513 million usd"
"7,389 million usd"
"16,723 million usd"
584 million usd
"7,289 million usd"
"4,359 million usd"
""
"32,452 million usd"
231 million usd
"4,064 million usd"
"1,622 million usd"
""
"15,605 million usd"
550 million usd
"112,920 million usd"
"4,882 million usd"
"4,663 million usd"
91 million usd
840 million usd
230 million usd
"2,090 million usd"
"84,027 million usd"
388 million usd
"1,809 million usd"
"1,543 million usd"
128 million usd
"1,173 million usd"
"1,109 million usd"
"2,423 million usd"
"1,108 million usd"
"16,640 million usd"
"1,330 million usd"
"29,722 million usd"
94 million usd
"1,797 million usd"
"4,117 million usd"
154 million usd
586 million usd
385 million usd
"12,372 million usd"
898 million usd
"1,330 million usd"
767 million usd
"1,345 million usd"
"3,150 million usd"
"3,218 million usd"
"2,812 million usd"
"4,242 million usd"
308 million usd
"1,470 million usd"
"13,119 million usd"
"2,866 million usd"
"1,035 million usd"
"3,627 million usd"
"17,320 million usd"
377 million usd
"3,257 million usd"
558 million usd
501 million usd
""
"4,211 million usd"
"1,142 million usd"
"4,574 million usd"
264 million usd
"167,070 million usd"
"8,536 million usd"
"2,393 million usd"
925 million usd
"1,293 million usd"
"2,354 million usd"
"1,854 million usd"
71 million usd
"1,141 million usd"
"6,442 million usd"
"2,916 million usd"
"2,168 million usd"
"11,109 million usd"
"206,700 million usd"
"2,869 million usd"
"1,733 million usd"
85 million usd
792 million usd
"9,665 million usd"
"3,643 million usd"
31 million usd
"3,864 million usd"
"1,404 million usd"
"59,250 million usd"
"9,793 million usd"
907 million usd
2 million usd
"2,638 million usd"
"2,034 million usd"
""
"11,661 million usd"
"3,683 million usd"
"4,080 million usd"
600 million usd
"7,182 million usd"
243 million usd
"2,269 million usd"
"4,485 million usd"
""
"2,162 million usd"
647 million usd
""
"1,579 million usd"
"17,924 million usd"
"7,478 million usd"
"1,390 million usd"
""
"14,031 million usd"
""
254 million usd
"2,404 million usd"
"4,145 million usd"
"1,886 million usd"
"4,433 million usd"
"4,098 million usd"
"6,147 million usd"
""
242 million usd
860 million usd
"6,787 million usd"
"8,980 million usd"
298 million usd
635 million usd
"14,297 million usd"
502 million usd
573 million usd
"1,263 million usd"
"1,824 million usd"
591 million usd
766 million usd
"2,133 million usd"
""
438 million usd
"2,953 million usd"
882 million usd
""
362 million usd
383 million usd
"11,864 million usd"
297 million usd
128 million usd
"5,494 million usd"
"3,250 million usd"
"7,785 million usd"
669 million usd
""
"32,860 million usd"
"1,791 million usd"
79 million usd
511 million usd
"12,213 million usd"
"2,176 million usd"
""
"1,572 million usd"
245 million usd
223 million usd
"5,291 million usd"
"6,208 million usd"
"1,639 million usd"
"1,942 million usd"
940 million usd
""
"21,958 million usd"
266 million usd
787 million usd
"1,311 million usd"
"12,632 million usd"
"1,124 million usd"
""
"31,475 million usd"
"1,272 million usd"
""
"9,144 million usd"
93 million usd
130 million usd
"14,498 million usd"
"1,565 million usd"
"11,621 million usd"
"4,656 million usd"
""
"3,618 million usd"
"3,513 million usd"
"3,053 million usd"
341 million usd
"1,513 million usd"
93 million usd
"2,425 million usd"
"2,073 million usd"
"1,073 million usd"
"7,726 million usd"
"7,172 million usd"
"2,625 million usd"
256 million usd
"2,282 million usd"
"8,063 million usd"
205 million usd
"2,031 million usd"
"4,629 million usd"
"1,302 million usd"
732 million usd
137 million usd
1 million usd
"1,764 million usd"
"11,030 million usd"
"1,395 million usd"
"1,709 million usd"
179 million usd
"2,044 million usd"
""
"131,680 million usd"
"1,726 million usd"
""
242 million usd
"1,911 million usd"
174 million usd
142 million usd
237 million usd
"23,715 million usd"
"1,333 million usd"
"3,087 million usd"
"2,407 million usd"
12 million usd
"2,972 million usd"
"2,239 million usd"
"11,361 million usd"
"8,174 million usd"
"1,192 million usd"
"8,018 million usd"
""
"15,030 million usd"
"1,186 million usd"
""
"1,571 million usd"
"4,270 million usd"
386 million usd
309 million usd
110 million usd
""
""
""
""
""
"5,188 million usd"
""
389 million usd
"185,120 million usd"
285 million usd
"3,764 million usd"
"8,566 million usd"
"2,435 million usd"
11 million usd
"3,332 million usd"
"9,350 million usd"
"8,402 million usd"
"33,649 million usd"
302 million usd
642 million usd
"6,060 million usd"
"1,864 million usd"
"3,498 million usd"
""
""
"1,794 million usd"
424 million usd
"1,846 million usd"
"7,829 million usd"
"1,653 million usd"
957 million usd
"3,044 million usd"
"1,615 million usd"
477 million usd
"2,534 million usd"
22 million usd
202 million usd
370 million usd
"8,711 million usd"
""
"243,700 million usd"
78 million usd
154 million usd
"6,344 million usd"
""
"2,291 million usd"
""
"4,769 million usd"
""
"1,084 million usd"
"1,269 million usd"
449 million usd
384 million usd
"1,036 million usd"
646 million usd
581 million usd
963 million usd
"1,487 million usd"
589 million usd
"3,984 million usd"
260 million usd
""
"2,232 million usd"
""
"8,029 million usd"
""
""
933 million usd
660 million usd
"4,565 million usd"
"2,214 million usd"
"1,829 million usd"
"1,418 million usd"
375 million usd
"1,241 million usd"
"1,491 million usd"
"1,125 million usd"
"1,688 million usd"
""
"136,980 million usd"
"4,729 million usd"
""
"27,891 million usd"
7 million usd
""
452 million usd
"21,354 million usd"
"2,973 million usd"
"44,414 million usd"
""
""
639 million usd
"8,151 million usd"
""
101 million usd
"544,230 million usd"
"17,157 million usd"
"6,243 million usd"
992 million usd
"1,126 million usd"
906 million usd
"1,659 million usd"
"2,957 million usd"
"3,136 million usd"
522 million usd
"1,182 million usd"
998 million usd
230 million usd
"100,870 million usd"
687 million usd
""
174 million usd
738 million usd
"4,299 million usd"
440 million usd
""
152 million usd
"2,044 million usd"
""
93 million usd
"52,088 million usd"
""
"2,072 million usd"
"3,741 million usd"
"34,363 million usd"
"11,307 million usd"
"86,959 million usd"
"7,636 million usd"
"12,050 million usd"
372 million usd
"3,155 million usd"
"1,921 million usd"
"8,151 million usd"
""
""
"1,246 million usd"
""
270 million usd
""
""
978 million usd
"64,421 million usd"
"3,263 million usd"
"2,343 million usd"
"4,565 million usd"
"5,554 million usd"
754 million usd
"1,652 million usd"
80 million usd
"7,648 million usd"
20 million usd
"1,975 million usd"
105 million usd
195 million usd
"9,380 million usd"
"1,102 million usd"
296 million usd
"9,473 million usd"
683 million usd
615 million usd
"15,527 million usd"
223 million usd
"4,778 million usd"
131 million usd
814 million usd
""
"3,514 million usd"
"1,839 million usd"
5 million usd
"7,322 million usd"
"2,618 million usd"
669 million usd
"1,812 million usd"
""
"1,066 million usd"
"1,434 million usd"
221 million usd
0 million usd
"4,192 million usd"
"5,865 million usd"
"1,167 million usd"
380 million usd
"5,292 million usd"
""
670 million usd
"2,026 million usd"
242 million usd
"2,570 million usd"
609 million usd
"7,088 million usd"
875 million usd
"60,158 million usd"
628 million usd
578 million usd
"1,754 million usd"
523 million usd
"1,171 million usd"
"24,868 million usd"
72 million usd
"2,351 million usd"
""
"2,415 million usd"
"7,688 million usd"
"100,920 million usd"
""
""
68 million usd
"8,573 million usd"
224 million usd
"1,401 million usd"
288 million usd
""
"1,130 million usd"
"7,677 million usd"
"4,893 million usd"
""
"6,052 million usd"
"2,545 million usd"
191 million usd
618 million usd
"7,677 million usd"
"4,944 million usd"
494 million usd
"22,002 million usd"
"6,214 million usd"
""
175 million usd
282 million usd
"3,039 million usd"
"6,617 million usd"
"6,015 million usd"
"67,746 million usd"
"11,036 million usd"
"57,896 million usd"
""
101 million usd
"1,915 million usd"
228 million usd
"16,989 million usd"
"11,826 million usd"
"263,590 million usd"
741 million usd
"2,251 million usd"
"3,949 million usd"
"1,042 million usd"
"13,349 million usd"
"5,016 million usd"
389 million usd
"2,339 million usd"
"1,272 million usd"
755 million usd
"1,831 million usd"
266 million usd
"2,188 million usd"
668 million usd
"2,083 million usd"
"3,868 million usd"
157 million usd
62 million usd
"1,041 million usd"
"5,430 million usd"
"2,255 million usd"
"24,052 million usd"
430 million usd
184 million usd
41 million usd
""
"2,581 million usd"
861 million usd
"32,777 million usd"
"42,729 million usd"
"5,248 million usd"
145 million usd
"5,416 million usd"
780 million usd
939 million usd
"1,208 million usd"
0 million usd
110 million usd
"9,614 million usd"
""
"2,790 million usd"
"14,541 million usd"
173 million usd
"2,945 million usd"
298 million usd
"22,743 million usd"
"3,263 million usd"
572 million usd
"4,449 million usd"
"10,355 million usd"
"4,094 million usd"
"58,842 million usd"
417 million usd
717 million usd
0 million usd
"9,579 million usd"
192 million usd
""
850 million usd
"19,003 million usd"
"6,195 million usd"
"3,208 million usd"
"15,658 million usd"
""
"6,087 million usd"
""
"4,306 million usd"
342 million usd
"70,280 million usd"
"2,876 million usd"
"1,447 million usd"
"2,448 million usd"
"4,790 million usd"
"3,057 million usd"
"2,617 million usd"
96 million usd
""
"1,261 million usd"
""
"6,410 million usd"
"1,567 million usd"
469 million usd
"2,603 million usd"
401 million usd
"2,756 million usd"
""
"14,529 million usd"
"1,842 million usd"
431 million usd
"4,642 million usd"
"1,329 million usd"
"18,724 million usd"
""
845 million usd
"3,336 million usd"
""
38 million usd
"4,863 million usd"
"9,661 million usd"
72 million usd
"2,146 million usd"
"1,165 million usd"
"10,770 million usd"
"1,156 million usd"
""
"3,818 million usd"
""
"2,770 million usd"
168 million usd
"3,817 million usd"
"2,279 million usd"
""
"3,580 million usd"
"1,402 million usd"
""
119 million usd
"2,362 million usd"
897 million usd
320 million usd
"1,926 million usd"
22 million usd
""
"2,519 million usd"
"20,105 million usd"
"1,889 million usd"
"6,451 million usd"
"1,996 million usd"
"2,413 million usd"
"3,065 million usd"
"11,511 million usd"
"51,193 million usd"
""
471 million usd
"2,283 million usd"
"2,677 million usd"
""
807 million usd
"1,123 million usd"
""
"15,303 million usd"
"2,870 million usd"
"10,908 million usd"
436 million usd
331 million usd
"10,676 million usd"
"1,590 million usd"
624 million usd
"62,061 million usd"
"1,913 million usd"
"14,585 million usd"
704 million usd
93 million usd
"15,358 million usd"
516 million usd
""
"2,833 million usd"
552 million usd
"3,170 million usd"
"1,308 million usd"
"10,036 million usd"
"12,125 million usd"
"2,413 million usd"
"4,487 million usd"
"10,680 million usd"
"2,925 million usd"
"5,544 million usd"
"7,313 million usd"
106 million usd
""
194 million usd
985 million usd
410 million usd
409 million usd
"2,904 million usd"
""
"1,763 million usd"
""
196 million usd
"5,878 million usd"
"79,949 million usd"
247 million usd
344 million usd
"3,823 million usd"
"2,340 million usd"
163 million usd
""
"6,259 million usd"
87 million usd
"12,696 million usd"
156 million usd
253 million usd
"31,603 million usd"
"2,059 million usd"
"1,375 million usd"
"1,906 million usd"
724 million usd
104 million usd
"3,428 million usd"
105 million usd
""
109 million usd
"3,010 million usd"
""
"1,901 million usd"
"1,302 million usd"
"9,639 million usd"
"6,169 million usd"
""
""
""
""
"4,818 million usd"
"4,465 million usd"
"1,196 million usd"
"1,093 million usd"
"22,335 million usd"
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
"2,041 million usd"
"7,642 million usd"
"20,638 million usd"
""
"4,864 million usd"
"7,858 million usd"
""
""
""
69 million usd
"1,636 million usd"
"1,500 million usd"
457 million usd
55 million usd
"7,498 million usd"
"1,009 million usd"
545 million usd
"1,114 million usd"
"1,914 million usd"
674 million usd
618 million usd
"1,568 million usd"
"14,396 million usd"
"1,303 million usd"
"13,732 million usd"
"4,801 million usd"
"13,349 million usd"
"2,355 million usd"
"1,049 million usd"
""
184 million usd
3 million usd
""
911 million usd
"1,138 million usd"
"3,055 million usd"
"2,914 million usd"
339 million usd
767 million usd
"3,947 million usd"
"5,169 million usd"
126 million usd
"1,454 million usd"
"1,189 million usd"
64 million usd
""
"133,210 million usd"
""
"4,478 million usd"
""
103 million usd
"1,133 million usd"
""
"3,688 million usd"
"8,634 million usd"
"6,085 million usd"
""
106 million usd
879 million usd
"19,190 million usd"
407 million usd
"7,357 million usd"
461 million usd
"2,607 million usd"
508 million usd
"79,761 million usd"
"3,798 million usd"
"7,810 million usd"
444 million usd
257 million usd
"80,710 million usd"
"46,566 million usd"
"7,738 million usd"
"1,586 million usd"
"7,031 million usd"
"4,057 million usd"
"2,195 million usd"
"10,979 million usd"
"48,960 million usd"
"4,091 million usd"
""
"1,302 million usd"
"5,649 million usd"
"1,250 million usd"
"13,051 million usd"
885 million usd
"1,173 million usd"
148 million usd
"1,643 million usd"
"3,337 million usd"
"1,107 million usd"
"9,890 million usd"
0 million usd
148 million usd
"1,188 million usd"
""
"2,512 million usd"
236 million usd
414 million usd
"4,547 million usd"
"1,254 million usd"
"72,025 million usd"
173 million usd
297 million usd
"2,266 million usd"
"1,299 million usd"
"8,209 million usd"
""
"1,046 million usd"
111 million usd
"2,915 million usd"
"59,006 million usd"
""
"41,157 million usd"
"5,920 million usd"
"1,909 million usd"
476 million usd
"5,813 million usd"
"5,813 million usd"
822 million usd
404 million usd
"3,822 million usd"
452 million usd
821 million usd
""
437 million usd
"4,801 million usd"
451 million usd
"3,893 million usd"
"11,708 million usd"
"2,805 million usd"
"20,891 million usd"
979 million usd
"1,292 million usd"
"2,142 million usd"
"5,709 million usd"
"8,542 million usd"
532 million usd
863 million usd
328 million usd
""
""
""
"1,131 million usd"
"3,950 million usd"
"1,688 million usd"
""
"6,250 million usd"
470 million usd
"4,288 million usd"
402 million usd
"3,495 million usd"
240 million usd
"1,602 million usd"
""
815 million usd
"2,263 million usd"
101 million usd
"90,111 million usd"
"2,445 million usd"
"3,629 million usd"
"1,654 million usd"
"1,300 million usd"
"1,038 million usd"
"31,079 million usd"
904 million usd
"2,966 million usd"
571 million usd
""
"14,177 million usd"
"3,310 million usd"
259 million usd
"9,268 million usd"
158 million usd
913 million usd
"5,986 million usd"
793 million usd
"1,388 million usd"
523 million usd
144 million usd
"5,423 million usd"
"5,329 million usd"
882 million usd
710 million usd
297 million usd
324 million usd
"3,993 million usd"
885 million usd
"1,056 million usd"
"1,455 million usd"
"61,288 million usd"
385 million usd
"8,288 million usd"
"1,215 million usd"
"4,405 million usd"
"68,498 million usd"
313 million usd
"1,883 million usd"
25 million usd
"5,581 million usd"
"11,995 million usd"
508 million usd
942 million usd
"18,725 million usd"
"1,232 million usd"
"3,838 million usd"
"5,035 million usd"
156 million usd
"3,062 million usd"
"8,527 million usd"
557 million usd
"3,760 million usd"
66 million usd
""
20 million usd
95 million usd
"1,042 million usd"
"56,783 million usd"
"2,025 million usd"
680 million usd
"2,162 million usd"
684 million usd
517 million usd
"2,512 million usd"
324 million usd
565 million usd
"21,475 million usd"
"4,223 million usd"
"11,577 million usd"
172 million usd
"23,605 million usd"
"1,432 million usd"
701 million usd
"110,970 million usd"
"5,756 million usd"
"1,525 million usd"
"2,181 million usd"
"3,179 million usd"
962 million usd
"1,348 million usd"
"3,183 million usd"
799 million usd
"2,247 million usd"
569 million usd
225 million usd
113 million usd
625 million usd
""
"3,550 million usd"
"21,173 million usd"
"1,278 million usd"
"1,215 million usd"
890 million usd
""
320 million usd
""
""
"18,920 million usd"
"7,522 million usd"
877 million usd
""
159 million usd
"2,227 million usd"
"81,147 million usd"
"1,092 million usd"
383 million usd
""
506 million usd
"1,948 million usd"
""
"2,366 million usd"
929 million usd
"4,697 million usd"
"4,701 million usd"
"3,068 million usd"
"2,173 million usd"
"2,035 million usd"
"1,965 million usd"
331 million usd
777 million usd
10 million usd
"13,838 million usd"
"7,158 million usd"
24 million usd
"3,342 million usd"
"2,051 million usd"
"1,461 million usd"
"75,026 million usd"
105 million usd
"1,760 million usd"
""
"2,254 million usd"
"3,647 million usd"
""
"4,357 million usd"
"1,948 million usd"
"45,004 million usd"
"1,257 million usd"
430 million usd
600 million usd
"12,864 million usd"
""
"1,048 million usd"
381 million usd
"5,439 million usd"
"3,117 million usd"
"85,549 million usd"
""
179 million usd
""
"60,936 million usd"
"1,236 million usd"
"1,927 million usd"
"7,052 million usd"
"78,008 million usd"
"4,657 million usd"
"3,601 million usd"
"9,144 million usd"
"3,249 million usd"
493 million usd
""
543 million usd
"1,900 million usd"
"51,219 million usd"
"2,026 million usd"
"3,186 million usd"
"3,578 million usd"
"1,796 million usd"
"1,115 million usd"
"18,440 million usd"
88 million usd
"2,445 million usd"
""
"11,671 million usd"
"3,763 million usd"
952 million usd
"3,446 million usd"
254 million usd
""
"3,529 million usd"
"2,895 million usd"
""
"4,021 million usd"
"1,162 million usd"
200 million usd
240 million usd
"8,303 million usd"
"42,393 million usd"
82 million usd
"1,367 million usd"
309 million usd
878 million usd
""
"2,948 million usd"
""
465 million usd
3 million usd
"2,355 million usd"
"5,339 million usd"
128 million usd
"1,474 million usd"
"7,976 million usd"
44 million usd
560 million usd
"1,494 million usd"
"13,848 million usd"
""
""
"5,536 million usd"
""
"14,325 million usd"
"3,792 million usd"
"70,804 million usd"
"1,190 million usd"
955 million usd
"3,724 million usd"
"206,000 million usd"
899 million usd
"4,778 million usd"
"4,639 million usd"
"4,459 million usd"
"19,660 million usd"
"1,672 million usd"
"5,355 million usd"
72 million usd
"8,244 million usd"
"1,474 million usd"
752 million usd
"5,004 million usd"
246 million usd
"5,614 million usd"
"1,104 million usd"
"1,068 million usd"
"10,758 million usd"
"5,267 million usd"
"13,845 million usd"
"1,838 million usd"
"28,799 million usd"
""
"28,394 million usd"
"3,472 million usd"
"2,816 million usd"
382 million usd
""
"34,048 million usd"
"4,394 million usd"
""
177 million usd
619 million usd
"1,894 million usd"
"1,998 million usd"
"2,158 million usd"
209 million usd
839 million usd
"2,717 million usd"
946 million usd
"1,011 million usd"
157 million usd
86 million usd
72 million usd
761 million usd
362 million usd
"1,403 million usd"
""
"3,924 million usd"
225 million usd
678 million usd
890 million usd
272 million usd
"2,636 million usd"
"14,094 million usd"
199 million usd
768 million usd
"7,238 million usd"
"1,203 million usd"
181 million usd
"5,710 million usd"
"1,432 million usd"
"3,706 million usd"
""
"13,655 million usd"
970 million usd
165 million usd
756 million usd
101 million usd
239 million usd
"1,262 million usd"
"4,847 million usd"
715 million usd
""
"57,538 million usd"
""
251 million usd
"4,524 million usd"
"65,024 million usd"
244 million usd
342 million usd
"5,697 million usd"
"1,457 million usd"
"1,047 million usd"
"1,178 million usd"
"1,175 million usd"
""
""
956 million usd
211 million usd
46 million usd
740 million usd
928 million usd
"1,758 million usd"
4 million usd
""
506 million usd
""
"1,618 million usd"
404 million usd
"2,312 million usd"
""
""
647 million usd
"1,612 million usd"
""
""
262 million usd
"19,574 million usd"
578 million usd
"3,121 million usd"
"2,812 million usd"
190 million usd
""
"1,919 million usd"
"1,930 million usd"
284 million usd
"1,428 million usd"
"1,930 million usd"
121 million usd
945 million usd
""
"2,598 million usd"
""
"4,663 million usd"
622 million usd
"1,561 million usd"
""
"3,117 million usd"
""
189 million usd
"1,963 million usd"
86 million usd
"3,544 million usd"
"6,098 million usd"
"31,079 million usd"
"2,739 million usd"
"1,047 million usd"
"1,204 million usd"
""
"2,807 million usd"
671 million usd
3 million usd
112 million usd
111 million usd
"2,102 million usd"
"1,249 million usd"
"2,197 million usd"
""
"5,887 million usd"
""
"2,145 million usd"
502 million usd
"1,526 million usd"
"1,605 million usd"
""
""
""
""
""
""
""
"8,770 million usd"
"5,314 million usd"
605 million usd
608 million usd
""
""
181 million usd
"29,867 million usd"
""
"1,433 million usd"
"1,166 million usd"
"1,509 million usd"
""
225 million usd
"2,541 million usd"
"1,731 million usd"
"3,389 million usd"
""
336 million usd
"31,522 million usd"
"15,853 million usd"
"1,404 million usd"
""
"1,300 million usd"
"11,929 million usd"
""
136 million usd
""
"2,359 million usd"
"4,665 million usd"
"1,300 million usd"
965 million usd
"2,243 million usd"
"2,145 million usd"
"3,096 million usd"
""
130 million usd
""
"3,179 million usd"
204 million usd
"2,357 million usd"
"1,357 million usd"
444 million usd
303 million usd
""
""
"6,166 million usd"
"3,232 million usd"
"16,156 million usd"
"2,353 million usd"
229 million usd
"14,499 million usd"
"2,069 million usd"
674 million usd
"1,140 million usd"
663 million usd
303 million usd
"8,199 million usd"
555 million usd
"21,629 million usd"
"2,094 million usd"
"2,164 million usd"
"17,898 million usd"
""
319 million usd
"1,503 million usd"
"1,782 million usd"
586 million usd
"1,558 million usd"
""
"2,639 million usd"
"1,444 million usd"
"15,419 million usd"
""
"2,836 million usd"
"3,056 million usd"
0 million usd
"2,587 million usd"
"2,751 million usd"
632 million usd
115 million usd
"8,792 million usd"
"1,054 million usd"
""
"6,455 million usd"
""
"3,998 million usd"
217 million usd
"1,395 million usd"
1 million usd
658 million usd
""
""
6 million usd
956 million usd
"2,525 million usd"
530 million usd
"18,683 million usd"
"21,441 million usd"
432 million usd
""
818 million usd
""
491 million usd
"11,340 million usd"
""
"2,700 million usd"
""
""
"1,436 million usd"
850 million usd
""
32 million usd
"1,304 million usd"
598 million usd
"6,023 million usd"
"1,181 million usd"
124 million usd
"6,319 million usd"
461 million usd
""
"1,091 million usd"
214 million usd
""
518 million usd
"1,047 million usd"
"2,767 million usd"
"3,758 million usd"
619 million usd
"2,041 million usd"
""
607 million usd
"1,728 million usd"
"7,562 million usd"
"1,736 million usd"
"11,122 million usd"
174 million usd
""
714 million usd
"1,718 million usd"
""
""
""
767 million usd
243 million usd
"91,047 million usd"
"1,192 million usd"
"20,904 million usd"
350 million usd
"8,941 million usd"
"4,182 million usd"
"13,219 million usd"
51 million usd
"4,440 million usd"
"4,741 million usd"
""
708 million usd
""
""
""
""
"17,816 million usd"
"4,165 million usd"
"3,681 million usd"
62 million usd
