10-DeBiGa-market_cap,10-DeBiGa-revenue
doll_941.0 m,doll_1.2 b
doll_688.9 m,doll_1.2 b
doll_2.1 b,doll_1.2 b
doll_3.0 b,doll_1.2 b
doll_27.7 b,doll_1.2 b
doll_1.9 b,doll_1.2 b
doll_768.3 m,doll_1.2 b
doll_5.2 b,doll_1.2 b
doll_390.5 m,doll_1.2 b
doll_2.1 b,doll_1.2 b
doll_992.5 m,doll_1.2 b
doll_1.9 b,doll_1.2 b
doll_347.6 m,doll_1.2 b
doll_7.3 b,doll_1.3 b
doll_830.1 m,doll_1.3 b
doll_1.0 b,doll_1.3 b
doll_1.2 b,doll_1.3 b
doll_3.9 b,doll_1.3 b
doll_4.3 b,doll_1.3 b
doll_2.3 b,doll_1.3 b
doll_2.2 b,doll_1.3 b
doll_3.1 b,doll_1.3 b
doll_4.5 b,doll_1.3 b
0,doll_1.3 b
doll_502.9 m,doll_1.3 b
doll_5.6 b,doll_1.3 b
doll_1.3 b,doll_1.3 b
doll_23.7 b,doll_1.3 b
doll_3.3 b,doll_1.3 b
doll_1.0 b,doll_1.3 b
doll_390.9 m,doll_1.3 b
doll_1.0 b,doll_1.3 b
doll_2.4 b,doll_1.3 b
doll_7.9 b,doll_1.3 b
doll_12.5 b,doll_1.3 b
doll_4.3 b,doll_1.3 b
0,doll_1.3 b
doll_800.2 m,doll_1.3 b
doll_5.7 b,doll_1.3 b
doll_1.5 b,doll_1.3 b
doll_4.7 b,doll_1.3 b
doll_1.3 b,doll_1.3 b
0,doll_1.3 b
doll_912.6 m,doll_1.3 b
doll_693.9 m,doll_1.3 b
doll_1.1 b,doll_1.3 b
doll_210.8 m,doll_1.3 b
doll_303.8 m,doll_1.3 b
doll_753.0 m,doll_1.3 b
doll_1.0 b,doll_1.3 b
doll_1.6 b,doll_1.3 b
doll_786.9 m,doll_1.3 b
doll_3.1 b,doll_1.3 b
doll_1.8 b,doll_1.3 b
0,doll_1.3 b
doll_4.7 b,doll_1.3 b
0,doll_1.3 b
doll_485.8 m,doll_1.3 b
doll_150.5 m,doll_1.3 b
doll_1.1 b,doll_1.3 b
doll_2.9 b,doll_1.3 b
doll_1.3 b,doll_1.3 b
0,doll_1.3 b
doll_1.4 b,doll_1.3 b
doll_4.5 b,doll_1.3 b
doll_6.8 b,doll_1.3 b
doll_1.5 b,doll_1.3 b
doll_8.0 b,doll_1.3 b
doll_1.7 b,doll_1.3 b
doll_306.8 m,doll_1.3 b
doll_149.4 m,doll_1.3 b
doll_13.0 b,doll_1.3 b
doll_657.5 m,doll_1.3 b
doll_2.5 b,doll_1.3 b
doll_876.3 m,doll_1.3 b
doll_4.3 b,doll_1.3 b
doll_433.3 m,doll_1.3 b
doll_805.6 m,doll_1.3 b
doll_2.2 b,doll_1.3 b
doll_394.4 m,doll_1.3 b
doll_4.4 b,doll_1.3 b
doll_6.9 b,doll_1.3 b
