01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct,07-silvestri-revenue_2017
"3,659,630",601.37,"3,659,630"
"259,342",598.10,"259,342"
"219,999",590.77,"219,999"
"276,750",586.95,"276,750"
"657,382",586.89,"657,382"
"18,106,514",581.48,"18,106,514"
"4,829,922",580.10,"4,829,922"
"688,860",579.81,"688,860"
"2,880,891",579.56,"2,880,891"
"667,170",578.64,"667,170"
"21,640,253",576.76,"21,640,253"
"226,295",575.79,"226,295"
"991,534",573.05,"991,534"
"274,790",569.09,"274,790"
"310,810",566.63,"310,810"
"4,601,266",566.22,"4,601,266"
"1,411,811",564.06,"1,411,811"
"1,587,500",563.94,"1,587,500"
"404,819",561.59,"404,819"
"251,795",556.12,"251,795"
"5,033,032",555.65,"5,033,032"
"3,241,629",555.52,"3,241,629"
"436,610",554.25,"436,610"
"6,936,038",552.07,"6,936,038"
"461,000",551.35,"461,000"
"656,172",550.00,"656,172"
"1,034,093",548.14,"1,034,093"
"449,771",548.05,"449,771"
"4,954,590",546.65,"4,954,590"
"4,979,484",546.03,"4,979,484"
"422,610",539.22,"422,610"
"322,050",538.99,"322,050"
"304,833",538.61,"304,833"
"789,058",529.56,"789,058"
"5,361,088",527.70,"5,361,088"
"4,653,721",527.48,"4,653,721"
"245,974",526.03,"245,974"
"11,756,712",525.30,"11,756,712"
"1,765,457",524.73,"1,765,457"
"318,940",523.93,"318,940"
"385,266",520.62,"385,266"
"3,733,539",517.38,"3,733,539"
"923,000",517.01,"923,000"
"598,678",515.99,"598,678"
"4,174,549",515.51,"4,174,549"
"737,936",514.46,"737,936"
"698,300",513.48,"698,300"
"551,848",513.18,"551,848"
"1,277,410",509.86,"1,277,410"
"1,644,899",507.97,"1,644,899"
"5,643,295",505.07,"5,643,295"
"685,370",502.79,"685,370"
"1,002,579",502.19,"1,002,579"
"1,043,440",499.55,"1,043,440"
"1,122,907",498.36,"1,122,907"
"1,091,925",493.89,"1,091,925"
"492,860",491.72,"492,860"
"916,511",488.50,"916,511"
"1,207,613",488.24,"1,207,613"
"1,396,400",487.83,"1,396,400"
"2,484,783",487.47,"2,484,783"
"521,250",486.88,"521,250"
"2,076,139",486.24,"2,076,139"
"580,644",486.08,"580,644"
"3,380,420",485.69,"3,380,420"
"853,561",483.67,"853,561"
"352,000",482.78,"352,000"
"287,985",481.07,"287,985"
"877,275",479.95,"877,275"
"441,260",479.40,"441,260"
"473,344",478.83,"473,344"
"7,007,000",478.65,"7,007,000"
"638,739",474.45,"638,739"
"347,190",474.38,"347,190"
"349,641",473.16,"349,641"
"332,372",471.65,"332,372"
"493,000",471.60,"493,000"
"3,185,180",470.40,"3,185,180"
"2,423,113",470.21,"2,423,113"
"631,500",469.76,"631,500"
"2,267,165",469.71,"2,267,165"
"408,336",468.80,"408,336"
"2,884,392",468.18,"2,884,392"
"558,820",467.98,"558,820"
"338,300",465.92,"338,300"
"1,644,134",465.78,"1,644,134"
"3,878,370",462.56,"3,878,370"
"9,719,653",461.12,"9,719,653"
"2,610,679",460.83,"2,610,679"
"419,240",459.21,"419,240"
"2,696,485",458.13,"2,696,485"
"1,600,000",456.25,"1,600,000"
"751,071",455.45,"751,071"
"532,690",452.48,"532,690"
"12,709,000",452.20,"12,709,000"
"289,766",450.85,"289,766"
"539,486",449.16,"539,486"
"910,963",447.76,"910,963"
"318,370",446.74,"318,370"
"348,129",444.42,"348,129"
"1,418,769",443.14,"1,418,769"
"2,982,238",442.64,"2,982,238"
"856,790",441.64,"856,790"
"4,253,600",439.61,"4,253,600"
"4,893,654",439.22,"4,893,654"
"1,349,250",438.38,"1,349,250"
"635,400",435.19,"635,400"
"1,013,181",433.20,"1,013,181"
"1,481,398",432.02,"1,481,398"
"564,910",431.82,"564,910"
"20,436,426",430.92,"20,436,426"
"2,127,151",427.38,"2,127,151"
"7,339,330",427.36,"7,339,330"
"461,671",425.60,"461,671"
"4,176,347",425.57,"4,176,347"
"569,646",421.70,"569,646"
"391,540",420.34,"391,540"
"6,035,116",420.23,"6,035,116"
"826,430",420.04,"826,430"
"3,013,629",418.96,"3,013,629"
"655,000",418.47,"655,000"
"2,635,420",417.12,"2,635,420"
"1,454,711",416.23,"1,454,711"
"2,148,122",415.23,"2,148,122"
"1,304,060",411.71,"1,304,060"
"1,090,920",411.64,"1,090,920"
"2,577,297",411.37,"2,577,297"
"4,356,500",406.66,"4,356,500"
"340,309",404.97,"340,309"
"846,360",404.13,"846,360"
"1,061,327",403.10,"1,061,327"
"792,093",402.58,"792,093"
"4,641,712",402.13,"4,641,712"
"2,408,187",400.90,"2,408,187"
"5,629,906",399.83,"5,629,906"
"2,163,006",399.44,"2,163,006"
"7,671,961",398.90,"7,671,961"
"770,031",398.70,"770,031"
"303,615",398.69,"303,615"
"11,728,040",398.15,"11,728,040"
"341,370",396.92,"341,370"
"608,053",396.52,"608,053"
"520,998",394.55,"520,998"
"6,863,940",394.51,"6,863,940"
"1,965,560",393.21,"1,965,560"
"1,543,824",390.55,"1,543,824"
"464,354",390.53,"464,354"
"3,284,400",389.87,"3,284,400"
"700,007",389.78,"700,007"
"3,915,724",389.56,"3,915,724"
"1,127,652",388.82,"1,127,652"
"1,401,463",385.68,"1,401,463"
"681,460",385.16,"681,460"
"3,035,269",383.45,"3,035,269"
"1,468,200",381.19,"1,468,200"
"2,663,699",380.80,"2,663,699"
"2,601,157",380.13,"2,601,157"
"329,298",378.99,"329,298"
"2,136,626",375.90,"2,136,626"
"5,602,132",375.47,"5,602,132"
"1,459,655",375.30,"1,459,655"
"411,858",373.76,"411,858"
"1,201,964",373.42,"1,201,964"
"3,954,351",373.09,"3,954,351"
"1,906,790",372.95,"1,906,790"
"437,747",371.54,"437,747"
"595,800",369.96,"595,800"
"1,541,070",368.02,"1,541,070"
"4,163,750",367.32,"4,163,750"
"766,510",367.12,"766,510"
"3,688,264",366.38,"3,688,264"
"2,508,842",365.87,"2,508,842"
"1,982,251",365.14,"1,982,251"
"6,328,462",364.94,"6,328,462"
"443,694",364.90,"443,694"
"1,081,079",362.48,"1,081,079"
"496,790",362.41,"496,790"
"110,835,763",361.78,"110,835,763"
"573,145",361.24,"573,145"
"790,712",361.17,"790,712"
"22,060,642",361.12,"22,060,642"
"12,200,275",360.01,"12,200,275"
"699,907",359.98,"699,907"
"1,297,717",359.62,"1,297,717"
"1,050,660",359.61,"1,050,660"
"16,861,349",358.59,"16,861,349"
"934,994",358.37,"934,994"
"736,000",357.44,"736,000"
"1,061,360",356.25,"1,061,360"
"1,114,200",356.21,"1,114,200"
"32,824,451",355.67,"32,824,451"
"398,676",355.58,"398,676"
"45,981,552",355.45,"45,981,552"
"3,389,300",353.69,"3,389,300"
"3,525,720",351.01,"3,525,720"
"1,698,358",350.96,"1,698,358"
"645,633",350.83,"645,633"
"1,128,243",350.12,"1,128,243"
"505,520",347.56,"505,520"
"516,640",347.12,"516,640"
"775,341",344.41,"775,341"
"771,504",343.11,"771,504"
"1,492,190",342.81,"1,492,190"
"361,790",342.52,"361,790"
"8,935,361",340.45,"8,935,361"
"1,389,534",339.50,"1,389,534"
"857,590",339.50,"857,590"
"544,943",338.88,"544,943"
"1,593,667",338.29,"1,593,667"
"2,091,995",337.44,"2,091,995"
"9,235,130",337.37,"9,235,130"
"743,130",337.22,"743,130"
"1,119,494",336.69,"1,119,494"
"1,062,010",333.49,"1,062,010"
"2,199,640",331.97,"2,199,640"
"452,091",331.77,"452,091"
"2,510,930",331.20,"2,510,930"
"630,660",331.08,"630,660"
"969,930",329.74,"969,930"
"499,815",329.62,"499,815"
"667,467",329.00,"667,467"
"691,140",328.98,"691,140"
"441,271",328.62,"441,271"
"917,735",328.53,"917,735"
"1,134,256",327.77,"1,134,256"
"1,702,165",326.52,"1,702,165"
"3,163,540",326.09,"3,163,540"
"948,813",325.82,"948,813"
