07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct
"643,299",643299,"643,299",964.02
"628,384",628384,"628,384",954.24
"21,098,843",21098843,"21,098,843",949.32
"160,539",160539,"160,539",941.48
"2,131,000",2131000,"2,131,000",938.81
"1,521,010",1521010,"1,521,010",937.64
"194,780",194780,"194,780",935.17
"291,720",291720,"291,720",927.28
"167,000",167000,"167,000",927.15
"552,355",552355,"552,355",921.07
"1,269,382",1269382,"1,269,382",914.74
"4,340,517",4340517,"4,340,517",909.37
"249,975",249975,"249,975",908.11
"156,300",156300,"156,300",904.15
"204,620",204620,"204,620",897.81
"2,693,390",2693390,"2,693,390",888.84
"3,058,141",3058141,"3,058,141",886.94
"2,456,563",2456563,"2,456,563",884.55
"230,800",230800,"230,800",882.56
"1,870,109",1870109,"1,870,109",880.00
"7,450,099",7450099,"7,450,099",867.03
"280,390",280390,"280,390",866.15
"1,217,338",1217338,"1,217,338",866.06
"529,371",529371,"529,371",847.68
"7,177,912",7177912,"7,177,912",842.47
"429,505",429505,"429,505",842.21
"2,096,570",2096570,"2,096,570",834.19
"479,290",479290,"479,290",825.58
"735,758",735758,"735,758",824.45
"374,200",374200,"374,200",823.89
"530,785",530785,"530,785",812.34
"533,144",533144,"533,144",811.16
"308,810",308810,"308,810",808.60
"252,871",252871,"252,871",797.40
"1,052,796",1052796,"1,052,796",792.08
"3,046,667",3046667,"3,046,667",790.71
"1,057,443",1057443,"1,057,443",789.96
"237,410",237410,"237,410",787.93
"1,255,372",1255372,"1,255,372",786.15
"18,035,029",18035029,"18,035,029",785.05
"2,531,000",2531000,"2,531,000",784.47
"551,128",551128,"551,128",783.80
"273,552",273552,"273,552",780.26
"299,988",299988,"299,988",765.91
"1,340,430",1340430,"1,340,430",764.38
"228,982",228982,"228,982",763.88
"570,564",570564,"570,564",761.93
"651,170",651170,"651,170",758.51
"262,280",262280,"262,280",753.42
"400,000",400000,"400,000",750.00
"2,133,310",2133310,"2,133,310",744.97
"2,025,879",2025879,"2,025,879",744.07
"1,815,680",1815680,"1,815,680",739.66
"2,264,940",2264940,"2,264,940",736.20
"295,731",295731,"295,731",731.33
"305,268",305268,"305,268",731.00
"327,218",327218,"327,218",727.39
"191,679",191679,"191,679",722.29
"1,349,733",1349733,"1,349,733",721.49
"481,510",481510,"481,510",718.65
"812,371",812371,"812,371",717.46
"26,112,757",26112757,"26,112,757",713.62
"1,575,522",1575522,"1,575,522",710.72
"7,415,334",7415334,"7,415,334",710.04
"833,230",833230,"833,230",708.86
"1,119,178",1119178,"1,119,178",708.18
"249,818",249818,"249,818",708.03
"6,280,267",6280267,"6,280,267",707.67
"5,026,349",5026349,"5,026,349",707.63
"440,369",440369,"440,369",698.59
"1,315,000",1315000,"1,315,000",698.46
"8,811,708",8811708,"8,811,708",696.48
"1,134,730",1134730,"1,134,730",695.08
"19,757,296",19757296,"19,757,296",693.19
"796,207",796207,"796,207",693.15
"2,448,858",2448858,"2,448,858",693.05
"13,157,000",13157000,"13,157,000",687.67
"10,152,222",10152222,"10,152,222",683.39
"500,440",500440,"500,440",682.63
"506,730",506730,"506,730",681.63
"225,964",225964,"225,964",680.23
"3,989,355",3989355,"3,989,355",679.70
"504,357",504357,"504,357",678.11
"548,180",548180,"548,180",675.86
"524,750",524750,"524,750",675.34
"274,966",274966,"274,966",673.74
"214,713",214713,"214,713",673.44
"755,191",755191,"755,191",665.31
"7,522,000",7522000,"7,522,000",662.76
"1,556,607",1556607,"1,556,607",661.92
"2,058,315",2058315,"2,058,315",660.16
"8,508,398",8508398,"8,508,398",656.17
"2,570,000",2570000,"2,570,000",655.91
"26,626,422",26626422,"26,626,422",655.01
"546,226",546226,"546,226",651.57
"2,708,983",2708983,"2,708,983",651.07
"975,140",975140,"975,140",650.65
"316,525",316525,"316,525",645.92
"884,885",884885,"884,885",641.45
"559,778",559778,"559,778",640.72
"2,146,950",2146950,"2,146,950",639.39
"340,000",340000,"340,000",635.85
"1,062,649",1062649,"1,062,649",635.77
"621,636",621636,"621,636",634.70
"350,019",350019,"350,019",633.03
"330,522",330522,"330,522",631.54
"410,520",410520,"410,520",629.15
"2,051,133",2051133,"2,051,133",628.49
"674,805",674805,"674,805",627.38
"670,685",670685,"670,685",626.96
"255,000",255000,"255,000",625.88
"3,417,815",3417815,"3,417,815",624.36
"364,485",364485,"364,485",623.62
"15,653,388",15653388,"15,653,388",612.55
"954,700",954700,"954,700",611.08
"49,833,511",49833511,"49,833,511",608.12
"2,669,247",2669247,"2,669,247",608.11
"309,471",309471,"309,471",607.97
"923,730",923730,"923,730",605.35
"1,354,980",1354980,"1,354,980",604.94
"335,460",335460,"335,460",601.43
"3,659,630",3659630,"3,659,630",601.37
"259,342",259342,"259,342",598.10
"219,999",219999,"219,999",590.77
"276,750",276750,"276,750",586.95
"657,382",657382,"657,382",586.89
"18,106,514",18106514,"18,106,514",581.48
"4,829,922",4829922,"4,829,922",580.10
"688,860",688860,"688,860",579.81
"2,880,891",2880891,"2,880,891",579.56
"667,170",667170,"667,170",578.64
"21,640,253",21640253,"21,640,253",576.76
"226,295",226295,"226,295",575.79
"991,534",991534,"991,534",573.05
"274,790",274790,"274,790",569.09
"310,810",310810,"310,810",566.63
"4,601,266",4601266,"4,601,266",566.22
"1,411,811",1411811,"1,411,811",564.06
"1,587,500",1587500,"1,587,500",563.94
"404,819",404819,"404,819",561.59
"251,795",251795,"251,795",556.12
"5,033,032",5033032,"5,033,032",555.65
"3,241,629",3241629,"3,241,629",555.52
"436,610",436610,"436,610",554.25
"6,936,038",6936038,"6,936,038",552.07
"461,000",461000,"461,000",551.35
"656,172",656172,"656,172",550.00
"1,034,093",1034093,"1,034,093",548.14
"449,771",449771,"449,771",548.05
"4,954,590",4954590,"4,954,590",546.65
"4,979,484",4979484,"4,979,484",546.03
"422,610",422610,"422,610",539.22
"322,050",322050,"322,050",538.99
"304,833",304833,"304,833",538.61
"789,058",789058,"789,058",529.56
"5,361,088",5361088,"5,361,088",527.70
"4,653,721",4653721,"4,653,721",527.48
"245,974",245974,"245,974",526.03
"11,756,712",11756712,"11,756,712",525.30
"1,765,457",1765457,"1,765,457",524.73
"318,940",318940,"318,940",523.93
"385,266",385266,"385,266",520.62
"3,733,539",3733539,"3,733,539",517.38
"923,000",923000,"923,000",517.01
"598,678",598678,"598,678",515.99
"4,174,549",4174549,"4,174,549",515.51
"737,936",737936,"737,936",514.46
"698,300",698300,"698,300",513.48
"551,848",551848,"551,848",513.18
"1,277,410",1277410,"1,277,410",509.86
"1,644,899",1644899,"1,644,899",507.97
"5,643,295",5643295,"5,643,295",505.07
"685,370",685370,"685,370",502.79
"1,002,579",1002579,"1,002,579",502.19
"1,043,440",1043440,"1,043,440",499.55
"1,122,907",1122907,"1,122,907",498.36
"1,091,925",1091925,"1,091,925",493.89
"492,860",492860,"492,860",491.72
"916,511",916511,"916,511",488.50
"1,207,613",1207613,"1,207,613",488.24
"1,396,400",1396400,"1,396,400",487.83
"2,484,783",2484783,"2,484,783",487.47
"521,250",521250,"521,250",486.88
"2,076,139",2076139,"2,076,139",486.24
"580,644",580644,"580,644",486.08
"3,380,420",3380420,"3,380,420",485.69
"853,561",853561,"853,561",483.67
"352,000",352000,"352,000",482.78
"287,985",287985,"287,985",481.07
"877,275",877275,"877,275",479.95
"441,260",441260,"441,260",479.40
"473,344",473344,"473,344",478.83
"7,007,000",7007000,"7,007,000",478.65
"638,739",638739,"638,739",474.45
"347,190",347190,"347,190",474.38
"349,641",349641,"349,641",473.16
"332,372",332372,"332,372",471.65
"493,000",493000,"493,000",471.60
"3,185,180",3185180,"3,185,180",470.40
"2,423,113",2423113,"2,423,113",470.21
"631,500",631500,"631,500",469.76
"2,267,165",2267165,"2,267,165",469.71
"408,336",408336,"408,336",468.80
"2,884,392",2884392,"2,884,392",468.18
"558,820",558820,"558,820",467.98
"338,300",338300,"338,300",465.92
"1,644,134",1644134,"1,644,134",465.78
"3,878,370",3878370,"3,878,370",462.56
"9,719,653",9719653,"9,719,653",461.12
"2,610,679",2610679,"2,610,679",460.83
"419,240",419240,"419,240",459.21
"2,696,485",2696485,"2,696,485",458.13
"1,600,000",1600000,"1,600,000",456.25
"751,071",751071,"751,071",455.45
"532,690",532690,"532,690",452.48
"12,709,000",12709000,"12,709,000",452.20
"289,766",289766,"289,766",450.85
"539,486",539486,"539,486",449.16
"910,963",910963,"910,963",447.76
"318,370",318370,"318,370",446.74
"348,129",348129,"348,129",444.42
"1,418,769",1418769,"1,418,769",443.14
"2,982,238",2982238,"2,982,238",442.64
"856,790",856790,"856,790",441.64
"4,253,600",4253600,"4,253,600",439.61
"4,893,654",4893654,"4,893,654",439.22
