03-gren-revenue_2017_eu,01-DDD-revenue_2020_euro,03-gren-revenue_2020_eu,07-silvestri-revenue_2020,08-slytherin-revenue
552355.0,doll_5.64 m,doll_5.64 m,doll_5.64 m,doll_13.5 m
1269382.0,doll_12.79 m,doll_12.79 m,doll_12.79 m,doll_26.25 m
4340517.0,doll_43.81 m,doll_43.81 m,doll_43.81 m,doll_32.98 m
249975.0,doll_2.52 m,doll_2.52 m,doll_2.52 m,doll_7.84 m
156300.0,doll_1.57 m,doll_1.57 m,doll_1.57 m,doll_4.52 m
204620.0,doll_2.03 m,doll_2.03 m,doll_2.03 m,doll_9.40 m
2693390.0,doll_26.63 m,doll_26.63 m,doll_26.63 m,doll_23.05 m
3058141.0,doll_29.62 m,doll_29.62 m,doll_29.62 m,doll_14.59 m
2456563.0,doll_20.83 m,doll_20.83 m,doll_20.83 m,doll_6.26 m
230800.0,doll_2.27 m,doll_2.27 m,doll_2.27 m,doll_9.01 m
1870109.0,doll_18.2 m,doll_18.2 m,doll_18.2 m,doll_8.38 m
7450099.0,doll_72.04 m,doll_72.04 m,doll_72.04 m,doll_21.3 m
280390.0,doll_2.71 m,doll_2.71 m,doll_2.71 m,doll_23.06 m
1217338.0,doll_11.5 m,doll_11.5 m,doll_11.5 m,doll_7.5 m
529371.0,doll_5.02 m,doll_5.02 m,doll_5.02 m,doll_57.65 m
7177912.0,doll_66.15 m,doll_66.15 m,doll_66.15 m,doll_2.03 m
429505.0,doll_4.05 m,doll_4.05 m,doll_4.05 m,doll_3.98 m
2096570.0,doll_19.45 m,doll_19.45 m,doll_19.45 m,doll_1.00 m
479290.0,doll_4.44 m,doll_4.44 m,doll_4.44 m,doll_15.70 m
735758.0,doll_6.8 m,doll_6.8 m,doll_6.8 m,doll_2.84 m
374200.0,doll_3.46 m,doll_3.46 m,doll_3.46 m,doll_10.18 m
530785.0,doll_4.71 m,doll_4.71 m,doll_4.71 m,doll_16.14 m
533144.0,doll_4.86 m,doll_4.86 m,doll_4.86 m,doll_13.89 m
308810.0,doll_2.81 m,doll_2.81 m,doll_2.81 m,doll_5.9 m
252871.0,doll_2.27 m,doll_2.27 m,doll_2.27 m,doll_6.18 m
1052796.0,doll_9.39 m,doll_9.39 m,doll_9.39 m,doll_7.4 m
3046667.0,doll_26.53 m,doll_26.53 m,doll_26.53 m,doll_100.98 m
1057443.0,doll_8.61 m,doll_8.61 m,doll_8.61 m,doll_16.29 m
237410.0,doll_2.11 m,doll_2.11 m,doll_2.11 m,doll_7.79 m
1255372.0,doll_11.12 m,doll_11.12 m,doll_11.12 m,doll_11.26 m
18035029.0,doll_156.62 m,doll_156.62 m,doll_156.62 m,doll_18.21 m
2531000.0,doll_22.39 m,doll_22.39 m,doll_22.39 m,doll_7.32 m
551128.0,doll_4.87 m,doll_4.87 m,doll_4.87 m,doll_6.24 m
273552.0,doll_2.41 m,doll_2.41 m,doll_2.41 m,doll_6.46 m
299988.0,doll_2.6 m,doll_2.6 m,doll_2.6 m,doll_22.39 m
