05-MalPatSaj-notes,02-GioPonSpiz-headquarters,05-MalPatSaj-headquarters,06-MarScoToc-headquarters
"civil engineering, construction",pontedera,athens,
lifting machinery,lugo,tavros,
record producer,pescara,athens,
airline,albizzate,heraklion,
ferry boats,turin,athens,
multimedia,mondaino,athens,
ship management,cento,pireus,
research institute,torre annunziata,volos,
construction,coriano,chalkis,
famous food brands,milan,athens,
beverages,rossano veneto,zug,
coffee house,milan,patras,
magazine and book publishing,rho,athens,
"construction, oil & gas",bresso,athens,
mobile telephony operator,vicenza,athens,
shipping,pordenone,monaco,
natural gas,dublin,athens,
natural gas,dublin,chalandri,
agricultural machinery,dublin,tavros,
broadcaster,dublin,athens,
broadcasting,dublin,athens,
ferry service,dublin,rhodes,
shipping company,dublin,athens,
defense,dublin,athens,
supervises and maintains motorway 2,dublin,athens,
durable household products,dublin,lykovrysi,
soft drinks,dublin,pilio,
construction,dublin,eleusis,
fertilisers,dublin,athens,
"construction, energy",dublin,kifissia,
airline,dublin,thessaloniki,
oil company,cork,maroussi,
,dublin,koropi,
durable household products,newbridge,athens,
newspaper broadsheet,dundalk,athens,
aluminium,dublin,athens,
bank,dublin,athens,
insurance and asset management,dublin,athens,
ferry service,dublin,athens,
shipping,dublin,maroussi,
dairy,dublin,athens,
water industry,dublin,galatsi,
yogurt products,dublin,strassen,
ferry service,dublin,piraeus,
coffee chain,dublin,athens,
film production,dublin,athens,
greek lager beer,dublin,athens,
"jewelry, watches, accessories",dublin,athens,
isp,dublin,athens,
commercial refrigeration,dublin,kifissia,
airline,dundalk,athens,
supermarkets,laghey,athens,
"construction, energy",dublin,athens,
batteries,dublin,athens,
shipping,dublin,andros,
restaurants & bar,dublin,athens,
hotels,dublin,rethymno,
internet e-infrastructure,dublin,athens,
new agency,dublin,-,
distillers & vintners,dublin,markopoulo,
famous brand,dublin,orestiada,
record producer,belfast,thessaloniki,
food processing,cork,athens,
steel,cork,athens,
record producer,dublin,athens,
communications satellite,dublin,nicosia,
aerospace,dublin,tanagra,
public broadcasting,dublin,athens,
civil aviation,belfast,glyfada,
travel retailer,dublin,agios stefanos,
infrastructure,dublin,athens,
oil refining,kilkenny,athens,
"postal services, courier",dublin,athens,
railway,dublin,athens,
development,dublin,athens,
airline,dublin,athens,
ferry service,dublin,athens,
shipyard,dublin,skaramagas,
space cluster & satellites,dublin,kallithea,
sugar,dublin,thessaloniki,
vehicle industry,dublin,thessaloniki,
subsidiary of lafargeholcim,dublin,athens,
energy,dublin,athens,
clothing & accessories retailer,leixlip,athens,
hotel,dublin,athens,
magazine and book publishing,dublin,thessaloniki,
newspaper broadsheet,dublin,athens,
bicycles,dublin,patras,
technology,cork,athens,
hospital,dublin,thessaloniki,
software,tralee,london,
founded by socrates kokkalis,dublin,athens,
"construction, energy",little island,paiania,
gaming,dublin,athens,
ferry services,derrylin,zante,
durable household products,dublin,athens,
ferry service,dublin,cephalonia,
technology,belfast,ioannina,
toys,cork,athens,
tobaccos,dublin,kalamata,
newspaper broadsheet,belfast,neo phaliro,
"trailers, trucks & rail wagons",dublin,athens,
beauty products,belfast,athens,
recycling,belfast,athens,
technology,dublin,athens,
"sauce, canning",letterkenny,ilia,
energy exchange,dublin,athens,
mass media,dublin,athens,
"nonferrous metals, nickel",dublin,marousi,
pharmaceuticals,granard,athens,
ferry service,dublin,athens,
founded by george logothetis,dublin,new york city,
record producer,dublin,athens,
soft drinks,dublin,patras,
cruise service,dublin,athens,
tv channel,dublin,thessaloniki,
distillers & vintners,dublin,alexandroupoli,
"transportation, food & beverage, retail",dublin,nea erythraia,
ship tracking intelligence,galway,athens,
supermarkets,dublin,thessaloniki,
"sauce, canning",ballybrit,athens,
distillery,cork,athens,
manufacturing and construction,baile na habhann,athens,
supermarkets,dublin,metamorfosi,
dairy products,derry,koufalia,
coffee chain,cork,larissa,
ferry service,dublin,heraclion,
distillers & vintners,borrisoleigh,crete,
pasta,dublin,athens,
distillers & vintners,swords,sindos,
record producer,dublin,athens,
technology,dublin,thessaloniki,
supervises and maintains motorway 1,dublin,athens,
shipbuilding,dublin,koropi,
founded by vardis vardinogiannis,derry,athens,
conglomerate,belfast,maroussi,
newspaper broadsheet,purcellsinch,athens,
auto parts,dublin,thessaloniki,
technology,dublin,ioannina,
bank,dublin,athens,
"shipping, logistics",belfast,pireus,
shipyards,ballymena,ermoupolis,
broadcasting & entertainment,budapest,athens,
auto parts,budapest,athens,
research institute,budapest,athens,
guitar equipment,budapest,athens,
drilling,bőcs,athens,
bank,budapest,athens,
supervises and maintains  motorway 8,budapest,athens,
airline,alsónémedi,spata,
dairy products,budapest,larissa,
airline,budapest,athens,
lotteries,budapest,athens,
bank,vecsés,athens,
bicycles,budapest,larissa,
telecom,budapest,maroussi,
internet network operator,ballószög,athens,
distillers & vintners,szigetszentmiklós,plomari,
biscuits,budapest,athens,
subsidiary of philip morris,budapest,aspropyrgos,
fonts for sale,budapest,athens,
football,budapest,ioannina,
distillers & vintners,budapest,drapetsona,
auto parts,budapest,thessaloniki,
banks,budapest,athens,
hotels,budapest,sithonia,
software,budapest,athens,
agricultural equipment,budapest,patras,
software,győr,athens,
oil equipment & services,budapest,athens,
magazine and book publishing,miskolc,athens,
alternative fuels,herend,athens,
durable household products,budapest,thessaloniki,
auto parts,budapest,katerini,
research institute,budapest,patras,
distillers & vintners,budapest,rethymno,
record producer,budapest,angelochori,
electromechanical projects,budapest,athens,
distillers & vintners,debrecen,santorini,
auto parts,budapest,athens,
ferry service,budapest,piraeus,
oil equipment & services,budapest,kaloi limenes,
dairy products,jászberény,serres,
auto parts,budapest,athens,
broadcasting & entertainment,budapest,piraeus,
airline,ajka,athens,
record producer,budapest,athens,
commercial insurance,budapest,athens,
paper towel,budapest,athens,
research institute,budapest,xanthi,
record producer,budapest,athens,
broadcasting & entertainment,miskolc,athens,
aerospace,budapest,athens,
marine transportation,budapest,athens,
commercial vehicles & trucks,budapest,athens,
food processing,budapest,thessaloniki,
renewable energy equipment,budapest,athens,
record producer,budapest,athens,
thessaloniki subway,törökbálint,thessaloniki,
ferry services,budapest,thessaloniki,
defense,budapest,athens,
building materials & fixtures,pécs,brussels,
travel & tourism,szeged,athens,
auto parts,budapest,athens,
distillers & vintners,budapest,agios pavlos,
cruise service,győr,athens,
ferry service,budapest,piraeus,
founded by vardis vardinogiannis,budapest,athens,
pharmaceuticals,budapest,athens,
nonferrous metals,budapest,brussels,
online service provider,budapest,athens,
food products,martfű,athens,
fixed and mobile line communications,budapest,chalandri,
energy trade,budapest,athens,
fixed and mobile line communications,budapest,athens,
ferry service,újpest,piraeus,
"airline, part of asl airlines ireland",budapest,budapest,
music association,budapest,budapest,
it security solution,székesfehérvár,budapest,
public transport,budapest,budapest,
brewery,budapest,bőcs,
chemicals,budapest,budapest,
charter airline,budapest,budapest,
supermarket chain,pécs,alsónémedi,
"television network, part of amc networks international (uk)",budapest,budapest,
commercial bank,thessaloniki,budapest,
"cinemas, part of cinema city international",chania,budapest,
airline,patras,vecsés,
record label,athens,budapest,
"silent film studio, defunct 1925",athens,budapest,
aircraft,athens,ballószög,
"vehicles, defunct 1996",glyfada,szigetszentmiklós,
international hotels,marousi,budapest,
"video games, defunct 2013",athens,budapest,
"brewery, part of sabmiller (uk)",athens,budapest,
"hvac, part of mpf industry group (singapore)",athens,budapest,
mortgage bank,thessaloniki,budapest,
tramcars,athens,budapest,
pharmaceuticals,athens,budapest,
record label,athens,budapest,
computer software development,kilkis,budapest,
restaurant,marousi,budapest,
foods,athens,győr,
"television broadcasting company, defunct 2013",chania,budapest,
soft drinks,athens,miskolc,
porcelain manufacturer,athens,herend,
central bank,athens,budapest,
national railways,athens,budapest,
record label,dordrecht,budapest,
film studio,athens,budapest,
bus manufacturer,athens,budapest,
financial consultancy,athens,budapest,
video games,athens,debrecen,
it solution provider,athens,budapest,
"social network service, defunct 2014",athens,budapest,
commercial bank,athens,budapest,
"appliances, now part of electrolux (sweden)",athens,jászberény,
postal administration,athens,budapest,
"telephone and internet, part of deutsche telekom (germany)",athens,budapest,
aluminum,athens,ajka,
"airline, defunct 2012",maroussi,budapest,
"supermarkets, part of louis delhaize group (belgium)",athens,budapest,
commercial bank,thessaloniki,budapest,
petrol and gas,athens,budapest,
national media provider,athens,budapest,
public transport,athens,miskolc,
"power, electricity distribution",tavros,budapest,
video games,athens,budapest,
medical devices,heraklion,budapest,
wastewater treatment plants construction,athens,budapest,
microelectronics,athens,budapest,
financial services,pireus,budapest,
"telecommunications, part of telenor (norway)",volos,törökbálint,
animation studio,chalkis,budapest,
natural gas,athens,budapest,
brewery,zug,pécs,
cold cuts,patras,szeged,
visual storytelling software development,athens,budapest,
space technology,athens,budapest,
vehicles,athens,győr,
research,monaco,budapest,
printing,athens,budapest,
gambling service provider,chalandri,budapest,
financial services,tavros,budapest,
flow chemistry products,athens,budapest,
apparel,athens,martfű,
champagne producer,rhodes,budapest,
airline,athens,budapest,
development,athens,budapest,
"vacuum tubes, light bulbs, now part of general electric (usa)",athens,újpest,
part of time warner (usa),lykovrysi,budapest,
"telecommunications, part of liberty global (usa)",pilio,budapest,
electric goods,eleusis,székesfehérvár,
computer security,athens,budapest,
"mobile, part of the vodafone group (uk)",kifissia,budapest,
airline,thessaloniki,budapest,
video games,maroussi,budapest,
porcelain manufacturer,koropi,pécs,
short drinks,athens,budapest,
"fast-food, part of abrakebabra investments",athens,dublin,
restaurant holding company,athens,dublin,
management consulting,athens,dublin,
"flag carrier, part of international airlines group (spain)",athens,dublin,
"commuter and regional airline, part of aer lingus",athens,dublin,
aircraft leasing,maroussi,dublin,
part of firstgroup (uk),athens,dublin,
"electricity generation, part of scottish and southern energy (uk)",galatsi,dublin,
one of the big four banks,strassen,dublin,
postal services,piraeus,dublin,
pizza chain,athens,dublin,
automotive technology supplier,athens,dublin,
"department store, part of selfridges (uk)",athens,dublin,
part of oryx international growth fund,athens,dublin,
one of the big four banks,athens,dublin,
one of the largest importers of tea in ireland,kifissia,cork,
hot beverages,athens,dublin,
power generation and land development,athens,newbridge,
betting shops,athens,dundalk,
"part of bt group (uk), formerly esat bt",athens,dublin[2],
"irish national bus company, part of cié",andros,dublin,
luxury chocolate and chocolate products,athens,dublin,
wholesaler and grocery franchise,rethymno,dublin,
alcoholic drinks,athens,dublin,
central bank and financial services regulator,glashütte,dublin,
public transportation,wiesbaden,dublin,
regional airline,herzogenaurach,dublin,
media holdings,essen,dublin,
merged with medtronic in 2016,munich,dublin,
building materials and retail,buchloe,dublin,
"social enterprise management software, acquired by ibm",wesel,dublin,
"airport management, formerly the dublin airport authority",bochum,dublin,
sales and marketing support,düsseldorf,dublin,
"discount retail, part of poundland (uk)",loßburg,dublin,
broadband,essen,dundalk,
lliquidated in 2009,eschborn,laghey,
"bus company, part of cié",cologne,dublin,
retail chain,ingolstadt,dublin,
-,berlin,dublin,
book stores,hamburg,dublin,
financing,neckarsulm,dublin,
american-style food chain,berlin,dublin,
"fashion brand, part of lvmh (france)",melsungen,dublin,
broadband,potsdam,dublin,
"sports television, part of eir",hanover,dublin,
"electricity generation, formerly viridian group",ludwigshafen,belfast,
renewable energy,grünwald,cork,
gas and electricity distribution,leverkusen,cork,
electricity distribution and generation,munich,dublin,
credit services,schiltach,dublin,
auto and property insurance,neckarsulm,dublin,
software development,bremen,dublin,
"one of the big four banks, part of allied irish banks",stuttgart,belfast,
fast-food pizza chain,willich,dublin,
banana and fruit importers,hamburg,dublin,
nutrition,berlin,kilkenny,
manufacturer of consumer electrical goods,hanover,dublin,
car sharing service,gütersloh,dublin,
food conglomerate,heilbronn,dublin,
clothing and department stores,mannheim,dublin,
part of diageo (uk),neustadt,dublin,
"software development, part of microsoft (us)",bitburg,dublin,
"department stores, part of sports direct (uk)",mainz,dublin,
pharmaceutical,hamburg,dublin,
"passenger rail company, part of cié",berlin,dublin,
news publisher,munich,dublin,
coffee chain,ingelheim am rhein,dublin,
largest manufacturing plant outside of the united states,boppard,leixlip,
acquired by progress software in 2008,bottrop,dublin,
part of comfortdelgro (singapore),kronberg,dublin,
shipping and transport,mülheim,dublin,
part of irish continental group,berlin,dublin,
electronic equipment,hamburg,cork,
formerly iib bank,ulm,dublin,
food and dairy,oberkochen,tralee,
building materials,tübingen,dublin,
private health insurance,stuttgart,little island,
broadband,lübeck,dublin,
"construction, formerly aventas and the quinn group",munich,derrylin,
"medical devices, operational headquarters in fridley, minnesota (us)",harsewinkel,dublin,
merged into eir,frankfurt,dublin,
"formerly citybus, part of northern ireland transport holding company",frankfurt,belfast,
food and grocery,hanover,cork,
"national lottery, part of private firm premier lotteries ireland",leverkusen,dublin,
"passenger rail, part of northern ireland transport holding company",stuttgart,belfast[4],
now a part of detica,munich,dublin,
part of esb group,bad homburg vor der höhe,belfast,
"holding company for passenger bus and rail, branded as translink",berlin,belfast[5],
infrastructure development,frankfurt,dublin,
"defunct, brand now part of zed candy",frankfurt,letterkenny,
"sandwich chain, part of abrakebabra investments",hanover,dublin,
telecom software,hanover,dublin,
betting shops,unterschleißheim,dublin,
bakery,bonn,granard,
"financial services, life insurance",bonn,dublin,
part of associated british foods (uk),frankfurt,dublin,
part of rabobank (netherlands),cologne,dublin,
television and radio,bonn,dublin,
low-cost airline,eppingen,dublin,
biopharmaceutical,überlingen,dublin,
"telecom, defunct 2011",überlingen,dublin,
packaging,röthenbach an der pegnitz,dublin,
toy retailer,bad steben,galway,
"regional airline, defunct 2021",vachendorf,dublin,
fast food chain,paris,ballybrit[7],
supermarkets,toulouse,cork,
operator of tg4 and cúla 4,paris,baile na habhann,
"supermarkets, part of tesco (uk)",tremblay-en-france,dublin,
coach connection between derry and belfast airports,tremblay-en-france,derry,
daily newspaper,toulouse,dublin,
"newspaper holdings, defunct 2013",paris,cork,
part of ck hutchison holdings (hong kong),boulogne-billancourt,dublin,
"mineral water, part of the gleeson group",paris,borrisoleigh,
subsidiary of communicorp,saint-ouen,dublin,
-,paris,swords,
national road and public transport infrastructure,issy-les-moulineaux,dublin,
"television, part of virgin media ireland",issy-les-moulineaux,dublin,
health care support,courcouronnes,dublin,
"big four bank, part of natwest group (uk)",lyon,dublin,
"bus, part of northern ireland transport holding company",strasburg,derry,
"bus, part of northern ireland transport holding company",paris,belfast,
health insurance,bordeaux,purcellsinch,
subsidiary of liberty global (us),paris,dublin,
creator of regulator software for central banks,levallois-perret,dublin,
"subsidiary of vodafone (uk), formerly eircell",bezons,dublin,
radio and television,croix,belfast,
coach-builder,paris,ballymena,
management consulting,lyon,turin,
"gas, water, electricity distribution",paris,brescia,
"road and race cars, part of stellantis",paris,turin,
containers,paris,gornate-olona,
"aircraft, defunct 2003, now leonardo s.p.a.",paris,varese,
retail fuel marketing,paris,rome,
"helicopters, part of leonardo s.p.a.",puteaux,rome,
helmets,villeneuve d'ascq,alessandria,
"regional airline, part of lufthansa (germany)",paris,villafranca di verona,
"airline, defunct 2014, merged in alitalia",paris,fiumicino,
bicycles,roscoff,veggiano,
"defunct 2015, merged into leonardo s.p.a.",molsheim,venegono superiore,
"defunct 2012, merged into leonardo s.p.a.",issy-les-moulineaux,rome,
"design objects, kitchenware",paris,omegna,
"road and race cars, part of stellantis",boulogne-billancourt,turin,
"flag carrier, defunct 2020",saint-ouen,fiumicino,
life insurance,paris,milan,
sportswear,neuilly-sur-seine,asolo,
fashion,cachan,morrovalle,
pharmaceuticals,paris,rome,
petrochemical industry,rueil-malmaison,rome,
power,marseille,genoa,
railway signaling and support,cestas,genoa,
motorbikes,montrouge,noale,
contemporary furniture,paris,milan,
fashion house,paris,milan,
publishing house,saint-priest,segrate,
design objects,charenton-le-pont,pregnana milanese,
insurance,paris,trieste,
bicycles,paris,monza,
"automobiles, production ceased",paris,milan,
catering,paris,rozzano,
aerospace manufacturing,vélizy-villacoublay,rome,
yachts,paris,turin,
road cars,villeneuve-d'ascq,campogalliano,
modern furniture,paris,novedrate,
shoes,paris,san mauro pascoli,
bank,paris,genoa,
oldest operating bank in the world,boulogne-billancourt,siena,
bank,paris,rome,
"bank, part of banco bpm",paris,milan,
"bank, defunct 2016",courbevoie,verona,
"road and race cars, defunct 1992",la défense,forlì,
"food, pasta",charenton-le-pont,parma,
bicycles,paris,san zenone degli ezzelini,
firearms,ivry-sur-seine,urbino,
"motorbikes, defunct 2005, sold to chinese qianjiang motorcycle",courbevoie,pesaro,
shipbuilding,paris,viareggio,
fashion,paris,ponzano veneto,
supermarkets,paris,montano lucino,
firearms,paris,brescia,
"food, olive oil, part of unilever (uk/netherlands)",neuilly-sur-seine,lucca,
motorbikes,paris,rignano sull'arno,
men's footwear,paris,vigasio,
world's oldest bicycle manufacturer,paris,milan,
motorbikes,les clayes-sous-bois,rimini,
karts,saint-étienne,lissone,
brewery,paris,rimini,
brewery,paris,assemini,
brewery,paris,biella,
"brewery, part of heineken international (netherlands)",paris,udine,
"brewery, part of the carlsberg group (denmark)",paris,induno olona,
"automobiles, defunct 1969",paris,livorno,
private airline,neuilly-sur-seine,fiumicino,
"fashion house, bluemarine",paris,carpi,
publishing house,paris,milan,
musical instruments,paris,potenza picena,
men's shoes,paris,montegranaro,
wheels,troyes,milan,
hats,laval,alessandria,
bicycles,paris,cavarzere,
fashion,paris,vicenza,
forklifts,paris,parma,
leather accessories,paris,florence,
pharmaceuticals,entzheim,milan,
defunct,suresnes,brescia,
automotive braking systems,clichy,stezzano,
"menswear, part of kering (france)",paris,rome,
"electronics, mobile phones",paris,pordenone,
"electronics, mobile phones",paris,turin,
fashion,metz,perugia,
shoes and leather goods,marseille,bologna,
"food, pasta, part of nestlé (switzerland)",toulouse,sansepolcro,
jewelry,romorantin-lanthenay,rome,
"cement, concrete",annecy,casale monferrato,
"airline, defunct 2015",montrouge,fiumicino,
motorbikes,clermont-ferrand,varese,
publishing house,montreuil,rome,
shoes,saint-sauveur-de-montagut,capolona,
developer,paris,milan,
bicycle supplies,paris,vicenza,
drinks,valbonne,milan,
menswear,lesquin,sovico,
"appliances, part of haier (china)",paris,brugherio,
clothing,courbevoie,rome,
ice cream machines,mérignac,bologna,
glasses,paris,padua,
coachbuilder,paris,milan,
coachbuilder,orléans,milan,
coachbuilder,paris,turin,
coachbuilder,rueil-malmaison,milan,
"coachbuilder, defunct",rueil-malmaison,modena,
coachbuilder,paris,milan,
classical music,paris,milan,
furniture,paris,meda,
musical instruments,boulogne-billancourt,recanati,
children's items and toys,paris,como,
pharmaceuticals,la défense,parma,
bicycles,paris,milan,
"drinks and spumante wine, part of campari group",paris,turin,
food,paris,san lazzaro di savena,
publisher,la défense,milan,
bicycles,épagny-metz-tessy,cambiago,
limited-slip differentials and transmissions,paris,modena,
bicycle tubing,rueil-malmaison,settala,
"industrial robots, part of fca italy",puteaux,turin,
musical instruments,paris,ancona,
"clothing, magazines and luxury goods",suresnes,milan,
supermarkets,paris,bologna,
supermarkets,labège,casalecchio di reno,
canned tomatoes,saint-denis,mercato san severino,
menswear,courcouronnes,mantua,
cruise line,clichy,genoa,
musical instruments,la défense,castelfidardo,
helmets and protective equipment,issy-les-moulineaux,molvena,
race cars,paris,varano de' melegari,
jewelry,annecy,valenza,
metals industry,paris,buttrio,
bicycles,issy-les-moulineaux,caldonazzo,
media holding,paris,novara,
"food, pasta",boulogne-billancourt,fara san martino,
bicycles,la défense,milan,
"road cars, defunct 2015",paris,modena,
carburetors,courbevoie,cabiate,
coffee machines,rennes,treviso,
design publishing,paris,milan,
bicycles,rueil-malmaison,francofonte,
"shoes, part of geox",paris,caerano di san marco,
fashion,paris,breganze,
fashion house,boulogne-billancourt,milan,
road cars,helsinki,macchia d'isernia,
"motorbikes, part of the volkswagen group (germany)",helsinki,bologna,
"automotive, energy, electronics",helsinki,bologna,
photographic and printing equipment,helsinki,brixen,
electricity and natural gas,helsinki,milan,
renewable energy,helsinki,genoa,
musical instruments,mariehamn,recanati,
"apparel, now part of pentland group (uk)",espoo,perugia,
clothing,oulu,naples,
electricity and natural gas,helsinki,rome,
motorbikes,oulu,modena,
petroleum,helsinki,rome,
fashion house,helsinki,milan,
sportswear,espoo,torrile,
food retailer,helsinki,milan,
fashion house,helsinki,milan,
"defunct airline, merged in meridiana",helsinki,milan,
"road cars, defunct 1908",vantaa,genoa,
"publishing house, part of rcs mediagroup",helsinki,milan,
amusement rides,helsinki,calto,
pasta machines,espoo,cormano,
espresso machines,helsinki,milan,
steel,helsinki,sesto san giovanni,
firearms,turku,gardone val trompia,
motorbikes,turku,barzago,
musical instruments,helsinki,osimo,
musical instruments,espoo,sacile,
paper,helsinki,verona,
publishing house,lahti,milan,
luxury fashion,helsinki,rome,
road and race cars,helsinki,maranello,
"food, nutella",hyvinkää,alba,
shipbuilding,helsinki,forlì,
passenger rail,helsinki,rome,
"automotive manufacturer, part of fca italy",helsinki,turin,
shipbuilding,helsinki,trieste,
ammunition,helsinki,lecco,
automotive design,espoo,turin,
"insurance, defunct 2014",espoo,turin,
wheels,espoo,bergamo,
race cars,helsinki,vicenza,
brewery,nokia,algund,
"firearms, part of beretta holding",helsinki,brescia,
"motorbikes, production ceased",helsinki,milan,
textiles,espoo,monza,
"bicycle wheels, part of campagnolo",helsinki,arcugnano,
appliances,espoo,gallarate,
fashion,helsinki,bologna,
"espresso machines, part of philips (netherlands)",helsinki,milan,
spumante wine,helsinki,canelli,
"amusement park, part of merlin entertainments (uk)",kempele,castelnuovo del garda,
"scooters, production ceased",vieremä,milan,
"pool tables, table football",eurajoki,novi ligure,
"medals, trophies",helsinki,milan,
media house,vantaa,rome,
clothing,helsinki,montebelluna,
motorbikes,raisio,missaglia,
"scooters, motorbikes, production ceased",helsinki,pontedera,
defunct 1993,espoo,genoa,
sportswear,helsinki,scafati,
fashion,helsinki,venice,
"transmissions, gear boxes and drivelines",helsinki,turin,
tourist and cargo travel,helsinki,palermo,
tools and equipment for alpinism,helsinki,courmayeur,
"automobile manufacturer, defunct 2014",helsinki,milan,
steel,helsinki,milan,
telecom,helsinki,rome,
fashion house,oulu,florence,
bicycles,helsinki,milan,
design objects,helsinki,cuneo,
"gas, water, electricity",helsinki,bologna,
"mass transit vehicles, part of hitachi rail (japan)",helsinki,naples,
automotive design,helsinki,turin,
coffee,vantaa,trieste,
construction,espoo,parma,
appliances,helsinki,fabriano,
"automobiles, defunct 1997",vantaa,milan,
shipbuilding,helsinki,sarzana,
bank,vaasa,turin,
bicycles,vantaa,venice,
"auto manufacturer, defunct 1974",helsinki,bresso,
automotive manufacturer,uusikaupunki,milan,
flag carrier,espoo,rome,
concrete,äänekoski,bergamo,
automotive design,helsinki,moncalieri,
"scooters, production ceased",mariehamn,castel san pietro terme,
"trucks, industrial & defense vehicles",helsinki,turin,
sportswear,helsinki,turin,
clothing,tartu,naples,
designer label,tallinn,milan,
bicycles,tallinn,albiate,
clothing,tallinn,bologna,
department stores,tallinn,milan,
athletic footwear,tallinn,ziano di fiemme,
kitchenwares,tallinn,omegna,
"road and race cars, part of the volkswagen group (germany)",tallinn,sant'agata bolognese,
"scooters, defunct 1972",tallinn,milan,
"road and race cars, part of fca italy",tallinn,turin,
alternative fuel systems,tallinn,cavriago,
coffee,tallinn,turin,
"motorbikes, production ceased",tallinn,breganze,
sportswear,tallinn,pompei,
"aerospace, defense electronics and security",tallinn,rome,
"airline, defunct 2010",jõhvi,milan,
snacks,jõhvi,ritten[7],
clothing,tallinn,quarona,
sportswear,tartu,treviso,
menswear,tallinn,naples,
eyewear,tallinn,milan,
sportswear,tartu,crespellano,
automobile components,tallinn,corbetta,
motorbikes,lehmja,samarate,
"scooters, defunct 2011",tallinn,san lazzaro di savena,
part of e-land group (south korea),tallinn,bologna,
photographic accessories and tripods,auvere,cassola,
building materials,tallinn,milan,
fashion label,tartu,milan,
vermouth drinks,tallinn,turin,
"bicycle suspension components, part of tenneco (us)",tallinn,bologna,
textiles,tartu,valdagno,
"road and race cars, part of fca italy",roodevälja,modena,
coffee,kuressaare,bologna,
fashion,saku,reggio emilia,
food retailer,tallinn,gricignano di aversa,
investment bank,tallinn,milan,
"architecture, dismantled",tallinn,milan,
pharmaceuticals,tallinn,florence,
private airline,tallinn,olbia,
bicycles,tallinn,san vendemiano,
"insurance, defunct 2013",tallinn,milan,
"motorbike engines, now part of yamaha motor corporation (japan)",tallinn,calderara di reno,
"race cars, defunct 2005",tartu,faenza,
fashion,tallinn,varese,
"fashion, part of prada",tallinn,milan,
televisions,tallinn,abbiategrasso,
ferries line,tallinn,milan,
racing accessories,tallinn,milan,
motorbikes,kohtla-järve,manerbio,
snow boots,narva,giavera del montello,
"motorbikes, production ceased",tartu,pesaro,
road cars,virum,turin,
fashion,hørsholm,milan,
bicycles,copenhagen,trento,
"motorbikes, part of piaggio",copenhagen,mandello del lario,
"motorbikes, now part of znen (china)",copenhagen,bologna,
"motorbikes, production ceased",aarhus,bergamo,
"motorbikes, production ceased",viby j,pesaro,
food,copenhagen,montechiarugolo,
motorbikes,struer,varese,
road and race cars,brande,turin,
furniture and upholstery manufacturing,copenhagen,santeramo in colle,
leisure airline,herning,somma lombardo,
construction machinery,gentofte,turin,
helmets,aarhus,bergamo,
sportswear,copenhagen,giavera del montello,
glowplug engine,aalborg,monticelli brusati,
railway vehicles,hørsholm,pace del mela,
"bank, defunct 1989",copenhagen,milan,
"automobiles, production ceased 1967",fredensborg,san lazzaro di savena,
"trucks, production ceased 1975",copenhagen,milan,
softwares,copenhagen,cesena,
"electronics, mobile phones",frederikssund,ivrea,
"pens, office accessories, defunct 2016",gentofte,bologna,
racing wear and car equipment,kongens lyngby,ronco scrivia,
"mobile phones, bankrupt, now merged into onda tlc",nyborg,roveredo in piano,
race cars,hellerup,verolengo,
pasta machines,copenhagen,cormano,
"defense, defunct 2015, now leonardo",nordborg,rome,
wheels,copenhagen,san martino di lupari,
road cars,karise,san cesario sul panaro,
menswear,randers,vicenza,
watches,højbjerg,milan,
comic books,copenhagen,modena,
dairy goods and snacks,skive,collecchio,
"aircraft, defunct 1998",copenhagen,arzano,
motorbikes,copenhagen,settimo milanese,
juvenile products and toys,roskilde,arcore,
firearms,copenhagen,brescia,
confectionery and gum,hedehusene,lainate/breda,
yachts,copenhagen,viareggio,
construction and engineering,bredebro,vittorio veneto,
theater drapes and stage curtains,copenhagen,gallarate,
eyewear,copenhagen,agordo,
"confectionery, part of nestlé (switzerland)",copenhagen,perugia,
aerospace manufacturing,copenhagen,genoa,
scooters,hillerød,pontedera,
"bicycles, part of catterton partners (us)",middelfart,treviso,
"car body styling, part of mahindra group (india)",ballerup,cambiano,
tires,bjerringbro,milan,
bicycles,ry,milan,
fashion,copenhagen,venice,
"cargo airline, part of poste italiane",lyngby-taarbæk,rome,
postal services,copenhagen,rome,
fashion,copenhagen,milan,
bicycles,aarhus,milan,
electrical cable,copenhagen,milan,
state media,copenhagen,rome,
espresso machines,copenhagen,parabiago,
glasses,copenhagen,milan,
publishing group,odense,milan,
fashion,aarhus,prato,
general contractor,silkeborg,pozzuolo del friuli,
racing accessories,copenhagen,turin,
espresso machines,copenhagen,bologna,
eyewear,copenhagen,padua,
industrial group,copenhagen,milan,
fashion,lunderskov,florence,
"mineral water, part of nestlé (switzerland)",copenhagen,san pellegrino terme,
petroleum,copenhagen,sarroch,
televisions,copenhagen,milan,
"defunct 2015, now leonardo",copenhagen,rome,
footwear,aarhus,milan,
shoes and handbags,allerød,venice,
network equipment,copenhagen,cologno monzese,
"aircraft, defunct 1983",copenhagen,sesto calende,
test and certification,gladsaxe,trieste,
pharmaceuticals,copenhagen,pomezia,
ammunition,copenhagen,colleferro,
appliances,gladsaxe,guastalla,
gas infrastructure,copenhagen,san donato milanese,
"ferries line, part of mediterranean shipping company (switzerland)",copenhagen,naples,
developer,copenhagen,rome,
defunct 1921,copenhagen,turin,
construction equipment,fredericia,cesena,
