05-MalPatSaj-notes,02-GioPonSpiz-headquarters,05-MalPatSaj-headquarters,06-MarScoToc-headquarters
industrial chemicals,stockholm,brussels,"wilmington, delaware"
silicone,stockholm,turnhout,st james power station
sugar,gothenburg,tienen,san jose
broadband cable,torshälla,mechelen,san jose
freight,stockholm,brussels,san jose
"spare parts, accessories",stockholm,waregem,"ferguson, missouri"
charter airline,stockholm,zaventem,"ferguson, missouri"
"pharma, subsidiary of johnson & johnson (us)",upplands väsby,mechelen,"ferguson, missouri"
biomedical,upplands väsby,leuven,kista
engineering,uppsala,brussels,general motors building
"local search, directories",stockholm,antwerp,general motors building
airline,orrefors,zaventem,luzhu
pharma,oskarshamn,brussels,luzhu
film studio,stockholm,brussels,new york city
materials and mining,malmö,brussels,new york city
bookbinding,stockholm,brussels,new york city
"mining, defunct 1966",förslöv,brussels,london
"printing, packaging",stockholm,turnhout,london
buses,uppsala,koningshooikt,london
health insurance,stockholm,antwerp,london
confectioner,älvsbyn,brussels,bangkok
electronics,solna,gavere,"memphis, tennessee"
inspections,solna,brussels,"memphis, tennessee"
airline,stockholm,antwerp,"memphis, tennessee"
local subsidiary of volvo (sweden),gothenburg,ghent,"memphis, tennessee"
financing,stockholm,liège,"jacksonville, florida"
identification technology,stockholm,brussels,boston
charter airline,stockholm,sofia,boston
"brewery, defunct 2004",helsingborg,sofia,boston
"arms and weaponry export, defunct 2003",haninge,sofia,richardson
military equipment manufacture,gothenburg,kazanlak,richardson
copper extraction and processing,linköping,panagyurishte,cau giay
brewery,helsingborg,pazardzhik,tokyo midtown
"online shopping, defunct 2013",trollhättan,sofia,tokyo midtown
engineering and construction,stockholm,sofia,tokyo midtown
travel services,stockholm,sofia,"mumbai, maharashtra"
record label,stockholm,sofia,"mumbai, maharashtra"
passenger air transport,solna,sofia,"mumbai, maharashtra"
"video and computer games development, defunct 2016",stockholm,sofia,"olathe, kansas"
cable operator,lund,sofia,"olathe, kansas"
passenger and freight air transport,stockholm,sofia,"olathe, kansas"
"former state bank, rejoined central bank in 1971",södertälje,sofia,"olathe, kansas"
charter airline,malmö,sofia,boston
commercial bank,stockholm,sofia,boston
"energy, gas and nuclear power",lidköping,sofia,boston
central bank,stockholm,sofia,renaissance center
universal bank,malmö,sofia,renaissance center
postal and courier services,gothenburg,sofia,porto alegre
passenger and freight rail transport,stockholm,sofia,porto alegre
tobacco holding firm,gothenburg,sofia,porto alegre
cargo airline,stockholm,sofia,chiyoda
universal commercial bank,malmö,sofia,chiyoda
"chemicals, oil & gas, financials",stockholm,sofia,chiyoda
hard-currency retail,stockholm,sofia,london
copper smelting,gothenburg,pirdop,binjiang district
television,stockholm,sofia,binjiang district
"bank, part of otp bank (hungary)",skellefteå,sofia,1600 amphitheatre parkway
insurance,gothenburg,sofia,"tempe, arizona"
media and publishing,gothenburg,sofia[1],"tempe, arizona"
"publisher, part of egmont group (denmark)",gothenburg,sofia,"milwaukee, wisconsin, u.s."
publisher,växjö,sofia,rue du faubourg saint-honoré
sports betting and bookmaking,gothenburg,sofia,rue du faubourg saint-honoré
supermarket,stockholm,sofia,brompton road
banking,stockholm,sofia,brompton road
"private bank, defunct 1925",stockholm,ruse,davie
video and computer games development,stockholm,sofia,"houston, texas"
charter airline,stockholm,sofia,bundang-gu
hotel,gothenburg,sofia,bundang-gu
"bank, defunct 2007",gothenburg,sofia,bundang-gu
brewery,eskilstuna,plovdiv,bundang-gu
brewery,stockholm,shumen,bundang-gu
movie channel,stockholm,sofia,hearst tower
arms and weaponry export,nyköping,sofia,düsseldorf
metal and steelworks,stockholm,sofia,düsseldorf
media consulting,stockholm,sofia,schaan
bicycles,stockholm,plovdiv,"tosu, saga"
"mobile phones, part of telekom austria",stockholm,sofia,"tosu, saga"
,stockholm,sofia,"tosu, saga"
shipping company,stockholm,varna,"charlotte, north carolina, u.s."
"refining, petrochemicals, part of lukoil (russia)",solna,burgas,"charlotte, north carolina, u.s."
energy distribution,gothenburg,sofia,8 canada square
iptv and satellite broadcasting,stockholm,sofia,8 canada square
information technology,stockholm,sofia,8 canada square
software development,malmö,sofia,8 canada square
gas distribution,stockholm,sofia,"columbus, ohio"
oil distribution,malmö,sofia,"columbus, ohio"
brewery,stockholm,blagoevgrad,"the woodlands, texas, u.s."
motor oils and industrial lubricants,stockholm,ruse,shenzhen
publishing,lund,sofia,espoo
universal bank,lund,sofia,espoo
"sugar refinery, defunct 1916",hillerstorp,sofia,espoo
"retail, consumer electronics",stockholm,sofia[4],espoo
"mobile network, part of telenor (norway)",stockholm,sofia,espoo
arms and weaponry manufacture,trelleborg,sofia,espoo
private bank,stockholm,sofia,"austin, texas"
bank,stockholm,sofia,"austin, texas"
retail and commercial bank,stockholm,sofia,
commercial bank,hagfors,sofia,"glenview, illinois"
shipyard,umeå,varna,"glenview, illinois"
frozen food and pastries,stockholm,svilengrad,amsterdam
telecom,stockholm,sofia,amsterdam
railway cars and equipment,södertälje,karlovo,amsterdam
shipyard,stockholm,rijeka,grattacielo intesa sanpaolo
architecture,alvesta,zagreb,grattacielo intesa sanpaolo
mobile operator and isp,gothenburg,zagreb,"fairfield, california"
natural gas,gothenburg,omišalj,"fairfield, california"
tourism,gothenburg,opatija,"fairfield, california"
tobacco,skövde,rovinj,jardine house
merged into fortenova group in 2019,gothenburg,zagreb,robinsons equitable tower
record label,huskvarna,zagreb,robinsons equitable tower
food products,stockholm,zagreb,"new brunswick, new jersey"
shipping company,skellefteå,dubrovnik,ortigas center
alcoholic beverages,stockholm,zagreb,383 madison avenue
pharmaceuticals and biomedicine,stockholm,zagreb,383 madison avenue
ferry operator,malmö,split,383 madison avenue
mobile phones,stockholm,zagreb,brussels
shipyard,stockholm,split,ch??
milling,barcelona,čakovec,ch??
brewery,seville,koprivnica,ch??
beverage,barcelona,zagreb,ch??
national airline,alcobendas,zagreb,ch??
film,madrid,zagreb,irving
insurance,madrid,zagreb,irving
record label,madrid,zagreb,irving
national bank,barcelona,zagreb,irving
broadcaster,barcelona,zagreb,tokyo
national railway,madrid,zagreb,tokyo
software,fene,zagreb,inagi
low-floor trams,san sebastián de los reyes,zagreb,seoul
electrical engineering,zaragoza,zagreb,
record label,bilbao,zagreb,
business electronics,madrid,buje,
"robots, vehicles",sabadell,zagreb,"fremont, california"
"factories; battletanks, locomotives, trams, power plant and farm equipment",santander,slavonski brod,paris
croatian subsidiary of ericsson (sweden),madrid,zagreb,ballard estate
"air taxi operator, defunct 2016",madrid,split,santiago
food products,vic,zagreb,santiago
coffee products and snacks,madrid,zagreb,san francisco
photogrammetry and geographic information systems,alcobendas,zagreb,san francisco
publishing house,barcelona,zagreb,san francisco
record label,madrid,zagreb,"hong kong, china[1] (registered office) beijing, china[2][3] (operational headquarters) lorong chuan, singapore[4] (operational centre) morrisville, north carolina, united states[5] (operational headquarters)"
"architecture, defunct 1911",moià,zagreb,"hong kong, china[1] (registered office) beijing, china[2][3] (operational headquarters) lorong chuan, singapore[4] (operational centre) morrisville, north carolina, united states[5] (operational headquarters)"
national electricity production and distribution,barcelona,zagreb,rome
national postal company,bilbao,zagreb,nuremberg
bank,madrid,zagreb,lexington
motorway maintenance,madrid,zagreb,yeouido-dong
part of deutsche telekom (germany),madrid,zagreb,dublin
firearms manufacturer,madrid,ozalj,dublin
software,beasain,zagreb,"waltham, massachusetts"
oil & gas,barcelona,zagreb,"waltham, massachusetts"
software,madrid,vodnjan,"bethesda, maryland"
construction,madrid,zagreb,"bethesda, maryland"
construction,martorell,zagreb,songpa district
