01-DDD-valuation,04-iGMM-valuation
doll_1.2b,doll_2.1
doll_1.2b,doll_2.1
doll_1.65b,doll_2.1
doll_1.2b,doll_2.1
doll_1.24b,doll_2.1
doll_1.24b,doll_2
doll_1.25b,doll_2
doll_1.25b,doll_2
doll_1.25b,doll_2
doll_1.25b,doll_2
doll_1.23b,doll_2
doll_1.25b,doll_2
doll_1.25b,doll_2
doll_1.25b,doll_2
doll_1.26b,doll_2
doll_1.25b,doll_2
doll_1.25b,doll_2
doll_1.3b,doll_2
doll_1.24b,doll_2
doll_1.26b,doll_2
doll_1.28b,doll_2
 doll_1.23 b,doll_2
doll_1.23b,doll_2
doll_1.3b,doll_2
doll_1.25b,doll_2
doll_1.27b,doll_2
doll_1.28b,doll_2
doll_1.28b,doll_2
doll_1.24b,doll_2
doll_1.3b,doll_2
doll_1.25b,doll_2
doll_1.25b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2.7
doll_1.3b,doll_2.1
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.3b,doll_2
doll_1.31b,doll_2
doll_1.3b,doll_2
doll_1.32b,doll_2
doll_1.32b,doll_2
doll_1.32b,doll_2
doll_1.31b,doll_2
doll_1.32b,doll_2
doll_1.33b,doll_2
doll_1.35b,doll_2
doll_1.35b,doll_8
doll_1.34b,doll_2
doll_1.34b,doll_2
doll_1.33b,doll_2
doll_1.35b,doll_2
doll_1.35b,doll_2
doll_1.38b,doll_2
doll_1.4b,doll_2
doll_1.4b,doll_2
doll_1.36b,doll_2
doll_1.4b,doll_2.25
doll_1.4b,doll_2
doll_1.4b,doll_2
doll_1.4b,doll_2
doll_1.4b,doll_2
doll_1.4b,doll_2
doll_1.4b,doll_2
doll_1.4b,doll_2
doll_1.4b,doll_2
doll_1.4b,doll_2
doll_1.4b, doll_1.93
doll_1.4b,doll_1.98
doll_1.4b,doll_1.95
doll_1.4b,doll_1.9
doll_1.4b,doll_1.9
doll_1.4b,doll_1.9
