07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2020_euro
"5,561,585",5561585,"16,601,337"
"8,022,358",8022358,"24,114,000"
"1,140,000",1140000,"3,424,863"
"2,119,022",2119022,"6,358,307"
"1,078,808",1078808,"3,233,968"
"777,849",777849,"2,331,579"
"3,973,460",3973460,"11,897,820"
"2,065,220",2065220,"6,182,419"
"1,105,569",1105569,"3,308,224"
"24,429,686",24429686,"72,503,245"
"8,527,777",8527777,"25,448,057"
"15,292,051",15292051,"45,616,000"
"2,370,645",2370645,"7,066,208"
"753,352",753352,"2,245,423"
"3,880,663",3880663,"11,530,000"
"808,700",808700,"2,400,550"
"3,450,305",3450305,"9,983,094"
"11,484,801",11484801,"33,903,865"
"787,160",787160,"2,320,653"
"5,137,900",5137900,"15,140,480"
"1,897,650",1897650,"5,590,450"
"1,126,971",1126971,"3,113,197"
"4,245,861",4245861,"12,472,561"
"1,461,226",1461226,"4,288,024"
"1,326,082",1326082,"3,890,690"
"722,795",722795,"2,117,442"
"1,818,032",1818032,"5,324,116"
"964,998",964998,"2,825,876"
"7,709,375",7709375,"22,559,217"
"7,000,063",7000063,"20,479,764"
"650,000",650000,"1,900,000"
"828,820",828820,"2,411,600"
"1,181,642",1181642,"3,407,930"
"14,649,568",14649568,"42,525,086"
"1,395,607",1395607,"4,049,655"
"3,868,483",3868483,"10,264,611"
"48,449,141",48449141,"140,442,673"
"6,246,592",6246592,"18,101,114"
"14,500,000",14500000,"42,006,000"
"723,064",723064,"2,089,215"
"12,554,325",12554325,"36,223,730"
"3,226,280",3226280,"9,307,640"
"575,120",575120,"1,658,750"
"37,992,902",37992902,"108,758,853"
"698,300",698300,"2,012,427"
"6,564,162",6564162,"18,757,685"
"2,818,652",2818652,"8,102,218"
"19,351,090",19351090,"55,564,420"
"685,567",685567,"1,952,800"
"1,060,000",1060000,"3,040,000"
"2,329,522",2329522,"6,631,496"
"527,910",527910,"1,512,680"
"36,995,102",36995102,"105,149,602"
"2,322,241",2322241,"6,626,713"
"3,686,000",3686000,"10,514,000"
"659,402",659402,"1,874,438"
"2,462,478",2462478,"6,996,880"
"1,424,633",1424633,"4,039,340"
"5,915,499",5915499,"16,754,654"
"3,977,562",3977562,"11,263,318"
"1,592,170",1592170,"4,503,670"
"1,022,714",1022714,"2,888,273"
"647,020",647020,"1,814,237"
"2,281,929",2281929,"6,444,045"
"6,381,674",6381674,"17,890,928"
"581,520",581520,"1,640,000"
"1,799,189",1799189,"5,037,087"
"28,668,484",28668484,"80,066,074"
"1,944,000",1944000,"5,467,910"
"1,207,009",1207009,"3,391,041"
"29,564,866",29564866,"83,044,963"
"1,586,246",1586246,"4,076,348"
"867,960",867960,"2,436,000"
"4,608,343",4608343,"11,828,515"
"2,269,510",2269510,"6,364,000"
"1,778,890",1778890,"4,987,860"
"3,137,630",3137630,"8,792,400"
"554,004",554004,"1,507,867"
"1,386,701",1386701,"3,873,750"
"4,040,060",4040060,"11,281,040"
"2,809,036",2809036,"7,843,183"
"1,610,149",1610149,"4,491,888"
"1,083,821",1083821,"3,018,684"
"1,241,760",1241760,"3,453,730"
"5,547,537",5547537,"15,082,088"
"1,006,280",1006280,"2,790,680"
"10,925,375",10925375,"30,270,074"
"11,207,566",11207566,"31,038,460"
"838,200",838200,"2,317,903"
"3,372,820",3372820,"9,318,626"
"12,479,120",12479120,"34,410,600"
"574,487",574487,"1,580,154"
"1,028,730",1028730,"2,835,330"
"8,362,568",8362568,"22,419,033"
"5,908,517",5908517,"16,264,645"
"1,438,184",1438184,"3,956,061"
"800,000",800000,"2,200,000"
"4,788,000",4788000,"13,166,000"
"2,003,540",2003540,"5,502,450"
"944,107",944107,"2,232,347"
"783,460",783460,"2,151,050"
"31,477,723",31477723,"83,981,636"
"3,517,519",3517519,"9,637,845"
"12,074,454",12074454,"33,080,096"
"6,024,830",6024830,"16,504,780"
"1,488,875",1488875,"4,071,600"
"2,550,263",2550263,"6,970,679"
"9,283,620",9283620,"25,355,630"
"1,699,234",1699234,"4,535,769"
"579,436",579436,"1,578,677"
"1,010,498",1010498,"2,730,677"
"3,811,605",3811605,"10,371,094"
"1,632,988",1632988,"4,064,038"
"25,003,047",25003047,"68,009,314"
"2,210,651",2210651,"6,010,130"
"823,381",823381,"2,237,180"
"2,287,420",2287420,"6,202,068"
"1,314,806",1314806,"3,561,298"
"870,070",870070,"2,356,570"
"1,178,653",1178653,"3,192,139"
"5,376,347",5376347,"14,550,131"
"34,291,000",34291000,"92,800,000"
"1,838,120",1838120,"4,972,658"
"6,170,577",6170577,"16,692,390"
"1,238,210",1238210,"3,347,950"
"1,490,280",1490280,"4,021,010"
"29,247,774",29247774,"78,765,693"
"2,006,100",2006100,"5,393,690"
"1,932,580",1932580,"5,194,630"
"7,576,080",7576080,"18,624,755"
"13,997,000",13997000,"37,607,000"
"3,620,585",3620585,"9,506,903"
"2,009,719",2009719,"4,646,080"
"7,606,472",7606472,"20,387,729"
"655,366",655366,"1,756,470"
"5,268,390",5268390,"14,113,040"
"888,395",888395,"2,378,517"
"794,770",794770,"2,126,840"
"702,609",702609,"1,879,824"
"5,023,015",5023015,"13,438,347"
"703,190",703190,"1,879,520"
"8,552,857",8552857,"22,841,800"
"2,500,644",2500644,"6,671,500"
"5,851,000",5851000,"15,603,000"
"986,286",986286,"2,629,044"
"1,741,112",1741112,"4,637,943"
"676,431",676431,"1,800,494"
"1,467,195",1467195,"3,905,042"
"3,477,788",3477788,"9,253,546"
"10,944,325",10944325,"29,080,296"
"4,794,822",4794822,"12,727,043"
"14,683,064",14683064,"38,960,985"
"6,801,966",6801966,"18,044,631"
"14,051,407",14051407,"36,960,953"
"1,729,707",1729707,"4,409,476"
"2,395,445",2395445,"6,297,471"
"1,236,098",1236098,"3,249,493"
"910,386",910386,"2,406,917"
"1,017,320",1017320,"2,685,440"
"2,199,126",2199126,"5,762,891"
"2,826,571",2826571,"7,445,865"
"1,749,794",1749794,"4,609,256"
"6,398,583",6398583,"16,845,354"
"1,167,000",1167000,"3,065,165"
"2,429,230",2429230,"6,376,910"
"16,000,000",16000000,"42,000,000"
"4,443,710",4443710,"11,650,138"
"1,071,090",1071090,"2,804,580"
"675,645",675645,"1,768,886"
"9,009,270",9009270,"23,579,000"
"2,409,730",2409730,"6,304,690"
"1,900,000",1900000,"4,970,000"
"1,897,113",1897113,"4,851,538"
"639,410",639410,"1,671,730"
"9,515,000",9515000,"24,869,602"
"12,686,177",12686177,"33,137,857"
"4,117,340",4117340,"10,750,866"
"14,327,610",14327610,"37,386,150"
"28,939,861",28939861,"74,719,260"
"2,233,448",2233448,"5,677,639"
"596,906",596906,"1,551,468"
"6,278,456",6278456,"16,196,046"
"2,968,892",2968892,"7,704,000"
"997,518",997518,"2,587,718"
"3,417,536",3417536,"8,862,818"
"24,320,734",24320734,"62,951,353"
"661,860",661860,"1,711,470"
"1,005,658",1005658,"2,598,585"
"9,161,867",9161867,"23,673,728"
"3,647,000",3647000,"9,409,000"
"4,526,000",4526000,"11,671,000"
"900,686",900686,"2,696,785"
"1,302,640",1302640,"3,355,870"
"6,712,146",6712146,"17,286,985"
"2,059,190",2059190,"5,300,370"
"5,144,442",5144442,"13,224,865"
"19,753,150",19753150,"50,740,841"
"916,000",916000,"2,349,000"
"21,717,432",21717432,"56,054,130"
"1,332,330",1332330,"3,407,310"
"6,909,799",6909799,"19,295,429"
"8,575,344",8575344,"21,900,903"
"1,382,844",1382844,"3,529,454"
"1,074,130",1074130,"2,739,230"
"22,805,398",22805398,"58,139,933"
"818,658",818658,"2,086,411"
"679,440",679440,"1,731,340"
"12,153,143",12153143,"30,967,000"
"7,399,729",7399729,"18,854,708"
"9,717,860",9717860,"24,741,510"
