07-silvestri-employees_2020,03-gren-employees_number_2020,01-DDD-number_of_employees_2020
70.0,70.0,70
60.0,60.0,60
94.0,94.0,94
194.0,194.0,194
66.0,66.0,66
14.0,14.0,14
90.0,90.0,90
81.0,81.0,81
24.0,24.0,24
44.0,44.0,44
15.0,15.0,15
44.0,44.0,44
27.0,27.0,27
9.0,9.0,9
20.0,20.0,20
17.0,17.0,17
53.0,53.0,53
364.0,364.0,364
12.0,12.0,12
50.0,50.0,50
6.0,6.0,6
3.0,3.0,3
7.0,7.0,7
15.0,15.0,15
26.0,26.0,26
16.0,16.0,16
14.0,14.0,14
426.0,426.0,426
61.0,61.0,61
780.0,780.0,780
39.0,39.0,39
9.0,9.0,9
17.0,17.0,17
49.0,49.0,49
119.0,119.0,119
7.0,7.0,7
12.0,12.0,12
22.0,22.0,22
10.0,10.0,10
67.0,67.0,67
37.0,37.0,37
241.0,241.0,241
19.0,19.0,19
75.0,75.0,75
50.0,50.0,50
221.0,221.0,221
76.0,76.0,76
9.0,9.0,9
64.0,64.0,64
5.0,5.0,5
9.0,9.0,9
49.0,49.0,49
17.0,17.0,17
58.0,58.0,58
3.0,3.0,3
79.0,79.0,79
28.0,28.0,28
13.0,13.0,13
51.0,51.0,51
118.0,118.0,118
32.0,32.0,32
35.0,35.0,35
11.0,11.0,11
40.0,40.0,40
12.0,12.0,12
18.0,18.0,18
26.0,26.0,26
41.0,41.0,41
14.0,14.0,14
22.0,22.0,22
39.0,39.0,39
22.0,22.0,22
217.0,217.0,217
46.0,46.0,46
173.0,173.0,173
53.0,53.0,53
14.0,14.0,14
31.0,31.0,31
8.0,8.0,8
21.0,21.0,21
46.0,46.0,46
17.0,17.0,17
25.0,25.0,25
15.0,15.0,15
12.0,12.0,12
2.0,2.0,2
30.0,30.0,30
15.0,15.0,15
9.0,9.0,9
9.0,9.0,9
120.0,120.0,120
7.0,7.0,7
19.0,19.0,19
8.0,8.0,8
10.0,10.0,10
89.0,89.0,89
11.0,11.0,11
74.0,74.0,74
27.0,27.0,27
26.0,26.0,26
15.0,15.0,15
4.0,4.0,4
6.0,6.0,6
10.0,10.0,10
6.0,6.0,6
124.0,124.0,124
50.0,50.0,50
213.0,213.0,213
55.0,55.0,55
88.0,88.0,88
245.0,245.0,245
5.0,5.0,5
57.0,57.0,57
57.0,57.0,57
34.0,34.0,34
7.0,7.0,7
10.0,10.0,10
85.0,85.0,85
45.0,45.0,45
12.0,12.0,12
13.0,13.0,13
7.0,7.0,7
4.0,4.0,4
42.0,42.0,42
5.0,5.0,5
16.0,16.0,16
415.0,415.0,415
720.0,720.0,720
106.0,106.0,106
45.0,45.0,45
54.0,54.0,54
10.0,10.0,10
47.0,47.0,47
40.0,40.0,40
27.0,27.0,27
21.0,21.0,21
30.0,30.0,30
11.0,11.0,11
35.0,35.0,35
20.0,20.0,20
18.0,18.0,18
158.0,158.0,158
14.0,14.0,14
25.0,25.0,25
211.0,211.0,211
75.0,75.0,75
9.0,9.0,9
11.0,11.0,11
30.0,30.0,30
740.0,740.0,740
5.0,5.0,5
381.0,381.0,381
9.0,9.0,9
45.0,45.0,45
47.0,47.0,47
85.0,85.0,85
37.0,37.0,37
109.0,109.0,109
77.0,77.0,77
57.0,57.0,57
31.0,31.0,31
130.0,130.0,130
315.0,315.0,315
454.0,454.0,454
18.0,18.0,18
25.0,25.0,25
31.0,31.0,31
35.0,35.0,35
9.0,9.0,9
166.0,166.0,166
816.0,816.0,816
6.0,6.0,6
25.0,25.0,25
28.0,28.0,28
75.0,75.0,75
26.0,26.0,26
25.0,25.0,25
165.0,165.0,165
19.0,19.0,19
15.0,15.0,15
76.0,76.0,76
36.0,36.0,36
29.0,29.0,29
59.0,59.0,59
158.0,158.0,158
9.0,9.0,9
5.0,5.0,5
29.0,29.0,29
15.0,15.0,15
15.0,15.0,15
396.0,396.0,396
117.0,117.0,117
14.0,14.0,14
125.0,125.0,125
164.0,164.0,164
5.0,5.0,5
9.0,9.0,9
15.0,15.0,15
32.0,32.0,32
150.0,150.0,150
205.0,205.0,205
25.0,25.0,25
16.0,16.0,16
160.0,160.0,160
16.0,16.0,16
71.0,71.0,71
14.0,14.0,14
69.0,69.0,69
20.0,20.0,20
20.0,20.0,20
1251.0,1251.0,1251
21.0,21.0,21
33.0,33.0,33
22.0,22.0,22
13.0,13.0,13
23.0,23.0,23
19.0,19.0,19
23.0,23.0,23
30.0,30.0,30
38.0,38.0,38
16.0,16.0,16
18.0,18.0,18
98.0,98.0,98
35.0,35.0,35
2.0,2.0,2
140.0,140.0,140
230.0,230.0,230
25.0,25.0,25
