08-slytherin-employees,07-silvestri-employees_2017,03-gren-employees_number_2017,01-DDD-number_of_employees_2017
4398,21,21,21
5,7,7,7
111,13,13,13
8,8,8,8
40,12,12,12
7,10,10,10
406,8,8,8
9,46,46,46
25,19,19,19
2000,8,8,8
31,82,82,82
22,30,30,30
36,10,10,10
45,4,4,4
70,12,12,12
42,219,219,219
3,4,4,4
30,2,2,2
200,6,6,6
35,4,4,4
19,13,13,13
459,39,39,39
122,8,8,8
5,62,62,62
42,25,25,25
10,27,27,27
22,7,7,7
70,40,40,40
167,150,150,150
10,211,211,211
8,6,6,6
155,10,10,10
1,23,23,23
864,21,21,21
54,3,3,3
6,61,61,61
87,634,634,634
56,2,2,2
159,15,15,15
185,37,37,37
327,34,34,34
69,5,5,5
175,9,9,9
18,104,104,104
20,8,8,8
21,12,12,12
4,48,48,48
7,16,16,16
128,14,14,14
80,20,20,20
22,55,55,55
34,5,5,5
55,1,1,1
64,10,10,10
90,4,4,4
19,4,4,4
185,257,257,257
382,62,62,62
77,2,2,2
55,2,2,2
27,75,75,75
24,2,2,2
121,7,7,7
16,3,3,3
not found,14,14,14
78,70,70,70
94,98,98,98
14,9,9,9
72,7,7,7
32,60,60,60
9,11,11,11
6,39,39,39
194,12,12,12
7,28,28,28
124,10,10,10
33,6,6,6
539,407,407,407
34,2,2,2
47,19,19,19
40,10,10,10
10,9,9,9
16,13,13,13
88,9,9,9
25,12,12,12
11,17,17,17
25,13,13,13
77,6,6,6
"1,115",8,8,8
4800,46,46,46
38,9,9,9
92,3,3,3
35,89,89,89
17,90,90,90
62,9,9,9
143,23,23,23
38,6,6,6
6,33,33,33
18,3,3,3
38,6,6,6
11,13,13,13
15,20,20,20
201,5,5,5
25,10,10,10
18,75,75,75
11,24,24,24
42,64,64,64
16,29,29,29
20,,,none
80,21,21,21
218,2,2,2
275,8,8,8
200,23,23,23
310,11,11,11
4,3,3,3
19,68,68,68
4,5,5,5
682,50,50,50
5,3,3,3
300,9,9,9
3,30,30,30
151,18,18,18
123,10,10,10
170,10,10,10
180,4,4,4
25,120,120,120
18,15,15,15
222,4,4,4
1100,18,18,18
35,5,5,5
75,7,7,7
35,3,3,3
"4,800",12,12,12
125,14,14,14
9,54,54,54
137,2,2,2
42,5,5,5
20,1,1,1
55,3,3,3
60,21,21,21
31,10,10,10
60,140,140,140
15,12,12,12
50,26,26,26
81,650,650,650
36,5,5,5
126,7,7,7
31,26,26,26
13,8,8,8
38,133,133,133
4,7,7,7
57,31,31,31
474,12,12,12
"1,125",112,112,112
9,8,8,8
450,20,20,20
140,8,8,8
57,8,8,8
10,39,39,39
190,23,23,23
18,20,20,20
90,7,7,7
105,3,3,3
22,18,18,18
35,15,15,15
8,4,4,4
835,13,13,13
539,1,1,1
2442,11,11,11
98,na,na,none
25,117,117,117
12,1,1,1
15,12,12,12
18,36,36,36
5,8,8,8
20,4,4,4
250,19,19,19
96,34,34,34
949,1,1,1
99,135,135,135
16,30,30,30
563,14,14,14
25,12,12,12
36,8,8,8
142,13,13,13
69,16,16,16
195,25,25,25
176,41,41,41
150,2,2,2
136,16,16,16
70,13,13,13
8,1,1,1
37,25,25,25
51,5,5,5
11,9,9,9
12,25,25,25
6,18,18,18
33,14,14,14
529,64,64,64
350,40,40,40
11,190,190,190
902,25,25,25
46,10,10,10
125,19,19,19
4,7,7,7
534,26,26,26
23,13,13,13
122,,,none
19,9,9,9
73,28,28,28
37,24,24,24
67,50,50,50
8,25,25,25
164,25,25,25
43,5,5,5
19,14,14,14
20,9,9,9
12,22,22,22
2800,60,60,60
213,84,84,84
126,51,51,51
53,9,9,9
120,25,25,25
1150,5,5,5
95,2,2,2
140,39,39,39
30,50,50,50
9,419,419,419
20,12,12,12
125,16,16,16
21,12,12,12
34,3,3,3
10,9,9,9
168,11,11,11
289,12,12,12
384,39,39,39
15,28,28,28
50,5,5,5
9,5,5,5
10,30,30,30
331,11,11,11
33,2,2,2
45,15,15,15
27,23,23,23
98,7,7,7
56,33,33,33
44,8,8,8
33,80,80,80
5,26,26,26
4000,4,4,4
99,18,18,18
27,12,12,12
50,2,2,2
312,20,20,20
487,8,8,8
114,36,36,36
50,88,88,88
57,49,49,49
1,105,105,105
43,142,142,142
14,48,48,48
250,10,10,10
25,15,15,15
44,10,10,10
25,16,16,16
6,22,22,22
11,14,14,14
103,5,5,5
4,60,60,60
52,4,4,4
3,9,9,9
153,15,15,15
4,20,20,20
8,1,1,1
4,1,1,1
8,15,15,15
30,11,11,11
590,50,50,50
59,26,26,26
15,18,18,18
14,29,29,29
173,330,330,330
33,7,7,7
77,63,63,63
22,23,23,23
66,54,54,54
53,1,1,1
19,31,31,31
165,9,9,9
250,3,3,3
178,22,22,22
1798,500,500,500
5,7,7,7
246,7,7,7
70,5,5,5
45,33,33,33
23,15,15,15
377,6,6,6
25,21,21,21
30,12,12,12
67,5,5,5
10,13,13,13
19,431,431,431
66,1,1,1
3,41,41,41
3,12,12,12
53,12,12,12
17,39,39,39
55,8,8,8
10,13,13,13
343,10,10,10
460,15,15,15
298,41,41,41
8,100,100,100
292,13,13,13
8,5,5,5
101,,,
57,,,
433,,,
57,,,
20,,,
672,,,
15,,,
not found,,,
