08-slytherin-revenue,07-silvestri-revenue_2020,03-gren-revenue_2020_eu,01-DDD-revenue_2020_euro
"6,398,000","25,667,400",25667400.0,"25,667,400"
20.3,"1,810,459",1810459.0,"1,810,459"
41.00,"1,508,869",1508869.0,"1,508,869"
5.30,"1,901,140",1901140.0,"1,901,140"
13.83,"4,483,296",4483296.0,"4,483,296"
5.15,"115,793,390",115793390.0,"115,793,390"
14.42,"32,614,354",32614354.0,"32,614,354"
2.76,"4,682,960",4682960.0,"4,682,960"
3.63,"19,577,339",19577339.0,"19,577,339"
132.43,"4,527,690",4527690.0,"4,527,690"
"5,721,590","146,453,604",146453604.0,"146,453,604"
"10,393,000","1,529,270",1529270.0,"1,529,270"
3.7,"6,525,278",6525278.0,"6,525,278"
9.16,"1,788,545",1788545.0,"1,788,545"
14.00,"2,071,960",2071960.0,"2,071,960"
1.71,"30,436,232",30436232.0,"30,436,232"
13.39,"9,375,243",9375243.0,"9,375,243"
25.46,"10,540,000",10540000.0,"10,540,000"
11.79,"2,678,257",2678257.0,"2,678,257"
5.60,"1,652,073",1652073.0,"1,652,073"
"4,864,178","32,265,912",32265912.0,"32,265,912"
"81,424,000","21,249,638",21249638.0,"21,249,638"
20.9,"2,856,530",2856530.0,"2,856,530"
8.50,"45,227,730",45227730.0,"45,227,730"
10.36,"3,002,729",3002729.0,"3,002,729"
1.27,"4,105,688",4105688.0,"4,105,688"
1.48,"6,686,617",6686617.0,"6,686,617"
1.44,"2,914,738",2914738.0,"2,914,738"
1.47,"32,039,000",32039000.0,"32,039,000"
3.59,"32,168,909",32168909.0,"32,168,909"
2.91,"2,701,410",2701410.0,"2,701,410"
"2,549,778","2,001,844",2001844.0,"2,001,844"
"2,431,371","1,946,703",1946703.0,"1,946,703"
"4,329,710","4,967,568",4967568.0,"4,967,568"
"8,214,698","33,651,532",33651532.0,"33,651,532"
40.7,"28,993,287",28993287.0,"28,993,287"
137.60,"1,528,900",1528900.0,"1,528,900"
18.08,"73,514,217",73514217.0,"73,514,217"
5.85,"11,029,402",11029402.0,"11,029,402"
314.83,"1,989,950",1989950.0,"1,989,950"
11.99,"2,391,019",2391019.0,"2,391,019"
40.40,"22,885,804",22885804.0,"22,885,804"
9.67,"5,695,000",5695000.0,"5,695,000"
2.53,"3,687,780",3687780.0,"3,687,780"
"8,951,132","24,995,030",24995030.0,"24,995,030"
"17,158,962","4,534,346",4534346.0,"4,534,346"
"11,509,009","4,283,930",4283930.0,"4,283,930"
4.1,"3,383,802",3383802.0,"3,383,802"
4.95,"7,790,420",7790420.0,"7,790,420"
1.28,"10,000,511",10000511.0,"10,000,511"
1.75,"33,902,755",33902755.0,"33,902,755"
4.80,"4,131,370",4131370.0,"4,131,370"
1.28,"6,037,461",6037461.0,"6,037,461"
102.55,"6,255,970",6255970.0,"6,255,970"
12.88,"6,305,237",6305237.0,"6,305,237"
"2,495,860","6,484,822",6484822.0,"6,484,822"
