08-slytherin-founded,01-DDD-founding_year,03-gren-founding_year,07-silvestri-founding_year
2010,2015.0,2015.0,2015.0
2010,1983.0,1983.0,1983.0
2017,2012.0,2012.0,2012.0
2007,2001.0,2001.0,2001.0
2013,2017.0,2017.0,2017.0
1990,2015.0,2015.0,2015.0
2011,2015.0,2015.0,2015.0
2014,2009.0,2009.0,2009.0
2017,2005.0,2005.0,2005.0
2016,2010.0,2010.0,2010.0
2007,2004.0,2004.0,2004.0
2007,2013.0,2013.0,2013.0
2015,2016.0,2016.0,2016.0
2012,2014.0,2014.0,2014.0
2014,2012.0,2012.0,2012.0
2013,2012.0,2012.0,2012.0
2015,2006.0,2006.0,2006.0
2015,2006.0,2006.0,2006.0
1994,2015.0,2015.0,2015.0
2012,2016.0,2016.0,2016.0
2015,1984.0,1984.0,1984.0
2016,2012.0,2012.0,2012.0
2012,2009.0,2009.0,2009.0
2004,2009.0,2009.0,2009.0
2011,1997.0,1997.0,1997.0
2012,2009.0,2009.0,2009.0
2014,1996.0,1996.0,1996.0
2015,2011.0,2011.0,2011.0
2007,2017.0,2017.0,2017.0
2012,2016.0,2016.0,2016.0
2011,2015.0,2015.0,2015.0
2013,2016.0,2016.0,2016.0
2017,2015.0,2015.0,2015.0
2016,2004.0,2004.0,2004.0
2011,2010.0,2010.0,2010.0
2012,2013.0,2013.0,2013.0
2007,2004.0,2004.0,2004.0
2004,2011.0,2011.0,2011.0
2016,2015.0,2015.0,2015.0
2014,2014.0,2014.0,2014.0
1999,1999.0,1999.0,1999.0
2010,2013.0,2013.0,2013.0
2011,2012.0,2012.0,2012.0
2016,2009.0,2009.0,2009.0
2014,2015.0,2015.0,2015.0
2010,2010.0,2010.0,2010.0
2013,2010.0,2010.0,2010.0
2012,2015.0,2015.0,2015.0
2015,2010.0,2010.0,2010.0
2014,2017.0,2017.0,2017.0
2006,2011.0,2011.0,2011.0
2009,2005.0,2005.0,2005.0
2016,2015.0,2015.0,2015.0
2010,2010.0,2010.0,2010.0
2012,2011.0,2011.0,2011.0
2014,2008.0,2008.0,2008.0
2013,2009.0,2009.0,2009.0
2011,2015.0,2015.0,2015.0
2015,2011.0,2011.0,2011.0
2012,1977.0,1977.0,1977.0
2015,2009.0,2009.0,2009.0
2015,2014.0,2014.0,2014.0
2016,2016.0,2016.0,2016.0
2013,2011.0,2011.0,2011.0
2013,2002.0,2002.0,2002.0
2014,2012.0,2012.0,2012.0
2011,2014.0,2014.0,2014.0
2016,2012.0,2012.0,2012.0
2016,2017.0,2017.0,2017.0
2013,2012.0,2012.0,2012.0
2014,1996.0,1996.0,1996.0
2014,2008.0,2008.0,2008.0
2014,2014.0,2014.0,2014.0
2006,2014.0,2014.0,2014.0
2014,2010.0,2010.0,2010.0
2015,2016.0,2016.0,2016.0
2014,2007.0,2007.0,2007.0
2012,2016.0,2016.0,2016.0
2014,2015.0,2015.0,2015.0
1995,2006.0,2006.0,2006.0
2011,2017.0,2017.0,2017.0
2016,2013.0,2013.0,2013.0
2013,2010.0,2010.0,2010.0
2001,2010.0,2010.0,2010.0
2014,2009.0,2009.0,2009.0
2013,2005.0,2005.0,2005.0
2013,2009.0,2009.0,2009.0
2015,2012.0,2012.0,2012.0
2014,2007.0,2007.0,2007.0
2006,1965.0,1965.0,1965.0
2011,2001.0,2001.0,2001.0
2012,2015.0,2015.0,2015.0
2013,2014.0,2014.0,2014.0
2016,2007.0,2007.0,2007.0
2017,2015.0,2015.0,2015.0
2014,2013.0,2013.0,2013.0
2011,2016.0,2016.0,2016.0
2014,2013.0,2013.0,2013.0
2013,2011.0,2011.0,2011.0
2011,2009.0,2009.0,2009.0
2009,2016.0,2016.0,2016.0
2015,2015.0,2015.0,2015.0
2011,2016.0,2016.0,2016.0
2000,2005.0,2005.0,2005.0
2016,2014.0,2014.0,2014.0
2016,2015.0,2015.0,2015.0
2013,2013.0,2013.0,2013.0
2011,2011.0,2011.0,2011.0
2011,2013.0,2013.0,2013.0
2009,2011.0,2011.0,2011.0
2006,2012.0,2012.0,2012.0
2014,2004.0,2004.0,2004.0
2015,2008.0,2008.0,2008.0
2014,2015.0,2015.0,2015.0
2007,2012.0,2012.0,2012.0
1994,2011.0,2011.0,2011.0
2010,2015.0,2015.0,2015.0
2011,2011.0,2011.0,2011.0
2005,2015.0,2015.0,2015.0
2015,2005.0,2005.0,2005.0
2008,2010.0,2010.0,2010.0
2003,2015.0,2015.0,2015.0
2010,2013.0,2013.0,2013.0
2006,2003.0,2003.0,2003.0
2002,2013.0,2013.0,2013.0
2010,2001.0,2001.0,2001.0
