02-GioPonSpiz-name,05-MalPatSaj-name,06-MarScoToc-name,10-DeBiGa-name
malaguti,rehau group,,
mandarina duck,rewe group,,
manfrotto,rheinmetall,,
mapei,rheinmetall automotive,,
marni,rimowa,,
martini & rossi,ritter sport,,
marzocchi,robert bosch gmbh,,
marzotto,rohde & schwarz,,
maserati,rose bikes,,
massimo zanetti beverage group,rossmann,,
max mara,rri rhein ruhr international,,
md discount,ruf automobile,,
mediobanca,rwe,,
memphis group,saba,,
menarini,salzgitter ag,,
meridiana,sap se,,
miche,ströer,,
milano assicurazioni,sauer flugmotorenbau,,
minarelli,schaeffler group,,
minardi,schaller guitarenparts,,
missoni,schering,,
miu miu,schmitz cargobull,,
mivar,schott ag,,
moby lines,schwan-stabilo,,
momo,schwarz gruppe,,
mondial,schwind eye-tech-solutions,,
moon boot,sebamed,,
morbidelli,seca,,
moretti motor company,sennheiser,,
moschino,severin elektro,,
moser cicli,sew eurodrive,,
moto guzzi,sgl carbon,,
moto morini,siemens,,
moto rumi,sig sauer,,
motobi,simscale,,
mutti,skysails,,
mv agusta,smart,,
nardi,software ag,,
natuzzi,solarworld,,
neos,sonor,,
new holland construction,sortimo,,
nolan,staedtler,,
nordica,steinway & sons,,
novarossi,stihl,,
nuova cometra,südzucker,,
nuovo banco ambrosiano,symrise,,
osca,talanx,,
officine meccaniche,tchibo,,
olidata,telefunken,,
olivetti,tengelmann group,,
omas,tente international,,
omp racing,tetra,,
onda mobile communication,the linde group,,
osella,thyssenkrupp,,
ostoni,trivago,,
oto melara,trumpf,,
oz group,t-systems,,
pagani,tui group,,
pal zileri,uhlsport,,
panerai,ulla popken,,
panini comics,ultrasone,,
parmalat,underberg,,
partenavia,united internet,,
paton,vaude,,
peg perego,vector informatik,,
perazzi,veltins,,
perfetti van melle,vereinigte flugtechnische werke,,
perini navi,viessmann,,
permasteelisa,villeroy & boch,,
peroni s.p.a.,voith,,
persol,volkswagen group,,
perugina,volkswagen,,
piaggio aerospace,vonovia,,
piaggio,vossloh,,
pinarello,wacker chemie,,
pininfarina,wacker neuson,,
pirelli,wago kontakttechnik,,
pogliaghi,warsteiner,,
police,wella,,
poste air cargo,wera werk hermann werner,,
poste italiane,weser flugzeugbau,,
prada,wilkhahn,,
prinetti & stucchi,wintershall,,
prysmian group,wirecard,,
rai,wittenstein,,
rancilio,wolff & müller,,
ray-ban,wortmann,,
rcs mediagroup,würth,,
rifle,wüsthof,,
rizzani de eccher,zf friedrichshafen,,
sabelt,ziehl-abegg se,,
saeco,4e tv,,
safilo,abea,,
salini impregilo,achaia clauss,,
salvatore ferragamo s.p.a.,admie,,
san pellegrino,aegean airlines,,
saras s.p.a.,aegean motorway s.a.,,
seleco,aegean speed lines,,
selex es,aegek sa,,
sergio rossi,aeolian investment fund s.a.,,
shy,air mediterranean,,
siae microelettronica,alfa-beta vassilopoulos,,
siai-marchetti,allatini,,
sicom test,alpha bank,,
sigma-tau,alpha records,,
simmel difesa,alpha tv,,
smeg,alumil aluminium industry s.a,,
snam,aluminium of greece,,
snav,amjet executive,,
società generale immobiliare,anek lines,,
società torinese automobili rapid,ant1 group,,
soilmec,ant1,,
somec,arapian,,
sparco,arcadia shipmanagement,,
spea,archirodon,,
suomy,atcom,,
superga,athens exchange,,
tanfoglio,athens international airport s.a.,,
techint,athens-macedonian news agency,,
technogym,athens mass transit system,,
terra modena,athens metro,,
tirrenia,atlas maritime,,
tod's,attica bank,,
trussardi,attica group,,
tuaca,attiki odos consortium,,
ubi banca,aventurine sa,,
unicredit,avin international,,
unipol,bank of greece,,
unoaerre,barbastathis,,
valentino spa,bazaar,,
versace,beat,,
vespa,berios,,
vf venieri,bioman,,
viberti,black lotus records,,
vibram,bluebird airways,,
vignale,blue star ferries,,
viscount,centric multimedia,,
vm motori,ceres hellenic shipping enterprises,,
voiello,cereteth,,
vyrus,chalkis shipyards (aulida),,
webuild,chipita,,
wilier triestina,coca-cola hellenic bottling company,,
yoox net-a-porter group,coffee island,,
zagato,compupress,,
zambon,consolidated contractors company,,
zamperla,cosmote,,
zanussi,costamare,,
abrakebabra,depa,,
abrakebabra investments,desfa,,
accenture,diana,,
aer lingus,digea,,
aer lingus regional,digital union,,
aercap,dodekanisos seaways,,
aircoach,dryships inc,,
airtricity,eas,,
allied irish banks,egnatia odos s.a.,,
an post,elco,,
apache pizza,epsa,,
aptiv,elefsis shipyards,,
arnotts,elfe,,
baltimore technologies,ellaktor,,
bank of ireland,ellinair,,
barry's tea,energean oil & gas,,
bewley's,open tv,,
bord na móna,eskimo (feidakis group),,
boylesports,estia newspaper s.a.,,
bt ireland,etem,,
bus éireann,eurobank ergasias,,
butlers chocolates,european reliance,,
bwg foods,european seaways,,
c&c group,euroseas,,
central bank of ireland,evga s.a.,,
cié,eydap,,
cityjet,fage,,
communicorp,fast ferries,,
covidien,flocafé,,
crh plc,finos film,,
cúram software,fix brewery,,
daa,folli follie,,
dcc plc,forthnet,,
dealz,frigoglass,,
digiweb,gainjet aviation,,
doolittles,galaxias,,
dublin bus,gek terna,,
dunnes stores,germanos group,,
eaton corporation,golden star ferries,,
eason & son,goody's burger house,,
ebs,grecotel,,
eddie rocket's,greek internet exchange,,
edun,greek reporter,,
eir,greek wine cellars,,
eir sport,green cola company,,
energia group,green cookie records,,
eqtec,haitoglou bros,,
ervia,halyvourgiki steel,,
esb group,heaven music,,
experian,hellas sat,,
fbd holdings,hellenic aerospace industry,,
fineos,hellenic broadcasting corporation,,
first trust bank,hellenic civil aviation authority,,
four star pizza,hellenic duty free shops,,
fyffes,hellenic electricity distribution network operator,,
glanbia,hellenic petroleum,,
glendimplex,hellenic post,,
gocar,hellenic railways organisation,,
greencore,asset development fund,,
guineys,hellenic seaplanes,,
guinness,hellenic seaways,,
havok,hellenic shipyards co.,,
heatons,hellenic space organization,,
horizon therapeutics,hellenic sugar industry,,
iarnród éireann,hellenic vehicle industry,,
independent news & media,heracles general cement,,
insomnia coffee company,heron s.a.,,
intel ireland,hondos center,,
iona technologies,hotel grande bretagne,,
irish citylink,ianos,,
irish continental group,i avgi,,
irish ferries,ideal bikes,,
johnson controls,imc technologies,,
kbc bank ireland,interbalkan medical center,,
kerry group,internetq,,
kingspan group,intracom,,
laya healthcare,intrakat,,
magnet networks,intralot,,
mannok,levante ferries,,
medtronic,izola (dimitriou group),,
meteor,kefalonian lines,,
metro,iqsoft,,
musgrave group,jumbo s.a.,,
national lottery,karelia fine tobaccos,,
ni railways,kathimerini publishing s.a,,
norkom,kioleides,,
northern ireland electricity,korres,,
northern ireland transport holding company,kostoulas,,
ntr plc,kotsovolos,,
oatfield,kyknos,,
o'briens irish sandwich bars,lagie,,
openet,lambrakis press group,,
paddy power,larco,,
pat the baker,lavipharm,,
permanent tsb,levante ferries,,
penneys,libra group,,
rabobank ireland,lobby music,,
raidió teilifís éireann,loux,,
ryanair,majestic international cruises,,
shire,makedonia tv,,
smart telecom,malamatina,,
smurfit kappa,marfin investment group,,
smyths,marinetraffic,,
stobart air,masoutis,,
supermac's,melissa s.a.,,
supervalu,metaxa,,
teilifís na gaeilge,metka,,
tesco ireland,metro s.a.,,
the airporter,mevgal,,
thomas crosbie holdings,mikel coffee company,,
three ireland,minoan lines,,
tipperary natural mineral water,minos wines,,
today fm,misko,,
trane technologies,mythos brewery,,
transport infrastructure ireland,minos emi,,
virgin media television,mls innovation s.a.,,
udg healthcare,moreas motorway s.a.,,
ulster bank,motomarine,,
ulsterbus foyle,motor oil hellas,,
ulsterbus,mytilineos holdings,,
vhi healthcare,naftemporiki,,
virgin media ireland,namco,,
vizor,natech,,
vodafone ireland,national bank of greece,,
wireless group,navios maritime holdings,,
wrightbus,neorion,,
asl airlines hungary,mega channel,,
association of hungarian record companies,nipponia,,
balabit,national hellenic research foundation,,
bkv zrt.,nick silver pickups,,
borsod brewery,ocean rig,,
borsodchem,optima bank,,
budapest aircraft service,olympia odos consortium,,
cba,olympic air,,
amc networks international central europe,olympos,,
cib bank,olympus airways,,
cinema city hungary,opap,,
cityline hungary,optima bank,,
cls music,orient bikes,,
corvin film,ote,,
corvus hungary,oteglobe,,
csepel,ouzo plomari,,
danubius hotels group,papadopoulos,,
digital reality,papastratos,,
dreher brewery,parachute type foundry,,
fegyver- és gépgyár,pas giannina f.c.,,
fhb mortgage bank,peiraiki,,
ganz works,petropoulos a.e.b.e.,,
richter gedeon co.,piraeus bank,,
gramy records,porto carras,,
graphisoft,pouliadis associates corporation,,
gundel,prapopoulos bros s.a.,,
győri keksz,profile systems and software,,
hálózat tv,prometheus gas,,
hell energy,psichogios publications,,
herend porcelain manufactory,public power corporation,,
hungarian national bank,pyramis,,
hungarian state railways,rch,,
hungaroton,research acad. computer tech. institute,,
hunnia film studio,brink's,,
ikarus bus,roar! rock of angels records,,
international training center for bankers,rokas constructions s.a.,,
invictus games,santorini brewing company,,
ip systems,saracakis,,
iwiw,seajets,,
k&h bank,seka,,
lehel,sergal,,
magyar posta,sfakianakis,,
magyar telekom,skai group,,
mal hungarian aluminium,sky express,,
malév,sleaszy rider records,,
match,social insurance institute,,
mkb bank,softex,,
mol group,space internetworking center,,
mtva,spinalonga records,,
mvk zrt.,star channel,,
mvm group,state aircraft factory,,
neocoregames,superfast ferries,,
oncotherm,temax,,
organica technologies,terkenlis,,
orion electronics,terna energy,,
otp bank,the spicy effect,,
pannon,thessaloniki metro,,
pannonia film studio,thessaloniki waterbus,,
panrusgáz,theon sensors,,
pécs brewery,titan cement,,
pick szeged,trainose,,
prezi,tropical,,
puli space technologies,tsantali,,
rába,variety cruises,,
scarab research,ventouris ferries,,
state printing company,vegas oil and gas,,
szerencsejáték zrt.,vianex s.a.,,
takarékbank,viohalco,,
thalesnano,viva services,,
tisza cipő,vivartia,,
törley,vodafone greece,,
travel service,watt+volt,,
trigránit,wind hellas,,
tungsram,zante ferries,,
turner broadcasting system hungary,asl airlines hungary,,
upc magyarország,association of hungarian record companies,,
videoton,balabit,,
virusbuster,bkv zrt.,,
vodafone hungary,borsod brewery,,
wizz air,borsodchem,,
zen studios,budapest aircraft service,,
zsolnay,cba,,
zwack,amc networks international central europe,,
4e tv,cib bank,,
abea,cinema city hungary,,
achaia clauss,cityline hungary,,
admie,cls music,,
aegean airlines,corvin film,,
aegean motorway s.a.,corvus hungary,,
aegean speed lines,csepel,,
aegek sa,danubius hotels group,,
aeolian investment fund s.a.,digital reality,,
air mediterranean,dreher brewery,,
alfa-beta vassilopoulos,fegyver- és gépgyár,,
allatini,fhb mortgage bank,,
alpha bank,ganz works,,
alpha records,richter gedeon co.,,
alpha tv,gramy records,,
alumil aluminium industry s.a,graphisoft,,
aluminium of greece,gundel,,
amjet executive,győri keksz,,
anek lines,hálózat tv,,
ant1 group,hell energy,,
ant1,herend porcelain manufactory,,
arapian,hungarian national bank,,
arcadia shipmanagement,hungarian state railways,,
archirodon,hungaroton,,
atcom,hunnia film studio,,
athens exchange,ikarus bus,,
athens international airport s.a.,international training center for bankers,,
athens-macedonian news agency,invictus games,,
athens mass transit system,ip systems,,
athens metro,iwiw,,
atlas maritime,k&h bank,,
attica bank,lehel,,
attica group,magyar posta,,
attiki odos consortium,magyar telekom,,
aventurine sa,mal hungarian aluminium,,
avin international,malév,,
bank of greece,match,,
barbastathis,mkb bank,,
bazaar,mol group,,
beat,mtva,,
berios,mvk zrt.,,
bioman,mvm group,,
black lotus records,neocoregames,,
bluebird airways,oncotherm,,
blue star ferries,organica technologies,,
centric multimedia,orion electronics,,
ceres hellenic shipping enterprises,otp bank,,
cereteth,pannon,,
chalkis shipyards (aulida),pannonia film studio,,
chipita,panrusgáz,,
coca-cola hellenic bottling company,pécs brewery,,
coffee island,pick szeged,,
compupress,prezi,,
consolidated contractors company,puli space technologies,,
cosmote,rába,,
costamare,scarab research,,
depa,state printing company,,
desfa,szerencsejáték zrt.,,
diana,takarékbank,,
digea,thalesnano,,
digital union,tisza cipő,,
dodekanisos seaways,törley,,
dryships inc,travel service,,
eas,trigránit,,
egnatia odos s.a.,tungsram,,
elco,turner broadcasting system hungary,,
epsa,upc magyarország,,
elefsis shipyards,videoton,,
elfe,virusbuster,,
ellaktor,vodafone hungary,,
ellinair,wizz air,,
energean oil & gas,zen studios,,
open tv,zsolnay,,
eskimo (feidakis group),zwack,,
estia newspaper s.a.,abrakebabra,,
etem,abrakebabra investments,,
eurobank ergasias,accenture,,
european reliance,aer lingus,,
european seaways,aer lingus regional,,
euroseas,aercap,,
evga s.a.,aircoach,,
eydap,airtricity,,
fage,allied irish banks (aib),,
fast ferries,an post,,
flocafé,apache pizza,,
finos film,aptiv,,
fix brewery,arnotts,,
folli follie,baltimore technologies,,
forthnet,bank of ireland,,
frigoglass,barry's tea,,
gainjet aviation,bewley's,,
galaxias,bord na móna,,
gek terna,boylesports,,
germanos group,bt ireland,,
golden star ferries,bus éireann,,
goody's burger house,butlers chocolates,,
grecotel,bwg foods,,
greek internet exchange,c&c group,,
a. lange & söhne,central bank of ireland,,
aareal bank,cié,,
adidas,cityjet,,
aldi,communicorp,,
allianz,covidien,,
alpina,crh plc,,
altana,cúram software,,
aral ag,daa,,
arag se,dcc plc,,
arburg,dealz,,
arcandor,digiweb,,
arcor,doolittles,,
armedangels,dublin bus,,
audi,dunnes stores,,
august storck,eaton corporation,,
aurubis,eason & son,,
auto union,ebs,,
axel springer ag,eddie rocket's,,
b. braun,edun,,
babelsberg studio,eir,,
bahlsen,eir sport,,
basf,energia group,,
bavaria film studios,eqtec,,
bayer,ervia,,
baywa,esb group,,
bbs kraftfahrzeugtechnik,experian,,
bechtle,fbd holdings,,
beck's brewery,fineos,,
behr gmbh & co. kg,first trust bank,,
behringer,four star pizza,,
beiersdorf,fyffes,,
bellevue investments,glanbia,,
benecke-kaliko,glendimplex,,
bertelsmann,gocar,,
beyerdynamic,greencore,,
bilfinger,guineys,,
birkenstock,guinness,,
bitburger brewery,havok,,
biontech,heatons,,
blohm+voss,horizon therapeutics,,
bmg rights management,iarnród éireann,,
bmw,independent news & media,,
boehringer ingelheim,insomnia coffee company,,
bomag,intel ireland,,
brabus,iona technologies,,
braun,irish citylink,,
brenntag,irish continental group,,
c. bechstein,irish ferries,,
c. illies & co.,johnson controls,,
carl walther gmbh,kbc bank ireland,,
carl zeiss ag,kerry group,,
curevac,kingspan group,,
celesio,laya healthcare,,
cinestar,magnet networks,,
circus krone,mannok,,
claas,medtronic,,
commerzbank,meteor,,
condor flugdienst,metro,,
continental ag,musgrave group,,
covestro,national lottery,,
daimler ag,ni railways,,
dba,norkom,,
delton,northern ireland electricity,,
deutsche bahn,northern ireland transport holding company,,
deutsche bank,ntr plc,,
deutsche börse,oatfield,,
deutsche grammophon,o'briens irish sandwich bars,,
deutsche messe,openet,,
deutsche pfandbriefbank,paddy power,,
deutsche post,pat the baker,,
deutsche telekom,permanent tsb,,
deutsche vermögensberatung,penneys,,
deutz ag,rabobank ireland,,
dhl express,raidió teilifís éireann (rté),,
dieffenbacher,ryanair,,
diehl aerospace,shire,,
diehl defence,smart telecom,,
diehl metall,smurfit kappa,,
diezel,smyths,,
djshop,stobart air,,
accor,supermac's,,
aéropostale,supervalu,,
aérospatiale-matra,teilifís na gaeilge,,
air france,tesco ireland,,
air france–klm,the airporter,,
airbus,the irish times,,
air liquide,thomas crosbie holdings,,
alcatel-lucent,three ireland,,
ales groupe,tipperary natural mineral water,,
alstom,today fm,,
altran,trane technologies,,
amaury sport organisation,transport infrastructure ireland,,
arianegroup,virgin media television,,
arianespace,udg healthcare,,
arkane studios,ulster bank,,
arte,ulsterbus foyle,,
astrium,ulsterbus,,
at internet,vhi healthcare,,
atari sa,virgin media ireland,,
atisreal,vizor,,
atos,vodafone ireland,,
auchan,wireless group,,
axa,wrightbus,,
babolat,a&g management consulting,,
baccarat,a2a,,
banijay,abarth,,
banque de l'indochine,abon plastic,,
bel group,aermacchi,,
bnp paribas,agip,,
bolloré,agustawestland,,
bonduelle,agv,,
bouygues telecom,air dolomiti,,
bouygues,air one,,
brittany ferries,alan,,
bugatti automobiles,alenia aermacchi,,
canal+,alenia aeronautica,,
capgemini,alessi,,
carrefour,alfa romeo,,
cartier,alitalia,,
celio,alleanza assicurazioni,,
chanel,alpinestars,,
chantelle,andrea moda,,
christian dior se,angelini,,
citroën,anonima petroli italiana,,
cma cgm,ansaldo energia,,
com one group,ansaldo sts,,
crédit agricole,aprilia,,
crédit commercial de france,arflex,,
crédit mutuel,armani,,
conforama,arnoldo mondadori editore,,
crédit foncier de france,artemide,,
crédit lyonnais,assicurazioni generali,,
criteo,atala,,
danone,autobianchi,,
dassault aviation,autogrill,,
dassault systèmes,avio,,
debacq & cie,azimut yachts,,
decathlon,b engineering,,
dexia,b&b italia,,
diptyque,baldinini,,
edenred,banca carige,,
éditions philippe amaury,banca monte dei paschi di siena,,
eisenberg paris,banca nazionale del lavoro,,
électricité de france,banca popolare di milano,,
elf aquitaine,banco popolare,,
engie,bandini automobili,,
essilorluxottica,barilla group,,
eutelsat,basso bikes,,
fnac,benelli armi spa,,
framatome,benelli,,
free,benetti,,
galeries lafayette,benetton group,,
gameloft,bennet,,
gandi,beretta,,
gaumont,bertolli,,
genset,beta,,
getlink,bettanin & venturi,,
groupe bpce,bianchi,,
groupe bull,bimota,,
groupe casino,birel,,
hachette,birra amarcord,,
hachette filipacchi médias,birra ichnusa,,
havas,birra menabrea,,
hermès,birra moretti,,
hutchinson sa,birrificio angelo poretti,,
iliad sa,bizzarrini,,
jcdecaux,blue panorama airlines,,
keolis,blufin,,
kering,bompiani,,
la poste,bontempi,,
laboratoires pierre fabre,bontoni,,
lacoste,borrani,,
lactalis,borsalino,,
lafarge,bottecchia,,
lafuma,bottega veneta,,
lagardère group,b-p battioni e pagani s.p.a.,,
lancôme,braccialini,,
le coq sportif,bracco group,,
le zèbre,breda,,
l'oréal,brembo,,
louis vuitton,brioni,,
lvmh,brionvega,,
mandriva,brondi,,
manuloc,brunello cucinelli,,
maritima ferries,bruno magli,,
matra marconi space,buitoni,,
matra,bulgari,,
mavic,buzzi unicem,,
mc2 france,c.a.i. second,,
michelin,cagiva,,
microïds,caltagirone editore,,
montagut,calzaturificio fratelli soldini,,
moonscoop group,cambiocasa,,
naval group,campagnolo,,
nicox,campari group,,
norauto,canali,,
orange s.a.,candy,,
orano,caraceni,,
oxbow,carpigiani,,
parrot sa,carrera sunglasses,,
pathé,carrozzeria boneschi,,
pentalog,carrozzeria castagna,,
pernod ricard,carrozzeria ghia,,
peugeot,carrozzeria marazzi,,
psa group,carrozzeria scaglietti,,
publicis,carrozzeria touring,,
quantic dream,casa ricordi,,
ratp group,cassina s.p.a.,,
renault,castagnari,,
rexel,chicco,,
rhodia,chiesi farmaceutici s.p.a.,,
rhône-poulenc,cinelli,,
safran,cinzano,,
sagem,cirio,,
saint-gobain,class editori,,
salomon group,colnago,,
sanofi,colotti trasmissioni,,
schneider electric,columbus,,
sdv international logistics,comau,,
sephora,comus s.p.a.,,
servier,comvert s.r.l.,,
sfr,conad,,
sigfox,coop,,
sncf,coppola industria alimentare,,
snecma,corneliani,,
société bic,costa crociere,,
société générale,crumar,,
sodexo,dainese,,
sogeti,dallara,,
sopra steria,damiani,,
suez,danieli,,
technicolor sa,dario pegoretti,,
technip,de agostini,,
tf1 group,de cecco,,
thales group,de rosa,,
thomson-csf,de tomaso,,
totalenergies,dell'orto,,
ubisoft,delonghi,,
veolia,design42day,,
vinci sa,di blasi industriale,,
vivendi,diadora,,
waterman,diesel,,
yoplait,dolce & gabbana,,
ahlstrom,dr motor company,,
aktia bank,ducati,,
alko,ducati energia,,
alma media,durst,,
altia,edison,,
amer sports,edoardo raffinerie garrone (erg),,
bank of åland,eko guitars,,
basware,ellesse,,
bittium,e. marinella,,
cargotec,enel,,
codenomicon,energica motor company,,
dna oyj,eni,,
eckerö line,ermenegildo zegna,,
eks,erreà,,
elisa,esselunga,,
fazer,etro,,
fingrid,eurofly,,
finnair,fabbrica ligure automobili genova,,
finnlines,fratelli fabbri editori,,
fiskars,fabbri group,,
fortum,facchini group,,
f-secure,faema,,
hartwall,falck group,,
hesburger,famars,,
hkscan,fantic motor,,
holvi,farfisa,,
huhtamäki,fazioli,,
kemira,fedrigoni,,
kemppi,feltrinelli,,
kesko,fendi,,
kone,ferrari,,
konecranes,ferrero spa,,
kotipizza,ferretti group,,
lemminkäinen group,ferrovie dello stato italiane,,
marimekko,fiat,,
metsä group,fincantieri,,
metso,fiocchi munizioni,,
neste,fioravanti,,
nokia,fondiaria-sai,,
nokia networks,fondmetal,,
nokian jalkineet,fornasari,,
nokian tyres,forst,,
olvi,franchi,,
op financial group,frera,,
orion corporation,frette,,
outokumpu,fulcrum wheels,,
outotec,fulgor,,
patria,furla,,
planmeca,gaggia,,
pohjolan voima,gancia,,
polar electro,gardaland,,
ponsse corporation,garelli motorcycles,,
posiva,garlando,,
posti group,gde bertoni,,
pöyry,gedi gruppo editoriale,,
process vision,geox,,
raisio group,ghezzi & brian,,
rautaruukki,gilera,,
rovio entertainment,gio. ansaldo & c.,,
s group,givova,,
sampo group,golden goose,,
sanoma,graziano trasmissioni,,
silja line,grimaldi group,,
sisu auto,grivel,,
solidium,gruppo bertone,,
ssh communications security,gruppo riva,,
st1,gruppo tim,,
stenfors,gucci,,
stockmann,guerciotti,,
stonesoft corporation,gufram,,
stora enso,hera group,,
suominen corporation,hitachi rail italy,,
supercell,i.de.a institute,,
suunto,illy,,
talvivaara mining company,impresa pizzarotti,,
tieto,indesit company,,
tikkurila,innocenti,,
upm-kymmene,intermarine,,
vacon,intesa sanpaolo,,
vaisala,iride bicycles,,
valio,iso,,
valmet automotive,isotta fraschini,,
valmet,ita airways,,
valtra,italcementi,,
verkkokauppa.com,italdesign giugiaro,,
viking line,italjet,,
vr,iveco,,
wärtsilä,kappa,,
a. le coq,kiton,,
airest,krizia,,
alexela,kuota,,
aqris,la perla,,
as starman,la rinascente,,
avies,la sportiva,,
baltika group,lagostina,,
blrt grupp,lamborghini,,
bolt,lambretta,,
copterline,lancia,,
eesti energia,landi renzo,,
eesti gaas,lavazza,,
eesti raudtee,laverda,,
elering,legea,,
elron,leonardo s.p.a.,,
enefit kaevandused,livingston energy flight,,
enefit solutions,loacker,,
enimex,loro piana,,
estdomains,lotto sport italia,,
estonia piano factory,luigi borrelli,,
estonian record productions,luxottica,,
fortumo,macron,,
gorail,magneti marelli,,
kalev,magni,,
liviko,malaguti,,
moonwalk records,mandarina duck,,
narva oil plant,manfrotto,,
nortal,mapei,,
olerex,marni,,
omniva,martini & rossi,,
publishing house ersen,marzocchi,,
quattromed,marzotto,,
rakvere lihakombinaat,maserati,,
saaremaa shipping company,massimo zanetti beverage group,,
saku brewery,max mara,,
seb pank,md discount,,
selver,mediobanca,,
sky media group,memphis group,,
smartpost,menarini,,
stv,meridiana,,
tallink,miche,,
tallinna linnatranspordi as,milano assicurazioni,,
tänapäev,minarelli,,
tartu mill,minardi,,
telia eesti,missoni,,
tondi elektroonika,miu miu,,
topten,mivar,,
ülemiste keskus,moby lines,,
varrak,momo,,
viru keemia grupp,mondial,,
vkg elektrivõrgud,moon boot,,
zeroturnaround,morbidelli,,
alectia,moretti motor company,,
alk-abelló,moschino,,
aller media,moser cicli,,
alm. brand,moto guzzi,,
ambu,moto morini,,
arkitema architects,moto rumi,,
arla foods,motobi,,
arp-hansen hotel group,mutti,,
bang & olufsen,mv agusta,,
bestseller a/s,nardi,,
bjarke ingels group,natuzzi,,
boconcept,neos,,
brødrene hartmann,new holland construction,,
c. f. møller architects,nolan,,
carlsberg group,nordica,,
cembrit,novarossi,,
chr. hansen,nuova cometra,,
cobe architects,nuovo banco ambrosiano,,
coloplast,osca,,
coop amba,officine meccaniche,,
copenhagen airport,olidata,,
co-ro food,olivetti,,
cowex,omas,,
cowi a/s,omp racing,,
daloon,onda mobile communication,,
d/s norden,osella,,
dampskibsselskabet torm,ostoni,,
danfoss,oto melara,,
danisco,oz group,,
danish agro,pagani,,
danish crown amba,pal zileri,,
dansk supermarked,panerai,,
danske bank,panini comics,,
dantherm,parmalat,,
dfds,partenavia,,
dissing+weitling,paton,,
dlf,peg perego,,
dsb,perazzi,,
dsv,perfetti van melle,,
dt group,perini navi,,
ecco,permasteelisa,,
egmont group,peroni s.p.a.,,
falck,persol,,
flsmidth,perugina,,
flying tiger copenhagen,piaggio aerospace,,
foss a/s,piaggio,,
global risk management,pinarello,,
gn store nord,pininfarina,,
grundfos,pirelli,,
gryphon audio designs,pogliaghi,,
haldor topsoe,police,,
hempel group,poste air cargo,,
henning larsen architects,poste italiane,,
house of amber,prada,,
hummel,prinetti & stucchi,,
ic group,prysmian group,,
io interactive,rai,,
iss a/s,rancilio,,
jet time,ray-ban,,
jorgensen engineering,rcs mediagroup,,
jysk,rifle,,
jyske bank,rizzani de eccher,,
kemp & lauritzen,sabelt,,
kopenhagen fur,saeco,,
lastobject,safilo,,
leo pharma,salini impregilo,,
lm glasfiber,salvatore ferragamo s.p.a.,,
louis poulsen,san pellegrino,,
lundbeck,saras s.p.a.,,
lundgaard & tranberg,seleco,,
maersk,selex es,,
martin professional,sergio rossi,,
matas,shy,,
netcompany,siae microelettronica,,
nkt holding,siai-marchetti,,
nnit,sicom test,,
nordic adult entertainment,sigma-tau,,
nordisk film,simmel difesa,,
north media,smeg,,
north sea capital,snam,,
novo nordisk,snav,,
novozymes,società generale immobiliare,,
nykredit,società torinese automobili rapid,,
ørsted,soilmec,,
parken sport & entertainment,somec,,
pharma nord,sparco,,
pharmacosmos,spea,,
phase one,suomy,,
plesner,superga,,
post danmark,tanfoglio,,
ramboll,techint,,
roskilde forsyning,technogym,,
royal copenhagen,terra modena,,
royal unibrew,tirrenia,,
sampension,tod's,,
santa fe group,trussardi,,
saxo bank,tuaca,,
scandinavian tobacco group,ubi banca,,
schmidt hammer lassen,unicredit,,
select sport,unipol,,
simonsen & weel,unoaerre,,
stylepit,valentino spa,,
stibo,versace,,
tdc a/s,vespa,,
terma a/s,vf venieri,,
the lego group,viberti,,
thorco shipping,vibram,,
tuborg brewery,vignale,,
united shipping & trading company,viscount,,
velux,vm motori,,
vestas,voiello,,
welltec,vyrus,,
widex,webuild,,
william demant,wilier triestina,,
zentropa,yoox net-a-porter group,,
aero vodochody,zagato,,
ahold czech republic,zambon,,
asix s.r.o.,zamperla,,
avast,zanussi,,
barrandov studios,ablv bank,,
budweiser bier bürgerbräu,aerodium latvia,,
budweiser budvar brewery,airbaltic,,
česká pošta,ave line,,
česká spořitelna,baltic coal terminal,,
česká zbrojovka firearms,banka baltija,,
české dráhy,bank of latvia,,
české radiokomunikace,bellaccord electro,,
československá obchodní banka,cēsu alus,,
cetin,citadele banka,,
cinema city czech republic,dartz,,
čkd,diena,,
cs link,double coffee,,
czech airlines,elko grupa,,
czech national bank,ford-vairogs,,
dominant cz,forticom,,
indies records,grindeks,,
jablotron,inversija,,
jan becher,just5,,
jihostroj,laima,,
josef lidl,lattelecom,,
kaden models,latvenergo,,
kenvelo,latvian mobile telephone,,
kofola,latvian shipping company,,
komerční banka,latvijas balzams,,
leo express,latvijas gāze,,
liaz,latvijas krājbanka,,
mafra,latvijas pasts,,
meopta,microphone records,,
metrostav,norvik banka,,
moser,olainfarm,,
o2 czech republic,parex bank,,
okd,privatbank latvia,,
petrof,raf-avia,,
pilsner urquell brewery,rietumu banka,,
preciosa,riga autobus factory,,
racom,rimi baltic,,
red hat czech,russo-balt,,
royal brewery of krušovice,saf tehnika,,
rudolf kämpf,seb unibanka,,
škoda transportation,sereal,,
škoda works,smartlynx airlines,,
skylink,vef,,
student agency,achema,,
supraphon,alita,,
tatra,apranga,,
telekom austria czech republic,aurela,,
toyota peugeot citroën automobile czech,avia solutions group,,
