02-GioPonSpiz-headquarters,05-MalPatSaj-headquarters,06-MarScoToc-headquarters,10-DeBiGa-headquarters
san mauro pascoli,hamburg,,"['dhahran', 'saudi arabia']"
genoa,berlin,,"['seattle, washington', 'arlington, virginia']"
siena,hanover,,"['rahway, new jersey']"
rome,gütersloh,,"['basel', 'switzerland']"
milan,heilbronn,,"['pune', 'maharashtra']"
verona,mannheim,,"['noida', 'uttar pradesh']"
forlì,neustadt,,['sarjapur road']
parma,bitburg,,"['salesforce tower', 'san francisco, california', ', u.s.']"
san zenone degli ezzelini,mainz,,"[', switzerland', ', ', ' ']"
urbino,hamburg,,"['new york city', 'u.s.']"
pesaro,berlin,,"['walldorf', 'baden-württemberg']"
viareggio,munich,,"['bangalore', 'karnataka']"
ponzano veneto,ingelheim am rhein,,[]
montano lucino,boppard,,"['dallas, texas']"
brescia,bottrop,,"['san jose, california', 'la vista, nebraska']"
lucca,kronberg,,"['austin, texas']"
rignano sull'arno,mülheim,,"['armonk, new york']"
vigasio,berlin,,[]
milan,hamburg,,['russia']
rimini,ulm,,['hydra']
lissone,oberkochen,,"['beijing', 'china']"
rimini,tübingen,,"['london', 'england']"
assemini,stuttgart,,"['luxembourg city', 'luxembourg']"
biella,lübeck,,"['victoria', 'british columbia']"
udine,munich,,"['berlin, germany']"
induno olona,harsewinkel,,[]
livorno,frankfurt,,"['atlanta', 'georgia', 'usa']"
fiumicino,frankfurt,,['seychelles']
carpi,hanover,,
milan,leverkusen,,
potenza picena,stuttgart,,
montegranaro,munich,,
milan,bad homburg vor der höhe,,
alessandria,hamburg,,
cavarzere,berlin,,
vicenza,frankfurt,,
parma,frankfurt,,
florence,hanover,,
milan,hanover,,
brescia,unterschleißheim,,
stezzano,bonn,,
rome,bonn,,
pordenone,frankfurt,,
turin,cologne,,
perugia,bonn,,
bologna,eppingen,,
sansepolcro,überlingen,,
rome,überlingen,,
casale monferrato,röthenbach an der pegnitz,,
fiumicino,bad steben,,
varese,vachendorf,,
rome,?,,
capolona,hagen,,
milan,solingen,,
vicenza,bielefeld,,
milan,lübeck,,
sovico,frankfurt,,
brugherio,stuttgart,,
rome,frankfurt,,
bologna,essen,,
padua,neumarkt in der oberpfalz,,
milan,mulfingen,,
milan,ahrensburg,,
turin,berlin,,
milan,dettingen an der erms,,
modena,karlsruhe,,
milan,oberhaching,,
milan,bremen,,
meda,munich,,
recanati,düsseldorf,,
como,düsseldorf,,
parma,essen,,
milan,stein,,
turin,schwäbisch gmünd,,
san lazzaro di savena,essen,,
milan,esslingen am neckar,,
cambiago,waldachtal,,
modena,idar-oberstein,,
settala,hoykenkamp,,
turin,bremen,,
ancona,cologne,,
milan,cologne,,
bologna,cologne,,
casalecchio di reno,duisburg,,
mercato san severino,frankfurt,,
mantua,büdelsdorf,,
genoa,bad homburg vor der höhe,,
castelfidardo,bad homburg vor der höhe,,
molvena,weinheim,,
varano de' melegari,bremerhaven,,
valenza,mannheim,,
buttrio,ulm,,
caldonazzo,düsseldorf,,
novara,frankenberg,,
fara san martino,cologne,,
milan,gerolstein,,
modena,düsseldorf,,
cabiate,untergruppenbach,,
treviso,nuremberg,,
milan,martinsried,,
francofonte,nuremberg,,
caerano di san marco,hamburg,,
breganze,monheim,,
milan,hamburg,,
macchia d'isernia,hamburg,,
bologna,hanover,,
bologna,hamburg,,
brixen,bonn,,
milan,oberndorf am neckar,,
genoa,heidelberg,,
recanati,heidelberg,,
perugia,warnemünde,,
naples,lippstadt,,
rome,düsseldorf,,
modena,hanau,,
rome,schwanau,,
milan,essen,,
torrile,frankfurt,,
milan,dortmund,,
milan,köln-ehrenfeld cologne,,
milan,stuttgart,,
genoa,kiel,,
milan,offenburg,,
calto,metzingen,,
cormano,munich,,
milan,munich,,
sesto san giovanni,berlin,,
gardone val trompia,frankfurt,,
barzago,neubiberg,,
osimo,berlin,,
sacile,solingen,,
verona,glatten,,
milan,idstein,,
rome,mulfingen,,
maranello,jena,,
alba,hamburg,,
forlì,schramberg,,
rome,dessau,,
turin,kassel,,
trieste,winnenden,,
lecco,emmerich am rhein,,
turin,neckarsulm,,
turin,diedorf,,
bergamo,frankfurt,,
vicenza,duisburg,,
algund,heilbronn,,
brescia,munich,,
milan,würzburg,,
monza,hamburg,,
arcugnano,munich,,
gallarate,kreuztal,,
bologna,neutraubling,,
milan,frankenthal,,
canelli,augsburg,,
castelnuovo del garda,heidelberg,,
milan,cologne,,
novi ligure,wetzlar,,
milan,wetzlar,,
rome,nuremberg,,
montebelluna,neckarsulm,,
missaglia,lindau,,
pontedera,pasing,,
genoa,munich,,
scafati,kronach,,
venice,munich,,
turin,neu-isenburg,,
palermo,düsseldorf,,
courmayeur,cologne,,
milan,bremen-vegesack,,
milan,ulm,,
rome,berlin,,
florence,stuttgart,,
milan,munich,,
cuneo,düsseldorf,,
bologna,wolfenbüttel,,
naples,kirchanschöring,,
turin,gutenstetten,,
trieste,geretsried,,
parma,meissen,,
fabriano,minden,,
milan,kirchhundem,,
sarzana,affalterbach,,
turin,stuttgart,,
venice,darmstadt,,
bresso,augsburg,,
milan,düsseldorf,,
rome,zirndorf,,
bergamo,papenburg,,
moncalieri,gütersloh,,
castel san pietro terme,hamburg,,
turin,munich,,
turin,fischach,,
naples,munich,,
milan,karlsruhe,,
albiate,maxhütte-haidhof,,
bologna,braunschweig,,
milan,neckarsulm,,
ziano di fiemme,rüsselsheim am main,,
omegna,berlin,,
sant'agata bolognese,munich,,
milan,hamburg,,
turin,duderstadt,,
cavriago,munich,,
turin,duisburg,,
breganze,cologne,,
pompei,frankfurt,,
rome,blomberg,,
milan,mülheim,,
ritten,stuttgart,,
quarona,unterföhring,,
treviso,karlsruhe,,
naples,herzogenaurach,,
milan,aichtal,,
crespellano,radeberg,,
corbetta,stuttgart,,
samarate,hamburg,,
san lazzaro di savena,rehau,,
bologna,cologne,,
cassola,düsseldorf,,
milan,neckarsulm,,
milan,cologne,,
turin,waldenbuch,,
bologna,waldenbuch,,
valdagno,munich,,
modena,bocholt,,
bologna,burgwedel,,
reggio emilia,essen,,
gricignano di aversa,pfaffenhausen,,
milan,essen,,
milan,triberg im schwarzwald,,
florence,salzgitter,,
olbia,walldorf,,
san vendemiano,cologne,,
milan,ober-olm,,
calderara di reno,herzogenaurach,,
faenza,postbauer-heng,,
varese,berlin,,
milan,horstmar,,
abbiategrasso,mainz,,
milan,heroldsberg,,
milan,neckarsulm,,
manerbio,kleinostheim,,
giavera del montello,boppard,,
pesaro,hamburg,,
turin,wedemark,,
milan,sundern,,
trento,bruchsal,,
mandello del lario,wiesbaden,,
bologna,berlin,,
bergamo,eckernförde,,
pesaro,munich[4],,
montechiarugolo,hamburg,,
varese,böblingen,,
turin,darmstadt,,
santeramo in colle,bonn,,
somma lombardo,berlin,,
turin,zusmarshausen,,
bergamo,nuremberg,,
giavera del montello,hamburg,,
monticelli brusati,waiblingen,,
pace del mela,mannheim,,
milan,holzminden,,
san lazzaro di savena,hanover,,
milan,hamburg,,
cesena,berlin,,
ivrea,mülheim,,
bologna,cologne,,
ronco scrivia,melle,,
roveredo in piano,munich,,
verolengo,duisburg,,
cormano,düsseldorf,,
rome,ditzingen,,
san martino di lupari,frankfurt,,
san cesario sul panaro,hanover,,
vicenza,balingen,,
milan,rastede,,
modena,tutzing,,
collecchio,rheinberg,,
arzano,montabaur,,
settimo milanese,tettnang,,
arcore,stuttgart,,
brescia,meschede,,
lainate,bremen,,
viareggio,allendorf (eder),,
vittorio veneto,mettlach,,
gallarate,heidenheim an der brenz,,
agordo,wolfsburg,,
perugia,wolfsburg,,
genoa,bochum,,
pontedera,werdohl,,
treviso,munich,,
cambiano,munich,,
milan,minden,,
milan,warstein,,
venice,darmstadt,,
rome,wuppertal,,
rome,bremen,,
milan,bad münder,,
milan,kassel,,
milan,aschheim,,
rome,igersheim,,
parabiago,stuttgart,,
milan,hüllhorst,,
milan,künzelsau,,
prato,solingen,,
pozzuolo del friuli,friedrichshafen,,
turin,künzelsau,,
bologna,thessaloniki,,
padua,chania,,
milan,patras,,
florence,athens,,
san pellegrino terme,athens,,
sarroch,athens,,
milan,glyfada,,
rome,marousi,,
milan,athens,,
venice,athens,,
cologno monzese,athens,,
sesto calende,thessaloniki,,
trieste,athens,,
pomezia,athens,,
colleferro,athens,,
guastalla,kilkis,,
san donato milanese,marousi,,
naples,athens,,
rome,chania,,
turin,athens,,
cesena,athens,,
lugo,athens,,
volpiano,athens,,
volpiano,dordrecht,,
inverigo,athens,,
turin,athens,,
gardone val trompia,athens,,
milan,athens,,
cesena,athens,,
modena,athens,,
naples,athens,,
sant'elpidio a mare,athens,,
milan,athens,,
livorno,athens,,
bergamo,athens,,
porta nuova,maroussi,,
bologna,athens,,
arezzo,thessaloniki,,
milan,athens,,
milan,athens,,
pontedera,athens,,
lugo,tavros,,
pescara,athens,,
albizzate,heraklion,,
turin,athens,,
mondaino,athens,,
cento,pireus,,
torre annunziata,volos,,
coriano,chalkis,,
milan,athens,,
rossano veneto,zug,,
milan,patras,,
rho,athens,,
bresso,athens,,
vicenza,athens,,
pordenone,monaco,,
dublin,athens,,
dublin,chalandri,,
dublin,tavros,,
dublin,athens,,
dublin,athens,,
dublin,rhodes,,
dublin,athens,,
dublin,athens,,
dublin,athens,,
dublin,lykovrysi,,
dublin,pilio,,
dublin,eleusis,,
dublin,athens,,
dublin,kifissia,,
dublin,thessaloniki,,
cork,maroussi,,
dublin,koropi,,
newbridge,athens,,
dundalk,athens,,
dublin,athens,,
dublin,athens,,
dublin,athens,,
dublin,athens,,
dublin,maroussi,,
dublin,athens,,
dublin,galatsi,,
dublin,strassen,,
dublin,piraeus,,
dublin,athens,,
dublin,athens,,
dublin,athens,,
dublin,athens,,
dublin,athens,,
dublin,kifissia,,
dundalk,athens,,
laghey,athens,,
dublin,athens,,
dublin,athens,,
dublin,andros,,
dublin,athens,,
dublin,rethymno,,
dublin,athens,,
dublin,-,,
dublin,markopoulo,,
dublin,orestiada,,
belfast,thessaloniki,,
cork,athens,,
cork,athens,,
dublin,athens,,
dublin,nicosia,,
dublin,tanagra,,
dublin,athens,,
belfast,glyfada,,
dublin,agios stefanos,,
dublin,athens,,
kilkenny,athens,,
dublin,athens,,
dublin,athens,,
dublin,athens,,
dublin,athens,,
dublin,athens,,
dublin,skaramagas,,
dublin,kallithea,,
dublin,thessaloniki,,
dublin,thessaloniki,,
dublin,athens,,
dublin,athens,,
leixlip,athens,,
dublin,athens,,
dublin,thessaloniki,,
dublin,athens,,
dublin,patras,,
cork,athens,,
dublin,thessaloniki,,
tralee,london,,
dublin,athens,,
little island,paiania,,
dublin,athens,,
derrylin,zante,,
dublin,athens,,
dublin,cephalonia,,
belfast,ioannina,,
cork,athens,,
dublin,kalamata,,
belfast,neo phaliro,,
dublin,athens,,
belfast,athens,,
belfast,athens,,
dublin,athens,,
letterkenny,ilia,,
dublin,athens,,
dublin,athens,,
dublin,marousi,,
granard,athens,,
dublin,athens,,
dublin,new york city,,
dublin,athens,,
dublin,patras,,
dublin,athens,,
dublin,thessaloniki,,
dublin,alexandroupoli,,
dublin,nea erythraia,,
galway,athens,,
dublin,thessaloniki,,
ballybrit,athens,,
cork,athens,,
baile na habhann,athens,,
dublin,metamorfosi,,
derry,koufalia,,
cork,larissa,,
dublin,heraclion,,
borrisoleigh,crete,,
dublin,athens,,
swords,sindos,,
dublin,athens,,
dublin,thessaloniki,,
dublin,athens,,
dublin,koropi,,
derry,athens,,
belfast,maroussi,,
purcellsinch,athens,,
dublin,thessaloniki,,
dublin,ioannina,,
dublin,athens,,
belfast,pireus,,
ballymena,ermoupolis,,
budapest,athens,,
budapest,athens,,
budapest,athens,,
budapest,athens,,
bőcs,athens,,
budapest,athens,,
budapest,athens,,
alsónémedi,spata,,
budapest,larissa,,
budapest,athens,,
budapest,athens,,
vecsés,athens,,
budapest,larissa,,
budapest,maroussi,,
ballószög,athens,,
szigetszentmiklós,plomari,,
budapest,athens,,
budapest,aspropyrgos,,
budapest,athens,,
budapest,ioannina,,
budapest,drapetsona,,
budapest,thessaloniki,,
budapest,athens,,
budapest,sithonia,,
budapest,athens,,
budapest,patras,,
győr,athens,,
budapest,athens,,
miskolc,athens,,
herend,athens,,
budapest,thessaloniki,,
budapest,katerini,,
budapest,patras,,
budapest,rethymno,,
budapest,angelochori,,
budapest,athens,,
debrecen,santorini,,
budapest,athens,,
budapest,piraeus,,
budapest,kaloi limenes,,
jászberény,serres,,
budapest,athens,,
budapest,piraeus,,
ajka,athens,,
budapest,athens,,
budapest,athens,,
budapest,athens,,
budapest,xanthi,,
budapest,athens,,
miskolc,athens,,
budapest,athens,,
budapest,athens,,
budapest,athens,,
budapest,thessaloniki,,
budapest,athens,,
budapest,athens,,
törökbálint,thessaloniki,,
budapest,thessaloniki,,
budapest,athens,,
pécs,brussels,,
szeged,athens,,
budapest,athens,,
budapest,agios pavlos,,
győr,athens,,
budapest,piraeus,,
budapest,athens,,
budapest,athens,,
budapest,brussels,,
budapest,athens,,
martfű,athens,,
budapest,chalandri,,
budapest,athens,,
budapest,athens,,
újpest,piraeus,,
budapest,budapest,,
budapest,budapest,,
székesfehérvár,budapest,,
budapest,budapest,,
budapest,bőcs,,
budapest,budapest,,
budapest,budapest,,
pécs,alsónémedi,,
budapest,budapest,,
thessaloniki,budapest,,
chania,budapest,,
patras,vecsés,,
athens,budapest,,
athens,budapest,,
athens,ballószög,,
glyfada,szigetszentmiklós,,
marousi,budapest,,
athens,budapest,,
athens,budapest,,
athens,budapest,,
thessaloniki,budapest,,
athens,budapest,,
athens,budapest,,
athens,budapest,,
kilkis,budapest,,
marousi,budapest,,
athens,győr,,
chania,budapest,,
athens,miskolc,,
athens,herend,,
athens,budapest,,
athens,budapest,,
dordrecht,budapest,,
athens,budapest,,
athens,budapest,,
athens,budapest,,
athens,debrecen,,
athens,budapest,,
athens,budapest,,
athens,budapest,,
athens,jászberény,,
athens,budapest,,
athens,budapest,,
athens,ajka,,
maroussi,budapest,,
athens,budapest,,
thessaloniki,budapest,,
athens,budapest,,
athens,budapest,,
athens,miskolc,,
tavros,budapest,,
athens,budapest,,
heraklion,budapest,,
athens,budapest,,
athens,budapest,,
pireus,budapest,,
volos,törökbálint,,
chalkis,budapest,,
athens,budapest,,
zug,pécs,,
patras,szeged,,
athens,budapest,,
athens,budapest,,
athens,győr,,
monaco,budapest,,
athens,budapest,,
chalandri,budapest,,
tavros,budapest,,
athens,budapest,,
athens,martfű,,
rhodes,budapest,,
athens,budapest,,
athens,budapest,,
athens,újpest,,
lykovrysi,budapest,,
pilio,budapest,,
eleusis,székesfehérvár,,
athens,budapest,,
kifissia,budapest,,
thessaloniki,budapest,,
maroussi,budapest,,
koropi,pécs,,
athens,budapest,,
athens,dublin,,
athens,dublin,,
athens,dublin,,
athens,dublin,,
athens,dublin,,
maroussi,dublin,,
athens,dublin,,
galatsi,dublin,,
strassen,dublin,,
piraeus,dublin,,
athens,dublin,,
athens,dublin,,
athens,dublin,,
athens,dublin,,
athens,dublin,,
kifissia,cork,,
athens,dublin,,
athens,newbridge,,
athens,dundalk,,
athens,dublin[2],,
andros,dublin,,
athens,dublin,,
rethymno,dublin,,
athens,dublin,,
glashütte,dublin,,
wiesbaden,dublin,,
herzogenaurach,dublin,,
essen,dublin,,
munich,dublin,,
buchloe,dublin,,
wesel,dublin,,
bochum,dublin,,
düsseldorf,dublin,,
loßburg,dublin,,
essen,dundalk,,
eschborn,laghey,,
cologne,dublin,,
ingolstadt,dublin,,
berlin,dublin,,
hamburg,dublin,,
neckarsulm,dublin,,
berlin,dublin,,
melsungen,dublin,,
potsdam,dublin,,
hanover,dublin,,
ludwigshafen,belfast,,
grünwald,cork,,
leverkusen,cork,,
munich,dublin,,
schiltach,dublin,,
neckarsulm,dublin,,
bremen,dublin,,
stuttgart,belfast,,
willich,dublin,,
hamburg,dublin,,
berlin,kilkenny,,
hanover,dublin,,
gütersloh,dublin,,
heilbronn,dublin,,
mannheim,dublin,,
neustadt,dublin,,
bitburg,dublin,,
mainz,dublin,,
hamburg,dublin,,
berlin,dublin,,
munich,dublin,,
ingelheim am rhein,dublin,,
boppard,leixlip,,
bottrop,dublin,,
kronberg,dublin,,
mülheim,dublin,,
berlin,dublin,,
hamburg,cork,,
ulm,dublin,,
oberkochen,tralee,,
tübingen,dublin,,
stuttgart,little island,,
lübeck,dublin,,
munich,derrylin,,
harsewinkel,dublin,,
frankfurt,dublin,,
frankfurt,belfast,,
hanover,cork,,
leverkusen,dublin,,
stuttgart,belfast[4],,
munich,dublin,,
bad homburg vor der höhe,belfast,,
berlin,belfast[5],,
frankfurt,dublin,,
frankfurt,letterkenny,,
hanover,dublin,,
hanover,dublin,,
unterschleißheim,dublin,,
bonn,granard,,
bonn,dublin,,
frankfurt,dublin,,
cologne,dublin,,
bonn,dublin,,
eppingen,dublin,,
überlingen,dublin,,
überlingen,dublin,,
röthenbach an der pegnitz,dublin,,
bad steben,galway,,
vachendorf,dublin,,
paris,ballybrit[7],,
toulouse,cork,,
paris,baile na habhann,,
tremblay-en-france,dublin,,
tremblay-en-france,derry,,
toulouse,dublin,,
paris,cork,,
boulogne-billancourt,dublin,,
paris,borrisoleigh,,
saint-ouen,dublin,,
paris,swords,,
issy-les-moulineaux,dublin,,
issy-les-moulineaux,dublin,,
courcouronnes,dublin,,
lyon,dublin,,
strasburg,derry,,
paris,belfast,,
bordeaux,purcellsinch,,
paris,dublin,,
levallois-perret,dublin,,
bezons,dublin,,
croix,belfast,,
paris,ballymena,,
lyon,turin,,
paris,brescia,,
paris,turin,,
paris,gornate-olona,,
paris,varese,,
paris,rome,,
puteaux,rome,,
villeneuve d'ascq,alessandria,,
paris,villafranca di verona,,
paris,fiumicino,,
roscoff,veggiano,,
molsheim,venegono superiore,,
issy-les-moulineaux,rome,,
paris,omegna,,
boulogne-billancourt,turin,,
saint-ouen,fiumicino,,
paris,milan,,
neuilly-sur-seine,asolo,,
cachan,morrovalle,,
paris,rome,,
rueil-malmaison,rome,,
marseille,genoa,,
cestas,genoa,,
montrouge,noale,,
paris,milan,,
paris,milan,,
saint-priest,segrate,,
charenton-le-pont,pregnana milanese,,
paris,trieste,,
paris,monza,,
paris,milan,,
paris,rozzano,,
vélizy-villacoublay,rome,,
paris,turin,,
villeneuve-d'ascq,campogalliano,,
paris,novedrate,,
paris,san mauro pascoli,,
paris,genoa,,
boulogne-billancourt,siena,,
paris,rome,,
paris,milan,,
courbevoie,verona,,
la défense,forlì,,
charenton-le-pont,parma,,
paris,san zenone degli ezzelini,,
ivry-sur-seine,urbino,,
courbevoie,pesaro,,
paris,viareggio,,
paris,ponzano veneto,,
paris,montano lucino,,
paris,brescia,,
neuilly-sur-seine,lucca,,
paris,rignano sull'arno,,
paris,vigasio,,
paris,milan,,
les clayes-sous-bois,rimini,,
saint-étienne,lissone,,
paris,rimini,,
paris,assemini,,
paris,biella,,
paris,udine,,
paris,induno olona,,
paris,livorno,,
neuilly-sur-seine,fiumicino,,
paris,carpi,,
paris,milan,,
paris,potenza picena,,
paris,montegranaro,,
troyes,milan,,
laval,alessandria,,
paris,cavarzere,,
paris,vicenza,,
paris,parma,,
paris,florence,,
entzheim,milan,,
suresnes,brescia,,
clichy,stezzano,,
paris,rome,,
paris,pordenone,,
paris,turin,,
metz,perugia,,
marseille,bologna,,
toulouse,sansepolcro,,
romorantin-lanthenay,rome,,
annecy,casale monferrato,,
montrouge,fiumicino,,
clermont-ferrand,varese,,
montreuil,rome,,
saint-sauveur-de-montagut,capolona,,
paris,milan,,
paris,vicenza,,
valbonne,milan,,
lesquin,sovico,,
paris,brugherio,,
courbevoie,rome,,
mérignac,bologna,,
paris,padua,,
paris,milan,,
orléans,milan,,
paris,turin,,
rueil-malmaison,milan,,
rueil-malmaison,modena,,
paris,milan,,
paris,milan,,
paris,meda,,
boulogne-billancourt,recanati,,
paris,como,,
la défense,parma,,
paris,milan,,
paris,turin,,
paris,san lazzaro di savena,,
la défense,milan,,
épagny-metz-tessy,cambiago,,
paris,modena,,
rueil-malmaison,settala,,
puteaux,turin,,
paris,ancona,,
suresnes,milan,,
paris,bologna,,
labège,casalecchio di reno,,
saint-denis,mercato san severino,,
courcouronnes,mantua,,
clichy,genoa,,
la défense,castelfidardo,,
issy-les-moulineaux,molvena,,
paris,varano de' melegari,,
annecy,valenza,,
paris,buttrio,,
issy-les-moulineaux,caldonazzo,,
paris,novara,,
boulogne-billancourt,fara san martino,,
la défense,milan,,
paris,modena,,
courbevoie,cabiate,,
rennes,treviso,,
paris,milan,,
rueil-malmaison,francofonte,,
paris,caerano di san marco,,
paris,breganze,,
boulogne-billancourt,milan,,
helsinki,macchia d'isernia,,
helsinki,bologna,,
helsinki,bologna,,
helsinki,brixen,,
helsinki,milan,,
helsinki,genoa,,
mariehamn,recanati,,
espoo,perugia,,
oulu,naples,,
helsinki,rome,,
oulu,modena,,
helsinki,rome,,
helsinki,milan,,
espoo,torrile,,
helsinki,milan,,
helsinki,milan,,
helsinki,milan,,
vantaa,genoa,,
helsinki,milan,,
helsinki,calto,,
espoo,cormano,,
helsinki,milan,,
helsinki,sesto san giovanni,,
turku,gardone val trompia,,
turku,barzago,,
helsinki,osimo,,
espoo,sacile,,
helsinki,verona,,
lahti,milan,,
helsinki,rome,,
helsinki,maranello,,
hyvinkää,alba,,
helsinki,forlì,,
helsinki,rome,,
helsinki,turin,,
helsinki,trieste,,
helsinki,lecco,,
espoo,turin,,
espoo,turin,,
espoo,bergamo,,
helsinki,vicenza,,
nokia,algund,,
helsinki,brescia,,
helsinki,milan,,
espoo,monza,,
helsinki,arcugnano,,
espoo,gallarate,,
helsinki,bologna,,
helsinki,milan,,
helsinki,canelli,,
kempele,castelnuovo del garda,,
vieremä,milan,,
eurajoki,novi ligure,,
helsinki,milan,,
vantaa,rome,,
helsinki,montebelluna,,
raisio,missaglia,,
helsinki,pontedera,,
espoo,genoa,,
helsinki,scafati,,
helsinki,venice,,
helsinki,turin,,
helsinki,palermo,,
helsinki,courmayeur,,
helsinki,milan,,
helsinki,milan,,
helsinki,rome,,
oulu,florence,,
helsinki,milan,,
helsinki,cuneo,,
helsinki,bologna,,
helsinki,naples,,
helsinki,turin,,
vantaa,trieste,,
espoo,parma,,
helsinki,fabriano,,
vantaa,milan,,
helsinki,sarzana,,
vaasa,turin,,
vantaa,venice,,
helsinki,bresso,,
uusikaupunki,milan,,
espoo,rome,,
äänekoski,bergamo,,
helsinki,moncalieri,,
mariehamn,castel san pietro terme,,
helsinki,turin,,
helsinki,turin,,
tartu,naples,,
tallinn,milan,,
tallinn,albiate,,
tallinn,bologna,,
tallinn,milan,,
tallinn,ziano di fiemme,,
tallinn,omegna,,
tallinn,sant'agata bolognese,,
tallinn,milan,,
tallinn,turin,,
tallinn,cavriago,,
tallinn,turin,,
tallinn,breganze,,
tallinn,pompei,,
tallinn,rome,,
jõhvi,milan,,
jõhvi,ritten[7],,
tallinn,quarona,,
tartu,treviso,,
tallinn,naples,,
tallinn,milan,,
tartu,crespellano,,
tallinn,corbetta,,
lehmja,samarate,,
tallinn,san lazzaro di savena,,
tallinn,bologna,,
auvere,cassola,,
tallinn,milan,,
tartu,milan,,
tallinn,turin,,
tallinn,bologna,,
tartu,valdagno,,
roodevälja,modena,,
kuressaare,bologna,,
saku,reggio emilia,,
tallinn,gricignano di aversa,,
tallinn,milan,,
tallinn,milan,,
tallinn,florence,,
tallinn,olbia,,
tallinn,san vendemiano,,
tallinn,milan,,
tallinn,calderara di reno,,
tartu,faenza,,
tallinn,varese,,
tallinn,milan,,
tallinn,abbiategrasso,,
tallinn,milan,,
tallinn,milan,,
kohtla-järve,manerbio,,
narva,giavera del montello,,
tartu,pesaro,,
virum,turin,,
hørsholm,milan,,
copenhagen,trento,,
copenhagen,mandello del lario,,
copenhagen,bologna,,
aarhus,bergamo,,
viby j,pesaro,,
copenhagen,montechiarugolo,,
struer,varese,,
brande,turin,,
copenhagen,santeramo in colle,,
herning,somma lombardo,,
gentofte,turin,,
aarhus,bergamo,,
copenhagen,giavera del montello,,
aalborg,monticelli brusati,,
hørsholm,pace del mela,,
copenhagen,milan,,
fredensborg,san lazzaro di savena,,
copenhagen,milan,,
copenhagen,cesena,,
frederikssund,ivrea,,
gentofte,bologna,,
kongens lyngby,ronco scrivia,,
nyborg,roveredo in piano,,
hellerup,verolengo,,
copenhagen,cormano,,
nordborg,rome,,
copenhagen,san martino di lupari,,
karise,san cesario sul panaro,,
randers,vicenza,,
højbjerg,milan,,
copenhagen,modena,,
skive,collecchio,,
copenhagen,arzano,,
copenhagen,settimo milanese,,
roskilde,arcore,,
copenhagen,brescia,,
hedehusene,lainate/breda,,
copenhagen,viareggio,,
bredebro,vittorio veneto,,
copenhagen,gallarate,,
copenhagen,agordo,,
copenhagen,perugia,,
copenhagen,genoa,,
hillerød,pontedera,,
middelfart,treviso,,
ballerup,cambiano,,
bjerringbro,milan,,
ry,milan,,
copenhagen,venice,,
lyngby-taarbæk,rome,,
copenhagen,rome,,
copenhagen,milan,,
aarhus,milan,,
copenhagen,milan,,
copenhagen,rome,,
copenhagen,parabiago,,
copenhagen,milan,,
odense,milan,,
aarhus,prato,,
silkeborg,pozzuolo del friuli,,
copenhagen,turin,,
copenhagen,bologna,,
copenhagen,padua,,
copenhagen,milan,,
lunderskov,florence,,
copenhagen,san pellegrino terme,,
copenhagen,sarroch,,
copenhagen,milan,,
copenhagen,rome,,
aarhus,milan,,
allerød,venice,,
copenhagen,cologno monzese,,
copenhagen,sesto calende,,
gladsaxe,trieste,,
copenhagen,pomezia,,
copenhagen,colleferro,,
gladsaxe,guastalla,,
copenhagen,san donato milanese,,
copenhagen,naples,,
copenhagen,rome,,
copenhagen,turin,,
fredericia,cesena,,
copenhagen,lugo,,
vejle,volpiano,,
holbæk,volpiano,,
copenhagen,inverigo,,
copenhagen,turin,,
copenhagen,gardone val trompia,,
copenhagen,milan,,
roskilde,cesena,,
copenhagen,modena,,
faxe,naples,,
copenhagen,sant'elpidio a mare,,
copenhagen,milan,,
copenhagen,livorno,,
copenhagen,bergamo,,
copenhagen,porta nuova,,
copenhagen,bologna,,
vallensbæk,arezzo,,
copenhagen,milan,,
århus,milan,,
copenhagen,pontedera,,
lystrup,lugo,,
billund,pescara,,
copenhagen,albizzate,,
fredericia,turin,,
middelfart,mondaino,,
hørsholm,cento,,
aarhus,torre annunziata,,
allerød,coriano,,
lynge,milan,,
ledøje-smørum,rossano veneto,,
hvidovre,milan,,
odolena voda,rho,,
prague,bresso,,
prague,vicenza,,
prague,pordenone,,
prague,riga,,
české budějovice,sigulda,,
české budějovice,riga,,
prague,riga,,
prague,ventspils,,
uherský brod,riga,,
prague,riga,,
prague,riga,,
prague,cēsis,,
prague,riga,,
prague,riga,,
prague,riga,,
prague,riga,,
prague,riga,,
prague,riga,,
studenec,riga,,
brno,riga,,
jablonec nad nisou,riga,,
karlovy vary,riga,,
velešín,riga,,
brno,riga,,
nový hrádek,riga,,
prague,riga,,
ostrava,riga,,
prague,riga,,
prague,riga,,
jablonec nad nisou,riga,,
prague,riga,,
přerov,riga,,
prague,riga,,
karlovy vary,olaine,,
prague,riga,,
ostrava,riga,,
hradec králové,riga,,
plzeň,riga,,
jablonec nad nisou,riga,,
nové město na moravě,riga,,
brno,riga,,
krušovice,riga,,
nové sedlo,riga,,
plzeň,riga,,
plzeň,mārupe,,
prague,riga,,
brno,jonava,,
prague,alytus,,
kopřivnice,vilnius,,
prague,vilnius,,
kolín,vilnius,,
třinec,vilnius,,
prague,vilnius,,
české budějovice,vilnius,,
prague,klaipėda,,
prague,šiauliai,,
brno,vilnius,,
prague,karmėlava,,
nicosia,vilnius,,
larnaca,vilnius,,
