02-GioPonSpiz-headquarters,05-MalPatSaj-headquarters,06-MarScoToc-headquarters,10-DeBiGa-headquarters
linköping,panagyurishte,cau giay,"['universal city, california', 'universal city, california', 'united states']"
helsingborg,pazardzhik,tokyo midtown,"['10202 west washington boulevard', 'culver city, california', 'usa']"
trollhättan,sofia,tokyo midtown,"['santa monica, california']"
stockholm,sofia,tokyo midtown,"['los angeles', 'california']"
stockholm,sofia,"mumbai, maharashtra","['brentwood, los angeles', 'california']"
stockholm,sofia,"mumbai, maharashtra","['beverly hills, california']"
solna,sofia,"mumbai, maharashtra","['los angeles, california']"
stockholm,sofia,"olathe, kansas","['santa monica', 'california', 'united states']"
lund,sofia,"olathe, kansas",['10202 west washington boulevard']
stockholm,sofia,"olathe, kansas","['berwyn, pennsylvania', 'u.s.']"
södertälje,sofia,"olathe, kansas",[]
malmö,sofia,boston,"['los angeles', 'california', 'new york city, new york']"
stockholm,sofia,boston,"['van nuys, ca', 'santa monica, ca']"
lidköping,sofia,boston,"['san francisco', 'california', 'united states']"
stockholm,sofia,renaissance center,['universal city']
malmö,sofia,renaissance center,"['universal city, california', 'u.s.']"
gothenburg,sofia,porto alegre,"['10202 west washington boulevard', 'culver city, california']"
stockholm,sofia,porto alegre,"['dallas', 'texas']"
gothenburg,sofia,porto alegre,"['los angeles', 'california', 'u.s.']"
stockholm,sofia,chiyoda,"['los angeles', 'california']"
malmö,sofia,chiyoda,[]
stockholm,sofia,chiyoda,['london']
stockholm,sofia,london,"['london', 'glendale, california']"
gothenburg,pirdop,binjiang district,"['los angeles', 'california', 'u.s.']"
stockholm,sofia,binjiang district,"['borehamwood', 'hertfordshire']"
skellefteå,sofia,1600 amphitheatre parkway,['london']
gothenburg,sofia,"tempe, arizona","['london', 'england', 'united kingdom']"
gothenburg,sofia[1],"tempe, arizona",[]
gothenburg,sofia,"milwaukee, wisconsin, u.s.","['london', 'united kingdom']"
växjö,sofia,rue du faubourg saint-honoré,['england']
gothenburg,sofia,rue du faubourg saint-honoré,['colchester']
stockholm,sofia,brompton road,['united kingdom']
stockholm,sofia,brompton road,"['bangkok', 'thailand']"
stockholm,ruse,davie,"['stockholm', 'sweden']"
stockholm,sofia,"houston, texas","['kyiv', 'ukraine']"
stockholm,sofia,bundang-gu,"['bangkok', 'thailand']"
gothenburg,sofia,bundang-gu,"['bangkok', 'thailand']"
gothenburg,sofia,bundang-gu,['bangkok']
eskilstuna,plovdiv,bundang-gu,"['bangkok', 'thailand']"
stockholm,shumen,bundang-gu,"['gangnam-gu', 'seoul', 'south korea', 'nonhyeon-dong', 'gangnam-gu', 'seoul', 'south korea']"
stockholm,sofia,hearst tower,['seoul']
nyköping,sofia,düsseldorf,['mapo-gu']
stockholm,sofia,düsseldorf,['stockholm']
stockholm,sofia,schaan,"['seoul', 'south korea']"
stockholm,plovdiv,"tosu, saga",['maracaibo']
stockholm,sofia,"tosu, saga","['seoul, korea']"
stockholm,sofia,"tosu, saga",[]
stockholm,varna,"charlotte, north carolina, u.s.","['seoul', 'south korea']"
solna,burgas,"charlotte, north carolina, u.s.","['cape town, south africa']"
gothenburg,sofia,8 canada square,['lima']
stockholm,sofia,8 canada square,"['jongno district', 'seoul', 'south korea']"
stockholm,sofia,8 canada square,"['songpa district', 'seoul', 'south korea']"
malmö,sofia,8 canada square,"['asuncion', 'paraguay']"
stockholm,sofia,"columbus, ohio","['quito', 'ecuador']"
malmö,sofia,"columbus, ohio","['bogotá', 'colombia']"
stockholm,blagoevgrad,"the woodlands, texas, u.s.","['krasnogorsk', 'moscow oblast', 'russia']"
stockholm,ruse,shenzhen,"['moscow, (russian hq)']"
lund,sofia,espoo,"['santiago', 'chile']"
lund,sofia,espoo,['st. petersburg']
hillerstorp,sofia,espoo,"['moscow, russia (russian hq)', 'new york, us (international hq)']"
stockholm,sofia[4],espoo,"['moscow, russia']"
stockholm,sofia,espoo,"['la paz', 'bolivia']"
trelleborg,sofia,espoo,"['buenos aires', 'argentina']"
stockholm,sofia,"austin, texas","['buenos aires', 'argentina']"
stockholm,sofia,"austin, texas",[]
stockholm,sofia,,['rio de janeiro']
hagfors,sofia,"glenview, illinois",['port morseby']
umeå,varna,"glenview, illinois","['moscow', 'russia']"
stockholm,svilengrad,amsterdam,"['saint petersburg', 'russia']"
stockholm,sofia,amsterdam,"['miami', 'florida', 'united states']"
södertälje,karlovo,amsterdam,"['moscow', 'russia']"
stockholm,rijeka,grattacielo intesa sanpaolo,"['\n', '\n']"
alvesta,zagreb,grattacielo intesa sanpaolo,"['saint petersburg', 'russia']"
gothenburg,zagreb,"fairfield, california","['melbourne', 'victoria, australia']"
gothenburg,omišalj,"fairfield, california","['wellington', 'wellington', 'new zealand', 'wellington', 'new zealand']"
gothenburg,opatija,"fairfield, california",['perth']
skövde,rovinj,jardine house,"['flinders street, adelaide', 'south australia']"
gothenburg,zagreb,robinsons equitable tower,"['barangaroo', 'sydney', 'new south wales']"
huskvarna,zagreb,robinsons equitable tower,"['perth, australia']"
stockholm,zagreb,"new brunswick, new jersey","['spring', 'texas', 'united states']"
skellefteå,dubrovnik,ortigas center,"['\n', '\n']"
stockholm,zagreb,383 madison avenue,['houston']
stockholm,zagreb,383 madison avenue,"['san antonio', 'texas', 'united states']"
malmö,split,383 madison avenue,['lodz']
stockholm,zagreb,brussels,"['abs-cbn broadcasting center', 'abs-cbn broadcasting center', 'diliman', 'quezon city', 'philippines']"
stockholm,split,ch??,"['pasig', 'philippines']"
barcelona,čakovec,ch??,"['granada street', 'new manila', 'quezon city', 'philippines']"
seville,koprivnica,ch??,"['spring, texas']"
barcelona,zagreb,ch??,['denver']
alcobendas,zagreb,ch??,"['houston', 'texas', 'united states']"
madrid,zagreb,irving,"[' ', 'sandridge center', 'oklahoma city', ', ', 'oklahoma', 'united states']"
madrid,zagreb,irving,"['quezon city, metro manila']"
madrid,zagreb,irving,"['quezon city', 'philippines']"
barcelona,zagreb,irving,['norway']
barcelona,zagreb,tokyo,"['fort worth, texas']"
madrid,zagreb,tokyo,"['gma network center', 'edsa', 'timog avenue', 'quezon city', 'philippines']"
fene,zagreb,inagi,"['oslo', 'norway']"
san sebastián de los reyes,zagreb,seoul,"['irving, texas']"
zaragoza,zagreb,,"['denver, colorado']"
bilbao,zagreb,,"['houston, texas']"
madrid,buje,,"['houston, texas', 'united states']"
sabadell,zagreb,"fremont, california","['marathon oil tower', 'houston']"
santander,slavonski brod,paris,"['tulsa, oklahoma']"
madrid,zagreb,ballard estate,"['wichita, kansas']"
madrid,split,santiago,['wellington']
vic,zagreb,santiago,"['southlake, texas']"
madrid,zagreb,san francisco,[]
alcobendas,zagreb,san francisco,"['bukit jalil', 'kuala lumpur', 'malaysia']"
barcelona,zagreb,san francisco,['malaysia']
madrid,zagreb,"hong kong, china[1] (registered office) beijing, china[2][3] (operational headquarters) lorong chuan, singapore[4] (operational centre) morrisville, north carolina, united states[5] (operational headquarters)","['ginza', 'chūō, tokyo']"
moià,zagreb,"hong kong, china[1] (registered office) beijing, china[2][3] (operational headquarters) lorong chuan, singapore[4] (operational centre) morrisville, north carolina, united states[5] (operational headquarters)","['new york city', 'new york']"
barcelona,zagreb,rome,"['yūrakuchō', 'chiyoda']"
bilbao,zagreb,nuremberg,"['midland, texas']"
madrid,zagreb,lexington,"['eqt plaza', 'pittsburgh, pennsylvania']"
madrid,zagreb,yeouido-dong,"['heritage plaza', 'houston']"
madrid,zagreb,dublin,"['devon energy center', 'oklahoma city']"
madrid,ozalj,dublin,['oklahoma city']
beasain,zagreb,"waltham, massachusetts","['houston, texas']"
barcelona,zagreb,"waltham, massachusetts","['plano, texas']"
madrid,vodnjan,"bethesda, maryland","['houston energy corridor', 'houston, texas']"
madrid,zagreb,"bethesda, maryland",['tsukiji']
martorell,zagreb,songpa district,['japan']
cádiz,zagreb,songpa district,[]
córdoba,zagreb,cologne,"['1-8-19 fujimi, chiyoda-ku, tokyo 102-8078']"
las rozas,zagreb,cologne,"['houston, texas']"
madrid,rijeka,cologne,['arakawa-ku']
barcelona,zagreb,miaoli county,"['santa maria', 'california', 'u.s.']"
madrid,zagreb,miaoli county,"['shinjuku, tokyo']"
madrid,karlovac,miaoli county,"['rome, italy']"
madrid,osijek,miaoli county,"['los angeles', 'houston', 'united states']"
elorrio,bjelovar,miaoli county,"['oklahoma city, oklahoma', ', u.s.']"
derio,zagreb,mumbai,"['los angeles, california']"
mondragón,split,,"['dallas, tx']"
madrid,zagreb,,"['post oak central', 'houston, texas']"
barcelona,kraljevica,,"['denver, colorado']"
madrid,zagreb,,"['pointe-a-pierre', 'trinidad and tobago']"
barcelona,zagreb,,['mexico city']
zamudio,ploče,copenhagen,['tegucigalpa']
madrid,zagreb,san juan,"['calgary, alberta', 'canada']"
tres cantos,zagreb,"ayer keroh, malacca",['havana']
málaga,zagreb,,"['calgary', 'alberta']"
barcelona,zagreb,yuanlin,"['vancouver', 'canada']"
burgos,kutina,yuanlin,"['fort mcmurray', 'alberta']"
carballo,gospić,yuanlin,['mumbai']
murcia,zagreb,yuanlin,"['mumbai', 'india']"
granada,zagreb,yuanlin,"['mumbai', 'india']"
madrid,split,yuanlin,"['chennai', 'tamil nadu', 'india']"
a coruña,koprivnica,yuanlin,"['mumbai', 'india']"
madrid,rijeka,yuanlin,"['mumbai', 'maharashtra', 'india']"
bilbao,zagreb,yuanlin,"['mumbai', 'maharashtra', 'india']"
madrid,sveta nedelja,"menlo park, california","['mumbai', 'india']"
barcelona,zagreb,irving,"['hyderabad', 'telangana']"
arteixo,zagreb,irving,"['calgary', 'alberta']"
madrid,zagreb,zhonghe,"['noida', 'india']"
madrid,split,zhonghe,"['calgary', 'canada', 'oslo', 'norway']"
ormaiztegi,zagreb,one microsoft way,"['kolkata', 'west bengal']"
portillo de toledo,zagreb,suminoe,"[""st. john's, newfoundland and labrador"", 'canada']"
elche,zagreb,suminoe,"['calgary', 'alberta', 'canada']"
valencia,zagreb,suminoe,['calgary']
madrid,zagreb,global village tech park,"['saint john, new brunswick']"
zaragoza,zagreb,tokyo building,"['calgary', 'alberta']"
tavernes blanques,pula,tokyo building,['headquarters in calgary; oil and gas wells throughout western canada']
murcia,zagreb,tokyo building,"['calgary, alberta', 'canada']"
madrid,zagreb,tokyo building,"['chennai', 'tamil nadu']"
palma,rijeka,tokyo building,"['toronto', 'ontario']"
palau-solità i plegamans,varaždin,hsinchu,"['calgary, alberta', 'canada']"
majadahonda,virovitica,hsinchu,"['calgary', 'alberta']"
barcelona,zagreb,"minato, tokyo",['calgary']
madrid,zagreb,30 rockefeller plaza,"['calgary', 'alberta']"
palma,zagreb,"boston, massachusetts",['chennai']
tavernes blanques,zagreb,"boston, massachusetts",['kolkata']
mondragón,zagreb,vevey,"['mumbai', 'maharashtra', 'india']"
madrid,nicosia,vevey,"['mumbai, maharastra']"
vitoria-gasteiz,larnaca,vevey,"['calgary, alberta']"
valencia,limassol,"beaverton, oregon",['calgary']
madrid,nicosia[8],"beaverton, oregon","['calgary', 'alberta']"
madrid,larnaca,"minato, tokyo","['london, united kingdom']"
bueu,nicosia,"minami-ku, kyoto",['london']
madrid,nicosia,"minami-ku, kyoto",['mumbai']
mallabia,nicosia,"minami-ku, kyoto","['gurgaon', 'india']"
ibiza,limassol,oslo,"['jubilee hills', 'hyderabad']"
redondela,nicosia,,"['mumbai, maharashtra', 'india']"
barcelona,limassol,bagsværd,"['mumbai', 'india']"
villarreal,limassol,bagsværd,"['chennai', 'india']"
tres cantos,nicosia,bagsværd,"['chennai', 'india']"
barcelona,limassol,bagsværd,['chennai']
madrid,nicosia,dhaka,"['london', 'uk']"
alcobendas,larnaca,,['aberdeen']
alcobendas,nicosia,,['windsor']
madrid,nicosia,issy-les-moulineaux,"['edinburgh', 'scotland', 'uk']"
madrid,nicosia,dublin,"['kyiv', 'ukraine']"
madrid,paphos,dublin,"['stockholm, sweden']"
majorca,nicosia,"kadoma, osaka","['madrid', 'spain']"
madrid,nicosia,oak brook,"['madrid', 'spain']"
linares,limassol,one astor plaza,"['novi sad', 'serbia']"
martorell,nicosia,one astor plaza,"['almetyevsk', 'russia']"
getxo,nicosia,herzogenaurach,['surgut']
getxo,nicosia,tokyo,['yuzhno-sakhalinsk']
las rozas de madrid,nicosia,"harrison, new york","['moscow', 'russia']"
