02-GioPonSpiz-sector,05-MalPatSaj-sector
electronic equipment,broadline retailers
conventional electricity,banks
defense,industrial machinery
gas distribution,marine transportation
software,business support services
-,farming & fishing
general industries,railroads
media,delivery services
retail,building materials & fixtures
food & beverage,footwear
diversified industrials,publishing
heavy construction,health care providers
broadcasting & entertainment,industrial machinery
pharmaceuticals,braodline retailers
mobile telecommunications,business support services
banks,business support services
general industries,health care providers
software,industrial machinery
fixed line telecommunications,consumer electronics
software,specialty chemicals
banks,specialty chemicals
food retailers & wholesalers,business support services
publishing,clothing & accessories
fixed line telecommunications,clothing & accessories
software,clothing & accessories
broadcasting & entertainment,software
conventional electricity,business support services
paper,airlines
fixed line telecommunications,business support services
building materials & fixtures,specialty retailers
diversified industrials,banks
heavy construction,business support services
broadcasting & entertainment,clothing & accessories
diversified industrials,personal products
-,pharmaceuticals
farming & fishing,industrial machinery
food products,building materials & fixtures
tobacco,pharmaceuticals
airlines,business support services
broadcasting & entertainment,ocean and inland freight transportation
paper,building materials & fixtures
full line insurance,drug retailers
publishing,software
diversified industrials,-
brewers,software
internet,recreational products
-,broadcasting & entertainment
durable household products,publishing
software,financial services
coal,pharmaceuticals
banks,biotechnology
durable household products,financial services
software,conventional electricity
banks,recreational services
banks,pharmaceuticals
coal,pharmaceuticals
food retailers & wholesalers,recreational products
general mining,business support services
coal,delivery services
software,business support services
brewers,conventional electricity
brewers,durable household products
software,brewers
software,asset managers
brewers,logistics
diversified industrials,banks
conventional electricity,tobacco
software,business support services
commercial vehicles & trucks,recreational products
automobiles,medical equipment
automobiles,apparel retailers
diversified industrials,enterprise software
diversified industrials,fixed line telecommunications
nonferrous metals,aerospace
gas distribution,toys
nonferrous metals,marine transportation
specialty chemicals,brewers
exploration & production,marine transportation
coal,building materials & fixtures
coal,industrial machinery
food products,oil equipment & services
banks,medical equipment
broadcasting & entertainment,health care providers
retail,broadcasting & entertainment
coal,brewers
nonferrous metals,airlines
broadcasting & entertainment,exploration & production
general mining,software
brewers,fixed line telecommunications
coal,airlines
brewers,apparel retailers
software,commercial vehicles & trucks
airlines,transportation
apparel retailers,airlines
food concern,conventional electricity
recreational services,gas distribution
fixed line telecommunications,railroads
brewers,conventional electricity
computer hardware,travel & tourism
mobile telecommunications,general mining
commercial vehicles & trucks,business support services
exploration & production,airlines
exploration & production,internet
mobile telecommunications,recreational products
mobile telecommunications,broadcasting & entertainment
delivery services,financial services
broadcasting & entertainment,travel & tourism
railroads,food products
broadcasting & entertainment,distillers & vintners
conventional electricity,broadcasting & entertainment
delivery services,exploration & production
banks,software
full line insurance,specialty retailers
machinery,delivery services
travel & tourism,publishing
travel & tourism,biotechnology
conventional electricity,food products
fruit and vegetable processing,marine transportation
software,brewers
general retailers,banks
commercial vehicles & trucks,food retailers & wholesalers
diversified industrials,broadcasting & entertainment
broadcasting & entertainment,delivery services
mobile telecommunications,broadcasting & entertainment
broadcasting & entertainment,marine transportation
broadcasting & entertainment,travel & tourism
broadcasting & entertainment,publishing
soft drinks,food products
brewers,fixed line telecommunications
recreational services,electronic equipment
food retailers & wholesalers,broadcasting & entertainment
defense,broadline retailers
electrical components & equipment,publishing
"bus, ferry and train services",exploration & production
banks,conventional electricity
payments industry,software
recreational products,basic resources
life insurance,banks
food retailers & wholesalers,specialty retailers
specialty chemicals,publishing
brewers,distillers & vintners
transportation services,recreational products
automobiles parts,banks
engineering,software
industrial machinery,consumer electronics
banks,transportation services
non-life insurance,software
restaurants & bars,mobile telecommunications
food products,marine transportation
brewers,consumer electronics
specialty retailers,fixed line telecommunications
internet,restaurants & bars
travel & tourism,conventional electricity
internet,airlines
real estate investment and services,marine transportation
commercial vehicles & trucks,durable household products
airlines,alternative electricity
automobiles,software
industrial transportation & defense,soft drinks
marine transportation,retail
automobiles,restaurants & bars
soft drinks,banking
pharmaceuticals,containers & packaging
internet,specialty chemicals
publishing,business support services
broadcasting & entertainment,broadline retailers
software,industrial machinery
investment services,industrial machinery
recreational products,restaurants & bars
industrial automation,heavy construction
food products,clothing & accessories
exploration & production,paper
delivery services,business support services
brewers,exploration & production
software,telecommunications equipment
apparel retailers,telecommunications equipment
oil equipment & services,footwear
brewers,automobiles
variety,soft drinks
software,financial services
travel & tourism,pharmaceuticals
apparel retailers,iron & steel
building,business support services
home improvement retailers,defense
banks,medical equipment
datacentres,alternative electricity
fixed line telecommunications,recreational products
food retailers & wholesalers,commercial vehicles & trucks
consumer digital services,waste & disposal services
airlines,delivery services
business support services,business support services
fixed line telecommunications,business support services
automobiles,food products
rental and leasing services,building materials & fixtures
conventional electricity,software
distillers & vintners,hotels
airlines,full line insurance
railroads,publishing
auto parts,marine transportation
food products,commercial vehicles & trucks
multiutilities,investment services
semiconductors,software
electronic office equipment,exploration & production
food products,heavy construction
consumer electronics,broadline retailers
delivery services,software
consumer digital services,paper
parking,clothing & accessories
banks,software
business support services,recreational services
heavy construction,nonferrous metals
heavy construction,software
electrical components & equipment,commodity chemicals
transportation services,paper
heavy construction,electrical components & equipment
oil equipment & services,software
recreational products,food products
diversified industrials,automobiles
food retailers & wholesalers,industrial machinery
automobiles,commercial vehicles & trucks
aerospace,broadline retailers
broadcasting & entertainment,marine transportation
fixed line telecommunications,railroads
mobile telecommunications,electronic equipment
defence & electronics,basic resources
financial administration,heavy construction
delivery services,hospitality
software,airlines
food products,defense
airlines,airlines
banks,airlines
computer hardware,aerospace
airlines,chemical
recreational products,telecommunications equipment
commercial vehicles & trucks,personal products
automobile,railroads
business training & employment agencies,business support services
mobile telecommunications,recreational services
publishing,aerospace & defense
"oil, gas & coal",aerospace
mobile telecommunications,software
heavy construction,broadcasting & entertainment
building materials & fixtures,aerospace
apparel retailers,internet
software,software
business support services,real estate services
apparel retailers,software
airlines,food retailers & wholesalers
banks,full line insurance
banks,recreational products
banks,durable household products
distillers & vintners,broadcasting & entertainment
fixed line telecommunications,banks
banks,food products
banks,banks
delivery services,delivery services
airlines,food products
publishing,mobile telecommunications
fixed line telecommunications,-
gambling,marine transportation
broadcasting & entertainment,automobiles
brewers,broadcasting & entertainment
gambling,business support services
mobile telecommunications,food retailers & wholesalers
banks,clothing & accessories
iron & steel,apparel retailers
iron & steel,clothing & accessories
technology hardware & equipment,clothing & accessories
banks,clothing & accessories
banks,automobiles
banks,delivery services
banks,telecommunications equipment
investment services,banks
brewers,banks
food retailers & wholesalers,banks
delivery services,retail
multiutilities,banks
banks,banks
health care providers,internet
diversified industrials,food products
restaurants & bars,defense
asset managers,software
publishing,clothing & accessories
full line insurance,clothing & accessories
-,banks
specialty finance,personal products
personal products,specialized consumer services
banks,publishing
investment services,personal products
airlines,conventional electricity
clothing & accessories,exploration & production
airlines,electricity generation
broadcasting & entertainment,health care equipment
investment services,mobile telecommunications
investment services,specialty retailers
broadcasting & entertainment,nuclear engineering
brewers,fixed line telecommunications
real estate holding & development,broadline retailers
fixed line telecommunications,software
broadcasting & entertainment,internet
business support services,broadcasting & entertainment
investment services,biotechnology
industrial machinery,transportation services
broadcasting & entertainment,banks
publishing,computer hardware
mobile telecommunications,broadline retailer
banks,publishing
railroads,publishing
airlines,media agencies
broadcasting & entertainment,clothing & accessories
airlines,diversified industrials
recreational services,fixed line telecommunications
delivery services,electronic equipment
specialty chemicals,travel & tourism
brewers,clothing & accessories
apparel retailers,delivery services
airlines,pharmaceuticals
transportation services,clothing & accessories
transportation services,food products
delivery services,building materials & fixtures
airlines,recreational products
commercial vehicles & trucks,broadcasting & entertainment
recreational products,personal products
restaurants & bars,clothing & accessories
airlines,automobiles
building materials & fixtures,personal products
electronic equipment,clothing & accessories
brewers,clothing & accessories
brewers,software
gas distribution,logistics
conventional electricity,marine transportation
delivery services,aerospace
broadline retailers,automobiles
airlines,recreational products
distillers & vintners,software
brewers,tires
fixed line telecommunications,software
banks,clothing & accessories
broadline retailers,broadcasting & entertainment
brewers,defense
investment services,pharmaceuticals
banks,auto parts
industrial machinery,mobile telecommunications
airlines,nuclear cycle
marine transportation,recreational products
transportation services,diversified industrials
banks,broadcasting & entertainment
banks,business support services
broadcasting & entertainment,distillers & vintners
brewers,automobiles
banks,automobiles
automobiles,business support services
restaurants & bars,software
consumer electronics,travel & tourism
automobiles,automobiles
software,electrical components & equipment
pharmaceuticals,specialty chemicals
delivery services,specialty chemicals
telecommunications equipment,aerospace
food products,telecommunications equipment
fixed line telecommunications,building materials & fixtures
conventional electricity,recreational products
mobile telecommunications,pharmaceuticals
marine transportation,electrical components & equipment
soft drinks,delivery services
exploration & production,specialty retailers
banks,pharmaceuticals
delivery services,fixed line telecommunications
broadcasting & entertainment,telecommunications equipment
banks,travel & tourism
pharmaceuticals,aerospace
banks,nondurable household products
banks,banks
airlines,specialized consumer services
banks,software
automobiles,software
food retailers & wholesalers,multiutilities
automobiles,broadcasting & entertainment
telecommunications equipment,business support services
banks,broadcasting & entertainment
recreational products,aerospace
airlines,defense
consumer electronics,integrated oil & gas
business support services,software
multiutilities,water
automobiles,heavy construction
containers & packaging,broadcasting & entertainment
aerospace,nondurable household products
oil & gas refining & marketing,food products
aerospace & defense,clothing & accessories
auto parts,banks
airlines,clothing & accessories
airlines,food retailers & wholesalers
recreational products,full line insurance
aerospace,automobiles
aerospace,speciality chemicals
durable household products,specialty retailers
automobiles,full line insurance
airlines,industrial machinery
life insurance,broadline retailers
clothing & accessories,fixed line telecommunications
clothing & accessories,clothing & accessories
pharmaceuticals,automobiles
