02-GioPonSpiz-sector,05-MalPatSaj-sector
airlines,airlines
brewers,recreational products
defense,commercial vehicles & trucks
defense,automobile
nonferrous metals,business training & employment agencies
brewers,mobile telecommunications
broadline retailers,publishing
construction & materials,"oil, gas & coal"
travel & tourism,mobile telecommunications
record label,heavy construction
airlines,building materials & fixtures
software,apparel retailers
fixed line telecommunications,software
airlines,business support services
banks,apparel retailers
airlines,software
banks,textile
exploration & production,coal
banks,mass media
banks,e-commerce
delivery services,banks
railroads,durable household products
tobacco,software
delivery services,banks
banks,banks
-,brewers
specialty retailers,coal
nonferrous metals,food retailers & wholesalers
broadcasting & entertainment,household goods
banks,general mining
full line insurance,coal
publishing,automotive trade
publishing,software
publishing,brewers
gambling,brewers
food retailers & wholesalers,software
banks,specialty chemicals
banks,software
software,food retailers & wholesalers
airlines,confectionary
hotels,brewers
banks,diversified industrials
brewers,conventional electricity
brewers,software
broadcasting & entertainment,food retailers & wholesalers
defense,commercial vehicles & trucks
iron & steel,automobiles
broadcasting & entertainment,automobiles
recreational products,diversified industrials
mobile telecommunications,diversified industrials
-,nonferrous metals
marine transportation,gas distribution
exploration & production,nonferrous metals
conventional electricity,specialty chemicals
fixed line telecommunications,exploration & production
software,coal
software,coal
pipelines,food products
pipelines,banks
brewers,cosmetics
specialty chemicals,logistics
publishing,broadcasting & entertainment
banks,retail
food products,coal
consumer electronics,engineering and machinery
mobile telecommunications,nonferrous metals
defense,broadcasting & entertainment
banks,general mining
banks,brewers
banks,coal
banks,brewers
shipbuilding,engineering company
food products,software
fixed line telecommunications,airlines
commercial vehicles & trucks,apparel retailers
airlines,food concern
biotechnology,recreational services
-,fixed line telecommunications
industrial engineering,brewers
real estate holding and development,computer hardware
consumer finance,mobile telecommunications
computer services,commercial vehicles & trucks
business support services,exploration & production
computer services,exploration & production
food products,mobile telecommunications
brewers,mobile telecommunications
water,delivery services
water,broadcasting & entertainment
delivery services,railroads
clothing and accessories,broadcasting & entertainment
farming and fishing,conventional electricity
delivery services,delivery services
computer hardware,banks
business support services,full line insurance
clothing and accessories,machinery
real estate holding and development,travel & tourism
specialty chemicals,travel & tourism
restaurants and bars,conventional electricity
specialty finance,fruit and vegetable processing
delivery services,software
airlines,general retailers
specialty finance,commercial vehicles & trucks
iron and steel,software
general mining,diversified industrials
toys,broadcasting & entertainment
food products,mobile telecommunications
commercial vehicles and trucks,broadcasting & entertainment
real estate services,broadcasting & entertainment
food retailers and wholesalers,broadcasting & entertainment
marine transportation,soft drinks
food products,agricultural machinery
travel and tourism,brewers
commodity chemicals,recreational services
food products,utility vehicles
heavy construction,food retailers & wholesalers
specialized consumer services,defense
clothing and accessories,brewers
nondurable household products,brewers
financial services,paper
building materials and fixtures,industrial suppliers
biotechnology,banks
telecommunications equipment,pharmaceuticals
computer hardware,banks
exploration and production,travel & tourism
general mining,brewers
equity investment instruments,semiconductors
food products,port wine
publishing,software
diversified industrials,building materials & fixtures
food products,clothing & accessories
computer services,publishing
automobiles,travel & tourism
biotechnology,food products
building materials and fixtures,food retailers & wholesalers
pharmaceuticals,industrial suppliers
commercial vehicles and trucks,software
delivery services,delivery services
banks,food products
investment services,electronic equipment
recreational services,conventional electricity
software,defense
clothing and accessories,gas distribution
food retailers and wholesalers,software
computer services,-
computer services,general industries
nonferrous metals,media
consumer electronics,retail
business support services,food & beverage
rail transport,diversified industrials
diversified industrials,heavy construction
general mining,broadcasting & entertainment
computer hardware,pharmaceuticals
publishing,mobile telecommunications
mobile telecommunications,banks
fixed line telecommunications,general industries
investment services,software
aluminum,fixed line telecommunications
asset managers,software
recreational products,banks
recreational products,food retailers & wholesalers
consumer electronics,publishing
clothing and accessories,fixed line telecommunications
aerospace,software
equity investment instruments,broadcasting & entertainment
specialty chemicals,conventional electricity
specialty chemicals,paper
food products,fixed line telecommunications
fixed line telecommunications,building materials & fixtures
delivery services,diversified industrials
commercial vehicles and trucks,heavy construction
airlines,broadcasting & entertainment
pharmaceuticals,diversified industrials
biotechnology,-
business support services,farming & fishing
business support services,food products
airlines,tobacco
pharmaceuticals,airlines
broadcasting and entertainment,broadcasting & entertainment
general mining,paper
containers and packaging,full line insurance
general mining,publishing
containers and packaging,diversified industrials
commercial vehicles and trucks,brewers
life insurance,internet
food products,-
electronic equipment,durable household products
business support services,publishing
airlines,food retailers & wholesalers
automobiles,pharmaceuticals
specialty finance,durable household products
technology hardware,durable household products
food products,automobiles
industrial machinery,banks
electronic equipment,banks
durable household products,airlines
semiconductors,banks
industrial machinery,railroads
recreational products,hotels
durable household products,retail services
diversified industrials,food products
banks,personal products
airlines,automobiles
electronic equipment,software
banks,railroads
home improvement retailers,media agencies
banks,clothing & accessories
furnishings,commercial vehicles & trucks
specialized consumer services,food retailers & wholesalers
food retailers & wholesalers,travel & tourism
iron & steel,specialty retailers
commodity chemicals,food products
recreational products,mobile telecommunications
real estate holding & development,integrated oil & gas
recreational services,exploration & production
semiconductors,delivery services
paper,banks
business support services,fixed line telecommunications
aerospace,media agencies
heavy construction,travel & tourism
recreational products,commercial vehicles & trucks
specialized consumer services,exploration & production
banks,industrial suppliers
software,fixed line telecommunications
recreational products,software
telecommunications equipment,software
industrial machinery,software
computer hardware,airlines
distillers & vintners,consumer electronics
defense,fixed line telecommunications & mobile telecommunications
durable household products,pharmaceuticals
furnishings,-
beverages,railroads
telecommunications equipment,internet
furnishings,software
nondurable household products,fixed line telecommunications
automobiles,brewers
commodity chemicals,-
industrial machinery,mobile telecommunications
specialized consumer services,pharmaceuticals
automobiles,airlines
containers & packaging,defense
business training & employment agencies,heavy construction
airlines,electronic equipment
computer hardware,computer services
automobiles,durable household products
railroads,banks
exploration & production,investment services
biotechnology,real estate management & development
asset managers,electrical components & equipment
delivery services,banks
commercial vehicles & trucks,tires
beverages,iron & steel
recreational products,mobile telecommunications
commodity chemicals,investment services
automobiles,banks
banks,brewers
beverages,airlines
industrial suppliers,fixed line telecommunications
commercial vehicles & trucks,aluminum
auto components,broadcasting & entertainment
software,delivery services
commodity chemicals,banks
electronic equipment,conventional electricity
defense,exploration & production
auto components,exploration & production
automobiles,software
heavy construction,banks
distillers & vintners,mobile telecommunications
clothing & accessories,brewers
autonomous robots,pipelines
fixed line telecommunications,iron & steel
travel & tourism,commercial vehicles & trucks
automobiles,railroads
full line insurance,brewers
alternative electricity,software
full line insurance,airlines
iron & steel,automobiles
building materials & fixtures,automobiles
building materials & fixtures,footwear
,software
,fixed line telecommunications
,broadline retailers
,recreational products
,automobiles
,durable household products
,diversified industrials
,-
,pharmaceuticals
,industrial machinery
,transportation services
,food retailers & wholesalers
,mobile telecommunications
,specialty retailers
,transportation services
,delivery services
,railroads
,construction & materials
,airlines
,automobiles
,software
,software
,software
,-
,-
,heavy construction
,iron & steel
,heavy construction
,specialty retailers
,software
,pharmaceuticals
,software
,shipbuilding
,broadcasting & entertainment
,durable household products
,banks
,banks
,banks
,banks
,banks
,banks
,textiles
,banks
,broadcasting & entertainment
,travel & tourism
,food & beverage
,aerospace
,food products
,auto parts
,heavy construction
,exploration & production
,oil & gas distribution
,aerospace
,commercial vehicles & trucks
,heavy construction
,delivery services
,apparel retailers
,automobiles
,biotechnology
,food products
,food retailers & wholesalers
,food products
,automobiles
,food retailers & wholesalers
,oil & gas distribution
,conventional electricity
,food retailers & wholesalers
,fixed line telecommunications
,durable household products
,heavy construction
,clothing & accessories
,-
,heavy construction
,renewable energy equipment
,oil & gas distribution
,-
,telecommunications equipment
,water
,auto parts
,food products
,oil & gas distribution
,furnishings
,building materials & fixtures
,brewers
,food retailers & wholesalers
,conventional electricity
,airlines
,telecommunications equipment
,food products
,apparel retailers
,aerospace
,real estate holding & development
,commercial vehicles & trucks
,clothing & accessories
,apparel retailers
,banks
,food retailers & wholesalers
,food products
,recreational products
,food products
,brewers
,clothing & accessories
,apparel retailers
,full line insurance
,software
,broadcasting & entertainment
,hotels
,food retailers & wholesalers
,-
,full line insurance
,recreational products
,-
,shipbuilding
,hotels
,shipbuilding
,heavy construction
,recreational products
,travel & tourism
,food products
,publishing
,building materials & fixtures
,broadcasting & entertainment
,broadcasting & entertainment
,business support services
,software
,conventional electricity
,travel & tourism
,integrated oil & gas
,broadcasting & entertainment
,hotels
,heavy construction
,automobiles
,automobiles
,heavy construction
,aerospace
,commercial vehicles & trucks
,oil equipment & services
,fixed line telecommunications
,restaurants & bars
,internet
,building materials & fixtures
,food products
,consumer electronics
,mobile telecommunications
,airlines
,apparel retailers
,broadcasting & entertainment
,biotechnology
,food products
,food products
,recreational products
,software
,software
,clothing & accessories
,business support services
,exploration & production
,broadline retailers
,industrial machinery
,industrial machinery
,industrial machinery
,pharmaceuticals
,mobile telecommunications
,industrial suppliers
,diversified industrials
,industrial machinery
,industrial suppliers
,pharmaceuticals
,diversified industrials
,commercial vehicles & trucks
,business support services
,software
,investment services
,-
,-
,food retailers & wholesalers
,computer hardware
,defense
,diversified industrials
,fixed line telecommunications
,nondurable household products
,industrial machinery
,gambling
,biotechnology
,paper
,industrial suppliers
,pharmaceuticals
,clothing & accessories
,defense
,commercial vehicles & trucks
,general mining
,commercial vehicles & trucks
,building materials & fixtures
,broadcasting & entertainment
,airlines
,fixed line telecommunications
,toys
,investment services
,industrial machinery
,investment services
,gambling
,health care providers
,clothing & accessories
,home improvement retailers
,recreational products
,food products
,software
,fixed line telecommunications
,fixed line telecommunications
,food retailers & wholesalers
,investment services
,mobile telecommunications
,business support services
,commercial vehicles & trucks
,travel & tourism
,biotechnology
,commercial vehicles & trucks
,iron & steel
,telecommunications equipment
,software
,software
,business support services
,durable household products
,health care providers
,recreational products
,furnishings
,broadline retailers
,software
,internet
,internet
,telecommunications equipment
,business support services
,conventional electricity
,industrial suppliers
,business support services
,building materials & fixtures
,software
,clothing & accessories
,clothing & accessories
,business support services
,banks
,investment services
,software
,clothing & accessories
,food products
,broadline retailers
,medical equipment
,heavy construction
,delivery services
,-
,business support services
,apparel retailers
,recreational products
,recreational products
,auto parts
,recreational products
,banks
,recreational products
,specialty retailers
,clothing & accessories
,business support services
,fixed line telecommunications
,iron & steel
,paper
,automobiles
,industrial suppliers
,commercial vehicles & trucks
,software
,broadline retailers
,software
,banks
,software
,railroads
,software
,computer hardware
,investment services
,investment services
,investment services
,personal products
,software
,clothing & accessories
,software
,railroads
,recreational products
,industrial machinery
,investment services
,broadline retailers
,commercial vehicles & trucks
,automobiles
,consumer co-operatives
,brewers
,building materials & fixtures
,brewers
,food products
,investment services
,full line insurance
,banks
,farming & fishing
,gambling
,apparel retailers
,airlines
,general mining
,business support services
,exploration & production
,consumer electronics
,software
,conventional electricity
,broadcasting & entertainment
,software
,software
,pharmaceuticals
,specialty chemicals
,broadcasting & entertainment
,software
,medical equipment
,recreational products
,software
,recreational products
,semiconductors
,investment services
,heavy construction
,publishing
,computer hardware
,airlines
,durable household products
,travel & tourism
,diversified industrials
,broadline retailers
,-
,general industries
,clothing & accessories
,iron & steel
,telecommunications equipment
,exploration & production
,clothing & accessories
,auto parts
,broadline retailers
,pharmaceuticals
,personal products
,building materials & fixtures
,commercial vehicles & trucks
,iron & steel
,food products
,software
,heavy construction
,software
,medical equipment
,pharmaceuticals
,food products
,delivery services
,delivery services
,household goods
,brewers
,building materials & fixtures
,health care providers
,business support services
,real estate holding & development
,software
,pharmaceuticals
,travel & tourism
,software
,banks
,automobiles
,aerospace
,software
,industrial engineering
,airlines
,paper
,software
,hotels
,automobiles
,software
,investment services
,software
,business support services
,business support services
,business support services
,broadcasting & entertainment
,specialty retailers
,recreational products
,software
,travel & tourism
,investment services
,banks
,heavy construction
,conventional electricity
,industrial suppliers
,software
,software
,paper
,industrial engineering
,brewers
,internet
,broadcasting & entertainment
,iron & steel
,software
,travel & tourism
,-
,durable household products
,investment services
,banks
,conventional electricity
,broadcasting & entertainment
,business support services
,banks
,tobacco
,meat
,health care providers
,aerospace
,industrial machinery
,mobile telecommunications
,business support services
,software
,software
,fixed line telecommunications
,software
,mobile telecommunications
,broadcasting & entertainment
,mobile telecommunications
,containers & packaging
,automobiles
,internet
,fixed line telecommunications
,business support services
,fixed line telecommunications
,software
,banks
,broadcasting & entertainment
,iron & steel
,conventional electricity
,recreational products
,soft drinks
,diversified industrials
,conventional electricity
,forestry
,commercial vehicles & trucks
,commercial vehicles & trucks
,investment services
,auto parts
,commercial vehicles & trucks
,durable household products
,marine transportation
,food products
,restaurants & bars
,clothing & accessories
,broadcasting & entertainment
,software
,broadcasting & entertainment
