05-MalPatSaj-name,07-silvestri-name,08-slytherin-name
wacker chemie,,wacker chemie
rajesh exports,,rajesh exports
bawag group,,bawag group
sinotrans ltd.,,sinotrans ltd.
will semiconductor,,will semiconductor
dexcom,,dexcom
cpi property group,,cpi property group
harbin bank,,harbin bank
kingboard holdings,,kingboard holdings
autodesk,,autodesk
china shipbuilding industry,,china shipbuilding industry
ceconomy,,ceconomy
hirogin holdings,,hirogin holdings
twitter,,twitter
jyske bank,,jyske bank
hengyi petrochemical,,hengyi petrochemical 
cerner,,cerner
gunma bank,,gunma bank
sahara international petrochemical,,sahara international petrochemical
bank of zhengzhou,,bank of zhengzhou
china merchants port holdings,,china merchants port holdings
wpg holdings,,wpg holdings
sunny optical technology group,,sunny optical technology group
zheshang development group,,zheshang development group
bank pekao,,bank pekao
singapore airlines,,singapore airlines
united natural foods,,united natural foods
uniqa,,uniqa
next,,next
china resources beer (holdings),,china resources beer (holdings)
strabag,,strabag
asian paints,,asian paints
chang hwa bank,,chang hwa bank
huntsman,,huntsman
doosan,,doosan
sba communications,,sba communications
datadog,,datadog
lg uplus,,lg uplus
organon,,organon
pbf energy,,pbf energy
iveco group,,iveco group
arca continental,,arca continental
shanghai commercial & savings bank,,shanghai commercial & savings bank
piraeus financial holdings,,piraeus financial holdings
daishi hokuetsu financial group,,daishi hokuetsu financial group
resmed,,resmed
bj's wholesale club,,bj's wholesale club
pvh,,pvh
77 bank,,77 bank
petro rabigh,,petro rabigh
adani transmission,,adani transmission
zalando,,zalando
eurobank ergasias,,eurobank ergasias
pool,,pool
chugoku bank,,chugoku bank
m3,,m3
sumec corporation,,sumec corporation
aramark,,aramark
china industrial securities,,china industrial securities
focus media information technology,,focus media information technology
ramsay health care,,ramsay health care
cullen/frost bankers,,cullen/frost bankers
live nation entertainment,,live nation entertainment
emera,,emera
hoshine silicon industry,,hoshine silicon industry
qinghai salt lake industry,,qinghai salt lake industry
starwood property trust,,starwood property trust
nexi s.p.a.,,nexi s.p.a.
aecom technology,,aecom technology
alpha bank,,alpha bank
baywa,,baywa
sqm,,sqm
fmc,,fmc
shaw communications,,shaw communications
bausch health companies,,bausch health companies
tech mahindra,,tech mahindra
var energi asa,,var energi asa
bank of qingdao,,bank of qingdao
mitsubishi motors,,mitsubishi motors
moscow exchange,,moscow exchange
rite aid,,rite aid
waters,,waters
li ning,,li ning
abu dhabi islamic bank,,abu dhabi islamic bank
jiangxi bank,,jiangxi bank
mercuries & associates,,mercuries & associates
beigene,,beigene
pan pacific international holdings,,pan pacific international holdings
exor,,exor
daito trust construction,,daito trust construction
synnex technology intl,,synnex technology intl
adani total gas,,adani total gas
wuxi biologics,,wuxi biologics
johnson matthey,,johnson matthey
bayan resources,,bayan resources
burlington stores,,burlington stores
credito emiliano,,credito emiliano
alfresa holdings,,alfresa holdings
bandai namco holdings,,bandai namco holdings
faw jiefang group,,faw jiefang group
constellation software,,constellation software
bajaj auto,,bajaj auto
chewy,,chewy
shandong hualu-hengsheng chemical,,shandong hualu-hengsheng chemical
avenue supermarts,,avenue supermarts
lindt & sprungli,,lindt & sprungli
skf group,,skf group
iyo bank,,iyo bank
juroku  financial group,,juroku  financial group
akamai technologies,,akamai technologies
ems-chemie holding,,ems-chemie holding
medical properties trust,,medical properties trust
taiwan business bank,,taiwan business bank
zhejiang chint electrics,,zhejiang chint electrics
newell brands,,newell brands
first pacific,,first pacific
bank of jiujiang,,bank of jiujiang
dgb financial group,,dgb financial group
power assets holdings,,power assets holdings
xinyi glass holdings,,xinyi glass holdings
toll brothers,,toll brothers
pik group,,pik group
foot locker,,foot locker
bank of suzhou,,bank of suzhou
hyundai engineering,,hyundai engineering
american equity investment,,american equity investment
advantest,,advantest
avnet,,avnet
hyakugo bank,,hyakugo bank
lucid motors,,lucid motors
cspc pharmaceutical group,,cspc pharmaceutical group
atos,,atos
manpower,,manpower
hotai motor,,hotai motor
smoore international holdings,,smoore international holdings
clorox,,clorox
dcc,,dcc
gjensidige forsikring,,gjensidige forsikring
ford otosan,,ford otosan
bank of queensland,,bank of queensland
fortune brands home & security,,fortune brands home & security
lear,,lear
service corp intl,,service corp intl
korea zinc,,korea zinc
qingdao rural commercial bank,,qingdao rural commercial bank
tosoh,,tosoh
doordash,,doordash
cloudflare,,cloudflare
jointown pharmaceutical group,,jointown pharmaceutical group
showa denko,,showa denko
kawasaki heavy industries,,kawasaki heavy industries
deutsche pfandbriefbank,,deutsche pfandbriefbank
nio,,nio
ultrapar participacoes,,ultrapar participacoes
american national group,,american national group
ogaki kyoritsu bank,,ogaki kyoritsu bank
bendigo & adelaide bank,,bendigo & adelaide bank
tongling nonferrous metals,,tongling nonferrous metals
electric power development,,electric power development
salzgitter,,salzgitter
suzuken,,suzuken
shiga bank,,shiga bank
sartorius,,sartorius
tsim sha tsui properties,,tsim sha tsui properties
qilu bank,,qilu bank
horizon therapeutics public limited company,,horizon therapeutics public limited company
prysmian,,prysmian
crescent point energy,,crescent point energy
info edge india,,info edge india
finecobank,,finecobank
hubei biocause pharmaceutical,,hubei biocause pharmaceutical
icon (ireland),,icon (ireland)
yunnan copper co. ltd.,,yunnan copper co. ltd.
booz allen hamilton holding,,booz allen hamilton holding
red eléctrica,,red eléctrica
senshu ikeda holdings,,senshu ikeda holdings
banca popolare di sondrio,,banca popolare di sondrio
zhejiang expressway co. ltd.,,zhejiang expressway co. ltd.
wsp,,wsp
lpl financial holdings,,lpl financial holdings
mid-america apartment communities,,mid-america apartment communities
titan (india),,titan (india)
beijing oriental yuhong waterproof technology,,beijing oriental yuhong waterproof technology
sistema,,sistema
wayfair,,wayfair
zscaler,,zscaler
dangote cement,,dangote cement
ricoh,,ricoh
trade desk,,trade desk
chr. hansen holding,,chr. hansen holding
jd sports fashion,,jd sports fashion
aeroports de paris,,aeroports de paris
banque cantonale vaudoise,,banque cantonale vaudoise
amadeus it group,,amadeus it group 
bank of lanzhou,,bank of lanzhou
digital china group,,digital china group
korean air,,korean air
san-in godo bank,,san-in godo bank
cpfl energia,,cpfl energia
airports of thailand,,airports of thailand
nanto bank,,nanto bank
toho bank,,toho bank
veeva systems,,veeva systems
aier eye hospital group,,aier eye hospital group
keiyo bank,,keiyo bank
abrdn,,abrdn
kyndryl holdings,,kyndryl holdings
qurate retail group,,qurate retail group
cosco shipping development,,cosco shipping development
huaibei mining holdings,,huaibei mining holdings
inventec,,inventec
hanwa,,hanwa
pt saratoga investama sedaya,,pt saratoga investama sedaya
saputo,,saputo
shimizu,,shimizu
e-l financial,,e-l financial
basler kantonalbank,,basler kantonalbank
snap-on,,snap-on
luzerner kantonalbank,,luzerner kantonalbank
zhangzhou pientzehuang pharmaceutical,,zhangzhou pientzehuang pharmaceutical
kinnevik,,kinnevik
vietnam technological & commercial joint stock bank,,vietnam technological & commercial joint stock bank
fibi holdings,,fibi holdings
wesco international,,wesco international
yunnan yuntianhua,,yunnan yuntianhua
sitc international holdings,,sitc international holdings
anhui water resources development,,anhui water resources development
tokyo kiraboshi financial group,,tokyo kiraboshi financial group
tenneco,,tenneco
pacwest bancorp,,pacwest bancorp
bank of gansu,,bank of gansu
barry callebaut,,barry callebaut
grupa lotos,,grupa lotos
yunnan energy new material,,yunnan energy new material
sca,,sca
acwa power,,acwa power
f&f,,f&f
pennymac financial services,,pennymac financial services
aareal bank,,aareal bank
essex property trust,,essex property trust
nanjing iron & steel,,nanjing iron & steel
samsung sds,,samsung sds
aozora bank,,aozora bank
electrolux group,,electrolux group
azrieli group,,azrieli group
brown & brown,,brown & brown
times property holdings,,times property holdings
gold fields,,gold fields
commerce bancshares,,commerce bancshares
tmb bank,,tmb bank
china aviation oil,,china aviation oil
nippon steel trading,,nippon steel trading
webster financial,,webster financial
novatek microelectronics corp.,,novatek microelectronics corp.
persimmon,,persimmon
seagen,,seagen
commercial metals,,commercial metals
mongodb,,mongodb
bank of xi'an,,bank of xi'an
grifols,,grifols
murphy usa,,murphy usa
cencosud,,cencosud
ares management,,ares management
kiyo bank,,kiyo bank 
shandong iron and steel,,shandong iron and steel
parkland,,parkland
central bank of india,,central bank of india
galaxy entertainment,,galaxy entertainment
teledyne technologies,,teledyne technologies
dexus,,dexus
palantir technologies,,palantir technologies
rothschild & co.,,rothschild & co.
wintrust financial,,wintrust financial
costar group,,costar group
banque centrale populaire,,banque centrale populaire
mr. cooper group,,mr. cooper group
xiamen xinde,,xiamen xinde
ayala corp,,ayala corp
shanghai fosun pharmaceutical,,shanghai fosun pharmaceutical
shenzhen inovance technology,,shenzhen inovance technology
genmab,,genmab
ansys,,ansys
tmx group,,tmx group
gap,,gap
hyakujushi bank,,hyakujushi bank
asm international,,asm international
tokyu fudosan,,tokyu fudosan
albemarle,,albemarle
bradespar,,bradespar
aristocrat leisure,,aristocrat leisure
hainan airlines holding,,hainan airlines holding
metropolitan bank & trust,,metropolitan bank & trust
robert half international,,robert half international
shanghai yuyuan tourist mart,,shanghai yuyuan tourist mart
bread financial holdings,,bread financial holdings
healthpeak properties,,healthpeak properties
steris,,steris
yamada denki,,yamada denki
xpo logistics,,xpo logistics
hera,,hera
intco medical technology,,intco medical technology
adnoc drilling,,adnoc drilling
hokkoku financial holdings,,hokkoku financial holdings
shenzhou international group holdings,,shenzhou international group holdings
far eastern new century,,far eastern new century
farfetch,,farfetch
huali industrial group,,huali industrial group
jindal steel & power,,jindal steel & power
mashreq bank,,mashreq bank
zall smart commerce group,,zall smart commerce group
fcc,,fcc
veon,,veon
avichina industry & technology,,avichina industry & technology
masco,,masco
weihai city commercial bank,,weihai city commercial bank
cadence bank,,cadence bank
yamato holdings,,yamato holdings
musashino bank,,musashino bank
pinnacle bank,,pinnacle bank
jinshang bank,,jinshang bank
seiko epson,,seiko epson
ampol,,ampol 
jb financial group,,jb financial group
tapestry,,tapestry
logitech international,,logitech international
fertiglobe,,fertiglobe
wt microelectronics,,wt microelectronics
group 1 automotive,,group 1 automotive
unity software,,unity software
china petroleum engineering,,china petroleum engineering
li auto,,li auto
swedish match,,swedish match
twilio,,twilio
whitecap resources,,whitecap resources
efg international,,efg international
grandjoy holdings group,,grandjoy holdings group
kloeckner & co,,kloeckner & co
match group,,match group
onex,,onex
wingtech technology,,wingtech technology
aperam,,aperam
shenzhen feima international supply chain,,shenzhen feima international supply chain
nmdc,,nmdc
sichuan changhong electric,,sichuan changhong electric
satellite chemical,,satellite chemical
sun communities,,sun communities
