,index,address,est_of_ownership,hhid,industry,name,country,sic_code,type
127,127,"piazza santa barbara 7, san donato milanese, 20097, milano, italy",1941,h-it0057455139,"finance, insurance, and real estate",snam spa,italy,holding company (6719),corporation
128,128,"corso di porta vittoria 4, milano, 20122, milano, italy",1999,h-it0051290006,"transportation, communications, electric, gas, and sanitary services",a2a energia spa,italy,electric services (4911),corporation
129,129,"via marchese campodisola 13, napoli, 80133, napoli, italy",1945,h-it0029356407,"transportation, communications, electric, gas, and sanitary services",grimaldi group spa,italy,water freight transportation (4449),corporation
130,130,"via valpantena 18/g, verona, 37142, verona, italy",1984,h-it0029714915,services,veronesi holding spa,italy,data processing/preparation (7374),corporation
131,131,"via felice matteucci 2, firenze, 50127, firenze, italy",1954,h-it0073428639,manufacturing,nuovo pignone international srl,italy,mfg general industrial machinery (3569),corporation
132,132,"via enrico mattei 50, dueville, 36031, vicenza, italy",1969,h-it0027831833,"finance, insurance, and real estate",gruppo unicomm spa,italy,holding company (6719),corporation
133,133,"via palermo 26/a, parma, 43122, parma, italy",1935,h-it0061929093,manufacturing,chiesi farmaceutici spa,italy,mfg pharmaceutical preparations (2834),corporation
134,134,"stradello marche 6, parma, 43121, parma, italy",1990,h-it0009252584,"finance, insurance, and real estate",valline srl,italy,holding company (6719),corporation
135,135,"viale giorgio ribotta 51, roma, 00144, roma, italy",1985,h-it0008914168,retail trade,eni fuel spa,italy,gasoline service station (5541),corporation
136,136,"via fratelli di dio 2, novate milanese, 20026, milano, italy",1944,h-it0008052069,"finance, insurance, and real estate",comifar spa,italy,misc business credit institutions (6159),corporation
137,137,"strada provinciale arceviese 139/a, fabriano, 60044, ancona, italy",1930,h-it0011430680,manufacturing,whirlpool emea spa,italy,mfg electric housewares/fans (3634),corporation
138,138,"via dell'unione europea 1, san donato milanese, 20097, milano, italy",1973,h-it0009532196,retail trade,bmw italia spa,italy,ret new/used automobiles (5511),corporation
139,139,"via bure vecchia nord 10, pistoia, 51100, pistoia, italy",1964,h-it0216517075,wholesale trade,conad nord ovest societa' cooperativa a r.l.,italy,whol general groceries (5141),corporation
140,140,"via santa reparata 43, firenze, 50129, firenze, italy",1891,h-it0027424928,"finance, insurance, and real estate",unicoop firenze soc coop,italy,real property lessor (6519),corporation
141,141,"via campalto 3/d, san martino buon albergo, 37036, verona, italy",1992,h-it0069606331,wholesale trade,spesa intelligente spa,italy,whol groceries (5149),corporation
142,142,"piazza salimbeni 3, siena, 53100, siena, italy",1472,h-it0028646150,"finance, insurance, and real estate",banca monte dei paschi di siena spa,italy,national commercial bank (6021),corporation
143,143,"viale giuseppe mazzini 14, roma, 00195, roma, italy",2001,h-it0052507467,"transportation, communications, electric, gas, and sanitary services",rai radiotelevisione italiana spa,italy,television station (4833),corporation
144,144,"via portici umberto i 5/3, malcesine, 37018, verona, italy",2018,h-it0062449729,"finance, insurance, and real estate",de la costa srl,italy,holding company (6719),corporation
145,145,"via monte baldo 20, villafranca di verona, 37062, verona, italy",2008,h-it0002216302,"finance, insurance, and real estate",calzedonia holding spa,italy,holding company (6719),corporation
146,146,"piazzetta giordano dell'amore 3, milano, 20121, milano, italy",1983,h-it0036432156,"finance, insurance, and real estate",eurizon capital sgr spa,italy,investment advisory service (6282),corporation
147,147,"via amilcare ponchielli 7, milano, 20129, milano, italy",2008,h-it0004175387,"finance, insurance, and real estate",finiper canova group spa,italy,holding company (6719),corporation
148,148,"via san carlo 8/20, modena, 41121, modena, italy",1867,h-it0051823365,"finance, insurance, and real estate",bper banca spa,italy,national commercial bank (6021),corporation
149,149,"via delle industrie 8, spinea, 30038, venezia, italy",1958,h-it0034418431,"finance, insurance, and real estate",gecos - generale di commercio e servizi spa,italy,holding company (6719),corporation
150,150,"via delle industrie 8, spinea, 30038, venezia, italy",1980,h-it0000168572,wholesale trade,gruppo pam spa,italy,whol general groceries (5141),corporation
151,151,"circonvallazione idroscalo snc, segrate, 20054, milano, italy",1927,h-it0070576246,services,ibm italia spa,italy,custom computer programming (7371),corporation
152,152,"viale europa 2, stezzano, 24040, bergamo, italy",1971,h-it0014781409,manufacturing,brembo spa,italy,mfg motor vehicle parts/accessories (3714),corporation
153,153,"via monte ortigara 5, bergamo, 24121, bergamo, italy",2004,h-it0002214997,"finance, insurance, and real estate",nuova fourb srl,italy,holding company (6719),corporation
