02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,02-GioPonSpiz-sector,05-MalPatSaj-sector,02-GioPonSpiz-name,05-MalPatSaj-name,06-MarScoToc-name
financials,consumer goods,,banks,food products,central bank of ireland,evga s.a.,
consumer services,utilities,,travel & tourism,water,cié,eydap,
consumer services,consumer services,,airlines,food & beverages,cityjet,fage,
consumer services,industrials,,broadcasting & entertainment,marine transportation,communicorp,fast ferries,
health care,consumer services,,medical equipment,restaurants & bars,covidien,flocafé,
industrials,consumer services,,building materials & fixtures,film production,crh plc,finos film,
technology,consumer goods,,software,brewers,cúram software,fix brewery,
consumer services,consumer goods,,transportation services,clothing & accessories,daa,folli follie,
industrials,telecommunications,,business support services,fixed line telecom.,dcc plc,forthnet,
consumer services,industrial,,broadline retailers,commercial refrigeration,dealz,frigoglass,
telecommunications,consumer services,,fixed line telecommunications,airlines,digiweb,gainjet aviation,
consumer services,consumer services,,food retailers & wholesalers,food retailers,doolittles,galaxias,
consumer services,industrials,,travel & tourism,heavy construction,dublin bus,gek terna,
consumer services,industrials,,broadline retailers,electrical components,dunnes stores,germanos group,
conglomerate,industrials,,-,marine transportation,eaton corporation,golden star ferries,
consumer services,consumer services,,specialty retailers,travel & leisure,eason & son,goody's burger house,
financials,consumer services,,banks,hospitality,ebs,grecotel,
consumer services,technology,,food retailers & wholesalers,internet,eddie rocket's,greek internet exchange,
consumer goods,consumer services,,clothing & accessories,media,edun,greek reporter,
telecommunications,consumer goods,,fixed line telecommunications,beverages,eir,greek wine cellars,
consumer services,consumer services,,broadcasting & entertainment,food & beverages,eir sport,green cola company,
utilities,consumer services,,conventional electricity,media,energia group,green cookie records,
utilities,consumer goods,,alternative electricity,food products,eqtec,haitoglou bros,
utilities,basic materials,,gas distribution,iron & steel,ervia,halyvourgiki steel,
utilities,consumer services,,conventional electricity,media,esb group,heaven music,
financials,telecommunications,,business services,space telecommunications,experian,hellas sat,
financials,industrials,,full line insurance,aerospace,fbd holdings,hellenic aerospace industry,
technology,consumer services,,software,broadcasting,fineos,hellenic broadcasting corporation,
financials,consumer services,,banks,ait traffic management,first trust bank,hellenic civil aviation authority,
consumer services,consumer services,,food retailers & wholesalers,broadline retailers,four star pizza,hellenic duty free shops,
consumer goods,utilities,,food products,electricity,fyffes,hellenic electricity distribution network operator,
consumer goods,oil & gas,,food products,exploration & production,glanbia,hellenic petroleum,
consumer goods,industrials,,consumer electronics,delivery services,glendimplex,hellenic post,
consumer services,infrastructure,,specialized consumer services,railway,gocar,hellenic railways organisation,
consumer goods,financials,,food products,real estate holding,greencore,asset development fund,
consumer services,consumer services,,apparel retailers,travel & leisure,guineys,hellenic seaplanes,
consumer goods,industrials,,brewers,marine transportation,guinness,hellenic seaways,
technology,industrials,,software,industrial transportation,havok,hellenic shipyards co.,
consumer services,technology,,broadline retailers,space,heatons,hellenic space organization,
consumer services,consumer goods,,biopharmaceutical,food producers,horizon therapeutics,hellenic sugar industry,
consumer services,industrials,,travel & tourism,commercial vehicles,iarnród éireann,hellenic vehicle industry,
consumer services,industrials,,publishing,building materials & fixtures,independent news & media,heracles general cement,
consumer services,utilities,,food retailers & wholesalers,conventional electricity,insomnia coffee company,heron s.a.,
technology,consumer services,,semiconductors,specialty retailers,intel ireland,hondos center,
technology,consumer services,,software,hotels,iona technologies,hotel grande bretagne,
consumer services,consumer services,,travel & tourism,publishing,irish citylink,ianos,
industrials,consumer services,,industrial transportation,media,irish continental group,i avgi,
industrials,consumer goods,,industrial transportation,recreational products,irish ferries,ideal bikes,
industrials,technology,,electrical components & equipment,software,johnson controls,imc technologies,
financials,consumer services,,banks,health,kbc bank ireland,interbalkan medical center,
consumer goods,technology,,food products,software & computer,kerry group,internetq,
industrials,technology,,building materials,software,kingspan group,intracom,
financials,industrials,,life insurance,heavy construction,laya healthcare,intrakat,
telecommunications,consumer services,,fixed line telecommunications,gambling,magnet networks,intralot,
industrials,consumer goods,,building materials & fixtures,food products,mannok,levante ferries,
health care,consumer goods,,medical equipment,household goods,medtronic,izola (dimitriou group),
telecommunications,industrials,,mobile telecommunications,marine transportation,meteor,kefalonian lines,
consumer services,technology,,travel & tourism,software,metro,iqsoft,
consumer services,consumer goods,,food retailers & wholesalers,toys,musgrave group,jumbo s.a.,
consumer services,consumer goods,,gambling,tobacco,national lottery,karelia fine tobaccos,
consumer services,consumer services,,travel & tourism,media,ni railways,kathimerini publishing s.a,
technology,industrials,,software,commercial vehicles & trucks,norkom,kioleides,
utilities,health care,,conventional electricity,cosmetics,northern ireland electricity,korres,
consumer services,consumer services,,travel & tourism,waste management,northern ireland transport holding company,kostoulas,
utilities,consumer services,,alternative electricity,electronics,ntr plc,kotsovolos,
consumer goods,consumer goods,,food products,food products,oatfield,kyknos,
consumer services,financials,,food retailers & wholesalers,energy investment,o'briens irish sandwich bars,lagie,
technology,consumer services,,software,publishing,openet,lambrakis press group,
consumer services,basic materials,,gambling,industrial metals & mining,paddy power,larco,
consumer goods,health care,,baked goods,pharmaceuticals,pat the baker,lavipharm,
financials,industrials,,life insurance,marine transportation,permanent tsb,levante ferries,
consumer services,conglomerates,,apparel retailers,–,penneys,libra group,
financials,consumer services,,banks,media,rabobank ireland,lobby music,
consumer services,consumer goods,,broadcasting & entertainment,soft drinks,raidió teilifís éireann,loux,
consumer services,industrials,,airlines,marine transportation,ryanair,majestic international cruises,
health care,consumer services,,pharmaceuticals,broadcasting,shire,makedonia tv,
telecommunications,consumer goods,,mobile telecommunications,beverages,smart telecom,malamatina,
consumer goods,conglomerates,,paper,–,smurfit kappa,marfin investment group,
consumer services,technology,,specialty retailers,software,smyths,marinetraffic,
consumer services,consumer services,,airlines,food retailers,stobart air,masoutis,
consumer services,consumer goods,,food retailers & wholesalers,food products,supermac's,melissa s.a.,
consumer services,consumer goods,,food retailers & wholesalers,distillers & vintners,supervalu,metaxa,
consumer services,industrials,,broadcasting & entertainment,heavy construction,teilifís na gaeilge,metka,
consumer services,consumer services,,food retailers & wholesalers,wholesalers,tesco ireland,metro s.a.,
consumer services,consumer goods,,travel & tourism,food products,the airporter,mevgal,
consumer services,consumer services,,publishing,restaurants & bars,thomas crosbie holdings,mikel coffee company,
telecommunications,industrials,,fixed line telecommunications,marine transportation,three ireland,minoan lines,
consumer goods,consumer goods,,beverages,beverages,tipperary natural mineral water,minos wines,
consumer services,consumer goods,,broadcasting & entertainment,food products,today fm,misko,
conglomerate,consumer goods,,-,beverages,trane technologies,mythos brewery,
industrials,consumer services,,heavy construction,media,transport infrastructure ireland,minos emi,
consumer services,technology,,broadcasting & entertainment,software,virgin media television,mls innovation s.a.,
health care,industrials,,pharmaceuticals,transportation services,udg healthcare,moreas motorway s.a.,
financials,industrials,,banks,commercial vehicles,ulster bank,motomarine,
consumer services,oil & gas,,travel & tourism,exploration & production,ulsterbus foyle,motor oil hellas,
consumer services,conglomerates,,travel & tourism,–,ulsterbus,mytilineos holdings,
financials,consumer services,,life insurance,media,vhi healthcare,naftemporiki,
telecommunications,consumer goods,,fixed line telecommunications,automobiles & parts,virgin media ireland,namco,
technology,technology,,software,software,vizor,natech,
telecommunications,financials,,mobile telecommunications,banks,vodafone ireland,national bank of greece,
consumer services,industrials,,broadcasting & entertainment,marine transportation,wireless group,navios maritime holdings,
industrials,industrials,,commercial vehicles & trucks,commercial vehicles,wrightbus,neorion,
consumer services,consumer services,,airlines,media,asl airlines hungary,mega channel,
consumer services,consumer goods,,broadcasting & entertainment,automobiles & parts,association of hungarian record companies,nipponia,
technology,technology,,computer services,research,balabit,national hellenic research foundation,
consumer services,industrials,,travel & tourism,mechanical equipment,bkv zrt.,nick silver pickups,
consumer goods,oil & gas,,brewers,exploration & production,borsod brewery,ocean rig,
basic materials,financials,,specialty chemicals,banks,borsodchem,optima bank,
consumer services,industrials,,airlines,transportation services,budapest aircraft service,olympia odos consortium,
consumer services,consumer services,,food retailers & wholesalers,airlines,cba,olympic air,
consumer services,consumer services,,broadcasting & entertainment,food & beverages,amc networks international central europe,olympos,
financials,consumer services,,banks,airlines,cib bank,olympus airways,
consumer services,consumer services,,recreational services,gambling,cinema city hungary,opap,
consumer services,financials,,airlines,banks,cityline hungary,optima bank,
consumer services,consumer goods,,broadcasting & entertainment,recreational products,cls music,orient bikes,
consumer services,telecommunications,,broadcasting & entertainment,fixed line telecom.,corvin film,ote,
industrials,telecommunications,,aerospace,broadband and internet,corvus hungary,oteglobe,
consumer goods,consumer goods,,automobiles,beverages,csepel,ouzo plomari,
consumer services,consumer goods,,hotels,food products,danubius hotels group,papadopoulos,
technology,consumer goods,,software,tobacco,digital reality,papastratos,
consumer goods,technology,,brewers,type foundry,dreher brewery,parachute type foundry,
industrials,consumer services,,building materials & fixtures,sports,fegyver- és gépgyár,pas giannina f.c.,
financials,consumer goods,,banks,beverages,fhb mortgage bank,peiraiki,
consumer goods,consumer goods,,automobiles,automobiles & parts,ganz works,petropoulos a.e.b.e.,
health care,financials,,pharmaceuticals,banks,richter gedeon co.,piraeus bank,
consumer services,consumer services,,broadcasting & entertainment,hospitality,gramy records,porto carras,
technology,technology,,software,software & computer,graphisoft,pouliadis associates corporation,
consumer services,industrials,,restaurants & bars,mechanical equipment,gundel,prapopoulos bros s.a.,
consumer goods,technology,,food products,software & computer,győri keksz,profile systems and software,
consumer services,oil & gas,,broadcasting & entertainment,"oil equip., serv. & distr.",hálózat tv,prometheus gas,
consumer goods,consumer services,,food & beverage,publishing,hell energy,psichogios publications,
consumer goods,oil & gas,,durable household products,alternative energy,herend porcelain manufactory,public power corporation,
financials,consumer goods,,banks,household goods,hungarian national bank,pyramis,
industrials,consumer goods,,railroads,automobiles & parts,hungarian state railways,rch,
consumer services,technology,,broadcasting & entertainment,research,hungaroton,research acad. computer tech. institute,
consumer services,consumer goods,,broadcasting & entertainment,beverages,hunnia film studio,brink's,
industrials,consumer services,,commercial vehicles & trucks,media,ikarus bus,roar! rock of angels records,
financials,industrials,,banks,heavy construction,international training center for bankers,rokas constructions s.a.,
technology,consumer goods,,software,beverages,invictus games,santorini brewing company,
technology,consumer goods,,software,automobiles & parts,ip systems,saracakis,
technology,industrials,,internet,marine transportation,iwiw,seajets,
financials,oil & gas,,banks,"oil equip., serv. & distr.",k&h bank,seka,
consumer goods,consumer services,,durable household products,food & beverages,lehel,sergal,
industrials,consumer goods,,delivery services,automobiles & parts,magyar posta,sfakianakis,
telecommunications,consumer services,,fixed line telecommunications,media,magyar telekom,skai group,
basic materials,consumer services,,aluminum,airlines,mal hungarian aluminium,sky express,
consumer services,consumer services,,airlines,media,malév,sleaszy rider records,
consumer services,financials,,food retailers & wholesalers,full line insurance,match,social insurance institute,
financials,consumer goods,,banks,nondurable products,mkb bank,softex,
oil & gas,technology,,exploration & production,research,mol group,space internetworking center,
consumer services,consumer services,,broadcasting & entertainment,media,mtva,spinalonga records,
consumer services,consumer services,,travel & tourism,media,mvk zrt.,star channel,
utilities,industrials,,conventional electricity,aerospace & defense,mvm group,state aircraft factory,
technology,industrials,,software,industrial transportation,neocoregames,superfast ferries,
health care,industrials,,medical equipment,industrial engineering,oncotherm,temax,
utilities,consumer goods,,water,food products,organica technologies,terkenlis,
industrials,oil & gas,,electronic equipment,alternative energy,orion electronics,terna energy,
financials,consumer services,,banks,media,otp bank,the spicy effect,
telecommunications,consumer services,,mobile telecommunications,travel & leisure,pannon,thessaloniki metro,
consumer services,consumer goods,,broadcasting & entertainment,food products,pannonia film studio,thessaloniki waterbus,
oil & gas,industrials,,exploration & production,defense,panrusgáz,theon sensors,
consumer goods,industrials,,brewers,construction & materials,pécs brewery,titan cement,
consumer goods,consumer services,,food products,travel & leisure,pick szeged,trainose,
technology,consumer goods,,software,automobiles & parts,prezi,tropical,
industrials,consumer goods,,aerospace,beverages,puli space technologies,tsantali,
consumer goods,industrials,,automobiles,marine transportation,rába,variety cruises,
technology,industrials,,software,marine transportation,scarab research,ventouris ferries,
consumer services,oil & gas,,publishing,exploration & production,state printing company,vegas oil and gas,
consumer services,health care,,gambling,biotechnology,szerencsejáték zrt.,vianex s.a.,
financials,basic materials,,banks,industrial metals & mining,takarékbank,viohalco,
industrials,consumer services,,electronic equipment,technology,thalesnano,viva services,
consumer goods,consumer goods,,clothing & accessories,food producers,tisza cipő,vivartia,
consumer goods,telecommunications,,distillers & vintners,mobile telecommunications,törley,vodafone greece,
consumer services,utilities,,airlines,conventional electricity,travel service,watt+volt,
financials,telecommunications,,real estate holding & development,fixed line telecom.,trigránit,wind hellas,
industrials,industrials,,electrical components & equipment,marine transportation,tungsram,zante ferries,
consumer services,consumer services,,broadcasting & entertainment,airlines,turner broadcasting system hungary,asl airlines hungary,
telecommunications,consumer services,,fixed line telecommunications,broadcasting & entertainment,upc magyarország,association of hungarian record companies,
consumer goods,technology,,consumer electronics,computer services,videoton,balabit,
technology,consumer services,,computer services,travel & tourism,virusbuster,bkv zrt.,
telecommunications,consumer goods,,mobile telecommunications,brewers,vodafone hungary,borsod brewery,
consumer services,basic materials,,airlines,specialty chemicals,wizz air,borsodchem,
technology,consumer services,,software,airlines,zen studios,budapest aircraft service,
consumer goods,consumer services,,durable household products,food retailers & wholesalers,zsolnay,cba,
consumer goods,consumer services,,distillers & vintners,broadcasting & entertainment,zwack,amc networks international central europe,
consumer services,financials,,media,banks,4e tv,cib bank,
consumer goods,consumer services,,food products,recreational services,abea,cinema city hungary,
consumer goods,consumer services,,beverages,airlines,achaia clauss,cityline hungary,
utilities,consumer services,,electricity,broadcasting & entertainment,admie,cls music,
consumer services,consumer services,,travel & leisure,broadcasting & entertainment,aegean airlines,corvin film,
industrials,industrials,,transportation services,aerospace,aegean motorway s.a.,corvus hungary,
industrials,consumer goods,,marine transportation,automobiles,aegean speed lines,csepel,
industrials,consumer services,,heavy construction,hotels,aegek sa,danubius hotels group,
financials,technology,,financial services,software,aeolian investment fund s.a.,digital reality,
consumer services,consumer goods,,airlines,brewers,air mediterranean,dreher brewery,
consumer services,industrials,,food retailers,building materials & fixtures,alfa-beta vassilopoulos,fegyver- és gépgyár,
consumer goods,financials,,food products,banks,allatini,fhb mortgage bank,
financials,consumer goods,,banks,automobiles,alpha bank,ganz works,
consumer services,health care,,media,pharmaceuticals,alpha records,richter gedeon co.,
consumer services,consumer services,,media,broadcasting & entertainment,alpha tv,gramy records,
basic materials,technology,,industrial metals & mining,software,alumil aluminium industry s.a,graphisoft,
basic materials,consumer services,,industrial metals & mining,restaurants & bars,aluminium of greece,gundel,
consumer services,consumer goods,,travel & leisure,food products,amjet executive,győri keksz,
industrials,consumer services,,industrial transportation,broadcasting & entertainment,anek lines,hálózat tv,
consumer services,consumer goods,,media,food & beverage,ant1 group,hell energy,
consumer services,consumer goods,,media,durable household products,ant1,herend porcelain manufactory,
consumer goods,financials,,food products,banks,arapian,hungarian national bank,
industrials,industrials,,marine transportation,railroads,arcadia shipmanagement,hungarian state railways,
industrials,consumer services,,heavy construction,broadcasting & entertainment,archirodon,hungaroton,
technology,consumer services,,software & computer,broadcasting & entertainment,atcom,hunnia film studio,
financials,industrials,,equity investment,commercial vehicles & trucks,athens exchange,ikarus bus,
consumer services,financials,,travel & leisure,banks,athens international airport s.a.,international training center for bankers,
consumer services,technology,,media,software,athens-macedonian news agency,invictus games,
consumer services,technology,,travel & tourism,software,athens mass transit system,ip systems,
consumer services,technology,,travel & leisure,internet,athens metro,iwiw,
industrials,financials,,marine transportation,banks,atlas maritime,k&h bank,
financials,consumer goods,,banks,durable household products,attica bank,lehel,
industrials,industrials,,marine transportation,delivery services,attica group,magyar posta,
industrials,telecommunications,,transportation services,fixed line telecommunications,attiki odos consortium,magyar telekom,
technology,basic materials,,video game industry,aluminum,aventurine sa,mal hungarian aluminium,
industrials,consumer services,,marine transportation,airlines,avin international,malév,
financials,consumer services,,banks,food retailers & wholesalers,bank of greece,match,
consumer services,financials,,food & beverages,banks,barbastathis,mkb bank,
consumer services,oil & gas,,food retailers,exploration & production,bazaar,mol group,
consumer services,consumer services,,transportation networking,broadcasting & entertainment,beat,mtva,
industrials,consumer services,,heavy construction,travel & tourism,berios,mvk zrt.,
consumer goods,utilities,,industrial parts,conventional electricity,bioman,mvm group,
consumer services,technology,,media,software,black lotus records,neocoregames,
consumer services,health care,,airlines,medical equipment,bluebird airways,oncotherm,
industrials,utilities,,marine transportation,water,blue star ferries,organica technologies,
consumer services,industrials,,multimedia,electronic equipment,centric multimedia,orion electronics,
industrials,financials,,marine transportation,banks,ceres hellenic shipping enterprises,otp bank,
technology,telecommunications,,research,mobile telecommunications,cereteth,pannon,
industrials,consumer services,,heavy construction,broadcasting & entertainment,chalkis shipyards (aulida),pannonia film studio,
food & beveradges,oil & gas,,food & beveradges,exploration & production,chipita,panrusgáz,
consumer services,consumer goods,,food & beverages,brewers,coca-cola hellenic bottling company,pécs brewery,
consumer services,consumer goods,,restaurants & bars,food products,coffee island,pick szeged,
consumer services,technology,,publishing,software,compupress,prezi,
industrials,industrials,,heavy construction,aerospace,consolidated contractors company,puli space technologies,
telecommunications,consumer goods,,mobile telecommunications,automobiles,cosmote,rába,
industrials,technology,,marine transportation,software,costamare,scarab research,
oil & gas,consumer services,,exploration & production,publishing,depa,state printing company,
oil & gas,consumer services,,exploration & production,gambling,desfa,szerencsejáték zrt.,
consumer goods,financials,,automobiles & parts,banks,diana,takarékbank,
broadcast,industrials,,digital provider,electronic equipment,digea,thalesnano,
consumer services,consumer goods,,media,clothing & accessories,digital union,tisza cipő,
industrials,consumer goods,,marine transportation,distillers & vintners,dodekanisos seaways,törley,
industrials,consumer services,,marine transportation,airlines,dryships inc,travel service,
industrials,financials,,defense,real estate holding & development,eas,trigránit,
industrials,industrials,,transportation services,electrical components & equipment,egnatia odos s.a.,tungsram,
consumer goods,consumer services,,household goods,broadcasting & entertainment,elco,turner broadcasting system hungary,
consumer goods,telecommunications,,soft drinks,fixed line telecommunications,epsa,upc magyarország,
industrials,consumer goods,,heavy construction,consumer electronics,elefsis shipyards,videoton,
basic materials,technology,,speciality chemicals,computer services,elfe,virusbuster,
industrials,telecommunications,,heavy construction,mobile telecommunications,ellaktor,vodafone hungary,
consumer services,consumer services,,airlines,airlines,ellinair,wizz air,
oil & gas,technology,,exploration & production,software,energean oil & gas,zen studios,
consumer services,consumer goods,,broadcasting & entertainment,durable household products,open tv,zsolnay,
consumer goods,consumer goods,,household goods,distillers & vintners,eskimo (feidakis group),zwack,
consumer services,consumer services,,media,food retailers & wholesalers,estia newspaper s.a.,abrakebabra,
basic materials,consumer services,,aluminium,food retailers & wholesalers,etem,abrakebabra investments,
financials,industrials,,banks,business support services,eurobank ergasias,accenture,
financials,consumer services,,full line insurance,airlines,european reliance,aer lingus,
industrials,consumer services,,marine transportation,airlines,european seaways,aer lingus regional,
industrials,industrials,,marine transportation,transport,euroseas,aercap,
consumer goods,consumer services,,food products,travel & tourism,evga s.a.,aircoach,
utilities,utilities,,water,alternative electricity,eydap,airtricity,
consumer services,financials,,food & beverages,banks,fage,allied irish banks (aib),
industrials,industrials,,marine transportation,delivery services,fast ferries,an post,
consumer services,consumer services,,restaurants & bars,food retailers & wholesalers,flocafé,apache pizza,
consumer services,industrials,,film production,automotive,finos film,aptiv,
consumer goods,consumer services,,brewers,broadline retailers,fix brewery,arnotts,
consumer goods,technology,,clothing & accessories,internet,folli follie,baltimore technologies,
telecommunications,financials,,fixed line telecom.,banks,forthnet,bank of ireland,
industrial,consumer goods,,commercial refrigeration,beverages,frigoglass,barry's tea,
consumer services,consumer services,,airlines,food retailers & wholesalers,gainjet aviation,bewley's,
consumer services,utilities,,food retailers,multiutilities,galaxias,bord na móna,
industrials,consumer services,,heavy construction,gambling,gek terna,boylesports,
industrials,telecommunications,,electrical components,fixed line telecommunications,germanos group,bt ireland,
industrials,consumer services,,marine transportation,travel & tourism,golden star ferries,bus éireann,
consumer services,consumer goods,,travel & leisure,food products,goody's burger house,butlers chocolates,
consumer services,consumer services,,hospitality,food retailers & wholesalers,grecotel,bwg foods,
technology,consumer goods,,internet,brewers,greek internet exchange,c&c group,
consumer goods,financials,,clothing & accessories,banks,a. lange & söhne,central bank of ireland,
financials,consumer services,,banks,travel & tourism,aareal bank,cié,
consumer goods,consumer services,,clothing & accessories,airlines,adidas,cityjet,
consumer services,consumer services,,food retailers & wholesalers,broadcasting & entertainment,aldi,communicorp,
financials,health care,,full line insurance,medical equipment,allianz,covidien,
consumer goods,industrials,,automobiles,building materials & fixtures,alpina,crh plc,
basic materials,technology,,speciality chemicals,software,altana,cúram software,
consumer services,consumer services,,specialty retailers,transportation services,aral ag,daa,
financials,industrials,,full line insurance,business support services,arag se,dcc plc,
industrials,consumer services,,industrial machinery,broadline retailers,arburg,dealz,
consumer services,telecommunications,,broadline retailers,fixed line telecommunications,arcandor,digiweb,
telecommunications,consumer services,,fixed line telecommunications,food retailers & wholesalers,arcor,doolittles,
consumer goods,consumer services,,clothing & accessories,travel & tourism,armedangels,dublin bus,
consumer goods,consumer services,,automobiles,broadline retailers,audi,dunnes stores,
consumer goods,conglomerate,,food products,-,august storck,eaton corporation,
basic materials,consumer services,,nonferrous metals,specialty retailers,aurubis,eason & son,
consumer goods,financials,,automobiles,banks,auto union,ebs,
consumer services,consumer services,,publishing,food retailers & wholesalers,axel springer ag,eddie rocket's,
health care,consumer goods,,pharmaceuticals,clothing & accessories,b. braun,edun,
consumer services,telecommunications,,broadcasting & entertainment,fixed line telecommunications,babelsberg studio,eir,
consumer goods,consumer services,,food products,broadcasting & entertainment,bahlsen,eir sport,
basic materials,utilities,,speciality chemicals,conventional electricity,basf,energia group,
consumer services,utilities,,broadcasting & entertainment,alternative electricity,bavaria film studios,eqtec,
health care,utilities,,pharmaceuticals,gas distribution,bayer,ervia,
consumer goods,utilities,,farming & fishing,conventional electricity,baywa,esb group,
consumer goods,financials,,auto parts,business services,bbs kraftfahrzeugtechnik,experian,
technology,financials,,software,full line insurance,bechtle,fbd holdings,
consumer goods,technology,,brewers,software,beck's brewery,fineos,
industrials,financials,,industrial suppliers,banks,behr gmbh & co. kg,first trust bank,
consumer goods,consumer services,,consumer electronics,food retailers & wholesalers,behringer,four star pizza,
consumer goods,consumer goods,,personal products,food products,beiersdorf,fyffes,
technology,consumer goods,,software,food products,bellevue investments,glanbia,
industrials,consumer goods,,industrial suppliers,consumer electronics,benecke-kaliko,glendimplex,
consumer services,consumer services,,broadcasting & entertainment,specialized consumer services,bertelsmann,gocar,
consumer goods,consumer goods,,consumer electronics,food products,beyerdynamic,greencore,
industrials,consumer services,,heavy construction,apparel retailers,bilfinger,guineys,
consumer goods,consumer goods,,clothing & accessories,brewers,birkenstock,guinness,
consumer goods,technology,,brewers,software,bitburger brewery,havok,
healthcare,consumer services,,vaccine,broadline retailers,biontech,heatons,
industrials,consumer services,,commercial vehicles & trucks,biopharmaceutical,blohm+voss,horizon therapeutics,
consumer services,consumer services,,broadcasting & entertainment,travel & tourism,bmg rights management,iarnród éireann,
consumer goods,consumer services,,automobiles,publishing,bmw,independent news & media,
health care,consumer services,,pharmaceuticals,food retailers & wholesalers,boehringer ingelheim,insomnia coffee company,
industrials,technology,,commercial vehicles & trucks,semiconductors,bomag,intel ireland,
consumer services,technology,,specialty retailers,software,brabus,iona technologies,
consumer goods,consumer services,,personal products,travel & tourism,braun,irish citylink,
basic materials,industrials,,commodity chemicals,industrial transportation,brenntag,irish continental group,
consumer goods,industrials,,recreational products,industrial transportation,c. bechstein,irish ferries,
industrials,industrials,,business support services,electrical components & equipment,c. illies & co.,johnson controls,
industrials,financials,,defense,banks,carl walther gmbh,kbc bank ireland,
health care,consumer goods,,medical equipment,food products,carl zeiss ag,kerry group,
health care,industrials,,vaccine,building materials,curevac,kingspan group,
health care,financials,,pharmaceuticals,life insurance,celesio,laya healthcare,
consumer services,telecommunications,,recreational services,fixed line telecommunications,cinestar,magnet networks,
consumer services,industrials,,broadcasting & entertainment,building materials & fixtures,circus krone,mannok,
industrials,health care,,commercial vehicles & trucks,medical equipment,claas,medtronic,
financials,telecommunications,,banks,mobile telecommunications,commerzbank,meteor,
consumer services,consumer services,,airlines,travel & tourism,condor flugdienst,metro,
industrials,consumer services,,industrial suppliers,food retailers & wholesalers,continental ag,musgrave group,
basic materials,consumer services,,speciality chemicals,gambling,covestro,national lottery,
consumer goods,consumer services,,automobiles,travel & tourism,daimler ag,ni railways,
consumer services,technology,,airlines,software,dba,norkom,
conglomerates,utilities,,-,conventional electricity,delton,northern ireland electricity,
industrials,consumer services,,railroads,travel & tourism,deutsche bahn,northern ireland transport holding company,
financials,utilities,,banks,alternative electricity,deutsche bank,ntr plc,
financials,consumer goods,,investment services,food products,deutsche börse,oatfield,
consumer goods,consumer services,,broadcasting & entertainment,food retailers & wholesalers,deutsche grammophon,o'briens irish sandwich bars,
consumer services,technology,,recreational services,software,deutsche messe,openet,
financials,consumer services,,banks,gambling,deutsche pfandbriefbank,paddy power,
industrials,consumer goods,,delivery services,baked goods,deutsche post,pat the baker,
telecommunications,financials,,fixed line telecommunications,life insurance,deutsche telekom,permanent tsb,
financials,consumer services,,asset managers,apparel retailers,deutsche vermögensberatung,penneys,
industrials,financials,,industrial machinery,banks,deutz ag,rabobank ireland,
industrials,consumer services,,delivery services,broadcasting & entertainment,dhl express,raidió teilifís éireann (rté),
industrials,consumer services,,industrial machinery,airlines,dieffenbacher,ryanair,
industrials,health care,,aerospace,pharmaceuticals,diehl aerospace,shire,
industrials,telecommunications,,defense,mobile telecommunications,diehl defence,smart telecom,
industrials,consumer goods,,industrial machinery,paper,diehl metall,smurfit kappa,
consumer goods,consumer services,,recreational products,specialty retailers,diezel,smyths,
consumer services,consumer services,,broadcasting & entertainment,airlines,djshop,stobart air,
consumer services,consumer services,,hospitality,food retailers & wholesalers,accor,supermac's,
consumer services,consumer services,,airlines,food retailers & wholesalers,aéropostale,supervalu,
industrials,consumer services,,defense,broadcasting & entertainment,aérospatiale-matra,teilifís na gaeilge,
consumer services,consumer services,,airlines,food retailers & wholesalers,air france,tesco ireland,
consumer services,consumer services,,airlines,travel & tourism,air france–klm,the airporter,
industrials,consumer services,,aerospace,publishing,airbus,the irish times,
industrial,consumer services,,chemical,publishing,air liquide,thomas crosbie holdings,
technology,telecommunications,,telecommunications equipment,fixed line telecommunications,alcatel-lucent,three ireland,
consumer goods,consumer goods,,personal products,beverages,ales groupe,tipperary natural mineral water,
industrials,consumer services,,railroads,broadcasting & entertainment,alstom,today fm,
industrials,conglomerate,,business support services,-,altran,trane technologies,
consumer services,industrials,,recreational services,heavy construction,amaury sport organisation,transport infrastructure ireland,
industrials,consumer services,,aerospace & defense,broadcasting & entertainment,arianegroup,virgin media television,
industrials,health care,,aerospace,pharmaceuticals,arianespace,udg healthcare,
technology,financials,,software,banks,arkane studios,ulster bank,
consumer services,consumer services,,broadcasting & entertainment,travel & tourism,arte,ulsterbus foyle,
industrials,consumer services,,aerospace,travel & tourism,astrium,ulsterbus,
technology,financials,,internet,life insurance,at internet,vhi healthcare,
technology,telecommunications,,software,fixed line telecommunications,atari sa,virgin media ireland,
financials,technology,,real estate services,software,atisreal,vizor,
technology,telecommunications,,software,mobile telecommunications,atos,vodafone ireland,
consumer services,consumer services,,food retailers & wholesalers,broadcasting & entertainment,auchan,wireless group,
financials,industrials,,full line insurance,commercial vehicles & trucks,axa,wrightbus,
consumer goods,industrials,,recreational products,business support services,babolat,a&g management consulting,
consumer goods,utilities,,durable household products,multiutilities,baccarat,a2a,
consumer services,consumer goods,,broadcasting & entertainment,automobiles,banijay,abarth,
financials,industrials,,banks,containers & packaging,banque de l'indochine,abon plastic,
consumer goods,industrials,,food products,aerospace,bel group,aermacchi,
financials,oil & gas,,banks,oil & gas refining & marketing,bnp paribas,agip,
