02-GioPonSpiz-industry,05-MalPatSaj-industry,06-MarScoToc-industry,02-GioPonSpiz-sector,05-MalPatSaj-sector,02-GioPonSpiz-name,05-MalPatSaj-name,06-MarScoToc-name
industrials,industrials,confectionery,railroads,marine transportation,infranord,compagnie maritime belge,chupa chups
technology,consumer goods,telecommunications,software,food products,ingate systems,confiserie roodthooft,china mobile
technology,consumer services,television manufacturer,computer hardware,publishing,intertex,copiepresse,changhong
financials,consumer services,fashion,investment services,travel and tourism,investment ab latour,de lijn,chanel
financials,basic materials,agriculture,investment services,commodity chemicals,investment ab öresund,deceuninck,chiquita
financials,consumer goods,energy oil and gas,investment services,food products,investor ab,delhaize group,chevron corporation
consumer goods,industrials,banking,personal products,heavy construction,isadora,deme,china merchants bank
technology,consumer services,conglomerate,software,specialized consumer services,izettle,d'ieteren,china resources
consumer goods,consumer goods,insurance and reinsurance,clothing & accessories,clothing and accessories,j.lindeberg,domo group,chubb limited
technology,consumer goods,shipping and logistics,software,nondurable household products,jeeves,ecover,china international marine containers
industrials,financials,networking hardware networking software,railroads,financial services,jernhusen,effortel,cisco
consumer goods,consumer goods,financial services,recreational products,building materials and fixtures,jofa,etap lighting,citigroup
industrials,health care,consumer electronics,industrial machinery,biotechnology,jonsereds fabrikers ab,eurogentec,coolpad
financials,technology,beverage,investment services,telecommunications equipment,kinnevik ab,evs broadcast equipment,the coca-cola company
consumer services,technology,restaurants retail coffee and tea,broadline retailers,computer hardware,klarna,ferranti computer systems,the coffee bean & tea leaf
industrials,oil and gas,information technology consulting outsourcing,commercial vehicles & trucks,exploration and production,kockums naval solutions,fluxys,cognizant
consumer goods,basic materials,consumer goods,automobiles,general mining,koenigsegg,forrest group,colgate-palmolive
consumer services,financials,aviation,consumer co-operatives,equity investment instruments,kooperativa förbundet,gimv,comac
consumer goods,consumer goods,business services,brewers,food products,kopparbergs brewery,godiva chocolatier,concentrix
industrials,consumer services,oil and gas,building materials & fixtures,publishing,kosta glasbruk,group joos,conocophillips
consumer goods,industrials,oil and gas,brewers,diversified industrials,krönleins,groupe bruxelles lambert,copa airlines
consumer goods,consumer goods,retail,food products,food products,kungsörnen,guylian,costco
financials,technology,beauty,investment services,computer services,l e lundbergföretagen,imec,coty inc.
