founded,industry,headquarters,name,size,website
2005,computer software,"san jose, ca",xactly careers,"501 to 1,000 employees",www.xactlycorp.com
2006,information technology & services,"broomfield, co",conga careers,201 to 500 employees,www.conga.com
2013,computer software,"burlingame, ca",got-it ai careers,51 to 200 employees,www.got-it.ai
1943,research,"los alamos, nm",los alamos national laboratory careers,"10,000+ employees",www.lanl.gov
1915,medical device,"chicago, il",hillrom careers,"10,000+ employees",www.hillrom.com
2020,financial services,"bengaluru, india",velocity careers,1 to 50 employees,www.velocity.in
1792,"health, wellness & fitness","bloomfield, ct",cigna careers,"10,000+ employees",www.cigna.com
2005,financial services,"los angeles, ca",verifi inc. careers,201 to 500 employees,www.verifi.com
1881,newspapers & publishing,"los angeles, ca",los angeles times careers,"1,001 to 5,000 employees",los angeles times
1986,computer software,"sugar land, tx",hcss careers,201 to 500 employees,www.hcss.com
2011,financial services,"greenville, sc",global lending services careers,"501 to 1,000 employees",www.glsauto.com
2017,computer software,"palo alto, ca",peritus.ai careers,1 to 50 employees,peritus.ai
1994,biotechnology,"fort collins, co",prosci careers,51 to 200 employees,www.prosci.com
2016,computer software,"melville, ny",erwin careers,201 to 500 employees,www.erwin.com
1995,computer software,"akron, oh",vht careers,51 to 200 employees,www.vhtcx.com
1980,public policy,"amherst, ma",remi careers,1 to 50 employees,www.remi.com
1945,wholesale,"bergenfield, nj",cornell surgical careers,1 to 50 employees,cornellsurgical.com
1920,consumer goods,"indianapolis, in",herff jones careers,"1,001 to 5,000 employees",www.herffjones.com
2000,venture capital & private equity,"menlo park, ca",lightspeed venture partners careers,51 to 200 employees,www.lsvp.com
2017,internet,"minneapolis, mn",structural careers,1 to 50 employees,www.structural.com
1979,primary & secondary education,"seattle, wa",committee for children careers,51 to 200 employees,www.cfchildren.org
1867,food & beverages,"vevey, switzerland",nestle careers,"10,000+ employees",www.nestle.com
1920,newspapers & publishing,"new york, ny",scholastic careers,"5,001 to 10,000 employees",www.scholastic.com
2015,computer software,"san francisco, ca",cybercube careers,51 to 200 employees,www.cybcube.com
2014,information technology & services,"manchester, england",peak careers,51 to 200 employees,www.peak.ai
2014,financial services,"wilmington, de",navient careers,"5,001 to 10,000 employees",about.navient.com
1989,human resources,"portage, mi",basic careers,51 to 200 employees,www.basiconline.com
2009,computer games,"beijing, china",happyelements careers,"501 to 1,000 employees",www.happyelements.com
1902,food & beverages,"chicago, il",archer daniels midland company careers,"10,000+ employees",www.adm.com
2017,marketing & advertising,"santa clara, ca",smartlens analytics careers,1 to 50 employees,www.smartlensanalytics.com
1955,human resources,"westwood, ma",the predictive index careers,201 to 500 employees,www.predictiveindex.com
2012,financial services,"new york, ny",liontree llc careers,51 to 200 employees,www.liontree.com
2002,defense & space,"mclean, va",alion science and technology careers,"1,001 to 5,000 employees",www.alionscience.com
2018,financial services,"san francisco, ca",figure careers,51 to 200 employees,www.figure.com
1996,broadcast & online media,"new york, ny",xo group careers,"501 to 1,000 employees",www.xogroupinc.com
2007,broadcast & online media,"san francisco, ca",cbs interactive careers,"1,001 to 5,000 employees",www.cbsinteractive.com
2017,computer software,"san jose, ca",weride.ai careers,201 to 500 employees,www.weride.ai
1939,financial services,"new york, ny",neuberger berman careers,"1,001 to 5,000 employees",www.nb.com
1973,construction,"fremont, ca",syserco careers,51 to 200 employees,www.syserco.com
1935,industrial automation,"beckum, germany",beumer group careers,"1,001 to 5,000 employees",www.beumergroup.com
2011,computer software,"denver, co",ombud careers,1 to 50 employees,www.ombud.com
1919,food & beverages,"baton rouge, la",community coffee company careers,"501 to 1,000 employees",www.communitycoffee.com
1963,information technology & services,"alpharetta, ga",agilysys careers,"1,001 to 5,000 employees",www.agilysys.com
2007,information technology & services,"framingham, ma",applause careers,201 to 500 employees,www.applause.com
1980,real estate,"stamford, ct",starwood careers,"10,000+ employees",www.starwoodhotels.com
2006,information technology & services,"indianapolis, in",appirio careers,"1,001 to 5,000 employees",www.appirio.com
2017,information technology & services,"chicago, il",ashling partners careers,51 to 200 employees,www.ashlingpartners.com
1997,telecommunications,"miami, fl",brightstar corp. careers,"5,001 to 10,000 employees",www.brightstar.com
1881,non-profit organization,"washington, dc",american red cross careers,"10,000+ employees",www.redcross.org
1934,government administration,"washington, dc",federal communications careers,"1,001 to 5,000 employees",fcc.gov
none,computer software,"arlington, va",conseqta careers,1 to 50 employees,www.conseqta.com
1993,information technology & services,"el dorado hills, ca",r systems careers,"1,001 to 5,000 employees",www.rsystems.com
1995,computer software,"princeton, nj",strasz careers,1 to 50 employees,www.strasz.com
2004,internet,"new york, ny",grubhub careers,"1,001 to 5,000 employees",www.grubhub.com
2017,computer software,"san francisco, ca",alchemy careers,1 to 50 employees,alchemy.com
2018,information technology & services,"dallas, tx",kanarys careers,1 to 50 employees,kanarys.com
2015,computer software,"san francisco, ca",chorus.ai. careers,51 to 200 employees,chorus.ai
1966,government administration,"new york, ny",nyc department of social services careers,"10,000+ employees",www1.nyc.gov
2001,computer software,"atlanta, ga",mailchimp careers,"501 to 1,000 employees",www.mailchimp.com
2017,hospital & health care,"seattle, wa",xealth careers,1 to 50 employees,www.xealth.io
1986,accounting,"san francisco, ca",bpm llp careers,"501 to 1,000 employees",www.bpmcpa.com
2016,insurance,"chicago, il",clearcover careers,201 to 500 employees,www.clearcover.com
1982,information technology & services,"neuilly-sur-seine, france",altran careers,"10,000+ employees",www.altran.com
2016,internet,"san francisco, ca",solv. careers,1 to 50 employees,www.solvhealth.com
1029,consumer goods,"stockholm, sweden",essity careers,"10,000+ employees",www.essity.com
1977,retail,"calabasas, ca",harbor freight tools careers,"10,000+ employees",harborfreightjobs.com
2002,management consulting,"paris, france",onepoint careers,"1,001 to 5,000 employees",www.groupeonepoint.com
2006,insurance,"seattle, wa",quotewizard careers,51 to 200 employees,quotewizard.com
1902,consumer services,"heathrow, fl",aaa careers,"5,001 to 10,000 employees",www.aaa.com
1999,computer software,"denver, co",granicus careers,"501 to 1,000 employees",granicus.com
1898,construction,"reston, va",bechtel careers,"10,000+ employees",www.bechtel.com
2010,internet,"new york, ny",fiverr careers,201 to 500 employees,fiverr
1871,education management,"atlanta, ga",fulton county schools careers,"10,000+ employees",www.fultonschools.org
1994,insurance,"omaha, ne",applied underwriters careers,"501 to 1,000 employees",auw.com
2010,computer software,"san jose, ca",cloudbees careers,"501 to 1,000 employees",www.cloudbees.com
2011,internet,"new york, ny",compstak careers,51 to 200 employees,www.compstak.com
2014,banking,"london, united kingdom",starling bank careers,"1,001 to 5,000 employees",www.starlingbank.com
1985,information technology & services,"fairfield, ca",rcc careers,1 to 50 employees,www.rcconsulting.com
1984,computer hardware,"beijing, china",lenovo careers,"10,000+ employees",www.lenovo.com
2001,management consulting,"hayward, ca",nectarconsulting careers,1 to 50 employees,www.nectarconsulting.com.br
2012,medical device,"menlo park, ca",rapidai careers,51 to 200 employees,www.rapidai.com
2016,insurance,"santa clara, ca",clara analytics careers,1 to 50 employees,www.claraanalytics.com
1999,computer software,"tysons corner, va",cvent careers,"1,001 to 5,000 employees",www.cvent.com
1999,computer networking,"shenzhen, china",huawei careers,"1,001 to 5,000 employees",www.huawei.com
2017,computer software,"new york, ny",certik careers,1 to 50 employees,certik.io
1991,information technology & services,"noida, india",hcl technologies careers,"10,000+ employees",www.hcltech.com
2014,computer software,"greenwood village, co",turbine labs careers,1 to 50 employees,www.turbinelabs.com
1923,automotive,"paris, france",valeo careers,"10,000+ employees",www.valeo.com
1996,management consulting,"jacksonville, fl",procureability careers,51 to 200 employees,www.procureability.com
2014,e-learning,"new york, ny",teachable careers,51 to 200 employees,teachable.com
1870,biotechnology,"goettingen, germany",sartorius careers,"10,000+ employees",www.sartorius.com
1998,computer software,"san mateo, ca",netsuite careers,"10,000+ employees",www.netsuite.com
1877,insurance,"shortsville, ny",ontario insurance company careers,1 to 50 employees,www.ontarioinsco.com
2008,computer software,"atlanta, ga",bluefletch careers,1 to 50 employees,www.bluefletch.com
2002,information technology & services,"new york, ny",inrhythm careers,51 to 200 employees,www.inrhythm.com
2016,internet,"phoenix, az",protecht careers,1 to 50 employees,www.protecht.io
2015,financial services,"new york, ny",yieldstreet careers,51 to 200 employees,www.yieldstreet.com
2014,computer software,"hoffman estates, il",cdk global careers,"5,001 to 10,000 employees",www.cdkglobal.com
2016,computer software,"palo alto, ca",deepmap careers,51 to 200 employees,www.deepmap.ai
2004,banking,"new york, ny",empire state bank careers,1 to 50 employees,www.esbna.com
1894,consumer goods,"st. louis, mo",nestlã© purina careers,"5,001 to 10,000 employees",www.nestlepurinacareers.com
2016,computer software,"newark, de",fyle careers,51 to 200 employees,www.fylehq.com
2009,internet,"palo alto, ca",adara careers,201 to 500 employees,adara.com
2014,medical device,"san francisco, ca",enlitic careers,1 to 50 employees,enlitic.com
2014,non-profit organization,"walnut, ca",new incentives careers,51 to 200 employees,www.newincentives.org
1993,financial services,"tacoma, wa",columbia bank careers,"1,001 to 5,000 employees",www.columbiabank.com
2001,computer software,"fremont, ca",softjourn careers,201 to 500 employees,softjourn.com
2014,primary & secondary education,"boston, ma",unruly studios careers,1 to 50 employees,www.unrulystudios.com
1841,financial services,"short hills, nj",dun & bradstreet careers,"5,001 to 10,000 employees",www.dnb.com
2014,insurance,"santa monica, ca",sure careers,51 to 200 employees,www.sureapp.com
1963,food & beverages,"diamond bar, ca",niagara careers,"1,001 to 5,000 employees",www.niagarawater.com
1921,primary & secondary education,"long beach, ca",lbusd careers,"10,000+ employees",www.lbschools.net
1905,retail,"zeeland, mi",herman miller careers,"1,001 to 5,000 employees",www.hermanmiller.com
2010,information technology & services,"san francisco, ca",forgerock careers,"501 to 1,000 employees",www.forgerock.com
2001,marketing & advertising,"syracuse, ny",terakeet careers,201 to 500 employees,www.terakeet.com
2014,hospital & health care,"san mateo, ca",pill club careers,201 to 500 employees,thepillclub.com
1991,financial services,"amsterdam, netherlands",ing group careers,"10,000+ employees",www.ing.com
1872,retail,"blackfriars, united kingdom",unilever careers,"10,000+ employees",www.unilever.com
1946,materials & manufacturing,"tipp city, oh",process equipment company careers,51 to 200 employees,www.peco-us.com
1930,government administration,"washington, dc",u.s. department of housing and urban development careers,"10,000+ employees",www.va.gov
2018,hospital & health care,"greenwood village, co",global medical response careers,"10,000+ employees",www.globalmedicalresponse.com
2015,internet,"palo alto, ca",ladder insurance careers,51 to 200 employees,www.ladderlife.com
1998,computer software,"chalfont, pa",aweber careers,51 to 200 employees,www.aweber.com
2012,financial services,"munich, germany",crxmarkets careers,51 to 200 employees,www.crxmarkets.com
2010,internet,"beijing, china",xiaomi careers,"10,000+ employees",www.mi.com
2007,non-profit organization,"sydney, australia",180 degrees consulting careers,"5,001 to 10,000 employees",www.180dc.org
2020,computer software,"springfield, mo",veralogiq careers,1 to 50 employees,www.veralogiq.com
2008,information technology & services,"campbell, ca",panzura careers,51 to 200 employees,panzura.com
2017,computer software,"redwood city, ca",firework careers,51 to 200 employees,www.fireworkhq.com
1992,computer networking,"hanover, md",ciena careers,"10,000+ employees",www.ciena.com
2014,financial services,"washington, dc",mpower financing careers,1 to 50 employees,www.mpowerfinancing.com
2005,internet,"redwood city, ca",box careers,"1,001 to 5,000 employees",www.box.com
2011,internet,"new york, ny",the muse careers,51 to 200 employees,www.themuse.com
2014,internet,"san francisco, ca",adeptdc careers,1 to 50 employees,www.adeptdc.com
1919,food & beverages,"paris, france",danone careers,"10,000+ employees",www.danone.com
2013,financial services,"palo alto, ca",bitgo careers,51 to 200 employees,bitgo.com
2014,information technology & services,"columbus, oh",awareabilitytechnologies careers,1 to 50 employees,www.awaretk.com
2003,information technology & services,"chicago, il",saggezza careers,"501 to 1,000 employees",www.saggezza.com
2012,computer & network security,"san francisco, ca",hackerone careers,201 to 500 employees,hackerone.com
2017,financial services,"san francisco, ca",brex careers,201 to 500 employees,www.brex.com
1934,entertainment,"santa monica, ca",universal music group careers,"5,001 to 10,000 employees",www.universalmusic.com
2015,marketing & advertising,"boston, ma",workreduce careers,51 to 200 employees,workreduce.com
1883,retail,"carthage, mo",leggett & platt careers,"10,000+ employees",www.leggett.com
2010,computer software,"san francisco, ca",quid careers,51 to 200 employees,www.quid.com
1950,mechanical & industrial engineering,"tokyo, japan",mitsubishi corporation careers,"5,001 to 10,000 employees",www.mitsubishicorp.com
1995,semiconductors,"santa clara, ca",marvell semiconductor careers,"5,001 to 10,000 employees",www.marvell.com
1999,internet,"toronto, canada",points careers,201 to 500 employees,points.com
1960,defense & space,"el segundo, ca",the aerospace corp.  careers,"1,001 to 5,000 employees",aerospace.org
1981,computer software,"bedford, ma",aspen technology careers,"1,001 to 5,000 employees",www.aspentech.com
2011,computer software,"atlanta, ga",salesloft careers,201 to 500 employees,salesloft.com
1999,computer networking,"plano, tx",genband careers,"1,001 to 5,000 employees",www.genband.com
2008,information technology & services,"seattle, wa",chef careers,201 to 500 employees,www.chef.io
2005,computer software,"san mateo, ca",webdam careers,201 to 500 employees,www.bynder.com
1979,information technology & services,"hauppauge, ny",custom computer specialists careers,201 to 500 employees,www.customtech.com
2011,computer software,"redwood city, ca",upthere careers,51 to 200 employees,www.upthere.com
2018,financial services,"palo alto, ca",step careers,1 to 50 employees,www.step.com
2013,computer software,"san francisco, ca",signalfx careers,"5,001 to 10,000 employees",signalfx.com
1998,banking,"oklahoma city, ok",heritage trust company careers,1 to 50 employees,www.heritagetrust.com
2015,e-learning,"san francisco, ca",quizlet careers,51 to 200 employees,quizlet.com
1977,research,"golden, co",national renewable energy laboratory careers,"1,001 to 5,000 employees",www.nrel.gov
2010,information technology & services,"austin, texas",wp engine careers,"501 to 1,000 employees",www.wpengine.com
1999,broadcast & online media,"toronto, canada",verticalscope careers,"501 to 1,000 employees",www.verticalscope.com
1938,materials & manufacturing,"mumbai, india",larsentoubro careers,"10,000+ employees",www.larsentoubro.com
1847,financial services,"jacksonville, fl",fidelity national financial careers,"10,000+ employees",www.fnf.com
1983,computer hardware,"portland, or",wacom technology corp. careers,"1,001 to 5,000 employees",www.wacom.com
1967,management consulting,"maitland, fl",lee hecht harrison careers,"1,001 to 5,000 employees",www.lhh.com
2001,real estate,"indianapolis, ia",crea careers,51 to 200 employees,www.creallc.com
1986,computer hardware,"scottsdale, az",universal electronics careers,"1,001 to 5,000 employees",www.uei.com
2012,information technology & services,"stamford, ct",rizing careers,"501 to 1,000 employees",www.rizing.com
2015,food & beverages,"chicago, il",the kraft heinz company careers,"10,000+ employees",www.kraftheinzcompany.com
2013,computer software,"toronto, canada",flybits careers,51 to 200 employees,flybits.com
2014,computer software,"los altos, ca",portworx careers,51 to 200 employees,portworx.com
1970,automotive,"ramsey, nj",atl careers,1 to 50 employees,www.atlinc.com
2011,retail,"san mateo, ca",ipsy careers,201 to 500 employees,www.ipsy.com
2014,computer software,"san francisco, ca",instabug careers,51 to 200 employees,www.instabug.com
2014,hospital & health care,"san francisco, ca",vida health careers,51 to 200 employees,www.vida.com
1947,construction,"london, united kingdom",faithful+gould careers,"1,001 to 5,000 employees",www.fgould.com
2012,computer software,"boston, ma",zaius careers,51 to 200 employees,zaius.com
2015,construction,"menlo park, ca",katerra careers,"5,001 to 10,000 employees",www.katerra.com
1971,electrical & electronic manufacturing,"moorpark, ca",testequity careers,201 to 500 employees,www.testequity.com
2013,hospital & health care,"london, united kingdom",babylon health careers,"1,001 to 5,000 employees",www.babylonhealth.com
1996,biotechnology,"naperville, il",orochem technologies careers,51 to 200 employees,www.orochem.com
2016,consumer services,"bangalore, india",clykk careers,1 to 50 employees,www.clykk.com
1963,"health, wellness & fitness","new york, ny",weight watchers careers,"10,000+ employees",www.ww.com
2015,hospital & health care,"san francisco, ca",alto pharmacy careers,"501 to 1,000 employees",alto.com
2017,computer software,"san francisco, ca",topfunnel careers,1 to 50 employees,www.topfunnel.com
1982,insurance,"boston, ma",plymouth rock assurance careers,"1,001 to 5,000 employees",www.plymouthrock.com
2004,automotive,"santa barbara, ca",santa barbara auto group careers,51 to 200 employees,www.sbautogroup.com
1973,retail,"irving, tx",michaels careers,"10,000+ employees",www.michaels.com
2016,marketing & advertising,"new york, ny",attentive careers,"501 to 1,000 employees",attentivemobile.com
1999,information technology & services,"mclean, va",ntelx careers,1 to 50 employees,www.ntelx.com
1995,biotechnology,"brisbane, ca","sangamo therapeutics, inc. careers",201 to 500 employees,www.sangamo.com
1917,consumer goods,"denver, co",trinidad benham careers,"501 to 1,000 employees",www.trinidadbenham.com
2004,newspapers & publishing,"new york, ny",apartment therapy careers,51 to 200 employees,apartmenttherapy.com
2013,information technology & services,"phoenix, az",dytek solutions careers,1 to 50 employees,www.dyteksolutions.com
1981,management consulting,"boston, ma",analysis group careers,"1,001 to 5,000 employees",www.analysisgroup.com
1991,computer software,"waterloo, canada",opentext careers,"10,000+ employees",www.opentext.com
1996,computer software,"vancouver, bc",faronics careers,51 to 200 employees,www.faronics.com
2013,investment management,"new york, ny",archegos capital careers,1 to 50 employees,www.archegoscapital.com
1974,industrial automation,"osaka, japan",keyence corporation careers,"5,001 to 10,000 employees",www.keyence.com
2007,education management,"palo alto, ca",khan academy careers,51 to 200 employees,www.khanacademy.org
1948,broadcast & online media,"silver spring, md",motortrend careers,"501 to 1,000 employees",www.motortrendgroup.com
1988,computer software,"san jose, ca",cadence design systems careers,"5,001 to 10,000 employees",www.cadence.com
2011,financial services,"london, united kingdom",transferwise careers,"1,001 to 5,000 employees",www.transferwise.com
2007,information technology & services,"foster city, ca",conversica careers,201 to 500 employees,www.conversica.com
1981,aviation & aerospace,"garden grove, ca",kittyhawk careers,1 to 50 employees,www.kittyhawkinc.com
1897,consumer goods,"orrville, oh",smucker careers,"5,001 to 10,000 employees",www.jmsmucker.com
2015,computer software,"los angeles, ca",webalo careers,51 to 200 employees,www.webalo.com
2018,consumer services,"los angeles, ca",donut careers,1 to 50 employees,www.donut.app
2005,internet,"chicago, il",wyzant careers,51 to 200 employees,www.wyzant.com
1996,marketing & advertising,"new york, ny",omd careers,"1,001 to 5,000 employees",www.omd.com
1995,semiconductors,"santa clara, ca",omnivision technologies careers,"1,001 to 5,000 employees",www.ovt.com
2010,industrial automation,"new york, ny",nanotronics careers,51 to 200 employees,nanotronics.co
1986,environmental services,"tallahassee, fl",florida department of environmental protection careers,"1,001 to 5,000 employees",www.dep.state.fl.us
2012,consumer services,"new york, ny",tinybeans careers,1 to 50 employees,www.tinybeans.com
2015,computer software,"redwood city, ca",leadiq careers,51 to 200 employees,leadiq.com
2019,staffing & recruiting,"san diego, ca",partnology careers,1 to 50 employees,www.partnology.com
2010,financial services,"richmond, va",paymerang careers,51 to 200 employees,paymerang.com
1999,electrical & electronic manufacturing,"neuilly plaisance, france",asteelflash careers,"1,001 to 5,000 employees",www.asteelflash.com
1941,construction,"schaan, liechtenstein",hilti careers,"10,000+ employees",www.hilti.group
2009,computer software,"san diego, ca",brain corp careers,201 to 500 employees,braincorp.com
1999,financial services,"san francisco, ca",esurance careers,"1,001 to 5,000 employees",www.esurance.com
2012,automotive,"orlando, fl",luminar technologies careers,201 to 500 employees,www.luminartech.com
2001,marketing & advertising,"minas gerais, brazil",tomcomunicacao careers,51 to 200 employees,www.tomcomunicacao.com.br
2005,financial services,"seattle, wa",sharebuilder 401k careers,1 to 50 employees,www.sharebuilder401k.com
1869,food & beverages,"camden, nj",campbell careers,"10,000+ employees",campbells.com
2016,computer software,"san francisco, ca",spoke careers,1 to 50 employees,www.atspoke.com
1993,computer software,"raleigh, nc",red hat careers,"10,000+ employees",www.redhat.com
1904,financial services,"charlotte, nc",bank of america careers,"10,000+ employees",www.bankofamerica.com
2011,computer software,"campbell, ca",bluestacks careers,201 to 500 employees,www.bluestacks.com
2005,computer software,"gã¶ppingen, baden-wã¼rttemberg",teamviewer careers,"1,001 to 5,000 employees",www.teamviewer.com
2012,automotive,"long beach, ca",mykaarma careers,51 to 200 employees,www.mykaarma.com
1997,financial services,"addison, tx","noble royalties, inc. careers",51 to 200 employees,www.nobleroyalties.com
2000,broadcast & online media,"dallas, tx",topgolf careers,"10,000+ employees",www.topgolf.com
2000,defense & space,"kent, wa",blue origin careers,"1,001 to 5,000 employees",www.blueorigin.com
1987,semiconductors,"geneva, switzerland",stmicroelectronics careers,"10,000+ employees",www.st.com
1963,telecommunications,"philadelphia, pa",comcast careers,"10,000+ employees",www.comcast.com
2013,computer software,"los altos, ca",predictspring careers,1 to 50 employees,www.predictspring.com
1982,design,"chicago, il",vsa partners careers,201 to 500 employees,www.vsapartners.com
2014,entertainment,"san francisco, ca",tubi tv careers,201 to 500 employees,www.tubitv.com
2017,facilities services,"san mateo, ca",turing video careers,1 to 50 employees,www.turingvideo.com
2001,financial services,"reno, nv",clear capital careers,"501 to 1,000 employees",www.clearcapital.com
2014,investment management,"new york, ny",varagon careers,51 to 200 employees,www.varagon.com
2017,marketing & advertising,"union city, nj",swagup careers,51 to 200 employees,www.swagup.com
1983,computer software,"rockville, md",ocr careers,201 to 500 employees,www.ocr-inc.com
2017,information technology & services,"san francisco, ca",iotex careers,1 to 50 employees,www.iotex.io
2000,information technology & services,"lake mary, fl",accesso careers,201 to 500 employees,www.accesso.com
2007,venture capital & private equity,"seattle, wa",pitchbook data careers,"1,001 to 5,000 employees",www.pitchbook.com
1967,information technology & services,"chicago, il",marsh clearsight careers,"501 to 1,000 employees",www.marshclearsight.com
2009,management consulting,"palo alto, ca",creative rein careers,1 to 50 employees,creative-rein.com
2008,logistics & supply chain,"belmont, ca",b-stock solutions careers,51 to 200 employees,bstock.com
2020,financial services,"san francisco, ca",finden careers,1 to 50 employees,myfinden.com
2017,financial services,"san francisco, ca",airbase careers,51 to 200 employees,www.airbase.com
2002,management consulting,"fairfax, va",cvp careers,201 to 500 employees,www.cvpcorp.com
2011,computer software,"ambler, pa",phenom people careers,"501 to 1,000 employees",www.phenompeople.com
2005,information technology & services,"abu dhabi, uae",injazat careers,"1,001 to 5,000 employees",www.injazat.com
2014,financial services,"new york, ny",peeriq careers,1 to 50 employees,www.peeriq.com
1933,"transportation, trucking & rail","miami, fl",ryder careers,"10,000+ employees",www.ryder.com
2015,insurance,"new york, ny",lemonade careers,"501 to 1,000 employees",www.lemonade.com
2014,"health, wellness & fitness","new york, ny",blink health careers,201 to 500 employees,www.blinkhealth.com
2013,staffing & recruiting,"winter park, fl",valintry careers,51 to 200 employees,valintry.com
1992,aviation & aerospace,"los altos, ca",optimal synthesis inc. careers,1 to 50 employees,www.optisyn.com
2016,environmental services,"somerville, ma",palmos careers,1 to 50 employees,www.palmos.co
2012,financial services,"london, united kingdom",currencycloud careers,51 to 200 employees,www.currencycloud.com
1973,utilities,"palo alto, ca",epri careers,"501 to 1,000 employees",www.epri.com
2006,internet,"seattle, wa",realself careers,201 to 500 employees,www.realself.com
2016,semiconductors,"mountain view, ca",groq careers,51 to 200 employees,groq.com
1962,broadcast & online media,"new york, ny",univision communications careers,"1,001 to 5,000 employees",corporate.univision.com
1912,financial services,"boston, ma",liberty mutual insurance careers,"10,000+ employees",www.libertymutualgroup.com
2009,computer software,"ahmedabad, gujarat",mobmaxime careers,1 to 50 employees,www.mobmaxime.com
1995,computer software,"greater boston area, east coast, new england",eze software careers,"501 to 1,000 employees",www.ezesoft.com
2012,internet,"menlo park, ca",deliv careers,1 to 50 employees,www.deliv.co
2013,computer software,"mountain view, ca",commerceiq careers,51 to 200 employees,www.commerceiq.a
2003,information technology & services,"atlanta, ga",first advantage careers,"1,001 to 5,000 employees",www.fadv.com
2014,internet,"san diego, ca",goshare careers,1 to 50 employees,www.goshare.co
2007,semiconductors,"london, united kingdom",si-vision careers,201 to 500 employees,www.si-vision.com
1993,hospital & health care,"new york, ny",healthfirst inc. careers,"1,001 to 5,000 employees",www.healthfirst.org
2018,hospital & health care,"san francisco, ca",talkdoc careers,1 to 50 employees,www.talkdoc.co
2002,computer software,"waltham, ma",callminer careers,201 to 500 employees,www.callminer.com
1932,aviation & aerospace,"seattle, wa",alaska airlines careers,"10,000+ employees",www.alaskaair.com
1992,computer software,"nã¼rnberg, germany",suse careers,"1,001 to 5,000 employees",www.suse.com
2018,hospital & health care,"kã¶ln, germany",damedic careers,1 to 50 employees,www.damedic.ai
2014,newspapers & publishing,"chicago, il",phoenix international publications careers,51 to 200 employees,www.pikidsmedia.com
2007,food & beverages,"culver city, ca",sweetgreen careers,"1,001 to 5,000 employees",www.sweetgreen.com
2010,computer software,"san antonio, tx",mailgun technologies careers,201 to 500 employees,www.mailgun.com
2017,internet,"san jose, ca",qopper careers,1 to 50 employees,www.qopper.com
2011,research,"chicago, il",dscout careers,51 to 200 employees,dscout.com
1919,retail,"welwyn garden city, england",tesco careers,"10,000+ employees",www.tescoplc.com
2011,marketing & advertising,"tampa, fl",giraphix creative careers,1 to 50 employees,giraphixcreative.com
1923,research,"washington, dc",u.s. naval research laboratory careers,"1,001 to 5,000 employees",www.nrl.navy.mil
2006,insurance,"jersey city, nj",sagesure insurance managers careers,201 to 500 employees,sagesure.com
2003,consumer goods,"needham, ma",sharkninja careers,"1,001 to 5,000 employees",www.sharkninja.com
2019,computer software,"santa clara, ca",alectio careers,1 to 50 employees,www.alectio.com
2014,entertainment,"santa monica, ca",whip media group careers,51 to 200 employees,www.whipmedia.com
2017,broadcast & online media,"san francisco, ca",substack careers,1 to 50 employees,substack.com
2015,computer software,"redwood city, ca",split careers,51 to 200 employees,www.split.io
1769,higher education,"hanover, nh",dartmouth college careers,"5,001 to 10,000 employees",dartmouth.edu
2013,computer software,"helsinki, uusimaa",supermetrics careers,51 to 200 employees,supermetrics.com
2002,information technology & services,"mclean, va",celerity careers,201 to 500 employees,www.celerity.com
1993,telecommunications,"richmond, bc",sierra wireless careers,"1,001 to 5,000 employees",www.sierrawireless.com
1998,information technology & services,"new york, ny",cast careers,201 to 500 employees,www.castsoftware.com
2004,defense & space,"los angeles, ca",linquest careers,"1,001 to 5,000 employees",www.linquest.com
1998,computer games,"nicosia, cyprus",wargaming careers,"5,001 to 10,000 employees",www.wargaming.com
2001,computer software,"boston, ma",outsystems careers,"1,001 to 5,000 employees",www.outsystems.com
2011,education management,"hyderabad, india",miles education careers,51 to 200 employees,www.mileseducation.com
1783,investment management,"london, united kingdom",man group careers,"1,001 to 5,000 employees",www.man.com
1916,financial services,"new york, ny",municipal credit union careers,201 to 500 employees,www.nymcu.org
2008,internet,"san francisco, ca",life360 careers,51 to 200 employees,www.life360.com
2012,information technology & services,"albany, ny",new york state office of information technology services careers,"1,001 to 5,000 employees",its.ny.gov
2004,marketing & advertising,"rockville, md",dealeron careers,201 to 500 employees,www.dealeron.com
2017,"transportation, trucking & rail","moscow, russia",trucker careers,1 to 50 employees,www.trucker.group
2012,construction,"san francisco, ca",buildingconnected careers,201 to 500 employees,buildingconnected.com
1852,government administration,"seattle, wa","king county, wa careers","10,000+ employees",www.kingcounty.gov
1925,financial services,"tokyo, japan",nomura careers,"10,000+ employees",www.nomura.com
1986,retail,"framingham, ma",staples careers,"10,000+ employees",www.staples.com
2011,information technology & services,"ashburn, va",xgility careers,1 to 50 employees,www.xgility.com
1955,materials & manufacturing,"mississauga, ontario",hatch ltd careers,"5,001 to 10,000 employees",www.hatch.com
1995,computer software,"boston, ma",crunchtime! careers,51 to 200 employees,crunchtime.com
1987,defense & space,"johnstown, pa",ctc careers,"501 to 1,000 employees",www.ctc.com
2000,business supplies & equipment,"concord, ca",kyocera document solutions development careers,51 to 200 employees,www.dda.kyocera.com
1991,information technology & services,"lviv, ukraine",eleks careers,"1,001 to 5,000 employees",eleks.com
2013,automotive,"cambridge, ma",nutonomy careers,1 to 50 employees,www.aptiv.com
1982,semiconductors,"san jose, ca",cypress semiconductor careers,"5,001 to 10,000 employees",www.cypress.com
1998,information technology & services,"irving, tx",cigniti careers,"1,001 to 5,000 employees",www.cigniti.com
