foundation_year,headquarter,industry,name,ownership
1986,"hyderabad/secunderabad, telangana, india",pharma,dr. reddy's,public
1986,"pittsford, new york, united states (usa)",it services & consulting,sutherland global services,private
1935,"mumbai, maharashtra, india",pharma,cipla pharmaceutical,public
2004,"mumbai, maharashtra, india",banking,yes bank,public
2016,"bangalore,karnataka, india",internet,udaan,private
2006,"bangalore/bengaluru, karnataka, india",banking,jana small finance bank,public
1942,"mumbai, maharashtra, india",chemicals,asian paints,public
1988,"chiyoda city, tokyo, japan",it services & consulting,ntt data,private
2000,"mumbai, maharashtra, india",insurance,icici prudential life insurance,public
2000,"mumbai, maharashtra, india",insurance,hdfc life,public
1968,"mumbai, maharashtra, india",pharma,lupin,public
0,,it services & consulting,hcl group,
1998,"london, united kingdom (uk)",consulting,pwc,partnership
1999,"new york city,new york, united states",analytics & kpo,exl service,private
2000,"noida, uttar pradesh, india",bpo,ienergizer,private
1895,"new delhi, delhi, india",defence & aerospace,indian army,public
1996,"mumbai, maharashtra, india",it services & consulting,l&t infotech,public
1983,"mumbai, maharashtra, india",building material,ultratech cement,public
1987,"pune, maharashtra, india",nbfc,bajaj finance,private
2012,"gurugram, india",financial services,home credit finance,private
1987,,consulting,kpmg,partnership
2010,"noida, india",bpo,paytm,public
1999,"bangalore/bengaluru, karnataka, india",it services & consulting,mindtree,public
1933,"mumbai, maharashtra, india",fmcg,hindustan unilever,public
1975,"kolkata, west bengal, india",fmcg,itc,public
2017,"bangalore/bengaluru, karnataka, india",banking,ujjivan small finance bank,public
1995,"mumbai, maharashtra, india",financial services,iifl,public
2001,"kolkata, west bengal, india",banking,bandhan bank,public
2004,"dongguan, guangdong, china",consumer electronics & appliances,oppo,public
2000,"new york, new york, united states (usa)",investment banking / venture capital / private equity,jp morgan chase,private
1852,"san francisco, california, united states (usa)",it services & consulting,wells fargo india,public
1952,"ahmedabad, india, india",pharma,zydus cadila,public
2011,"delhi,nct, india",logistics,delhivery,private
1979,"mumbai, maharashtra, india",nbfc,shriram transport finance,public
1983,"mumbai, india",pharma,sun pharmaceutical industries,public
1865,"mumbai, maharashtra, india",engineering & construction,shapoorji pallonji group,private
1948,"chennai, tamil nadu, india",automobile,ashok leyland,public
1986,"hyderabad/secunderabad, telangana, india",pharma,aurobindo pharma,public
2009,"gurgaon/gurugram, haryana, india",consumer electronics & appliances,vivo,private
1991,"mumbai, maharashtra, india",nbfc,mahindra & mahindra financial services,public
1996,"jaipur, rajasthan, india",financial services,au small finance bank,private
1847,"munich,bavaria, germany",power,siemens,public
1983,"san francisco,california, united states",healthcare,apollo hospitals,public
2015,"houston,texas, united states",it services & consulting,hewlett-packard enterprise,private
1865,"espoo, southern finland, finland",hardware & networking,nokia,private
2000,"gurgaon/gurugram, haryana, india",insurance,max life insurance,jv
1907,"mumbai, maharashtra, india",iron & steel,tata steel,public
1907,"mumbai, maharashtra, india",iron & steel,tata steel,public
2001,"mumbai, maharashtra, india",bpo,first source,public
1990,"mumbai, maharashtra, india",it services & consulting,hexaware technologies,public
1982,"mumbai, maharashtra, india",iron & steel,jsw steel,public
1977,"austin,texas, united states",software product,oracle,public
2000,"mumbai, maharashtra, india",bpo,intelenet global services,private
2007,"bangalore, india",recruitment,quess,public
2002,"navi mumbai, maharashtra, india",telecom,reliance communications,public
1979,"mumbai, maharashtra, india",engineering & construction,tata projects,public
2013,"mumbai, maharashtra, india",retail,future group,private
1997,"mumbai, maharashtra, india",real estate,jll,private
1984,"gurgaon/gurugram, haryana, india",automobile,hero motocorp,public
1968,"jacksonville,florida, united states",it services & consulting,fidelity national information services,private
1996,"mumbai,maharashtra, india",internet,justdial,public
1979,"chennai, tamil nadu, india",automobile,tvs motor,public
1991,"hyderabad/secunderabad, telangana, india",it services & consulting,cyient,public
2013,"gurgaon,haryana, india",hospitality,oyo rooms,private
2001,"pune, india",insurance,bajaj allianz life insurance,private
1967,"seoul, south korea",automobile,hyundai motor,private
2000,"bengaluru, india",it services & consulting,wipro bps,
1886,"gerlingen, baden-wuerttemberg, germany",auto components,bosch,public
1989,"hyderabad/secunderabad, telangana, india",engineering & construction,megha engineering & infrastructures,private
2004,"florida, unitedstates",it services & consulting,omega healthcare,private
1944,"chennai, india",engineering & construction,l&t construction,public
1980,"troy, michigan, united states (usa)",it services & consulting,atos syntel,private
2000,"mumbai, maharashtra, india",retail,d mart,private
1949,"thrissur/trichur, kerala, india",nbfc,manappuram finance,public
1998,"gurgaon/gurugram, haryana, india",fintech,sbi cards & payment services,government
1938,"seoul, south korea",consumer electronics & appliances,samsung,public
2004,"new york city, new york, united states (usa)",it services & consulting,bny mellon,private
1962,"columbus, indiana, united states (usa)",automobile,cummins,
2007,"mumbai, india",financial services,fullerton india,private
1982,"durham, united states",clinical research,iqvia,partnership
1996,"munich, bavaria, germany",it services & consulting,nagarro,private
1961,"canonsburg, pennsylvania, united states (usa)",pharma,viatris,
2015,"mumbai, india",retail,aditya birla fashion and retail,private
2011,"bangalore,karnataka, india",internet,bigbasket,private
1982,"chesterfield,missouri, united states",software product,amdocs,private
1906,"los angeles, california, united states (usa)",real estate,cbre,private
1990,"gerlingen, germany",software product,bosch global software technologies,private
1996,"noida,uttar pradesh, india",internet,indiamart intermesh,private
1897,"mumbai, maharashtra, india",fmcg,godrej & boyce manufacturing,private
1999,"paris, france",industrial automation,schneider electric,private
1901,"gurgaon/gurugram, haryana, india",automobile,royal enfield,private
2001,"aliso viejo, california, united states (usa)",it services & consulting,ust,private
1903,"dearborn, michigan, united states (usa)",other,ford motor,public
2012,"gurgaon,haryana, india",logistics,ecom express,private
1983,"gurgaon/gurugram, haryana, india",auto components,jbm group,public
2007,"chennai, tamil nadu, india",banking,equitas small finance bank,private
1806,"mumbai, maharashtra, india",banking,state bank of india,
1984,"round rock,texas, united states",consumer electronics & appliances,dell,private
2001,"mumbai, maharashtra, india",insurance,icici lombard general insurance company,public
2018,"mumbai,maharashtra, india",edtech,whitehat jr,private
1998,"hyderabad/secunderabad, telangana, india",engineering & construction,nagarjuna construction company,public
1977,"minnetonka, minnesota, united states (usa)",healthcare,unitedhealth,private
1945,"pune, maharashtra, india",automobile,bajaj auto,public
1939,"kochi/cochin, kerala, india",nbfc,muthoot finance,public
1986,"mumbai, maharashtra, india",telecom,tata communications,public
1887,"trivandrum/thiruvananthapuram, kerala, india",nbfc,muthoot fincorp,private
2001,"moline, illinois, united states (usa)",it services & consulting,john deere,private
2000,"san jose, california, united states (usa)",it services & consulting,globallogic,private
1960,"ypsilanti, michigan, united states (usa)",hospitality,dominos pizza,public
1978,"chennai, tamil nadu, india",nbfc,cholamandalam investment & finance,private
1945,"bangalore/bengaluru, karnataka, india",fmcg,wipro consumer care & lighting,private
1994,"mumbai, maharashtra, india",nbfc,l&t financial services,public
2001,"mumbai, maharashtra, india",insurance,sbi life insurance company,government
0,,,capgemini technology services india limited,
1996,"southborough, massachusetts, united states (usa)",it services & consulting,virtusa consulting services,private
2011,"san mateo,california, united states",financial services,axis direct,private
1945,"mumbai, maharashtra, india",real estate,kec international,public
1993,"hyderabad/secunderabad, telangana, india",pharma,hetero drugs,private
1958,"seoul, seoul, south korea",consumer electronics & appliances,lg electronics,public
1945,"bangalore, india",it services & consulting,wipro infotech,private
1986,"noida, uttar pradesh, india",auto components,motherson sumi systems,public
2008,"issy les moulineaux, france",facility management services,sodexo,private
2014,"bangalore,karnataka, india",internet,swiggy,private
1980,"pune, maharashtra, india",industrial machinery,thermax,public
1977,"minnesota, united states (usa)",healthcare,optum,private
1991,"illinois city, illinois, united states (usa)",pharma,abbott healthcare,public
2000,"ahmedabad, gujrat, india",pharma,intas pharmaceuticals,private
1986,"mumbai, maharashtra, india",pharma,macleods pharmaceuticals,public
1985,"noida, uttar pradesh, india",auto components,subros,public
1949,"new jersey, united states",it services & consulting,automatic data processing (adp),
2008,"gurgaon/gurugram, haryana, india",automobile,ve commercial vehicles,private
1995,"gurgaon/gurugram, haryana, india",beverage,varun beverages,public
1997,"bangalore, india",beverage,hindustan coca cola beverages,private
2020,"mumbai, india",nbfc,piramal capital housing finance,
2012,"vadodara/baroda, gujarat, india",it services & consulting,l&t technology services,public
1954,"bangalore/bengaluru, karnataka, india",consumer electronics & appliances,bel,private
1992,"chennai, tamil nadu, india",,randstad,private
1959,"mumbai, maharashtra, india",chemicals / agri inputs,pidilite industries,public
2014,"bangalore,karnataka, india",it services & consulting,cms it services,private
1932,"new delhi, delhi, india",defence & aerospace,indian air force,private
2015,"gurgaon,haryana, india",internet,cars24,private
1976,"montreal, quebec, canada",it services & consulting,cgi group,private
1850,"new york city,new york, united states",financial services,american express,private
1907,"vadodara/baroda, gujrat, india",pharma,alembic pharmaceuticals,public
0,,banking,natwest group,government
1973,"mumbai, maharashtra, india",pharma,alkem laboratories,public
2012,"hyderabad/secunderabad, telangana, india",logistics,gati kwe,private
1983,"noida, uttar pradesh, india",electrical equipment,havells,public
1977,"mumbai, maharashtra, india",pharma,glenmark pharmaceuticals,public
2001,"zurich, switzerland",electrical equipment,abb group,public
1870,"frankfurt, germany",banking,deutsche bank,private
1991,"mumbai, maharashtra, india",retail,shoppers stop,public
1924,"kolkata, west bengal, india",engineering & construction,simplex infrastructures,public
1949,"mumbai, maharashtra, india",pharma,ipca laboratories,public
1999,"gurgaon/gurugram, haryana, india",automobile,honda motorcycle & scooter,private
1997,"vilnius,vilniaus apskritis, lithuania",it services & consulting,atos,private
1990,"bangalore/bengaluru, karnataka, india",logistics,dtdc express,private
1930,"mumbai, maharashtra, india",banking,dcb bank,private
2000,"mumbai, maharashtra, india",insurance,reliance nippon life insurance,private
1931,"ahmedabad, gujrat, india",fashion & textile,arvind group,public
1958,"mumbai, maharashtra, india",metals & mining,hindalco industries,public
1955,"chicago, illinois, united states (usa)",hospitality,mcdonald's,private
1995,"pune,maharashtra, india",power,suzlon group,public
1887,"wedel,schleswig-holstein, germany",nbfc,muthoot group,public
2017,"florham park, new jersey, united states (usa)",bpo,conduent,private
1945,"bangalore, india",it services & consulting,wipro enterprises ltd,
1969,"london, united kingdom (uk)",financial services,standard chartered bank,private
2016,"bangalore/bengaluru, karnataka, india",recruitment,team lease,public
1969,"london, united kingdom (uk)",financial services,standard chartered bank,private
2000,"san jose,california, united states",software product,24/7 customer,private
1904,"copenhagen, denmark",logistics,maersk,private
2008,"gurgaon/gurugram, haryana, india",retail,vishal mega mart,private
1995,"gurgaon/gurugram, haryana, india",it services & consulting,kochartech,private
2009,"san francisco,california, united states",logistics,ekart logistics,private
1946,"chennai, tamil nadu, india",auto components,mrf tyres,public
1938,"mumbai, maharashtra, india",consumer electronics & appliances,bajaj electricals,public
2018,"mumbai,maharashtra, india",other,titan company,public
2009,"noida,uttar pradesh, india",telecom,lava international,public
1990,"new york, new york, united states (usa)",it services & consulting,publicis sapient,private
1998,"charlotte, unitedstates",banking,bank of america,private
1958,"mumbai, maharashtra, india",auto components,ceat tyres,public
2002,"gurgaon/gurugram, haryana, india",it services & consulting,huawei technologies,private
2001,"mumbai, maharashtra, india",insurance,tata aia life insurance,private
1952,"delhi/ncr, new delhi, india",iron & steel,jindal steel and power,private
1987,"mumbai, maharashtra, india",fmcg,rspl group,private
1971,"ahmedabad, gujrat, india",pharma,torrent pharmaceuticals,public
2000,"bangalore/bengaluru, karnataka, india",it services & consulting,itc infotech india,private
2001,"mumbai, maharashtra, india",insurance,pnb metlife,private
1960,"chennai, tamil nadu, india",automobile,tractors and farm equipment,public
1943,"mumbai, maharashtra, india",banking,rbl bank,public
1936,"mumbai, maharashtra, india",building material,acc,public
2004,"mumbai, india",financial services,state street syntel,private
1978,"bangalore/bengaluru, karnataka, india",biotechnology,biocon biologics india,public
2005,"indore, madhya pradesh, india",bpo/kpo,capita,private
2005,"boston,massachusetts, united states",logistics,indigo,private
2009,"varanasi,uttar pradesh, india",banking,utkarsh small finance bank,public
1923,"kolkata, west bengal, india",chemicals,berger paints,public
1987,"san francisco,california, united states",retail,future retail,public
2001,"mumbai, maharashtra, india",insurance,kotak mahindara life insurance,public
1975,"mumbai, maharashtra, india",chemicals,aarti industries,public
2002,"mumbai, maharashtra, india",insurance,hdfc ergo general insurance,public
1884,"ghaziabad, uttar pradesh, india",fmcg,dabur,public
2004,"noida, uttar pradesh, india",bpo,cogent e services,private
2005,"culver city, california, united states (usa)",bpo,gebbs healthcare solutions,private
1972,"gurgaon/gurugram, haryana, india",auto components,apollo tyres,public
1990,"pune, maharashtra, india",it services & consulting,persistent systems,public
1990,"pune, maharashtra, india",software product,kpit technologies,public
1974,"gurgaon/gurugram, haryana, india",building material,jk cement,public
2003,"murray, utah, united states (usa)",accounting & auditing,r1 rcm,private
2006,"haridwar, uttarakhand, india",fmcg,patanjali ayurved,private
1987,"bhopal, madhya pradesh, india",engineering & construction,dilip buildcon,public
1969,"san jose, singapore",electronics manufacturing,flex,private
2008,"gurgaon,haryana, india",fintech,policybazaar,public
2014,"gurgaon,haryana, india",internet,rivigo,private
2007,"mumbai, maharashtra, india",retail,reliance digital,private
1996,"mumbai, maharashtra, india",telecom,tata teleservices,public
2010,"bangalore, india",internet,ola cabs,private
2011,"dallas,texas, united states",it services & consulting,access healthcare,private
2000,"mumbai, maharashtra, india",insurance,tata aig,private
1988,"new delhi, delhi, india",edtech,aakash educational services,private
1959,"mumbai, maharashtra, india",real estate,afcons infrastructure,partnership
1982,"mumbai, maharashtra, india",consumer electronics & appliances,eureka forbes,private
1983,"mumbai, maharashtra, india",logistics,blue dart express,public
1909,"minnetonka, minnesota, united states (usa)",hospitality,radisson hotels,private
1973,"dubai marina, dubai, united arab emirates (uae)",retail,landmark group,private
2006,"gurgaon/gurugram, haryana, india",healthcare,paras hospital,private
1982,"mumbai, maharashtra, india",engineering & construction,jmc projects,public
1960,"faridabad, haryana, india",automobile,escorts group,public
1995,"new delhi, delhi, india",pharma,mankind pharma,private
2017,"bangalore/bengaluru, karnataka, india",healthcare,legato health technologies,llp
1959,"vevey, switzerland",food processing,nestle,public
1999,"bangalore/bengaluru, karnataka, india",retail,lifestyle,private
2001,"delhi/ncr, new delhi, india",healthcare,max healthcare,partnership
2001,"new york, new york, united states (usa)",it services & consulting,synechron,private
2012,"new delhi, india",bpo,statestreet hcl services,private
2005,"mumbai, maharashtra, india",recruitment,i process services,private
1995,"pune, maharashtra, india",it services & consulting,birlasoft,public
1984,"brookfield,wisconsin, united states",financial services,fiserv,private
1996,"gurgaon/gurugram, haryana, india",financial services,g4s,private
1954,"mumbai, maharashtra, india",consumer electronics & appliances,voltas,public
2001,"pune, maharashtra, india",it services & consulting,zensar technologies,public
2000,"mumbai, maharashtra, india",insurance,birla sun life insurance,private
1969,"mumbai, maharashtra, india",agro chemicals,united phosphorus,public
2004,"chennai, tamil nadu, india",pharma,pfizer,public
2011,"washington dc, united states (usa)",software product,ags health,private
2009,"bangalore/bengaluru, karnataka, india",retail,walmart,private
2010,"faridabad, haryana, india",other,lenskart,private
1956,"mumbai, india",insurance,life insurance corporation of india,private
1976,"noida, uttar pradesh, india",it services & consulting,hcl infosystems,public
1857,"mumbai, maharashtra, india",metals & mining,aditya birla group,
2004,"mumbai, maharashtra, india",financial services,hdfc sales,private
2007,"mumbai, india",bpo,reliance smsl,public
1998,"greater noida, uttar pradesh, india",education & training,delhi public school,public
1989,"singapore, singapore",it services & consulting,tata technologies,private
2000,"bengaluru/bangalore, karnataka, india",telecom,act fibernet,private
1973,"bangalore/bengaluru, karnataka, india",pharma,micro labs,private
0,,,samsung electronics,
0,,,samsung electronics,
1896,"chennai, tamil nadu, india",logistics,tvs supply chain solutions,
1973,"mumbai, maharashtra, india",pharma,ajanta pharma,public
2007,"noida,uttar pradesh, india",edtech,extramarks education,private
1947,"kolkata, west bengal, india",auto components,exide industries,public
1989,"harrison, new york, united states (usa)",food processing,pepsico,private
2001,"chennai, tamil nadu, india",insurance,cholamandalam ms general insurance,jv
0,,financial services,bajaj allianz general insurance company ltd,
2000,"bangalore/bengaluru, karnataka, india",financial services,societe generale,private
1864,"chicago, illinois, united states (usa)",bpo,r.r. donnelley,private
1964,"bangalore/bengaluru, karnataka, india",electrical equipment,bhel,private
1892,"reading,reading, united kingdom",food processing,britannia,public
1943,"mumbai, maharashtra, india",consumer electronics & appliances,blue star,public
1993,india,metals & mining,kalyan jewellers,private
2007,"mumbai,maharashtra, india",financial services,mahindra rural housing finance,public
1930,"san francisco,california, united states",pharma,the himalaya drug company,private
2007,"chennai, tamil nadu, india",automobile,renault-nissan,private
1981,"pune, india",pharma,emcure pharmaceuticals,private
1996,"mumbai, maharashtra, india",hospitality,mahindra holidays & resorts,private
1997,"gurgaon, india",media & entertainment,pvr cinemas,public
1925,"new york, united states",fashion & textile,raymond,public
2015,"bangalore,karnataka, india",logistics,blackbuck,private
1988,"mumbai, maharashtra, india",nbfc,poonawalla fincorp,public
1935,"delhi/ncr, new delhi, india",building material,dalmia bharat cement,public
1998,"gurgaon/gurugram, haryana, india",it services & consulting,igt solutions,private
1969,"hoshiarpur, punjab, india",automobile,sonalika tractors,private
1792,"boston,massachusetts, united states",financial services,state street corporation,private
1941,"tokyo, tokyo, japan",auto components,yazaki,private
1966,"chennai, tamil nadu, india",auto components,tvs sundram fasteners,public
2001,"bangalore/bengaluru, karnataka, india",insurance,exide life insurance,private
1927,"mumbai, india",real estate,sterling & wilson,private
1983,"mumbai, maharashtra, india",building material,ambuja cements,public
1958,"gurgaon, india",auto components,uno minda,
1984,"mumbai, maharashtra, india",food processing,parle agro,private
1937,"mumbai, maharashtra, india",electronics manufacturing,cg power and industrial solutions,public
2008,"chennai,tamil nadu, india",nbfc,tvs credit,public
1979,"kolkata, west bengal, india",building material,shree cement,public
2020,"lucknow, uttar pradesh, india",edtech,exotic learning,private
1974,"faridabad, haryana, india",import & export,shahi exports,private
2002,"gurgaon/gurugram, haryana, india",retail,v-mart,public
1958,"pune, maharashtra, india",automobile,force motors,public
1975,"mumbai, india",it services & consulting,datamatics global services,public
1962,"chennai, tamil nadu, india",auto components,brakes india,partnership
2007,"gurgaon,haryana, india",telecom,indus towers,private
2000,"mumbai,maharashtra, india",other,mahindra logistics,public
1947,"nagda, india",building material,grasim industries,public
2006,"navi mumbai, maharashtra, india",retail,reliance trends,private
1929,"noida, uttar pradesh, india",fmcg,ds group,private
1996,"bengaluru, karnataka, india",beverage,café coffee day,private
1986,"chennai, tamil nadu, india",financial services,shriram city,public
1911,"michigan, united states (usa)",consumer electronics & appliances,whirlpool,public
2001,"mumbai, maharashtra, india",retail,big bazaar,private
1950,"delhi/ncr, delhi, india",defence & aerospace,indian navy,private
2004,"noida, uttar pradesh, india",it services & consulting,niit technologies,public
2007,"mumbai,maharashtra, india",healthcare,iks health,private
2016,"pune,maharashtra, india",logistics,elasticrun,private
2006,"mumbai, india",insurance,bharti axa life insurance,private
1989,"kanchipuram, tamil nadu, india",auto components,delphi tvs,private
1988,"pune, maharashtra, india",hardware & networking,sterlite technologies,public
2007,"bangalore,karnataka, india",retail,myntra,private
2015,"pune,maharashtra, india",logistics,xpressbees,private
1985,"greater noida, uttar pradesh, india",automobile,honda,private
1993,"mumbai, maharashtra, india",it services & consulting,3i infotech,public
1995,"bangalore/bengaluru, karnataka, india",real estate,sobha,public
1846,"london, united kingdom (uk)",telecom,bt group,private
1920,"mumbai, maharashtra, india",chemicals,kansai nerolac paints,public
1957,"mumbai, maharashtra, india",nbfc,tata motors finance,private
1995,"mumbai, maharashtra, india",,icici securities,public
2000,"gurgaon/gurugram, haryana, india",nbfc,indiabulls,public
2008,"toronto, canada",printing & publishing,thomson reuters,private
1951,"new delhi, india",auto components,jk tyres,private
1995,"pune, maharashtra, india",it services & consulting,cybage,private
1970,"gurgaon/gurugram, haryana, india",chemicals / agri inputs,srf,public
2004,"london, england, india",oil & gas,shell,public
1952,"mumbai, maharashtra, india",oil & gas,bharat petroleum,private
2007,"mumbai, india",insurance,future generali india life insurance,private
1980,"mumbai, maharashtra, india",real estate,lodha group,private
1970,"delhi/ncr, new delhi, india",iron & steel,bhushan power & steel,private
1995,"cork, ireland",it services & consulting,johnson controls,public
1985,"aurangabad, maharashtra, india",auto components,endurance technologies,public
2013,"gurgaon,haryana, india",internet,blinkit,private
1892,"boston, massachusetts, united states (usa)",engineering & construction,ge,private
1945,"rocester, staffordshire, england",industrial machinery,jcb,private
1999,"mumbai, maharashtra, india",pharma,wockhardt,public
2005,"hyderabad/secunderabad, telangana, india",non-profit,gvk emergency management and research institute,private
2006,"mumbai, maharashtra, india",retail,crom?,private
1690,"london, unitedkingdom",banking,barclays,private
2008,"gurgaon,haryana, india",internet,zomato,public
1961,"pune, maharashtra, india",auto components,gabriel india,public
1996,"san jose, california, united states (usa)",it services & consulting,css corp,private
1961,"chennai, tamil nadu, india",auto components,lucas-tvs,private
1961,"hyderabad/secunderabad, telangana, india",agriculture,coromandel international,public
1981,"mumbai, maharashtra, india",power,kalpataru power transmission,public
1995,"noida, uttar pradesh, india",internet,info edge,public
1951,"ahmedabad, gujrat, india",pharma,cadila pharmaceuticals,public
1665,"paris, france",building material,saint-gobain,private
2004,"noida, uttar pradesh, india",it services & consulting,coforge,public
1968,"paris, ile-de-france, france",it services & consulting,sopra steria,private
2013,"gurgaon,haryana, india",real estate,square yards,private
1828,"la défense, france",accounting & auditing,bureau veritas,private
2007,"hyderabad/secunderabad, telangana, india",engineering & construction,power mech projects,public
1929,"mumbai, india",food processing,parle products,private
1995,"paris, france",insurance,axa business services,private
1993,"bangalore/bengaluru, karnataka, india",pharma,syngene international,public
2007,"mumbai, india",financial services,tata capital financial services,public
2003,"gurgaon/gurugram, haryana, india",it services & consulting,ba continuum,private
1982,"garner, north carolina, united states (usa)",industrial machinery,sigma electric manufacturing corporation,private
1997,"hyderabad/secunderabad, telangana, india",it services & consulting,valuelabs,private
1992,"noida, uttar pradesh, india",it services & consulting,rmsi,private
2007,"iwata, shizuoka, japan",automobile,yamaha motor,private
1999,"ahmedabad, gujrat, india",fmcg,adani wilmar,public
1940,"bangalore/bengaluru, karnataka, india",defence & aerospace,hindustan aeronautics,private
2007,"chennai, tamil nadu,",automobile,renault nissan technology & business centre india,
1964,"mumbai, maharashtra, india",banking,idbi bank,public
2008,"hyderabad/secunderabad, telangana, india",analytics & kpo,karvy data management services,private
2011,"jaipur, rajasthan, india",financial services,aavas financiers,public
1934,"delhi/ncr, delhi, india",hospitality,oberoi group of hotels,private
2003,"hyderabad/secunderabad, telangana, india",pharma,msn laboratories,private
2008,"new york, united states (usa)",it services & consulting,metlife,private
1980,"new delhi, delhi, india",hospitality,hyatt regency,private
2015,"bangalore,karnataka, india",logistics,ninjacart,private
1949,"gurgaon/gurugram, haryana, india",healthcare,dr lal pathlabs,public
1993,"mumbai, maharashtra, india",aviation,jet airways,public
1980,"mumbai, india",financial services,piramal group,private
1984,"san jose,california, united states",hardware & networking,cisco,public
1917,"new york city,new york, united states",it services & consulting,s&p global,public
2000,"bangalore/bengaluru, karnataka, india",healthcare,narayana health,
1935,"bangalore/bengaluru, karnataka, india",it services & consulting,fujitsu,private
1972,"walldorf, baden-württemberg, germany",it services & consulting,sap,private
2006,"mumbai, maharashtra, india",media & entertainment,tata play,public
2008,"mumbai,maharashtra, india",it services & consulting,cms infosystems,private
2008,"gurgaon/gurugram, haryana, india",insurance,canara hsbc life insurance,government
1964,"bangalore/bengaluru, karnataka, india",retail,metro,private
1995,"chennai,tamil nadu, india",telecom,sify technologies,private
0,,fashion & textile,vardhman fabrics,
1903,"mumbai, maharashtra, india",hospitality,taj hotels resorts and palaces,
2004,"delhi/ncr, new delhi, india",pharma,akums drugs & pharmaceuticals,private
2000,"hyderabad/secunderabad, telangana, india",pharma,aragen life sciences,private
1985,"eindhoven, north brabant, netherlands",it services & consulting,here technologies,private
1974,"taipei, taiwan",electronics manufacturing,foxconn,private
1990,"dallas, usa",engineering & construction,aecom,private
1995,"noida, uttar pradesh, india",retail,jubilant foods works,public
2011,"bangalore,karnataka, india",edtech,vedantu,private
1906,"morris plains, new jersey, united states (usa)",consumer electronics & appliances,honeywell automation,public
0,,,suzuki motor gujarat,
2012,"gurgaon, haryana, india",internet,care health insurance,public
1995,"udaipur, rajasthan, india",engineering & construction,g r infraprojects,public
1878,"geneva, geneva, switzerland",facility management services,sgs,private
1969,"berne, switzerland",auto components,wabco,public
2006,"chennai, tamil nadu, india",insurance,star health & allied insurance,private
2002,"navi mumbai, india",accounting & auditing,xl dynamics,private
2005,"hyderabad/secunderabad, telangana, india",pharma,laurus labs,public
1812,"new york, new york, united states (usa)",banking,citibank,private
1970,"delhi/ncr, new delhi, india",iron & steel,jindal stainless,public
1999,"slough,slough, united kingdom",fmcg,reckitt benckiser,private
1990,"hyderabad/secunderabad, telangana, india",healthcare,divi's laboratories,public
1989,"bangalore/bengaluru, karnataka, india",it services & consulting,tata elxsi,public
1940,"london, united kingdom (uk)",financial services,aon,private
2000,"mumbai, maharashtra, india",insurance,reliance general insurance,private
1990,"sunnyvale, california, united states (usa)",it services & consulting,xoriant,private
1837,"cincinnati, ohio, united states (usa)",fmcg,procter & gamble,public
2014,"chennai, tamil nadu, india",fintech,intellect design arena,public
2000,"chennai, tamil nadu, india",recruitment,allsec technologies,public
