address,est_of_ownership,hhid,industry,name,country,sic_code,type
"via della chiocana 3, magione, 06063, perugia, italy",1994,h-it0072309458,retail trade,eurospin tirrenica spa,italy,ret groceries (5411),corporation
"viale amelia 70, roma, 00181, roma, italy",1980,h-it0011938420,manufacturing,angelini pharma italia aziende chimiche riunite angelini francesco a.c.r.a.f. spa,italy,mfg pharmaceutical preparations (2834),corporation
"via aristide nonis 68/a, marostica, 36063, vicenza, italy",2006,h-it0007956770,"transportation, communications, electric, gas, and sanitary services",electrade spa,italy,electric services (4911),corporation
"via dell'innovazione 1, camisano vicentino, 36043, vicenza, italy",1991,h-it0075736667,manufacturing,cereal docks spa,italy,mfg edible fats/oils (2079),corporation
"via di macchia palocco 223, roma, 00125, roma, italy",1933,h-it0073451940,"transportation, communications, electric, gas, and sanitary services",telecom italia sparkle spa,italy,telephone communications (4813),corporation
"viale fulvio testi 280, milano, 20126, milano, italy",1986,h-it0037639927,"finance, insurance, and real estate",agos-ducato spa,italy,misc business credit institutions (6159),corporation
"via marie curie 2, bolzano, 39100, bolzano, italy",2016,h-it0053646924,"finance, insurance, and real estate",fercam holding srl,italy,holding company (6719),corporation
"palazzo meucci via francesco sforza, basiglio, 20079, milano, italy",2003,h-it0074379046,"finance, insurance, and real estate",prexta spa in forma abbreviata prexta spa,italy,misc business credit institutions (6159),corporation
"viale aldo borletti 61/63, corbetta, 20011, milano, italy",1919,h-it0050813986,manufacturing,marelli europe spa,italy,mfg engine electrical equipment (3694),corporation
"piazza indro montanelli 30, sesto san giovanni, 20099, milano, italy",1998,h-it0009387420,manufacturing,coca-cola hbc italia srl,italy,mfg bottled/canned soft drinks (2086),corporation
"riviera maestri del lavoro 24, padova, 35127, padova, italy",1978,h-it0010621318,wholesale trade,sonepar italia spa,italy,whol furniture (5021),corporation
"via casilina 125, roma, 00176, roma, italy",1906,h-it0011101210,manufacturing,merck serono spa,italy,mfg pharmaceutical preparations (2834),corporation
"via degli aldobrandeschi 300, roma, 00163, roma, italy",2016,h-it0051529211,"finance, insurance, and real estate",lottomatica spa,italy,holding company (6719),corporation
"contrada milocca snc, assoro, 94010, enna, italy",1976,h-it0033650578,retail trade,fratelli arena srl,italy,ret groceries (5411),corporation
"via nerio nannetti 1, zola predosa, 40069, bologna, italy",2000,h-it0075554402,retail trade,yoox net-a-porter group spa,italy,ret mail-order house (5961),corporation
"via di casal boccone 188/190, roma, 00137, roma, italy",2005,h-it0007704623,services,almaviva - the italian innovation company spa,italy,custom computer programming (7371),corporation
"piazza dei santi apostoli 66, roma, 00187, roma, italy",1994,h-it0012248274,"finance, insurance, and real estate",almaviva technologies srl,italy,holding company (6719),corporation
"via santena 1, villastellone, 10029, torino, italy",1912,h-it0072557230,manufacturing,petronas lubricants italy spa,italy,petroleum refiner (2911),corporation
"viale certosa 239, milano, 20151, milano, italy",2018,h-it0061243132,"transportation, communications, electric, gas, and sanitary services",adi energia srl,italy,electric services (4911),corporation
"viale monte grappa 3/5, milano, 20124, milano, italy",2010,h-it0019964625,"transportation, communications, electric, gas, and sanitary services",amazon italia logistica srl,italy,transportation services (4789),corporation
"via emilia san pietro 4, reggio emilia, 42121, reggio emilia, italy",1973,h-it0068365128,"finance, insurance, and real estate",credito emiliano spa,italy,national commercial bank (6021),corporation
"piazza del calendario 3, milano, 20126, milano, italy",1917,h-it0009886419,"finance, insurance, and real estate",deutsche bank spa,italy,national commercial bank (6021),corporation
"via baiona 203, ravenna, 48123, ravenna, italy",2000,h-it0057316376,manufacturing,bunge italia spa,italy,mfg edible fats/oils (2079),corporation
"viale regina margherita 125, roma, 00198, roma, italy",2019,h-it0216488695,services,enel global services srl,italy,computer related services (7379),corporation
"via napoli 220, casandrino, 80025, napoli, italy",1989,h-it0069463166,"finance, insurance, and real estate",farvima holding srl,italy,misc business credit institutions (6159),corporation
"lungotorrente secca 3/a, genova, 16163, genova, italy",1986,h-it0061847526,wholesale trade,sogegross spa,italy,whol groceries (5149),corporation
"via giuseppe mazzini 36, valguarnera caropepe, 94019, enna, italy",2014,h-it0043684491,"finance, insurance, and real estate",gruppo arena spa,italy,holding company (6719),corporation
"via emilia 1, san donato milanese, 20097, milano, italy",2007,h-it0002561107,mining,eni angola spa,italy,crude petroleum/natural gas production (1311),corporation
"foro buonaparte 67, milano, 20121, milano, italy",1999,h-it0073073571,construction,ferrovial construcción s.a.,italy,highway/street construction (1611),foreign company
"via san polo 152, brescia, 25134, brescia, italy",1978,h-it0012802263,manufacturing,alfa acciai spa,italy,blast furnace-steel works (3312),corporation
"via assano 1791, cesena, 47521, forli'-cesena, italy",1919,h-it0012313475,wholesale trade,cambielli edilfriuli spa,italy,whol plumbing equipment/supplies (5074),corporation
"via sebastiano caboto 1, corsico, 20094, milano, italy",2012,h-it0018891764,services,comdata spa,italy,business services (7389),corporation
"viale thomas alva edison 110, sesto san giovanni, 20099, milano, italy",1993,h-it0039270270,"transportation, communications, electric, gas, and sanitary services",shell energy italia srl,italy,natural gas distribution (4924),corporation
"via san michele 36, scandicci, 50018, firenze, italy",1987,h-it0046709703,"finance, insurance, and real estate",fattoria san michele a torri srl,italy,real property lessor (6519),corporation
"localita' conti maltraverso 1, montebello vicentino, 36054, vicenza, italy",1968,h-it0009268642,manufacturing,bottega veneta srl,italy,mfg luggage (3161),corporation
"via einaudi 18/22, cermenate, 22072, como, italy",1951,h-it0008233624,manufacturing,bolton food spa,italy,mfg prepared meats (2013),corporation
"localita' merlaro 2, vestone, 25078, brescia, italy",1985,h-it0074963252,"finance, insurance, and real estate",silmar group spa,italy,misc business credit institutions (6159),corporation
"via giovanni ansaldo 7, forli', 47122, forli'-cesena, italy",2004,h-it0007919220,manufacturing,ferretti spa,italy,boat building/repairing (3732),corporation
"via alessandro manzoni 41, milano, 20121, milano, italy",2012,h-it0018463061,"finance, insurance, and real estate",ferretti international holding spa,italy,holding company (6719),corporation
"piazza caduti 6 luglio 1944 1, dalmine, 24044, bergamo, italy",1920,h-it0008507155,manufacturing,dalmine spa,italy,mfg steel pipe/tubes (3317),corporation
"piazza giuseppe garibaldi 16, sondrio, 23100, sondrio, italy",1871,h-it0049413783,"finance, insurance, and real estate",banca popolare di sondrio spa,italy,national commercial bank (6021),corporation
"via dell'industria 22, conselice, 48017, ravenna, italy",1992,h-it0070462135,manufacturing,general cavi spa,italy,mfg conductive wiring devices (3643),corporation
"viale lombardia 20, bollate, 20021, milano, italy",1971,h-it0003962121,manufacturing,solvay specialty polymers italy spa,italy,mfg industrial inorganic chemicals (2819),corporation
"via aldo moro 95, arco, 38062, trento, italy",2001,h-it0007815514,"finance, insurance, and real estate",arcese holding sapa di eleuterio arcese e c.,italy,holding company (6719),corporation
"strada di scorrimento 2, vado ligure, 17047, savona, italy",1998,h-it0001742299,manufacturing,infineum italia srl,italy,mfg chemical preparations (2899),corporation
"via leonardo da vinci 4, guastalla, 42016, reggio emilia, italy",1985,h-it0002513277,manufacturing,smeg spa,italy,mfg electric housewares/fans (3634),corporation
"viale enrico forlanini 23, milano, 20134, milano, italy",1957,h-it0032307985,manufacturing,sasol italy spa,italy,mfg industrial organic chemicals (2869),corporation
"via tortona 9, milano, 20144, milano, italy",2012,h-it0018764584,"finance, insurance, and real estate",nordea investment funds s.a.,italy,investment advisory service (6282),foreign company
"via del mulino 6, assago, 20057, milano, italy",1899,h-it0008587930,services,sanpellegrino spa,italy,misc personal services (7299),corporation
"via gaspare gozzi 1/a, milano, 20129, milano, italy",2005,h-it0002368692,wholesale trade,retitalia spa,italy,whol petroleum products (5172),corporation
"corso felice cavallotti 30, sanremo, 18038, imperia, italy",2004,h-it0007913850,"transportation, communications, electric, gas, and sanitary services",unoenergy spa,italy,natural gas distribution (4924),corporation
"via gaudenzio fantoli 15/2 15/8, milano, 20138, milano, italy",1986,h-it0054498589,"transportation, communications, electric, gas, and sanitary services",united parcel service italia srl,italy,courier service (4215),corporation
"via ottavio moreno 23, savigliano, 12038, cuneo, italy",1950,h-it0075690152,manufacturing,alstom ferroviaria spa,italy,mfg railroad equipment (3743),corporation
"corso felice cavallotti 30, sanremo, 18038, imperia, italy",2019,h-it0067882900,"finance, insurance, and real estate",elfin srl,italy,holding company (6719),corporation
"via caldera 21, milano, 20153, milano, italy",2015,h-it0046926836,"finance, insurance, and real estate",uno holding srl,italy,holding company (6719),corporation
"viale luigi borri 231, varese, 21100, varese, italy",1945,h-it0070586640,manufacturing,bticino spa,italy,mfg switchgear/switchboards (3613),corporation
"via chiese 6, milano, 20126, milano, italy",2007,h-it0002115379,manufacturing,prysmian powerlink srl,italy,mfg conductive wiring devices (3643),corporation
"foro buonaparte 10, milano, 20121, milano, italy",1951,h-it0009567917,"finance, insurance, and real estate",compass banca spa,italy,misc business credit institutions (6159),corporation
"via regona 3, pizzighettone, 26026, cremona, italy",1982,h-it0040846679,manufacturing,carlo colombo spa,italy,copper rolling/drawing (3351),corporation
"via colombara 113, venezia, 30176, venezia, italy",2017,h-it0058540547,"finance, insurance, and real estate",lb holding spa,italy,holding company (6719),corporation
"piazza giovine italia 3, milano, 20123, milano, italy",2009,h-it0023945680,"finance, insurance, and real estate",verofin srl,italy,misc business credit institutions (6159),corporation
"via colombara 113, venezia, 30176, venezia, italy",1997,h-it0073452858,services,umana spa,italy,help supply services (7363),corporation
"via orna 35, brendola, 36040, vicenza, italy",1999,h-it0070986819,"finance, insurance, and real estate",gruppo ltc spa,italy,holding company (6719),corporation
"via moggia 75/a, lavagna, 16033, genova, italy",1949,h-it0008848904,wholesale trade,alliance healthcare italia distribuzione spa,italy,whol drugs/sundries (5122),corporation
"via bolzano 63, appiano sulla strada del vino, 39057, bolzano, italy",2018,h-it0062581627,wholesale trade,montanwerke brixlegg aktiengesellschaft,italy,metals service center (5051),foreign company
"via salaria 1039, roma, 00138, roma, italy",1880,h-it0023002832,construction,societa' italiana per condotte d'acqua spa,italy,heavy construction (1629),corporation
"via invorio 24/a, torino, 10146, torino, italy",2005,h-it0007977557,construction,sacyr construccion s.a.,italy,highway/street construction (1611),foreign company
"via venezia 58, campo san martino, 35010, padova, italy",1963,h-it0009445447,manufacturing,arneg spa,italy,mfg refrigeration/heating equipment (3585),corporation
"via basento 19, san giuliano milanese, 20098, milano, italy",1993,h-it0070207895,services,general logistics systems italy spa,italy,business services (7389),corporation
"via angelo rizzoli 8, milano, 20132, milano, italy",1997,h-it0072908513,manufacturing,rizzoli corriere della sera mediagroup spa,italy,misc publishing (2741),corporation
"via xii ottobre 1, genova, 16121, genova, italy",2007,h-it0002492334,manufacturing,metinvest trametal spa,italy,blast furnace-steel works (3312),corporation
"galleria passarella 2, milano, 20122, milano, italy",1992,h-it0072362200,manufacturing,sarlux srl,italy,petroleum refiner (2911),corporation
"via antonio pacinotti 3, bolzano, 39100, bolzano, italy",2011,h-it0004673077,"finance, insurance, and real estate",seetech global industries spa,italy,holding company (6719),corporation
"via carlo amoretti 78, milano, 20157, milano, italy",2015,h-it0048467219,wholesale trade,henkel italia srl,italy,whol home furnishings (5023),corporation
"strada statale s.s. aurelia km. 237 snc, piombino, 57025, livorno, italy",1945,h-it0035238232,retail trade,unicoop tirreno soc coop,italy,ret groceries (5411),cooperative
"via massaua 6, milano, 20146, milano, italy",1992,h-it0008916993,"finance, insurance, and real estate",banco bpm vita spa,italy,life insurance carrier (6311),corporation
"via filippo della valle 1, sant'elpidio a mare, 63811, fermo, italy",1900,h-it0042141826,manufacturing,tod's spa,italy,mfg footwear-except rubber (3149),corporation
"via settecamini 116, sant'elpidio a mare, 63811, fermo, italy",2002,h-it0024746916,"finance, insurance, and real estate",di.vi. finanziaria di diego della valle & c. srl,italy,holding company (6719),corporation
"via del lavoro 45, solbiate arno, 21048, varese, italy",1979,h-it0067919634,retail trade,tigros spa,italy,ret groceries (5411),corporation
"via gardizza 9/b, conselice, 48017, ravenna, italy",1970,h-it0019525346,manufacturing,unigra' srl,italy,mfg edible fats/oils (2079),corporation
"mura di santa chiara 1, genova, 16128, genova, italy",1971,h-it0031275737,"finance, insurance, and real estate",amissima vita spa,italy,life insurance carrier (6311),corporation
"via antonio gramsci 731/733, sesto fiorentino, 50019, firenze, italy",1959,h-it0008953503,manufacturing,eli lilly italia spa,italy,mfg pharmaceutical preparations (2834),corporation
"corso inghilterra 3, torino, 10138, torino, italy",1995,h-it0072773529,"finance, insurance, and real estate",intesa sanpaolo assicura spa,italy,insurance carrier (6399),corporation
"via antonio salieri 36, oppeano, 37050, verona, italy",2000,h-it0075644894,manufacturing,ferriera valsider spa,italy,mfg cold-rolled steel shapes (3316),corporation
"via oderzo 68, prata di pordenone, 33080, pordenone, italy",1968,h-it0069538484,manufacturing,friul intagli industries spa,italy,mfg furniture/fixtures (2599),corporation
"via canareggio 1823/1, borgo veneto, 35046, padova, italy",1986,h-it0071269770,retail trade,costantin spa,italy,gasoline service station (5541),corporation
"via mensa 3, lugo, 48022, ravenna, italy",1981,h-it0034973583,manufacturing,eurovo srl,italy,mfg food preparations (2099),corporation
"via casilina sud snc km90,200, torrice, 03020, frosinone, italy",1968,h-it0012418706,manufacturing,prima sole components spa,italy,mfg plastic products (3089),corporation
"via della meccanica 16, pesaro, 61122, pesaro e urbino, italy",1968,h-it0011465840,manufacturing,biesse spa,italy,mfg metalworking machinery (3549),corporation
"via emilia 69/71/77, rimini, 47921, rimini, italy",1958,h-it0012085162,manufacturing,scm group spa,italy,mfg metalworking machinery (3549),corporation
"via massimo gorki 69, cinisello balsamo, 20092, milano, italy",2013,h-it0038266865,wholesale trade,agfa,italy,whol industrial equipment (5084),foreign company
"viale fratelli rosselli 46, pesaro, 61121, pesaro e urbino, italy",1992,h-it0070351872,"finance, insurance, and real estate",bi.fin. srl,italy,holding company (6719),corporation
"via carlo goldoni 10, milano, 20129, milano, italy",1988,h-it0051804646,manufacturing,dolce & gabbana srl,italy,mfg apparel/accessories (2389),corporation
"localita' linfano, arco, 38062, trento, italy",1988,h-it0049590383,manufacturing,dana italia srl,italy,mfg power transmission equipment (3568),corporation
"via emilia 2614, longiano, 47020, forli'-cesena, italy",1961,h-it0010756361,"finance, insurance, and real estate",f.lli martini & c. spa,italy,holding company (6719),corporation
"via francesco albani 65, milano, 20148, milano, italy",2001,h-it0055693393,manufacturing,dow italia divisione commerciale srl,italy,mfg chemical preparations (2899),corporation
"via dei ciclamini 4, modugno, 70026, bari, italy",1999,h-it0067796354,"finance, insurance, and real estate",magna powertrain italia srl,italy,holding company (6719),corporation
"via consolatico superiore 96/98, busseto, 43011, parma, italy",1962,h-it0010808701,construction,sicim spa,italy,operative builders (1531),corporation
"viale alessandro marchetti 105, roma, 00148, roma, italy",2000,h-it0075640449,retail trade,jaguar land rover italia spa,italy,ret new/used automobiles (5511),corporation
"via nelson mandela 4, vercelli, 13100, vercelli, italy",2016,h-it0050822500,"transportation, communications, electric, gas, and sanitary services",nova aeg spa,italy,electric services (4911),corporation
"viuzzo di porto 4/b, scandicci, 50018, firenze, italy",1974,h-it0009995455,"transportation, communications, electric, gas, and sanitary services",j.a.s. jet air service spa,italy,transportation services (4789),corporation
"via del teatro 5, trieste, 34121, trieste, italy",1997,h-it0004648218,"transportation, communications, electric, gas, and sanitary services",acegasapsamga spa,italy,water supply service (4941),corporation
"via anna maria mozzoni 12, milano, 20152, milano, italy",1987,h-it0047975709,construction,siram spa,italy,plumbing/heating/air conditioning contrac (1711),corporation
"via san bovio 3, segrate, 20054, milano, italy",2005,h-it0073894281,manufacturing,lenovo italy srl,italy,mfg electronic computers (3571),corporation
"via consortile, avellino, 83100, avellino, italy",2015,h-it0045887942,services,urbaser s.a.,italy,business services (7389),foreign company
"via lorenteggio 240, milano, 20147, milano, italy",2004,h-it0007698003,wholesale trade,huawei technologies italia srl,italy,whol electronic parts/equipment (5065),corporation
"piazza poli 37/42, roma, 00187, roma, italy",1977,h-it0072934069,"finance, insurance, and real estate",sace spa,italy,insurance carrier (6399),corporation
"via antonio cavalieri ducati 3, bologna, 40132, bologna, italy",1926,h-it0002492660,manufacturing,ducati motor holding spa,italy,mfg motorcycles/bicycles (3751),corporation
"via enrico cialdini 16, milano, 20161, milano, italy",2013,h-it0040267229,services,equensworldline se,italy,data processing/preparation (7374),foreign company
"piazza delle donne lavoratrici 2, trento, 38121, trento, italy",1821,h-it0052080684,"finance, insurance, and real estate",itas istituto trentino alto adige per assicurazioni societa' mutua di assicurazioni,italy,insurance carrier (6399),cooperative
"largo augusto 8, milano, 20122, milano, italy",1991,h-it0070531358,"finance, insurance, and real estate",lvmh italia spa,italy,holding company (6719),corporation
"via napoli 220, casandrino, 80025, napoli, italy",1963,h-it0012414328,wholesale trade,farvima medicinali spa,italy,whol drugs/sundries (5122),corporation
"strada serravalle 65, novi ligure, 15067, alessandria, italy",2000,h-it0052087123,manufacturing,smurfit kappa italia spa,italy,mfg corrugated/solid fiber boxes (2653),corporation
"piazza san fedele 2, milano, 20121, milano, italy",2018,h-it0064239411,"finance, insurance, and real estate",blackrock (netherlands) bv,italy,misc business credit institutions (6159),foreign company
"via circonvallazione est 1, stezzano, 24040, bergamo, italy",1960,h-it0009032622,manufacturing,schneider electric spa,italy,mfg switchgear/switchboards (3613),corporation
"via giovanni spadolini 5, milano, 20141, milano, italy",1989,h-it0075083647,services,omnicom media group srl,italy,advertising agency (7311),corporation
"corso europa 2, boltiere, 24040, bergamo, italy",1982,h-it0020242972,wholesale trade,volvo group italia spa,italy,whol autos/motor vehicles (5012),corporation
"via vitorchiano 151, roma, 00189, roma, italy",1956,h-it0008053081,manufacturing,msd italia srl,italy,mfg medicinal/botanical products (2833),corporation
"via artigiani 2, maclodio, 25030, brescia, italy",1981,h-it0049311190,manufacturing,gnutti carlo spa,italy,mfg power transmission equipment (3568),corporation
"via francesco primaticcio 155, milano, 20147, milano, italy",1936,h-it0008021260,retail trade,l'oreal italia spa,italy,ret misc merchandise (5999),corporation
"passeggio sant'andrea 4, trieste, 34123, trieste, italy",1936,h-it0008021686,"transportation, communications, electric, gas, and sanitary services",italia marittima spa,italy,water freight transportation (4449),corporation
"via granarolo 175/3, faenza, 48018, ravenna, italy",2000,h-it0072415665,"transportation, communications, electric, gas, and sanitary services",c.u.ra. consorzio utilities ravenna soc cons arl,italy,electric services (4911),corporation
"via bartolomeo zucchi 1, monza, 20900, monza e brianza, italy",1985,h-it0072998423,construction,progefin spa,italy,operative builders (1531),corporation
"viale dell'agricoltura 7, verona, 37135, verona, italy",1932,h-it0009237461,wholesale trade,glaxosmithkline spa,italy,whol drugs/sundries (5122),corporation
"via padana superiore 19, vimodrone, 20055, milano, italy",1990,h-it0074717448,wholesale trade,compagnia generale trattori spa,italy,whol construction/mining equipment (5082),corporation
"via messina 38, milano, 20154, milano, italy",2010,h-it0038148110,wholesale trade,stabilo international gmbh,italy,whol stationery/office supplies (5112),foreign company
"viale aristide merloni 45, fabriano, 60044, ancona, italy",2020,h-it0366850320,manufacturing,ariston spa,italy,mfg electrical equipment/supplies (3699),corporation
"viale lombardia 29, viadana, 46019, mantova, italy",2002,h-it0020622082,"finance, insurance, and real estate",saviola holding srl,italy,holding company (6719),corporation
"via federico confalonieri 4, milano, 20124, milano, italy",2002,h-it0007745206,"transportation, communications, electric, gas, and sanitary services",google italy srl,italy,telephone communications (4813),corporation
"via filippo da desio 60, desio, 20832, monza e brianza, italy",1957,h-it0010133712,wholesale trade,sacchi giuseppe spa,italy,whol furniture (5021),corporation
"via enrico fermi 51, scanzorosciate, 24020, bergamo, italy",1962,h-it0002558041,manufacturing,polynt spa,italy,mfg chemical preparations (2899),corporation
"viale parco dell'industria 5, corciano, 06073, perugia, italy",1991,h-it0035217197,manufacturing,brunello cucinelli spa,italy,knitting mill (2259),corporation
"piazzetta dei sapienti 1, corciano, 06073, perugia, italy",2005,h-it0028057635,"finance, insurance, and real estate",foro delle arti srl,italy,holding company (6719),corporation
"via castellana 90, istrana, 31036, treviso, italy",1981,h-it0061868256,manufacturing,pro-gest spa,italy,mfg corrugated/solid fiber boxes (2653),corporation
"viale ita marzotto 8, fossalta di portogruaro, 30025, venezia, italy",2002,h-it0002215101,"finance, insurance, and real estate",zignago holding spa,italy,holding company (6719),corporation
"via san magno 31, corato, 70033, bari, italy",1971,h-it0007363818,wholesale trade,maiora srl,italy,whol non durable goods (5199),corporation
"corso pietro rolandi 10, quarona, 13017, vercelli, italy",1924,h-it0050583999,manufacturing,loro piana spa,italy,knit outerwear mill (2253),corporation
"strada gherbella 320, modena, 41126, modena, italy",2000,h-it0066645190,manufacturing,grandi salumifici italiani spa,italy,mfg prepared meats (2013),corporation
"via bernardino telesio 18, milano, 20145, milano, italy",2001,h-it0054295661,services,openjobmetis spa agenzia per il lavoro,italy,help supply services (7363),corporation
"via alberico albricci 10, milano, 20122, milano, italy",2009,h-it0026173360,"transportation, communications, electric, gas, and sanitary services",2i rete gas spa,italy,gas transmission/distribution (4923),corporation
"via torri bianche 3, vimercate, 20871, monza e brianza, italy",2003,h-it0072814640,wholesale trade,toshiba electronics europe gmbh,italy,whol industrial equipment (5084),foreign company
"via mario carucci 131, roma, 00143, roma, italy",1976,h-it0030784107,services,sogei societa' generale d'informatica spa e in forma abbreviato sogei spa,italy,computer related services (7379),corporation
"via delle groane 126, garbagnate milanese, 20024, milano, italy",1980,h-it0011955988,wholesale trade,bayer spa,italy,whol drugs/sundries (5122),corporation
"piazza della vittoria 10, genova, 16121, genova, italy",1991,h-it0070126070,wholesale trade,comarco compagnia generale di commercio arbitraggio e coperture spa,italy,metals service center (5051),corporation
"via carlo ederle 45, verona, 37126, verona, italy",2000,h-it0070965382,"finance, insurance, and real estate",vera vita spa,italy,life insurance carrier (6311),corporation
"via benigno crespi 19, milano, 20159, milano, italy",2001,h-it0068332807,"finance, insurance, and real estate",bcc vita spa compagnia di assicurazioni vita in forma abbreviato bcc vita spa,italy,life insurance carrier (6311),corporation
"via stazione 51, egna, 39044, bolzano, italy",1963,h-it0033690464,wholesale trade,wuerth srl,italy,whol plumbing equipment/supplies (5074),corporation
"strada regionale 148 pontina 0snc, aprilia, 04011, latina, italy",2012,h-it0018360106,manufacturing,abbvie srl,italy,mfg pharmaceutical preparations (2834),corporation
"via andrea doria 7, castiglione del lago, 06061, perugia, italy",1947,h-it0020302304,retail trade,coop centro italia soc coop,italy,ret groceries (5411),cooperative
"via pietramarina 53, vinci, 50059, firenze, italy",1981,h-it0029458269,"finance, insurance, and real estate",colorobbia holding spa,italy,holding company (6719),corporation
"localita' autoporto 11, pollein, 11020, aosta, italy",1865,h-it0008973717,manufacturing,heineken italia spa,italy,mfg malt beverages (2082),corporation
"via collodi 6/c, firenze, 50141, firenze, italy",2013,h-it0040208036,"finance, insurance, and real estate",dedalus healthcare systems group spa,italy,holding company (6719),corporation
"via ugo bassi 6, milano, 20159, milano, italy",2006,h-it0073228494,services,sisal spa,italy,business services (7389),corporation
"via varesina 162, milano, 20156, milano, italy",1988,h-it0059526548,wholesale trade,medtronic italia spa,italy,whol medical/hospital equipment (5047),corporation
"viale certosa 249, milano, 20151, milano, italy",1986,h-it0008816700,manufacturing,riva acciaio spa,italy,blast furnace-steel works (3312),corporation
"bastioni di porta volta 10, milano, 20121, milano, italy",1950,h-it0014372711,"transportation, communications, electric, gas, and sanitary services",uvet viaggi turismo spa,italy,travel agency (4724),corporation
"via larga 9/11, milano, 20122, milano, italy",2010,h-it0034282432,"finance, insurance, and real estate",veroniki holding spa,italy,holding company (6719),corporation
"via monte flavio 45, roma, 00131, roma, italy",2001,h-it0061885452,manufacturing,mbda italia spa,italy,mfg communications equipment (3669),corporation
"via aldo rossi 4, milano, 20149, milano, italy",1996,h-it0072819200,manufacturing,lg electronics italia spa,italy,mfg electrical equipment/supplies (3699),corporation
"via giovanni carlo cavalli 6, torino, 10138, torino, italy",1926,h-it0010310800,services,rai pubblicita' spa,italy,advertising representative (7313),corporation
"via delle azalee 15, buccinasco, 20090, milano, italy",2006,h-it0007979258,services,ngk spark plug europe gmbh,italy,business services (7389),foreign company
"piazza santa barbara 7, san donato milanese, 20097, milano, italy",2000,h-it0057869464,"transportation, communications, electric, gas, and sanitary services",stoccaggi gas italia spa,italy,pipeline operation (4619),corporation
"piazzale ostiense 2, roma, 00154, roma, italy",1999,h-it0067600212,"transportation, communications, electric, gas, and sanitary services",acea ato 2 gruppo acea spa,italy,water supply service (4941),corporation
"via lillo del duca 10, bresso, 20091, milano, italy",1938,h-it0036294675,"finance, insurance, and real estate",zambon company spa,italy,holding company (6719),corporation
"via niccolo' machiavelli 4, trieste, 34132, trieste, italy",1992,h-it0002266806,"finance, insurance, and real estate",banca generali spa,italy,national commercial bank (6021),corporation
"piazzale pietro ferrero 1, alba, 12051, cuneo, italy",1980,h-it0048603724,manufacturing,ferrero industriale italia srl,italy,mfg candy/confectionery (2064),corporation
"via alessandro manzoni 38, milano, 20121, milano, italy",2018,h-it0062461842,"finance, insurance, and real estate",design holding spa,italy,holding company (6719),corporation
"via alessandro manzoni 38, milano, 20121, milano, italy",2018,h-it0062835580,"finance, insurance, and real estate",international design group spa,italy,holding company (6719),corporation
"strada provinciale 234 1/3, somaglia, 26867, lodi, italy",2000,h-it0066468256,"transportation, communications, electric, gas, and sanitary services",flextronics italy spa,italy,general warehouse/storage (4225),corporation
"lungadige galtarossa 8, verona, 37133, verona, italy",2012,h-it0036821411,"transportation, communications, electric, gas, and sanitary services",2v energy srl,italy,electric services (4911),corporation
"via guglielmo marconi 84, agrate brianza, 20864, monza e brianza, italy",1990,h-it0002533812,"finance, insurance, and real estate",intercos spa,italy,holding company (6719),corporation
"viale giorgio ribotta 31, roma, 00144, roma, italy",1985,h-it0027556999,construction,engie servizi spa,italy,plumbing/heating/air conditioning contrac (1711),corporation
"strada provinciale 240 delle grotte orientali, rutigliano, 70018, bari, italy",2001,h-it0061820628,wholesale trade,apulia distribuzione srl,italy,whol general groceries (5141),corporation
"via pietro borsieri 2/a, roma, 00195, roma, italy",1894,h-it0011090014,construction,ghella spa,italy,heavy construction (1629),corporation
"via pisa 29, torino, 10152, torino, italy",1999,h-it0008217793,services,synergie italia agenzia per il lavoro spa,italy,help supply services (7363),corporation
"via del rio 336, cesena, 47522, forli'-cesena, italy",1980,h-it0026961245,manufacturing,avi.coop soc coop agricola,italy,poultry processing (2015),corporation
"viale cristoforo colombo 12/14, trezzano sul naviglio, 20090, milano, italy",2016,h-it0052364844,"finance, insurance, and real estate",berlin packaging (europe) spa,italy,holding company (6719),corporation
"via roma 5, iseo, 25049, brescia, italy",2009,h-it0003506304,"transportation, communications, electric, gas, and sanitary services",trenord srl,italy,railroad line-haul operator (4011),corporation
"viale castello della magliana 68, roma, 00148, roma, italy",1969,h-it0072226552,services,technip energies italy spa,italy,engineering services (8711),corporation
"via zona industriale madonna del moro, umbertide, 06019, perugia, italy",1963,h-it0009245189,manufacturing,metalmeccanica tiberina srl,italy,mfg metal stampings (3469),corporation
"via del progresso 1008, brendola, 36040, vicenza, italy",1996,h-it0074673483,wholesale trade,attiva spa,italy,whol computers/peripherals (5045),corporation
"piazza generale armando diaz 7, milano, 20123, milano, italy",1920,h-it0010433171,"finance, insurance, and real estate",coeclerici spa,italy,holding company (6719),corporation
"via xxv aprile 5, pero, 20016, milano, italy",2013,h-it0039471586,manufacturing,f.i.l.a fabbrica italiana lapis ed affini spa,italy,mfg stationery products (2678),corporation
"viale vittorio veneto 14, milano, 20124, milano, italy",2010,h-it0023304545,"finance, insurance, and real estate",pencil srl,italy,holding company (6719),corporation
"viale sant'eufemia 108/f, brescia, 25135, brescia, italy",1987,h-it0043920306,"finance, insurance, and real estate",if 65 spa,italy,holding company (6719),corporation
