address,est_of_ownership,hhid,industry,name,country,sic_code,type
"via luigi buzzi 6, casale monferrato, 15033, alessandria, italy",1907,h-it0034644245,manufacturing,buzzi unicem spa,italy,mfg hydraulic cement (3241),corporation
"via marocchesa 14, mogliano veneto, 31021, treviso, italy",1999,h-it0071050442,"finance, insurance, and real estate",genertellife spa,italy,insurance carrier (6399),corporation
"via valadier 37, roma, 00193, roma, italy",2001,h-it0058278001,wholesale trade,logista italia spa,italy,whol tobacco products (5194),corporation
"viale piero e alberto pirelli 25, milano, 20126, milano, italy",1983,h-it0037438514,manufacturing,pirelli tyre spa,italy,mfg tires/inner tubes (3011),corporation
"via molino rosso 8, imola, 40026, bologna, italy",2001,h-it0074275860,"transportation, communications, electric, gas, and sanitary services",hera comm spa,italy,natural gas distribution (4924),corporation
"galleria san babila 4/a, milano, 20122, milano, italy",1946,h-it0072773472,retail trade,autogrill spa,italy,drinking place (5813),corporation
"piazza della croce rossa 1, roma, 00161, roma, italy",1992,h-it0059184531,"transportation, communications, electric, gas, and sanitary services",rete ferroviaria italiana spa,italy,local/suburban transportation (4111),corporation
"via del sole 34, andriano, 39010, bolzano, italy",2008,h-it0018329365,construction,swietelsky baugesellschaft m.b.h.,italy,trade contractor (1799),foreign company
"viale delle nazioni 55, modena, 41122, modena, italy",1973,h-it0009369996,manufacturing,cnh industrial italia spa,italy,mfg farm machinery/equipment (3523),corporation
"via dei santi giacomo e filippo 7, genova, 16122, genova, italy",2000,h-it0074908405,"transportation, communications, electric, gas, and sanitary services",iren mercato spa,italy,natural gas distribution (4924),corporation
"via armando diaz 248, san zeno naviglio, 25010, brescia, italy",1990,h-it0054109205,"finance, insurance, and real estate",duferco italia holding spa,italy,holding company (6719),corporation
"via del botteghino 24/26, scandicci, 50018, firenze, italy",1920,h-it0072354240,"transportation, communications, electric, gas, and sanitary services",trasporti internazionali agenzia marittima savino del bene spa,italy,transportation services (4789),corporation
"via piero maroncelli 10, forli', 47121, forli'-cesena, italy",1935,h-it0012529079,retail trade,unieuro spa,italy,ret misc general merchandise (5399),corporation
"via xii ottobre 1, genova, 16121, genova, italy",2000,h-it0061745170,"transportation, communications, electric, gas, and sanitary services",axpo italia spa,italy,electric services (4911),corporation
"via bigli 21, milano, 20121, milano, italy",1993,h-it0071805583,"finance, insurance, and real estate",sind international srl,italy,holding company (6719),corporation
"via nazionale 41, buttrio, 33042, udine, italy",1962,h-it0018276334,manufacturing,danieli & c. officine meccaniche spa,italy,mfg rolling mill machinery (3547),corporation
"zona a.s.i.capannone 18, gricignano di aversa, 81030, caserta, italy",2005,h-it0072485272,retail trade,md spa,italy,ret groceries (5411),corporation
"ex s.s. 114 km 146 snc, priolo gargallo, 96010, siracusa, italy",2008,h-it0002560844,manufacturing,isab srl,italy,petroleum refiner (2911),corporation
